	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.A8.A08O.01A.21R.A056.07	TCGA.EW.A1IX.01A.12R.A144.07	TCGA.BH.A1FH.01A.12R.A13Q.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.S3.AA14.01A.11R.A41B.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.D8.A1XB.01A.11R.A14D.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.D8.A1XD.01A.11R.A14D.07	GTEX.ZF2S.2026.SM.5E461	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.44.6774.01A.21R.1858.07	TCGA.85.6175.01A.11R.1820.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.KB.A93G.01A.11R.A39E.31	GTEX.12WSB.0726.SM.5N9GD
CCDC144A	1.97	1.75	0.39	4.28	15.91	26.47	48.52	16.75	13.32	4.58	14.67	4.74	30.34	2.68	31.22	21.63	72.52	9.2	26.1	127.89	50.98	22.92	0.88	8.0	4.62	0.0	12.83	1.89	5.28	1.19	1.01	1.66	7.88	0.68	13.32	1.51	1.53	1.53	0.0	0.0	4.43	34.26	13.62	4.43	29.27	25.54
CCDC149	429.54	379.04	351.14	395.18	336.79	470.14	583.07	329.84	265.87	412.0	339.14	305.55	503.95	323.03	438.59	293.07	400.71	373.81	555.41	769.69	616.37	239.52	381.68	511.0	186.4	116.78	183.82	384.34	420.68	329.84	78.34	379.04	172.65	152.28	194.36	217.27	21.16	111.99	38.12	226.54	143.01	339.14	255.0	237.86	353.59	332.14
CCP110	75.11	97.36	108.14	303.44	281.09	287.01	518.15	136.19	228.13	563.18	218.79	201.25	158.79	152.28	275.28	156.59	414.87	148.09	244.57	406.31	403.5	151.22	144.01	279.14	90.14	84.04	68.55	126.12	126.12	73.03	43.63	108.9	108.9	123.5	138.1	17.77	23.93	20.86	35.25	13.93	74.58	149.12	185.11	221.86	267.73	205.5
CDYL2	33.3	67.59	46.84	397.93	334.46	248.0	389.72	134.3	90.14	71.5	90.77	116.78	147.06	273.37	351.14	97.36	379.04	137.14	166.73	595.34	229.72	114.36	56.68	118.43	141.02	36.27	33.54	41.52	84.63	48.18	27.84	102.97	100.13	202.66	100.13	29.06	28.86	14.56	2.51	15.68	53.95	76.17	129.69	63.0	155.5	73.54
CHD6	88.26	211.31	131.51	748.61	525.39	723.08	703.28	400.71	457.25	563.18	363.56	325.29	353.59	264.03	669.92	193.01	708.18	273.37	389.72	3690.52	802.41	269.6	204.07	381.68	185.11	139.07	155.5	236.21	150.17	209.84	70.51	220.32	346.29	229.72	269.6	40.07	46.84	35.5	68.55	25.35	85.82	334.46	368.65	339.14	511.0	395.18
COL1A1	244588.0	405683.88	170568.48	38697.77	129266.49	152662.96	69753.56	231394.29	112532.89	168220.2	204252.32	195931.88	284880.02	159145.95	64186.29	189257.69	102125.66	141455.6	254974.66	53230.77	79022.82	249727.34	485798.0	223512.12	282912.21	95286.54	171754.88	161367.56	286861.53	598087.73	31650.8	324980.94	168220.2	184082.4	172949.54	988.12	1037.29	2591.27	24.11	620.67	6207.38	187950.38	208544.12	345900.08	223512.12	254974.66
CTD-2583A14.10	17.51	33.78	28.86	447.82	221.86	88.26	180.02	50.63	190.34	88.26	85.22	74.06	63.89	67.12	135.24	43.32	153.34	18.03	102.97	1119.56	73.03	18.29	36.27	105.89	32.36	21.47	24.63	34.26	93.35	5.19	18.84	90.77	39.22	28.65	41.52	11.91	7.0	23.76	6.21	31.0	63.89	38.4	58.71	134.3	141.02	120.1
DDHD2	299.25	536.45	470.14	1088.92	1896.65	1388.16	4836.35	660.68	486.75	341.51	854.13	543.96	555.41	1594.73	1044.52	507.46	928.3	511.0	571.05	1819.35	961.07	583.07	307.69	728.11	251.48	314.17	281.09	202.66	389.72	447.82	148.09	351.14	348.71	277.2	264.03	82.87	70.51	85.22	73.03	62.12	193.01	753.83	521.76	521.76	638.15	620.67
DIDO1	309.83	607.87	511.0	684.02	775.05	813.63	785.88	521.76	599.49	1127.35	780.44	738.29	607.87	529.06	860.08	521.76	743.43	511.0	633.73	3146.52	1159.07	791.35	603.67	591.22	476.71	334.46	376.41	638.15	432.53	336.79	285.03	457.25	353.59	275.28	511.0	269.6	209.84	176.29	332.14	113.56	371.22	567.1	651.58	656.11	921.88	808.0
GAB1	50.27	147.06	88.26	669.92	595.34	563.18	384.34	277.2	255.0	273.37	327.56	244.57	441.64	212.78	518.15	162.14	414.87	182.55	563.18	647.07	713.11	171.45	155.5	229.72	147.06	102.97	82.87	209.84	106.63	83.45	80.01	138.1	180.02	271.48	218.79	19.82	28.04	22.43	40.36	10.55	77.25	185.11	239.52	403.5	361.04	336.79
GCC2	155.5	220.32	221.86	514.56	575.03	825.0	551.56	353.59	320.8	332.14	366.09	220.32	283.05	279.14	633.73	202.66	363.56	191.67	543.96	819.3	909.17	307.69	312.0	305.55	159.9	85.22	115.97	223.41	139.07	118.43	86.43	244.57	260.38	191.67	177.53	74.06	71.0	63.45	67.12	70.01	175.07	303.44	358.54	543.96	1104.13	547.75
GRIK1	0.78	0.0	1.46	10.88	0.99	13.22	70.51	0.82	0.69	0.32	7.57	2.63	3.89	1.45	229.72	3.72	6.73	0.36	4.31	301.33	39.5	14.78	8.85	4.94	0.87	0.37	7.06	0.75	0.41	1.31	0.37	1.3	0.39	2.18	0.92	0.0	0.0	0.82	0.0	0.32	0.77	0.84	1.58	1.68	2.94	0.79
GRIK3	0.39	1.28	1.1	224.97	208.38	77.79	202.66	12.64	172.65	6.57	55.1	102.25	29.7	8.51	121.79	4.98	113.56	20.26	43.02	684.02	312.0	327.56	164.42	6.78	0.54	0.0	1.97	0.0	0.51	0.55	0.0	0.0	1.69	0.0	0.56	0.0	0.0	0.48	0.44	0.0	0.46	7.82	1.25	2.84	0.96	20.71
HGSNAT	599.49	1073.91	802.41	775.05	1208.34	974.5	1540.37	1119.56	1037.29	825.0	1242.34	1073.91	1529.73	718.08	1167.14	1081.39	1208.34	836.53	1199.98	3564.78	1487.87	1467.37	1477.58	1806.78	591.22	376.41	1175.27	591.22	1417.35	629.35	194.36	785.88	674.59	563.18	791.35	193.01	189.02	285.03	258.57	90.77	353.59	1340.84	854.13	1175.27	1561.89	1216.75
HOOK3	90.77	191.67	115.16	258.57	441.64	371.22	309.83	277.2	275.28	262.2	187.71	152.28	249.73	291.04	323.03	198.47	353.59	183.82	348.71	1651.0	1313.23	204.07	400.71	336.79	115.16	66.65	100.13	80.57	145.02	75.64	84.04	232.94	202.66	129.69	262.2	72.01	36.27	34.51	23.93	25.54	78.89	384.34	291.04	460.44	591.22	309.83
HOXC5	12.64	0.0	1.46	21.01	11.82	24.11	32.82	20.71	15.56	12.64	31.0	22.75	9.7	9.06	8.85	27.84	5.59	16.03	19.68	49.91	25.35	86.43	0.0	12.83	5.23	0.0	1.35	2.86	24.81	4.94	22.1	1.68	1.16	0.0	3.86	0.0	0.0	0.0	0.0	0.0	1.36	10.24	7.17	30.12	15.11	3.29
IKBKB	412.0	638.15	629.35	1397.83	1096.5	703.28	2255.7	387.02	1242.34	988.12	1242.34	764.36	825.0	466.88	1417.35	629.35	1662.49	559.28	791.35	4903.87	1857.6	708.18	343.89	819.3	397.93	185.11	536.45	299.25	318.57	157.68	206.94	291.04	532.74	267.73	480.04	151.22	150.17	218.79	106.63	177.53	409.15	624.99	665.29	587.13	1066.48	1259.69
IREB2	151.22	275.28	195.72	480.04	406.31	612.11	457.25	285.03	387.02	279.14	341.51	318.57	387.02	371.22	507.46	265.87	423.61	211.31	493.56	624.99	532.74	454.09	178.77	429.54	202.66	172.65	131.51	215.77	246.28	171.45	149.12	289.02	228.13	173.85	327.56	124.37	90.77	124.37	122.64	74.06	181.28	291.04	379.04	392.44	518.15	361.04
KAT6A	117.6	228.13	134.3	466.88	432.53	511.0	1037.29	267.73	316.37	406.31	277.2	318.57	400.71	209.84	493.56	217.27	656.11	154.42	454.09	2720.15	559.28	148.09	153.34	441.64	149.12	103.69	150.17	96.01	191.67	59.13	45.85	186.4	208.38	189.02	297.17	26.1	24.63	34.51	20.86	16.51	94.67	376.41	351.14	341.51	480.04	237.86
KATNAL1	68.07	149.12	40.93	164.42	170.25	178.77	134.3	144.01	53.95	97.36	108.14	124.37	163.28	123.5	166.73	164.42	162.14	120.94	146.03	392.44	220.32	117.6	115.97	351.14	124.37	79.45	38.95	68.55	87.65	102.25	80.57	162.14	100.83	102.97	190.34	40.07	30.78	17.25	35.5	13.22	61.25	126.12	131.51	199.85	150.17	156.59
KIAA0753	76.71	92.7	91.41	223.41	289.02	209.84	400.71	106.63	173.85	95.34	201.25	197.09	85.82	131.51	267.73	178.77	381.68	143.01	158.79	412.0	432.53	189.02	152.28	208.38	71.5	98.73	92.7	163.28	109.66	100.83	59.13	165.57	115.16	41.22	113.56	35.76	34.26	22.92	18.84	17.0	65.26	204.07	202.66	169.07	223.41	281.09
KIAA1109	212.78	327.56	341.51	1135.2	884.29	1008.9	785.88	406.31	543.96	392.44	733.19	470.14	607.87	379.04	1096.5	432.53	860.08	301.33	703.28	954.43	1757.34	466.88	511.0	480.04	301.33	162.14	246.28	356.05	231.32	287.01	136.19	249.73	295.11	303.44	395.18	163.28	134.3	128.79	167.9	81.14	221.86	420.68	575.03	559.28	703.28	802.41
MGA	52.45	96.68	72.01	231.32	256.78	293.07	314.17	149.12	154.42	134.3	144.01	124.37	165.57	131.51	246.28	128.79	279.14	126.12	220.32	334.46	409.15	130.6	132.44	159.9	49.56	61.68	73.03	95.34	82.29	56.68	38.67	127.0	93.35	122.64	144.01	21.63	28.24	30.34	17.0	24.63	63.89	162.14	206.94	178.77	232.94	108.9
MIER3	62.56	93.35	67.12	403.5	183.82	271.48	320.8	178.77	198.47	231.32	182.55	186.4	204.07	212.78	432.53	158.79	454.09	125.24	228.13	395.18	353.59	150.17	163.28	156.59	88.26	73.54	77.79	90.14	137.14	57.08	52.45	128.79	83.45	151.22	147.06	55.49	60.82	55.49	86.43	69.03	91.41	154.42	215.77	218.79	190.34	145.02
MKL2	111.99	133.36	87.65	830.75	738.29	808.0	808.0	239.52	563.18	493.56	480.04	423.61	476.71	194.36	802.41	131.51	866.07	148.09	759.08	830.75	830.75	255.0	162.14	518.15	166.73	92.05	107.38	120.94	115.16	69.03	50.63	223.41	177.53	211.31	301.33	24.81	23.76	21.16	22.1	11.3	84.04	212.78	275.28	400.71	511.0	420.68
MPHOSPH8	392.44	521.76	536.45	759.08	791.35	813.63	769.69	647.07	665.29	417.77	759.08	529.06	620.67	713.11	981.29	698.41	830.75	698.41	753.83	3081.75	1378.57	323.03	571.05	848.22	343.89	217.27	463.65	473.41	258.57	262.2	316.37	420.68	447.82	387.02	412.0	236.21	267.73	351.14	228.13	264.03	267.73	559.28	540.19	825.0	769.69	1191.69
MTMR6	167.9	205.5	145.02	384.34	255.0	356.05	379.04	271.48	414.87	180.02	234.57	246.28	295.11	279.14	348.71	289.02	334.46	205.5	309.83	915.51	363.56	166.73	320.8	417.77	187.71	142.01	137.14	169.07	164.42	143.01	92.7	218.79	242.88	241.19	217.27	81.71	88.88	61.25	70.51	32.36	163.28	255.0	223.41	273.37	348.71	226.54
MYO9A	61.25	120.1	78.34	232.94	379.04	435.55	204.07	171.45	186.4	146.03	194.36	189.02	231.32	121.79	361.04	100.13	323.03	92.05	323.03	341.51	429.54	123.5	167.9	177.53	142.01	64.8	60.82	63.45	59.13	69.52	50.27	118.43	115.16	77.25	187.71	6.73	8.13	8.58	29.27	8.85	34.26	112.77	170.25	215.77	236.21	246.28
NCOR1	486.75	723.08	688.78	1104.13	1551.09	1242.34	1721.16	1066.48	1183.45	860.08	1208.34	1286.18	974.5	872.1	1794.29	723.08	1721.16	1340.84	1059.11	1639.59	1498.22	1340.84	1096.5	1104.13	603.67	665.29	1561.89	902.89	759.08	511.0	616.37	947.83	836.53	802.41	1313.23	563.18	457.25	688.78	169.07	271.48	500.46	1008.9	1104.13	1709.26	1991.0	1096.5
NHS	17.51	38.4	29.91	218.79	86.43	57.49	105.89	65.26	66.65	44.25	38.95	40.36	89.51	77.79	170.25	94.67	71.0	59.97	56.68	438.59	32.36	26.67	343.89	67.59	44.25	48.52	90.77	44.57	29.27	32.36	19.11	81.71	44.89	58.71	47.17	1.87	0.64	1.89	0.0	0.53	7.28	125.24	140.04	84.04	55.89	75.64
NUPL1	281.09	199.85	229.72	759.08	470.14	412.0	591.22	260.38	607.87	297.17	379.04	353.59	371.22	480.04	525.39	384.34	587.13	285.03	414.87	2224.63	414.87	403.5	256.78	638.15	209.84	285.03	183.82	303.44	201.25	209.84	258.57	314.17	316.37	299.25	381.68	109.66	126.12	97.36	74.58	65.72	214.27	417.77	373.81	395.18	616.37	466.88
PCDHA10	7.22	0.85	2.16	11.55	8.45	16.39	81.14	40.36	18.43	5.96	32.13	22.26	8.0	62.56	7.63	6.57	19.53	44.25	34.75	137.14	1250.98	115.97	98.04	7.22	1.91	0.48	0.59	2.07	0.96	0.0	0.48	3.26	0.0	0.0	0.58	0.27	0.0	0.0	0.23	0.44	0.88	14.56	21.16	27.84	77.25	105.15
PCDHA13	0.0	6.73	0.0	41.52	2.32	12.64	56.68	2.89	4.54	0.34	3.23	1.5	1.95	12.27	2.36	1.11	1.35	1.1	7.34	102.97	0.19	3.86	4.24	0.49	0.53	0.0	1.04	0.47	0.0	0.0	0.0	0.0	0.48	0.54	0.0	0.0	0.0	0.22	0.0	0.0	3.2	6.73	2.51	22.26	2.53	8.06
PCDHA8	0.0	0.85	0.73	2.86	2.39	7.22	5.59	0.0	0.74	0.0	2.58	0.0	1.2	2.23	1.73	4.9	6.46	1.51	2.81	19.53	5.15	1.22	1.43	0.0	1.33	0.77	0.0	0.0	0.0	0.48	0.0	0.47	0.83	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	1.2	1.62	10.96	4.74
PCDHA9	0.0	0.0	0.0	3.5	0.69	5.11	3.63	2.12	1.46	0.0	1.5	0.78	0.0	1.85	0.71	1.16	2.41	0.39	2.41	14.14	4.28	2.81	5.73	0.69	0.47	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	0.44	1.19	9.56	4.13
PCMTD2	301.33	500.46	397.93	1081.39	1111.82	1051.79	1286.18	603.67	848.22	595.34	988.12	733.19	603.67	525.39	842.36	493.56	896.64	511.0	819.3	8538.88	2240.11	718.08	909.17	579.04	253.23	159.9	318.57	665.29	297.17	314.17	176.29	423.61	486.75	287.01	368.65	224.97	246.28	220.32	307.69	115.97	376.41	473.41	629.35	679.29	928.3	1037.29
PIK3C2A	140.04	181.28	144.01	780.44	555.41	620.67	555.41	346.29	540.19	336.79	376.41	299.25	381.68	269.6	559.28	234.57	540.19	164.42	616.37	684.02	559.28	249.73	264.03	642.59	144.01	153.34	117.6	115.97	144.01	121.79	50.63	211.31	228.13	232.94	248.0	79.45	74.06	54.33	54.33	65.72	206.94	343.89	307.69	420.68	536.45	403.5
POMK	2.76	16.63	28.65	49.91	69.52	85.82	180.02	37.32	96.68	65.72	32.13	26.1	50.27	42.71	79.45	27.84	119.26	8.32	79.45	503.95	133.36	37.32	26.67	208.38	36.53	30.56	13.42	10.31	80.01	7.4	9.7	39.79	64.8	38.12	72.52	2.36	4.5	2.41	0.6	1.87	9.27	108.9	70.01	128.79	251.48	51.71
PPIP5K2	265.87	329.84	275.28	872.1	642.59	665.29	842.36	525.39	551.56	435.55	518.15	551.56	540.19	579.04	802.41	497.0	902.89	301.33	620.67	825.0	1096.5	669.92	435.55	583.07	191.67	147.06	231.32	320.8	651.58	327.56	211.31	356.05	271.48	339.14	293.07	197.09	149.12	140.04	217.27	246.28	332.14	497.0	483.38	825.0	595.34	435.55
PSPC1	616.37	620.67	624.99	848.22	1111.82	723.08	1167.14	629.35	896.64	656.11	624.99	620.67	616.37	902.89	872.1	679.29	860.08	796.86	748.61	3564.78	1088.92	842.36	1015.93	567.1	285.03	353.59	435.55	497.0	251.48	305.55	579.04	348.71	447.82	305.55	348.71	363.56	301.33	346.29	138.1	612.11	435.55	703.28	438.59	587.13	532.74	665.29
RAD9B	3.89	0.88	2.56	12.09	11.13	15.34	24.99	6.73	11.13	25.91	9.56	4.54	5.15	13.22	15.11	6.78	9.56	3.69	5.19	41.22	39.79	10.79	12.55	20.71	7.4	4.94	3.79	2.41	12.36	3.59	2.01	10.08	9.93	13.62	6.62	0.82	0.83	0.43	1.08	0.92	4.7	1.73	12.18	2.39	6.46	10.71
RBM12B	25.72	90.77	122.64	371.22	204.07	297.17	379.04	126.12	198.47	249.73	148.09	138.1	190.34	162.14	329.84	142.01	320.8	151.22	215.77	406.31	363.56	144.01	142.01	242.88	82.29	56.68	67.12	101.54	102.25	46.84	39.22	132.44	45.85	87.03	147.06	33.54	18.43	42.71	29.91	44.57	70.01	199.85	206.94	181.28	244.57	163.28
REST	109.66	170.25	145.02	511.0	444.72	438.59	353.59	285.03	291.04	248.0	226.54	198.47	265.87	277.2	473.41	258.57	423.61	218.79	289.02	555.41	587.13	351.14	199.85	293.07	190.34	136.19	129.69	217.27	211.31	100.83	100.13	299.25	166.73	215.77	232.94	46.84	56.68	47.17	45.85	52.08	139.07	229.72	291.04	368.65	332.14	185.11
RNF170	133.36	234.57	169.07	320.8	314.17	241.19	368.65	183.82	199.85	309.83	256.78	183.82	236.21	215.77	305.55	202.66	318.57	201.25	346.29	1268.46	525.39	373.81	291.04	209.84	102.97	76.17	125.24	126.12	156.59	69.52	58.3	153.34	129.69	113.56	202.66	69.03	100.83	91.41	67.12	44.25	145.02	297.17	190.34	343.89	180.02	497.0
RNF6	224.97	343.89	327.56	791.35	620.67	567.1	693.58	571.05	543.96	387.02	403.5	406.31	420.68	486.75	693.58	441.64	728.11	476.71	575.03	2004.85	651.58	417.77	299.25	529.06	547.75	323.03	253.23	480.04	237.86	232.94	332.14	381.68	384.34	514.56	486.75	154.42	140.04	100.13	97.36	58.3	297.17	438.59	417.77	473.41	511.0	320.8
RP11-307N16.6	0.0	0.0	0.0	3.86	6.46	4.78	2.34	0.0	2.56	3.79	2.23	0.0	4.39	2.23	1.73	0.0	3.47	0.0	2.84	16.03	8.65	0.0	0.0	1.51	1.33	1.5	0.0	1.16	2.1	0.0	0.0	3.56	3.26	1.35	2.84	0.0	0.0	0.0	0.0	0.0	0.0	3.32	1.45	3.14	9.27	4.58
RSBN1L	81.71	151.22	171.45	395.18	379.04	420.68	358.54	226.54	256.78	329.84	248.0	208.38	236.21	234.57	409.15	187.71	379.04	198.47	260.38	339.14	503.95	239.52	220.32	236.21	139.07	105.15	154.42	162.14	109.66	71.5	66.18	120.94	162.14	142.01	177.53	63.89	87.03	64.8	110.43	88.88	147.06	218.79	211.31	267.73	283.05	228.13
SETD2	195.72	426.57	323.03	616.37	684.02	587.13	629.35	420.68	547.75	420.68	412.0	325.29	358.54	336.79	624.99	379.04	620.67	351.14	521.76	679.29	1008.9	363.56	351.14	423.61	244.57	163.28	242.88	323.03	164.42	248.0	129.69	301.33	289.02	217.27	339.14	140.04	156.59	148.09	180.02	165.57	277.2	353.59	460.44	460.44	547.75	490.14
SMARCAD1	94.01	186.4	176.29	543.96	366.09	507.46	486.75	256.78	336.79	232.94	297.17	255.0	301.33	323.03	435.55	332.14	429.54	206.94	329.84	525.39	620.67	384.34	301.33	312.0	120.1	154.42	173.85	532.74	147.06	154.42	119.26	236.21	170.25	186.4	271.48	36.27	67.12	40.36	58.71	26.47	102.25	289.02	291.04	444.72	497.0	327.56
SP1	229.72	642.59	339.14	1044.52	1268.46	1051.79	967.76	698.41	796.86	884.29	713.11	684.02	934.76	698.41	1104.13	616.37	1111.82	599.49	928.3	995.0	1388.16	583.07	403.5	660.68	490.14	406.31	486.75	497.0	551.56	336.79	224.97	587.13	559.28	583.07	684.02	127.0	154.42	189.02	152.28	144.01	314.17	583.07	764.36	836.53	988.12	638.15
SPATA13	133.36	224.97	147.06	769.69	674.59	348.71	529.06	334.46	483.38	423.61	441.64	334.46	518.15	237.86	616.37	334.46	525.39	281.09	343.89	2047.0	612.11	444.72	99.43	336.79	126.12	63.89	102.25	100.13	122.64	83.45	35.5	151.22	269.6	125.24	163.28	152.28	120.1	167.9	94.01	37.05	190.34	379.04	249.73	336.79	808.0	341.51
