	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E2.A15I.11A.32R.A137.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.TML8.1226.SM.32QON	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA34.11A.11R.A41I.07	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.14753.1626.SM.5NQ9L
ZNF146	1388.16	909.17	2047.0	1769.57	1594.73	414.87	476.71	616.37	376.41	376.41	224.97	351.14	205.5
ZNF227	281.09	314.17	507.46	547.75	379.04	84.63	87.03	117.6	146.03	92.05	36.01	86.43	56.28
ZNF23	197.09	226.54	287.01	336.79	223.41	69.03	98.73	98.73	126.12	99.43	34.51	65.26	47.5
ZNF235	87.65	56.68	116.78	83.45	69.52	17.0	25.17	55.89	50.27	28.04	3.96	10.16	4.35
ZNF253	175.07	191.67	368.65	289.02	214.27	41.52	50.98	45.85	67.59	52.82	13.32	33.78	19.82
ZNF260	228.13	152.28	368.65	343.89	228.13	43.02	58.3	70.01	68.55	52.08	10.79	28.04	21.47
ZNF33B	242.88	166.73	426.57	392.44	356.05	87.65	118.43	206.94	231.32	87.03	13.52	62.12	62.56
ZNF420	157.68	220.32	435.55	346.29	441.64	33.06	64.34	59.13	40.64	60.82	39.79	19.82	39.79
ZNF429	303.44	309.83	409.15	476.71	476.71	123.5	171.45	170.25	63.45	136.19	112.77	100.83	122.64
ZNF562	371.22	232.94	417.77	358.54	264.03	92.05	86.43	514.56	325.29	97.36	28.04	56.68	41.81
ZNF572	26.1	21.47	88.26	109.66	75.11	9.2	14.56	15.34	10.0	12.74	2.53	3.5	1.48
ZNF589	167.9	158.79	289.02	209.84	214.27	25.54	32.13	195.72	463.65	28.04	14.45	20.71	13.42
ZNF594	82.87	76.17	181.28	232.94	161.02	12.64	13.03	55.1	61.25	16.27	1.13	11.04	1.19
ZNF605	161.02	94.67	211.31	246.28	258.57	29.27	50.63	91.41	173.85	41.52	8.45	27.05	9.7
ZNF621	221.86	165.57	256.78	329.84	244.57	38.95	56.28	150.17	162.14	47.5	31.22	18.56	23.76
ZNF658	97.36	101.54	212.78	223.41	185.11	20.26	23.76	53.57	71.5	15.22	5.23	10.71	5.96
ZNF69	136.19	120.94	154.42	295.11	148.09	98.73	108.9	327.56	136.19	127.0	100.13	64.34	92.7
ZNF766	343.89	265.87	540.19	500.46	414.87	75.64	77.25	169.07	110.43	73.03	48.52	54.72	57.49
ZNF790	105.89	104.42	161.02	224.97	172.65	60.82	136.19	132.44	43.02	85.22	59.13	72.01	49.56
ZNF816	157.68	182.55	191.67	417.77	295.11	40.93	37.59	490.14	205.5	46.84	3.72	26.67	0.06
ZSWIM1	195.72	166.73	241.19	255.0	206.94	50.27	88.88	187.71	205.5	53.19	49.56	43.32	27.44
ZXDC	348.71	348.71	493.56	583.07	591.22	271.48	343.89	480.04	438.59	256.78	228.13	316.37	208.38
