	TCGA.BH.A1EU.11A.23R.A137.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.BJ.A0Z2.01A.11R.A10U.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.L6.A4ET.01A.11R.A250.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.FK.A3SG.01A.11R.A22L.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3E5.01A.11R.A20F.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A4K2.01A.11R.A250.07	TCGA.ET.A2N5.01A.11R.A18C.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.EM.A4FQ.01A.11R.A250.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.DJ.A4V4.01A.11R.A250.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.ET.A2MX.11C.11R.A23N.07	TCGA.EL.A3N3.11A.11R.A20F.07	GTEX.Y111.1926.SM.4SOIS	GTEX.RM2N.0526.SM.2TF4N	GTEX.OIZH.2626.SM.2HMJM	GTEX.W5X1.0426.SM.3GILB	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.11GS4.0826.SM.5986J	GTEX.ZTX8.0626.SM.59HKC	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.S7SE.0726.SM.2XCD7	GTEX.ZLWG.0526.SM.4WWFB	GTEX.11TTK.0826.SM.5N9EG	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.PWCY.2326.SM.2I3EQ	GTEX.OOBK.2626.SM.2HMKY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1	TCGA.BK.A26L.01A.11R.A277.07
CTD-2583A14.10	112.77	63.89	256.78	56.28	150.17	100.13	17.51	16.15	29.48	70.01	34.26	25.35	36.53	38.12	22.43	28.04	24.28	12.27	26.67	28.24	33.54	24.81	15.45	28.45	43.32	17.51	26.86	12.93	26.28	22.92	9.63	21.01	34.26	75.64	51.71	51.35	77.79	55.49	43.94	52.82	23.25	31.9	47.84	70.01	90.77	69.52	45.85	29.7	31.22	70.01	49.56	48.18	42.71	72.52	27.05	85.22	65.72	27.64	59.55	47.84	11.55	48.87	62.12	47.17	44.25	35.5	58.71	75.64	56.68	42.41	43.94	35.0	25.54	26.86	17.51	26.28	12.93	26.67	13.62	94.67	39.5	28.86	21.01	55.89	52.45	20.56	57.89	33.3	27.84	52.45	49.21	64.8	59.97	79.45	39.22	9.7	64.34	28.45	38.12	26.67	117.6
CTDSP2	4543.8	4210.15	2609.3	3690.52	4181.07	4095.0	1427.22	1277.29	1199.98	1350.18	1151.06	1250.98	1427.22	1073.91	974.5	1397.83	1216.75	1088.92	1340.84	1417.35	1378.57	1066.48	1183.45	1286.18	1250.98	1051.79	1059.11	1322.37	1304.15	961.07	1378.57	1008.9	1467.37	2537.92	1963.57	2367.9	1477.58	3039.3	1529.73	1605.83	1674.06	1745.2	2209.26	1963.57	1963.57	2976.74	2004.85	2485.67	2434.5	2758.13	1857.6	2119.22	2004.85	1806.78	1388.16	2240.11	1628.26	1745.2	1639.59	2835.7	1583.71	2104.58	3039.3	1991.0	1950.0	2303.12	2004.85	1397.83	1498.22	2047.0	2255.7	1896.65	2090.03	2090.03	1359.57	1417.35	1628.26	2468.49	1819.35	1857.6	2417.67	1991.0	1151.06	1477.58	2335.28	2591.27	2400.97	1651.0	1051.79	1896.65	1977.24	1844.76	2090.03	1769.57	1508.65	1832.01	2032.85	2104.58	2032.85	1437.15	2193.99
CWF19L1	532.74	500.46	518.15	514.56	447.82	423.61	206.94	267.73	212.78	269.6	181.28	279.14	195.72	198.47	212.78	220.32	246.28	309.83	316.37	343.89	253.23	253.23	271.48	224.97	180.02	211.31	265.87	248.0	303.44	291.04	193.01	248.0	341.51	435.55	293.07	381.68	327.56	379.04	214.27	307.69	244.57	325.29	316.37	297.17	249.73	301.33	205.5	346.29	289.02	320.8	400.71	303.44	253.23	339.14	283.05	223.41	287.01	273.37	303.44	297.17	327.56	285.03	336.79	262.2	255.0	285.03	325.29	309.83	255.0	237.86	363.56	348.71	277.2	297.17	214.27	232.94	309.83	379.04	295.11	423.61	361.04	307.69	285.03	253.23	289.02	353.59	353.59	293.07	293.07	267.73	366.09	368.65	312.0	325.29	217.27	206.94	237.86	281.09	258.57	218.79	559.28
CYB5R4	305.55	275.28	414.87	332.14	346.29	249.73	78.34	68.55	112.77	92.05	89.51	58.3	63.45	76.71	66.18	89.51	84.04	78.34	101.54	120.1	74.06	96.01	129.69	110.43	74.58	88.26	44.57	57.49	98.04	49.91	115.97	70.51	100.83	285.03	149.12	135.24	190.34	147.06	143.01	193.01	85.82	108.14	163.28	125.24	155.5	124.37	341.51	108.9	118.43	141.02	163.28	123.5	129.69	167.9	153.34	209.84	136.19	149.12	166.73	189.02	142.01	139.07	232.94	126.12	193.01	193.01	170.25	115.97	123.5	156.59	139.07	166.73	154.42	112.77	124.37	122.64	241.19	165.57	134.3	145.02	214.27	152.28	114.36	159.9	187.71	208.38	185.11	104.42	115.16	154.42	96.68	120.1	209.84	161.02	131.51	186.4	142.01	141.02	139.07	149.12	244.57
DDX18	1304.15	1233.75	1359.57	1909.85	1096.5	1427.22	460.44	486.75	438.59	507.46	423.61	441.64	400.71	412.0	476.71	514.56	507.46	403.5	438.59	612.11	366.09	417.77	521.76	543.96	493.56	361.04	392.44	432.53	435.55	532.74	417.77	420.68	599.49	981.29	497.0	1030.12	764.36	1051.79	693.58	866.07	500.46	748.61	872.1	738.29	791.35	1066.48	961.07	656.11	748.61	909.17	769.69	543.96	567.1	728.11	743.43	775.05	896.64	819.3	703.28	1023.0	780.44	890.44	1250.98	629.35	525.39	571.05	830.75	1051.79	688.78	642.59	915.51	775.05	909.17	551.56	438.59	624.99	684.02	1044.52	674.59	1073.91	733.19	872.1	529.06	759.08	947.83	703.28	1167.14	708.18	518.15	728.11	802.41	1313.23	896.64	796.86	470.14	808.0	497.0	603.67	808.0	660.68	1781.89
DDX6	1583.71	1331.57	1639.59	2090.03	1477.58	1697.45	291.04	201.25	267.73	406.31	202.66	211.31	281.09	256.78	193.01	262.2	256.78	138.1	217.27	447.82	253.23	165.57	329.84	334.46	215.77	194.36	260.38	228.13	242.88	237.86	191.67	289.02	327.56	981.29	620.67	915.51	902.89	902.89	483.38	830.75	267.73	651.58	802.41	775.05	684.02	1037.29	547.75	830.75	454.09	813.63	665.29	289.02	470.14	733.19	791.35	665.29	435.55	490.14	583.07	896.64	651.58	624.99	808.0	476.71	343.89	281.09	1073.91	669.92	607.87	409.15	769.69	612.11	764.36	332.14	373.81	463.65	463.65	775.05	414.87	1030.12	995.0	854.13	215.77	651.58	872.1	866.07	1359.57	785.88	228.13	591.22	934.76	1001.93	748.61	503.95	348.71	420.68	371.22	346.29	698.41	532.74	4328.55
EIF4E	1268.46	1183.45	1794.29	1529.73	1268.46	1457.23	500.46	412.0	409.15	808.0	651.58	435.55	688.78	591.22	423.61	607.87	651.58	483.38	728.11	902.89	587.13	518.15	599.49	813.63	412.0	426.57	500.46	432.53	555.41	599.49	493.56	674.59	748.61	1167.14	967.76	1277.29	1407.55	1167.14	1111.82	1721.16	836.53	1242.34	1135.2	1467.37	1081.39	1487.87	1639.59	1023.0	1119.56	1250.98	1096.5	954.43	1037.29	796.86	1340.84	1225.22	1233.75	1151.06	1111.82	1286.18	1208.34	1051.79	1721.16	1044.52	791.35	624.99	1322.37	1639.59	1208.34	775.05	1127.35	915.51	1844.76	733.19	981.29	967.76	872.1	1208.34	848.22	1268.46	1135.2	1225.22	1104.13	1551.09	1183.45	1199.98	1295.13	1359.57	860.08	1250.98	1143.1	1015.93	1388.16	981.29	808.0	1487.87	941.27	1023.0	1233.75	1175.27	1477.58
ERVW-1	7.28	3.99	11.55	9.13	9.34	10.79	0.87	0.88	0.52	6.46	1.35	0.84	5.54	2.71	0.51	0.49	0.88	0.95	0.53	3.08	1.28	0.0	3.56	1.81	3.47	0.0	3.29	2.14	0.55	0.48	0.54	5.28	4.54	4.78	1.43	9.93	4.9	11.21	0.92	3.26	1.11	3.56	4.7	6.46	5.59	13.83	1.69	4.31	3.35	6.73	7.17	3.35	5.06	12.0	3.23	8.25	4.62	1.71	5.82	9.63	7.69	11.73	5.5	1.17	0.99	2.39	3.06	3.63	3.38	1.73	6.16	6.31	3.86	1.23	3.29	3.79	1.89	11.3	0.16	13.72	6.41	1.99	2.01	7.57	9.85	8.71	5.23	8.19	0.66	5.45	9.78	13.52	10.47	3.56	0.89	2.23	1.16	4.06	3.89	1.93	25.72
FOXJ2	460.44	403.5	387.02	454.09	457.25	409.15	169.07	208.38	214.27	283.05	150.17	147.06	201.25	232.94	125.24	165.57	172.65	157.68	156.59	220.32	170.25	189.02	178.77	171.45	194.36	177.53	154.42	198.47	166.73	148.09	206.94	150.17	177.53	269.6	202.66	332.14	170.25	329.84	186.4	281.09	201.25	264.03	209.84	255.0	191.67	269.6	170.25	363.56	271.48	307.69	248.0	170.25	239.52	229.72	176.29	241.19	217.27	209.84	197.09	229.72	242.88	262.2	228.13	221.86	183.82	209.84	248.0	173.85	291.04	206.94	291.04	314.17	221.86	239.52	143.01	166.73	253.23	255.0	231.32	295.11	260.38	186.4	158.79	194.36	279.14	329.84	314.17	236.21	131.51	195.72	228.13	262.2	218.79	220.32	185.11	265.87	172.65	209.84	220.32	154.42	201.25
G2E3	323.03	269.6	358.54	397.93	305.55	291.04	52.82	44.57	69.52	87.65	31.0	44.57	61.68	61.68	42.41	68.07	62.56	25.91	47.5	105.89	66.65	52.45	76.71	63.45	68.55	35.5	55.49	62.56	59.97	55.49	47.5	74.58	96.01	177.53	67.59	387.02	97.36	305.55	80.01	153.34	70.01	131.51	129.69	134.3	90.14	167.9	84.63	115.16	120.94	145.02	149.12	72.52	145.02	90.14	134.3	113.56	115.16	114.36	89.51	155.5	124.37	140.04	145.02	72.52	88.26	94.01	132.44	124.37	102.25	100.83	154.42	108.9	135.24	76.71	82.87	69.52	83.45	141.02	136.19	234.57	170.25	112.77	89.51	102.97	162.14	146.03	182.55	171.45	98.04	148.09	140.04	255.0	129.69	154.42	80.57	96.68	81.14	94.67	87.03	66.65	1104.13
G3BP1	1991.0	1950.0	2335.28	2303.12	1870.53	2119.22	665.29	595.34	616.37	660.68	486.75	563.18	563.18	612.11	603.67	536.45	651.58	476.71	647.07	896.64	470.14	521.76	583.07	599.49	483.38	521.76	567.1	612.11	684.02	536.45	503.95	555.41	679.29	1369.04	567.1	1044.52	1467.37	1015.93	848.22	1104.13	511.0	764.36	941.27	896.64	769.69	1066.48	748.61	540.19	684.02	808.0	1081.39	616.37	713.11	872.1	988.12	902.89	995.0	825.0	1023.0	967.76	921.88	909.17	1427.22	728.11	642.59	583.07	1216.75	1216.75	728.11	698.41	854.13	860.08	1023.0	591.22	785.88	708.18	713.11	902.89	796.86	1199.98	928.3	1304.15	848.22	1127.35	713.11	802.41	1277.29	830.75	743.43	769.69	830.75	1159.07	1088.92	947.83	616.37	866.07	819.3	775.05	947.83	785.88	3928.15
