	TCGA.A7.A26G.01A.21R.A169.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.B8.5552.11A.01R.1672.07	TCGA.49.6744.11A.01R.1858.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.7794.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.EJ.8474.01A.11R.2403.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A8ML.01A.11R.A37L.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.YL.A8SI.01A.11R.A41O.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.HC.7738.01A.11R.2118.07	TCGA.CH.5753.01A.11R.1580.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.YL.A8SQ.01B.11R.A37L.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7080.01A.11R.1965.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.7781.01A.11R.2118.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A9WJ.01A.11R.A37L.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.EJ.7123.01A.11R.1965.07	TCGA.HC.7210.01A.11R.2118.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.HC.A8CY.01A.11R.A36G.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.XA.A8JR.01A.11R.A36G.07	TCGA.HC.8213.01A.11R.A29R.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.7786.01A.11R.2118.07	TCGA.EJ.5511.01A.01R.1580.07	TCGA.V1.A9OX.01A.11R.A41O.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.KK.A7AU.01A.11R.A32O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.FC.A8O0.01A.41R.A37L.07	TCGA.2A.AAYO.01A.11R.A41O.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WFG7.1826.SM.3GIL1
ASPSCR1	486.75	232.94	178.77	198.47	149.12	60.39	173.85	441.64	612.11	674.59	866.07	1111.82	651.58	738.29	435.55	860.08	819.3	493.56	866.07	616.37	1233.75	860.08	759.08	928.3	384.34	775.05	620.67	693.58	1088.92	825.0	753.83	599.49	713.11	1059.11	547.75	1030.12	825.0	860.08	1561.89	813.63	902.89	967.76	934.76	723.08	802.41	909.17	392.44	759.08	536.45	961.07	802.41	665.29	791.35	915.51	1001.93	1059.11	629.35	693.58	836.53	819.3	769.69	373.81	571.05	902.89	1191.69	1088.92	1295.13	638.15	785.88	1199.98	463.65	1183.45	842.36	1073.91	769.69	825.0	738.29	796.86	866.07	1159.07	733.19	921.88	1322.37	780.44	748.61	551.56	629.35	785.88	1081.39	753.83	571.05	836.53	813.63	1104.13	902.89	796.86	397.93	420.68	514.56	1268.46	1015.93	624.99	1225.22	854.13	420.68	941.27	429.54	679.29	638.15	1167.14	684.02	1295.13	1096.5	1044.52	575.03	1051.79	796.86	947.83	961.07	981.29	1111.82	1427.22	1143.1	947.83	684.02	591.22	775.05	830.75	674.59	753.83	860.08	624.99	532.74	521.76	866.07	775.05	543.96	521.76	363.56
ATG4D	253.23	241.19	181.28	173.85	199.85	173.85	205.5	392.44	521.76	521.76	775.05	775.05	748.61	791.35	483.38	713.11	769.69	497.0	830.75	591.22	1457.23	890.44	890.44	764.36	435.55	684.02	669.92	642.59	947.83	791.35	660.68	587.13	848.22	909.17	466.88	836.53	743.43	1015.93	1159.07	896.64	775.05	587.13	848.22	733.19	743.43	796.86	575.03	775.05	872.1	713.11	753.83	633.73	796.86	836.53	759.08	808.0	759.08	713.11	947.83	718.08	703.28	540.19	665.29	909.17	1340.84	1322.37	1242.34	497.0	748.61	825.0	486.75	1135.2	733.19	796.86	753.83	656.11	1397.83	928.3	738.29	1066.48	728.11	802.41	967.76	647.07	629.35	567.1	703.28	612.11	738.29	728.11	599.49	674.59	1088.92	753.83	813.63	629.35	521.76	403.5	555.41	836.53	1023.0	638.15	1159.07	813.63	490.14	848.22	473.41	595.34	679.29	1277.29	825.0	947.83	1023.0	1081.39	624.99	1286.18	703.28	738.29	579.04	1066.48	872.1	769.69	1225.22	842.36	595.34	551.56	728.11	728.11	532.74	693.58	651.58	579.04	547.75	532.74	603.67	830.75	651.58	457.25	540.19
AURKAIP1	656.11	698.41	698.41	1151.06	289.02	454.09	995.0	1208.34	2255.7	2224.63	2855.44	4607.24	2796.65	3039.3	1651.0	3103.19	3540.14	1896.65	3349.13	2417.67	4543.8	3614.55	3349.13	3794.3	1733.13	3168.41	2032.85	2915.45	3874.05	3168.41	3372.43	2303.12	2758.13	4450.27	1844.76	4010.71	2645.74	3443.31	5041.77	3847.29	3212.66	3955.48	3768.09	3794.3	3325.99	3443.31	1883.54	3665.02	1709.26	4736.79	3349.13	2163.77	3124.78	4181.07	4358.66	4181.07	3212.66	2935.74	3235.01	3349.13	2224.63	2555.58	2417.67	3395.89	5041.77	3614.55	5995.9	2520.38	3039.3	4903.87	1896.65	4704.07	3847.29	4181.07	3443.31	3103.19	4095.0	3212.66	4095.0	4937.99	3081.75	3768.09	3614.55	2935.74	2119.22	2434.5	2609.3	2956.17	4123.49	3212.66	2061.24	3081.75	3419.52	4298.64	4328.55	3146.52	1806.78	1844.76	2032.85	4575.41	3280.18	2502.97	5403.7	3467.27	2032.85	4038.61	2061.24	2997.45	2400.97	5255.91	2976.74	4010.71	3467.27	3820.7	2384.37	3540.14	3081.75	4543.8	3146.52	3982.99	5147.73	4639.29	3928.15	3901.01	2627.46	2367.9	2875.3	2875.3	2895.31	4095.0	3168.41	2303.12	2400.97	2384.37	3060.45	4181.07	2224.63	2303.12	2163.77
B3GALT6	165.57	189.02	112.77	167.9	175.07	127.89	164.42	189.02	332.14	314.17	312.0	688.78	318.57	438.59	211.31	339.14	511.0	234.57	389.72	293.07	764.36	363.56	620.67	287.01	201.25	409.15	316.37	480.04	638.15	376.41	381.68	309.83	318.57	616.37	341.51	463.65	343.89	591.22	947.83	703.28	417.77	348.71	579.04	332.14	392.44	457.25	163.28	358.54	281.09	473.41	503.95	363.56	476.71	599.49	486.75	529.06	287.01	450.94	490.14	387.02	493.56	373.81	327.56	343.89	540.19	872.1	525.39	412.0	384.34	438.59	277.2	842.36	503.95	551.56	346.29	329.84	265.87	403.5	507.46	483.38	368.65	532.74	647.07	480.04	336.79	318.57	379.04	295.11	583.07	490.14	450.94	616.37	518.15	438.59	379.04	303.44	253.23	275.28	241.19	486.75	612.11	343.89	981.29	348.71	297.17	567.1	244.57	361.04	293.07	791.35	351.14	444.72	540.19	854.13	318.57	693.58	470.14	389.72	376.41	514.56	503.95	490.14	624.99	638.15	232.94	212.78	234.57	307.69	212.78	426.57	291.04	265.87	318.57	234.57	336.79	497.0	206.94	232.94	273.37
B3GAT3	529.06	295.11	211.31	283.05	164.42	201.25	540.19	514.56	1159.07	1135.2	1540.37	2855.44	1250.98	1721.16	718.08	1268.46	2148.82	842.36	1417.35	1250.98	2240.11	1977.24	1844.76	1769.57	769.69	1407.55	1119.56	1551.09	1936.53	1923.14	1498.22	1369.04	1437.15	2384.37	909.17	2104.58	1605.83	1697.45	2335.28	1313.23	2255.7	1896.65	1639.59	1457.23	1369.04	1529.73	928.3	1721.16	860.08	1896.65	1977.24	1199.98	1583.71	1651.0	2287.2	2351.53	1561.89	1397.83	1583.71	1769.57	1896.65	1135.2	1295.13	2384.37	2555.58	2335.28	2255.7	1350.18	1250.98	1870.53	896.64	2816.11	1561.89	1628.26	1662.49	1378.57	1651.0	1844.76	1923.14	2018.8	1583.71	1769.57	1977.24	1594.73	1457.23	954.43	1529.73	1313.23	1909.85	1794.29	1001.93	1745.2	1561.89	2303.12	1757.34	1437.15	723.08	902.89	848.22	1781.89	1844.76	1208.34	2875.3	1457.23	902.89	1529.73	775.05	1662.49	1023.0	2104.58	1498.22	1745.2	1936.53	2004.85	1457.23	1806.78	1781.89	2075.59	1233.75	1745.2	2384.37	1950.0	2367.9	1963.57	1059.11	1233.75	1417.35	1733.13	1199.98	1628.26	1733.13	1183.45	1008.9	915.51	1427.22	1745.2	967.76	981.29	723.08
B3GNTL1	143.01	98.04	66.65	63.0	57.49	74.58	53.95	96.68	140.04	223.41	141.02	237.86	141.02	152.28	94.67	126.12	260.38	103.69	181.28	163.28	189.02	169.07	133.36	157.68	85.82	164.42	130.6	202.66	198.47	269.6	204.07	161.02	128.79	289.02	118.43	232.94	173.85	198.47	334.46	149.12	239.52	198.47	262.2	106.63	157.68	135.24	102.25	206.94	132.44	232.94	150.17	232.94	151.22	211.31	223.41	215.77	209.84	140.04	122.64	211.31	143.01	140.04	154.42	205.5	320.8	293.07	209.84	183.82	152.28	156.59	132.44	275.28	116.78	142.01	231.32	124.37	223.41	159.9	244.57	265.87	178.77	212.78	231.32	176.29	128.79	127.0	119.26	190.34	202.66	231.32	111.21	180.02	110.43	193.01	191.67	242.88	121.79	72.52	122.64	191.67	218.79	181.28	293.07	237.86	99.43	234.57	85.82	148.09	169.07	269.6	163.28	195.72	299.25	187.71	229.72	287.01	166.73	181.28	111.21	173.85	223.41	312.0	316.37	194.36	102.97	96.68	189.02	139.07	126.12	155.5	79.45	99.43	126.12	87.65	128.79	108.14	124.37	95.34	77.25
BLOC1S4	148.09	224.97	143.01	166.73	279.14	125.24	228.13	206.94	343.89	325.29	414.87	567.1	403.5	525.39	260.38	412.0	500.46	279.14	400.71	320.8	518.15	412.0	525.39	384.34	295.11	463.65	356.05	409.15	346.29	420.68	454.09	348.71	409.15	540.19	325.29	441.64	325.29	511.0	376.41	438.59	339.14	429.54	447.82	384.34	384.34	376.41	299.25	450.94	149.12	507.46	395.18	409.15	525.39	426.57	476.71	389.72	406.31	409.15	454.09	438.59	343.89	348.71	323.03	511.0	954.43	429.54	571.05	395.18	409.15	450.94	332.14	486.75	373.81	457.25	403.5	356.05	500.46	400.71	532.74	457.25	444.72	511.0	500.46	379.04	392.44	224.97	395.18	312.0	423.61	476.71	417.77	414.87	521.76	363.56	414.87	339.14	277.2	260.38	341.51	525.39	441.64	400.71	483.38	389.72	341.51	417.77	287.01	336.79	348.71	483.38	389.72	591.22	447.82	500.46	289.02	420.68	438.59	490.14	400.71	395.18	473.41	376.41	414.87	466.88	371.22	309.83	309.83	323.03	339.14	371.22	264.03	348.71	327.56	293.07	287.01	403.5	291.04	265.87	267.73
BOLA2	96.68	61.68	71.5	66.65	27.64	40.36	98.73	125.24	195.72	154.42	241.19	0.0	249.73	329.84	132.44	217.27	400.71	139.07	299.25	190.34	521.76	275.28	133.36	223.41	142.01	269.6	181.28	234.57	293.07	275.28	239.52	169.07	265.87	595.34	122.64	406.31	264.03	1.79	432.53	4.86	316.37	341.51	373.81	226.54	246.28	346.29	111.21	358.54	158.79	409.15	301.33	242.88	283.05	287.01	450.94	251.48	242.88	283.05	303.44	314.17	166.73	187.71	178.77	307.69	603.67	301.33	521.76	155.5	229.72	629.35	140.04	423.61	251.48	309.83	400.71	229.72	293.07	389.72	379.04	373.81	285.03	447.82	379.04	612.11	149.12	183.82	301.33	178.77	403.5	239.52	190.34	301.33	332.14	366.09	353.59	281.09	125.24	120.94	151.22	320.8	435.55	226.54	713.11	336.79	152.28	343.89	146.03	214.27	246.28	567.1	287.01	543.96	299.25	412.0	198.47	353.59	267.73	379.04	193.01	303.44	447.82	316.37	420.68	412.0	151.22	139.07	229.72	190.34	202.66	215.77	162.14	166.73	147.06	153.34	193.01	236.21	156.59	117.6	74.58
C11orf83	149.12	63.0	85.82	92.7	39.5	36.27	61.25	103.69	480.04	314.17	366.09	1151.06	454.09	368.65	194.36	403.5	848.22	226.54	583.07	423.61	775.05	633.73	796.86	567.1	253.23	575.03	466.88	466.88	764.36	647.07	703.28	403.5	638.15	842.36	271.48	819.3	518.15	579.04	1561.89	638.15	599.49	1051.79	579.04	595.34	599.49	536.45	231.32	796.86	273.37	1066.48	603.67	356.05	633.73	988.12	988.12	947.83	536.45	444.72	444.72	559.28	426.57	341.51	395.18	1388.16	934.76	633.73	1066.48	486.75	503.95	1721.16	279.14	785.88	723.08	723.08	825.0	679.29	674.59	688.78	780.44	896.64	575.03	674.59	708.18	713.11	341.51	339.14	555.41	551.56	1044.52	753.83	334.46	555.41	612.11	1191.69	808.0	684.02	209.84	260.38	334.46	848.22	764.36	429.54	1304.15	583.07	351.14	583.07	220.32	684.02	486.75	1066.48	583.07	866.07	866.07	1051.79	395.18	490.14	738.29	934.76	595.34	603.67	1059.11	909.17	723.08	684.02	400.71	466.88	511.0	470.14	518.15	559.28	438.59	379.04	366.09	297.17	444.72	651.58	307.69	353.59	318.57
C19orf60	341.51	356.05	295.11	395.18	153.34	82.87	277.2	529.06	753.83	376.41	1066.48	2255.7	928.3	967.76	620.67	1199.98	1709.26	493.56	1617.0	743.43	2047.0	1242.34	1378.57	1295.13	507.46	1594.73	769.69	1304.15	1733.13	1191.69	1167.14	1216.75	1225.22	2537.92	540.19	1721.16	1407.55	1651.0	3124.78	961.07	1127.35	1806.78	2417.67	1191.69	1721.16	2047.0	463.65	1259.69	647.07	1936.53	854.13	1044.52	1277.29	2701.35	1963.57	2485.67	1359.57	674.59	1037.29	1081.39	896.64	642.59	872.1	1936.53	2400.97	2485.67	2032.85	708.18	1896.65	2047.0	647.07	3467.27	1340.84	1806.78	1313.23	884.29	1437.15	1407.55	2119.22	1561.89	1378.57	1781.89	2148.82	1119.56	1605.83	559.28	878.17	974.5	1896.65	1407.55	688.78	785.88	1066.48	1651.0	2240.11	1135.2	389.72	432.53	775.05	2335.28	1662.49	796.86	3491.39	1119.56	583.07	854.13	511.0	1151.06	884.29	2367.9	1096.5	2287.2	1909.85	2682.69	500.46	1286.18	974.5	1437.15	1909.85	1909.85	2061.24	1806.78	2240.11	1378.57	1427.22	575.03	1030.12	1519.15	1277.29	1369.04	1081.39	1008.9	819.3	759.08	915.51	1135.2	941.27	753.83	514.56
C19orf73	13.12	39.5	26.1	16.63	29.91	6.11	10.71	22.43	53.19	60.82	84.04	126.12	63.89	77.79	45.21	68.07	88.26	34.75	58.3	50.27	291.04	86.43	67.12	77.79	32.59	70.51	43.02	38.4	223.41	94.01	105.15	37.85	65.72	187.71	25.91	94.67	58.71	90.14	152.28	132.44	54.72	68.07	99.43	83.45	62.56	111.21	37.32	96.68	29.7	92.05	76.17	67.12	126.12	108.14	130.6	78.34	57.89	48.18	67.59	99.43	60.39	62.12	58.3	61.68	110.43	303.44	147.06	79.45	51.71	70.01	52.45	116.78	43.02	54.72	38.95	53.95	158.79	71.0	148.09	50.27	83.45	67.12	98.73	105.15	46.5	31.0	41.22	39.5	107.38	94.01	58.71	63.45	143.01	67.12	111.99	35.0	35.76	21.32	28.45	64.34	87.03	46.18	176.29	62.56	41.81	91.41	24.81	41.22	23.59	155.5	105.89	223.41	114.36	139.07	37.85	126.12	87.03	226.54	60.82	77.79	93.35	94.01	96.68	78.34	65.72	36.27	47.84	54.72	46.5	104.42	44.25	38.12	16.63	52.08	34.51	75.11	34.26	37.32	67.12
C1orf170	15.8	30.56	0.0	2.66	19.68	9.27	18.03	7.34	53.19	51.35	111.21	202.66	50.63	66.65	43.32	155.5	149.12	23.76	144.01	85.82	249.73	78.34	48.18	134.3	37.85	78.34	65.26	220.32	153.34	56.28	92.7	109.66	36.01	35.5	78.89	271.48	140.04	142.01	223.41	110.43	84.63	157.68	187.71	74.06	84.04	102.97	27.64	94.01	84.63	127.0	54.33	125.24	100.13	339.14	214.27	163.28	221.86	110.43	171.45	135.24	49.91	18.43	76.71	130.6	447.82	237.86	73.54	57.08	229.72	228.13	23.93	182.55	124.37	36.27	107.38	68.07	28.45	126.12	129.69	110.43	56.28	52.82	260.38	76.17	130.6	38.4	54.33	86.43	161.02	231.32	50.63	48.52	54.33	171.45	49.56	111.21	46.84	56.68	82.87	348.71	177.53	47.5	148.09	35.5	50.98	94.67	56.28	76.71	68.07	176.29	108.14	209.84	85.82	86.43	58.3	172.65	95.34	53.95	104.42	194.36	95.34	197.09	176.29	175.07	49.21	59.97	59.97	125.24	97.36	75.11	39.22	67.12	81.14	51.35	23.25	120.1	46.5	71.5	66.18
C1orf56	51.71	118.43	158.79	105.15	119.26	50.63	133.36	64.34	224.97	248.0	343.89	713.11	348.71	223.41	197.09	314.17	273.37	211.31	241.19	258.57	384.34	438.59	253.23	309.83	195.72	285.03	239.52	281.09	346.29	215.77	167.9	260.38	325.29	409.15	208.38	368.65	289.02	353.59	269.6	323.03	318.57	277.2	320.8	480.04	356.05	309.83	212.78	273.37	201.25	287.01	297.17	279.14	406.31	409.15	348.71	287.01	368.65	202.66	371.22	265.87	260.38	221.86	226.54	329.84	180.02	813.63	351.14	249.73	241.19	343.89	185.11	629.35	329.84	409.15	239.52	258.57	361.04	241.19	318.57	346.29	246.28	343.89	332.14	215.77	348.71	231.32	215.77	395.18	299.25	256.78	251.48	400.71	285.03	358.54	334.46	253.23	208.38	205.5	265.87	371.22	279.14	255.0	312.0	299.25	202.66	301.33	153.34	287.01	220.32	503.95	258.57	423.61	312.0	279.14	214.27	397.93	400.71	336.79	289.02	387.02	429.54	361.04	332.14	301.33	262.2	303.44	269.6	316.37	275.28	400.71	283.05	262.2	201.25	159.9	291.04	363.56	237.86	273.37	244.57
C3orf62	67.59	132.44	146.03	112.77	95.34	191.67	59.55	95.34	193.01	228.13	175.07	312.0	131.51	249.73	185.11	169.07	197.09	153.34	229.72	202.66	275.28	161.02	228.13	190.34	102.25	201.25	199.85	253.23	258.57	215.77	220.32	232.94	159.9	332.14	178.77	226.54	239.52	258.57	358.54	224.97	246.28	223.41	275.28	209.84	197.09	162.14	185.11	224.97	100.13	260.38	264.03	341.51	285.03	215.77	224.97	264.03	218.79	166.73	124.37	287.01	232.94	224.97	228.13	176.29	368.65	403.5	242.88	183.82	265.87	239.52	159.9	363.56	223.41	208.38	249.73	218.79	312.0	231.32	185.11	208.38	255.0	336.79	281.09	221.86	134.3	146.03	205.5	180.02	312.0	186.4	140.04	253.23	262.2	293.07	255.0	198.47	169.07	209.84	133.36	289.02	191.67	193.01	299.25	255.0	201.25	234.57	162.14	185.11	166.73	332.14	197.09	244.57	187.71	273.37	223.41	271.48	170.25	176.29	246.28	217.27	283.05	241.19	500.46	275.28	154.42	161.02	133.36	244.57	148.09	201.25	167.9	169.07	175.07	122.64	223.41	135.24	162.14	144.01	146.03
C6orf136	279.14	193.01	253.23	242.88	236.21	255.0	267.73	253.23	314.17	397.93	305.55	587.13	426.57	353.59	283.05	358.54	490.14	291.04	514.56	343.89	665.29	368.65	381.68	293.07	258.57	403.5	299.25	457.25	429.54	341.51	480.04	289.02	403.5	708.18	269.6	392.44	371.22	414.87	323.03	429.54	351.14	373.81	507.46	423.61	381.68	486.75	202.66	450.94	293.07	441.64	341.51	392.44	314.17	536.45	395.18	429.54	356.05	297.17	400.71	406.31	353.59	305.55	303.44	460.44	503.95	603.67	579.04	397.93	363.56	450.94	318.57	507.46	361.04	373.81	395.18	361.04	624.99	412.0	547.75	511.0	420.68	389.72	514.56	356.05	285.03	312.0	426.57	307.69	356.05	363.56	346.29	423.61	423.61	389.72	493.56	400.71	297.17	287.01	229.72	417.77	547.75	332.14	473.41	486.75	277.2	521.76	242.88	373.81	551.56	665.29	379.04	463.65	420.68	463.65	309.83	500.46	323.03	518.15	376.41	507.46	511.0	438.59	743.43	503.95	351.14	341.51	334.46	423.61	303.44	450.94	244.57	309.83	353.59	314.17	395.18	417.77	361.04	256.78	299.25
C6orf226	87.03	154.42	218.79	163.28	147.06	72.01	107.38	287.01	336.79	307.69	341.51	1088.92	713.11	412.0	152.28	669.92	612.11	218.79	599.49	283.05	1733.13	532.74	460.44	387.02	214.27	567.1	376.41	525.39	842.36	476.71	529.06	348.71	389.72	713.11	195.72	698.41	323.03	507.46	514.56	656.11	325.29	587.13	679.29	674.59	633.73	928.3	258.57	559.28	164.42	426.57	269.6	563.18	665.29	629.35	591.22	483.38	262.2	447.82	769.69	435.55	368.65	271.48	329.84	457.25	454.09	1051.79	796.86	325.29	591.22	728.11	262.2	848.22	555.41	825.0	612.11	447.82	493.56	483.38	928.3	551.56	571.05	624.99	718.08	454.09	624.99	312.0	279.14	490.14	603.67	395.18	309.83	587.13	525.39	547.75	612.11	221.86	220.32	217.27	307.69	693.58	669.92	318.57	1008.9	529.06	273.37	435.55	236.21	536.45	432.53	884.29	563.18	928.3	571.05	1135.2	194.36	629.35	490.14	974.5	642.59	759.08	708.18	480.04	713.11	521.76	583.07	351.14	412.0	444.72	665.29	775.05	307.69	507.46	429.54	438.59	332.14	435.55	348.71	334.46	293.07
C9orf142	555.41	435.55	186.4	327.56	117.6	291.04	363.56	599.49	896.64	1023.0	1340.84	2163.77	1286.18	1277.29	791.35	1437.15	1508.65	647.07	1991.0	1059.11	1844.76	1508.65	1950.0	1923.14	518.15	1477.58	921.88	1388.16	1857.6	1407.55	1628.26	1167.14	1313.23	2485.67	848.22	2075.59	1950.0	1870.53	2090.03	1991.0	1225.22	1844.76	2287.2	1745.2	1467.37	1709.26	743.43	1498.22	1225.22	1991.0	1304.15	1487.87	1378.57	1991.0	1844.76	2502.97	1175.27	1199.98	1427.22	1551.09	1233.75	884.29	890.44	2855.44	3257.52	1844.76	2956.17	915.51	1709.26	1832.01	854.13	2335.28	2090.03	2400.97	1781.89	1277.29	1832.01	1369.04	1757.34	2895.31	1378.57	1844.76	2573.36	1111.82	961.07	1037.29	988.12	1331.57	1685.71	1757.34	872.1	1498.22	1709.26	1819.35	1896.65	1369.04	476.71	703.28	921.88	2434.5	2209.26	974.5	3081.75	1427.22	769.69	1388.16	733.19	1268.46	902.89	3589.58	1208.34	2434.5	2816.11	1583.71	967.76	2855.44	1259.69	1923.14	1844.76	2434.5	2434.5	2895.31	2758.13	1757.34	1359.57	1111.82	1295.13	1950.0	1572.76	1794.29	1685.71	1183.45	974.5	884.29	1572.76	1605.83	1151.06	1059.11	759.08
C9orf37	88.88	127.89	85.22	127.0	79.45	95.34	100.13	173.85	299.25	291.04	361.04	587.13	356.05	228.13	323.03	368.65	563.18	221.86	536.45	368.65	928.3	507.46	381.68	463.65	162.14	389.72	289.02	429.54	603.67	371.22	373.81	412.0	307.69	503.95	251.48	518.15	486.75	607.87	759.08	299.25	376.41	603.67	511.0	518.15	497.0	529.06	237.86	426.57	336.79	493.56	287.01	444.72	376.41	647.07	514.56	612.11	395.18	249.73	429.54	476.71	409.15	320.8	363.56	616.37	563.18	612.11	450.94	314.17	432.53	483.38	295.11	872.1	460.44	547.75	435.55	417.77	567.1	420.68	412.0	547.75	493.56	579.04	651.58	339.14	269.6	323.03	339.14	343.89	460.44	417.77	287.01	493.56	764.36	547.75	698.41	329.84	194.36	275.28	285.03	529.06	525.39	361.04	836.53	497.0	231.32	470.14	204.07	518.15	320.8	713.11	273.37	518.15	500.46	808.0	277.2	1001.93	371.22	466.88	507.46	575.03	642.59	547.75	698.41	500.46	387.02	336.79	363.56	532.74	483.38	563.18	444.72	426.57	262.2	281.09	587.13	444.72	392.44	341.51	260.38
