	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA2U.11A.11R.A41I.07	TCGA.W5.AA2Q.11A.11R.A41I.07	TCGA.DD.AAW1.01A.11R.A41C.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.DD.A4NH.01A.11R.A27V.07	TCGA.RC.A6M4.01A.11R.A32O.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.DD.A118.11A.11R.A131.07	TCGA.FV.A23B.11A.11R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.12WSI.0226.SM.5GCNA	GTEX.13FTZ.0726.SM.5IFFY	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.111CU.0326.SM.5GZXO
AKR1D1	187.71	2855.44	2555.58	796.86	1331.57	248.0	287.01	151.22	58.71	563.18	26.47	73.54	221.86	57.89	7.75	1819.35	194.36	466.88	688.78	463.65	214.27	753.83	1175.27	1407.55	4769.75	2777.33	3540.14	6516.03	6471.02	10368.08	7485.11	7180.15	6699.25	16269.83	3124.78	11504.21	21468.49	6079.61	13123.73	11424.74	10808.41	10959.3	3716.2	9474.59	16496.96	14262.1	10883.59	12502.12	9540.5	7911.95	551.56	5831.91	2178.83	13033.07	10883.59	5479.15	13306.94	22535.88	0.0	0.0	0.0	0.17
APOC1	190574.09	1100706.72	834179.46	589853.66	482442.34	614902.29	845824.19	383800.28	116501.39	217400.14	405683.88	411347.03	496005.67	641014.63	383800.28	434801.29	343510.77	110983.6	641014.63	309589.14	146444.06	1005860.33	721179.07	741454.2	887875.81	682276.92	1611529.43	2748093.15	1622738.51	1800541.22	1679964.3	1715263.94	1327240.99	2310861.52	1442359.14	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	2672946.37	1691649.38	2748093.15	2599854.48	2904784.09	3702323.71	1703415.74	3968052.37	3626130.97	11664.82	214407.12	1208.34	25708.25
ARHGAP10	91.41	490.14	83.45	108.14	218.79	49.56	25.17	16.15	73.54	45.53	41.52	28.65	74.58	84.04	10.47	51.71	23.42	99.43	113.56	29.27	40.36	334.46	303.44	186.4	113.56	275.28	293.07	607.87	412.0	361.04	334.46	769.69	414.87	376.41	476.71	896.64	341.51	332.14	379.04	1183.45	258.57	231.32	363.56	438.59	579.04	265.87	248.0	267.73	902.89	339.14	140.04	500.46	363.56	890.44	166.73	139.07	379.04	967.76	0.0	325.29	0.55	112.77
ARMC6	507.46	1909.85	2119.22	785.88	1167.14	460.44	723.08	693.58	748.61	884.29	733.19	1037.29	583.07	497.0	665.29	1605.83	1487.87	693.58	325.29	511.0	688.78	1350.18	802.41	2133.97	2627.46	2018.8	2591.27	1794.29	4210.15	4239.45	1870.53	3820.7	2104.58	3589.58	1923.14	2468.49	1551.09	2351.53	1175.27	2875.3	2682.69	4358.66	2591.27	3060.45	2997.45	2895.31	2335.28	2555.58	1781.89	2335.28	764.36	2148.82	2417.67	1709.26	1832.01	1806.78	2520.38	2835.7	0.0	447.82	0.0	656.11
ASPDH	878.17	4543.8	4210.15	2777.33	2720.15	490.14	236.21	186.4	202.66	759.08	642.59	884.29	2451.44	4671.57	884.29	1268.46	175.07	25.72	2935.74	435.55	291.04	3955.48	2367.9	2796.65	3847.29	2777.33	11424.74	17317.18	23492.92	15075.35	8022.41	19754.96	7130.55	13681.08	10585.95	19214.73	18950.18	17927.91	14461.21	26248.46	14971.21	17317.18	12943.04	28132.47	20030.74	23656.34	17317.18	22850.48	12943.04	31870.96	4268.94	18689.27	21468.49	14663.09	13492.72	13399.51	14065.74	20310.37	0.0	3.35	0.24	0.38
CAT	2047.0	12329.98	10585.95	5403.7	5872.48	3589.58	2224.63	4869.99	2240.11	5041.77	2855.44	4543.8	4903.87	7966.99	4358.66	6887.62	4010.71	1832.01	6840.04	4543.8	3467.27	7230.1	5791.62	6079.61	15934.98	11267.44	13586.57	19618.49	20451.65	17804.06	17437.64	27363.16	19082.0	30999.42	13776.25	24153.43	32540.65	22692.63	20593.91	25354.3	19892.37	16960.78	15607.02	25005.23	29327.18	20310.37	20030.74	33224.42	14262.1	22535.88	8963.45	16960.78	12160.22	23009.42	20030.74	13123.73	28723.62	33922.56	0.0	3419.52	0.21	2090.03
CCS	1923.14	3018.3	2555.58	1963.57	2400.97	974.5	1259.69	1111.82	1175.27	1331.57	961.07	2400.97	1936.53	2367.9	1977.24	2255.7	1199.98	988.12	2119.22	1008.9	1331.57	2163.77	1991.0	2664.15	2004.85	1832.01	2032.85	3081.75	2400.97	2875.3	2240.11	3639.7	1551.09	2061.24	2090.03	4388.98	2645.74	3665.02	2090.03	3515.68	2119.22	3325.99	3039.3	3419.52	3874.05	2351.53	4239.45	3794.3	3212.66	3515.68	2485.67	2976.74	2335.28	2075.59	3690.52	2032.85	2451.44	3515.68	0.0	1340.84	0.53	336.79
CDNF	81.71	301.33	133.36	166.73	100.13	9.34	33.54	42.11	166.73	85.82	37.05	73.03	112.77	121.79	102.25	94.01	40.36	60.82	223.41	90.14	54.72	130.6	137.14	105.89	191.67	150.17	198.47	271.48	67.12	162.14	163.28	148.09	78.89	228.13	191.67	591.22	339.14	249.73	141.02	226.54	224.97	363.56	145.02	224.97	483.38	189.02	291.04	262.2	507.46	473.41	212.78	147.06	147.06	212.78	116.78	80.01	220.32	323.03	0.0	26.1	0.0	12.27
CMBL	1059.11	3742.05	2835.7	1583.71	1757.34	1277.29	507.46	1059.11	96.68	1104.13	4450.27	2935.74	3235.01	1191.69	2119.22	7749.1	195.72	273.37	2400.97	1242.34	417.77	2591.27	1628.26	1313.23	6337.83	2835.7	4575.41	11189.6	8718.32	10883.59	7749.1	10225.32	8134.41	11424.74	6471.02	9151.82	10733.74	5954.47	10154.69	8022.41	13776.25	15285.81	6381.92	11992.79	11035.54	13681.08	13681.08	11112.3	7695.57	11424.74	1417.35	7433.4	6250.56	9025.81	7485.11	7803.01	11424.74	13968.57	579.04	193.01	162.14	40.93
CRYL1	1268.46	5517.27	5633.22	7331.05	3443.31	3491.39	2384.37	3467.27	1447.15	1225.22	842.36	1540.37	3847.29	7280.4	4836.35	2209.26	2351.53	748.61	4450.27	1769.57	629.35	4575.41	4038.61	3665.02	6983.79	5872.48	11584.24	8363.13	6745.86	8191.0	6935.54	5711.87	6164.49	8963.45	5041.77	8963.45	15285.81	5479.15	7642.41	10585.95	10883.59	7966.99	9474.59	10154.69	8901.53	9215.48	10585.95	5479.15	8718.32	8305.36	3928.15	9409.14	5672.41	8479.89	7485.11	5751.61	8305.36	7331.05	0.0	718.08	0.51	373.81
CTAGE5	1417.35	2224.63	2061.24	1721.16	1721.16	954.43	819.3	2271.4	819.3	2351.53	981.29	1350.18	1605.83	1781.89	1651.0	2032.85	1037.29	1225.22	2018.8	1685.71	1104.13	2335.28	1819.35	2609.3	1883.54	2061.24	2591.27	2255.7	2777.33	3395.89	3018.3	2664.15	2451.44	3639.7	2855.44	3955.48	1950.0	3372.43	2875.3	3146.52	2935.74	3874.05	2178.83	3018.3	3124.78	2287.2	2796.65	3146.52	2855.44	2997.45	1594.73	2627.46	2351.53	3039.3	3168.41	2119.22	3395.89	3768.09	0.0	518.15	0.49	373.81
CYP2C9	4388.98	28525.2	15824.9	29736.59	5791.62	1447.15	2591.27	14867.79	1277.29	129.69	7642.41	7803.01	7485.11	18052.61	2004.85	7180.15	1781.89	104.42	42937.97	5711.87	1561.89	17437.64	15824.9	18304.63	22692.63	31432.17	48307.85	118127.7	50359.33	29736.59	83528.61	80683.28	43840.21	71219.26	48643.87	85876.94	102125.66	114103.8	51775.15	107948.72	73221.53	28328.16	82951.62	61571.56	82951.62	31432.17	76330.98	113315.62	41763.8	95286.54	36106.23	64186.29	27174.14	88905.42	102836.01	11504.21	84694.64	73221.53	0.0	47.5	0.15	0.75
CYP4A11	3103.19	31215.04	16383.0	5006.93	8598.28	1977.24	3303.0	3491.39	271.48	54.72	373.81	1151.06	6250.56	17558.94	253.23	7081.29	511.0	114.36	10225.32	5995.9	1051.79	19482.97	16269.83	13123.73	20451.65	11909.94	73730.83	61571.56	36106.23	23169.48	53973.86	46339.95	13033.07	37379.55	9088.59	100023.92	90146.51	43537.38	32540.65	68793.23	71714.63	40341.14	33224.42	73730.83	57847.82	36357.37	58655.36	34876.28	97288.74	112532.89	28723.62	57448.23	43236.64	82951.62	56265.94	20451.65	69271.73	34876.28	0.0	1.27	0.06	0.0
CYP4A22	733.19	8479.89	4328.55	651.58	1417.35	543.96	791.35	988.12	49.91	12.93	126.12	312.0	1008.9	3874.05	1250.98	1832.01	119.26	18.43	2400.97	1151.06	189.02	4639.29	2520.38	3639.7	3716.2	2664.15	19082.0	26614.89	8479.89	10883.59	11584.24	20170.07	8963.45	20170.07	4268.94	39785.74	18819.27	11035.54	14971.21	27363.16	22692.63	7485.11	16727.26	36357.37	20170.07	15715.58	20881.4	13968.57	16045.82	36610.26	6935.54	28723.62	18689.27	33224.42	16383.0	12502.12	12764.83	19482.97	0.0	5.23	0.0	1.39
CYP4V2	441.64	1896.65	1388.16	909.17	909.17	376.41	466.88	297.17	432.53	493.56	753.83	567.1	143.01	587.13	540.19	1242.34	441.64	368.65	1044.52	1023.0	490.14	1794.29	1340.84	1794.29	3060.45	2032.85	1923.14	2367.9	2209.26	1540.37	2816.11	1819.35	2148.82	3257.52	2895.31	1991.0	3018.3	1662.49	3955.48	2178.83	5112.16	2104.58	1397.83	2537.92	9673.69	2664.15	3419.52	2796.65	3928.15	2018.8	1540.37	2935.74	1594.73	4152.18	6516.03	941.27	2061.24	3303.0	218.79	518.15	674.59	108.14
DAO	387.02	1857.6	1540.37	1295.13	1030.12	283.05	59.97	723.08	98.73	258.57	490.14	1313.23	447.82	1936.53	1268.46	1111.82	106.63	232.94	1662.49	273.37	166.73	1870.53	854.13	961.07	1806.78	2287.2	5672.41	6121.9	10014.87	16611.71	10368.08	13306.94	13399.51	11827.67	3982.99	11827.67	5831.91	6079.61	9409.14	13872.08	5751.61	16496.96	3103.19	7485.11	8247.98	14867.79	12764.83	21617.82	5041.77	8022.41	532.74	5517.27	5831.91	6121.9	8963.45	4419.52	12160.22	13215.02	0.0	1.91	0.0	0.0
DCAF11	1225.22	2555.58	3103.19	2384.37	1340.84	1088.92	1781.89	2287.2	1127.35	1242.34	1216.75	2855.44	1191.69	2351.53	1594.73	4066.71	3540.14	642.59	2573.36	1191.69	1583.71	1909.85	2255.7	1721.16	3742.05	2855.44	5831.91	4388.98	2915.45	4512.4	2682.69	3742.05	2255.7	3614.55	3901.01	4836.35	7966.99	3639.7	2720.15	4903.87	4937.99	2645.74	3639.7	5183.54	3847.29	4181.07	5112.16	6745.86	6121.9	5672.41	2468.49	3124.78	1991.0	3280.18	3540.14	3081.75	4010.71	3690.52	0.0	1104.13	0.32	796.86
DHRS1	1286.18	4123.49	4268.94	2047.0	5006.93	1313.23	1819.35	1757.34	297.17	2400.97	961.07	2240.11	1437.15	2645.74	872.1	5112.16	229.72	297.17	909.17	529.06	599.49	5329.3	2627.46	2319.15	2855.44	3491.39	3742.05	6426.31	5366.37	6516.03	6294.04	6983.79	3874.05	5633.22	4066.71	9151.82	8191.0	9876.98	5403.7	8840.04	5672.41	5329.3	4481.23	9025.81	8538.88	5041.77	6699.25	11584.24	8078.22	7032.37	2627.46	6079.61	4239.45	6699.25	7485.11	4328.55	7331.05	10659.59	0.0	1151.06	0.72	366.09
DHRS12	346.29	981.29	848.22	629.35	660.68	575.03	128.79	703.28	490.14	265.87	267.73	438.59	808.0	866.07	698.41	206.94	312.0	166.73	651.58	320.8	208.38	629.35	473.41	688.78	848.22	988.12	1350.18	1628.26	1167.14	1359.57	1259.69	928.3	830.75	1183.45	1477.58	1081.39	1639.59	1104.13	1159.07	1467.37	1119.56	1066.48	1008.9	1572.76	1397.83	1369.04	1304.15	1295.13	1104.13	1250.98	860.08	836.53	1044.52	1111.82	1233.75	896.64	1044.52	1199.98	0.0	426.57	0.3	237.86
DHRS4	1167.14	3665.02	3212.66	2163.77	1923.14	1030.12	1159.07	2935.74	1167.14	638.15	866.07	1909.85	2935.74	2816.11	3168.41	2758.13	2400.97	426.57	2875.3	1088.92	1023.0	2816.11	2271.4	2133.97	3235.01	2287.2	1662.49	7180.15	2520.38	3874.05	4298.64	3325.99	3515.68	5006.93	3235.01	3372.43	6426.31	3280.18	4972.34	5913.33	5831.91	6337.83	5633.22	4671.57	3395.89	4210.15	6607.01	4450.27	5329.3	4095.0	2224.63	5711.87	4450.27	4210.15	4123.49	2976.74	4481.23	3303.0	0.0	1081.39	0.49	633.73
DHRS4-AS1	131.51	551.56	460.44	194.36	166.73	122.64	161.02	133.36	19.11	132.44	197.09	231.32	490.14	212.78	248.0	305.55	161.02	85.82	165.57	314.17	226.54	521.76	303.44	170.25	547.75	447.82	323.03	603.67	708.18	1225.22	583.07	1051.79	612.11	1030.12	381.68	866.07	830.75	753.83	825.0	511.0	536.45	1407.55	679.29	579.04	785.88	447.82	1216.75	928.3	612.11	775.05	239.52	500.46	277.2	679.29	684.02	152.28	921.88	1447.15	0.0	99.43	0.22	63.45
DHRS4L2	1111.82	2758.13	2555.58	1183.45	1340.84	796.86	674.59	2319.15	703.28	500.46	718.08	1467.37	1685.71	2520.38	2573.36	1350.18	1487.87	373.81	2434.5	1030.12	733.19	2645.74	2384.37	1936.53	2163.77	1794.29	1268.46	4543.8	3168.41	4937.99	3847.29	4066.71	3257.52	5006.93	2417.67	3874.05	4769.75	4239.45	3349.13	5711.87	4181.07	4181.07	4575.41	4972.34	2739.08	1685.71	4704.07	4607.24	3395.89	4066.71	1832.01	3372.43	3018.3	2915.45	3874.05	2209.26	4607.24	2875.3	0.0	764.36	0.42	525.39
DMGDH	381.68	2609.3	2163.77	1674.06	995.0	579.04	147.06	423.61	518.15	97.36	470.14	1551.09	521.76	830.75	1073.91	1674.06	193.01	151.22	775.05	341.51	226.54	2018.8	1457.23	1498.22	3491.39	2591.27	6607.01	3794.3	4769.75	4836.35	4903.87	4268.94	4450.27	8718.32	6840.04	6121.9	8363.13	3467.27	5594.3	5441.3	12943.04	8778.97	2061.24	6079.61	9945.68	7180.15	7537.18	6887.62	10883.59	8421.31	988.12	3768.09	2758.13	8901.53	5329.3	3257.52	10440.2	7589.61	0.0	5.77	0.31	1.99
EHHADH	665.29	4123.49	2573.36	3589.58	1378.57	836.53	503.95	1119.56	1119.56	395.18	1304.15	1909.85	2417.67	3690.52	1923.14	2224.63	830.75	118.43	2240.11	866.07	420.68	3564.78	2163.77	1896.65	4328.55	4268.94	7857.29	6652.97	7803.01	8134.41	6426.31	8247.98	6207.38	16383.0	3768.09	8963.45	9808.75	6164.49	8963.45	6294.04	7642.41	6079.61	6207.38	7485.11	7331.05	5479.15	4869.99	9474.59	5995.9	8078.22	2434.5	5751.61	3081.75	9673.69	5633.22	3039.3	8718.32	10512.82	0.0	96.01	0.0	44.89
ENTPD8	164.42	236.21	293.07	87.65	156.59	79.45	255.0	127.0	88.26	144.01	251.48	94.67	50.27	129.69	16.39	87.65	7.82	312.0	169.07	42.41	32.36	248.0	153.34	231.32	176.29	226.54	769.69	748.61	603.67	769.69	518.15	363.56	665.29	511.0	194.36	624.99	967.76	825.0	486.75	842.36	444.72	497.0	154.42	915.51	373.81	426.57	728.11	503.95	688.78	791.35	368.65	860.08	381.68	791.35	435.55	177.53	486.75	708.18	0.0	2.29	0.25	2.12
ETNK2	624.99	3639.7	2075.59	3081.75	1417.35	780.44	684.02	432.53	688.78	2018.8	1081.39	780.44	2163.77	4937.99	599.49	3794.3	438.59	599.49	3716.2	656.11	591.22	3060.45	2319.15	1794.29	4481.23	1896.65	5329.3	9876.98	4869.99	14867.79	5441.3	8022.41	6294.04	5183.54	1304.15	9876.98	15824.9	8305.36	5076.84	9025.81	6164.49	5954.47	2739.08	12502.12	7642.41	5517.27	19482.97	10959.3	6652.97	13215.02	1572.76	4095.0	3874.05	2319.15	11267.44	2997.45	4607.24	11909.94	0.0	84.63	0.66	22.1
FAM149A	599.49	693.58	1175.27	224.97	267.73	131.51	135.24	134.3	43.94	232.94	325.29	215.77	190.34	441.64	122.64	363.56	150.17	299.25	435.55	285.03	412.0	796.86	647.07	384.34	1037.29	1104.13	967.76	1127.35	842.36	1417.35	1427.22	1605.83	1304.15	2133.97	1143.1	1923.14	2163.77	1498.22	1008.9	1359.57	1721.16	2193.99	1044.52	2209.26	2163.77	1896.65	2682.69	1697.45	1757.34	1806.78	780.44	1350.18	703.28	1923.14	1104.13	595.34	2018.8	1685.71	0.0	90.14	0.47	22.43
