	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.11O72.1926.SM.5PNW1	GTEX.11GSP.0626.SM.5986T	GTEX.RNOR.1426.SM.48FDJ	GTEX.145LU.1326.SM.5LU9N	GTEX.11NUK.1226.SM.5P9GM	GTEX.131YS.1626.SM.5HL6C	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13VXU.0926.SM.5IFFH	GTEX.111VG.0726.SM.5GIDC	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ABY.0926.SM.5Q5DY	GTEX.WH7G.0526.SM.3NMBI	GTEX.YEC4.0626.SM.5CVLU	GTEX.T6MN.0626.SM.32PM9	GTEX.S341.0226.SM.5S2VG	GTEX.13OW7.0826.SM.5L3EL	GTEX.ZVP2.0426.SM.57WC2	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.ZYFC.0926.SM.5GZWW	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.11EI6.0726.SM.59866	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.147F4.0826.SM.5QGRB	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.11TTK.0826.SM.5N9EG	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.YFCO.0326.SM.4W1ZP	GTEX.11ZVC.0126.SM.5986G	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.144GL.1226.SM.5O9A4	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.OXRP.0326.SM.33HBJ	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.13O21.2226.SM.5MR3L	GTEX.111FC.1026.SM.5GZX1
DIABLO	669.92	607.87	540.19	791.35	775.05	738.29	947.83	934.76	1081.39	1143.1	521.76	1617.0	1551.09	1605.83	1819.35	1208.34	1477.58	1225.22	1417.35	1477.58	1295.13	1685.71	1313.23	1378.57	1350.18	1427.22	1697.45	1561.89	1242.34	1519.15	1487.87	1662.49	1519.15	1757.34	1628.26	1662.49	1721.16	1909.85	1457.23	1259.69	1242.34	1322.37	1191.69	1540.37	2032.85	1313.23	1594.73	1697.45	1617.0	1397.83	1457.23	1583.71	1477.58	1340.84	1594.73	1304.15	1628.26	1529.73	1487.87	1268.46	1674.06	1242.34	1733.13	1721.16	1388.16	1529.73	1950.0	1427.22	1857.6	1757.34	1151.06	1909.85	1757.34	1551.09	1487.87	1233.75	1350.18	1127.35	1277.29	1467.37	1583.71	1583.71	1397.83
DOLK	131.51	48.18	75.11	180.02	132.44	134.3	124.37	145.02	134.3	194.36	124.37	392.44	221.86	285.03	351.14	158.79	318.57	124.37	316.37	185.11	139.07	309.83	303.44	137.14	172.65	137.14	291.04	281.09	217.27	255.0	258.57	307.69	318.57	332.14	309.83	309.83	289.02	376.41	191.67	205.5	145.02	122.64	138.1	334.46	353.59	164.42	205.5	277.2	366.09	209.84	138.1	305.55	291.04	151.22	307.69	246.28	392.44	242.88	323.03	172.65	339.14	186.4	289.02	287.01	165.57	327.56	316.37	295.11	361.04	303.44	171.45	361.04	265.87	295.11	214.27	224.97	178.77	180.02	260.38	195.72	348.71	277.2	214.27
EFTUD2	780.44	665.29	656.11	497.0	571.05	529.06	547.75	525.39	423.61	444.72	665.29	1023.0	860.08	884.29	961.07	830.75	1037.29	796.86	902.89	796.86	896.64	1023.0	1059.11	688.78	988.12	819.3	1081.39	967.76	743.43	909.17	947.83	780.44	1151.06	1151.06	928.3	1008.9	1015.93	1225.22	708.18	921.88	775.05	775.05	775.05	1023.0	1081.39	872.1	909.17	974.5	1127.35	764.36	769.69	921.88	988.12	836.53	1096.5	796.86	1111.82	890.44	848.22	836.53	981.29	902.89	1044.52	1066.48	780.44	1111.82	1242.34	921.88	909.17	1066.48	708.18	988.12	848.22	1191.69	825.0	813.63	842.36	780.44	842.36	738.29	961.07	954.43	728.11
EIF1AD	293.07	232.94	336.79	176.29	249.73	142.01	215.77	307.69	297.17	281.09	226.54	470.14	406.31	351.14	555.41	316.37	429.54	301.33	381.68	305.55	237.86	514.56	414.87	339.14	473.41	368.65	420.68	518.15	389.72	400.71	429.54	403.5	444.72	470.14	483.38	470.14	532.74	563.18	332.14	376.41	366.09	343.89	466.88	480.04	540.19	351.14	373.81	521.76	426.57	291.04	412.0	463.65	460.44	392.44	438.59	371.22	414.87	473.41	389.72	414.87	438.59	348.71	463.65	500.46	447.82	480.04	547.75	423.61	406.31	511.0	289.02	493.56	435.55	518.15	379.04	361.04	356.05	387.02	397.93	353.59	417.77	406.31	379.04
F2RL1	10.08	17.9	36.01	38.4	39.5	42.41	83.45	0.61	11.82	63.89	153.34	191.67	159.9	334.46	242.88	73.54	206.94	134.3	187.71	224.97	131.51	318.57	96.68	119.26	177.53	133.36	212.78	199.85	74.06	102.97	223.41	283.05	164.42	202.66	183.82	356.05	220.32	223.41	137.14	75.11	56.28	67.12	279.14	211.31	223.41	72.52	135.24	215.77	264.03	151.22	98.04	163.28	108.9	64.8	343.89	190.34	232.94	170.25	218.79	118.43	155.5	97.36	244.57	426.57	87.65	105.89	267.73	384.34	185.11	262.2	108.9	234.57	202.66	194.36	96.01	158.79	134.3	202.66	85.22	98.04	191.67	186.4	131.51
FADD	90.77	46.5	63.45	95.34	102.97	116.78	145.02	180.02	144.01	199.85	128.79	363.56	316.37	285.03	389.72	198.47	307.69	248.0	397.93	251.48	165.57	426.57	262.2	190.34	237.86	180.02	327.56	287.01	255.0	269.6	397.93	336.79	387.02	323.03	384.34	341.51	356.05	409.15	231.32	275.28	217.27	172.65	226.54	389.72	376.41	167.9	191.67	346.29	412.0	277.2	260.38	323.03	295.11	202.66	291.04	224.97	392.44	236.21	358.54	209.84	454.09	236.21	329.84	329.84	146.03	297.17	271.48	258.57	363.56	275.28	182.55	476.71	400.71	343.89	199.85	260.38	193.01	264.03	323.03	242.88	309.83	320.8	287.01
GORASP2	616.37	656.11	674.59	529.06	547.75	438.59	432.53	629.35	595.34	693.58	753.83	1519.15	1369.04	1369.04	1437.15	995.0	1437.15	988.12	1498.22	1286.18	1023.0	1191.69	1143.1	1277.29	1369.04	1135.2	1498.22	1313.23	896.64	1225.22	1259.69	1417.35	1529.73	1923.14	1250.98	1487.87	1572.76	1662.49	1127.35	915.51	759.08	1059.11	1151.06	1447.15	2032.85	1233.75	1143.1	1447.15	1662.49	1073.91	961.07	1081.39	1143.1	974.5	1477.58	928.3	1639.59	1096.5	1397.83	954.43	1551.09	941.27	1340.84	1477.58	1233.75	1388.16	1745.2	1551.09	1359.57	1457.23	872.1	1617.0	1350.18	1605.83	1119.56	1088.92	1191.69	878.17	1059.11	1447.15	1685.71	1313.23	961.07
GPN2	373.81	241.19	256.78	379.04	253.23	231.32	397.93	156.59	229.72	197.09	145.02	450.94	341.51	361.04	454.09	297.17	336.79	256.78	397.93	403.5	277.2	463.65	409.15	307.69	525.39	264.03	503.95	351.14	348.71	497.0	420.68	587.13	387.02	490.14	400.71	476.71	460.44	521.76	332.14	341.51	353.59	466.88	327.56	400.71	435.55	339.14	395.18	450.94	466.88	343.89	336.79	417.77	392.44	318.57	466.88	381.68	412.0	373.81	351.14	291.04	529.06	309.83	457.25	518.15	320.8	503.95	450.94	389.72	521.76	417.77	229.72	392.44	341.51	567.1	547.75	460.44	275.28	305.55	314.17	314.17	353.59	392.44	318.57
HK1	947.83	1044.52	1388.16	249.73	130.6	117.6	55.89	104.42	74.06	83.45	1529.73	3955.48	2287.2	3039.3	3982.99	1883.54	3982.99	2061.24	3372.43	2875.3	2287.2	3303.0	2935.74	2319.15	2664.15	2400.97	2835.7	2468.49	1467.37	2664.15	3303.0	3103.19	3716.2	4038.61	2303.12	4066.71	3742.05	3901.01	2133.97	1286.18	1651.0	1832.01	2384.37	3146.52	4419.52	2032.85	2133.97	3491.39	3540.14	2032.85	1745.2	2417.67	2997.45	1936.53	3124.78	1745.2	3443.31	2303.12	3280.18	1639.59	3467.27	1721.16	3564.78	3847.29	2400.97	3794.3	2956.17	3690.52	3768.09	3018.3	1417.35	3372.43	3794.3	3515.68	2090.03	2720.15	2119.22	1519.15	1896.65	2609.3	3768.09	3257.52	2384.37
HPS6	75.11	57.89	72.52	109.66	139.07	115.16	98.73	110.43	127.0	113.56	92.05	281.09	180.02	208.38	248.0	120.94	224.97	132.44	273.37	121.79	142.01	262.2	201.25	125.24	149.12	98.73	236.21	228.13	132.44	232.94	279.14	234.57	281.09	271.48	241.19	242.88	244.57	269.6	176.29	185.11	152.28	108.14	169.07	275.28	287.01	132.44	151.22	221.86	281.09	153.34	158.79	262.2	224.97	119.26	239.52	165.57	312.0	191.67	273.37	143.01	223.41	119.26	256.78	242.88	121.79	287.01	264.03	218.79	260.38	220.32	127.0	289.02	241.19	232.94	178.77	195.72	123.5	153.34	155.5	123.5	265.87	215.77	190.34
INTS5	111.21	94.01	143.01	99.43	173.85	148.09	180.02	197.09	189.02	189.02	170.25	438.59	312.0	281.09	312.0	241.19	291.04	212.78	336.79	318.57	246.28	346.29	267.73	209.84	208.38	195.72	291.04	343.89	214.27	256.78	366.09	348.71	361.04	336.79	339.14	314.17	341.51	417.77	293.07	312.0	181.28	226.54	173.85	384.34	379.04	279.14	332.14	305.55	361.04	224.97	256.78	287.01	269.6	215.77	307.69	262.2	483.38	314.17	332.14	262.2	327.56	242.88	305.55	336.79	231.32	403.5	432.53	297.17	316.37	309.83	190.34	420.68	297.17	314.17	237.86	305.55	297.17	277.2	253.23	320.8	356.05	303.44	267.73
KEAP1	848.22	791.35	591.22	836.53	1685.71	1617.0	1457.23	1119.56	1023.0	1467.37	435.55	1594.73	1119.56	1388.16	1662.49	954.43	1487.87	961.07	1477.58	1096.5	934.76	1427.22	1561.89	988.12	896.64	981.29	1781.89	1359.57	1104.13	1259.69	1388.16	1331.57	1769.57	1639.59	1508.65	1583.71	1427.22	1651.0	1151.06	1313.23	995.0	915.51	738.29	1769.57	1781.89	1111.82	1225.22	1806.78	1757.34	974.5	1051.79	1388.16	1388.16	1073.91	1651.0	1216.75	1844.76	1295.13	1883.54	928.3	1605.83	1088.92	1662.49	1806.78	902.89	1594.73	1685.71	1457.23	1832.01	1350.18	974.5	1572.76	1628.26	1896.65	947.83	1378.57	961.07	1008.9	1167.14	1111.82	1286.18	1427.22	1216.75
KIAA1279	307.69	249.73	262.2	146.03	145.02	112.77	70.51	126.12	159.9	161.02	173.85	642.59	490.14	500.46	620.67	332.14	540.19	332.14	511.0	395.18	327.56	525.39	679.29	392.44	366.09	323.03	579.04	540.19	343.89	503.95	514.56	669.92	518.15	607.87	563.18	728.11	587.13	642.59	316.37	318.57	327.56	307.69	417.77	493.56	587.13	346.29	403.5	575.03	603.67	403.5	303.44	547.75	575.03	316.37	587.13	397.93	583.07	493.56	612.11	356.05	540.19	341.51	529.06	583.07	363.56	521.76	808.0	579.04	599.49	620.67	334.46	555.41	490.14	551.56	406.31	432.53	412.0	332.14	397.93	420.68	599.49	540.19	420.68
KLHL26	190.34	191.67	234.57	43.63	54.72	71.0	151.22	127.0	60.82	65.26	135.24	305.55	165.57	255.0	241.19	173.85	285.03	120.94	299.25	220.32	175.07	229.72	204.07	159.9	226.54	120.1	329.84	197.09	155.5	295.11	444.72	305.55	279.14	314.17	205.5	358.54	361.04	223.41	198.47	159.9	130.6	154.42	209.84	205.5	341.51	169.07	127.0	363.56	376.41	139.07	142.01	395.18	236.21	177.53	438.59	128.79	277.2	204.07	208.38	228.13	147.06	209.84	287.01	373.81	185.11	297.17	244.57	228.13	256.78	287.01	126.12	305.55	273.37	283.05	236.21	253.23	163.28	148.09	187.71	173.85	307.69	228.13	183.82
LCMT2	63.0	76.17	53.95	43.02	72.52	51.35	40.93	85.22	88.26	98.73	47.84	260.38	208.38	165.57	218.79	130.6	195.72	105.89	181.28	120.94	120.1	209.84	176.29	97.36	103.69	102.25	182.55	214.27	118.43	161.02	195.72	195.72	198.47	239.52	201.25	217.27	231.32	251.48	136.19	147.06	106.63	127.89	98.04	249.73	265.87	127.0	156.59	206.94	267.73	138.1	129.69	185.11	191.67	98.73	198.47	159.9	228.13	159.9	217.27	121.79	194.36	117.6	193.01	199.85	114.36	217.27	249.73	215.77	211.31	169.07	105.15	231.32	186.4	220.32	144.01	146.03	98.04	108.14	154.42	136.19	208.38	176.29	169.07
MFAP1	361.04	234.57	279.14	197.09	195.72	169.07	152.28	215.77	255.0	214.27	303.44	954.43	780.44	647.07	842.36	476.71	669.92	473.41	825.0	713.11	540.19	902.89	660.68	642.59	500.46	543.96	688.78	854.13	551.56	633.73	775.05	842.36	836.53	866.07	842.36	842.36	890.44	1088.92	612.11	603.67	486.75	555.41	476.71	878.17	961.07	536.45	587.13	808.0	890.44	551.56	616.37	808.0	620.67	521.76	825.0	595.34	941.27	748.61	688.78	651.58	759.08	555.41	802.41	813.63	583.07	848.22	934.76	738.29	713.11	808.0	503.95	974.5	796.86	785.88	728.11	460.44	629.35	518.15	656.11	684.02	896.64	769.69	708.18
MFSD5	277.2	206.94	212.78	269.6	234.57	175.07	128.79	204.07	185.11	205.5	260.38	620.67	463.65	470.14	612.11	348.71	514.56	264.03	563.18	376.41	320.8	559.28	417.77	269.6	265.87	285.03	450.94	480.04	387.02	438.59	460.44	540.19	480.04	511.0	490.14	518.15	525.39	656.11	454.09	466.88	307.69	312.0	295.11	525.39	514.56	285.03	387.02	486.75	555.41	429.54	305.55	473.41	536.45	343.89	514.56	426.57	567.1	463.65	591.22	358.54	540.19	358.54	457.25	493.56	336.79	579.04	532.74	473.41	540.19	493.56	329.84	647.07	470.14	470.14	432.53	395.18	366.09	435.55	511.0	389.72	571.05	457.25	441.64
MRPS23	660.68	525.39	470.14	493.56	348.71	426.57	316.37	463.65	511.0	514.56	332.14	1832.01	1397.83	1806.78	2178.83	1259.69	1794.29	1340.84	1674.06	1594.73	1295.13	1977.24	1806.78	1427.22	1923.14	1369.04	1950.0	1709.26	1151.06	1819.35	1674.06	2061.24	1923.14	1883.54	1697.45	2224.63	2271.4	2287.2	1487.87	1066.48	1242.34	954.43	1427.22	1508.65	2240.11	1397.83	1936.53	2303.12	2090.03	1359.57	1498.22	1378.57	1685.71	1081.39	2104.58	1304.15	1923.14	1662.49	2004.85	1073.91	1745.2	1143.1	2148.82	2119.22	1111.82	1883.54	1870.53	1844.76	1936.53	2090.03	1111.82	2209.26	1923.14	1721.16	1350.18	1605.83	1639.59	1350.18	1259.69	1561.89	2004.85	1745.2	1268.46
MUL1	384.34	368.65	320.8	212.78	339.14	334.46	336.79	312.0	329.84	532.74	293.07	698.41	525.39	616.37	698.41	438.59	620.67	368.65	616.37	497.0	339.14	624.99	514.56	417.77	384.34	361.04	575.03	563.18	438.59	511.0	624.99	603.67	708.18	688.78	679.29	638.15	583.07	785.88	525.39	466.88	316.37	371.22	327.56	579.04	693.58	426.57	429.54	612.11	708.18	414.87	301.33	595.34	490.14	417.77	563.18	466.88	802.41	450.94	713.11	429.54	633.73	423.61	521.76	647.07	412.0	780.44	728.11	571.05	624.99	547.75	325.29	688.78	547.75	642.59	493.56	529.06	332.14	470.14	463.65	486.75	713.11	583.07	525.39
