	TCGA.C8.A26Y.01A.11R.A16F.07	TCGA.MA.AA41.01A.11R.A38B.07	TCGA.JW.A5VL.01A.11R.A28H.07	TCGA.C5.A8YQ.01A.11R.A37O.07	TCGA.C5.A7XC.01A.11R.A38B.07	TCGA.VS.A9UV.01A.11R.A42T.07	TCGA.ZJ.A8QR.01A.11R.A37O.07	TCGA.C5.A2LZ.01A.11R.A213.07	TCGA.QK.A6VC.01A.23R.A34R.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.90.6837.01A.11R.1949.07	TCGA.96.8170.01A.11R.2296.07	TCGA.21.1076.01A.01R.0692.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
PAIP2	2520.38	1286.18	1561.89	1685.71	1561.89	1457.23	1183.45	1721.16	1388.16	1674.06	0.0	974.5	1540.37	2240.11	2209.26	2090.03	1977.24	2351.53	2271.4	2502.97	2224.63	2609.3	2061.24
PDZD8	591.22	228.13	71.0	221.86	228.13	130.6	108.14	108.9	170.25	157.68	0.0	167.9	157.68	135.24	325.29	500.46	688.78	728.11	543.96	698.41	723.08	536.45	679.29
PEG3	234.57	0.36	0.3	1.64	18.97	0.59	0.34	2.94	6.52	0.57	0.0	10.24	9.27	10.63	84.63	130.6	89.51	98.04	86.43	131.51	107.38	100.13	113.56
PHOSPHO2	176.29	21.63	51.35	52.82	49.91	114.36	25.72	67.12	39.5	40.93	0.0	26.28	48.52	56.28	232.94	99.43	117.6	141.02	102.97	141.02	145.02	144.01	224.97
PLCB4	205.5	1.11	0.66	17.25	29.48	3.69	6.21	5.73	6.84	3.99	0.0	7.63	40.93	57.89	244.57	84.63	29.7	155.5	30.34	72.01	38.12	152.28	84.04
PPP5D1	32.59	13.72	2.63	7.11	12.18	6.01	6.36	8.92	5.96	4.31	0.0	8.19	10.08	14.03	41.52	48.87	30.12	42.11	31.22	45.21	19.25	35.76	52.45
PXMP4	1015.93	109.66	371.22	228.13	185.11	209.84	163.28	269.6	150.17	187.71	0.0	193.01	249.73	144.01	295.11	329.84	287.01	363.56	341.51	291.04	457.25	323.03	802.41
RAD21L1	12.83	0.31	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	1.85	0.0	6.16	47.84	5.19	21.94	8.25	6.94	36.01	15.45
RARA	1447.15	264.03	236.21	295.11	384.34	129.69	334.46	237.86	356.05	251.48	0.0	441.64	567.1	460.44	890.44	872.1	860.08	642.59	947.83	728.11	974.5	848.22	647.07
REEP1	194.36	17.0	13.52	4.28	14.24	20.86	10.47	56.28	1.58	12.64	0.0	13.42	15.8	66.65	145.02	420.68	123.5	177.53	178.77	392.44	363.56	277.2	229.72
RNF24	525.39	85.22	121.79	94.01	142.01	80.57	130.6	217.27	65.72	120.94	351.14	145.02	163.28	293.07	323.03	218.79	202.66	379.04	205.5	208.38	229.72	356.05	214.27
SCN11A	27.05	0.0	0.21	0.59	0.56	0.0	0.53	0.0	0.73	0.39	0.0	0.71	0.33	2.29	3.69	5.41	2.32	14.24	50.63	3.92	2.36	5.63	5.15
SECISBP2L	397.93	74.06	50.27	74.58	204.07	47.17	94.67	148.09	105.89	75.64	0.0	99.43	242.88	249.73	540.19	384.34	361.04	490.14	339.14	500.46	403.5	460.44	476.71
SEMG1	14.03	0.0	0.0	0.0	1.81	0.0	1.71	0.0	6.46	0.0	0.0	0.47	1.23	0.84	34396.12	2232145.06	3134925.09	2636147.11	4817989.11	3576208.94	4433454.0	3336720.86	4817989.11
SHISA4	633.73	149.12	45.53	139.07	151.22	30.34	198.47	82.87	78.34	39.79	0.0	253.23	186.4	323.03	651.58	693.58	248.0	441.64	579.04	457.25	327.56	551.56	587.13
SLC18A2	426.57	134.3	31.22	87.03	133.36	55.89	60.39	71.0	72.01	52.82	0.0	80.57	60.82	82.29	289.02	209.84	371.22	232.94	221.86	303.44	305.55	291.04	339.14
SLC23A1	162.14	3.41	2.36	11.73	31.0	2.56	0.56	4.66	5.19	4.28	0.0	1.08	18.43	6.89	62.12	25.17	10.24	66.18	21.32	12.93	15.45	37.32	167.9
SLC25A53	206.94	43.32	51.35	69.52	72.01	32.13	28.65	66.18	44.25	71.0	0.0	83.45	68.55	74.06	169.07	110.43	124.37	121.79	140.04	135.24	131.51	126.12	153.34
SPATA6	291.04	8.58	5.68	48.87	102.25	39.79	2.23	42.41	33.78	7.0	0.0	57.49	74.06	50.98	234.57	205.5	189.02	211.31	131.51	217.27	237.86	214.27	237.86
SPOPL	316.37	135.24	143.01	127.89	199.85	105.15	115.16	146.03	100.83	98.73	0.0	88.88	151.22	199.85	343.89	229.72	139.07	204.07	191.67	285.03	186.4	234.57	267.73
SUCO	1175.27	208.38	121.79	698.41	277.2	249.73	260.38	256.78	332.14	173.85	0.0	351.14	214.27	241.19	460.44	1208.34	1208.34	1407.55	1487.87	1745.2	1551.09	1870.53	2645.74
SYS1-DBNDD2	49.56	0.0	13.83	8.45	32.82	11.21	0.0	14.24	8.71	15.22	23.59	15.56	6.67	19.11	46.5	71.0	47.5	24.99	30.56	48.18	30.12	32.82	23.08
TCTA	2075.59	381.68	237.86	226.54	406.31	281.09	106.63	265.87	271.48	381.68	0.0	423.61	403.5	521.76	1001.93	988.12	1183.45	1127.35	1066.48	988.12	1208.34	981.29	1447.15
TMLHE	486.75	98.04	92.7	153.34	146.03	138.1	163.28	173.85	248.0	175.07	0.0	316.37	166.73	236.21	293.07	312.0	209.84	314.17	332.14	291.04	244.57	303.44	212.78
TRPM8	92.05	0.64	0.0	2.81	7.34	0.0	1.43	2.05	0.0	0.0	0.0	6.21	5.5	41.81	2287.2	5.11	23.93	4.28	6.21	1.66	2.84	3.69	2739.08
USP40	848.22	500.46	234.57	406.31	323.03	236.21	363.56	226.54	277.2	403.5	0.0	269.6	476.71	529.06	620.67	514.56	599.49	583.07	612.11	660.68	563.18	647.07	703.28
WDR78	94.01	2.84	1.57	30.56	34.02	2.84	3.56	13.72	9.93	8.85	0.0	24.99	31.22	24.46	69.52	49.21	35.25	65.26	42.11	60.82	50.98	69.03	144.01
ZCWPW2	29.48	9.41	4.78	4.46	11.04	4.35	1.93	9.7	1.89	3.44	0.0	7.34	5.63	9.34	46.18	32.13	25.72	38.4	31.9	45.85	36.27	41.52	40.07
