	GTEX.QLQW.1626.SM.4R1K1	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.2Z.A9J7.01A.11R.A38C.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.A5Y1.01A.11R.A28H.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.GL.7966.11A.01R.2204.07
COPB1	2434.5	1909.85	1242.34	1794.29	2303.12	1909.85	1721.16	2997.45	1757.34	2119.22	1313.23	1583.71	825.0	890.44	698.41	1233.75	928.3	890.44	1259.69	1250.98	1199.98	1304.15	743.43	1216.75	1407.55	1540.37	1008.9	1250.98	753.83	2004.85	1685.71	769.69	1242.34	1529.73	791.35	2537.92	1498.22	836.53	1594.73	785.88	1651.0
DHX29	559.28	376.41	248.0	325.29	466.88	444.72	420.68	698.41	444.72	525.39	217.27	318.57	215.77	212.78	177.53	275.28	149.12	190.34	279.14	285.03	293.07	183.82	159.9	289.02	307.69	318.57	209.84	262.2	164.42	470.14	242.88	187.71	332.14	323.03	177.53	486.75	323.03	151.22	283.05	149.12	483.38
DIEXF	165.57	145.02	86.43	123.5	121.79	127.89	97.36	151.22	130.6	147.06	79.45	89.51	55.49	63.0	60.82	83.45	104.42	58.71	115.16	98.04	99.43	59.97	78.89	86.43	81.71	107.38	37.59	87.65	61.68	173.85	95.34	57.49	70.01	156.59	48.18	128.79	80.01	62.56	96.68	75.11	123.5
DNAJC14	743.43	559.28	457.25	490.14	595.34	633.73	599.49	583.07	629.35	693.58	529.06	518.15	450.94	397.93	525.39	620.67	507.46	500.46	435.55	358.54	518.15	420.68	414.87	543.96	483.38	575.03	379.04	612.11	256.78	1051.79	579.04	412.0	493.56	591.22	253.23	603.67	540.19	483.38	583.07	289.02	563.18
DTX4	269.6	438.59	273.37	279.14	438.59	332.14	248.0	336.79	353.59	156.59	172.65	353.59	231.32	205.5	138.1	186.4	191.67	117.6	61.68	82.29	146.03	57.08	29.06	241.19	325.29	125.24	98.04	244.57	190.34	559.28	27.84	112.77	86.43	256.78	109.66	1127.35	191.67	172.65	273.37	86.43	332.14
DYRK3	199.85	191.67	89.51	98.04	137.14	132.44	128.79	143.01	100.13	195.72	100.13	95.34	75.11	98.73	41.52	71.0	116.78	51.71	76.17	112.77	98.04	102.25	58.71	85.22	84.63	150.17	112.77	65.26	77.25	287.01	114.36	57.49	56.68	93.35	56.28	285.03	46.18	46.84	100.13	58.3	90.14
EGLN1	688.78	1250.98	397.93	656.11	995.0	921.88	775.05	1135.2	780.44	808.0	447.82	547.75	212.78	253.23	267.73	511.0	429.54	435.55	400.71	379.04	555.41	293.07	241.19	511.0	743.43	583.07	334.46	555.41	218.79	1167.14	988.12	297.17	307.69	642.59	232.94	974.5	493.56	223.41	785.88	229.72	525.39
ENAM	182.55	193.01	87.65	166.73	237.86	211.31	312.0	115.16	201.25	209.84	96.68	251.48	75.64	120.1	63.89	74.58	171.45	42.71	305.55	87.65	141.02	62.56	53.19	139.07	279.14	170.25	109.66	96.01	69.03	400.71	229.72	170.25	224.97	134.3	18.84	212.78	242.88	42.41	175.07	102.25	262.2
EXOC8	154.42	133.36	80.01	134.3	164.42	167.9	133.36	287.01	154.42	158.79	80.57	108.9	65.72	72.01	66.18	88.26	81.14	74.06	75.11	72.01	102.25	70.01	47.84	127.89	93.35	111.99	73.54	83.45	81.14	169.07	115.16	62.12	95.34	149.12	67.59	295.11	101.54	58.3	112.77	40.93	111.21
FAM8A1	351.14	575.03	287.01	426.57	500.46	409.15	497.0	878.17	414.87	575.03	392.44	435.55	190.34	366.09	199.85	260.38	226.54	314.17	289.02	291.04	384.34	303.44	283.05	387.02	406.31	320.8	239.52	301.33	255.0	607.87	327.56	234.57	312.0	389.72	118.43	559.28	341.51	236.21	441.64	209.84	511.0
