	TCGA.FU.A3HZ.01A.11R.A213.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.1399R.1226.SM.5P9GF	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.VUSG.0126.SM.4KL1X	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07.1	GTEX.S7SF.0426.SM.3K2B7	GTEX.13FH7.1726.SM.5IJE7	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ
HP	1.62	2294899.22	3028138.0	6014443.23	5972898.43	1.307221145E7	3.671840259E7	1.219680449E7	1.654623811E7	3.174442598E7	1.410789979E7	4252853.3	1.533154663E7	1.785716745E7	1.430483875E7	1.598261246E7	3.066309426E7	5022588.72	1.501602794E7	1.169995688E7	1.325469274E7	3430528.88	8159220.07	1.512047268E7	2.614442391E7	9179599.9	1.381756339E7	1.025624901E7	9053221.62	9838451.64	0.21	1936.53	97288.74	41475.31	125731.67
IRAK1	1909.85	514.56	1757.34	1286.18	1529.73	1104.13	848.22	620.67	567.1	339.14	1023.0	1088.92	1397.83	603.67	718.08	909.17	825.0	1151.06	1143.1	764.36	665.29	547.75	493.56	1331.57	371.22	854.13	743.43	1304.15	854.13	819.3	0.83	2701.35	2451.44	2935.74	2758.13
JMJD4	417.77	248.0	444.72	309.83	438.59	249.73	198.47	253.23	128.79	215.77	185.11	379.04	435.55	191.67	223.41	373.81	309.83	334.46	346.29	320.8	299.25	205.5	208.38	420.68	275.28	220.32	242.88	212.78	115.16	187.71	0.0	503.95	341.51	327.56	490.14
MRPL10	928.3	432.53	796.86	921.88	775.05	698.41	470.14	426.57	476.71	486.75	525.39	599.49	559.28	450.94	518.15	583.07	503.95	490.14	559.28	414.87	470.14	339.14	660.68	583.07	336.79	476.71	332.14	633.73	318.57	529.06	0.51	995.0	967.76	633.73	836.53
MRPL3	2664.15	1001.93	2061.24	1909.85	1721.16	1233.75	1216.75	1030.12	1096.5	1001.93	1096.5	1286.18	1529.73	902.89	1135.2	1397.83	1159.07	1437.15	1407.55	1111.82	1023.0	684.02	1023.0	1870.53	848.22	1015.93	890.44	1143.1	708.18	1340.84	0.13	2178.83	2485.67	2255.7	2104.58
MRPL4	1977.24	1467.37	2255.7	2163.77	1685.71	1437.15	1286.18	1225.22	1104.13	1208.34	1519.15	1508.65	2148.82	1111.82	1322.37	1487.87	1340.84	1685.71	1923.14	1697.45	1340.84	1030.12	1191.69	2047.0	890.44	1407.55	1175.27	1639.59	1073.91	1551.09	0.66	2351.53	2351.53	1857.6	2090.03
MRPS23	2609.3	507.46	1407.55	1104.13	1397.83	941.27	872.1	633.73	748.61	674.59	1208.34	1167.14	941.27	660.68	961.07	884.29	872.1	988.12	1096.5	791.35	674.59	507.46	748.61	1023.0	426.57	825.0	612.11	884.29	480.04	780.44	0.08	2287.2	2090.03	1819.35	2004.85
NAA38	1457.23	346.29	1242.34	842.36	872.1	633.73	575.03	361.04	441.64	429.54	669.92	490.14	629.35	389.72	587.13	460.44	511.0	591.22	769.69	397.93	376.41	406.31	289.02	470.14	460.44	802.41	366.09	775.05	281.09	249.73	0.72	1498.22	1104.13	791.35	409.15
NHP2	5441.3	1340.84	4512.4	2627.46	3018.3	2400.97	1745.2	1628.26	1685.71	1519.15	2384.37	3589.58	2777.33	1397.83	1781.89	2004.85	1769.57	2400.97	2855.44	1794.29	1639.59	1081.39	1242.34	3742.05	1697.45	1639.59	1104.13	1963.57	1467.37	1651.0	0.39	5517.27	6250.56	6164.49	4543.8
NME1	8963.45	1268.46	5183.54	4010.71	2627.46	1950.0	2240.11	988.12	1030.12	1175.27	2047.0	3146.52	3280.18	915.51	1733.13	2163.77	1923.14	2956.17	2816.11	1844.76	1322.37	802.41	1059.11	3039.3	1268.46	1498.22	1304.15	2777.33	1437.15	1369.04	0.0	3280.18	3467.27	3280.18	2591.27
NME1-NME2	26986.43	5791.62	25005.23	17317.18	14765.09	11345.82	8247.98	6607.01	4802.93	4869.99	10440.2	16383.0	11827.67	4152.18	9876.98	9740.98	10225.32	12764.83	10808.41	9151.82	8479.89	4769.75	4152.18	13872.08	5791.62	11504.21	6079.61	11267.44	10585.95	7485.11	1.07	27745.15	35363.15	24832.5	20593.91
NPLOC4	1225.22	591.22	616.37	660.68	909.17	764.36	713.11	748.61	555.41	460.44	878.17	902.89	753.83	620.67	896.64	819.3	571.05	915.51	813.63	435.55	450.94	665.29	403.5	728.11	341.51	679.29	529.06	988.12	454.09	395.18	0.92	1268.46	1397.83	854.13	1437.15
OXA1L	3515.68	1977.24	3349.13	3235.01	2720.15	2627.46	2004.85	1950.0	1397.83	1769.57	1909.85	1651.0	3467.27	1467.37	2573.36	2573.36	2976.74	2240.11	2627.46	2061.24	2119.22	2758.13	1651.0	3540.14	1883.54	2895.31	1721.16	2555.58	1963.57	1896.65	0.96	2520.38	2796.65	2163.77	2627.46
PA2G4	5292.48	934.76	2271.4	2271.4	2451.44	1498.22	1572.76	1313.23	1397.83	1427.22	1628.26	2209.26	2255.7	1242.34	2075.59	1721.16	1605.83	1936.53	2193.99	1295.13	1313.23	890.44	1447.15	2303.12	890.44	1250.98	1104.13	1583.71	1191.69	1268.46	180.02	2609.3	4639.29	3081.75	3124.78
PBDC1	1437.15	483.38	1199.98	974.5	934.76	693.58	866.07	483.38	511.0	540.19	547.75	703.28	802.41	387.02	679.29	518.15	490.14	854.13	748.61	733.19	518.15	291.04	470.14	579.04	397.93	483.38	366.09	624.99	389.72	368.65	0.34	1605.83	1191.69	1023.0	733.19
PCMT1	2335.28	842.36	2104.58	2468.49	1769.57	1572.76	1896.65	1388.16	1242.34	1225.22	1037.29	1322.37	1427.22	1304.15	1397.83	1427.22	2075.59	1561.89	2075.59	1378.57	1167.14	961.07	1111.82	1963.57	1781.89	1378.57	1037.29	1781.89	1015.93	1268.46	0.64	2367.9	1561.89	2104.58	1733.13
PDAP1	6840.04	1769.57	2816.11	2915.45	2664.15	2367.9	2240.11	1896.65	2148.82	2104.58	2271.4	3060.45	2701.35	2032.85	2520.38	2502.97	2335.28	2645.74	2855.44	1540.37	1883.54	1427.22	2271.4	2573.36	1923.14	1977.24	1781.89	2271.4	1794.29	1870.53	376.41	5041.77	8247.98	5672.41	3395.89
POLR2I	2758.13	1769.57	2796.65	2047.0	2758.13	1561.89	1529.73	1242.34	2047.0	1883.54	1909.85	2400.97	2417.67	1540.37	1487.87	1977.24	2287.2	1733.13	2240.11	1832.01	1896.65	1359.57	1896.65	2573.36	2032.85	1277.29	1216.75	1594.73	1467.37	1519.15	0.68	2163.77	3928.15	4328.55	2047.0
PRPS1	830.75	638.15	1487.87	1674.06	1605.83	890.44	1199.98	854.13	915.51	1059.11	723.08	981.29	1127.35	934.76	941.27	1037.29	1008.9	1127.35	1397.83	620.67	842.36	381.68	954.43	1340.84	988.12	915.51	591.22	988.12	651.58	1008.9	0.45	1159.07	1397.83	1044.52	890.44
PSMB1	8191.0	5672.41	7485.11	11267.44	7032.37	6294.04	6426.31	6381.92	5041.77	5751.61	8901.53	7803.01	5633.22	4038.61	6164.49	7130.55	7485.11	8078.22	7911.95	5255.91	5147.73	3325.99	5329.3	8538.88	5995.9	7280.4	4903.87	7230.1	5076.84	4869.99	1.23	14163.58	14461.21	9474.59	8538.88
PSMB4	13123.73	6121.9	9151.82	8901.53	6935.54	6207.38	6607.01	5872.48	4736.79	5995.9	10225.32	8658.09	6699.25	4010.71	6207.38	6381.92	9215.48	6607.01	7642.41	6607.01	4937.99	3540.14	4736.79	8598.28	4869.99	6426.31	5479.15	6887.62	5751.61	6250.56	1.45	15934.98	12244.81	8421.31	9279.58
PSMC3	4095.0	2351.53	4328.55	3928.15	4450.27	3212.66	3768.09	2520.38	2816.11	2796.65	3901.01	4123.49	3639.7	3168.41	4543.8	3955.48	3794.3	3690.52	3794.3	2796.65	2875.3	1498.22	2997.45	3614.55	2915.45	3467.27	2591.27	4903.87	2555.58	2816.11	0.85	6471.02	6516.03	5954.47	4671.57
PSMC4	3303.0	1639.59	2682.69	2240.11	2645.74	1721.16	2004.85	1540.37	1259.69	1477.58	2240.11	2061.24	1991.0	1268.46	1963.57	1572.76	1769.57	2271.4	2061.24	1709.26	1233.75	1167.14	1457.23	2163.77	1059.11	1757.34	1487.87	2148.82	1508.65	1551.09	0.88	4123.49	3820.7	3540.14	4123.49
PSMC5	5517.27	2537.92	3665.02	3742.05	3443.31	3820.7	3349.13	3690.52	2664.15	2502.97	4802.93	3589.58	3280.18	2682.69	4181.07	3039.3	3614.55	3768.09	3443.31	3280.18	2163.77	2434.5	2627.46	3820.7	2061.24	3325.99	2796.65	3235.01	1819.35	2591.27	0.83	5672.41	4836.35	5329.3	4419.52
PSMD1	2627.46	1225.22	1561.89	1674.06	1551.09	1781.89	1508.65	1259.69	1135.2	1175.27	1605.83	1709.26	1519.15	947.83	1781.89	1242.34	1143.1	1896.65	1561.89	1250.98	830.75	872.1	1081.39	1250.98	759.08	1295.13	1001.93	1857.6	1037.29	1073.91	0.54	3303.0	2451.44	2148.82	2335.28
PSMD7	3419.52	1127.35	2303.12	2468.49	2701.35	1697.45	1832.01	1407.55	1467.37	1617.0	2075.59	2384.37	1936.53	1508.65	2133.97	1832.01	1733.13	2018.8	2537.92	1313.23	1191.69	941.27	1529.73	2193.99	995.0	1617.0	1250.98	2367.9	1467.37	1561.89	764.36	3372.43	2997.45	2287.2	2148.82
PUF60	3564.78	1697.45	3467.27	2701.35	4152.18	3146.52	2417.67	2047.0	1857.6	1950.0	3039.3	3665.02	4095.0	1794.29	3639.7	4066.71	2915.45	3280.18	3325.99	1674.06	2133.97	1936.53	2047.0	3303.0	1498.22	3419.52	1540.37	4419.52	1709.26	1651.0	1950.0	3982.99	3794.3	4210.15	3928.15
PYCRL	231.32	183.82	314.17	244.57	466.88	171.45	122.64	269.6	89.51	131.51	131.51	242.88	409.15	152.28	113.56	182.55	323.03	248.0	258.57	301.33	156.59	253.23	127.89	384.34	189.02	205.5	162.14	194.36	98.73	90.14	0.0	409.15	329.84	218.79	493.56
RAN	25530.66	2664.15	7749.1	8718.32	7230.1	4268.94	4671.57	3124.78	3540.14	3168.41	5255.91	6516.03	5403.7	2739.08	4450.27	4575.41	3491.39	5872.48	4972.34	3190.46	3146.52	1991.0	3349.13	5292.48	2400.97	3515.68	3103.19	4671.57	3768.09	3820.7	0.72	18304.63	19082.0	13681.08	15715.58
RHBDD3	1037.29	397.93	688.78	353.59	460.44	323.03	299.25	301.33	199.85	356.05	395.18	708.18	551.56	191.67	518.15	409.15	381.68	518.15	414.87	293.07	206.94	406.31	343.89	447.82	165.57	271.48	366.09	540.19	249.73	297.17	0.64	1175.27	587.13	497.0	1059.11
RPL36AL	10883.59	7032.37	10585.95	12589.08	9740.98	9673.69	9945.68	6792.79	10733.74	8538.88	12943.04	8718.32	9945.68	7485.11	8963.45	8840.04	11584.24	9673.69	12244.81	6294.04	7642.41	5076.84	8022.41	10585.95	7331.05	8658.09	7130.55	7589.61	6887.62	8305.36	1.01	11827.67	13215.02	12589.08	9279.58
RPL41	110983.6	34396.12	65535.0	66912.05	87681.42	86474.27	52135.28	34635.37	46019.85	46339.95	50011.46	66449.85	59063.35	34158.52	72213.45	55491.3	75803.72	69271.73	57448.23	29943.43	55877.28	35363.15	38697.77	63302.6	65082.31	51417.5	24490.61	59887.86	58655.36	38164.99	1806.78	131071.0	127486.83	93974.69	82951.62
RPL7A	82378.63	22072.07	61146.25	34635.37	46019.85	27938.14	16727.26	10883.59	14561.8	15180.22	26248.46	27174.14	25887.07	15075.35	25005.23	21768.19	25530.66	23169.48	21320.18	18304.63	20310.37	11745.96	15180.22	28132.47	23009.42	26067.14	11267.44	27174.14	29736.59	21172.91	1.75	75803.72	112532.89	80683.28	54727.32
RPLP0	101420.22	23820.89	77396.54	51417.5	68318.04	40341.14	24321.43	18689.27	17558.94	16960.78	29531.18	47974.16	47313.67	17558.94	24490.61	30572.63	38430.46	35609.13	32315.87	26986.43	31650.8	19892.37	15285.81	61146.25	25708.25	33688.23	14867.79	36357.37	20310.37	25708.25	25708.25	82378.63	85283.74	61571.56	74243.68
RPS16	48307.85	22850.48	78476.96	39237.98	67846.12	32540.65	22225.61	16269.83	20310.37	21320.18	34158.52	40621.74	33455.53	16045.82	26067.14	25887.07	34876.28	26431.04	24832.5	20030.74	21172.91	15607.02	16727.26	38164.99	21768.19	33922.56	15285.81	29327.18	32540.65	26800.01	4575.41	52863.07	84109.6	62431.08	41188.81
RPS17L	46662.28	16496.96	34158.52	23986.58	31432.17	27745.15	17804.06	13492.72	19618.49	10225.32	22225.61	26431.04	22850.48	12764.83	27363.16	18689.27	28525.2	24321.43	21026.65	12415.75	9409.14	7857.29	19892.37	10883.59	23009.42	22380.2	11345.82	17681.08	17927.91	16496.96	0.51	46662.28	51417.5	57051.4	34635.37
RPS2	120609.84	19348.38	90146.51	41188.81	68318.04	30151.71	19892.37	11504.21	12329.98	13586.57	26431.04	53230.77	47313.67	13586.57	28525.2	25708.25	30361.44	36106.23	26248.46	25530.66	20170.07	11664.82	14867.79	45386.27	21768.19	32315.87	18431.96	37379.55	50709.61	20170.07	1008.9	90146.51	80125.95	76330.98	69271.73
RPS29	109455.64	35118.87	111755.56	80125.95	88291.3	90773.53	46339.95	36864.92	33224.42	41763.8	45072.75	56657.31	59063.35	25530.66	49666.0	58655.36	89523.81	67846.12	67846.12	23820.89	58655.36	27745.15	32540.65	68793.23	36106.23	64186.29	31215.04	57051.4	66912.05	38430.46	830.75	109455.64	127486.83	87681.42	79572.48
RPS5	40062.48	10296.45	34158.52	18819.27	29124.6	16157.44	10225.32	7230.1	8363.13	7695.57	14163.58	18950.18	17317.18	7911.95	13123.73	11827.67	15499.21	13968.57	10659.59	10959.3	13399.51	7331.05	7130.55	22380.2	14461.21	14663.09	6164.49	17078.76	18689.27	11112.3	1.6	52863.07	68793.23	53973.86	47313.67
RPSA	61571.56	10440.2	38966.94	21468.49	26248.46	22380.2	9088.59	7331.05	7537.18	7032.37	15715.58	22225.61	20881.4	5112.16	13123.73	12160.22	16045.82	23820.89	13776.25	14561.8	10883.59	8247.98	5517.27	20170.07	10225.32	15715.58	7537.18	20310.37	14361.31	8305.36	703.28	75803.72	57847.82	45072.75	49322.93
RTCB	2148.82	860.08	2047.0	2502.97	2032.85	1628.26	1781.89	1322.37	1437.15	1427.22	1487.87	1561.89	1950.0	1159.07	1991.0	1561.89	1769.57	1896.65	2335.28	941.27	1250.98	713.11	1447.15	1781.89	1175.27	1561.89	1088.92	1963.57	1183.45	1359.57	397.93	2090.03	1896.65	1757.34	1870.53
SLC35A2	647.07	514.56	1151.06	642.59	974.5	713.11	642.59	540.19	457.25	567.1	647.07	660.68	679.29	567.1	595.34	525.39	748.61	791.35	603.67	802.41	511.0	500.46	575.03	890.44	429.54	688.78	529.06	624.99	571.05	429.54	0.46	1233.75	1183.45	1001.93	1304.15
SND1	2209.26	1977.24	4268.94	3081.75	3742.05	2855.44	2997.45	1721.16	1963.57	1896.65	2591.27	2367.9	3372.43	1721.16	2485.67	2384.37	3257.52	3491.39	3124.78	2209.26	2367.9	1674.06	2047.0	3303.0	2255.7	2976.74	2018.8	3060.45	2682.69	1794.29	988.12	3060.45	3168.41	3146.52	3540.14
TIMM17A	1963.57	1081.39	2777.33	3103.19	2163.77	1977.24	1963.57	1350.18	928.3	1001.93	1757.34	1135.2	2004.85	995.0	1870.53	1781.89	2018.8	1870.53	2119.22	1143.1	1081.39	684.02	1096.5	2384.37	1096.5	1250.98	728.11	1605.83	796.86	1540.37	0.25	1857.6	1721.16	1407.55	1685.71
TSTA3	2645.74	1721.16	3614.55	3419.52	5147.73	2816.11	2178.83	2148.82	1304.15	2609.3	3742.05	2573.36	3235.01	1508.65	3303.0	2645.74	2468.49	2855.44	2224.63	1991.0	1023.0	1572.76	1175.27	3419.52	1104.13	2609.3	1709.26	3467.27	1350.18	802.41	0.82	3443.31	2664.15	2627.46	4038.61
