	TCGA.C4.A0F0.01A.12R.A10U.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.EW.A1PE.01A.11R.A144.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.131YS.0626.SM.5EGKL	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.CN.4726.01A.01R.1436.07	TCGA.CV.7247.01A.11R.2016.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4589.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN
PNPLA2	368.65	2004.85	7280.4	1870.53	5711.87	4358.66	2148.82	1674.06	3928.15	2777.33	2997.45	4450.27	4010.71	486.75	1159.07	665.29	0.0	0.97	232.94	1437.15
PREX1	44.89	395.18	723.08	295.11	4298.64	2664.15	450.94	159.9	764.36	444.72	591.22	3212.66	3395.89	55.1	63.89	21.16	0.0	0.77	59.13	153.34
PRRT3	4.35	176.29	90.14	24.63	221.86	197.09	104.42	83.45	373.81	124.37	155.5	162.14	38.95	6.11	9.7	8.65	0.0	0.25	9.27	17.9
RGL2	353.59	1651.0	5711.87	1127.35	5041.77	2720.15	2555.58	1001.93	1662.49	2555.58	2351.53	4937.99	1950.0	507.46	497.0	514.56	0.0	0.99	332.14	915.51
RGL3	4.78	242.88	171.45	267.73	947.83	426.57	101.54	438.59	109.66	599.49	612.11	954.43	90.14	18.84	10.08	8.45	0.0	1.11	3.38	8.71
RORC	0.96	420.68	591.22	490.14	1216.75	703.28	423.61	397.93	693.58	872.1	775.05	708.18	351.14	5.68	40.07	1.27	0.0	0.19	7.57	146.03
RP5-1021I20.4	5.45	5.87	15.0	6.67	33.54	12.55	14.56	3.86	9.2	6.84	18.84	23.08	8.38	3.14	2.48	2.29	0.0	0.09	2.01	4.86
RUNDC1	82.29	249.73	341.51	323.03	633.73	764.36	260.38	376.41	540.19	791.35	638.15	1477.58	624.99	113.56	161.02	135.24	147.06	186.4	73.54	108.9
SFI1	46.18	395.18	1030.12	208.38	1111.82	603.67	209.84	155.5	242.88	551.56	595.34	1143.1	264.03	45.53	67.59	153.34	0.0	0.84	46.18	165.57
SLC35E2B	115.97	579.04	2367.9	353.59	872.1	791.35	669.92	275.28	441.64	1066.48	1191.69	2255.7	493.56	119.26	115.97	72.52	0.0	0.68	43.02	466.88
