	TCGA.A6.5665.11A.01R.1653.07	TCGA.AA.3531.11A.01R.A32Z.07	GTEX.11P82.1026.SM.5BC5J	GTEX.14E6E.1526.SM.5RQIG	GTEX.11LCK.2026.SM.5A5MA	GTEX.1399S.1926.SM.5J2M5	GTEX.1211K.1726.SM.5FQUJ	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.13QBU.1826.SM.5IJG3	GTEX.W5WG.2426.SM.4LMI6	GTEX.14DAR.1526.SM.5RQIX	TCGA.KN.8433.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.7851.11A.01R.2203.13	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07
ARL14	1572.76	571.05	3081.75	3955.48	1498.22	2400.97	1651.0	947.83	981.29	2664.15	2555.58	2178.83	11.47	0.0	0.0	0.0	1.89	7589.61	514.56	1313.23	981.29	848.22	108.14	0.0	0.0	0.0	0.0	1.16	0.99	0.0	0.77
ASTE1	164.42	151.22	255.0	273.37	162.14	262.2	232.94	170.25	149.12	248.0	256.78	248.0	32.82	103.69	46.84	33.06	62.56	108.14	148.09	81.71	201.25	129.69	103.69	93.35	74.06	115.97	94.67	97.36	70.51	107.38	77.79
ATP10B	660.68	463.65	4038.61	1806.78	2335.28	2997.45	4181.07	1487.87	1572.76	2645.74	2701.35	2303.12	37.05	0.39	0.48	0.0	0.0	483.38	126.12	224.97	551.56	301.33	7.88	48.18	0.95	0.92	1.39	9.27	54.72	7.0	1.69
B3GALT5	351.14	336.79	808.0	995.0	1857.6	1498.22	1001.93	183.82	159.9	674.59	669.92	791.35	1.87	0.0	2.48	9.63	29.48	140.04	12.36	93.35	473.41	15.34	3.92	0.85	19.97	10.16	0.92	8.58	0.0	3.99	0.64
B3GNT8	961.07	1359.57	1806.78	2739.08	915.51	1909.85	967.76	738.29	555.41	1359.57	1583.71	1540.37	447.82	56.68	18.03	3.89	21.01	195.72	41.22	117.6	660.68	214.27	155.5	22.1	33.78	7.28	125.24	128.79	20.26	15.68	19.68
BAIAP2L2	1561.89	1225.22	3168.41	2976.74	3039.3	3955.48	3212.66	3060.45	2537.92	3190.46	2502.97	3039.3	14.24	13.03	1167.14	387.02	403.5	1208.34	336.79	1467.37	2434.5	414.87	95.34	5.54	11.38	13.03	20.71	20.41	22.59	22.26	9.48
BAK1	928.3	1407.55	2224.63	2367.9	2209.26	2351.53	1896.65	1697.45	1378.57	1583.71	2119.22	1721.16	1111.82	860.08	633.73	514.56	450.94	1216.75	490.14	802.41	1628.26	947.83	624.99	426.57	529.06	218.79	199.85	229.72	334.46	303.44	599.49
BCL2L15	780.44	791.35	4388.98	3540.14	3146.52	2537.92	3372.43	2997.45	1331.57	3146.52	3395.89	2591.27	0.47	5.54	6.46	0.43	119.26	842.36	738.29	878.17	2875.3	412.0	117.6	0.0	0.0	0.0	8.92	13.03	1.03	2.86	1.22
BTNL8	665.29	995.0	4298.64	10959.3	2104.58	5255.91	1963.57	1111.82	813.63	3325.99	3168.41	3982.99	3.35	2.05	1.55	0.89	3.92	595.34	64.8	647.07	2796.65	271.48	50.27	7.28	7.22	9.78	19.68	16.39	9.34	29.7	17.51
C11orf86	476.71	473.41	2133.97	12160.22	638.15	5112.16	1119.56	507.46	728.11	551.56	2400.97	878.17	0.0	0.0	5.59	0.0	0.0	159.9	53.95	97.36	591.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf106	3928.15	4671.57	4512.4	6561.36	3419.52	6250.56	4328.55	2664.15	2935.74	4328.55	4736.79	4704.07	3.47	76.17	228.13	234.57	713.11	1225.22	674.59	2855.44	3614.55	1044.52	341.51	0.0	4.5	3.08	5.96	178.77	2.97	5.54	2.76
C1orf177	12.64	21.32	19.39	54.33	20.11	38.12	16.63	15.0	12.27	15.34	27.44	24.46	0.46	0.39	0.0	0.0	0.0	3.44	0.41	2.25	12.36	5.06	6.26	1.69	0.41	0.0	0.85	0.0	0.0	0.39	0.51
C2CD2L	860.08	954.43	540.19	1322.37	444.72	842.36	624.99	409.15	503.95	587.13	651.58	679.29	189.02	232.94	234.57	77.25	239.52	249.73	205.5	289.02	591.22	403.5	279.14	255.0	180.02	244.57	305.55	185.11	258.57	283.05	193.01
C5orf52	17.9	18.43	61.68	72.01	79.45	57.08	21.32	57.49	17.51	85.82	59.97	49.56	0.0	0.0	0.0	0.0	0.0	7.34	5.45	1.06	13.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C8G	251.48	279.14	679.29	769.69	159.9	183.82	256.78	89.51	234.57	161.02	363.56	208.38	77.25	1.27	171.45	21.32	67.59	10.16	23.08	111.99	974.5	159.9	156.59	11.64	31.67	15.0	34.26	12.93	26.67	25.54	36.27
CALML4	3212.66	3124.78	6561.36	6887.62	4512.4	5517.27	5076.84	4704.07	2875.3	4972.34	5954.47	4736.79	142.01	68.55	1477.58	435.55	1175.27	2701.35	890.44	1844.76	3443.31	860.08	358.54	120.1	109.66	108.14	208.38	279.14	105.15	124.37	119.26
CASP5	244.57	764.36	1191.69	1883.54	376.41	854.13	1167.14	275.28	264.03	483.38	1477.58	679.29	3.79	1.22	2.03	0.0	3.38	16.75	12.18	18.97	187.71	4.06	0.0	0.0	4.46	0.0	2.51	4.46	0.0	1.55	3.96
CASP6	995.0	1081.39	2367.9	1977.24	1721.16	1639.59	1857.6	1594.73	1030.12	2047.0	1844.76	2018.8	486.75	159.9	223.41	237.86	447.82	669.92	361.04	525.39	1277.29	878.17	543.96	190.34	234.57	239.52	199.85	651.58	269.6	262.2	285.03
CASP7	3349.13	3124.78	5441.3	5329.3	2758.13	4388.98	3018.3	2400.97	1639.59	3665.02	3515.68	3419.52	170.25	176.29	163.28	132.44	226.54	1561.89	412.0	884.29	2004.85	579.04	607.87	221.86	226.54	100.83	255.0	241.19	320.8	141.02	209.84
CCL15	759.08	842.36	3395.89	5112.16	1721.16	2855.44	1806.78	1304.15	629.35	1662.49	2018.8	2047.0	0.0	2.07	647.07	212.78	698.41	143.01	100.83	106.63	314.17	10.31	0.0	0.0	5.11	4.06	3.14	0.0	21.94	0.0	0.0
CCL15-CCL14	780.44	981.29	1397.83	2119.22	2367.9	1991.0	1909.85	1674.06	1023.0	1963.57	1477.58	2271.4	5.41	3.38	665.29	157.68	591.22	412.0	130.6	148.09	1617.0	0.0	11.64	69.03	902.89	79.45	126.12	33.54	186.4	10.47	674.59
CDC14A	297.17	231.32	392.44	423.61	89.51	303.44	140.04	102.25	151.22	185.11	161.02	237.86	75.11	61.68	23.93	31.9	24.81	98.04	59.55	98.73	381.68	85.22	141.02	54.33	94.67	60.39	102.25	108.14	38.4	79.45	50.63
CDH1	6250.56	5633.22	11267.44	13215.02	6037.61	10883.59	8421.31	4972.34	2178.83	8421.31	8718.32	9540.5	2061.24	88.26	215.77	17.13	283.05	4419.52	1651.0	3716.2	10512.82	2224.63	1950.0	5594.3	1417.35	2609.3	1277.29	1467.37	7130.55	3794.3	4268.94
CDH17	4671.57	6426.31	21768.19	22225.61	12589.08	17078.76	16157.44	11345.82	5872.48	14663.09	18689.27	20593.91	2.34	1.2	2.97	260.38	22.59	1199.98	82.29	466.88	2193.99	19.25	12.93	0.54	0.62	0.59	0.0	2.92	0.0	1.51	1.3
CDHR2	1745.2	1572.76	2855.44	6426.31	1023.0	6471.02	3325.99	896.64	1529.73	3257.52	4639.29	2739.08	8.71	55.89	205.5	105.15	353.59	2255.7	759.08	947.83	6079.61	934.76	29.48	1.03	4.24	0.0	2.73	0.0	2.68	9.41	4.31
CDHR5	5255.91	4575.41	19082.0	24490.61	11424.74	22380.2	18052.61	10808.41	11504.21	19348.38	17317.18	17437.64	2.01	3.38	808.0	3.59	718.08	1896.65	148.09	1225.22	13492.72	890.44	239.52	0.0	0.0	0.89	0.88	0.0	0.87	2.66	4.03
CDKN2B	1769.57	1977.24	3325.99	5112.16	1159.07	4358.66	2319.15	1073.91	1037.29	1844.76	2664.15	3395.89	70.51	3.2	13.42	16.88	15.68	180.02	31.0	115.16	934.76	1051.79	253.23	94.67	100.13	38.4	27.05	249.73	63.89	53.57	79.45
CDX1	1066.48	1617.0	11345.82	13872.08	11827.67	13586.57	10733.74	9151.82	5479.15	10659.59	11504.21	12943.04	0.95	0.4	1.01	0.0	0.0	293.07	5.63	128.79	718.08	12.93	0.0	0.0	2.41	0.0	0.0	3.26	0.48	0.96	0.0
CDX2	595.34	1397.83	10959.3	11112.3	10154.69	9740.98	9876.98	8134.41	4450.27	12415.75	10368.08	12676.65	0.0	0.0	4.98	0.0	0.0	212.78	133.36	273.37	507.46	61.25	9.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CFL1	47313.67	55491.3	49322.93	58250.19	44145.15	48643.87	35363.15	32092.64	23169.48	47974.16	50359.33	39237.98	17681.08	15824.9	17558.94	14561.8	19754.96	29124.6	19892.37	25179.16	48982.22	21320.18	16157.44	14163.58	12589.08	11584.24	15607.02	20737.16	14663.09	8778.97	15607.02
CGN	5995.9	5112.16	5183.54	5255.91	2997.45	6207.38	4903.87	2400.97	2935.74	4671.57	4671.57	4639.29	341.51	258.57	187.71	82.29	237.86	1104.13	1037.29	1991.0	3349.13	775.05	447.82	60.82	279.14	194.36	201.25	267.73	190.34	72.01	186.4
CHP2	1359.57	2573.36	42937.97	19754.96	11827.67	13399.51	19082.0	13968.57	9540.5	7589.61	17317.18	17681.08	0.0	0.0	0.0	0.42	0.0	111.21	9.06	33.06	915.51	14.14	24.99	0.0	0.0	0.0	2.12	0.93	0.0	0.0	0.96
CIDEC	555.41	379.04	269.6	4450.27	575.03	1015.93	281.09	536.45	60.39	457.25	514.56	348.71	0.0	9.34	6.11	3.92	2.94	161.02	9.56	248.0	1561.89	1277.29	198.47	0.0	0.0	0.0	0.0	1001.93	0.0	1.16	1.39
CLCA1	1397.83	2915.45	48307.85	59887.86	67846.12	64632.75	38966.94	35856.82	6207.38	82951.62	85876.94	90146.51	0.0	0.0	0.0	0.0	0.0	20.56	3.23	89.51	775.05	12.64	19.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLCN2	1208.34	1674.06	2319.15	2796.65	1250.98	1721.16	1583.71	928.3	872.1	1295.13	1605.83	1551.09	111.99	132.44	212.78	128.79	206.94	98.73	215.77	167.9	406.31	40.93	37.85	139.07	191.67	137.14	90.14	72.01	161.02	127.89	258.57
CNST	389.72	363.56	373.81	616.37	273.37	441.64	366.09	305.55	373.81	525.39	336.79	323.03	69.52	144.01	53.95	100.83	69.52	202.66	114.36	135.24	264.03	223.41	256.78	239.52	197.09	195.72	161.02	165.57	140.04	251.48	124.37
CORO2A	909.17	1001.93	1331.57	1388.16	723.08	1059.11	848.22	571.05	525.39	836.53	1104.13	878.17	35.25	2.03	6.57	6.01	80.01	559.28	241.19	447.82	1111.82	316.37	94.01	7.88	11.55	6.06	55.1	146.03	5.32	8.13	16.15
CTNND1	4210.15	4903.87	5555.65	5292.48	4358.66	5633.22	5711.87	3665.02	2758.13	5672.41	4937.99	5441.3	1662.49	1151.06	854.13	830.75	1066.48	1977.24	1304.15	2997.45	3847.29	3443.31	2148.82	1583.71	1697.45	1417.35	2104.58	2004.85	1819.35	1437.15	995.0
CYFIP1	1909.85	1806.78	2537.92	1806.78	1286.18	2047.0	1295.13	1359.57	1304.15	1844.76	2004.85	1844.76	1088.92	728.11	638.15	842.36	872.1	1540.37	713.11	1369.04	1551.09	1143.1	660.68	954.43	909.17	514.56	890.44	802.41	995.0	884.29	718.08
CYP4F12	1286.18	1015.93	3564.78	2915.45	2434.5	2061.24	3372.43	3060.45	1674.06	2384.37	2502.97	2915.45	5.36	1.3	100.13	2.25	79.45	536.45	228.13	460.44	1844.76	2163.77	82.87	11.21	8.85	7.46	35.0	14.78	5.19	15.45	22.75
DGAT1	4066.71	4512.4	5183.54	8901.53	6207.38	7433.4	6079.61	5791.62	5594.3	5183.54	5672.41	6207.38	2935.74	651.58	1225.22	1159.07	559.28	2319.15	1191.69	2835.7	10084.54	3515.68	1819.35	543.96	1199.98	830.75	1191.69	1143.1	651.58	607.87	802.41
DHRS11	4419.52	5076.84	9606.86	11035.54	6840.04	8363.13	7081.29	5479.15	4358.66	6561.36	7537.18	7695.57	1617.0	1819.35	872.1	368.65	470.14	947.83	194.36	612.11	5366.37	1583.71	733.19	1259.69	2240.11	802.41	447.82	607.87	1508.65	435.55	928.3
DNM2	7382.04	6471.02	5479.15	8598.28	6840.04	10225.32	8901.53	6250.56	5555.65	9025.81	6652.97	8247.98	2351.53	2119.22	2240.11	2240.11	1407.55	4152.18	2591.27	5255.91	4210.15	5076.84	2319.15	1378.57	1304.15	2075.59	1572.76	1233.75	2047.0	2271.4	1950.0
DNPEP	2335.28	3212.66	3190.46	3039.3	3419.52	3146.52	3589.58	3467.27	3614.55	3589.58	3081.75	3212.66	1498.22	1388.16	2047.0	2018.8	1498.22	1268.46	2956.17	1883.54	3235.01	1781.89	1457.23	1447.15	1540.37	1119.56	1159.07	665.29	974.5	764.36	1397.83
DOLPP1	791.35	866.07	1250.98	1628.26	819.3	1159.07	915.51	759.08	447.82	915.51	1119.56	1096.5	221.86	172.65	366.09	258.57	273.37	287.01	463.65	323.03	796.86	559.28	384.34	167.9	97.36	127.89	201.25	209.84	117.6	255.0	118.43
EDN3	435.55	665.29	1832.01	4671.57	954.43	2701.35	2351.53	860.08	633.73	1417.35	2075.59	2609.3	0.0	0.39	0.48	0.0	0.0	22.43	3.03	56.28	490.14	9.13	16.03	1.33	14.56	429.54	224.97	2.25	1.36	60.39	6.26
EFNA2	186.4	525.39	915.51	1757.34	1037.29	1697.45	1096.5	748.61	813.63	967.76	909.17	808.0	1.45	0.42	3.06	60.82	1.97	199.85	113.56	37.59	255.0	7.88	10.0	1.25	3.5	0.56	0.0	5.28	0.0	0.97	2.68
EPB41L4B	2119.22	1331.57	4095.0	4671.57	2075.59	3190.46	2796.65	1721.16	1233.75	3081.75	2855.44	3639.7	136.19	70.51	6.89	17.9	4.74	1059.11	493.56	928.3	2720.15	423.61	414.87	161.02	202.66	547.75	244.57	209.84	842.36	603.67	764.36
EPCAM	21768.19	28923.41	77396.54	99333.0	38164.99	66912.05	53973.86	37901.36	11827.67	68318.04	65535.0	73730.83	2573.36	854.13	1529.73	1119.56	3325.99	19214.73	7911.95	7485.11	85283.74	2915.45	2271.4	2148.82	3928.15	2796.65	4450.27	4869.99	3103.19	2627.46	2018.8
EPS8L3	4972.34	3614.55	12244.81	13306.94	11745.96	14561.8	15180.22	12589.08	12244.81	15607.02	13492.72	12502.12	0.0	2.84	3.06	1.31	20.71	2502.97	4388.98	4388.98	10659.59	1143.1	211.31	0.0	0.0	1.14	0.0	0.0	0.0	1.14	1.43
ETHE1	15934.98	10440.2	26067.14	25708.25	15934.98	20030.74	14065.74	12329.98	7857.29	16045.82	21468.49	17927.91	2163.77	1159.07	854.13	571.05	1199.98	4298.64	2400.97	3443.31	5255.91	1733.13	2163.77	896.64	941.27	1023.0	934.76	2384.37	1923.14	1159.07	1674.06
FABP2	353.59	463.65	2240.11	2434.5	2018.8	1322.37	878.17	854.13	543.96	1378.57	1745.2	1617.0	0.0	0.0	0.0	0.0	0.0	51.71	0.95	42.71	1259.69	61.25	31.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM73B	1104.13	872.1	934.76	1051.79	1088.92	1259.69	1242.34	1331.57	1477.58	1111.82	1044.52	1208.34	275.28	246.28	218.79	389.72	279.14	514.56	674.59	540.19	1008.9	1008.9	334.46	540.19	358.54	392.44	748.61	277.2	466.88	607.87	438.59
FBLIM1	4123.49	4736.79	3491.39	5517.27	3395.89	6164.49	3847.29	3257.52	3491.39	3690.52	3589.58	3982.99	193.01	93.35	155.5	878.17	660.68	1923.14	1119.56	2835.7	3491.39	1977.24	665.29	231.32	156.59	159.9	358.54	842.36	90.77	341.51	217.27
FEM1C	493.56	420.68	616.37	417.77	229.72	532.74	343.89	237.86	262.2	363.56	325.29	409.15	70.01	299.25	55.89	101.54	149.12	281.09	147.06	208.38	332.14	206.94	334.46	166.73	249.73	140.04	86.43	152.28	187.71	127.89	204.07
FXYD3	69271.73	69753.56	175363.84	370726.6	163620.18	253213.41	234624.45	139508.13	68318.04	221968.2	234624.45	290865.98	7.06	22.59	52.08	50.63	0.0	25354.3	32767.0	28328.16	13306.94	17681.08	13215.02	0.0	0.0	0.0	48.18	62.56	6.21	26.28	10.88
FZD5	1277.29	802.41	1242.34	1167.14	808.0	909.17	848.22	532.74	361.04	836.53	878.17	1159.07	43.02	148.09	147.06	76.71	130.6	320.8	356.05	320.8	813.63	325.29	279.14	32.36	54.72	66.65	42.11	46.18	31.45	96.68	40.36
GAB1	444.72	429.54	368.65	301.33	361.04	325.29	356.05	262.2	432.53	291.04	291.04	373.81	65.26	118.43	66.18	110.43	115.97	221.86	140.04	161.02	409.15	239.52	283.05	107.38	88.26	77.79	171.45	211.31	57.08	100.13	84.04
GLRA4	15.34	18.43	35.76	106.63	8.58	33.54	17.77	0.0	3.17	13.52	25.54	11.13	0.0	0.0	1.0	0.0	0.0	5.5	0.04	3.92	83.45	5.96	0.0	0.0	0.0	0.68	1.2	0.0	1.19	0.0	1.53
GPA33	5555.65	7081.29	24660.96	25708.25	14065.74	25005.23	18178.19	9945.68	4972.34	17437.64	20310.37	23492.92	1.89	0.0	2.01	0.85	5.32	305.55	27.44	204.07	1991.0	13.72	20.26	0.0	0.39	0.38	1.83	16.03	4.86	1.14	1.45
GPR128	115.16	187.71	656.11	1277.29	100.13	521.76	536.45	98.04	74.58	170.25	579.04	423.61	0.0	0.0	0.0	0.0	0.0	148.09	6.06	39.5	417.77	25.72	7.28	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0
GPT	1844.76	1662.49	6079.61	5147.73	5517.27	5366.37	5219.6	7537.18	5594.3	4210.15	6250.56	4210.15	133.36	70.51	733.19	135.24	339.14	1143.1	31.45	1104.13	1806.78	764.36	435.55	94.67	379.04	14.24	72.52	55.89	23.59	50.63	164.42
HECTD3	2148.82	1909.85	2303.12	2468.49	2119.22	2739.08	2434.5	1832.01	1794.29	2520.38	2303.12	2148.82	679.29	624.99	961.07	802.41	688.78	1651.0	1304.15	1477.58	2701.35	1259.69	733.19	559.28	599.49	612.11	1175.27	981.29	808.0	607.87	947.83
HEPH	2701.35	3168.41	2816.11	4123.49	1733.13	4239.45	3419.52	1304.15	1628.26	3168.41	3982.99	3349.13	31.45	18.43	12.09	19.25	36.01	1757.34	85.22	698.41	1378.57	223.41	209.84	86.43	49.21	22.1	77.79	314.17	22.59	72.01	49.21
HHLA2	1397.83	2758.13	11664.82	19214.73	2701.35	10014.87	6652.97	1733.13	1662.49	8538.88	7642.41	9088.59	0.0	0.0	954.43	6.11	1427.22	220.32	16.51	178.77	2400.97	540.19	6.57	0.19	0.0	0.24	0.22	1.89	0.0	1.07	0.0
HSD17B11	4607.24	4328.55	8134.41	12160.22	4123.49	6471.02	5751.61	3874.05	1991.0	6426.31	6121.9	7803.01	95.34	285.03	1781.89	1001.93	753.83	1487.87	2090.03	1313.23	4512.4	1175.27	1096.5	265.87	204.07	147.06	493.56	1044.52	181.28	307.69	301.33
HSD17B2	4239.45	1242.34	16611.71	11909.94	3467.27	7589.61	3639.7	2895.31	1870.53	6337.83	6792.79	8363.13	0.0	17.25	15.8	10.88	24.46	1437.15	607.87	3168.41	11112.3	638.15	165.57	0.0	0.0	0.0	0.0	1.31	0.0	0.0	1.36
HTR4	35.25	34.51	129.69	105.89	181.28	124.37	297.17	120.1	105.89	88.88	191.67	112.77	1.39	0.0	0.0	1.27	0.0	0.0	0.29	1.95	48.87	0.0	2.56	0.0	0.0	0.0	1.0	1.27	0.0	1.04	0.0
IFNLR1	172.65	204.07	297.17	403.5	130.6	348.71	232.94	71.0	107.38	120.1	277.2	193.01	63.89	25.91	20.41	10.24	20.11	73.03	102.97	22.59	212.78	111.99	50.98	45.85	43.63	46.18	107.38	98.73	48.18	32.59	41.81
IL10RB	1697.45	1991.0	2997.45	3874.05	1388.16	2335.28	1844.76	1208.34	791.35	1540.37	2271.4	2148.82	466.88	341.51	450.94	483.38	429.54	1277.29	723.08	728.11	1304.15	941.27	713.11	220.32	289.02	199.85	303.44	447.82	371.22	285.03	406.31
IL22RA1	438.59	575.03	872.1	1896.65	470.14	1359.57	802.41	258.57	351.14	698.41	1081.39	890.44	0.49	1.23	102.25	15.45	58.71	312.0	237.86	78.89	503.95	147.06	69.03	21.47	0.0	26.47	103.69	23.76	21.47	12.36	21.16
KIAA1211	249.73	267.73	551.56	830.75	246.28	567.1	291.04	143.01	80.01	277.2	366.09	366.09	7.0	0.8	16.27	27.25	11.82	176.29	28.86	156.59	395.18	81.71	24.11	1.08	0.44	3.5	1.17	23.93	4.03	17.38	2.01
KLC4	1685.71	1883.54	2148.82	3349.13	2895.31	2915.45	3103.19	2701.35	2319.15	2835.7	2816.11	3081.75	698.41	693.58	1059.11	872.1	954.43	703.28	713.11	967.76	1936.53	1359.57	791.35	896.64	713.11	825.0	848.22	432.53	483.38	733.19	507.46
KLF4	4671.57	5791.62	11745.96	9606.86	7331.05	11267.44	5517.27	3847.29	4607.24	6037.61	8305.36	5954.47	140.04	77.25	132.44	110.43	497.0	1697.45	1378.57	1030.12	2271.4	1832.01	1498.22	273.37	497.0	127.0	281.09	616.37	119.26	392.44	571.05
LGALS4	75803.72	96616.71	322736.12	244588.0	263966.36	208544.12	186652.11	201440.3	117311.73	248002.34	260332.24	215898.44	15.11	12.55	197.09	12.45	10.63	23820.89	19892.37	21468.49	66912.05	7130.55	1857.6	7.34	11.55	4.5	19.97	19.82	7.06	9.56	7.28
LMO7	5041.77	2701.35	5076.84	5041.77	1857.6	5219.6	2915.45	1286.18	1268.46	3235.01	3540.14	3190.46	1388.16	3081.75	1059.11	1583.71	638.15	7966.99	1832.01	2682.69	4268.94	2537.92	1151.06	529.06	353.59	1427.22	1191.69	1870.53	796.86	1268.46	384.34
LRP10	4388.98	5479.15	4095.0	4066.71	2119.22	5076.84	3124.78	1674.06	3018.3	2193.99	4210.15	3257.52	2758.13	1794.29	1151.06	1477.58	1508.65	3820.7	1757.34	3303.0	4066.71	3018.3	2796.65	2047.0	1407.55	2335.28	1015.93	1199.98	1427.22	2287.2	1111.82
LRRC1	1350.18	1199.98	1733.13	1870.53	753.83	1191.69	934.76	579.04	713.11	848.22	1081.39	915.51	217.27	177.53	72.01	248.0	202.66	414.87	368.65	591.22	723.08	314.17	241.19	441.64	211.31	363.56	248.0	356.05	309.83	242.88	224.97
