	TCGA.EM.A2CU.01A.12R.A180.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.BJ.A3F0.01A.11R.A206.07	TCGA.EM.A3O6.01A.11R.A220.07	TCGA.EL.A3ZR.01A.11R.A23N.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.DJ.A3VG.01A.11R.A23N.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A1YE.01A.11R.A14Y.07	TCGA.EM.A2CJ.01A.11R.A180.07	TCGA.DJ.A3UT.01A.11R.A22L.07	TCGA.BJ.A45G.01A.11R.A23W.07	TCGA.EM.A1CW.11A.12R.A13Y.07	GTEX.RM2N.0526.SM.2TF4N	GTEX.W5X1.0426.SM.3GILB	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.12WSK.0926.SM.5CVNQ	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZQG8.0926.SM.57WFF	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.WFJO.0226.SM.3GIKW	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.YEC3.0826.SM.4WWFP	GTEX.R55C.0626.SM.2TF4Q	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.UJMC.0326.SM.3GAE2	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
C1QTNF5	1008.9	1295.13	1883.54	2178.83	2090.03	1001.93	1628.26	1066.48	1397.83	1268.46	1277.29	1030.12	1304.15	884.29	226.54	279.14	595.34	363.56	264.03	476.71	267.73	228.13	444.72	271.48	848.22	351.14	463.65	684.02	384.34	738.29	503.95	460.44	454.09	202.66	591.22	389.72	429.54	400.71	503.95	303.44	269.6	500.46	279.14	486.75	212.78	674.59	223.41	176.29	316.37	409.15	511.0
C9orf16	4972.34	2224.63	3540.14	4210.15	3690.52	3257.52	3257.52	4010.71	3235.01	2240.11	3395.89	2915.45	2976.74	2573.36	341.51	836.53	1529.73	921.88	1151.06	1508.65	629.35	1051.79	1340.84	791.35	1508.65	1359.57	1199.98	1844.76	2303.12	1286.18	1832.01	848.22	1417.35	638.15	2682.69	974.5	915.51	2645.74	1159.07	1191.69	718.08	848.22	813.63	4328.55	1551.09	2224.63	896.64	642.59	1059.11	1936.53	1359.57
CARM1	571.05	629.35	679.29	698.41	521.76	587.13	525.39	624.99	599.49	595.34	733.19	624.99	624.99	583.07	341.51	466.88	514.56	529.06	583.07	423.61	283.05	343.89	555.41	575.03	583.07	483.38	536.45	551.56	450.94	599.49	457.25	412.0	532.74	260.38	547.75	454.09	547.75	529.06	463.65	563.18	511.0	500.46	454.09	483.38	470.14	583.07	579.04	409.15	540.19	497.0	607.87
CCDC124	3257.52	2061.24	2133.97	4769.75	3589.58	2573.36	2997.45	3564.78	2400.97	2209.26	3564.78	2434.5	2777.33	2163.77	647.07	1286.18	1051.79	1662.49	1781.89	2178.83	759.08	1359.57	1909.85	1487.87	1832.01	1769.57	2047.0	2193.99	2104.58	1733.13	2224.63	1378.57	2255.7	915.51	2417.67	1233.75	1529.73	2018.8	2075.59	1936.53	1572.76	1088.92	1457.23	2664.15	1639.59	2758.13	1709.26	1467.37	1617.0	2163.77	1963.57
CDC34	1617.0	1350.18	1427.22	1832.01	1242.34	1378.57	1572.76	1857.6	1467.37	1467.37	1857.6	1331.57	1477.58	1340.84	656.11	819.3	743.43	902.89	819.3	1030.12	616.37	693.58	921.88	836.53	981.29	825.0	981.29	1051.79	842.36	825.0	878.17	595.34	890.44	500.46	1037.29	759.08	1135.2	1088.92	954.43	890.44	884.29	629.35	813.63	1119.56	1001.93	1066.48	848.22	1008.9	780.44	1191.69	1208.34
CDIPT	2835.7	2303.12	2287.2	3257.52	2739.08	2502.97	2935.74	2875.3	2319.15	2485.67	3212.66	3768.09	2240.11	2271.4	1605.83	1936.53	1757.34	2018.8	1977.24	2090.03	1498.22	2319.15	2004.85	1721.16	2335.28	1883.54	2090.03	2796.65	2133.97	2384.37	2591.27	2224.63	2178.83	1685.71	1745.2	1857.6	2047.0	2119.22	954.43	2163.77	1870.53	1844.76	1832.01	2047.0	1745.2	2591.27	1923.14	1757.34	1896.65	2537.92	2163.77
CDK16	2032.85	2047.0	2163.77	2303.12	1896.65	1950.0	1936.53	1674.06	2075.59	2004.85	2468.49	2133.97	2271.4	2335.28	1277.29	1295.13	1175.27	1936.53	1896.65	1208.34	896.64	1397.83	1857.6	1519.15	1685.71	1662.49	1685.71	1757.34	1832.01	1508.65	1417.35	1250.98	1651.0	896.64	2287.2	1794.29	1745.2	1709.26	1639.59	1594.73	1950.0	1651.0	1617.0	1417.35	1832.01	1628.26	1519.15	1175.27	1369.04	2047.0	1832.01
CHID1	2701.35	2468.49	2209.26	3190.46	2895.31	3395.89	2796.65	2816.11	1977.24	2335.28	3372.43	3491.39	2119.22	1909.85	1936.53	1529.73	1628.26	1963.57	1674.06	2434.5	1572.76	2104.58	1806.78	1457.23	1991.0	1583.71	1950.0	2664.15	2224.63	2047.0	2796.65	1617.0	2104.58	1806.78	1909.85	1551.09	2119.22	2319.15	1721.16	1769.57	1617.0	1594.73	1909.85	2178.83	1832.01	2367.9	1870.53	1844.76	2004.85	2209.26	2287.2
CHMP1A	2271.4	1467.37	1757.34	2417.67	1651.0	1709.26	1883.54	2018.8	1572.76	1936.53	2119.22	2018.8	1605.83	1769.57	1096.5	1096.5	1167.14	1662.49	1561.89	1437.15	1088.92	1008.9	1340.84	1407.55	1662.49	1457.23	1427.22	1487.87	1135.2	1551.09	1487.87	1583.71	1304.15	1498.22	1457.23	1259.69	1359.57	1397.83	1369.04	1806.78	1617.0	1286.18	1733.13	1350.18	1417.35	1594.73	1331.57	1519.15	1745.2	1639.59	1721.16
CLIC1	10659.59	7695.57	7537.18	9279.58	8305.36	6250.56	10368.08	10154.69	6887.62	7695.57	8479.89	7966.99	7331.05	6652.97	5147.73	4512.4	5255.91	7966.99	6426.31	6337.83	4450.27	6250.56	7331.05	4358.66	6294.04	4869.99	5913.33	5255.91	6426.31	6250.56	6079.61	4066.71	6207.38	4419.52	9673.69	5711.87	5006.93	5791.62	7081.29	5479.15	6121.9	7230.1	5872.48	6840.04	6164.49	7911.95	4607.24	4358.66	5403.7	7331.05	4937.99
CNPY3	2303.12	1639.59	1883.54	1745.2	1127.35	1844.76	1769.57	2104.58	1369.04	1572.76	2351.53	1844.76	1733.13	1268.46	915.51	1135.2	1023.0	1023.0	1073.91	1259.69	775.05	1427.22	1073.91	896.64	1447.15	954.43	1030.12	1519.15	1167.14	1639.59	1540.37	1242.34	1191.69	1037.29	1268.46	1088.92	902.89	1437.15	1135.2	1143.1	934.76	961.07	1322.37	1208.34	1127.35	1417.35	1143.1	961.07	1104.13	1369.04	1277.29
CORO1B	4123.49	3349.13	3039.3	4210.15	3690.52	4298.64	3124.78	3303.0	3257.52	2835.7	5112.16	2720.15	3257.52	2895.31	1233.75	2163.77	1923.14	2417.67	2739.08	2075.59	1896.65	1963.57	2319.15	1819.35	2664.15	2271.4	2468.49	2739.08	2335.28	2739.08	2701.35	2335.28	2319.15	2004.85	2777.33	2004.85	2319.15	2335.28	2816.11	2417.67	2178.83	2018.8	2434.5	3395.89	2537.92	3060.45	2555.58	2303.12	2468.49	2502.97	3081.75
CSNK2B	5366.37	5219.6	5872.48	6250.56	6426.31	4736.79	6699.25	6561.36	5366.37	5517.27	8901.53	6471.02	6561.36	5555.65	5147.73	3768.09	3589.58	5006.93	4268.94	4937.99	4639.29	4239.45	4836.35	4869.99	3928.15	4298.64	4450.27	4769.75	6652.97	4181.07	4836.35	3257.52	4639.29	4704.07	4543.8	3349.13	4671.57	4671.57	4298.64	5183.54	4736.79	4575.41	4010.71	5112.16	4972.34	5147.73	4239.45	4836.35	4239.45	5441.3	5441.3
CUEDC2	1794.29	2004.85	1733.13	2367.9	1781.89	1832.01	2193.99	2434.5	1819.35	1769.57	2591.27	2287.2	1674.06	1605.83	1096.5	1242.34	1295.13	1508.65	1259.69	1685.71	1233.75	1628.26	1277.29	1286.18	1628.26	1369.04	1498.22	1936.53	1709.26	1605.83	1909.85	1304.15	1674.06	1250.98	1583.71	1111.82	1427.22	1674.06	1199.98	1709.26	1340.84	1183.45	1359.57	1857.6	1378.57	1909.85	1769.57	1295.13	1388.16	1883.54	1617.0
DDX49	1015.93	884.29	866.07	1617.0	1159.07	1001.93	1023.0	947.83	1088.92	878.17	1745.2	1216.75	1044.52	909.17	447.82	575.03	733.19	656.11	842.36	543.96	612.11	563.18	753.83	480.04	819.3	633.73	921.88	921.88	679.29	915.51	872.1	638.15	796.86	575.03	974.5	651.58	642.59	785.88	928.3	802.41	688.78	575.03	599.49	1183.45	753.83	995.0	693.58	854.13	878.17	759.08	842.36
DUS1L	2956.17	3491.39	4210.15	6607.01	4869.99	4639.29	2956.17	2816.11	4038.61	2956.17	4066.71	2520.38	4210.15	3372.43	1088.92	1447.15	2090.03	2351.53	2609.3	2032.85	1909.85	1143.1	1936.53	2090.03	2163.77	2104.58	2400.97	2555.58	2758.13	1923.14	2018.8	1697.45	2240.11	1685.71	3280.18	1709.26	2701.35	2485.67	2796.65	2855.44	1909.85	1674.06	1963.57	2520.38	2502.97	2075.59	2682.69	2417.67	2520.38	2520.38	3212.66
EDEM2	607.87	551.56	525.39	647.07	514.56	507.46	555.41	674.59	470.14	563.18	759.08	607.87	579.04	511.0	379.04	460.44	376.41	409.15	384.34	353.59	409.15	500.46	503.95	379.04	493.56	432.53	441.64	575.03	426.57	503.95	507.46	414.87	403.5	312.0	473.41	438.59	376.41	426.57	521.76	473.41	435.55	473.41	441.64	525.39	379.04	591.22	480.04	281.09	409.15	483.38	368.65
ELOF1	2075.59	1857.6	2104.58	2591.27	2287.2	2119.22	2645.74	2209.26	2303.12	1977.24	2739.08	2104.58	2303.12	1870.53	842.36	1051.79	1277.29	1407.55	1359.57	1529.73	1030.12	1111.82	1242.34	1199.98	1519.15	1350.18	1242.34	2367.9	1685.71	1697.45	1870.53	1191.69	1388.16	1242.34	1572.76	1191.69	1250.98	1819.35	1397.83	1551.09	1259.69	1250.98	981.29	1674.06	1437.15	1721.16	1191.69	1350.18	1268.46	1697.45	1806.78
EPN1	2209.26	1832.01	1832.01	2384.37	1605.83	1540.37	1883.54	2417.67	1551.09	1781.89	2739.08	1806.78	1883.54	1781.89	503.95	1111.82	872.1	1447.15	1477.58	1572.76	674.59	928.3	1417.35	1135.2	1674.06	1216.75	1407.55	2047.0	1662.49	1437.15	1617.0	1044.52	1628.26	842.36	1508.65	934.76	1529.73	1508.65	1322.37	1397.83	1369.04	1159.07	1151.06	1870.53	1378.57	1685.71	1369.04	1096.5	1519.15	1628.26	1832.01
EVI5L	368.65	309.83	329.84	341.51	256.78	312.0	301.33	414.87	234.57	297.17	320.8	285.03	256.78	269.6	151.22	193.01	143.01	301.33	262.2	223.41	144.01	193.01	217.27	169.07	285.03	232.94	255.0	224.97	221.86	217.27	237.86	172.65	236.21	165.57	260.38	224.97	262.2	260.38	283.05	251.48	229.72	208.38	285.03	271.48	258.57	260.38	241.19	215.77	260.38	244.57	236.21
EXOSC5	500.46	457.25	387.02	665.29	529.06	525.39	563.18	470.14	503.95	417.77	896.64	703.28	536.45	470.14	244.57	215.77	368.65	283.05	255.0	379.04	361.04	327.56	363.56	211.31	406.31	312.0	343.89	454.09	412.0	457.25	540.19	248.0	366.09	287.01	293.07	246.28	291.04	334.46	291.04	397.93	269.6	232.94	287.01	293.07	297.17	447.82	356.05	289.02	277.2	299.25	371.22
FDX1L	1143.1	1073.91	1259.69	2032.85	1286.18	1369.04	1963.57	1388.16	1088.92	1044.52	1583.71	1477.58	1295.13	1135.2	420.68	679.29	595.34	796.86	656.11	769.69	518.15	703.28	603.67	543.96	947.83	587.13	872.1	1051.79	909.17	860.08	1015.93	591.22	848.22	507.46	1008.9	708.18	802.41	1183.45	909.17	595.34	547.75	674.59	785.88	1250.98	728.11	947.83	595.34	633.73	884.29	848.22	848.22
FLOT1	4388.98	4298.64	3982.99	4937.99	5403.7	3716.2	6294.04	5479.15	5292.48	4512.4	7230.1	4481.23	4450.27	3768.09	4181.07	3325.99	3540.14	4152.18	3665.02	3794.3	2148.82	3081.75	4010.71	3419.52	3820.7	3081.75	3235.01	3467.27	4298.64	3794.3	3419.52	3467.27	3716.2	2835.7	4450.27	3257.52	3847.29	3820.7	4066.71	4123.49	4802.93	4210.15	3716.2	4512.4	3742.05	3955.48	4010.71	3060.45	3768.09	4268.94	4123.49
FOXS1	426.57	193.01	127.89	299.25	115.16	38.95	151.22	214.27	172.65	260.38	164.42	105.15	81.14	249.73	10.0	7.11	76.71	38.95	59.55	140.04	13.32	7.06	15.56	14.45	139.07	45.85	33.54	85.22	11.64	132.44	65.72	32.59	7.17	61.25	46.5	22.92	11.04	25.17	25.17	10.96	23.25	7.28	33.06	10.39	14.03	60.82	21.63	22.75	4.24	12.83	140.04
GADD45GIP1	3928.15	2777.33	3716.2	3982.99	2895.31	3982.99	3614.55	4066.71	4038.61	2537.92	4181.07	2451.44	3742.05	2573.36	808.0	1044.52	1250.98	1313.23	2090.03	2119.22	909.17	1388.16	1950.0	1572.76	2255.7	1963.57	2209.26	2061.24	2555.58	2075.59	2047.0	1359.57	3146.52	896.64	3540.14	988.12	1857.6	3212.66	2417.67	1883.54	1651.0	1304.15	1697.45	3665.02	1757.34	3303.0	1963.57	1378.57	1963.57	2287.2	2451.44
GAK	2502.97	1832.01	2367.9	2976.74	2104.58	2224.63	2287.2	2193.99	2351.53	1977.24	2664.15	2004.85	2351.53	1794.29	547.75	1023.0	1143.1	1199.98	1417.35	1081.39	934.76	830.75	1199.98	1268.46	1225.22	1183.45	1322.37	1427.22	1709.26	1151.06	1477.58	1216.75	1143.1	713.11	1883.54	1151.06	1127.35	1519.15	1397.83	1216.75	1059.11	1001.93	1322.37	1685.71	1304.15	1331.57	1295.13	1081.39	1233.75	1594.73	1268.46
GAMT	896.64	1340.84	1605.83	2004.85	1467.37	1477.58	1794.29	759.08	1127.35	1167.14	2004.85	1397.83	1685.71	1135.2	269.6	507.46	713.11	454.09	595.34	1044.52	444.72	665.29	483.38	620.67	981.29	764.36	688.78	1617.0	1135.2	819.3	1304.15	555.41	723.08	743.43	595.34	392.44	579.04	1008.9	540.19	603.67	353.59	366.09	470.14	941.27	575.03	928.3	633.73	525.39	551.56	934.76	1119.56
GPR137	1233.75	1313.23	1191.69	1617.0	1572.76	1250.98	1216.75	1250.98	764.36	1250.98	2193.99	1519.15	1417.35	1135.2	529.06	981.29	728.11	934.76	1059.11	1295.13	713.11	1286.18	967.76	674.59	1277.29	981.29	974.5	1340.84	1127.35	1388.16	1397.83	967.76	1081.39	1066.48	1242.34	1044.52	974.5	1447.15	1183.45	981.29	802.41	896.64	1175.27	1208.34	1044.52	1407.55	1023.0	1088.92	1127.35	1216.75	1322.37
GSDMD	2555.58	2417.67	2193.99	2400.97	2032.85	2645.74	2573.36	2720.15	1963.57	2335.28	2351.53	2163.77	1857.6	1685.71	1051.79	1250.98	1447.15	1208.34	1639.59	1378.57	813.63	1119.56	1277.29	1268.46	1909.85	1268.46	1477.58	1950.0	1844.76	2335.28	2090.03	1437.15	1304.15	1051.79	1977.24	1073.91	1167.14	1909.85	1561.89	1268.46	1081.39	1233.75	1350.18	2018.8	1059.11	1697.45	1519.15	1233.75	1467.37	2032.85	1909.85
GSK3A	1331.57	1388.16	1457.23	1594.73	1651.0	1397.83	1583.71	1519.15	1605.83	1551.09	2224.63	1313.23	1697.45	1388.16	934.76	1111.82	884.29	1304.15	1066.48	1457.23	981.29	1331.57	1051.79	1037.29	1350.18	1183.45	1175.27	1519.15	1369.04	1417.35	1540.37	1096.5	1135.2	1059.11	1175.27	1096.5	1277.29	1233.75	1259.69	1331.57	1369.04	1199.98	1081.39	1233.75	1216.75	1427.22	1135.2	1167.14	1143.1	1369.04	1369.04
GTF3C1	2895.31	3395.89	2287.2	5517.27	3168.41	1896.65	4066.71	2591.27	2627.46	2976.74	4181.07	3349.13	2976.74	2485.67	1369.04	1277.29	3081.75	2061.24	2434.5	1467.37	896.64	1073.91	1175.27	1709.26	2537.92	1457.23	2609.3	1819.35	1909.85	3018.3	2319.15	1233.75	1651.0	1477.58	3395.89	2451.44	1870.53	2384.37	2240.11	1651.0	1216.75	1378.57	1508.65	1977.24	1651.0	2367.9	1407.55	2835.7	2591.27	1709.26	2956.17
HDLBP	6337.83	6745.86	6121.9	9279.58	6983.79	5751.61	6337.83	6840.04	7032.37	6337.83	10154.69	6745.86	7280.4	5672.41	4239.45	5517.27	4607.24	4181.07	5329.3	4152.18	3614.55	4704.07	4575.41	4903.87	6561.36	4869.99	5954.47	6381.92	5594.3	7081.29	5441.3	5147.73	4481.23	3955.48	6337.83	5441.3	5441.3	7589.61	7537.18	4736.79	5006.93	6935.54	6164.49	7589.61	4836.35	5751.61	5366.37	5183.54	5791.62	6471.02	4239.45
INTS1	2133.97	1388.16	1313.23	2400.97	1832.01	1407.55	2178.83	1674.06	1447.15	1508.65	2163.77	1977.24	1498.22	1199.98	629.35	1001.93	1096.5	961.07	1159.07	1127.35	1088.92	1159.07	941.27	1304.15	1250.98	1051.79	1030.12	1498.22	1143.1	1143.1	1651.0	1111.82	1008.9	884.29	1304.15	1151.06	1127.35	1477.58	1073.91	1304.15	1167.14	909.17	1151.06	1639.59	1331.57	1331.57	1304.15	961.07	1286.18	1233.75	1331.57
KIAA2013	1806.78	1529.73	1781.89	2609.3	1295.13	1896.65	1923.14	1757.34	1561.89	1594.73	1427.22	1417.35	1508.65	1617.0	607.87	660.68	656.11	988.12	928.3	1268.46	616.37	759.08	902.89	660.68	1104.13	872.1	1066.48	1208.34	866.07	1096.5	1183.45	733.19	1104.13	830.75	1015.93	723.08	988.12	1088.92	890.44	866.07	860.08	808.0	743.43	1135.2	1081.39	1572.76	866.07	785.88	769.69	1059.11	1151.06
LEPRE1	674.59	500.46	460.44	693.58	567.1	656.11	595.34	651.58	629.35	497.0	665.29	860.08	457.25	417.77	289.02	329.84	514.56	285.03	327.56	258.57	318.57	241.19	256.78	299.25	267.73	271.48	435.55	423.61	303.44	358.54	373.81	403.5	281.09	198.47	363.56	353.59	314.17	361.04	444.72	301.33	204.07	307.69	320.8	316.37	264.03	320.8	289.02	293.07	389.72	406.31	414.87
MAP2K2	3794.3	3018.3	3039.3	3768.09	2367.9	3280.18	3372.43	3716.2	3235.01	2739.08	3716.2	2816.11	3303.0	3039.3	1508.65	1594.73	1757.34	1806.78	2119.22	2004.85	1277.29	1896.65	2018.8	1844.76	2468.49	1832.01	1977.24	3280.18	2875.3	2609.3	2537.92	1477.58	2090.03	1583.71	2537.92	2047.0	2004.85	2720.15	2104.58	2163.77	1923.14	1721.16	1950.0	3280.18	1950.0	2758.13	1685.71	1733.13	1977.24	2701.35	2664.15
MAP3K11	1819.35	1295.13	1561.89	1447.15	1159.07	1467.37	1498.22	1806.78	1119.56	1119.56	1769.57	1111.82	1277.29	1143.1	316.37	674.59	679.29	947.83	796.86	642.59	559.28	529.06	836.53	624.99	954.43	769.69	743.43	1023.0	988.12	1023.0	890.44	698.41	819.3	518.15	988.12	713.11	684.02	1030.12	674.59	878.17	718.08	808.0	583.07	995.0	660.68	1066.48	813.63	629.35	813.63	866.07	1008.9
