	GTEX.139TS.1926.SM.5IJFO	GTEX.ZPU1.1926.SM.57WDT	GTEX.R53T.1326.SM.48FCQ	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.UPIC.1726.SM.4IHKG	GTEX.WHWD.1226.SM.4OOS1	GTEX.ZVP2.1526.SM.5NQ82	GTEX.13FTW.1826.SM.5IJEN	GTEX.133LE.1526.SM.5IFEN	GTEX.13OW6.2126.SM.5N9GL	GTEX.XMK1.1726.SM.4B64Z	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.XV7Q.2126.SM.4BRVX	GTEX.12KS4.2426.SM.5LU8P	GTEX.PX3G.1426.SM.48U1J	GTEX.ZAB4.2226.SM.5HL97	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14E7W.1326.SM.5RQIV	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.131XH.0426.SM.5DUWU	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.13PVQ.2126.SM.5L3FW	GTEX.13S7M.1826.SM.5RQK6	GTEX.ZVT3.2126.SM.59HL2
CROT	368.65	256.78	500.46	212.78	228.13	583.07	571.05	665.29	529.06	896.64	387.02	457.25	151.22	368.65	253.23	460.44	183.82	0.0	0.24	75.11	24.28	66.65	113.56	38.67	57.08	102.25	72.52	110.43
CYB561A3	1709.26	1477.58	1936.53	1427.22	1268.46	1936.53	2075.59	1447.15	1806.78	1498.22	1104.13	1697.45	642.59	1487.87	1059.11	1407.55	896.64	0.0	0.53	679.29	325.29	500.46	638.15	376.41	166.73	432.53	400.71	483.38
DDAH1	1529.73	1268.46	1896.65	1199.98	708.18	1119.56	1477.58	1369.04	1388.16	1417.35	1397.83	1540.37	967.76	1757.34	1151.06	1191.69	819.3	265.87	260.38	1477.58	376.41	1059.11	299.25	743.43	660.68	607.87	575.03	708.18
DNAJA3	1277.29	961.07	1259.69	884.29	688.78	1008.9	1259.69	974.5	988.12	1059.11	1151.06	1151.06	808.0	1295.13	934.76	995.0	780.44	0.0	0.58	251.48	312.0	426.57	307.69	438.59	244.57	563.18	555.41	361.04
DNAJC28	28.65	53.19	37.32	42.41	32.59	41.52	44.25	57.08	43.63	59.97	19.39	46.5	17.51	53.19	8.13	50.63	24.11	0.0	0.0	4.06	3.29	10.79	8.78	21.78	13.03	15.11	22.1	29.7
DOHH	384.34	228.13	249.73	248.0	224.97	293.07	226.54	265.87	226.54	161.02	236.21	346.29	198.47	329.84	186.4	275.28	177.53	0.0	0.38	105.89	100.13	109.66	62.12	152.28	25.91	107.38	111.99	163.28
ERAL1	1081.39	902.89	1259.69	769.69	738.29	967.76	1208.34	1001.93	830.75	780.44	1167.14	1225.22	607.87	902.89	890.44	934.76	624.99	0.0	0.34	392.44	312.0	262.2	293.07	543.96	314.17	656.11	426.57	476.71
FAM58A	583.07	493.56	591.22	450.94	551.56	373.81	373.81	406.31	450.94	368.65	447.82	525.39	426.57	591.22	307.69	460.44	579.04	0.0	0.49	271.48	162.14	237.86	220.32	232.94	112.77	244.57	221.86	241.19
FAM86A	256.78	269.6	325.29	291.04	183.82	323.03	223.41	297.17	209.84	214.27	305.55	307.69	231.32	316.37	172.65	246.28	161.02	0.0	0.0	102.97	73.54	55.49	59.13	144.01	63.0	118.43	105.89	110.43
FARS2	325.29	316.37	318.57	258.57	287.01	389.72	273.37	299.25	295.11	249.73	325.29	429.54	182.55	480.04	293.07	318.57	212.78	0.0	0.16	167.9	112.77	108.9	285.03	187.71	138.1	258.57	208.38	185.11
FASTK	2351.53	1709.26	2209.26	1066.48	1909.85	2119.22	2319.15	1685.71	1923.14	1936.53	2018.8	1991.0	1104.13	2555.58	1721.16	1745.2	1870.53	0.0	0.74	543.96	305.55	684.02	414.87	954.43	426.57	967.76	1081.39	1268.46
GFER	1519.15	1467.37	1073.91	928.3	947.83	1909.85	1487.87	1447.15	2061.24	1477.58	961.07	1477.58	988.12	1199.98	866.07	1322.37	890.44	902.89	178.77	320.8	301.33	381.68	309.83	674.59	426.57	518.15	514.56	507.46
GFOD2	616.37	567.1	679.29	547.75	441.64	466.88	674.59	529.06	551.56	603.67	529.06	567.1	353.59	656.11	500.46	521.76	397.93	0.0	0.46	366.09	163.28	214.27	262.2	159.9	105.89	212.78	226.54	346.29
GIPC2	660.68	480.04	819.3	547.75	162.14	536.45	616.37	486.75	624.99	743.43	444.72	656.11	293.07	759.08	406.31	400.71	212.78	0.0	0.04	79.45	60.39	48.18	91.41	127.0	133.36	76.17	49.21	114.36
HARBI1	55.1	92.05	81.14	64.8	29.91	63.89	114.36	98.04	88.26	74.58	65.72	85.22	30.56	73.54	44.25	81.14	62.12	0.0	0.0	22.92	24.99	25.72	30.78	42.41	18.56	30.12	44.25	49.21
HARS	1208.34	1605.83	1208.34	1639.59	1268.46	1104.13	1001.93	1378.57	947.83	1359.57	1628.26	1104.13	1477.58	1073.91	1104.13	1127.35	1008.9	0.0	0.8	836.53	679.29	665.29	587.13	785.88	616.37	954.43	896.64	728.11
HDAC11	454.09	356.05	379.04	224.97	473.41	400.71	397.93	217.27	466.88	438.59	343.89	379.04	173.85	529.06	483.38	473.41	400.71	0.0	0.36	141.02	140.04	118.43	202.66	99.43	72.01	59.13	181.28	285.03
IGJ	654483.73	539026.74	453265.5	472513.8	636586.81	561916.97	602247.76	706337.4	506427.83	641014.63	509950.32	496005.67	565825.41	602247.76	506427.83	417089.23	414208.18	7803.01	9876.98	18431.96	2004.85	3540.14	28723.62	18689.27	23492.92	641014.63	453265.5	103551.29
IL17RE	1388.16	1030.12	1159.07	860.08	260.38	1819.35	1844.76	1378.57	1651.0	1617.0	718.08	1477.58	540.19	1015.93	743.43	1059.11	353.59	0.0	0.23	231.32	208.38	246.28	87.03	473.41	358.54	412.0	379.04	490.14
ISCA2	808.0	665.29	1008.9	567.1	384.34	647.07	775.05	708.18	866.07	842.36	647.07	764.36	470.14	1437.15	551.56	616.37	660.68	0.0	0.4	190.34	182.55	185.11	289.02	395.18	438.59	348.71	395.18	486.75
MAGEF1	703.28	547.75	728.11	417.77	647.07	555.41	595.34	612.11	497.0	559.28	688.78	529.06	318.57	884.29	642.59	802.41	791.35	0.0	0.84	206.94	181.28	447.82	244.57	327.56	208.38	397.93	470.14	392.44
MDN1	346.29	329.84	450.94	320.8	507.46	244.57	329.84	334.46	229.72	273.37	480.04	285.03	450.94	389.72	435.55	289.02	320.8	0.0	0.87	217.27	255.0	218.79	205.5	159.9	63.45	162.14	140.04	204.07
MECR	435.55	454.09	323.03	316.37	543.96	379.04	323.03	454.09	343.89	309.83	633.73	406.31	341.51	511.0	525.39	423.61	381.68	0.0	0.06	281.09	167.9	149.12	205.5	267.73	194.36	295.11	211.31	262.2
MED9	363.56	432.53	420.68	301.33	185.11	507.46	373.81	314.17	371.22	392.44	332.14	297.17	183.82	314.17	269.6	406.31	265.87	0.0	0.46	193.01	161.02	133.36	129.69	175.07	195.72	242.88	154.42	217.27
METTL13	587.13	490.14	665.29	483.38	361.04	575.03	629.35	518.15	540.19	507.46	483.38	651.58	339.14	587.13	457.25	518.15	361.04	0.0	0.0	169.07	220.32	234.57	170.25	223.41	113.56	232.94	126.12	186.4
MLYCD	361.04	323.03	414.87	221.86	198.47	332.14	403.5	353.59	336.79	351.14	242.88	363.56	198.47	444.72	316.37	339.14	211.31	0.0	0.0	69.52	79.45	77.25	124.37	151.22	78.34	128.79	157.68	124.37
MRM1	297.17	154.42	341.51	136.19	112.77	212.78	323.03	181.28	267.73	253.23	209.84	275.28	89.51	346.29	158.79	169.07	105.89	0.0	0.06	26.28	20.26	14.24	23.42	55.49	7.57	34.51	42.71	55.89
MRPL11	2758.13	1617.0	2895.31	1427.22	1883.54	1498.22	1781.89	1745.2	2061.24	1551.09	2555.58	2627.46	813.63	3419.52	1407.55	1583.71	1417.35	0.0	0.52	536.45	301.33	316.37	629.35	633.73	555.41	698.41	743.43	796.86
MRPL48	1437.15	1151.06	1651.0	1088.92	1216.75	1008.9	1242.34	1216.75	1167.14	1225.22	1167.14	1572.76	693.58	1540.37	1044.52	1242.34	878.17	0.0	0.25	341.51	218.79	269.6	463.65	860.08	665.29	511.0	547.75	808.0
MRPL49	1340.84	1304.15	1397.83	1066.48	759.08	1104.13	1295.13	1167.14	1096.5	1088.92	1066.48	1304.15	728.11	1208.34	884.29	1208.34	791.35	0.0	0.6	547.75	629.35	651.58	769.69	503.95	414.87	647.07	808.0	674.59
MRPS11	1617.0	1340.84	1769.57	1233.75	1225.22	1233.75	1369.04	1216.75	1457.23	1233.75	1277.29	1594.73	656.11	1709.26	848.22	1191.69	796.86	0.0	0.21	309.83	303.44	343.89	339.14	1111.82	521.76	842.36	759.08	902.89
MRPS26	1628.26	1051.79	1757.34	878.17	1096.5	1417.35	1066.48	902.89	872.1	743.43	1331.57	1030.12	660.68	2178.83	890.44	1183.45	764.36	0.0	0.67	194.36	183.82	299.25	287.01	466.88	163.28	371.22	450.94	480.04
MTHFSD	193.01	246.28	262.2	205.5	226.54	320.8	320.8	234.57	327.56	289.02	356.05	271.48	221.86	197.09	291.04	363.56	185.11	0.0	0.05	95.34	123.5	128.79	94.67	150.17	64.34	142.01	157.68	162.14
MVB12A	1883.54	1216.75	1561.89	1135.2	1508.65	1407.55	1519.15	1427.22	1369.04	1427.22	1427.22	1572.76	941.27	1963.57	1304.15	1259.69	1250.98	0.0	0.67	454.09	438.59	473.41	718.08	1066.48	688.78	1023.0	1008.9	1242.34
MVK	348.71	397.93	368.65	514.56	269.6	343.89	476.71	486.75	563.18	323.03	334.46	521.76	198.47	343.89	332.14	392.44	348.71	0.0	0.0	169.07	142.01	197.09	289.02	255.0	113.56	153.34	212.78	348.71
NDUFB10	7803.01	6121.9	4419.52	3768.09	5366.37	4543.8	5517.27	5831.91	7130.55	5594.3	4671.57	6294.04	2417.67	6337.83	3639.7	4736.79	3982.99	0.0	0.78	1304.15	1059.11	1037.29	2047.0	4450.27	3257.52	3443.31	3039.3	3419.52
NUDT16L1	1397.83	1111.82	1457.23	791.35	780.44	1151.06	1519.15	1081.39	1199.98	1081.39	934.76	1225.22	629.35	1437.15	759.08	981.29	738.29	0.0	0.18	190.34	172.65	220.32	291.04	633.73	283.05	387.02	403.5	476.71
NUDT6	316.37	165.57	318.57	144.01	198.47	237.86	305.55	143.01	260.38	376.41	293.07	301.33	64.34	470.14	264.03	275.28	265.87	0.0	0.07	29.48	33.54	36.01	44.25	43.63	22.75	80.57	23.42	82.29
NUDT9	775.05	551.56	1081.39	583.07	559.28	591.22	698.41	718.08	819.3	830.75	780.44	698.41	368.65	934.76	785.88	412.0	547.75	0.0	0.38	493.56	438.59	447.82	412.0	312.0	249.73	208.38	305.55	363.56
OSBP	638.15	785.88	813.63	723.08	420.68	764.36	836.53	713.11	836.53	769.69	536.45	813.63	547.75	674.59	575.03	669.92	429.54	0.0	0.62	318.57	543.96	325.29	400.71	429.54	351.14	457.25	444.72	518.15
PDSS2	384.34	316.37	397.93	312.0	244.57	327.56	379.04	309.83	376.41	429.54	379.04	417.77	155.5	336.79	303.44	269.6	264.03	287.01	96.68	145.02	124.37	139.07	165.57	218.79	211.31	251.48	154.42	176.29
PIGN	260.38	303.44	490.14	366.09	166.73	417.77	426.57	379.04	387.02	381.68	246.28	409.15	170.25	271.48	295.11	262.2	211.31	0.0	0.2	77.79	53.19	61.25	117.6	228.13	277.2	180.02	182.55	164.42
PIGU	896.64	551.56	872.1	507.46	599.49	743.43	890.44	764.36	854.13	703.28	738.29	941.27	392.44	921.88	536.45	633.73	454.09	0.0	0.37	267.73	142.01	211.31	205.5	318.57	260.38	334.46	265.87	329.84
PKDREJ	1.17	3.69	2.18	5.28	2.61	13.52	8.71	4.9	7.63	13.72	2.92	9.7	1.19	2.25	6.01	10.55	4.13	0.0	0.06	1.25	0.83	1.13	0.17	1.41	0.0	0.75	0.36	1.83
POP7	1044.52	616.37	723.08	693.58	595.34	785.88	698.41	764.36	928.3	669.92	830.75	896.64	470.14	1088.92	612.11	884.29	587.13	0.0	0.28	253.23	332.14	283.05	346.29	457.25	256.78	414.87	387.02	543.96
PPP1R7	1857.6	1498.22	1757.34	1561.89	1467.37	1437.15	1721.16	1594.73	1605.83	1583.71	1819.35	1781.89	934.76	1936.53	1457.23	1331.57	1651.0	1073.91	571.05	1350.18	1030.12	967.76	1259.69	1572.76	1277.29	1628.26	1015.93	1304.15
PPP1R8	603.67	633.73	854.13	647.07	463.65	633.73	575.03	583.07	642.59	551.56	698.41	775.05	543.96	457.25	555.41	836.53	507.46	0.0	0.0	323.03	277.2	281.09	316.37	334.46	275.28	336.79	356.05	392.44
PRADC1	1183.45	1295.13	1617.0	1001.93	1015.93	1023.0	1427.22	1167.14	1216.75	1088.92	988.12	1030.12	387.02	1923.14	551.56	1008.9	656.11	0.0	0.13	169.07	123.5	150.17	153.34	417.77	185.11	444.72	273.37	500.46
PRR5	802.41	571.05	647.07	547.75	748.61	796.86	591.22	665.29	759.08	603.67	708.18	813.63	660.68	738.29	674.59	567.1	559.28	0.0	0.67	113.56	147.06	181.28	163.28	206.94	124.37	314.17	267.73	444.72
REPIN1	4239.45	2555.58	3639.7	2335.28	2018.8	3212.66	4419.52	3103.19	3639.7	3639.7	2796.65	3742.05	1639.59	3768.09	2520.38	3564.78	1936.53	0.0	0.97	540.19	753.83	947.83	1096.5	1111.82	307.69	1331.57	860.08	995.0
RNF135	473.41	400.71	389.72	409.15	532.74	713.11	414.87	323.03	511.0	486.75	397.93	575.03	301.33	269.6	361.04	514.56	466.88	0.0	0.36	208.38	182.55	273.37	120.94	128.79	80.01	115.16	180.02	249.73
RPP25L	1259.69	909.17	1242.34	825.0	665.29	1135.2	1313.23	902.89	1277.29	1015.93	769.69	1191.69	518.15	1437.15	703.28	1096.5	547.75	0.0	0.0	165.57	201.25	167.9	202.66	262.2	197.09	265.87	279.14	346.29
SLC44A3	1477.58	967.76	1519.15	1313.23	575.03	1216.75	1662.49	1268.46	1225.22	1936.53	1008.9	1697.45	579.04	1529.73	733.19	967.76	500.46	187.71	161.02	251.48	78.89	395.18	237.86	412.0	297.17	251.48	197.09	429.54
SNX32	170.25	50.98	87.65	41.81	53.19	87.03	68.55	47.17	190.34	190.34	102.97	33.06	40.36	72.52	75.64	70.51	73.03	0.0	0.43	3.17	1.93	6.89	7.63	28.04	6.26	17.25	19.39	13.62
STARD10	17927.91	15934.98	20170.07	10659.59	4328.55	10512.82	18178.19	13492.72	13399.51	15607.02	11504.21	12764.83	5479.15	16157.44	8134.41	10440.2	5076.84	0.0	0.49	1870.53	2701.35	2555.58	3515.68	7749.1	4869.99	6037.61	6164.49	5831.91
STRBP	536.45	432.53	872.1	432.53	400.71	708.18	708.18	733.19	728.11	679.29	486.75	698.41	351.14	693.58	435.55	454.09	379.04	206.94	108.9	93.35	82.87	67.59	228.13	305.55	206.94	312.0	277.2	289.02
SWSAP1	88.26	81.71	96.68	72.52	61.68	100.83	105.89	100.83	96.01	87.03	74.58	92.7	57.08	80.57	71.5	74.58	70.51	0.0	0.0	18.97	16.15	46.84	24.63	27.64	11.82	36.79	31.22	45.21
TARBP2	836.53	514.56	733.19	447.82	647.07	708.18	647.07	629.35	555.41	480.04	723.08	738.29	483.38	616.37	624.99	647.07	587.13	0.0	0.0	176.29	217.27	241.19	309.83	285.03	136.19	221.86	289.02	316.37
TDP1	267.73	164.42	291.04	131.51	178.77	285.03	287.01	199.85	195.72	236.21	234.57	293.07	215.77	262.2	262.2	246.28	195.72	0.0	0.46	141.02	167.9	167.9	103.69	96.68	63.45	162.14	147.06	105.15
TXNL4B	239.52	139.07	241.19	190.34	111.21	211.31	265.87	226.54	138.1	232.94	206.94	201.25	154.42	232.94	226.54	201.25	120.1	149.12	164.42	77.25	94.01	114.36	127.0	88.88	75.11	98.04	158.79	197.09
UNG	1250.98	981.29	1572.76	819.3	616.37	934.76	1259.69	1023.0	1001.93	1044.52	1088.92	1277.29	511.0	1498.22	854.13	981.29	571.05	0.0	0.46	153.34	147.06	244.57	127.89	346.29	281.09	450.94	346.29	299.25
UTP14A	297.17	373.81	412.0	536.45	149.12	202.66	205.5	289.02	161.02	181.28	318.57	329.84	483.38	262.2	289.02	232.94	178.77	0.0	0.03	140.04	147.06	84.04	128.79	194.36	77.79	150.17	145.02	133.36
VANGL1	112.77	277.2	220.32	175.07	159.9	92.7	166.73	136.19	130.6	131.51	137.14	140.04	102.97	76.71	103.69	199.85	123.5	0.0	0.0	43.32	23.93	39.22	45.53	66.65	73.54	68.55	57.49	103.69
WBSCR16	860.08	791.35	738.29	595.34	738.29	703.28	703.28	693.58	708.18	514.56	753.83	878.17	466.88	748.61	785.88	825.0	656.11	0.0	0.41	435.55	249.73	307.69	289.02	260.38	150.17	361.04	299.25	348.71
ZFPL1	1313.23	1119.56	995.0	934.76	1073.91	1295.13	1519.15	961.07	1369.04	1104.13	1044.52	1088.92	743.43	1151.06	1225.22	1216.75	981.29	0.0	0.56	454.09	808.0	723.08	665.29	748.61	603.67	921.88	551.56	941.27
hsa-mir-1199	1030.12	647.07	684.02	529.06	289.02	612.11	967.76	633.73	780.44	974.5	521.76	764.36	320.8	1066.48	414.87	624.99	384.34	0.0	0.39	161.02	212.78	325.29	154.42	397.93	253.23	420.68	218.79	361.04
