	TCGA.XF.AAN8.01A.11R.A42T.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.XF.AAMJ.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.HN.A2OB.01A.21R.A27Q.07	TCGA.C8.A8HR.01A.11R.A36F.07	TCGA.BH.A0AZ.01A.21R.A12P.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.AC.A3W7.01A.11R.A22K.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.AC.A3W6.01A.12R.A22K.07	TCGA.E2.A1IO.01A.11R.A144.07	TCGA.AN.A0FD.01A.11R.A034.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.AC.A8OS.01A.12R.A41B.07	TCGA.LL.A440.01A.11R.A24H.07	TCGA.AN.A03X.01A.21R.A00Z.07	TCGA.AO.A0J5.01A.11R.A034.07	TCGA.AC.A23G.01A.11R.A213.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.BH.A0DV.01A.21R.A12P.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.AQ.A7U7.01A.22R.A352.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.AO.A0JA.01A.11R.A056.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.BH.A6R9.01A.21R.A32P.07	TCGA.E9.A22E.01A.11R.A157.07	TCGA.LD.A74U.01A.13R.A33J.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A0DI.01A.21R.A12P.07	TCGA.BH.A0H7.01A.13R.A056.07	TCGA.A8.A07G.01A.11R.A034.07	TCGA.AN.A0FN.01A.11R.A034.07	GTEX.T5JW.2026.SM.4DM63	GTEX.TML8.0726.SM.4DXTT	TCGA.A6.6781.01A.22R.1928.07	TCGA.AD.6901.01A.11R.1928.07	TCGA.WS.AB45.01A.11R.A41B.07	TCGA.A6.A566.01A.11R.A28H.07	TCGA.D5.6534.01A.21R.1928.07	TCGA.AY.6196.01A.11R.1723.07	TCGA.F4.6703.01A.11R.1839.07	TCGA.AZ.6607.01A.11R.1839.07	TCGA.F4.6855.01A.11R.1928.07	TCGA.L5.A4OO.01A.11R.A260.31	TCGA.CV.7435.01A.11R.2132.07	TCGA.CN.6016.01A.11R.1686.07	TCGA.CR.6474.01A.11R.1873.07	TCGA.CR.5247.01A.01R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.CR.7376.01A.11R.2132.07	TCGA.CQ.6224.01A.11R.1915.07	TCGA.QK.A8Z9.01B.11R.A39I.07	TCGA.CQ.6221.01A.11R.2081.07	TCGA.IQ.A61O.01A.11R.A30B.07	TCGA.HD.7831.01A.11R.2132.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.CR.7386.01A.11R.2016.07	TCGA.CR.7397.01A.11R.2016.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.44.6774.01A.21R.1858.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.50.8459.01A.11R.2326.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.F5.6702.01A.11R.1830.07	TCGA.BR.A4IZ.01A.32R.A251.31	TCGA.VQ.A91A.01A.11R.A414.31	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.ET.A3BV.01A.11R.A19O.07	GTEX.12WSB.0726.SM.5N9GD	TCGA.NA.A4R0.01A.11R.A28V.07
ANKRD13D	583.07	954.43	1359.57	470.14	825.0	1096.5	543.96	547.75	1870.53	447.82	1417.35	651.58	723.08	723.08	1950.0	1519.15	212.78	525.39	567.1	353.59	432.53	336.79	309.83	1268.46	915.51	642.59	872.1	813.63	493.56	1286.18	1225.22	599.49	412.0	607.87	318.57	397.93	703.28	651.58	647.07	1167.14	1286.18	872.1	1143.1	1127.35	1674.06	954.43	791.35	674.59	2997.45	320.8	450.94	507.46	414.87	511.0	603.67	384.34	1242.34	583.07	909.17	595.34	493.56	1051.79	656.11	493.56	387.02	1709.26	1030.12	1781.89	1322.37	2468.49	1487.87	1199.98	620.67	1051.79	1529.73	2573.36	866.07	679.29	1096.5	961.07	915.51	1143.1	1001.93
ANKRD36	65.26	79.45	113.56	62.56	172.65	202.66	53.57	64.8	185.11	91.41	123.5	111.21	100.83	94.67	241.19	193.01	96.68	105.89	76.71	61.68	34.75	32.13	62.12	234.57	76.17	85.22	55.1	105.89	81.14	121.79	119.26	68.55	100.83	53.57	51.71	67.59	97.36	159.9	117.6	155.5	299.25	119.26	215.77	153.34	273.37	139.07	194.36	195.72	327.56	34.75	32.13	31.22	34.02	12.09	44.25	27.25	87.65	30.34	81.71	44.25	29.91	49.56	64.8	36.53	36.01	299.25	119.26	307.69	153.34	287.01	260.38	195.72	99.43	142.01	163.28	117.6	155.5	147.06	217.27	220.32	66.65	172.65	134.3
ANKZF1	271.48	473.41	638.15	202.66	579.04	830.75	358.54	435.55	1081.39	275.28	759.08	536.45	406.31	447.82	1001.93	819.3	269.6	463.65	329.84	256.78	255.0	323.03	307.69	1199.98	381.68	392.44	470.14	432.53	318.57	961.07	559.28	579.04	397.93	381.68	244.57	256.78	334.46	480.04	356.05	1350.18	2816.11	713.11	1350.18	1030.12	1977.24	825.0	718.08	1617.0	2004.85	269.6	423.61	242.88	521.76	297.17	283.05	297.17	1088.92	271.48	660.68	457.25	395.18	303.44	289.02	343.89	409.15	2664.15	503.95	1295.13	995.0	1806.78	1745.2	836.53	575.03	1175.27	1199.98	915.51	974.5	423.61	1030.12	791.35	651.58	1605.83	848.22
AP001468.1	5.54	5.68	4.82	2.71	28.65	15.91	22.26	8.06	26.1	8.0	9.48	21.78	0.0	12.74	26.67	37.85	2.73	43.63	0.0	19.11	0.0	11.13	0.0	34.26	7.0	8.06	11.73	7.22	10.08	32.36	14.56	13.83	19.25	5.28	4.54	24.81	8.06	19.53	1.83	14.24	51.35	40.93	126.12	53.95	29.27	16.88	0.0	43.02	84.63	2.51	2.78	0.0	0.0	2.2	0.0	6.62	13.52	6.36	3.96	0.0	6.78	5.63	20.26	3.38	8.25	48.87	7.51	74.58	24.81	25.91	115.97	73.54	33.78	67.59	32.82	19.25	15.0	12.36	147.06	185.11	6.89	38.4	20.71
AP003068.6	6.67	13.32	14.24	1.79	16.03	21.78	11.82	9.06	29.48	9.56	20.86	11.73	6.84	9.27	31.22	24.81	6.94	4.17	5.73	6.84	7.4	2.63	4.24	25.54	7.51	5.5	14.45	15.56	7.63	24.81	23.93	17.13	9.06	6.62	2.81	7.69	10.24	9.06	7.82	23.25	28.65	10.39	30.12	22.1	42.41	16.15	16.88	21.32	53.19	3.06	5.96	6.41	7.57	1.89	3.69	5.87	19.53	7.06	20.11	6.94	6.52	8.65	10.55	3.96	6.84	59.55	17.0	37.05	23.08	43.32	26.67	28.24	15.34	27.64	29.06	11.91	24.28	13.72	29.7	17.9	12.74	24.11	24.99
APBB3	291.04	231.32	267.73	120.94	529.06	490.14	242.88	231.32	830.75	112.77	684.02	241.19	154.42	149.12	884.29	796.86	107.38	170.25	239.52	121.79	134.3	129.69	155.5	934.76	217.27	199.85	371.22	336.79	271.48	616.37	579.04	387.02	287.01	265.87	166.73	189.02	314.17	316.37	486.75	435.55	591.22	460.44	616.37	511.0	791.35	376.41	226.54	447.82	1088.92	62.56	162.14	49.56	30.78	81.14	152.28	134.3	356.05	132.44	262.2	172.65	89.51	275.28	175.07	124.37	97.36	1628.26	201.25	836.53	497.0	555.41	579.04	1127.35	234.57	400.71	642.59	287.01	277.2	334.46	547.75	642.59	698.41	1304.15	629.35
ARHGAP4	1322.37	215.77	651.58	309.83	483.38	1498.22	267.73	409.15	624.99	150.17	1340.84	460.44	167.9	336.79	854.13	1378.57	198.47	392.44	567.1	193.01	212.78	316.37	483.38	1769.57	500.46	221.86	299.25	723.08	221.86	872.1	1008.9	563.18	353.59	381.68	242.88	100.83	329.84	718.08	669.92	599.49	1909.85	791.35	915.51	1407.55	1991.0	1159.07	884.29	283.05	961.07	256.78	432.53	156.59	532.74	312.0	633.73	262.2	384.34	289.02	651.58	231.32	161.02	759.08	500.46	320.8	231.32	1639.59	808.0	3039.3	1857.6	3515.68	1322.37	1819.35	567.1	753.83	2271.4	679.29	295.11	693.58	1427.22	748.61	503.95	1350.18	1175.27
ARPC4-TTLL3	366.09	356.05	356.05	199.85	215.77	316.37	226.54	128.79	305.55	208.38	226.54	264.03	101.54	275.28	346.29	483.38	46.84	149.12	234.57	180.02	113.56	105.89	82.29	503.95	343.89	195.72	208.38	258.57	167.9	312.0	209.84	173.85	271.48	127.89	199.85	170.25	169.07	199.85	242.88	201.25	441.64	251.48	221.86	312.0	361.04	251.48	305.55	279.14	303.44	108.14	104.42	94.67	71.5	106.63	93.35	70.51	180.02	84.63	295.11	108.9	39.79	159.9	182.55	45.21	110.43	395.18	162.14	312.0	339.14	332.14	236.21	444.72	183.82	165.57	273.37	190.34	229.72	305.55	183.82	271.48	248.0	384.34	267.73
ASPDH	1.57	0.0	5.11	0.0	2.34	10.88	6.57	9.2	8.78	1.89	3.69	9.93	0.0	0.79	18.16	19.11	0.0	3.56	1.28	1.35	0.0	0.44	0.0	21.01	2.43	1.51	0.0	7.06	0.0	5.63	5.59	2.14	8.38	0.83	0.0	2.76	0.0	8.58	0.0	0.0	17.77	3.08	9.13	9.93	4.35	5.5	12.45	15.91	4.31	1.89	2.12	0.0	15.68	0.0	1.55	0.0	4.43	2.48	2.66	0.0	0.0	2.84	2.41	0.0	2.25	73.03	0.0	22.92	27.25	19.53	2.92	13.22	2.61	11.82	16.27	6.89	16.51	7.46	8.99	15.34	4.21	38.95	4.7
ATAT1	156.59	371.22	307.69	95.34	379.04	351.14	206.94	295.11	400.71	231.32	395.18	143.01	183.82	271.48	366.09	283.05	177.53	187.71	166.73	147.06	146.03	198.47	209.84	551.56	287.01	262.2	307.69	237.86	147.06	420.68	334.46	180.02	171.45	299.25	125.24	152.28	229.72	454.09	376.41	264.03	733.19	303.44	332.14	217.27	435.55	228.13	152.28	406.31	490.14	149.12	124.37	82.29	96.01	58.71	106.63	141.02	299.25	217.27	314.17	197.09	90.77	148.09	137.14	73.54	118.43	325.29	251.48	312.0	269.6	420.68	813.63	366.09	215.77	248.0	334.46	201.25	318.57	343.89	312.0	371.22	307.69	269.6	583.07
ATG16L2	669.92	403.5	738.29	100.83	426.57	514.56	193.01	197.09	954.43	177.53	638.15	356.05	170.25	237.86	974.5	1143.1	223.41	157.68	239.52	109.66	91.41	166.73	64.8	995.0	363.56	181.28	255.0	314.17	248.0	836.53	563.18	343.89	239.52	217.27	193.01	120.1	334.46	334.46	336.79	470.14	633.73	836.53	921.88	579.04	1037.29	493.56	253.23	438.59	802.41	151.22	146.03	72.52	155.5	113.56	131.51	51.71	412.0	63.0	193.01	88.26	110.43	351.14	208.38	85.22	121.79	1733.13	281.09	1066.48	693.58	1143.1	854.13	1508.65	242.88	651.58	909.17	412.0	217.27	271.48	529.06	928.3	293.07	1081.39	432.53
ATG4B	848.22	1023.0	1417.35	571.05	974.5	1277.29	825.0	915.51	1685.71	1001.93	1467.37	1008.9	1167.14	1111.82	1909.85	1447.15	748.61	1081.39	796.86	579.04	743.43	780.44	854.13	1487.87	981.29	1015.93	1066.48	967.76	902.89	1639.59	934.76	660.68	769.69	1242.34	1508.65	748.61	988.12	1175.27	854.13	1159.07	1923.14	1175.27	1359.57	1857.6	1594.73	1250.98	1037.29	1259.69	2271.4	1167.14	1066.48	713.11	1277.29	674.59	759.08	1175.27	1540.37	1135.2	934.76	1001.93	1135.2	1037.29	915.51	603.67	878.17	1208.34	995.0	1437.15	1295.13	2400.97	2255.7	1844.76	915.51	1378.57	1143.1	1044.52	1519.15	842.36	1268.46	1617.0	1183.45	1857.6	2520.38
ATHL1	579.04	915.51	728.11	53.57	389.72	2627.46	134.3	229.72	1498.22	69.52	1407.55	1540.37	1127.35	316.37	525.39	1216.75	131.51	638.15	583.07	143.01	98.04	444.72	279.14	7382.04	194.36	178.77	256.78	312.0	117.6	665.29	567.1	148.09	316.37	110.43	237.86	56.28	595.34	1088.92	1030.12	813.63	3349.13	718.08	2664.15	571.05	1709.26	713.11	567.1	1551.09	2609.3	77.79	119.26	134.3	102.97	105.15	109.66	76.17	543.96	94.67	480.04	161.02	141.02	307.69	214.27	82.87	166.73	30361.44	607.87	13123.73	995.0	7537.18	3257.52	1896.65	283.05	713.11	1268.46	836.53	540.19	287.01	1733.13	748.61	332.14	2148.82	1697.45
BRICD5	93.35	118.43	185.11	12.09	71.0	205.5	33.78	83.45	217.27	27.25	271.48	84.04	27.25	60.82	182.55	246.28	27.84	37.85	40.64	18.29	20.11	13.42	16.75	285.03	90.77	29.06	92.7	98.04	74.06	120.94	176.29	80.57	33.3	64.34	12.36	13.12	43.94	111.21	51.71	100.13	358.54	123.5	336.79	183.82	327.56	118.43	131.51	224.97	624.99	40.93	15.11	15.34	3.14	1.51	9.41	9.56	42.11	20.56	85.82	39.22	6.41	47.84	56.28	24.46	36.79	255.0	25.91	507.46	186.4	457.25	429.54	267.73	66.65	100.13	281.09	96.01	115.97	32.36	133.36	148.09	159.9	180.02	273.37
C19orf66	796.86	723.08	1208.34	368.65	665.29	1159.07	563.18	642.59	780.44	438.59	954.43	551.56	693.58	728.11	796.86	878.17	423.61	420.68	698.41	417.77	559.28	497.0	320.8	2061.24	540.19	420.68	587.13	1277.29	718.08	902.89	836.53	718.08	559.28	555.41	420.68	400.71	698.41	486.75	651.58	813.63	1350.18	713.11	988.12	1030.12	981.29	1096.5	928.3	547.75	1651.0	703.28	1745.2	414.87	303.44	368.65	703.28	656.11	1250.98	583.07	785.88	460.44	813.63	718.08	579.04	921.88	463.65	1605.83	511.0	1199.98	1225.22	1359.57	1378.57	1037.29	718.08	718.08	941.27	684.02	884.29	954.43	559.28	547.75	1081.39	1350.18	733.19
C1orf63	1286.18	620.67	1073.91	255.0	1175.27	1794.29	511.0	567.1	2255.7	603.67	1457.23	1001.93	366.09	769.69	2193.99	2193.99	237.86	599.49	244.57	281.09	273.37	486.75	273.37	2163.77	713.11	301.33	866.07	1119.56	748.61	1896.65	1268.46	934.76	503.95	551.56	183.82	463.65	785.88	1104.13	1369.04	836.53	3443.31	1159.07	2047.0	1832.01	2555.58	1583.71	688.78	1781.89	2915.45	164.42	218.79	277.2	403.5	147.06	202.66	251.48	860.08	181.28	1135.2	371.22	281.09	466.88	1104.13	713.11	269.6	3018.3	693.58	3081.75	2047.0	3168.41	3395.89	3280.18	961.07	1733.13	2796.65	1081.39	2163.77	1001.93	1151.06	1605.83	2303.12	3372.43	1745.2
CALML6	4.7	3.47	29.27	0.0	16.03	41.81	7.69	5.96	55.89	0.0	25.17	7.94	4.54	5.15	59.97	52.45	2.2	3.41	17.0	5.54	1.22	5.5	0.0	52.45	3.5	1.33	25.35	5.28	3.53	34.02	16.63	10.79	8.65	5.87	1.31	3.38	11.13	16.88	12.64	6.41	20.71	12.74	22.92	7.11	33.3	5.32	0.0	3.5	24.81	0.0	3.06	1.27	0.0	0.0	0.49	0.88	15.8	2.51	3.11	0.0	1.83	2.43	2.05	0.96	0.0	19.68	1.95	18.03	6.67	37.59	35.0	20.56	9.27	17.25	22.1	20.26	4.35	13.22	13.12	13.52	0.0	11.64	27.05
CAPN10	217.27	366.09	511.0	133.36	460.44	400.71	155.5	140.04	674.59	141.02	633.73	299.25	165.57	204.07	483.38	507.46	81.14	150.17	172.65	83.45	96.01	122.64	107.38	551.56	237.86	171.45	218.79	312.0	133.36	493.56	299.25	105.89	182.55	185.11	186.4	98.73	154.42	343.89	260.38	599.49	1313.23	373.81	660.68	759.08	629.35	429.54	529.06	660.68	1001.93	148.09	198.47	139.07	201.25	82.29	172.65	224.97	476.71	260.38	217.27	162.14	130.6	339.14	229.72	88.26	162.14	547.75	406.31	728.11	555.41	1081.39	743.43	555.41	248.0	403.5	595.34	273.37	547.75	341.51	514.56	500.46	457.25	525.39	1111.82
