	TCGA.BA.5557.01A.01R.1514.07	TCGA.KM.8639.01A.11R.2403.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8424.01A.11R.2315.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.P4.A5E8.01A.11R.A28H.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.HE.A5NJ.01A.11R.A26U.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.A4.8311.01A.11R.2404.07	TCGA.GL.A59R.01A.11R.A26U.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.DW.7842.01A.11R.A32Z.07	TCGA.BQ.5894.01A.11R.1592.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.5P.A9KC.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4113.01A.01R.1193.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.UZ.A9PS.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DD.AAEI.01A.11R.A41C.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZTPG.1426.SM.51MT3	TCGA.38.4625.01A.01R.1206.07	TCGA.05.5428.01A.01R.1628.07	TCGA.35.4122.01A.01R.1107.07	TCGA.33.4589.01A.01R.1443.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.3411.01A.01R.0980.07	TCGA.37.4133.01A.01R.1100.07.1
DENND3	249.73	234.57	194.36	201.25	71.0	329.84	599.49	718.08	37.32	684.02	536.45	239.52	842.36	813.63	327.56	974.5	791.35	693.58	547.75	961.07	486.75	466.88	1081.39	392.44	591.22	309.83	647.07	547.75	343.89	525.39	497.0	273.37	651.58	295.11	1199.98	1037.29	289.02	921.88	1001.93	571.05	381.68	303.44	599.49	251.48	417.77	54.33	64.8	19.53	303.44	0.0	170.25	135.24	140.04	143.01	191.67	143.01
DNAH7	3.38	38.67	2.32	1.89	3.44	74.06	109.66	88.26	1.99	190.34	51.35	89.51	159.9	224.97	24.28	155.5	105.15	111.21	155.5	158.79	69.52	81.14	212.78	38.12	119.26	47.5	80.57	116.78	75.11	76.17	111.21	65.72	109.66	39.79	100.13	195.72	79.45	149.12	181.28	94.67	74.58	40.64	95.34	43.02	33.78	0.0	0.01	1.2	13.62	0.0	13.62	36.53	4.62	2.76	1.62	2.76
DNAI1	0.0	5.41	0.96	0.79	12.45	35.25	56.68	134.3	2.81	154.42	10.24	70.01	67.59	100.83	31.22	291.04	75.11	27.44	68.07	53.95	66.18	26.28	102.25	21.63	135.24	17.38	53.95	88.26	49.91	40.36	98.04	13.42	78.34	54.33	50.98	120.94	52.45	138.1	110.43	73.54	38.12	80.57	34.26	43.63	29.06	2.07	4.82	1.73	3.23	0.0	3.99	2.53	0.0	2.48	0.16	2.48
FAM227A	0.69	11.91	3.23	8.19	2.29	14.56	55.49	51.35	0.0	38.12	31.67	26.28	46.5	82.87	6.57	63.0	30.12	33.54	25.17	52.82	9.7	18.97	51.71	12.18	33.54	9.78	35.25	37.85	23.76	23.93	49.91	7.34	35.5	12.93	36.53	47.5	16.63	42.41	162.14	52.82	13.52	24.99	30.56	16.63	12.93	0.71	0.0	0.91	3.26	0.0	5.87	1.39	0.55	8.92	2.66	8.92
FBXL2	63.89	376.41	93.35	400.71	189.02	470.14	371.22	616.37	111.99	262.2	260.38	273.37	371.22	423.61	132.44	713.11	379.04	273.37	277.2	384.34	529.06	273.37	379.04	144.01	435.55	209.84	490.14	406.31	379.04	493.56	426.57	397.93	283.05	232.94	403.5	420.68	275.28	423.61	620.67	660.68	414.87	208.38	255.0	429.54	239.52	4.46	0.16	1.28	76.17	0.0	114.36	118.43	58.3	51.35	32.82	51.35
FGF2	8.58	112.77	9.7	28.86	23.08	195.72	80.57	85.22	11.82	175.07	185.11	3.96	267.73	128.79	7.4	309.83	242.88	38.4	74.58	151.22	91.41	106.63	132.44	12.55	191.67	10.24	356.05	131.51	64.34	158.79	199.85	75.64	141.02	5.82	178.77	182.55	77.79	255.0	249.73	164.42	105.15	119.26	187.71	68.55	89.51	1.97	1.16	15.45	15.22	0.0	3.86	81.14	4.78	9.48	64.8	9.48
GOLGA6L4	2.97	21.63	35.5	45.53	22.26	8.0	83.45	97.36	4.06	36.01	32.36	36.53	75.11	142.01	7.11	161.02	50.98	22.43	63.0	103.69	13.62	35.76	122.64	16.27	46.5	18.03	54.33	37.05	22.75	37.59	117.6	28.04	42.41	15.0	157.68	224.97	43.32	177.53	172.65	136.19	30.12	30.78	37.32	12.0	23.59	11.38	4.66	9.27	8.0	0.0	5.68	1.31	2.23	7.51	7.94	7.51
GPR173	10.31	4.74	4.58	5.28	1.19	40.93	53.95	151.22	0.83	171.45	105.15	2.76	69.52	283.05	4.54	157.68	109.66	23.42	56.28	68.07	21.32	33.54	120.1	7.82	67.12	7.63	63.45	29.91	83.45	218.79	87.65	60.82	144.01	1.81	169.07	171.45	21.16	118.43	441.64	90.14	27.05	23.76	85.22	87.03	59.97	0.0	0.59	0.4	8.71	0.0	9.34	11.21	1.1	7.22	12.18	7.22
IFT81	45.85	191.67	63.89	69.52	60.82	173.85	234.57	241.19	15.68	307.69	182.55	198.47	325.29	397.93	176.29	384.34	371.22	251.48	265.87	329.84	175.07	162.14	332.14	214.27	267.73	217.27	237.86	536.45	229.72	256.78	432.53	155.5	241.19	206.94	289.02	343.89	217.27	476.71	525.39	323.03	156.59	170.25	244.57	116.78	137.14	57.08	43.32	34.26	97.36	0.0	144.01	131.51	58.3	89.51	94.67	89.51
INTS3	220.32	507.46	281.09	332.14	318.57	620.67	884.29	1350.18	71.5	1407.55	1359.57	656.11	1151.06	1870.53	325.29	1832.01	1350.18	791.35	1111.82	1030.12	638.15	769.69	1127.35	339.14	915.51	420.68	941.27	860.08	974.5	1199.98	947.83	669.92	1151.06	703.28	1081.39	1407.55	587.13	1286.18	2468.49	974.5	476.71	629.35	1001.93	567.1	599.49	336.79	172.65	215.77	454.09	532.74	291.04	275.28	143.01	371.22	532.74	371.22
KANSL1L	29.27	267.73	198.47	140.04	183.82	379.04	896.64	514.56	62.56	429.54	470.14	281.09	860.08	723.08	361.04	866.07	543.96	279.14	769.69	1127.35	575.03	191.67	981.29	271.48	665.29	343.89	463.65	1001.93	738.29	624.99	603.67	156.59	493.56	423.61	753.83	775.05	420.68	1001.93	915.51	665.29	260.38	336.79	480.04	183.82	289.02	55.89	39.5	55.49	105.15	68.55	169.07	101.54	46.5	96.01	112.77	96.01
KCTD12	299.25	256.78	269.6	819.3	514.56	567.1	1378.57	1277.29	271.48	1208.34	316.37	136.19	3018.3	5329.3	447.82	1127.35	2351.53	656.11	620.67	2335.28	842.36	279.14	2209.26	684.02	1639.59	301.33	860.08	915.51	813.63	432.53	1806.78	297.17	1340.84	934.76	332.14	981.29	1378.57	2400.97	1583.71	454.09	1015.93	1697.45	764.36	242.88	303.44	68.07	325.29	97.36	211.31	242.88	309.83	387.02	194.36	158.79	253.23	158.79
KIAA0753	44.89	81.71	92.05	66.65	36.79	175.07	239.52	258.57	7.51	214.27	189.02	180.02	429.54	309.83	169.07	426.57	312.0	195.72	260.38	273.37	153.34	153.34	366.09	176.29	351.14	71.5	260.38	287.01	281.09	231.32	353.59	141.02	403.5	102.25	384.34	389.72	114.36	371.22	507.46	312.0	153.34	131.51	193.01	92.05	117.6	32.13	25.72	20.11	102.25	0.0	100.13	74.58	37.59	79.45	68.07	79.45
KIAA1009	24.28	96.68	53.95	30.34	40.36	86.43	125.24	128.79	7.46	155.5	57.49	100.13	180.02	316.37	60.39	218.79	151.22	101.54	137.14	149.12	110.43	75.64	159.9	98.04	137.14	88.88	152.28	158.79	120.1	135.24	135.24	48.52	155.5	76.17	193.01	195.72	142.01	229.72	295.11	156.59	34.02	155.5	113.56	45.85	76.71	28.04	24.28	18.7	45.53	0.0	23.59	14.03	6.94	75.11	27.05	75.11
KIAA1407	20.11	94.67	59.13	21.94	29.06	167.9	132.44	275.28	17.25	170.25	98.73	109.66	255.0	438.59	51.71	651.58	185.11	185.11	312.0	221.86	141.02	107.38	316.37	60.39	205.5	76.71	269.6	303.44	132.44	130.6	223.41	61.68	279.14	146.03	273.37	325.29	149.12	285.03	348.71	327.56	198.47	145.02	130.6	78.89	70.51	10.16	4.31	6.16	13.12	0.0	27.05	12.18	13.42	78.89	10.39	78.89
LRRIQ1	0.0	18.43	0.92	1.85	6.31	57.08	50.27	75.64	0.0	109.66	37.85	27.25	102.97	193.01	21.16	109.66	94.67	51.35	107.38	71.5	91.41	19.68	132.44	19.25	69.03	23.93	75.11	186.4	70.51	64.34	140.04	31.45	102.97	48.87	73.54	107.38	31.67	226.54	167.9	77.79	25.72	36.27	59.97	10.08	4.5	0.0	0.0	0.21	0.21	0.0	3.96	10.71	4.54	6.89	6.62	6.89
MAATS1	2.27	43.32	4.17	12.36	22.26	151.22	145.02	260.38	3.99	215.77	55.49	159.9	237.86	409.15	127.89	392.44	115.16	114.36	195.72	171.45	109.66	67.59	318.57	86.43	125.24	88.26	197.09	341.51	88.88	84.63	177.53	67.59	255.0	87.03	358.54	281.09	95.34	295.11	483.38	215.77	157.68	129.69	113.56	66.65	57.08	23.08	37.32	3.38	5.68	0.0	5.63	15.34	1.08	5.96	3.2	5.96
MAMLD1	74.58	57.49	14.14	31.0	36.27	108.9	87.65	77.25	2.41	343.89	102.25	77.79	229.72	267.73	75.11	212.78	140.04	60.82	191.67	155.5	86.43	84.63	271.48	64.8	193.01	41.22	153.34	85.82	75.64	73.03	112.77	40.64	202.66	26.67	215.77	236.21	18.56	181.28	532.74	73.54	149.12	24.46	226.54	43.63	47.5	14.89	33.78	13.22	87.65	14.56	10.88	33.54	15.45	8.45	23.93	8.45
MDH1B	0.56	73.03	13.12	8.58	18.03	71.0	136.19	229.72	14.03	130.6	120.94	56.28	151.22	195.72	33.78	242.88	129.69	64.34	72.52	103.69	66.18	40.36	123.5	31.0	118.43	67.12	103.69	159.9	114.36	68.07	119.26	16.75	89.51	73.03	72.01	124.37	154.42	205.5	153.34	229.72	53.57	83.45	61.68	85.82	41.52	0.0	5.73	5.54	1.13	0.0	22.1	21.78	5.87	33.54	27.05	33.54
MSH5-SAPCD1	4.24	583.07	66.65	33.78	66.65	100.13	205.5	267.73	28.86	212.78	109.66	204.07	120.1	486.75	40.64	277.2	318.57	80.57	105.89	194.36	92.05	80.57	185.11	100.83	223.41	91.41	177.53	111.21	46.18	46.5	211.31	35.5	127.0	100.83	260.38	232.94	409.15	395.18	318.57	157.68	57.49	118.43	146.03	105.15	24.99	53.57	14.89	29.48	35.0	0.0	37.05	37.05	10.63	120.1	31.22	120.1
MYO1C	1540.37	2400.97	3443.31	1369.04	1167.14	2255.7	1437.15	2032.85	316.37	2816.11	1159.07	2193.99	3212.66	2287.2	2855.44	2739.08	3874.05	2485.67	2502.97	3614.55	3212.66	1909.85	3564.78	2816.11	2855.44	1030.12	3212.66	2417.67	2133.97	1721.16	2351.53	2104.58	3768.09	2271.4	2816.11	3325.99	2148.82	2895.31	2915.45	842.36	2047.0	3257.52	3395.89	1417.35	1111.82	660.68	1096.5	921.88	1073.91	0.0	507.46	579.04	665.29	525.39	493.56	525.39
NME9	0.66	9.63	1.38	1.51	1.53	90.77	59.97	44.89	0.0	70.51	25.72	36.79	71.0	96.68	12.64	119.26	137.14	59.97	118.43	110.43	37.59	36.79	85.82	23.08	105.15	34.51	147.06	94.01	44.89	33.54	87.03	19.53	158.79	41.52	80.01	125.24	32.59	110.43	116.78	86.43	37.32	45.53	59.97	31.67	51.71	1.01	0.0	1.17	2.18	0.0	0.0	5.02	0.0	8.32	0.72	8.32
NPHP1	19.53	152.28	111.99	65.26	73.03	258.57	303.44	327.56	463.65	279.14	208.38	156.59	423.61	297.17	156.59	351.14	248.0	175.07	236.21	279.14	256.78	173.85	256.78	147.06	287.01	166.73	256.78	281.09	215.77	204.07	258.57	71.0	199.85	148.09	289.02	297.17	368.65	303.44	486.75	228.13	231.32	248.0	154.42	180.02	175.07	2.58	37.05	10.55	16.15	0.0	262.2	117.6	83.45	113.56	73.03	113.56
NRBP2	256.78	228.13	444.72	454.09	171.45	532.74	941.27	1081.39	77.79	295.11	679.29	928.3	1015.93	1923.14	283.05	2573.36	1044.52	660.68	878.17	1143.1	490.14	406.31	1286.18	525.39	647.07	591.22	1216.75	1208.34	896.64	289.02	1191.69	281.09	825.0	371.22	961.07	1277.29	264.03	1857.6	753.83	1001.93	559.28	205.5	412.0	525.39	395.18	3794.3	171.45	167.9	387.02	0.0	223.41	149.12	122.64	226.54	92.7	226.54
OSBPL7	21.63	155.5	25.35	81.71	23.76	164.42	185.11	291.04	4.86	142.01	113.56	173.85	305.55	426.57	63.89	567.1	403.5	255.0	180.02	275.28	153.34	141.02	332.14	128.79	249.73	191.67	253.23	197.09	307.69	186.4	314.17	218.79	366.09	128.79	314.17	373.81	182.55	371.22	612.11	287.01	134.3	136.19	169.07	143.01	148.09	15.0	3.79	1.75	33.78	0.0	37.59	47.5	8.19	102.25	43.32	102.25
OSCP1	77.25	373.81	323.03	158.79	193.01	995.0	693.58	273.37	595.34	633.73	346.29	417.77	624.99	629.35	341.51	543.96	769.69	708.18	748.61	587.13	312.0	759.08	713.11	140.04	674.59	303.44	669.92	579.04	543.96	591.22	775.05	389.72	595.34	684.02	642.59	718.08	579.04	684.02	595.34	612.11	708.18	432.53	669.92	309.83	595.34	12.74	63.89	65.26	54.33	0.0	151.22	205.5	143.01	153.34	62.56	153.34
PLAGL1	132.44	133.36	23.42	27.05	9.27	173.85	540.19	206.94	2.46	409.15	14.56	536.45	620.67	723.08	587.13	563.18	400.71	281.09	438.59	532.74	303.44	209.84	529.06	242.88	384.34	341.51	543.96	316.37	295.11	371.22	551.56	540.19	403.5	248.0	688.78	660.68	239.52	775.05	1268.46	503.95	251.48	127.89	353.59	96.01	339.14	10.55	63.45	14.56	162.14	201.25	56.28	185.11	24.46	125.24	180.02	125.24
PLEKHH2	16.03	107.38	82.29	6.41	2.71	162.14	607.87	343.89	5.54	981.29	92.05	111.99	1674.06	2148.82	153.34	2384.37	1427.22	232.94	718.08	1572.76	237.86	397.93	1769.57	109.66	529.06	102.97	575.03	607.87	293.07	277.2	921.88	197.09	967.76	20.71	1923.14	1685.71	136.19	1977.24	1674.06	902.89	202.66	202.66	161.02	76.17	87.03	1.14	5.41	3.2	48.18	0.0	29.91	17.25	6.52	8.78	23.59	8.78
PPP1R42	1.53	67.12	0.0	2.18	0.0	51.71	63.0	12.36	0.0	83.45	19.39	20.86	34.75	87.03	5.36	54.33	85.82	11.73	30.56	50.27	49.56	14.89	43.02	7.88	57.49	0.0	33.54	49.91	15.34	33.3	52.82	4.62	24.46	8.19	50.98	46.5	18.56	97.36	109.66	30.78	36.27	14.24	24.99	28.24	9.93	0.0	0.0	0.0	0.0	0.0	10.63	0.79	0.0	3.56	0.0	3.56
RAB11FIP2	65.72	265.87	108.14	77.79	108.14	133.36	454.09	307.69	48.87	293.07	70.51	99.43	713.11	320.8	237.86	346.29	181.28	273.37	438.59	325.29	124.37	193.01	563.18	123.5	417.77	209.84	275.28	323.03	429.54	295.11	241.19	130.6	373.81	133.36	460.44	346.29	432.53	368.65	285.03	323.03	221.86	647.07	327.56	86.43	231.32	29.91	55.1	52.45	57.08	0.0	53.95	91.41	21.63	76.17	42.11	76.17
RP11-1407O15.2	229.72	170.25	205.5	109.66	97.36	234.57	267.73	466.88	35.25	269.6	234.57	226.54	514.56	521.76	275.28	1023.0	521.76	444.72	334.46	571.05	116.78	229.72	563.18	226.54	423.61	217.27	723.08	353.59	281.09	299.25	624.99	253.23	470.14	193.01	819.3	679.29	214.27	665.29	769.69	543.96	279.14	212.78	301.33	111.21	167.9	55.49	47.84	46.18	98.04	0.0	175.07	83.45	39.22	107.38	109.66	107.38
RTEL1	85.22	105.89	97.36	138.1	81.14	182.55	112.77	105.15	23.08	258.57	127.0	104.42	273.37	253.23	120.1	384.34	299.25	145.02	223.41	221.86	116.78	157.68	264.03	152.28	170.25	78.89	163.28	244.57	229.72	237.86	133.36	90.14	264.03	125.24	223.41	242.88	108.14	212.78	273.37	88.88	78.34	77.25	242.88	176.29	181.28	186.4	81.71	76.71	48.18	0.0	122.64	52.82	53.19	39.5	48.87	39.5
RYR3	1.91	6.36	1.43	77.25	5.36	30.12	42.41	6.67	3.59	191.67	24.46	31.9	173.85	271.48	7.34	39.79	49.56	269.6	53.95	72.52	14.24	1.16	239.52	7.88	134.3	6.26	63.45	70.51	3.82	2.41	20.71	21.94	80.01	4.28	90.14	177.53	10.24	37.85	409.15	26.28	0.75	21.78	67.59	12.27	2.73	0.0	1.3	0.65	0.0	0.0	0.72	9.85	1.46	1.79	2.14	1.79
SPG7	303.44	1259.69	915.51	1295.13	1233.75	1286.18	1159.07	1259.69	480.04	1183.45	1427.22	1498.22	1286.18	2193.99	995.0	2682.69	1781.89	1417.35	1044.52	1199.98	1572.76	1015.93	1225.22	1216.75	1340.84	802.41	1806.78	1295.13	1832.01	1199.98	1963.57	1277.29	1044.52	1135.2	1437.15	1322.37	1216.75	1757.34	1733.13	2004.85	1277.29	1001.93	1199.98	1457.23	1073.91	775.05	497.0	536.45	921.88	0.0	466.88	426.57	547.75	420.68	665.29	420.68
SPP1	143430.26	517068.97	254974.66	215898.44	207103.59	405683.88	338781.54	654483.73	35856.82	363097.14	422911.59	343510.77	290865.98	114897.47	492579.5	104271.56	194578.47	275175.93	318292.9	195931.88	614902.29	397335.0	208544.12	273275.14	334117.42	509950.32	363097.14	305326.92	408505.64	520665.48	386469.83	296977.71	301123.38	450134.56	184082.4	226632.25	822695.06	191899.64	472513.8	263966.36	383800.28	499455.67	405683.88	422911.59	303217.87	38164.99	951601.81	6887.62	132900.7	0.0	66449.85	118127.7	38430.46	242898.5	97288.74	242898.5
STX2	126.12	96.68	66.65	53.19	64.8	155.5	429.54	389.72	19.68	265.87	237.86	224.97	301.33	624.99	208.38	334.46	343.89	281.09	258.57	341.51	271.48	162.14	323.03	251.48	241.19	202.66	218.79	480.04	209.84	309.83	397.93	182.55	287.01	275.28	392.44	551.56	157.68	414.87	476.71	301.33	189.02	190.34	289.02	154.42	182.55	107.38	117.6	89.51	175.07	0.0	157.68	231.32	102.25	52.45	80.01	52.45
TMEM234	229.72	275.28	115.97	140.04	134.3	536.45	473.41	463.65	70.51	775.05	251.48	521.76	454.09	575.03	406.31	603.67	543.96	532.74	629.35	651.58	181.28	521.76	532.74	287.01	343.89	486.75	669.92	703.28	285.03	366.09	723.08	285.03	620.67	387.02	595.34	642.59	457.25	607.87	1208.34	660.68	297.17	299.25	497.0	162.14	412.0	156.59	82.87	67.12	159.9	0.0	301.33	387.02	181.28	457.25	206.94	457.25
