	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E9.A1QZ.01A.21R.A169.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.E2.A1L6.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.BC.A10X.01A.11R.A131.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.G3.A3CG.01A.11R.A213.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
COMMD3	5672.41	1242.34	1498.22	1896.65	1015.93	2417.67	3742.05	2075.59	3982.99	1447.15	5672.41	1015.93	2796.65	1769.57	2148.82	3372.43	3372.43	1066.48	1950.0	2835.7	3146.52	3467.27	1001.93	3982.99	4802.93	1733.13	1467.37	2502.97	1350.18	2163.77	1359.57	3081.75	1119.56	5219.6	1143.1	1745.2	2133.97	2417.67	2178.83	928.3	1617.0	2163.77	1457.23	1081.39	872.1	1407.55	1467.37	1477.58	1225.22	2303.12	1397.83	1397.83	1697.45	915.51	1781.89	1977.24	896.64	1001.93	1322.37	1286.18	490.14	0.0	0.58
COMMD3-BMI1	1883.54	665.29	536.45	547.75	334.46	426.57	1781.89	397.93	1551.09	616.37	2224.63	521.76	1225.22	616.37	651.58	941.27	665.29	460.44	791.35	808.0	1066.48	1151.06	543.96	1572.76	1697.45	836.53	483.38	1030.12	796.86	934.76	341.51	819.3	358.54	2209.26	295.11	507.46	629.35	934.76	511.0	329.84	473.41	743.43	143.01	414.87	426.57	107.38	0.0	87.65	173.85	336.79	92.7	269.6	0.0	228.13	0.0	392.44	260.38	121.79	291.04	450.94	21.94	0.0	0.0
COX6C	168220.2	223512.12	256748.15	331809.5	194578.47	209994.66	111755.56	159145.95	201440.3	198667.0	221968.2	211455.3	355624.68	265802.39	195931.88	190574.09	263966.36	242898.5	228208.61	103551.29	229795.93	97288.74	391864.76	118127.7	145432.49	425853.18	217400.14	320506.81	205673.01	269512.87	191899.64	208544.12	194578.47	253213.41	437825.58	527933.71	200048.85	286861.53	180294.02	223512.12	492579.5	204252.32	61146.25	13492.72	28723.62	32767.0	39785.74	37639.55	38430.46	41475.31	33688.23	59063.35	34396.12	18178.19	46019.85	48643.87	12589.08	14461.21	13968.57	15285.81	9673.69	7331.05	1167.14
DIRC2	329.84	176.29	100.83	178.77	265.87	109.66	583.07	301.33	299.25	343.89	616.37	161.02	348.71	384.34	273.37	237.86	387.02	106.63	503.95	368.65	656.11	293.07	199.85	277.2	353.59	287.01	351.14	271.48	256.78	197.09	181.28	142.01	112.77	366.09	251.48	447.82	351.14	334.46	255.0	486.75	361.04	579.04	88.26	120.94	55.89	115.97	109.66	87.65	98.04	236.21	79.45	117.6	136.19	155.5	78.89	149.12	133.36	120.94	121.79	102.25	148.09	0.0	0.43
DLG4	684.02	341.51	314.17	127.0	307.69	117.6	567.1	170.25	497.0	209.84	74.06	236.21	551.56	191.67	148.09	297.17	275.28	99.43	181.28	171.45	909.17	327.56	169.07	305.55	237.86	128.79	314.17	265.87	314.17	173.85	234.57	262.2	356.05	373.81	536.45	57.49	312.0	91.41	199.85	217.27	94.01	251.48	105.89	125.24	40.07	75.64	63.0	52.45	109.66	62.56	56.68	76.71	80.57	87.03	39.79	166.73	56.68	46.18	70.01	47.17	42.71	0.0	0.61
DNAJC1	5041.77	583.07	693.58	921.88	466.88	1096.5	4095.0	1216.75	3190.46	921.88	4268.94	708.18	1950.0	988.12	791.35	1467.37	1437.15	361.04	2271.4	1639.59	2720.15	1721.16	759.08	5517.27	2739.08	551.56	753.83	1369.04	1135.2	547.75	759.08	2645.74	447.82	12244.81	493.56	995.0	780.44	1733.13	1233.75	967.76	934.76	743.43	633.73	665.29	486.75	769.69	708.18	902.89	591.22	866.07	525.39	612.11	483.38	599.49	497.0	872.1	251.48	819.3	638.15	638.15	503.95	0.0	0.73
DTWD1	1030.12	490.14	358.54	514.56	733.19	703.28	713.11	438.59	703.28	718.08	947.83	412.0	808.0	579.04	417.77	890.44	698.41	642.59	775.05	684.02	599.49	674.59	490.14	748.61	842.36	400.71	432.53	457.25	603.67	351.14	525.39	575.03	417.77	612.11	571.05	490.14	723.08	551.56	624.99	723.08	490.14	353.59	242.88	248.0	146.03	275.28	229.72	180.02	246.28	246.28	191.67	323.03	351.14	206.94	320.8	307.69	105.15	190.34	297.17	178.77	193.01	0.0	0.56
DZANK1	198.47	165.57	91.41	44.25	53.57	131.51	182.55	49.91	106.63	85.82	99.43	63.89	99.43	72.01	67.12	135.24	56.68	102.97	48.52	139.07	125.24	125.24	105.15	107.38	93.35	55.49	44.89	57.08	49.91	77.79	39.22	46.84	73.03	96.68	66.65	52.45	129.69	73.54	46.84	93.35	97.36	92.05	22.1	13.62	3.29	18.29	9.78	12.18	8.13	31.9	8.06	8.06	11.82	3.59	7.69	23.76	2.89	12.55	13.32	8.58	2.43	0.0	0.22
EIF4E3	343.89	273.37	147.06	157.68	409.15	138.1	698.41	27.84	412.0	368.65	669.92	182.55	483.38	417.77	265.87	409.15	438.59	356.05	356.05	536.45	551.56	466.88	231.32	379.04	432.53	152.28	149.12	301.33	490.14	348.71	153.34	260.38	185.11	198.47	258.57	249.73	406.31	532.74	423.61	470.14	100.83	198.47	46.18	170.25	15.91	64.8	53.57	19.53	23.76	3.92	26.47	44.57	25.54	55.89	10.96	98.73	69.52	118.43	137.14	79.45	102.97	0.0	0.44
FAM172A	246.28	258.57	98.73	126.12	269.6	108.9	262.2	98.04	189.02	234.57	253.23	118.43	301.33	260.38	117.6	177.53	156.59	189.02	155.5	212.78	190.34	454.09	191.67	273.37	291.04	267.73	116.78	202.66	182.55	237.86	119.26	181.28	309.83	253.23	185.11	314.17	244.57	162.14	177.53	248.0	135.24	185.11	67.12	73.54	35.76	41.81	48.87	36.27	48.52	56.68	38.12	70.51	52.08	99.43	57.89	93.35	39.79	54.33	78.89	87.03	17.77	0.0	0.33
GLCCI1	316.37	189.02	52.45	110.43	246.28	154.42	397.93	7.4	146.03	412.0	371.22	187.71	279.14	293.07	104.42	249.73	361.04	339.14	105.89	392.44	392.44	329.84	125.24	236.21	163.28	262.2	167.9	143.01	305.55	262.2	90.14	392.44	120.1	143.01	156.59	262.2	796.86	291.04	208.38	493.56	224.97	249.73	68.07	99.43	32.36	25.17	43.94	22.75	21.16	28.24	29.06	21.32	36.01	82.29	11.13	67.59	41.81	36.27	67.59	53.57	13.83	0.0	0.32
HSPA12A	217.27	120.94	17.0	16.03	118.43	24.46	198.47	25.17	71.0	50.27	135.24	35.5	23.76	189.02	20.26	28.45	73.03	27.25	94.67	193.01	98.73	50.63	69.03	69.03	53.57	107.38	76.71	44.25	99.43	275.28	46.5	105.15	105.15	68.07	65.72	111.21	84.04	119.26	57.08	131.51	128.79	26.67	29.7	24.99	4.39	18.03	13.72	12.55	20.41	1.95	6.16	16.88	8.38	26.86	14.67	48.18	6.41	7.63	11.47	7.88	2.1	0.0	0.46
IL17RD	82.87	170.25	41.81	13.32	48.87	28.04	102.97	7.28	75.64	156.59	159.9	25.35	48.52	60.82	41.52	67.59	30.78	16.03	46.84	119.26	48.52	260.38	34.02	42.11	107.38	58.71	78.89	108.9	46.84	118.43	21.47	83.45	14.45	71.0	32.82	52.45	37.85	120.94	59.97	161.02	27.84	4.03	2.25	3.29	0.0	1.43	1.53	1.23	1.91	0.0	0.88	4.86	3.2	1.99	2.1	4.62	0.99	1.57	1.51	1.62	0.07	0.0	0.1
IRX2	295.11	246.28	15.22	123.5	77.25	114.36	2816.11	221.86	2875.3	497.0	275.28	105.15	389.72	5403.7	35.76	157.68	1662.49	10.63	660.68	120.1	94.67	536.45	115.97	2720.15	2573.36	161.02	17.77	149.12	102.25	91.41	83.45	88.26	132.44	536.45	256.78	161.02	23.93	500.46	15.8	836.53	368.65	1605.83	0.0	1.17	0.0	0.0	0.0	0.0	3.23	0.0	1.39	0.99	1.03	0.0	0.0	1.53	0.0	1.73	0.0	0.0	2.58	0.0	0.28
KIAA0825	62.56	35.5	27.64	33.78	29.27	38.12	69.52	8.38	29.06	33.06	39.22	19.97	48.18	32.13	29.48	40.93	32.82	30.78	37.85	35.5	45.53	94.01	37.59	52.45	44.57	30.78	21.16	26.1	38.12	74.58	18.29	10.24	32.59	43.94	8.25	65.26	37.85	15.0	29.7	48.87	27.25	13.93	2.97	12.55	0.57	3.47	3.99	6.21	1.71	4.21	2.63	3.06	5.28	5.87	1.69	6.11	2.18	14.89	7.06	8.71	0.05	0.0	0.09
LANCL1	1119.56	890.44	669.92	490.14	647.07	514.56	1111.82	293.07	612.11	848.22	759.08	507.46	559.28	813.63	409.15	579.04	414.87	620.67	693.58	830.75	947.83	780.44	813.63	830.75	848.22	728.11	748.61	579.04	1088.92	1427.22	314.17	426.57	497.0	409.15	563.18	713.11	647.07	507.46	417.77	1268.46	473.41	426.57	198.47	309.83	119.26	178.77	242.88	162.14	202.66	164.42	199.85	204.07	226.54	387.02	106.63	246.28	191.67	205.5	236.21	214.27	103.69	0.0	0.37
LCA5L	190.34	92.05	126.12	74.58	52.82	75.64	327.56	67.59	97.36	158.79	128.79	50.63	105.15	96.01	98.04	121.79	178.77	96.01	114.36	123.5	149.12	148.09	47.17	323.03	144.01	57.49	92.05	51.71	73.03	137.14	23.76	51.35	125.24	127.0	104.42	68.55	127.0	92.05	124.37	177.53	45.21	94.67	16.39	25.35	6.52	38.4	10.96	11.91	13.12	11.64	7.0	4.39	21.78	21.32	6.67	17.0	3.08	20.26	25.17	18.03	14.24	0.0	0.0
LINC00908	202.66	36.53	0.36	2.14	3.59	0.37	161.02	0.0	62.56	23.25	10.47	0.71	59.55	29.91	3.5	34.51	18.84	23.25	14.56	18.56	18.97	10.79	1.41	57.89	15.0	4.24	14.56	14.89	115.16	41.52	5.32	87.65	3.29	0.37	8.38	15.11	5.68	62.12	86.43	30.12	3.0	5.19	0.43	6.67	0.0	0.0	5.11	5.36	0.0	0.0	4.7	1.17	0.0	0.39	0.0	1.3	1.43	2.63	1.0	1.08	0.0	0.0	0.0
LZTFL1	808.0	693.58	909.17	563.18	476.71	376.41	1467.37	447.82	638.15	480.04	620.67	392.44	819.3	579.04	819.3	1001.93	854.13	638.15	532.74	555.41	854.13	1037.29	660.68	872.1	941.27	454.09	426.57	397.93	616.37	934.76	202.66	318.57	170.25	703.28	591.22	264.03	872.1	591.22	988.12	974.5	483.38	429.54	74.06	228.13	47.84	90.14	96.01	37.59	61.25	141.02	31.45	65.72	82.87	60.82	63.0	87.03	86.43	220.32	231.32	181.28	36.27	414.87	165.57
MAATS1	248.0	111.99	9.13	104.42	81.71	163.28	204.07	32.59	125.24	29.27	126.12	8.65	183.82	85.82	4.21	148.09	55.89	51.35	43.02	127.0	148.09	63.0	40.64	71.5	125.24	20.56	127.89	17.25	53.57	135.24	58.71	33.54	59.97	115.16	236.21	89.51	50.63	111.99	212.78	177.53	82.87	112.77	31.9	17.0	23.08	4.86	14.03	3.32	7.57	16.15	7.94	5.23	20.86	3.82	14.14	11.73	7.75	31.45	21.94	11.21	6.52	0.0	0.32
MED12L	81.71	12.83	2.14	0.6	7.88	9.7	61.25	11.21	10.31	15.8	53.19	19.39	21.78	11.47	1.87	14.78	12.64	6.52	4.7	19.53	31.45	19.25	16.63	23.59	20.41	5.82	2.53	1.85	6.73	17.25	15.91	10.39	6.31	28.45	10.47	3.38	25.54	10.0	3.82	7.28	5.73	17.0	0.28	7.94	0.0	1.06	1.48	1.23	1.5	0.0	0.0	0.0	0.0	0.23	0.0	5.82	0.0	0.84	9.78	2.29	0.0	0.0	0.15
MFSD6	915.51	1111.82	764.36	111.99	860.08	158.79	2451.44	253.23	1135.2	1143.1	563.18	514.56	27.64	947.83	81.14	161.02	693.58	177.53	293.07	532.74	1369.04	1208.34	575.03	1359.57	813.63	358.54	521.76	660.68	764.36	2591.27	460.44	336.79	536.45	1044.52	429.54	1001.93	616.37	934.76	180.02	1498.22	591.22	395.18	154.42	91.41	34.51	46.5	94.67	99.43	69.03	18.16	81.71	59.55	65.72	125.24	32.82	120.94	12.27	36.79	28.65	28.04	12.27	0.0	0.27
NARG2	791.35	603.67	429.54	624.99	802.41	599.49	825.0	503.95	679.29	775.05	842.36	438.59	896.64	791.35	555.41	703.28	728.11	536.45	629.35	854.13	633.73	775.05	432.53	802.41	1023.0	587.13	785.88	392.44	679.29	860.08	417.77	954.43	417.77	412.0	688.78	780.44	1001.93	633.73	775.05	928.3	791.35	267.73	253.23	366.09	113.56	297.17	94.01	163.28	173.85	176.29	112.77	161.02	134.3	226.54	148.09	166.73	73.54	217.27	329.84	249.73	71.5	0.0	0.45
NAT1	1487.87	185.11	249.73	7433.4	802.41	3639.7	7966.99	1023.0	3690.52	7331.05	4268.94	251.48	2956.17	2645.74	3372.43	1331.57	8538.88	126.12	4152.18	1733.13	6121.9	11664.82	169.07	7911.95	5751.61	3515.68	6207.38	2520.38	248.0	3874.05	1037.29	2573.36	2384.37	6887.62	19.39	6037.61	2796.65	2319.15	183.82	1685.71	332.14	785.88	110.43	265.87	108.14	136.19	100.13	63.0	78.34	59.97	68.55	37.32	130.6	87.65	26.1	128.79	151.22	325.29	334.46	242.88	60.39	0.0	0.0
NRSN2	1709.26	684.02	1437.15	1498.22	1096.5	854.13	2434.5	595.34	1044.52	624.99	3212.66	1781.89	995.0	1639.59	902.89	1030.12	1104.13	1427.22	748.61	1498.22	1651.0	1030.12	1397.83	1008.9	825.0	703.28	1096.5	1350.18	753.83	1008.9	728.11	988.12	1073.91	1388.16	860.08	967.76	1561.89	1183.45	647.07	1447.15	1794.29	1617.0	91.41	143.01	26.86	56.68	60.39	41.81	84.04	21.32	84.04	75.64	89.51	48.52	376.41	125.24	116.78	72.52	71.5	102.25	52.45	0.0	0.73
PCM1	2935.74	2133.97	1467.37	2018.8	934.76	1685.71	3928.15	1369.04	2287.2	3419.52	3372.43	1769.57	1051.79	1844.76	825.0	1208.34	2645.74	836.53	5791.62	2796.65	2645.74	2384.37	1037.29	3349.13	4450.27	1457.23	1883.54	1477.58	1259.69	1697.45	995.0	2384.37	1167.14	674.59	1487.87	1487.87	1015.93	2018.8	1216.75	1769.57	733.19	813.63	723.08	1233.75	406.31	842.36	785.88	708.18	591.22	356.05	819.3	961.07	507.46	129.69	1167.14	753.83	176.29	967.76	1378.57	660.68	738.29	0.0	0.99
PFKFB3	1467.37	1561.89	463.65	334.46	698.41	320.8	2271.4	275.28	1437.15	1051.79	301.33	497.0	1159.07	3955.48	500.46	775.05	1250.98	339.14	334.46	1199.98	1407.55	1551.09	253.23	3060.45	1340.84	1628.26	1572.76	457.25	693.58	447.82	1437.15	206.94	363.56	373.81	299.25	395.18	435.55	293.07	291.04	132.44	40.64	934.76	228.13	389.72	165.57	170.25	86.43	183.82	356.05	13.32	151.22	105.89	163.28	163.28	161.02	323.03	244.57	723.08	279.14	169.07	392.44	0.0	0.34
PIK3CB	928.3	493.56	525.39	480.04	603.67	397.93	708.18	373.81	591.22	624.99	708.18	813.63	599.49	511.0	620.67	753.83	460.44	529.06	703.28	555.41	616.37	583.07	518.15	507.46	718.08	791.35	503.95	403.5	1208.34	961.07	511.0	376.41	348.71	656.11	802.41	759.08	830.75	500.46	507.46	708.18	389.72	376.41	279.14	293.07	209.84	303.44	255.0	189.02	214.27	303.44	242.88	190.34	208.38	206.94	269.6	215.77	151.22	242.88	269.6	167.9	182.55	0.0	0.51
