	GTEX.14AS3.1626.SM.5S2OY	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.TSE9.2826.SM.4DXTF	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.CV.7183.11A.01R.2016.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.64.1678.01A.01R.0946.07	TCGA.05.5428.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.37.4135.01A.01R.1100.07	TCGA.18.3421.01A.01R.0980.07	TCGA.34.5234.01A.01R.1635.07	TCGA.37.4130.01A.01R.1100.07	TCGA.AG.3591.01A.01R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.13D11.1226.SM.5IFGA	GTEX.ZYVF.0526.SM.5E43E	GTEX.1399U.1326.SM.5IJET	GTEX.RTLS.2426.SM.46MUO	GTEX.131YS.2326.SM.5IJFJ	GTEX.ZV6S.1526.SM.5NQ7O	GTEX.ZAK1.2526.SM.5S2N7	GTEX.14BIM.2226.SM.5SI8Y	GTEX.TSE9.2626.SM.4DXV2	GTEX.RU72.2626.SM.4TT75	GTEX.W5WG.1326.SM.4LMI9	GTEX.1313W.2826.SM.5P9G1	GTEX.12WSD.2826.SM.59HKT
B4GALNT4	167.9	212.78	1936.53	647.07	71.5	102.97	3.06	0.0	483.38	3.47	366.09	988.12	320.8	36.53	389.72	536.45	4.35	1508.65	2018.8	271.48	1159.07	620.67	205.5	4038.61	157.68	11992.79	2915.45	2148.82	1313.23	599.49
BANP	309.83	341.51	376.41	127.89	140.04	123.5	89.51	55.1	189.02	155.5	187.71	373.81	187.71	173.85	297.17	212.78	99.43	339.14	334.46	343.89	403.5	470.14	295.11	395.18	438.59	387.02	450.94	348.71	343.89	397.93
BRAT1	674.59	595.34	769.69	343.89	307.69	181.28	432.53	127.0	157.68	327.56	231.32	521.76	503.95	341.51	387.02	660.68	198.47	536.45	579.04	748.61	1359.57	2061.24	441.64	1870.53	703.28	1331.57	1417.35	1081.39	1175.27	1030.12
BRSK1	68.07	71.5	60.82	59.13	25.17	6.89	2.32	0.0	65.26	38.4	73.03	100.83	38.67	53.57	21.47	19.39	0.0	185.11	368.65	121.79	204.07	15.68	80.01	753.83	62.56	358.54	178.77	237.86	74.58	447.82
C16orf58	995.0	1242.34	2271.4	624.99	633.73	703.28	1119.56	780.44	1037.29	1037.29	902.89	1605.83	842.36	988.12	1183.45	1529.73	532.74	1561.89	2032.85	1806.78	3614.55	3235.01	947.83	2609.3	1991.0	3081.75	2956.17	2119.22	2384.37	2209.26
C19orf80	164.42	25.72	64.34	0.0	5.54	2.68	13.22	6.36	0.0	0.0	0.0	0.0	0.0	2.66	3.29	8.13	4.46	22.75	52.82	22.43	77.79	24.28	29.48	177.53	57.49	108.14	13.22	21.94	108.14	28.04
C21orf2	318.57	633.73	1119.56	105.15	124.37	305.55	525.39	587.13	483.38	813.63	363.56	384.34	275.28	567.1	395.18	384.34	212.78	713.11	1457.23	1340.84	1923.14	2537.92	660.68	3794.3	733.19	3039.3	2047.0	791.35	1313.23	1397.83
CC2D1A	616.37	563.18	1096.5	500.46	193.01	514.56	258.57	220.32	503.95	301.33	295.11	583.07	559.28	267.73	223.41	813.63	267.73	476.71	1242.34	521.76	1397.83	1199.98	397.93	1313.23	813.63	1857.6	713.11	684.02	1030.12	995.0
CCDC154	9.41	10.55	201.25	2.03	55.1	0.0	2.78	0.0	54.72	25.72	18.43	4.62	3.14	12.55	19.82	7.57	0.14	65.72	119.26	12.0	53.57	193.01	12.55	269.6	49.21	267.73	47.17	90.14	178.77	147.06
CCDC174	214.27	246.28	532.74	137.14	100.13	171.45	172.65	101.54	136.19	277.2	214.27	154.42	208.38	165.57	137.14	647.07	154.42	500.46	1081.39	395.18	1023.0	819.3	351.14	947.83	733.19	808.0	656.11	392.44	748.61	723.08
CCL15-CCL14	3.2	17.51	2032.85	0.0	7.22	10.24	12.18	15.11	31.9	7.63	186.4	3.47	35.25	301.33	177.53	95.34	59.55	140.04	1617.0	551.56	1551.09	1519.15	2485.67	10440.2	4095.0	6699.25	679.29	3874.05	860.08	3540.14
CDC42BPB	417.77	536.45	813.63	287.01	150.17	490.14	161.02	90.77	132.44	236.21	133.36	94.67	316.37	281.09	137.14	629.35	432.53	1313.23	1199.98	854.13	1540.37	1331.57	403.5	1909.85	1073.91	1909.85	896.64	1135.2	728.11	1407.55
CDH23	52.82	63.89	46.18	5.54	18.29	6.57	2.27	3.17	5.45	3.99	24.28	12.93	12.55	44.25	15.8	6.84	6.46	80.57	70.51	84.63	547.75	316.37	73.54	470.14	403.5	941.27	86.43	438.59	154.42	753.83
CDK5RAP3	1977.24	3372.43	3665.02	2400.97	1008.9	1044.52	842.36	441.64	2682.69	2193.99	2855.44	3794.3	1561.89	1417.35	2287.2	2895.31	579.04	3190.46	4639.29	3349.13	6745.86	5711.87	1540.37	5517.27	3847.29	4066.71	3820.7	2997.45	5831.91	5995.9
CDRT4	24.11	75.11	909.17	65.72	33.78	69.52	0.0	8.99	262.2	3.86	8.51	97.36	52.82	34.75	256.78	55.1	0.73	34.26	536.45	251.48	379.04	575.03	75.11	1286.18	348.71	872.1	651.58	384.34	616.37	540.19
CHD3	703.28	796.86	4298.64	532.74	295.11	269.6	109.66	49.91	412.0	190.34	314.17	301.33	348.71	417.77	316.37	599.49	299.25	2720.15	2976.74	1950.0	2796.65	2956.17	753.83	4639.29	2178.83	4802.93	3589.58	3443.31	3168.41	3820.7
CIC	759.08	599.49	842.36	169.07	139.07	220.32	161.02	100.13	228.13	206.94	209.84	127.89	341.51	253.23	201.25	356.05	242.88	1733.13	1561.89	2319.15	2627.46	2627.46	1175.27	2855.44	1340.84	2032.85	1674.06	2004.85	1950.0	2075.59
CNKSR3	108.9	68.07	189.02	67.12	51.35	381.68	100.83	8.71	96.01	309.83	75.11	104.42	132.44	67.59	173.85	164.42	753.83	665.29	1457.23	603.67	314.17	473.41	228.13	1051.79	497.0	896.64	1175.27	373.81	571.05	547.75
CRTC2	309.83	454.09	1447.15	303.44	351.14	379.04	329.84	348.71	480.04	947.83	633.73	599.49	518.15	470.14	599.49	1199.98	241.19	909.17	1844.76	981.29	1745.2	1540.37	698.41	1757.34	1519.15	1733.13	1674.06	909.17	1397.83	1674.06
CTU1	42.11	18.7	80.57	31.22	22.59	18.43	43.02	18.03	46.84	30.12	34.26	43.94	54.72	24.46	48.87	82.87	16.03	94.01	91.41	44.25	120.1	116.78	49.91	120.94	68.55	98.04	123.5	59.97	93.35	108.9
CUL9	285.03	366.09	842.36	289.02	71.0	186.4	166.73	96.68	450.94	202.66	305.55	318.57	285.03	297.17	583.07	389.72	100.83	563.18	698.41	486.75	890.44	813.63	241.19	1551.09	591.22	1242.34	723.08	915.51	1051.79	954.43
CXCR5	0.0	4.21	137.14	0.0	1.22	0.0	1.13	0.0	0.0	0.0	24.28	1.46	3.23	16.39	12.55	0.0	0.0	9.48	77.25	28.04	49.21	0.0	88.88	1844.76	0.0	1388.16	813.63	24.99	45.21	397.93
CXXC1	647.07	1001.93	1685.71	612.11	248.0	497.0	283.05	131.51	1397.83	620.67	629.35	1030.12	733.19	603.67	796.86	612.11	223.41	1508.65	2287.2	1628.26	2591.27	2701.35	796.86	2645.74	1819.35	2468.49	2400.97	1651.0	2061.24	2417.67
CYP46A1	23.76	7.11	52.82	7.46	8.51	0.74	18.29	10.96	20.56	9.2	1.25	1.19	14.24	7.75	3.29	3.44	0.0	18.43	74.58	41.22	85.82	141.02	3.56	141.02	109.66	78.89	115.97	100.13	180.02	126.12
DDX51	175.07	241.19	540.19	199.85	109.66	57.89	99.43	91.41	264.03	115.97	95.34	206.94	156.59	112.77	264.03	314.17	108.9	255.0	483.38	379.04	638.15	813.63	244.57	642.59	373.81	813.63	638.15	457.25	543.96	507.46
DENND6B	177.53	172.65	346.29	152.28	105.15	47.5	46.5	39.22	57.89	46.18	182.55	26.28	55.49	127.0	42.71	92.7	25.54	400.71	848.22	277.2	836.53	723.08	187.71	540.19	412.0	1096.5	384.34	796.86	941.27	988.12
DHPS	1605.83	1286.18	3168.41	2303.12	1447.15	1044.52	2367.9	2485.67	2148.82	1561.89	2032.85	4328.55	2468.49	1427.22	1477.58	2255.7	473.41	1457.23	3540.14	1963.57	3395.89	3419.52	1617.0	3018.3	2875.3	3303.0	2645.74	1733.13	2758.13	2875.3
DMAP1	769.69	620.67	1551.09	540.19	323.03	346.29	312.0	320.8	559.28	426.57	447.82	476.71	543.96	368.65	733.19	543.96	249.73	854.13	1001.93	1151.06	1519.15	1909.85	836.53	1857.6	842.36	1628.26	1151.06	1225.22	1583.71	1709.26
DNM1	57.49	34.02	2075.59	172.65	92.05	15.56	25.72	13.72	22.92	90.14	29.27	120.94	120.1	87.03	79.45	136.19	39.79	133.36	104.42	29.7	339.14	194.36	10.39	543.96	122.64	226.54	215.77	116.78	237.86	409.15
EBF4	336.79	403.5	2061.24	142.01	40.64	35.0	127.0	78.34	226.54	27.64	236.21	18.16	91.41	132.44	85.22	41.81	7.22	684.02	1447.15	507.46	1594.73	780.44	182.55	1388.16	785.88	8247.98	3257.52	713.11	1250.98	1896.65
EML3	392.44	591.22	1769.57	607.87	215.77	896.64	287.01	91.41	486.75	379.04	460.44	348.71	438.59	514.56	500.46	480.04	688.78	708.18	1242.34	981.29	1498.22	1199.98	540.19	1674.06	1167.14	3039.3	1151.06	1151.06	1119.56	1151.06
ENKD1	500.46	532.74	651.58	151.22	244.57	100.83	361.04	146.03	144.01	90.14	237.86	450.94	141.02	262.2	115.97	444.72	62.56	872.1	1769.57	1135.2	2367.9	2451.44	665.29	2855.44	860.08	2255.7	3081.75	934.76	1709.26	1883.54
EPS15L1	463.65	368.65	1111.82	285.03	234.57	373.81	251.48	312.0	218.79	176.29	241.19	785.88	503.95	182.55	208.38	460.44	473.41	511.0	896.64	518.15	1015.93	961.07	486.75	1286.18	825.0	941.27	660.68	575.03	848.22	848.22
FAM53C	366.09	470.14	435.55	110.43	152.28	176.29	185.11	142.01	237.86	100.13	147.06	239.52	289.02	181.28	140.04	309.83	224.97	587.13	896.64	271.48	525.39	389.72	199.85	1143.1	412.0	854.13	660.68	228.13	403.5	423.61
FN3KRP	536.45	884.29	866.07	429.54	954.43	567.1	796.86	96.01	412.0	775.05	796.86	1167.14	571.05	507.46	612.11	665.29	476.71	1143.1	928.3	1268.46	1769.57	1477.58	808.0	1639.59	921.88	1051.79	1233.75	1407.55	1313.23	1594.73
FRRS1L	1.13	13.03	44.57	0.67	0.0	0.41	0.73	0.38	0.0	0.0	1.69	2.97	2.2	0.79	15.34	0.0	0.0	228.13	3.44	9.2	20.11	15.22	42.11	167.9	7.46	137.14	63.0	12.45	94.67	78.34
FZR1	497.0	387.02	733.19	483.38	289.02	384.34	279.14	202.66	444.72	277.2	309.83	316.37	435.55	258.57	251.48	603.67	289.02	595.34	884.29	466.88	1369.04	1340.84	409.15	1896.65	473.41	780.44	1127.35	536.45	769.69	1199.98
GIGYF1	122.64	351.14	417.77	155.5	24.99	68.55	100.13	22.26	157.68	115.97	76.17	145.02	87.03	84.04	146.03	379.04	43.02	1066.48	490.14	1081.39	884.29	1208.34	323.03	1529.73	624.99	941.27	1159.07	743.43	753.83	974.5
GLI4	236.21	182.55	595.34	285.03	142.01	180.02	175.07	269.6	242.88	215.77	392.44	248.0	836.53	175.07	199.85	500.46	82.87	332.14	559.28	507.46	934.76	728.11	351.14	1519.15	299.25	967.76	669.92	525.39	785.88	802.41
GMEB2	148.09	162.14	287.01	90.77	66.18	80.01	113.56	38.4	70.01	104.42	58.3	89.51	135.24	87.65	171.45	162.14	95.34	209.84	202.66	295.11	307.69	260.38	129.69	423.61	264.03	514.56	343.89	212.78	197.09	244.57
GRASP	435.55	145.02	1447.15	40.93	58.71	43.63	73.03	102.97	55.1	44.89	108.14	291.04	39.5	173.85	128.79	53.57	26.86	363.56	1709.26	1037.29	995.0	483.38	1819.35	4010.71	723.08	4210.15	361.04	1572.76	2335.28	2209.26
GUSB	1639.59	1572.76	1340.84	591.22	480.04	638.15	1096.5	1023.0	1605.83	1551.09	1250.98	934.76	441.64	961.07	1135.2	1313.23	397.93	1037.29	1936.53	1685.71	3491.39	3443.31	1051.79	1819.35	2627.46	1628.26	2287.2	1617.0	2758.13	3168.41
HDAC7	511.0	825.0	1769.57	204.07	264.03	309.83	220.32	80.57	361.04	366.09	435.55	551.56	275.28	480.04	400.71	733.19	348.71	1498.22	2224.63	1909.85	2400.97	1963.57	967.76	1963.57	1477.58	2855.44	1832.01	1628.26	1991.0	1639.59
HDGFRP2	684.02	368.65	2609.3	387.02	287.01	329.84	275.28	126.12	435.55	303.44	392.44	490.14	555.41	371.22	366.09	595.34	486.75	1674.06	2061.24	1023.0	2645.74	3395.89	1378.57	3928.15	1277.29	2935.74	2287.2	2502.97	2417.67	2119.22
HKR1	503.95	693.58	493.56	232.94	136.19	212.78	460.44	307.69	208.38	303.44	231.32	368.65	295.11	323.03	358.54	713.11	77.25	454.09	1369.04	454.09	2148.82	2591.27	356.05	1794.29	1757.34	860.08	1896.65	1268.46	1857.6	1745.2
INPP5E	89.51	66.65	212.78	107.38	48.52	42.11	85.22	46.84	68.55	73.03	67.12	38.12	70.51	75.64	64.34	172.65	37.32	231.32	201.25	234.57	295.11	441.64	148.09	332.14	234.57	368.65	353.59	293.07	351.14	371.22
INTS3	540.19	476.71	1519.15	316.37	182.55	244.57	116.78	71.5	301.33	291.04	323.03	412.0	387.02	253.23	420.68	884.29	267.73	1322.37	1977.24	909.17	1857.6	1685.71	466.88	2303.12	1397.83	1551.09	1651.0	1519.15	1936.53	1709.26
JUND	3349.13	2502.97	10585.95	518.15	486.75	1044.52	1322.37	599.49	612.11	334.46	988.12	476.71	624.99	878.17	493.56	1447.15	974.5	3443.31	13872.08	6983.79	4736.79	7537.18	7081.29	36610.26	3325.99	23492.92	11745.96	3060.45	4239.45	11584.24
KAT8	1477.58	1397.83	2303.12	444.72	426.57	384.34	674.59	329.84	1066.48	743.43	802.41	1015.93	543.96	688.78	1088.92	753.83	336.79	1216.75	1457.23	2555.58	1923.14	1467.37	1175.27	1572.76	1551.09	3564.78	1250.98	2701.35	1572.76	1685.71
KCTD13	191.67	208.38	595.34	143.01	175.07	116.78	190.34	67.59	346.29	232.94	253.23	339.14	343.89	218.79	157.68	567.1	56.68	384.34	414.87	312.0	836.53	830.75	180.02	507.46	444.72	575.03	583.07	368.65	514.56	638.15
KCTD17	409.15	201.25	525.39	283.05	224.97	124.37	36.01	23.42	848.22	77.79	351.14	358.54	228.13	426.57	217.27	275.28	591.22	866.07	320.8	264.03	575.03	647.07	463.65	819.3	733.19	2682.69	1832.01	497.0	348.71	624.99
KIAA0195	1023.0	743.43	1066.48	171.45	93.35	285.03	503.95	128.79	307.69	289.02	158.79	426.57	547.75	429.54	454.09	748.61	229.72	1216.75	1340.84	1066.48	1757.34	1628.26	497.0	2209.26	1159.07	2104.58	1651.0	1519.15	1447.15	1407.55
LONRF2	4.74	63.89	25.54	0.62	0.58	0.77	36.53	14.89	30.56	0.0	17.25	4.74	24.99	3.79	0.85	0.0	0.0	1216.75	438.59	366.09	406.31	136.19	81.71	143.01	521.76	674.59	177.53	336.79	105.15	511.0
LRSAM1	271.48	205.5	665.29	166.73	101.54	197.09	218.79	180.02	186.4	105.15	115.97	55.1	108.9	99.43	166.73	444.72	218.79	403.5	480.04	287.01	603.67	571.05	176.29	780.44	417.77	848.22	651.58	348.71	698.41	599.49
MAPK11	157.68	183.82	187.71	547.75	195.72	33.06	38.4	53.95	15.45	38.67	71.5	35.76	145.02	214.27	101.54	41.81	37.59	171.45	555.41	802.41	299.25	299.25	224.97	941.27	460.44	1167.14	320.8	872.1	607.87	473.41
MAPK8IP1	283.05	155.5	81.71	37.85	49.91	11.13	144.01	59.55	12.93	31.0	84.04	18.84	40.07	68.55	51.71	27.64	24.11	318.57	96.01	660.68	312.0	665.29	400.71	435.55	206.94	753.83	473.41	454.09	163.28	202.66
MASP1	19.68	11.38	2303.12	8.78	28.45	21.32	309.83	5.5	2.89	5.28	6.78	65.26	10.96	7.57	73.54	42.71	98.73	743.43	1685.71	866.07	361.04	1023.0	299.25	2319.15	379.04	884.29	2367.9	1023.0	511.0	450.94
MBD1	591.22	559.28	785.88	571.05	244.57	435.55	336.79	151.22	718.08	403.5	409.15	392.44	500.46	476.71	316.37	316.37	265.87	764.36	896.64	830.75	1498.22	1127.35	358.54	1127.35	878.17	1119.56	1104.13	890.44	890.44	1304.15
MED24	575.03	703.28	2956.17	493.56	500.46	435.55	438.59	82.87	507.46	334.46	217.27	616.37	1001.93	507.46	536.45	1127.35	624.99	1378.57	2485.67	1721.16	2287.2	2417.67	723.08	2047.0	1844.76	3820.7	1950.0	1477.58	1963.57	2400.97
MEF2D	348.71	241.19	1388.16	90.14	90.77	156.59	94.67	97.36	148.09	224.97	131.51	237.86	115.97	176.29	142.01	351.14	195.72	612.11	1331.57	525.39	915.51	559.28	575.03	1378.57	633.73	1096.5	647.07	518.15	559.28	813.63
MEX3B	28.45	15.34	305.55	37.05	39.79	7.0	4.1	1.97	156.59	14.45	38.95	115.97	42.11	40.93	26.28	10.47	12.93	848.22	64.8	44.57	73.54	73.54	40.93	307.69	59.13	277.2	769.69	29.7	88.26	158.79
MIER2	186.4	283.05	223.41	67.59	112.77	143.01	70.01	41.81	74.58	88.26	75.64	78.34	171.45	147.06	91.41	343.89	173.85	366.09	231.32	507.46	329.84	429.54	460.44	808.0	395.18	679.29	529.06	620.67	358.54	486.75
MLLT6	665.29	607.87	1340.84	242.88	107.38	189.02	202.66	75.11	339.14	497.0	236.21	299.25	212.78	220.32	295.11	1015.93	147.06	1322.37	1651.0	1151.06	2895.31	2104.58	503.95	1963.57	1819.35	2287.2	2520.38	1733.13	1977.24	2090.03
MOK	226.54	316.37	356.05	191.67	808.0	80.01	156.59	46.84	90.77	163.28	144.01	102.97	102.97	718.08	105.89	255.0	15.68	242.88	571.05	371.22	981.29	1378.57	187.71	1044.52	579.04	366.09	854.13	293.07	967.76	764.36
MSANTD2	106.63	87.03	206.94	80.01	87.03	43.32	57.08	19.25	122.64	80.57	202.66	77.79	57.49	90.14	163.28	108.9	15.91	301.33	228.13	281.09	444.72	620.67	237.86	457.25	532.74	248.0	476.71	392.44	525.39	457.25
MUM1	497.0	511.0	909.17	384.34	249.73	132.44	217.27	90.14	211.31	241.19	236.21	297.17	223.41	169.07	246.28	620.67	108.9	947.83	728.11	409.15	1225.22	791.35	224.97	825.0	825.0	1340.84	1417.35	1427.22	723.08	1277.29
MUTYH	264.03	343.89	743.43	314.17	218.79	162.14	154.42	80.01	473.41	242.88	275.28	995.0	432.53	267.73	587.13	836.53	87.03	435.55	660.68	536.45	813.63	848.22	412.0	1044.52	674.59	988.12	785.88	713.11	842.36	802.41
MZF1	223.41	175.07	366.09	71.5	36.01	72.01	76.71	18.56	75.64	68.55	135.24	147.06	82.29	96.01	104.42	358.54	34.02	384.34	460.44	441.64	909.17	796.86	150.17	1167.14	476.71	743.43	796.86	571.05	629.35	1066.48
NAB2	836.53	358.54	1233.75	166.73	223.41	167.9	201.25	84.63	381.68	305.55	253.23	693.58	237.86	376.41	237.86	170.25	409.15	1427.22	1322.37	723.08	1477.58	2133.97	995.0	2451.44	1870.53	1781.89	2485.67	1088.92	1551.09	1388.16
NUMBL	153.34	63.89	1127.35	169.07	96.68	118.43	24.81	4.46	101.54	334.46	146.03	134.3	130.6	147.06	131.51	151.22	224.97	305.55	575.03	483.38	902.89	1023.0	226.54	866.07	426.57	718.08	1685.71	896.64	473.41	902.89
NXNL2	346.29	312.0	967.76	1.62	0.46	3.26	2.29	0.0	4.86	7.4	6.11	5.32	5.5	0.82	0.0	1.46	0.0	89.51	759.08	98.73	414.87	529.06	133.36	1457.23	373.81	1143.1	842.36	312.0	503.95	173.85
OGFR	563.18	466.88	1447.15	159.9	191.67	260.38	327.56	115.16	131.51	293.07	514.56	356.05	218.79	480.04	866.07	473.41	299.25	780.44	1950.0	1073.91	1923.14	1963.57	974.5	2573.36	1127.35	2609.3	1909.85	1015.93	1794.29	1467.37
OTUD5	642.59	679.29	988.12	285.03	251.48	395.18	361.04	205.5	466.88	260.38	490.14	438.59	514.56	420.68	518.15	860.08	341.51	1119.56	1159.07	1183.45	2240.11	1639.59	866.07	1639.59	1304.15	1572.76	1977.24	1159.07	1519.15	2739.08
OVGP1	11.82	24.99	947.83	11.91	8.92	7.94	14.14	120.94	34.26	74.58	35.76	15.91	12.45	24.99	71.0	397.93	3.0	48.52	1857.6	95.34	1388.16	371.22	25.54	988.12	511.0	3395.89	514.56	961.07	656.11	1350.18
PACS2	647.07	414.87	1487.87	389.72	312.0	201.25	212.78	173.85	563.18	791.35	327.56	571.05	708.18	400.71	265.87	703.28	209.84	954.43	1519.15	1059.11	1417.35	1794.29	620.67	2178.83	1397.83	2178.83	1350.18	1477.58	2018.8	1909.85
PCED1A	529.06	583.07	780.44	612.11	454.09	187.71	1572.76	743.43	507.46	497.0	981.29	450.94	532.74	591.22	872.1	819.3	172.65	759.08	934.76	825.0	1651.0	1819.35	441.64	2004.85	921.88	1844.76	1806.78	934.76	1498.22	1295.13
PCGF3	187.71	559.28	583.07	389.72	305.55	325.29	287.01	165.57	500.46	500.46	567.1	796.86	802.41	473.41	536.45	395.18	199.85	612.11	656.11	669.92	1081.39	409.15	145.02	1159.07	493.56	954.43	503.95	329.84	791.35	1037.29
PCIF1	860.08	947.83	1697.45	255.0	373.81	371.22	567.1	279.14	387.02	708.18	249.73	688.78	314.17	429.54	642.59	525.39	447.82	1388.16	1721.16	2004.85	1250.98	1870.53	1529.73	1883.54	995.0	2119.22	1745.2	1159.07	1427.22	1073.91
PHRF1	144.01	190.34	500.46	155.5	57.89	127.0	57.89	29.27	88.26	73.03	95.34	52.08	72.01	105.89	82.29	260.38	154.42	323.03	457.25	358.54	466.88	423.61	224.97	688.78	395.18	785.88	507.46	293.07	387.02	420.68
PIDD	56.28	161.02	293.07	269.6	89.51	68.07	58.3	127.0	145.02	114.36	122.64	164.42	111.99	102.97	181.28	299.25	35.76	183.82	384.34	356.05	629.35	483.38	103.69	738.29	214.27	438.59	289.02	269.6	305.55	307.69
PML	417.77	438.59	1369.04	567.1	551.56	236.21	289.02	279.14	1437.15	301.33	417.77	406.31	1388.16	848.22	409.15	595.34	395.18	1015.93	2224.63	1233.75	2956.17	2384.37	775.05	4704.07	1477.58	1883.54	1674.06	1088.92	2664.15	3589.58
PPOX	312.0	466.88	599.49	258.57	176.29	356.05	363.56	395.18	620.67	551.56	915.51	2520.38	289.02	429.54	1081.39	896.64	84.63	688.78	796.86	493.56	1350.18	1674.06	318.57	2119.22	693.58	909.17	1437.15	713.11	1437.15	1662.49
PRLHR	0.0	0.0	60.39	0.0	0.0	0.0	0.37	0.0	1.04	0.0	0.0	0.0	0.0	0.0	1.08	0.53	0.0	334.46	48.87	13.93	13.22	7.11	14.03	22.59	10.88	40.07	19.39	9.7	18.7	31.22
