	TCGA.EM.A4FV.01A.11R.A250.07	TCGA.EM.A3AQ.01A.11R.A20F.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A3TB.01A.11R.A22L.07	TCGA.BJ.A0Z5.01A.11R.A10U.07	TCGA.FY.A40K.01A.11R.A23N.07	TCGA.E8.A3X7.01A.11R.A22U.07	TCGA.DJ.A3UK.01A.11R.A22L.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.EL.A3CO.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EL.A3D4.01A.11R.A19O.07	TCGA.BJ.A2NA.01A.12R.A19O.07	TCGA.H2.A3RH.01A.11R.A220.07	TCGA.E3.A3E1.01A.11R.A20F.07	TCGA.DJ.A3UN.01A.11R.A22L.07	TCGA.DJ.A4UQ.01A.11R.A250.07	TCGA.FE.A237.01A.11R.A16R.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.GE.A2C6.01A.11R.A16R.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.CE.A3MD.01A.11R.A20F.07	TCGA.ET.A40S.01A.11R.A23N.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.CE.A13K.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DO.A1JZ.11A.11R.A13Y.07	GTEX.OIZH.2626.SM.2HMJM	GTEX.14ASI.0726.SM.5Q5DC	GTEX.14ABY.0926.SM.5Q5DY	GTEX.113JC.0126.SM.5EGJW	GTEX.SUCS.0226.SM.32PLQ	GTEX.WH7G.0526.SM.3NMBI	GTEX.1192X.1126.SM.5EGGU	GTEX.1399T.0126.SM.5KM15	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.131XH.0526.SM.5DUX7	GTEX.13FLV.0226.SM.5J2OF	GTEX.ZTX8.0626.SM.59HKC	GTEX.QDVJ.0226.SM.2I5FV	GTEX.12ZZZ.1226.SM.59HK1	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYFC.0926.SM.5GZWW	GTEX.OHPM.2626.SM.33HC5	GTEX.11EM3.0126.SM.5985K	GTEX.WHPG.0226.SM.3NMB9	GTEX.1313W.0726.SM.5EGK1	GTEX.11EQ9.0626.SM.5A5K1	GTEX.13QBU.0626.SM.5J2OG	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.1122O.0226.SM.5N9DA	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZZ64.0126.SM.5GZXA	GTEX.ZYFG.0626.SM.5GZYA	GTEX.111CU.0226.SM.5GZXC	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.13JVG.0926.SM.5IJE1	GTEX.P78B.0526.SM.2I5F7	GTEX.XUZC.0126.SM.4BOO6	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.132NY.1026.SM.5P9IY	GTEX.SJXC.0726.SM.2XCFJ	GTEX.VJYA.0426.SM.3GIJK	GTEX.11P7K.0226.SM.5986Z	GTEX.YEC3.0826.SM.4WWFP	GTEX.13FLW.0326.SM.5J2M4	GTEX.ZAK1.0726.SM.5HL8Q	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.PX3G.2626.SM.2I3EG	GTEX.OOBK.2626.SM.2HMKY	GTEX.12WSN.0726.SM.5GCMS	GTEX.11OF3.0626.SM.5BC4Y	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.1192W.0126.SM.5EGGS	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.OHPK.2626.SM.2HMK9	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.XGQ4.0426.SM.4AT4I	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.12WSJ.0326.SM.5GCMT	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.X8HC.0726.SM.46MWG	GTEX.VUSG.0426.SM.3GIKD	GTEX.ZVZP.1026.SM.5GICI	GTEX.S4P3.0226.SM.3K2BD	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.Z9EW.0226.SM.5CVM7	GTEX.111FC.1026.SM.5GZX1
ARSK	58.71	45.21	50.98	50.98	64.34	57.08	35.0	70.51	63.45	62.56	73.03	64.34	59.13	36.01	61.25	61.25	81.71	74.58	57.49	100.13	51.35	59.55	50.27	67.12	84.04	50.98	69.52	47.17	54.72	56.68	50.63	133.36	191.67	172.65	198.47	69.03	119.26	145.02	153.34	157.68	94.67	92.05	175.07	124.37	108.9	63.0	198.47	163.28	106.63	293.07	94.01	104.42	126.12	116.78	78.34	94.67	170.25	81.14	169.07	90.14	149.12	98.04	104.42	151.22	98.73	149.12	94.67	107.38	155.5	124.37	120.1	68.55	100.13	131.51	173.85	167.9	95.34	90.14	141.02	92.7	125.24	204.07	94.67	105.89	118.43	198.47	140.04	135.24	116.78	106.63	104.42	142.01	73.54	107.38	183.82	90.14	126.12	127.89	108.9	146.03	118.43	94.01	209.84	126.12	126.12	112.77	120.1	97.36	121.79	178.77	115.16	137.14
ASAH1	4607.24	5995.9	3794.3	5831.91	6471.02	5255.91	6745.86	4836.35	5872.48	5479.15	7537.18	5517.27	5995.9	6471.02	5219.6	7966.99	11189.6	8840.04	5872.48	6887.62	5479.15	5366.37	5147.73	3820.7	4972.34	4736.79	5711.87	5995.9	6652.97	6250.56	5441.3	8022.41	14461.21	16843.62	17558.94	7485.11	10154.69	12676.65	16045.82	19482.97	7911.95	10296.45	21768.19	13123.73	10733.74	8718.32	20737.16	14867.79	9808.75	21617.82	8963.45	11992.79	10154.69	8963.45	10585.95	8598.28	12415.75	9151.82	9876.98	10659.59	14561.8	12589.08	10296.45	13586.57	11424.74	15392.14	16960.78	11584.24	11992.79	11035.54	16611.71	11189.6	14765.09	10733.74	19892.37	15075.35	8598.28	8963.45	21919.61	8363.13	11909.94	17317.18	9215.48	7433.4	11584.24	18950.18	18304.63	10296.45	12329.98	11035.54	10296.45	15180.22	4419.52	8963.45	13399.51	10440.2	15499.21	13123.73	6471.02	10808.41	15824.9	7331.05	17558.94	12676.65	10585.95	11909.94	12502.12	8901.53	13681.08	18431.96	9215.48	14461.21
ASXL3	4.21	1.41	0.78	3.96	0.79	5.45	0.79	6.57	2.86	2.2	19.97	5.11	0.0	1.43	4.17	2.2	5.11	3.14	5.77	8.45	2.48	3.5	0.77	1.14	8.06	1.81	7.34	2.86	2.39	3.26	2.12	60.39	59.55	52.08	26.86	54.33	22.59	102.25	77.79	52.08	18.16	38.67	52.45	170.25	65.26	31.22	107.38	135.24	54.33	127.0	32.13	38.95	102.97	36.79	22.1	131.51	56.28	25.54	68.07	28.24	111.21	88.88	29.7	16.15	15.34	27.44	31.22	41.81	27.44	58.71	34.26	37.85	44.89	72.01	66.65	52.82	54.72	20.86	169.07	20.11	66.65	46.84	70.01	13.93	50.27	40.64	15.0	19.25	110.43	20.26	46.5	65.26	48.18	16.27	53.19	94.67	44.89	41.81	58.3	8.06	26.86	13.12	42.41	42.11	133.36	23.08	22.75	4.9	40.93	100.83	74.58	74.06
ATF2	438.59	348.71	395.18	283.05	353.59	403.5	217.27	426.57	351.14	420.68	473.41	358.54	417.77	325.29	242.88	403.5	406.31	392.44	361.04	493.56	392.44	420.68	432.53	466.88	420.68	409.15	363.56	264.03	363.56	389.72	387.02	624.99	684.02	579.04	896.64	551.56	480.04	718.08	525.39	698.41	518.15	647.07	753.83	785.88	583.07	532.74	825.0	1023.0	629.35	1073.91	518.15	679.29	567.1	529.06	529.06	521.76	796.86	563.18	518.15	435.55	647.07	543.96	559.28	536.45	514.56	500.46	518.15	620.67	703.28	529.06	579.04	525.39	497.0	571.05	1037.29	1001.93	543.96	483.38	551.56	555.41	532.74	728.11	665.29	518.15	638.15	961.07	591.22	599.49	607.87	511.0	595.34	660.68	444.72	753.83	698.41	579.04	563.18	638.15	540.19	551.56	575.03	507.46	688.78	547.75	665.29	713.11	571.05	665.29	575.03	738.29	693.58	743.43
ATG5	417.77	353.59	307.69	366.09	327.56	281.09	312.0	339.14	309.83	368.65	450.94	348.71	420.68	387.02	279.14	420.68	414.87	423.61	334.46	389.72	366.09	414.87	336.79	281.09	406.31	318.57	307.69	295.11	341.51	341.51	420.68	348.71	400.71	511.0	607.87	281.09	389.72	463.65	435.55	507.46	417.77	395.18	514.56	480.04	379.04	403.5	603.67	567.1	567.1	612.11	432.53	420.68	473.41	358.54	353.59	387.02	514.56	392.44	379.04	348.71	543.96	435.55	379.04	358.54	457.25	395.18	400.71	463.65	457.25	435.55	547.75	389.72	466.88	417.77	607.87	575.03	346.29	435.55	518.15	395.18	384.34	567.1	395.18	387.02	376.41	642.59	480.04	457.25	503.95	379.04	392.44	389.72	327.56	397.93	500.46	429.54	470.14	429.54	363.56	470.14	392.44	403.5	599.49	373.81	460.44	476.71	480.04	525.39	460.44	559.28	463.65	551.56
ATP6V1H	1208.34	909.17	967.76	1088.92	1477.58	915.51	1277.29	1088.92	1286.18	1096.5	1233.75	1051.79	1008.9	1216.75	1183.45	1259.69	1322.37	1340.84	1059.11	1081.39	1151.06	1001.93	1051.79	890.44	1250.98	1111.82	884.29	1340.84	854.13	1111.82	961.07	1268.46	1963.57	1909.85	1628.26	915.51	1769.57	1605.83	1617.0	1794.29	1447.15	1322.37	2075.59	1733.13	1806.78	2119.22	2018.8	2351.53	1662.49	2609.3	1594.73	1487.87	1477.58	1167.14	1721.16	1883.54	1870.53	1487.87	1447.15	2075.59	1923.14	1639.59	1487.87	1662.49	1417.35	1250.98	1467.37	1745.2	1350.18	1259.69	2119.22	1208.34	1781.89	1923.14	2032.85	1639.59	1268.46	1870.53	1378.57	1447.15	1572.76	1191.69	1437.15	1508.65	1832.01	1685.71	2178.83	1427.22	1331.57	1583.71	1583.71	1467.37	1508.65	1508.65	1295.13	1286.18	2032.85	1583.71	1883.54	2178.83	1745.2	1167.14	1551.09	1697.45	1870.53	1340.84	1769.57	1250.98	1191.69	1806.78	1651.0	1733.13
B3GALNT1	231.32	100.13	228.13	301.33	173.85	211.31	191.67	265.87	279.14	232.94	476.71	275.28	303.44	194.36	125.24	450.94	332.14	325.29	108.9	356.05	237.86	221.86	161.02	153.34	224.97	104.42	256.78	224.97	260.38	211.31	379.04	638.15	540.19	928.3	1175.27	339.14	551.56	514.56	579.04	890.44	529.06	450.94	928.3	571.05	543.96	318.57	1015.93	703.28	718.08	890.44	412.0	679.29	854.13	389.72	318.57	334.46	521.76	392.44	607.87	403.5	981.29	764.36	540.19	483.38	483.38	647.07	529.06	368.65	651.58	551.56	934.76	703.28	563.18	808.0	967.76	1295.13	529.06	389.72	1216.75	551.56	616.37	1081.39	651.58	563.18	463.65	915.51	480.04	616.37	796.86	679.29	555.41	583.07	400.71	435.55	629.35	473.41	514.56	389.72	547.75	412.0	633.73	457.25	921.88	616.37	503.95	563.18	409.15	371.22	536.45	1008.9	470.14	915.51
BCKDHB	187.71	135.24	161.02	180.02	204.07	193.01	146.03	199.85	170.25	190.34	244.57	208.38	226.54	195.72	104.42	231.32	228.13	166.73	146.03	223.41	189.02	206.94	228.13	121.79	190.34	208.38	130.6	152.28	151.22	202.66	234.57	339.14	264.03	435.55	432.53	297.17	358.54	358.54	309.83	397.93	267.73	346.29	387.02	387.02	329.84	212.78	470.14	454.09	417.77	403.5	339.14	312.0	346.29	289.02	291.04	289.02	341.51	269.6	343.89	258.57	397.93	389.72	275.28	400.71	316.37	273.37	275.28	299.25	249.73	289.02	441.64	307.69	381.68	395.18	514.56	318.57	273.37	316.37	444.72	323.03	379.04	348.71	356.05	248.0	267.73	490.14	518.15	490.14	381.68	339.14	320.8	316.37	332.14	293.07	327.56	332.14	361.04	384.34	249.73	265.87	376.41	229.72	346.29	403.5	275.28	346.29	312.0	187.71	376.41	409.15	351.14	395.18
BCL2	198.47	81.14	118.43	159.9	154.42	127.89	102.97	102.97	166.73	165.57	334.46	118.43	141.02	177.53	181.28	176.29	381.68	221.86	127.0	189.02	129.69	167.9	112.77	96.68	134.3	101.54	98.04	102.97	102.97	135.24	93.35	713.11	1397.83	1081.39	1883.54	457.25	813.63	1277.29	555.41	629.35	656.11	915.51	1304.15	1295.13	748.61	595.34	995.0	1331.57	836.53	2104.58	480.04	551.56	890.44	476.71	511.0	915.51	1322.37	412.0	753.83	409.15	638.15	825.0	708.18	603.67	511.0	679.29	381.68	529.06	1857.6	909.17	941.27	703.28	842.36	934.76	1896.65	1745.2	902.89	470.14	780.44	890.44	1104.13	1151.06	915.51	995.0	612.11	1159.07	688.78	507.46	802.41	836.53	624.99	934.76	368.65	808.0	1304.15	400.71	733.19	915.51	387.02	624.99	995.0	384.34	769.69	493.56	638.15	830.75	669.92	237.86	1233.75	1605.83	1199.98	1191.69
C11orf74	309.83	371.22	323.03	457.25	275.28	305.55	420.68	376.41	480.04	297.17	921.88	341.51	414.87	454.09	567.1	281.09	429.54	409.15	376.41	529.06	285.03	435.55	327.56	283.05	283.05	395.18	514.56	389.72	297.17	460.44	301.33	2090.03	5517.27	5255.91	2758.13	1757.34	2520.38	3124.78	3060.45	2816.11	2240.11	2816.11	2485.67	1977.24	3614.55	3235.01	4095.0	4152.18	2997.45	5594.3	825.0	1225.22	2645.74	629.35	2664.15	2627.46	2573.36	1594.73	2664.15	2468.49	3018.3	1051.79	1175.27	2485.67	1051.79	2816.11	4010.71	1757.34	3467.27	4903.87	5995.9	2178.83	1540.37	1498.22	3982.99	2664.15	1037.29	2915.45	3614.55	1561.89	1617.0	4972.34	1819.35	1651.0	2468.49	6121.9	2209.26	1721.16	1359.57	1844.76	1015.93	1674.06	1583.71	1417.35	3349.13	819.3	2434.5	2555.58	3395.89	3235.01	2875.3	633.73	2367.9	1844.76	2835.7	3419.52	2816.11	1508.65	1806.78	4181.07	3395.89	3716.2
C12orf23	571.05	432.53	463.65	460.44	525.39	529.06	400.71	559.28	521.76	679.29	902.89	551.56	547.75	583.07	457.25	629.35	503.95	575.03	409.15	674.59	497.0	679.29	543.96	555.41	616.37	555.41	387.02	389.72	521.76	603.67	656.11	854.13	1119.56	890.44	1191.69	1167.14	536.45	981.29	836.53	1427.22	780.44	866.07	974.5	1233.75	733.19	842.36	1277.29	1088.92	1277.29	1175.27	791.35	848.22	848.22	785.88	620.67	802.41	947.83	825.0	665.29	796.86	961.07	860.08	842.36	825.0	708.18	591.22	902.89	1322.37	967.76	1322.37	878.17	1037.29	825.0	954.43	1286.18	1268.46	684.02	607.87	1111.82	884.29	808.0	1104.13	1051.79	902.89	791.35	1583.71	1073.91	1023.0	860.08	656.11	878.17	1477.58	693.58	1119.56	1015.93	1001.93	1104.13	954.43	848.22	656.11	954.43	769.69	1081.39	921.88	872.1	769.69	808.0	753.83	612.11	1015.93	830.75	1051.79
C14orf64	37.32	18.43	26.1	35.0	17.13	23.76	18.43	25.17	22.59	37.59	57.49	20.26	24.63	27.44	17.64	14.35	43.63	27.64	16.88	18.97	21.01	26.86	14.24	17.77	26.67	24.63	24.11	14.14	13.22	19.39	23.59	80.01	141.02	289.02	241.19	7.88	61.68	102.25	104.42	94.01	83.45	96.01	220.32	127.89	123.5	12.27	134.3	218.79	127.0	169.07	26.67	141.02	164.42	80.57	78.89	58.3	88.88	53.57	89.51	73.54	142.01	91.41	59.55	98.04	42.11	77.79	53.19	149.12	120.1	35.5	189.02	49.21	110.43	204.07	217.27	96.68	94.67	76.71	285.03	158.79	97.36	96.68	190.34	26.1	88.88	152.28	147.06	258.57	155.5	115.16	80.57	110.43	37.05	74.06	80.01	50.27	108.14	118.43	77.79	105.15	151.22	15.56	73.03	102.97	92.7	66.65	120.1	67.59	144.01	127.89	48.18	217.27
C4orf27	521.76	432.53	525.39	514.56	409.15	368.65	444.72	490.14	348.71	470.14	547.75	551.56	536.45	466.88	379.04	435.55	432.53	435.55	473.41	447.82	334.46	490.14	406.31	356.05	540.19	647.07	575.03	447.82	406.31	371.22	532.74	339.14	559.28	529.06	651.58	229.72	511.0	629.35	470.14	532.74	363.56	438.59	555.41	470.14	493.56	395.18	532.74	718.08	642.59	769.69	417.77	579.04	603.67	441.64	470.14	432.53	543.96	540.19	463.65	511.0	624.99	575.03	392.44	503.95	473.41	457.25	435.55	432.53	500.46	473.41	743.43	497.0	536.45	583.07	759.08	698.41	348.71	547.75	647.07	420.68	463.65	698.41	507.46	432.53	551.56	684.02	540.19	591.22	460.44	473.41	450.94	429.54	460.44	525.39	518.15	486.75	521.76	507.46	575.03	500.46	607.87	486.75	733.19	518.15	633.73	599.49	507.46	444.72	540.19	688.78	409.15	567.1
CBX5	384.34	339.14	297.17	309.83	483.38	332.14	295.11	371.22	376.41	348.71	361.04	361.04	305.55	301.33	293.07	417.77	373.81	444.72	361.04	356.05	460.44	432.53	384.34	460.44	325.29	389.72	293.07	285.03	406.31	273.37	314.17	642.59	825.0	511.0	728.11	476.71	417.77	555.41	343.89	571.05	447.82	629.35	579.04	540.19	651.58	371.22	473.41	698.41	571.05	642.59	366.09	532.74	371.22	406.31	381.68	406.31	521.76	373.81	470.14	571.05	518.15	607.87	426.57	511.0	299.25	363.56	279.14	466.88	764.36	540.19	591.22	414.87	507.46	595.34	896.64	819.3	387.02	420.68	532.74	518.15	460.44	441.64	1030.12	547.75	373.81	665.29	536.45	457.25	567.1	406.31	486.75	540.19	483.38	638.15	476.71	417.77	470.14	529.06	463.65	346.29	529.06	417.77	759.08	540.19	412.0	470.14	532.74	323.03	518.15	567.1	503.95	575.03
CCDC160	1.73	0.35	2.84	0.58	0.4	2.36	0.68	1.97	0.11	0.11	7.94	5.36	1.13	2.46	3.89	2.41	2.68	1.25	0.36	3.66	2.07	2.14	0.0	2.34	4.13	0.38	12.45	0.39	0.0	0.61	3.63	2.23	12.93	3.76	10.71	1.68	3.92	10.0	3.89	13.22	6.16	3.99	13.93	1.71	9.48	1.31	7.75	31.67	1.66	30.56	6.46	12.09	8.51	3.14	5.87	7.11	12.36	1.75	12.83	5.19	10.96	11.38	0.0	1.77	4.9	3.53	4.21	4.13	5.41	4.28	4.82	5.73	12.45	8.92	20.86	7.82	4.43	2.84	11.04	3.38	9.34	26.67	2.58	7.06	1.71	15.45	15.22	9.34	5.92	9.48	7.75	4.94	2.68	5.59	10.16	6.26	6.67	8.85	6.16	9.34	1.73	1.62	19.97	10.08	19.82	4.21	1.2	1.22	10.63	7.34	0.0	5.54
CCDC51	229.72	177.53	206.94	275.28	214.27	157.68	212.78	204.07	246.28	178.77	201.25	198.47	193.01	180.02	217.27	249.73	228.13	248.0	248.0	251.48	212.78	211.31	142.01	186.4	197.09	231.32	217.27	271.48	161.02	166.73	255.0	165.57	336.79	432.53	361.04	258.57	429.54	323.03	432.53	500.46	265.87	371.22	348.71	368.65	323.03	293.07	277.2	361.04	190.34	363.56	283.05	312.0	271.48	281.09	303.44	368.65	348.71	279.14	493.56	351.14	348.71	387.02	234.57	387.02	271.48	441.64	264.03	241.19	387.02	348.71	466.88	277.2	279.14	334.46	265.87	371.22	232.94	305.55	447.82	231.32	299.25	314.17	303.44	325.29	397.93	403.5	392.44	297.17	283.05	318.57	241.19	223.41	320.8	173.85	295.11	318.57	316.37	412.0	376.41	371.22	579.04	215.77	244.57	279.14	351.14	346.29	241.19	262.2	429.54	412.0	366.09	325.29
CCDC90B	723.08	743.43	830.75	884.29	728.11	842.36	884.29	830.75	802.41	796.86	808.0	759.08	961.07	884.29	733.19	896.64	915.51	981.29	738.29	842.36	753.83	1001.93	954.43	909.17	872.1	780.44	1096.5	854.13	633.73	836.53	884.29	813.63	1030.12	1467.37	1407.55	607.87	775.05	934.76	1127.35	1259.69	988.12	928.3	1277.29	967.76	872.1	1111.82	1417.35	1437.15	1175.27	1378.57	1044.52	1322.37	1295.13	713.11	890.44	825.0	1331.57	808.0	848.22	860.08	1437.15	1216.75	915.51	866.07	967.76	1066.48	954.43	981.29	1051.79	780.44	1540.37	780.44	884.29	1081.39	1697.45	1378.57	759.08	902.89	1051.79	1001.93	860.08	1605.83	1119.56	915.51	961.07	1594.73	1030.12	1250.98	1030.12	759.08	890.44	1119.56	698.41	1051.79	947.83	854.13	878.17	1127.35	808.0	1081.39	941.27	723.08	1519.15	884.29	921.88	1037.29	1233.75	1304.15	1073.91	1359.57	974.5	1508.65
CD164	4038.61	3257.52	3540.14	2609.3	3794.3	3639.7	2816.11	3639.7	3540.14	4607.24	4123.49	3491.39	3794.3	3419.52	2224.63	3955.48	5292.48	4836.35	3235.01	4543.8	3491.39	3515.68	3820.7	3349.13	3742.05	3419.52	4268.94	2915.45	3564.78	3190.46	3614.55	4903.87	6516.03	8305.36	10659.59	5076.84	4512.4	5441.3	5872.48	6652.97	5366.37	4972.34	7857.29	5954.47	5831.91	4419.52	9409.14	8078.22	6121.9	10296.45	5751.61	6164.49	4937.99	3928.15	4388.98	4802.93	6471.02	4450.27	4268.94	3742.05	7331.05	6607.01	5076.84	4388.98	5112.16	5913.33	5594.3	5791.62	6121.9	4802.93	10733.74	4450.27	4639.29	5441.3	13123.73	7537.18	4181.07	4095.0	7032.37	4210.15	5112.16	10659.59	5183.54	4903.87	5147.73	11345.82	6561.36	5112.16	5913.33	5183.54	5555.65	5711.87	3515.68	5831.91	6294.04	4210.15	4736.79	6337.83	3820.7	5555.65	5594.3	3614.55	8305.36	4419.52	5403.7	6294.04	6516.03	5672.41	6426.31	9540.5	5441.3	7180.15
CDH1	3349.13	1991.0	3395.89	3190.46	2303.12	3168.41	2664.15	2875.3	3103.19	2758.13	2701.35	3349.13	2255.7	3419.52	785.88	3742.05	3419.52	3847.29	4181.07	3443.31	3303.0	3614.55	2835.7	2645.74	2555.58	1685.71	3515.68	2609.3	2367.9	4210.15	3955.48	7081.29	7537.18	7230.1	8022.41	5555.65	3443.31	5517.27	4239.45	4239.45	5255.91	4543.8	5147.73	6792.79	5403.7	3257.52	5479.15	5711.87	4671.57	5954.47	4095.0	4512.4	4328.55	3515.68	3419.52	3614.55	5872.48	3564.78	5076.84	5672.41	6983.79	4543.8	4769.75	5041.77	3742.05	4095.0	4181.07	3564.78	6699.25	5831.91	5183.54	4298.64	4066.71	5517.27	7433.4	8598.28	4095.0	5329.3	5517.27	2956.17	4450.27	5831.91	7433.4	5219.6	3742.05	4869.99	4769.75	6037.61	4181.07	4869.99	4481.23	5403.7	2935.74	5219.6	6516.03	4671.57	4419.52	5183.54	6381.92	5147.73	5403.7	2255.7	4802.93	5112.16	4210.15	4512.4	4152.18	2875.3	5633.22	6935.54	3901.01	4607.24
CDS1	346.29	255.0	291.04	339.14	532.74	279.14	414.87	435.55	460.44	514.56	412.0	409.15	289.02	279.14	236.21	595.34	490.14	486.75	205.5	381.68	371.22	299.25	275.28	323.03	312.0	249.73	329.84	307.69	256.78	420.68	400.71	447.82	703.28	647.07	842.36	540.19	493.56	723.08	575.03	607.87	813.63	595.34	693.58	591.22	480.04	460.44	825.0	669.92	480.04	1175.27	665.29	607.87	444.72	543.96	441.64	358.54	854.13	629.35	656.11	457.25	587.13	733.19	713.11	567.1	518.15	412.0	497.0	753.83	500.46	490.14	620.67	473.41	559.28	638.15	872.1	775.05	450.94	642.59	718.08	493.56	723.08	819.3	384.34	486.75	521.76	738.29	813.63	909.17	563.18	587.13	769.69	718.08	379.04	651.58	934.76	575.03	728.11	802.41	571.05	518.15	684.02	406.31	967.76	733.19	703.28	470.14	571.05	540.19	480.04	733.19	679.29	638.15
CHCHD3	759.08	753.83	679.29	819.3	1119.56	665.29	1008.9	791.35	967.76	693.58	802.41	723.08	775.05	796.86	921.88	1008.9	698.41	1447.15	915.51	718.08	1096.5	743.43	688.78	825.0	764.36	728.11	669.92	1159.07	629.35	842.36	698.41	796.86	1250.98	1437.15	1216.75	476.71	1008.9	1250.98	1191.69	981.29	1066.48	1073.91	1447.15	860.08	1081.39	878.17	1508.65	1151.06	1135.2	1467.37	1081.39	961.07	974.5	1023.0	921.88	728.11	1167.14	830.75	1369.04	1487.87	1242.34	1008.9	1167.14	1111.82	1268.46	854.13	860.08	748.61	1268.46	1023.0	1250.98	884.29	1467.37	878.17	1417.35	1191.69	934.76	941.27	1268.46	967.76	1127.35	1304.15	902.89	1369.04	825.0	988.12	1225.22	1331.57	769.69	1096.5	1208.34	860.08	1008.9	1104.13	1417.35	1023.0	1350.18	974.5	1304.15	1225.22	1111.82	693.58	1191.69	1467.37	842.36	878.17	1015.93	995.0	941.27	1250.98	1295.13	1119.56
CLCN4	69.52	56.28	41.22	66.65	80.01	58.71	62.12	98.04	102.97	73.54	61.68	65.72	73.54	65.72	74.58	82.29	86.43	92.05	77.79	78.89	87.65	88.26	62.12	84.63	73.03	73.54	63.0	53.19	94.01	87.03	63.89	199.85	169.07	182.55	159.9	52.08	130.6	173.85	142.01	107.38	148.09	159.9	156.59	116.78	122.64	127.0	228.13	178.77	111.99	223.41	133.36	141.02	146.03	139.07	100.13	112.77	169.07	100.83	201.25	140.04	202.66	159.9	138.1	120.94	95.34	120.94	74.06	96.68	232.94	141.02	146.03	114.36	164.42	139.07	167.9	237.86	117.6	120.1	140.04	94.67	189.02	167.9	154.42	158.79	108.9	145.02	139.07	169.07	114.36	159.9	131.51	169.07	88.88	141.02	162.14	103.69	165.57	164.42	152.28	99.43	143.01	57.89	157.68	164.42	164.42	86.43	112.77	106.63	138.1	166.73	177.53	172.65
CLDN8	177.53	65.72	150.17	98.73	109.66	54.72	236.21	39.79	135.24	105.15	104.42	232.94	31.0	101.54	34.02	297.17	125.24	269.6	162.14	244.57	71.0	134.3	130.6	71.5	55.89	68.07	49.21	166.73	41.52	149.12	155.5	204.07	2004.85	486.75	915.51	59.97	796.86	1277.29	947.83	866.07	514.56	579.04	1037.29	423.61	769.69	125.24	791.35	1286.18	226.54	3280.18	206.94	642.59	366.09	267.73	400.71	289.02	1037.29	480.04	547.75	624.99	224.97	397.93	297.17	599.49	511.0	389.72	176.29	307.69	525.39	473.41	486.75	341.51	995.0	1096.5	866.07	332.14	358.54	974.5	738.29	327.56	954.43	1059.11	279.14	403.5	808.0	486.75	1304.15	796.86	293.07	237.86	432.53	392.44	137.14	312.0	1268.46	476.71	830.75	1066.48	1119.56	934.76	1769.57	209.84	1427.22	1008.9	1242.34	403.5	384.34	96.68	529.06	638.15	447.82	1023.0
