	GTEX.S7SE.0926.SM.2XCD6	GTEX.SIU8.0926.SM.5SI87	TCGA.E8.A2JQ.11A.11R.A180.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.14ABY.0926.SM.5Q5DY	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.13QBU.0626.SM.5J2OG	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.11EQ8.0826.SM.5N9FG	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.T2IS.0626.SM.32QP6	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.ZVZP.1026.SM.5GICI
ARRB2	1991.0	6121.9	1286.18	1651.0	1023.0	808.0	348.71	400.71	295.11	258.57	318.57	301.33	633.73	941.27	1529.73	497.0	1051.79	532.74	426.57	387.02	265.87	420.68	255.0	563.18	161.02	173.85	211.31	463.65
BCL11B	339.14	87.65	87.65	107.38	77.79	61.68	46.18	30.12	2.1	14.35	29.48	15.45	32.36	217.27	166.73	8.38	34.26	53.95	22.26	60.39	26.1	17.0	19.11	8.71	23.42	21.47	15.11	15.34
BIN2	848.22	540.19	500.46	616.37	417.77	299.25	138.1	70.51	7.22	15.56	31.67	37.32	127.0	624.99	172.65	90.14	98.73	108.14	43.63	165.57	18.97	75.11	29.27	63.89	9.41	10.16	24.81	79.45
BTLA	166.73	46.84	166.73	182.55	191.67	104.42	63.89	4.39	3.5	0.99	8.38	4.54	11.47	172.65	43.94	0.51	15.11	30.34	19.53	78.34	4.39	14.78	34.51	0.99	0.0	11.64	0.55	0.54
BTN3A1	4181.07	1378.57	1378.57	1242.34	995.0	878.17	579.04	231.32	73.03	172.65	173.85	187.71	587.13	1407.55	412.0	309.83	466.88	414.87	409.15	764.36	127.89	299.25	158.79	293.07	142.01	79.45	130.6	102.25
BTN3A2	6207.38	1605.83	2367.9	1991.0	1697.45	1111.82	802.41	476.71	95.34	127.89	291.04	249.73	1030.12	1923.14	1104.13	536.45	486.75	1066.48	620.67	633.73	251.48	559.28	244.57	525.39	120.94	96.68	262.2	232.94
BTN3A3	3665.02	1417.35	1268.46	1183.45	934.76	780.44	500.46	361.04	145.02	143.01	224.97	246.28	660.68	1030.12	1037.29	346.29	429.54	490.14	406.31	775.05	158.79	325.29	134.3	361.04	253.23	124.37	204.07	157.68
C16orf54	791.35	114.36	141.02	157.68	117.6	80.57	24.11	18.29	1.53	4.43	11.3	5.28	29.91	262.2	74.58	8.45	18.7	63.0	7.28	43.63	8.19	19.97	4.46	5.92	3.59	6.06	10.47	10.24
C5orf56	842.36	1143.1	507.46	642.59	387.02	457.25	389.72	299.25	217.27	183.82	194.36	271.48	486.75	616.37	620.67	444.72	555.41	285.03	346.29	444.72	256.78	289.02	291.04	329.84	202.66	180.02	241.19	244.57
CARD11	1008.9	327.56	255.0	329.84	183.82	147.06	63.45	27.25	15.34	3.96	20.71	15.34	94.67	693.58	197.09	43.02	80.57	117.6	37.32	57.89	2.32	15.45	3.99	30.56	1.43	4.06	4.54	10.47
CARD16	2997.45	4869.99	785.88	1088.92	525.39	525.39	483.38	113.56	76.17	139.07	136.19	152.28	368.65	387.02	780.44	473.41	674.59	339.14	187.71	723.08	166.73	116.78	100.13	215.77	49.91	209.84	102.25	113.56
CASP1	2178.83	4010.71	651.58	1044.52	518.15	493.56	183.82	137.14	34.26	100.13	84.04	110.43	159.9	503.95	1350.18	232.94	239.52	253.23	111.21	417.77	98.73	126.12	55.1	122.64	33.3	60.39	66.65	120.1
CCDC88B	2400.97	1662.49	656.11	1225.22	543.96	638.15	218.79	148.09	67.59	90.77	115.97	94.01	387.02	1044.52	902.89	171.45	312.0	205.5	166.73	242.88	100.83	172.65	55.1	151.22	59.13	127.89	50.27	117.6
CCR2	543.96	95.34	178.77	379.04	112.77	86.43	38.67	43.94	0.48	13.03	14.89	7.94	56.28	194.36	127.89	11.21	24.63	62.56	16.63	68.07	6.31	43.63	17.25	10.55	6.62	12.36	11.55	39.79
CCR5	1023.0	309.83	126.12	201.25	139.07	80.01	18.97	30.78	3.5	22.43	26.67	8.19	58.71	246.28	144.01	8.45	29.06	37.32	14.67	100.13	5.54	44.89	16.03	7.34	10.08	8.25	8.92	23.59
CD101	624.99	2148.82	72.52	138.1	35.76	37.32	14.35	15.45	14.78	10.0	15.68	3.03	15.0	49.56	142.01	7.28	48.87	40.36	8.51	35.76	27.84	10.08	5.41	8.32	6.21	23.59	21.63	31.45
CD2	4972.34	1096.5	872.1	902.89	665.29	426.57	128.79	94.01	9.41	19.53	64.8	31.45	289.02	1583.71	941.27	31.45	82.29	353.59	78.34	728.11	43.32	147.06	43.94	111.99	23.93	46.18	30.78	88.26
CD226	173.85	126.12	58.3	85.22	66.18	55.89	14.56	10.71	2.27	6.26	4.35	12.64	14.24	51.71	33.06	22.75	35.25	21.94	2.23	25.72	5.32	12.0	3.82	22.43	15.34	4.1	11.38	26.47
CD247	743.43	642.59	620.67	693.58	493.56	323.03	164.42	26.47	17.0	20.11	30.34	24.81	190.34	647.07	325.29	144.01	211.31	102.25	74.58	167.9	10.79	64.34	30.56	113.56	3.5	15.91	16.27	25.17
CD37	17197.56	23330.64	3820.7	3768.09	2351.53	1963.57	733.19	165.57	62.56	74.58	126.12	122.64	688.78	6887.62	896.64	181.28	703.28	878.17	180.02	753.83	45.53	248.0	163.28	314.17	28.04	32.82	98.73	183.82
CD3D	2720.15	1388.16	1135.2	1159.07	915.51	563.18	376.41	85.22	11.04	21.16	48.87	40.07	265.87	2701.35	928.3	44.25	185.11	329.84	159.9	684.02	25.72	209.84	18.84	193.01	4.31	48.18	22.26	16.51
CD3E	6840.04	1407.55	1674.06	1963.57	1350.18	780.44	387.02	164.42	13.32	24.63	127.0	51.35	563.18	3235.01	2104.58	111.21	353.59	775.05	199.85	718.08	51.71	143.01	60.82	224.97	18.56	62.12	68.07	85.22
CD3G	928.3	293.07	244.57	289.02	264.03	125.24	43.02	64.34	2.81	3.23	19.82	64.8	57.49	438.59	162.14	10.63	50.27	91.41	38.67	171.45	12.64	8.71	13.72	36.01	0.46	51.35	8.06	25.91
CD48	7230.1	1963.57	1498.22	1745.2	1359.57	743.43	486.75	77.25	25.17	12.09	52.45	31.0	463.65	2119.22	1104.13	120.1	289.02	603.67	101.54	723.08	22.26	170.25	33.78	180.02	14.03	16.39	34.75	95.34
CD53	5594.3	7589.61	3491.39	3060.45	2915.45	1487.87	444.72	356.05	85.22	95.34	162.14	156.59	318.57	2178.83	1081.39	241.19	514.56	638.15	150.17	473.41	87.65	320.8	167.9	239.52	58.3	82.87	126.12	329.84
CD6	961.07	647.07	463.65	579.04	351.14	265.87	78.34	23.59	10.47	13.83	29.27	28.24	111.99	836.53	246.28	29.91	68.55	103.69	41.52	161.02	6.89	49.91	21.94	76.17	3.03	6.94	11.3	11.47
CD69	2434.5	1216.75	511.0	1350.18	1437.15	1369.04	312.0	76.17	8.78	31.9	90.14	85.82	432.53	353.59	26.67	86.43	397.93	69.52	255.0	148.09	20.86	133.36	50.98	234.57	8.19	19.39	20.86	74.06
CD7	769.69	1159.07	753.83	808.0	525.39	463.65	111.21	71.0	28.65	29.27	43.63	8.25	299.25	769.69	320.8	185.11	397.93	189.02	97.36	201.25	11.91	58.3	29.91	202.66	6.89	63.45	16.75	21.94
CD8A	1167.14	1225.22	583.07	511.0	463.65	381.68	208.38	122.64	16.39	29.7	175.07	102.97	267.73	547.75	988.12	118.43	521.76	483.38	84.63	320.8	59.97	73.54	162.14	351.14	22.75	90.14	57.49	30.78
CD8B	1066.48	283.05	325.29	368.65	189.02	147.06	45.21	44.25	3.86	22.43	45.85	46.84	183.82	356.05	363.56	13.42	111.21	232.94	74.06	95.34	34.75	14.35	50.98	107.38	8.06	25.91	23.42	0.15
CD96	819.3	532.74	297.17	397.93	323.03	217.27	241.19	49.21	35.25	19.68	96.01	70.01	181.28	334.46	202.66	39.22	197.09	92.7	98.73	206.94	55.49	51.35	26.67	189.02	90.14	50.98	70.51	81.71
CIITA	2502.97	1519.15	819.3	1037.29	493.56	551.56	127.0	63.0	8.99	21.63	49.56	39.5	265.87	967.76	1378.57	166.73	265.87	152.28	73.03	312.0	10.63	41.22	44.57	150.17	24.81	20.71	45.21	27.05
CLEC10A	1883.54	1051.79	218.79	819.3	275.28	301.33	26.1	30.34	0.48	32.82	8.38	24.63	153.34	412.0	256.78	53.19	116.78	309.83	22.1	166.73	13.72	44.57	18.43	105.15	5.23	10.31	3.86	40.36
CLEC12A	928.3	2645.74	50.98	67.59	63.45	76.17	15.0	17.13	9.34	10.47	15.0	4.9	25.91	18.56	56.68	2.66	43.63	25.17	26.47	55.49	4.74	14.89	3.53	26.47	4.66	7.69	7.0	5.87
CLEC2D	878.17	381.68	934.76	1015.93	587.13	555.41	178.77	127.0	75.11	69.03	52.82	82.87	169.07	656.11	432.53	162.14	267.73	101.54	127.0	356.05	78.34	95.34	132.44	171.45	77.79	57.08	98.73	82.29
CLEC5A	90.77	426.57	55.49	41.52	42.71	56.68	22.75	66.18	6.57	1.07	21.32	2.78	37.32	84.63	143.01	74.58	127.0	12.64	21.63	102.97	0.29	10.71	9.78	65.26	13.83	15.11	3.11	9.85
CORO1A	5711.87	1781.89	5006.93	5479.15	2997.45	3060.45	603.67	470.14	57.89	105.89	301.33	265.87	995.0	8363.13	1457.23	309.83	607.87	1437.15	204.07	1159.07	234.57	260.38	127.89	258.57	99.43	159.9	142.01	403.5
CRTAM	162.14	181.28	55.49	61.68	63.45	49.21	23.25	10.24	3.59	6.01	5.77	2.76	11.73	57.08	77.79	4.98	9.2	31.45	7.22	35.25	5.28	5.92	6.06	2.71	2.05	0.0	1.55	4.06
CSF2RA	97.36	1662.49	120.94	170.25	127.89	67.59	35.25	25.35	10.24	8.78	12.09	14.45	40.07	66.18	139.07	34.02	65.26	24.28	76.17	42.71	30.12	21.47	3.99	47.17	29.06	12.83	1.73	28.24
CTLA4	264.03	57.49	123.5	161.02	220.32	178.77	64.8	18.56	2.36	8.13	11.73	13.52	44.57	264.03	121.79	5.45	40.36	33.54	23.93	172.65	2.66	4.17	10.0	28.86	3.76	2.1	1.68	6.46
CXCR3	1259.69	69.52	248.0	224.97	146.03	111.99	52.08	29.27	43.02	34.51	22.75	16.39	56.28	366.09	66.65	10.0	29.06	163.28	39.5	120.94	18.84	56.68	15.34	22.1	12.64	15.22	23.08	24.99
CXXC11	8.51	12.18	38.95	23.42	12.93	21.01	2.53	2.81	0.05	0.59	3.44	3.14	4.03	15.68	7.51	1.01	5.06	2.84	1.79	0.53	0.83	2.05	4.58	2.34	0.57	3.06	1.13	2.63
CXorf21	92.05	249.73	70.51	118.43	65.26	69.03	14.45	11.21	7.75	3.69	3.53	2.56	11.91	140.04	82.29	9.93	23.76	32.36	1.91	53.57	7.28	13.03	2.53	10.63	3.0	4.5	5.06	9.48
DAPP1	860.08	728.11	218.79	234.57	159.9	144.01	74.58	14.78	3.32	2.18	3.23	5.36	28.45	403.5	47.17	11.55	22.26	55.49	11.64	46.18	2.14	16.39	5.77	12.0	1.01	1.25	1.11	10.55
DOCK2	2434.5	5872.48	642.59	688.78	426.57	341.51	88.26	76.17	8.45	27.44	50.63	31.22	105.15	571.05	253.23	69.03	170.25	128.79	77.25	120.94	9.85	53.57	30.78	86.43	10.96	11.21	19.53	100.83
EOMES	73.03	92.05	119.26	101.54	80.57	33.54	21.94	4.9	3.92	3.99	10.55	4.1	22.26	80.01	152.28	8.71	56.68	13.22	13.42	21.63	1.75	20.11	3.11	21.16	1.31	1.99	0.21	2.25
EVI2A	2720.15	808.0	454.09	486.75	463.65	327.56	85.82	38.67	29.48	31.9	27.44	49.91	72.52	353.59	249.73	72.52	90.14	153.34	34.02	163.28	17.25	30.56	22.59	76.71	21.01	4.94	31.22	37.59
EVI2B	3768.09	2090.03	947.83	1175.27	878.17	587.13	236.21	123.5	22.1	26.47	33.3	73.03	173.85	1183.45	753.83	73.54	167.9	343.89	55.1	301.33	20.86	108.14	38.67	67.59	23.59	33.3	43.02	86.43
FAM78A	444.72	314.17	260.38	316.37	231.32	138.1	44.57	43.94	6.52	27.05	25.72	49.91	59.13	187.71	125.24	7.75	44.89	121.79	21.32	31.67	29.91	58.3	24.11	66.65	19.25	12.0	15.34	36.01
FCGR2B	1923.14	2664.15	412.0	896.64	406.31	307.69	82.29	142.01	8.99	65.72	14.14	99.43	151.22	423.61	698.41	102.25	146.03	540.19	44.25	193.01	16.15	153.34	28.24	135.24	7.69	27.44	20.71	94.67
FCRL5	830.75	42.11	177.53	373.81	220.32	124.37	125.24	89.51	1.23	3.82	12.36	0.65	182.55	351.14	234.57	1.3	3.69	107.38	0.99	53.19	4.21	20.26	22.43	3.0	0.26	2.73	0.0	1.41
FLT3LG	1561.89	555.41	651.58	1081.39	503.95	466.88	450.94	234.57	107.38	146.03	163.28	162.14	587.13	624.99	607.87	438.59	595.34	320.8	281.09	620.67	181.28	146.03	177.53	260.38	132.44	269.6	76.71	121.79
FYB	848.22	371.22	470.14	463.65	348.71	218.79	71.5	33.54	2.81	8.38	16.03	22.26	132.44	426.57	460.44	32.59	77.79	140.04	41.52	78.89	3.92	37.32	13.62	65.72	4.58	3.89	10.16	40.93
GBP4	2664.15	2701.35	1073.91	785.88	518.15	438.59	361.04	115.97	47.84	105.89	94.01	154.42	356.05	842.36	1159.07	236.21	348.71	432.53	148.09	698.41	157.68	146.03	68.55	181.28	108.9	29.91	154.42	98.04
GFI1	212.78	102.97	66.18	120.94	67.59	49.21	23.08	24.28	7.51	6.01	14.56	11.64	40.36	105.89	32.59	20.71	32.59	19.25	24.28	32.59	4.94	13.72	19.82	20.41	5.15	9.78	15.68	9.7
GIMAP2	1844.76	796.86	764.36	743.43	559.28	341.51	181.28	95.34	19.68	125.24	61.25	59.55	215.77	500.46	463.65	150.17	77.25	212.78	90.77	447.82	110.43	193.01	124.37	94.67	111.21	58.71	75.64	127.89
GPR25	111.99	3.03	8.71	4.54	11.73	7.75	1.89	3.56	0.99	1.11	1.07	1.14	3.56	6.62	7.63	1.04	1.46	4.46	0.0	1.77	0.0	1.08	2.34	3.99	3.5	2.89	1.16	1.13
GPR65	1015.93	444.72	141.02	172.65	117.6	111.99	36.79	10.79	3.89	5.23	13.12	12.18	23.93	87.03	121.79	34.75	36.01	25.91	18.16	52.45	2.41	25.72	8.78	17.64	2.01	2.56	3.35	19.39
GPSM3	1844.76	3901.01	1540.37	1819.35	1104.13	769.69	215.77	187.71	84.04	178.77	140.04	108.14	260.38	1286.18	1119.56	212.78	287.01	423.61	197.09	255.0	86.43	289.02	98.04	193.01	42.41	105.89	71.5	241.19
GRAP2	571.05	197.09	147.06	198.47	120.94	87.65	48.87	18.97	5.32	8.38	8.38	10.31	59.13	132.44	69.52	31.0	97.36	49.21	47.5	60.82	3.96	21.01	13.83	45.53	0.84	8.25	6.57	10.31
GSG2	45.53	113.56	65.26	28.45	31.0	21.78	4.31	7.63	0.92	1.03	4.21	1.62	12.74	14.89	23.25	6.94	6.62	5.77	3.72	12.18	2.41	2.39	4.13	9.27	0.72	2.23	5.68	4.17
GZMA	1457.23	708.18	603.67	583.07	503.95	273.37	303.44	52.82	6.41	26.1	60.39	37.85	98.04	540.19	248.0	73.03	118.43	112.77	59.55	316.37	32.13	124.37	24.63	52.45	10.39	14.45	19.97	27.64
GZMM	974.5	647.07	303.44	291.04	140.04	144.01	81.14	14.56	17.13	11.47	25.54	9.56	92.05	525.39	275.28	33.54	120.1	78.89	19.97	65.72	10.47	29.7	25.91	82.29	6.57	15.8	9.27	6.11
HLA-DOA	6652.97	4903.87	1111.82	1104.13	934.76	587.13	295.11	38.4	2.61	16.88	96.68	26.47	215.77	1923.14	379.04	198.47	229.72	256.78	84.63	555.41	4.74	40.93	54.33	164.42	20.56	40.36	85.22	13.03
HLA-DPA1	43537.38	171754.88	25708.25	24832.5	20451.65	12076.21	7695.57	2119.22	193.01	1023.0	1806.78	1183.45	2224.63	36357.37	15392.14	8363.13	5791.62	7032.37	3589.58	12589.08	518.15	1781.89	599.49	7537.18	242.88	651.58	1508.65	988.12
HLA-DPB1	50359.33	86474.27	16496.96	16843.62	12853.63	8363.13	3742.05	1651.0	251.48	764.36	1331.57	1051.79	4671.57	24832.5	14065.74	5751.61	3794.3	4239.45	1477.58	10808.41	629.35	1322.37	802.41	3018.3	480.04	1378.57	1008.9	808.0
HLA-DRB1	100719.65	164758.26	12160.22	9876.98	19082.0	2976.74	1721.16	2895.31	368.65	371.22	791.35	1561.89	1268.46	13872.08	12853.63	9025.81	2075.59	5329.3	3847.29	2047.0	312.0	842.36	583.07	6121.9	171.45	438.59	1832.01	490.14
HMHA1	2537.92	1477.58	1378.57	1745.2	1183.45	981.29	426.57	303.44	155.5	332.14	255.0	242.88	429.54	1963.57	1605.83	218.79	412.0	454.09	441.64	381.68	255.0	312.0	189.02	301.33	231.32	195.72	165.57	314.17
HS3ST3B1	104.42	72.52	55.89	91.41	81.14	55.49	7.88	11.91	1.68	17.25	4.1	19.53	39.22	87.65	91.41	21.63	36.53	44.89	8.99	51.71	10.0	10.79	10.88	23.59	5.15	7.75	4.06	8.0
ICOS	281.09	256.78	72.01	75.11	82.29	84.63	52.08	9.06	0.0	4.35	11.3	3.35	26.1	135.24	76.71	2.53	15.91	24.11	9.56	47.5	2.18	4.82	3.29	13.72	1.2	2.48	2.84	1.27
IKZF1	1340.84	759.08	457.25	432.53	366.09	234.57	75.11	35.0	2.12	9.06	29.91	20.86	79.45	403.5	204.07	26.86	80.57	76.17	32.36	80.57	13.32	43.63	25.54	62.56	5.5	15.68	7.69	37.32
IL10RA	5479.15	2777.33	629.35	934.76	529.06	518.15	79.45	145.02	42.11	91.41	101.54	115.97	239.52	825.0	348.71	50.63	180.02	236.21	140.04	197.09	40.93	149.12	71.0	112.77	32.36	21.78	53.57	105.89
IL12RB1	532.74	325.29	169.07	157.68	85.22	92.05	22.75	27.25	0.74	7.94	9.34	4.1	25.72	147.06	34.51	17.25	44.25	38.67	17.64	36.27	4.35	19.68	1.22	10.71	2.68	5.59	1.27	13.83
IL18	1806.78	819.3	493.56	454.09	387.02	287.01	120.1	64.8	12.74	52.82	83.45	73.03	239.52	228.13	764.36	63.89	234.57	98.73	248.0	483.38	39.79	62.12	33.54	77.79	125.24	24.99	157.68	94.67
IL27RA	521.76	170.25	305.55	420.68	242.88	211.31	182.55	121.79	21.94	87.03	123.5	68.07	151.22	463.65	316.37	130.6	180.02	318.57	89.51	241.19	69.52	105.15	27.25	170.25	55.49	55.49	94.67	113.56
IL2RG	7280.4	5183.54	2004.85	2287.2	1259.69	947.83	728.11	144.01	45.53	31.45	74.06	79.45	403.5	4328.55	981.29	180.02	361.04	555.41	159.9	825.0	39.5	199.85	48.87	283.05	8.19	31.22	36.27	64.8
IL7R	2468.49	1073.91	791.35	1331.57	1051.79	708.18	51.35	120.1	11.3	72.52	115.97	74.58	356.05	414.87	295.11	92.05	327.56	79.45	180.02	186.4	5.32	29.7	145.02	343.89	20.26	67.59	59.13	146.03
ITGAL	4903.87	3564.78	860.08	1001.93	435.55	420.68	309.83	54.33	23.42	17.51	57.08	30.56	444.72	1277.29	264.03	104.42	305.55	202.66	137.14	267.73	10.88	127.0	17.64	110.43	9.41	14.67	26.86	27.25
ITGAM	463.65	1175.27	283.05	262.2	172.65	162.14	40.07	64.34	18.7	15.68	25.54	31.45	61.68	264.03	154.42	52.08	120.1	71.5	38.95	67.12	6.31	42.11	22.75	34.75	11.04	1.46	14.03	64.8
ITGB7	1923.14	567.1	579.04	878.17	351.14	303.44	353.59	146.03	45.21	96.68	194.36	78.34	307.69	1806.78	420.68	68.07	236.21	343.89	224.97	476.71	93.35	148.09	144.01	237.86	77.25	105.89	170.25	71.0
ITK	830.75	264.03	305.55	316.37	285.03	186.4	71.5	18.03	11.82	26.1	38.4	20.11	76.17	190.34	89.51	23.59	130.6	38.95	39.5	66.65	2.56	13.62	33.54	65.26	5.06	10.55	3.72	4.86
KCNA3	514.56	201.25	53.95	90.77	53.19	45.21	26.28	17.9	2.84	3.29	5.02	6.73	14.35	89.51	58.71	4.46	7.94	15.11	11.73	17.0	0.77	11.73	4.94	5.68	3.92	0.68	1.89	9.41
KLHL6	974.5	1369.04	460.44	283.05	277.2	143.01	38.95	39.22	9.13	15.8	15.0	10.55	59.97	329.84	187.71	14.35	30.78	46.84	12.0	49.91	5.59	25.72	17.51	22.92	6.67	3.2	7.57	14.89
KLRK1	796.86	698.41	532.74	540.19	438.59	232.94	185.11	96.01	21.16	14.78	45.53	44.89	291.04	497.0	490.14	63.89	291.04	128.79	154.42	297.17	22.92	46.18	24.11	125.24	14.78	31.22	12.83	20.11
LAT2	884.29	2555.58	660.68	738.29	387.02	392.44	85.22	112.77	17.38	25.54	30.78	28.45	76.17	473.41	1143.1	65.26	78.89	206.94	39.79	118.43	38.95	71.5	28.24	76.71	30.78	22.43	15.0	85.22
LCK	1781.89	688.78	1119.56	1191.69	656.11	529.06	175.07	73.54	13.52	19.11	73.03	24.11	231.32	1259.69	1417.35	63.45	183.82	251.48	95.34	379.04	10.96	126.12	32.59	101.54	11.64	39.22	22.43	49.21
LILRB1	457.25	836.53	303.44	497.0	190.34	183.82	45.21	34.02	47.17	7.11	7.34	14.24	39.5	182.55	279.14	52.82	36.53	71.0	27.25	32.13	3.44	84.04	6.21	12.93	8.13	3.63	8.65	23.42
LIMD2	2451.44	988.12	2434.5	2417.67	1350.18	1417.35	379.04	169.07	47.5	116.78	195.72	82.29	490.14	4298.64	708.18	226.54	325.29	500.46	199.85	567.1	106.63	215.77	66.18	221.86	20.41	100.83	72.01	94.01
LINGO3	9.06	4.58	10.88	17.64	32.59	35.25	2.92	7.46	0.96	2.71	1.04	2.48	5.59	30.78	5.36	0.77	4.94	4.31	0.0	1.99	1.6	2.63	1.91	2.94	1.06	0.49	0.0	2.73
MAP4K1	3955.48	551.56	890.44	890.44	514.56	373.81	211.31	106.63	24.99	26.86	33.3	48.18	258.57	1447.15	587.13	66.18	234.57	314.17	70.51	229.72	24.81	88.88	52.08	99.43	8.99	26.86	18.03	49.56
MDGA1	241.19	116.78	112.77	135.24	78.89	111.21	17.64	17.9	17.38	23.42	45.21	12.83	92.05	122.64	283.05	24.81	81.14	39.22	29.06	57.49	25.72	18.7	5.02	51.35	11.73	8.0	10.0	30.56
MEI1	2287.2	269.6	287.01	540.19	529.06	195.72	420.68	50.98	8.99	35.0	71.0	25.54	486.75	1051.79	412.0	71.0	132.44	100.13	98.73	221.86	67.12	15.56	14.56	149.12	2.86	33.3	8.71	30.12
MOB3C	536.45	438.59	414.87	381.68	343.89	327.56	341.51	262.2	289.02	279.14	273.37	353.59	348.71	339.14	460.44	291.04	507.46	406.31	336.79	426.57	275.28	255.0	295.11	403.5	265.87	246.28	256.78	281.09
MS4A6A	2835.7	1457.23	2104.58	2701.35	2193.99	1295.13	157.68	454.09	50.98	193.01	224.97	395.18	366.09	934.76	2537.92	441.64	351.14	961.07	183.82	447.82	157.68	423.61	115.16	194.36	145.02	123.5	149.12	620.67
MYBL1	82.29	101.54	242.88	107.38	79.45	80.57	47.84	19.97	6.21	23.42	24.99	23.93	47.84	87.03	54.33	17.77	55.49	25.17	60.39	43.63	18.16	37.59	20.11	42.71	10.24	17.38	20.86	20.41
