	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.E2.A15P.01A.11R.A115.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.RG.A7D4.01A.12R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.RC.A7SF.01A.11R.A352.07
CNOT7	802.41	1286.18	1167.14	1277.29	1745.2	1572.76	1259.69	497.0	679.29	591.22	1540.37	412.0	1498.22	748.61	1183.45	842.36	703.28	909.17	1286.18	1286.18	656.11	928.3	813.63	2287.2	1242.34	848.22	480.04	559.28	409.15	303.44	389.72	518.15	435.55	547.75	318.57	228.13	297.17	409.15	275.28	303.44
COX6C	95286.54	223512.12	256748.15	331809.5	198667.0	221968.2	211455.3	355624.68	265802.39	195931.88	263966.36	202841.44	54727.32	391864.76	145432.49	425853.18	217400.14	320506.81	269512.87	174152.51	253213.41	437825.58	527933.71	197294.7	286861.53	223512.12	492579.5	204252.32	31215.04	28723.62	59887.86	32540.65	32767.0	60304.42	59063.35	19214.73	16843.62	46019.85	21026.65	55491.3
CRK	559.28	612.11	651.58	674.59	718.08	764.36	1104.13	647.07	432.53	476.71	759.08	406.31	974.5	848.22	728.11	571.05	543.96	679.29	947.83	1119.56	64.34	397.93	890.44	688.78	414.87	738.29	518.15	339.14	423.61	381.68	409.15	283.05	395.18	241.19	279.14	195.72	260.38	234.57	236.21	473.41
CTC1	52.82	447.82	356.05	460.44	480.04	518.15	559.28	854.13	400.71	301.33	348.71	236.21	1127.35	368.65	728.11	476.71	490.14	387.02	633.73	688.78	563.18	412.0	547.75	476.71	325.29	466.88	356.05	363.56	173.85	84.63	223.41	253.23	205.5	128.79	139.07	93.35	151.22	115.97	77.79	269.6
DHX33	71.5	130.6	190.34	141.02	133.36	204.07	187.71	135.24	103.69	112.77	114.36	77.25	244.57	241.19	171.45	154.42	161.02	154.42	258.57	217.27	105.89	111.99	211.31	187.71	133.36	220.32	127.0	81.14	66.65	53.95	98.73	78.34	36.27	43.63	52.82	29.48	40.07	42.11	46.18	66.18
DIP2C	118.43	242.88	341.51	98.73	201.25	256.78	148.09	127.0	202.66	122.64	113.56	132.44	204.07	155.5	157.68	215.77	153.34	187.71	258.57	244.57	87.65	248.0	237.86	239.52	150.17	162.14	218.79	172.65	53.95	3.92	44.25	12.93	73.54	122.64	58.71	52.45	63.45	30.12	16.63	15.45
DNAJC27	19.97	54.72	71.0	27.64	81.14	58.3	48.52	42.41	50.63	38.95	40.07	43.63	118.43	34.26	98.04	32.82	45.53	39.5	121.79	118.43	36.27	109.66	41.22	61.25	38.4	107.38	46.84	46.5	14.24	10.63	8.92	22.26	21.01	22.59	10.0	18.03	9.93	5.28	11.3	8.0
ELAC2	647.07	825.0	759.08	1030.12	703.28	718.08	1304.15	848.22	356.05	674.59	629.35	603.67	1313.23	1277.29	967.76	674.59	540.19	796.86	954.43	961.07	480.04	633.73	1051.79	981.29	493.56	909.17	532.74	420.68	624.99	460.44	830.75	642.59	450.94	273.37	473.41	301.33	346.29	406.31	559.28	599.49
EPHA10	6.73	99.43	143.01	16.15	90.77	111.99	67.59	53.57	32.59	87.65	19.25	40.64	95.34	66.18	40.93	92.7	94.67	18.84	25.91	161.02	57.89	176.29	22.43	139.07	35.5	129.69	0.0	96.68	0.67	0.0	0.71	2.76	9.34	16.39	0.69	0.65	2.56	0.92	0.0	0.0
ERCC6L2	66.65	414.87	457.25	152.28	450.94	463.65	327.56	177.53	246.28	167.9	89.51	118.43	371.22	277.2	269.6	156.59	156.59	205.5	473.41	356.05	136.19	420.68	136.19	312.0	114.36	679.29	127.0	152.28	65.26	66.65	31.67	72.52	53.19	68.55	34.75	36.53	46.18	37.85	64.34	96.01
EXTL3	63.89	325.29	154.42	162.14	191.67	323.03	127.89	204.07	181.28	73.03	253.23	69.52	320.8	163.28	256.78	195.72	135.24	220.32	191.67	389.72	94.67	130.6	104.42	503.95	125.24	234.57	68.07	119.26	120.94	88.88	149.12	123.5	56.68	102.97	98.73	68.07	69.52	106.63	94.01	115.16
FAM86B1	2.29	171.45	120.1	197.09	209.84	172.65	55.1	70.01	111.99	39.79	258.57	9.7	183.82	94.67	77.79	34.02	124.37	67.59	16.51	154.42	39.79	105.89	55.89	708.18	145.02	148.09	106.63	46.84	14.67	7.0	13.93	24.99	14.56	29.7	9.41	7.17	8.99	14.14	6.52	1.17
FAR1	384.34	1088.92	1769.57	384.34	1023.0	1651.0	684.02	351.14	1059.11	239.52	318.57	400.71	1216.75	642.59	848.22	595.34	718.08	343.89	1225.22	660.68	460.44	775.05	351.14	854.13	660.68	1806.78	511.0	244.57	35.76	22.43	37.32	41.52	45.85	23.59	21.94	6.06	13.03	7.63	10.16	29.91
FUT10	31.22	116.78	104.42	38.12	50.63	93.35	71.5	80.01	36.53	46.18	96.68	21.16	100.83	78.89	59.13	110.43	26.1	49.21	191.67	94.67	4.35	28.24	67.12	86.43	75.64	102.25	3.11	33.54	24.99	23.42	23.59	18.84	32.59	37.32	22.43	18.16	22.26	36.01	27.25	18.16
GCC2	133.36	551.56	384.34	183.82	748.61	551.56	483.38	228.13	438.59	170.25	201.25	316.37	796.86	379.04	607.87	215.77	239.52	293.07	587.13	854.13	353.59	728.11	251.48	244.57	269.6	684.02	212.78	229.72	94.67	56.68	74.06	164.42	101.54	75.11	63.45	67.12	71.5	70.01	73.03	91.41
GEMIN4	141.02	244.57	351.14	376.41	194.36	579.04	429.54	264.03	189.02	209.84	162.14	141.02	426.57	447.82	316.37	253.23	201.25	248.0	246.28	316.37	156.59	244.57	264.03	329.84	199.85	341.51	135.24	133.36	102.25	84.63	101.54	112.77	58.71	33.3	75.64	48.87	63.45	59.55	89.51	59.55
GID4	65.26	92.05	159.9	136.19	136.19	173.85	138.1	156.59	60.39	185.11	105.89	77.25	228.13	178.77	158.79	94.67	79.45	77.25	190.34	228.13	87.65	145.02	126.12	293.07	146.03	187.71	82.87	57.08	38.95	39.22	65.26	92.7	54.72	38.67	100.13	35.0	66.65	87.65	41.22	66.65
GTF3C4	76.71	285.03	743.43	166.73	283.05	264.03	199.85	146.03	249.73	123.5	178.77	148.09	438.59	218.79	260.38	224.97	153.34	376.41	351.14	260.38	144.01	208.38	223.41	307.69	115.97	412.0	159.9	135.24	45.53	43.94	37.32	74.06	43.32	38.4	36.53	33.3	37.05	40.36	37.85	38.12
HEATR5B	94.67	285.03	387.02	190.34	376.41	450.94	246.28	170.25	165.57	223.41	165.57	142.01	420.68	309.83	353.59	195.72	228.13	154.42	612.11	595.34	232.94	463.65	246.28	226.54	224.97	518.15	228.13	123.5	88.26	72.01	45.85	108.14	76.17	117.6	46.18	72.52	31.0	36.27	66.18	100.13
HELQ	43.32	156.59	217.27	153.34	199.85	169.07	175.07	172.65	289.02	122.64	118.43	151.22	199.85	197.09	199.85	100.83	177.53	181.28	117.6	149.12	88.88	142.01	161.02	191.67	84.04	139.07	195.72	89.51	71.5	68.55	61.68	135.24	169.07	70.51	69.52	96.01	108.9	70.01	113.56	77.79
KIAA0753	57.89	166.73	190.34	236.21	237.86	228.13	223.41	220.32	131.51	125.24	106.63	82.29	339.14	194.36	277.2	112.77	144.01	94.01	281.09	211.31	172.65	204.07	158.79	209.84	108.14	423.61	87.03	91.41	42.71	32.13	41.52	35.76	24.28	22.59	22.92	18.84	22.92	17.0	28.65	27.64
KIAA1109	193.01	679.29	1030.12	414.87	813.63	896.64	420.68	420.68	540.19	532.74	287.01	397.93	1023.0	603.67	842.36	629.35	693.58	341.51	909.17	1350.18	356.05	547.75	518.15	480.04	674.59	1066.48	713.11	397.93	152.28	152.28	135.24	260.38	161.02	209.84	128.79	167.9	102.25	81.14	142.01	212.78
KIAA2026	81.71	262.2	314.17	152.28	316.37	323.03	112.77	167.9	181.28	231.32	147.06	156.59	334.46	149.12	239.52	165.57	143.01	151.22	470.14	256.78	135.24	155.5	125.24	220.32	314.17	381.68	206.94	135.24	60.39	43.32	46.5	64.34	52.08	62.56	47.5	34.02	22.75	28.45	38.4	37.32
LARS2	164.42	273.37	232.94	271.48	195.72	341.51	301.33	387.02	327.56	187.71	186.4	215.77	432.53	392.44	320.8	260.38	136.19	223.41	353.59	249.73	141.02	236.21	156.59	318.57	223.41	447.82	161.02	231.32	204.07	147.06	120.1	202.66	92.7	155.5	112.77	178.77	129.69	126.12	136.19	90.14
LONRF1	229.72	384.34	460.44	236.21	379.04	412.0	228.13	85.22	135.24	126.12	368.65	74.58	267.73	156.59	231.32	236.21	137.14	158.79	275.28	376.41	74.58	115.97	87.03	1096.5	412.0	373.81	109.66	147.06	63.89	46.18	69.52	133.36	77.25	61.68	36.01	61.25	43.94	45.85	71.5	12.09
MAVS	93.35	237.86	620.67	206.94	283.05	503.95	366.09	211.31	463.65	186.4	115.16	224.97	406.31	633.73	295.11	403.5	208.38	246.28	255.0	447.82	301.33	289.02	171.45	547.75	181.28	473.41	137.14	490.14	186.4	144.01	131.51	234.57	76.17	80.57	99.43	68.07	65.26	138.1	98.04	94.67
MCPH1	142.01	228.13	262.2	209.84	229.72	231.32	186.4	82.29	102.25	94.67	228.13	65.72	271.48	157.68	215.77	128.79	107.38	152.28	150.17	197.09	91.41	115.16	121.79	351.14	206.94	128.79	71.0	124.37	58.3	47.17	63.89	49.56	62.56	76.17	52.82	28.86	23.25	39.79	49.56	41.52
MED13L	81.14	1870.53	1745.2	836.53	1208.34	2119.22	1159.07	660.68	1259.69	607.87	490.14	493.56	1721.16	1143.1	1359.57	743.43	813.63	579.04	1051.79	3212.66	476.71	2133.97	669.92	2075.59	1111.82	1909.85	616.37	759.08	93.35	111.21	69.03	119.26	48.18	108.9	48.52	37.05	48.18	51.71	43.02	134.3
METTL14	172.65	299.25	363.56	191.67	493.56	412.0	289.02	309.83	426.57	332.14	251.48	237.86	559.28	371.22	312.0	293.07	305.55	312.0	543.96	379.04	231.32	309.83	435.55	287.01	323.03	450.94	414.87	218.79	87.65	176.29	86.43	170.25	165.57	136.19	114.36	99.43	70.01	78.34	106.63	136.19
METTL16	303.44	323.03	305.55	480.04	356.05	470.14	441.64	536.45	343.89	262.2	432.53	205.5	764.36	397.93	563.18	275.28	435.55	275.28	1096.5	454.09	275.28	329.84	603.67	540.19	277.2	457.25	318.57	318.57	173.85	122.64	255.0	255.0	172.65	123.5	155.5	60.82	171.45	193.01	140.04	214.27
MINK1	297.17	688.78	698.41	633.73	775.05	587.13	1066.48	483.38	361.04	624.99	409.15	444.72	1088.92	555.41	656.11	503.95	679.29	457.25	441.64	884.29	353.59	500.46	536.45	988.12	241.19	587.13	320.8	454.09	327.56	316.37	403.5	303.44	285.03	180.02	305.55	251.48	218.79	234.57	253.23	518.15
MTMR9	53.19	82.87	170.25	62.56	151.22	115.16	63.45	39.5	61.68	50.63	76.71	27.05	136.19	93.35	70.01	116.78	59.13	96.01	158.79	87.03	48.52	66.18	63.0	209.84	126.12	78.89	36.79	34.75	18.84	13.22	17.13	19.39	25.91	26.1	15.8	14.45	13.93	15.8	12.74	19.53
NAA35	165.57	423.61	547.75	262.2	457.25	348.71	312.0	229.72	341.51	256.78	256.78	206.94	620.67	285.03	353.59	223.41	214.27	209.84	638.15	476.71	297.17	312.0	334.46	371.22	169.07	363.56	194.36	183.82	111.21	92.7	80.57	114.36	140.04	77.79	80.57	85.22	72.01	102.97	98.04	70.01
NCOR1	866.07	1127.35	921.88	1242.34	1225.22	1936.53	1594.73	1277.29	872.1	1143.1	1870.53	860.08	1819.35	1199.98	2384.37	1397.83	466.88	842.36	2451.44	1594.73	70.01	1051.79	1909.85	1286.18	1259.69	3060.45	1135.2	612.11	307.69	417.77	397.93	327.56	353.59	316.37	688.78	169.07	307.69	271.48	178.77	514.56
NDEL1	281.09	587.13	603.67	808.0	624.99	463.65	830.75	463.65	295.11	532.74	532.74	429.54	775.05	540.19	583.07	363.56	363.56	486.75	860.08	842.36	400.71	395.18	583.07	507.46	379.04	718.08	368.65	295.11	191.67	182.55	281.09	273.37	287.01	108.14	169.07	197.09	209.84	112.77	169.07	206.94
NEU3	7.11	178.77	669.92	224.97	130.6	91.41	51.35	43.32	62.12	21.63	24.11	31.22	135.24	90.77	53.19	82.29	55.49	43.63	93.35	102.25	67.12	67.59	18.43	62.12	58.3	88.26	27.05	42.11	20.71	48.18	17.51	17.13	15.56	17.77	9.7	16.75	38.12	15.8	19.25	44.89
PBRM1	103.69	587.13	753.83	392.44	511.0	599.49	466.88	303.44	620.67	303.44	289.02	341.51	493.56	733.19	476.71	323.03	195.72	361.04	1225.22	551.56	262.2	547.75	217.27	660.68	457.25	825.0	171.45	223.41	151.22	105.15	76.71	161.02	99.43	122.64	78.34	71.0	68.07	101.54	63.45	96.01
PCDHAC2	0.38	18.29	29.27	2.56	8.38	13.22	13.62	0.85	6.41	3.0	1.69	5.87	6.31	18.7	8.45	4.66	3.96	24.99	7.57	6.52	1.83	15.91	6.21	5.68	4.43	7.63	3.35	0.0	0.84	0.61	0.26	0.23	0.6	0.0	0.24	0.0	0.0	0.0	0.0	0.0
PIK3C2A	100.13	669.92	728.11	211.31	633.73	559.28	346.29	194.36	500.46	329.84	193.01	336.79	656.11	371.22	563.18	258.57	327.56	217.27	753.83	674.59	318.57	305.55	190.34	476.71	281.09	1073.91	305.55	198.47	95.34	99.43	86.43	87.65	82.29	117.6	54.33	54.33	64.8	65.72	53.57	102.25
PIKFYVE	54.33	155.5	198.47	60.82	232.94	112.77	135.24	66.65	114.36	80.01	75.64	77.25	215.77	146.03	157.68	124.37	102.97	98.04	239.52	169.07	94.67	128.79	119.26	79.45	127.89	148.09	60.82	87.03	51.71	39.22	35.0	73.03	30.34	59.97	30.56	42.41	48.52	19.97	31.9	63.45
PITPNA	409.15	830.75	791.35	961.07	785.88	759.08	1088.92	1051.79	753.83	703.28	961.07	775.05	1183.45	961.07	1088.92	713.11	703.28	848.22	1286.18	1561.89	107.38	633.73	988.12	890.44	693.58	954.43	647.07	480.04	432.53	267.73	616.37	343.89	389.72	125.24	289.02	223.41	255.0	287.01	229.72	356.05
PLD2	289.02	417.77	348.71	287.01	325.29	187.71	679.29	297.17	166.73	316.37	563.18	231.32	571.05	316.37	363.56	215.77	307.69	242.88	366.09	281.09	155.5	232.94	283.05	547.75	193.01	381.68	246.28	271.48	162.14	114.36	209.84	199.85	177.53	105.15	221.86	110.43	157.68	81.14	105.89	146.03
PMS2	94.67	217.27	368.65	206.94	336.79	271.48	215.77	231.32	147.06	172.65	204.07	149.12	303.44	260.38	273.37	224.97	155.5	191.67	258.57	316.37	214.27	246.28	172.65	251.48	178.77	435.55	253.23	123.5	59.55	68.07	72.52	95.34	37.05	72.01	49.21	39.79	73.54	68.55	80.57	46.84
POLR3D	325.29	379.04	674.59	420.68	417.77	403.5	432.53	148.09	193.01	224.97	371.22	148.09	395.18	314.17	283.05	241.19	234.57	460.44	189.02	470.14	128.79	212.78	242.88	620.67	387.02	305.55	178.77	165.57	118.43	80.57	153.34	140.04	154.42	57.89	109.66	54.33	79.45	104.42	115.16	50.98
REST	158.79	327.56	507.46	189.02	397.93	256.78	336.79	182.55	327.56	175.07	218.79	193.01	466.88	260.38	291.04	228.13	176.29	336.79	291.04	312.0	149.12	246.28	285.03	211.31	212.78	293.07	93.35	147.06	65.72	64.34	59.13	80.01	71.0	60.39	47.17	45.85	57.49	52.08	63.45	58.3
RGP1	30.34	293.07	559.28	264.03	244.57	420.68	366.09	267.73	420.68	96.01	167.9	237.86	438.59	305.55	316.37	236.21	198.47	218.79	312.0	503.95	232.94	486.75	214.27	595.34	166.73	384.34	198.47	215.77	129.69	146.03	101.54	166.73	118.43	145.02	139.07	80.01	170.25	127.89	128.79	58.71
RNF216	161.02	420.68	457.25	348.71	529.06	525.39	323.03	376.41	256.78	223.41	334.46	264.03	420.68	432.53	441.64	343.89	327.56	295.11	450.94	463.65	348.71	371.22	381.68	532.74	351.14	624.99	316.37	329.84	244.57	142.01	248.0	287.01	120.1	215.77	170.25	102.97	132.44	217.27	236.21	197.09
RPGRIP1L	63.45	156.59	205.5	142.01	164.42	106.63	96.01	81.71	85.82	60.39	71.0	90.14	209.84	231.32	72.01	113.56	127.89	148.09	165.57	237.86	108.9	92.05	85.82	64.8	70.51	169.07	135.24	55.89	38.12	15.8	29.06	36.27	61.25	16.03	7.88	25.72	24.46	31.22	28.45	14.24
SACM1L	323.03	567.1	563.18	660.68	669.92	738.29	551.56	603.67	470.14	514.56	642.59	563.18	748.61	595.34	620.67	642.59	356.05	389.72	1369.04	981.29	406.31	684.02	406.31	698.41	567.1	836.53	351.14	454.09	271.48	221.86	218.79	332.14	281.09	301.33	148.09	212.78	173.85	205.5	194.36	253.23
SMAD4	150.17	1088.92	1268.46	647.07	1457.23	1268.46	1044.52	947.83	1008.9	525.39	759.08	796.86	1561.89	921.88	1175.27	660.68	733.19	713.11	1159.07	988.12	571.05	848.22	438.59	435.55	1127.35	1963.57	457.25	583.07	336.79	341.51	177.53	301.33	303.44	305.55	246.28	325.29	218.79	131.51	152.28	158.79
SRR	189.02	157.68	176.29	244.57	127.0	444.72	199.85	536.45	301.33	262.2	325.29	115.97	376.41	74.58	503.95	234.57	92.7	178.77	301.33	457.25	206.94	186.4	101.54	187.71	226.54	429.54	108.9	146.03	81.14	52.82	105.89	49.91	40.07	65.72	143.01	18.43	69.03	58.3	105.89	120.94
TMEM8B	38.67	575.03	599.49	379.04	325.29	543.96	231.32	361.04	457.25	264.03	246.28	406.31	780.44	224.97	575.03	265.87	307.69	318.57	1044.52	507.46	217.27	521.76	525.39	738.29	571.05	884.29	629.35	460.44	211.31	89.51	269.6	262.2	98.73	98.04	162.14	151.22	167.9	72.01	198.47	109.66
TNFSF13	381.68	860.08	470.14	974.5	961.07	1066.48	679.29	981.29	490.14	412.0	967.76	616.37	1639.59	688.78	1639.59	384.34	1191.69	511.0	493.56	1963.57	988.12	438.59	638.15	684.02	260.38	759.08	366.09	336.79	323.03	169.07	397.93	153.34	198.47	90.77	130.6	101.54	73.54	61.25	71.0	64.34
TNKS	67.59	283.05	373.81	181.28	361.04	293.07	198.47	89.51	169.07	93.35	201.25	79.45	373.81	204.07	251.48	193.01	147.06	229.72	242.88	366.09	106.63	208.38	154.42	423.61	253.23	265.87	72.52	81.71	59.97	47.17	64.8	87.65	46.5	62.56	57.89	29.06	57.49	34.75	45.85	88.26
TRRAP	146.03	366.09	412.0	169.07	351.14	305.55	267.73	167.9	231.32	212.78	204.07	137.14	291.04	301.33	260.38	283.05	236.21	208.38	295.11	343.89	242.88	312.0	231.32	258.57	185.11	532.74	162.14	180.02	114.36	125.24	87.65	134.3	76.17	109.66	83.45	59.55	57.89	92.7	81.14	87.03
TTC19	236.21	764.36	543.96	1051.79	483.38	1359.57	915.51	1233.75	341.51	497.0	738.29	518.15	1322.37	551.56	1628.26	902.89	607.87	500.46	1605.83	1685.71	31.67	698.41	1378.57	1417.35	320.8	1991.0	921.88	409.15	255.0	178.77	217.27	180.02	279.14	140.04	395.18	128.79	177.53	155.5	226.54	323.03
VPS53	97.36	327.56	241.19	303.44	229.72	525.39	559.28	332.14	305.55	187.71	228.13	234.57	435.55	384.34	420.68	318.57	195.72	289.02	507.46	406.31	155.5	264.03	244.57	389.72	177.53	563.18	138.1	141.02	122.64	170.25	103.69	88.88	52.08	57.89	50.63	101.54	98.73	64.8	76.17	84.04
