	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A1ML.01A.11R.A14Y.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.BB.8601.01A.11R.2403.07	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CR.6493.01A.11R.1873.07	TCGA.F7.A50I.01A.11R.A28V.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CN.4738.01A.02R.1514.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.CV.7261.01A.11R.2016.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.BA.A6DI.01A.11R.A30B.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CV.7432.01A.11R.2132.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.RS.A6TO.01A.32R.A34R.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	GTEX.144GN.0426.SM.5O9AP	GTEX.WRHU.0226.SM.3MJFV	GTEX.ZE7O.0826.SM.57WCP	GTEX.ZUA1.1026.SM.4YCEA	GTEX.Y3IK.0626.SM.4WWE4	GTEX.145MF.0726.SM.5Q5BT	GTEX.11ZTT.0626.SM.5EQLM	TCGA.22.5491.01A.01R.1635.07	TCGA.XC.AA0X.01A.32R.A405.07	TCGA.22.5479.01A.31R.1949.07	TCGA.22.4605.01A.21R.2125.07	TCGA.34.2608.01A.02R.0851.07	TCGA.96.8169.01A.11R.2296.07	TCGA.85.A4JC.01A.11R.A24Z.07	TCGA.85.8049.01A.11R.2247.07	TCGA.56.8624.01A.11R.2403.07
CCDC39	3.59	209.84	237.86	59.55	4.54	1.77	14.78	3.76	0.73	2.94	0.82	7.28	1.17	1.13	1.43	9.85	8.99	32.36	4.86	5.77	3.44	2.43	1.85	1.36	9.93	0.72	6.26	1.77	19.11	2.73	3.47	3.38	0.69	0.67	3.72	0.0	1.55	3.2	1.2	6.57	2.68	1.99	1.41	2.76	9.63	120.1	1.3	221.86	96.01	368.65	271.48	99.43	379.04	403.5	31.0	25.91	64.8	95.34	40.07	35.76	37.59	38.67	21.63
CCDC65	80.57	713.11	5954.47	8.78	12.45	1.03	16.88	2.92	1.77	6.06	8.58	4.78	4.13	3.96	1.85	22.92	12.18	82.29	8.25	5.06	1.57	4.35	7.06	10.0	18.97	1.33	3.47	3.47	20.71	4.94	5.02	3.69	6.73	2.63	5.15	5.63	4.62	1.64	5.5	6.84	1.0	8.78	4.17	4.21	3.79	283.05	2.84	651.58	165.57	775.05	599.49	368.65	1066.48	830.75	62.56	46.18	114.36	183.82	112.77	65.26	109.66	115.97	46.5
CCDC74B	23.08	1617.0	3303.0	115.16	9.27	10.47	10.55	28.65	5.87	3.38	3.53	6.52	2.61	7.4	2.58	19.11	33.54	32.36	7.57	4.78	6.31	7.82	17.64	13.83	52.08	15.91	3.96	0.0	23.76	1.5	1.0	4.54	5.73	0.88	3.69	3.63	6.89	5.06	10.0	36.01	4.9	78.34	5.73	4.66	1.83	120.94	3.72	493.56	171.45	642.59	466.88	334.46	693.58	551.56	44.25	42.11	106.63	158.79	95.34	50.63	209.84	131.51	43.02
CCDC78	37.05	5006.93	31650.8	59.13	47.17	39.22	109.66	127.89	3.96	10.39	5.11	23.76	10.55	15.0	20.26	120.1	239.52	441.64	15.22	11.3	15.8	14.24	356.05	10.88	46.18	23.76	18.03	8.78	87.65	20.86	31.0	5.63	43.94	10.08	3.79	9.34	14.67	5.73	5.87	31.0	5.11	49.56	11.38	14.14	28.04	698.41	13.12	1617.0	651.58	4736.79	2777.33	1551.09	3716.2	2240.11	332.14	339.14	819.3	624.99	483.38	403.5	599.49	525.39	273.37
CD302	26.1	536.45	536.45	147.06	38.67	53.19	18.84	8.58	51.71	18.16	15.68	27.64	23.42	26.28	8.06	20.56	63.89	82.29	24.28	12.27	11.55	13.12	60.82	124.37	110.43	20.41	24.63	4.31	42.41	24.11	5.68	52.45	22.43	9.13	13.62	44.25	29.7	12.0	33.54	94.01	41.52	28.04	20.71	49.21	6.11	161.02	30.56	540.19	1572.76	947.83	1015.93	381.68	769.69	3146.52	117.6	142.01	96.01	194.36	301.33	201.25	102.97	169.07	246.28
CDHR3	84.04	2451.44	18304.63	65.72	14.67	10.63	3.08	33.54	18.84	14.67	6.67	9.63	14.14	29.27	20.86	55.1	21.16	241.19	13.22	13.83	1.57	6.94	7.94	16.75	64.34	12.36	7.88	7.94	59.55	8.71	6.57	9.41	13.42	15.8	7.69	13.03	10.0	22.59	6.62	2.97	15.0	13.03	6.06	4.21	19.25	830.75	1.93	2240.11	921.88	4419.52	3491.39	1437.15	4575.41	3372.43	126.12	273.37	312.0	595.34	275.28	301.33	186.4	309.83	100.83
DCDC2B	2.61	269.6	2090.03	5.82	3.38	0.0	1.04	0.83	0.0	0.0	0.0	0.0	0.54	1.28	0.0	11.91	0.0	41.52	1.38	0.91	1.55	0.0	1.07	0.0	6.62	0.0	1.81	0.0	16.03	0.0	0.96	0.53	1.25	0.0	0.0	0.56	0.89	0.0	0.0	1.91	0.56	1.28	0.64	0.0	0.54	181.28	0.0	511.0	209.84	1030.12	830.75	406.31	954.43	860.08	52.08	23.08	161.02	138.1	87.65	60.39	96.01	59.13	47.17
DNAH1	32.36	301.33	624.99	40.07	51.71	8.19	34.75	14.03	1.69	16.88	4.62	21.63	3.96	13.83	2.25	29.48	17.77	86.43	6.78	14.24	18.43	12.27	85.22	16.15	36.27	13.32	17.25	4.46	37.59	7.17	22.1	45.21	10.16	2.73	4.24	6.06	9.48	15.91	5.45	18.7	7.94	19.97	4.86	21.78	5.82	115.97	11.82	185.11	162.14	1044.52	507.46	305.55	532.74	507.46	30.56	167.9	98.04	98.04	64.34	87.65	89.51	141.02	87.65
DYNLRB2	57.89	1733.13	20737.16	25.91	0.0	10.63	13.12	5.63	7.34	3.86	7.69	2.92	0.0	3.72	0.0	34.26	7.94	142.01	3.23	13.52	6.31	14.24	10.55	4.66	16.63	7.11	24.81	11.55	65.72	0.0	3.99	4.98	7.06	4.78	3.06	18.16	12.64	19.53	5.59	8.78	4.94	31.45	2.03	6.06	7.75	327.56	7.46	2417.67	728.11	4328.55	3901.01	1651.0	4671.57	2502.97	194.36	74.06	363.56	483.38	329.84	205.5	312.0	211.31	115.97
ECT2L	1.19	44.25	189.02	4.17	1.66	0.27	4.7	5.23	0.49	1.28	1.04	1.36	0.89	0.47	0.77	5.87	0.88	65.72	0.91	3.11	1.97	0.85	5.19	0.57	10.88	0.87	0.92	1.08	7.57	0.0	0.49	0.88	0.83	1.85	0.47	0.52	1.95	1.95	0.51	0.44	2.2	2.36	1.08	0.83	1.31	239.52	0.55	417.77	123.5	356.05	303.44	289.02	660.68	470.14	27.44	18.84	43.63	94.67	59.97	26.47	40.36	105.15	15.34
EFCAB10	13.22	363.56	909.17	8.38	4.21	1.45	8.32	6.26	5.23	14.24	1.71	18.43	2.73	3.41	3.76	15.22	30.78	46.84	17.51	8.06	7.94	6.52	43.94	10.96	18.16	3.47	11.21	3.0	21.78	6.52	3.63	5.11	3.29	1.33	2.63	6.84	4.86	8.25	2.81	19.11	5.96	7.22	0.0	3.69	8.13	251.48	0.66	669.92	133.36	884.29	629.35	339.14	1427.22	866.07	56.68	45.21	104.42	155.5	87.03	61.68	71.0	78.34	36.53
EFCAB12	2.97	1216.75	5329.3	9.27	4.54	0.92	1.66	2.73	1.89	0.59	0.0	2.86	0.0	0.97	0.88	12.36	2.68	58.3	0.0	0.57	3.17	0.99	1.66	0.67	6.67	0.58	1.5	1.93	6.16	0.64	1.46	1.0	0.0	0.92	1.81	1.53	1.75	3.32	0.0	3.53	1.53	1.77	1.77	1.73	1.89	88.88	1.1	312.0	127.89	769.69	473.41	293.07	591.22	551.56	15.68	25.54	59.55	102.97	41.22	56.28	47.84	50.63	36.79
EFCAB6	12.93	127.0	813.63	23.59	3.72	2.61	7.22	51.71	3.82	1.36	6.84	6.11	1.38	1.71	4.58	8.51	5.36	33.78	1.83	6.26	3.5	7.06	14.45	1.13	13.52	2.56	1.0	1.85	24.46	0.0	0.57	0.56	5.36	1.23	2.12	17.25	6.16	18.03	4.74	8.99	4.03	6.62	0.67	3.53	0.57	84.04	6.06	167.9	70.51	429.54	178.77	144.01	189.02	177.53	43.94	27.84	27.25	59.13	51.71	43.32	32.13	52.08	38.95
EFHC1	78.89	1119.56	2209.26	457.25	86.43	193.01	145.02	101.54	62.56	84.63	51.35	130.6	6.26	53.95	61.68	127.0	166.73	248.0	58.71	100.83	172.65	32.82	165.57	66.18	107.38	94.67	96.01	67.59	206.94	48.87	73.54	45.85	84.04	53.57	133.36	90.77	52.08	95.34	54.72	101.54	81.14	251.48	30.78	41.52	119.26	497.0	56.68	848.22	529.06	1977.24	1594.73	713.11	2148.82	1216.75	205.5	234.57	332.14	454.09	314.17	231.32	334.46	339.14	251.48
FAM166B	36.27	4869.99	49322.93	30.56	16.51	4.13	8.0	13.03	2.61	5.5	1.31	14.78	4.06	10.16	0.95	58.3	11.64	180.02	4.54	4.21	8.25	2.84	11.55	7.06	50.98	9.7	15.22	8.85	43.63	4.43	5.63	6.89	2.73	0.66	5.32	3.53	3.11	2.41	5.73	17.64	16.03	1.75	1.39	4.78	7.88	384.34	4.1	1304.15	403.5	2061.24	1175.27	921.88	1498.22	1857.6	226.54	82.87	371.22	397.93	379.04	159.9	332.14	248.0	108.14
FAM227A	6.41	111.21	389.72	7.63	11.13	4.74	16.39	5.02	0.0	1.51	2.78	6.94	0.66	2.68	0.0	20.11	5.28	15.22	0.67	3.08	2.25	1.06	8.13	2.29	6.06	6.84	6.84	3.44	9.78	4.9	0.66	1.93	4.54	0.0	1.06	2.53	0.62	4.21	2.01	19.25	1.6	4.66	0.77	0.0	4.98	19.82	0.68	66.65	40.07	178.77	131.51	57.08	137.14	147.06	7.11	25.54	16.03	24.11	23.25	31.67	28.65	12.27	28.45
FRMPD2	0.0	237.86	1250.98	5.73	1.2	0.43	0.43	0.67	0.39	0.0	0.0	0.0	0.0	0.0	0.0	10.63	0.39	25.91	0.0	0.73	0.0	0.0	3.59	0.0	2.12	0.38	0.0	0.0	1.46	0.0	0.39	1.14	0.36	0.0	1.48	0.0	3.63	3.96	0.0	0.35	0.41	0.0	0.0	1.43	4.74	35.25	0.83	78.89	46.5	84.63	172.65	88.88	156.59	155.5	7.4	15.56	49.56	31.67	13.32	28.86	16.15	39.22	7.69
GPR162	8.06	211.31	267.73	64.8	15.0	21.16	32.36	8.85	16.03	19.25	18.7	19.25	11.47	18.97	4.13	48.87	37.59	118.43	7.46	76.71	20.41	10.55	57.49	23.08	28.45	13.52	16.39	7.46	26.86	10.16	18.16	18.84	20.56	3.56	9.06	9.93	12.18	2.94	13.03	46.84	18.97	15.8	16.15	17.77	7.82	197.09	6.21	381.68	244.57	2047.0	1350.18	624.99	785.88	563.18	112.77	149.12	301.33	368.65	253.23	249.73	271.48	255.0	182.55
HYDIN	0.0	205.5	1529.73	9.56	2.34	0.61	26.1	22.1	0.64	6.06	1.22	1.57	1.07	3.06	0.93	11.91	8.06	100.83	0.65	3.86	0.0	1.03	17.0	2.25	31.9	0.0	4.17	0.0	27.44	0.0	0.65	0.62	1.0	0.96	1.45	0.66	2.2	4.13	8.0	18.84	7.34	13.12	1.81	0.6	2.81	258.57	0.68	371.22	181.28	769.69	738.29	260.38	902.89	563.18	30.56	46.18	93.35	204.07	74.06	106.63	73.03	118.43	72.01
IFLTD1	0.0	150.17	896.64	0.0	0.38	0.0	9.93	0.0	1.69	0.0	0.0	0.0	0.0	1.91	0.0	5.73	0.31	21.32	0.0	0.0	0.0	0.0	0.0	0.0	4.24	0.0	0.0	0.0	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.34	3.44	0.0	0.0	0.0	0.0	2.23	0.39	0.0	0.0	32.13	0.0	145.02	49.91	173.85	113.56	83.45	239.52	163.28	11.21	13.93	17.13	36.01	15.45	22.1	21.63	23.76	7.46
KIF19	10.31	137.14	379.04	3.53	1.22	0.34	4.98	1.64	1.89	3.11	0.67	8.19	3.14	1.79	3.41	9.34	2.27	65.72	4.5	5.41	1.68	1.79	1.66	4.74	14.24	3.5	3.69	2.27	8.13	9.34	3.2	10.96	4.46	2.78	2.2	1.99	3.35	3.32	3.66	6.89	3.32	2.18	0.71	5.23	4.46	181.28	3.47	325.29	119.26	688.78	414.87	249.73	620.67	497.0	20.11	24.81	69.52	67.59	53.57	58.3	47.84	71.0	38.95
KRT17	4953441.24	170568.48	124000.67	229795.93	462789.59	408505.64	368165.8	453265.5	475800.4	408505.64	971597.0	542775.98	485798.0	589853.66	428815.23	251464.33	453265.5	126606.21	466008.55	716197.51	701458.36	593956.43	428815.23	524287.0	241220.67	524287.0	440870.9	542775.98	185362.8	565825.41	645473.24	447025.24	513497.31	425853.18	546551.29	632189.57	485798.0	450134.56	466008.55	405683.88	425853.18	585779.24	912837.43	546551.29	475800.4	271387.49	506427.83	37901.36	748.61	77396.54	95949.32	35363.15	44145.15	1745.2	41475.31	116501.39	141455.6	131071.0	65990.84	25708.25	114897.47	100023.92	82378.63
LPPR3	4.78	1073.91	13968.57	6.67	0.56	0.0	1.39	0.0	0.41	5.45	0.0	0.43	0.0	1.1	0.35	2.39	2.23	36.79	0.0	6.62	0.0	0.0	27.25	0.93	8.0	0.77	4.21	0.35	6.57	0.0	0.0	0.77	0.72	0.0	0.0	0.0	0.0	0.0	0.0	2.97	0.43	1.1	0.51	0.39	0.0	113.56	0.0	281.09	116.78	1233.75	665.29	143.01	842.36	638.15	16.39	10.63	43.63	65.26	44.57	41.81	39.22	47.84	36.27
LRRC10B	1.68	141.02	698.41	50.27	3.86	2.61	16.51	2.29	3.47	4.21	2.12	3.2	1.39	3.69	0.85	19.97	3.41	105.15	5.19	5.23	2.1	1.33	14.35	5.06	18.97	2.58	2.73	0.48	18.84	2.41	1.41	3.0	5.06	0.88	1.35	0.59	3.23	2.07	7.75	20.86	1.48	43.32	7.34	2.81	3.5	389.72	0.0	1081.39	169.07	2468.49	1250.98	1008.9	2537.92	1127.35	77.79	38.4	176.29	255.0	130.6	122.64	150.17	141.02	78.34
LRRC43	1.57	497.0	2664.15	20.56	2.92	0.79	4.46	1.95	0.0	7.4	2.61	7.46	0.0	3.32	8.06	13.32	12.93	34.02	2.71	7.94	4.03	1.36	4.46	3.11	11.55	1.38	1.03	0.0	8.99	0.61	0.0	2.61	2.07	1.62	2.56	1.04	5.92	6.62	6.46	53.57	3.23	5.59	6.78	5.45	0.0	85.82	3.35	275.28	146.03	599.49	346.29	271.48	420.68	463.65	19.39	59.97	90.14	98.73	67.12	81.71	77.79	75.64	25.91
