	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.C8.A27A.01A.11R.A169.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.AN.A0XT.01A.11R.A109.07	TCGA.D8.A1JI.01A.11R.A13Q.07	TCGA.A2.A1FX.01A.11R.A13Q.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.C8.A26Z.01A.11R.A16F.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1XS.01A.11R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.AO.A0JG.01A.31R.A084.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.EW.A1PD.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.D8.A1XZ.01A.11R.A14M.07	TCGA.AR.A1AK.01A.21R.A12P.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.BH.A0W3.01A.11R.A109.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A2.A0YC.01A.11R.A109.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.C8.A12M.01A.11R.A115.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.EW.A1PA.01A.11R.A144.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.A7.A3IZ.01A.11R.A213.07	TCGA.A8.A09R.01A.11R.A00Z.07	TCGA.BH.A0B8.01A.21R.A056.07	TCGA.A8.A08G.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.E2.A14S.01A.11R.A12D.07	TCGA.AR.A1AV.01A.21R.A12P.07	TCGA.B6.A2IU.01A.32R.A18M.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A2.A0ET.01A.31R.A034.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.AR.A24R.01A.11R.A169.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.AR.A24V.01A.21R.A169.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.C8.A1HG.01A.11R.A137.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.C8.A273.01A.11R.A16F.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.BH.A1EX.01A.11R.A13Q.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.A8.A07W.01A.11R.A00Z.07	TCGA.BH.A18L.01A.32R.A12D.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.FU.A3TX.01A.11R.A22U.07	TCGA.F4.6459.01A.11R.1774.07	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.7197.01A.11R.2203.13
BBS2	612.11	813.63	759.08	866.07	633.73	665.29	417.77	423.61	819.3	426.57	1268.46	351.14	420.68	397.93	470.14	571.05	748.61	872.1	620.67	400.71	633.73	698.41	559.28	486.75	791.35	332.14	432.53	884.29	363.56	780.44	759.08	423.61	426.57	423.61	684.02	444.72	1051.79	679.29	1709.26	848.22	297.17	305.55	616.37	525.39	708.18	432.53	444.72	521.76	665.29	366.09	1167.14	802.41	483.38	426.57	567.1	620.67	432.53	941.27	954.43	532.74	460.44	902.89	503.95	679.29	878.17	693.58	1286.18	842.36	642.59	327.56	397.93	387.02	1008.9	486.75	616.37	483.38	483.38	406.31	559.28	525.39	470.14	483.38	361.04	603.67	325.29	361.04	629.35	406.31	466.88	656.11	1651.0	995.0	665.29	339.14	974.5	460.44	320.8	463.65	217.27	1104.13	0.0	587.13
C16orf70	791.35	441.64	460.44	529.06	438.59	860.08	323.03	387.02	450.94	353.59	860.08	353.59	320.8	309.83	299.25	457.25	669.92	669.92	624.99	301.33	802.41	1242.34	665.29	476.71	361.04	246.28	332.14	379.04	287.01	307.69	759.08	325.29	934.76	438.59	463.65	848.22	660.68	476.71	336.79	684.02	387.02	438.59	733.19	426.57	1030.12	371.22	332.14	429.54	500.46	454.09	854.13	429.54	392.44	500.46	497.0	583.07	703.28	624.99	567.1	473.41	346.29	1167.14	267.73	348.71	866.07	567.1	693.58	429.54	607.87	241.19	318.57	616.37	866.07	1151.06	400.71	368.65	521.76	316.37	368.65	412.0	366.09	379.04	297.17	518.15	264.03	341.51	473.41	366.09	414.87	1030.12	679.29	791.35	559.28	444.72	854.13	283.05	414.87	441.64	170.25	493.56	0.0	842.36
C16orf80	1508.65	450.94	728.11	1088.92	941.27	921.88	466.88	624.99	1216.75	507.46	1111.82	587.13	579.04	426.57	473.41	599.49	748.61	1073.91	780.44	441.64	848.22	1001.93	656.11	470.14	414.87	417.77	563.18	638.15	400.71	555.41	796.86	412.0	599.49	620.67	466.88	934.76	995.0	587.13	583.07	947.83	547.75	480.04	915.51	395.18	915.51	412.0	521.76	368.65	1015.93	457.25	860.08	1037.29	493.56	460.44	591.22	575.03	713.11	909.17	591.22	624.99	480.04	713.11	518.15	693.58	902.89	909.17	1268.46	769.69	974.5	583.07	669.92	417.77	819.3	909.17	441.64	543.96	595.34	595.34	486.75	753.83	392.44	748.61	341.51	743.43	403.5	738.29	808.0	490.14	463.65	954.43	1151.06	928.3	1127.35	525.39	934.76	836.53	283.05	651.58	493.56	1088.92	0.0	1143.1
CDK10	2855.44	532.74	813.63	819.3	1151.06	1225.22	444.72	928.3	902.89	1073.91	1119.56	224.97	532.74	497.0	463.65	941.27	1111.82	1208.34	397.93	260.38	854.13	660.68	743.43	409.15	371.22	332.14	303.44	376.41	351.14	612.11	808.0	323.03	878.17	483.38	363.56	842.36	1225.22	420.68	500.46	1313.23	327.56	540.19	281.09	447.82	842.36	358.54	414.87	395.18	688.78	397.93	1104.13	511.0	718.08	379.04	244.57	599.49	387.02	2178.83	334.46	356.05	684.02	921.88	423.61	185.11	967.76	595.34	1519.15	521.76	514.56	503.95	575.03	518.15	785.88	764.36	607.87	285.03	660.68	281.09	511.0	1001.93	595.34	258.57	457.25	884.29	271.48	336.79	1051.79	624.99	190.34	878.17	1540.37	1397.83	703.28	277.2	808.0	587.13	587.13	490.14	444.72	2875.3	0.0	3716.2
CENPBD1	193.01	102.97	135.24	275.28	267.73	146.03	103.69	151.22	441.64	43.32	426.57	104.42	109.66	161.02	74.58	185.11	253.23	279.14	116.78	105.15	190.34	224.97	190.34	136.19	98.04	147.06	124.37	137.14	111.21	100.13	173.85	117.6	156.59	121.79	118.43	214.27	229.72	141.02	143.01	412.0	74.06	105.15	206.94	108.9	260.38	128.79	111.21	124.37	175.07	171.45	379.04	121.79	78.89	165.57	101.54	144.01	162.14	212.78	151.22	105.89	108.14	231.32	65.72	128.79	305.55	204.07	217.27	72.52	169.07	76.17	143.01	172.65	309.83	97.36	115.16	94.67	149.12	129.69	119.26	138.1	62.12	193.01	112.77	157.68	95.34	63.45	180.02	106.63	88.26	412.0	447.82	403.5	285.03	221.86	258.57	166.73	117.6	152.28	26.47	329.84	45.53	521.76
CENPT	1183.45	358.54	466.88	500.46	595.34	642.59	193.01	595.34	441.64	543.96	854.13	173.85	395.18	299.25	450.94	483.38	460.44	493.56	371.22	232.94	423.61	525.39	476.71	256.78	193.01	267.73	248.0	269.6	277.2	281.09	389.72	283.05	417.77	277.2	273.37	283.05	547.75	348.71	336.79	551.56	195.72	334.46	223.41	234.57	325.29	198.47	228.13	232.94	483.38	237.86	723.08	376.41	351.14	221.86	234.57	291.04	291.04	878.17	285.03	379.04	295.11	490.14	318.57	116.78	457.25	387.02	718.08	438.59	384.34	327.56	363.56	239.52	373.81	392.44	444.72	242.88	358.54	186.4	309.83	387.02	348.71	264.03	187.71	373.81	144.01	273.37	616.37	454.09	212.78	493.56	748.61	591.22	381.68	209.84	406.31	373.81	353.59	299.25	327.56	1277.29	0.0	928.3
CFDP1	1923.14	1259.69	1467.37	1540.37	2609.3	2351.53	1151.06	1159.07	2075.59	921.88	3820.7	518.15	759.08	813.63	1059.11	1250.98	1529.73	2335.28	1167.14	825.0	1651.0	1572.76	1508.65	915.51	1008.9	1417.35	1096.5	1561.89	1023.0	842.36	1605.83	1551.09	1417.35	921.88	1044.52	1977.24	2384.37	738.29	1208.34	1977.24	796.86	656.11	1757.34	872.1	1175.27	1008.9	860.08	909.17	1467.37	1583.71	1605.83	633.73	723.08	693.58	1628.26	1066.48	2485.67	1628.26	1151.06	1378.57	941.27	3794.3	559.28	629.35	1519.15	1519.15	3124.78	1208.34	1487.87	1397.83	1030.12	866.07	1378.57	1467.37	1498.22	1151.06	674.59	1023.0	3146.52	1151.06	591.22	1066.48	819.3	1096.5	878.17	1242.34	1508.65	1242.34	723.08	2032.85	2520.38	1757.34	2193.99	748.61	1322.37	2133.97	890.44	1477.58	780.44	2434.5	0.0	1923.14
CHMP1A	5329.3	961.07	1832.01	1806.78	2758.13	1991.0	1191.69	1529.73	1733.13	1268.46	3564.78	775.05	1059.11	738.29	842.36	1769.57	1359.57	1572.76	1023.0	780.44	1832.01	1721.16	1794.29	842.36	723.08	902.89	1159.07	1104.13	890.44	1073.91	1561.89	1030.12	1832.01	1037.29	1304.15	2148.82	1721.16	1225.22	860.08	1674.06	684.02	860.08	2502.97	909.17	2032.85	688.78	1030.12	988.12	1477.58	1268.46	2193.99	1096.5	909.17	1322.37	830.75	1277.29	1991.0	1697.45	1447.15	928.3	909.17	1651.0	915.51	521.76	1250.98	2047.0	1870.53	1950.0	1073.91	1259.69	1540.37	1378.57	2148.82	2400.97	1397.83	995.0	1001.93	1233.75	1135.2	1806.78	1183.45	764.36	723.08	1991.0	1397.83	1111.82	2119.22	1359.57	813.63	2835.7	2555.58	1870.53	3303.0	1119.56	1135.2	1561.89	1378.57	1088.92	616.37	2720.15	0.0	3716.2
CIAPIN1	2701.35	551.56	915.51	1216.75	1088.92	1388.16	571.05	551.56	1551.09	463.65	1508.65	521.76	629.35	525.39	521.76	988.12	974.5	884.29	872.1	483.38	967.76	1437.15	967.76	624.99	559.28	642.59	660.68	848.22	624.99	616.37	1030.12	579.04	921.88	674.59	713.11	1119.56	1467.37	651.58	616.37	1407.55	656.11	511.0	1322.37	460.44	1051.79	507.46	543.96	444.72	825.0	743.43	1030.12	974.5	403.5	698.41	532.74	669.92	1191.69	988.12	967.76	723.08	555.41	1104.13	470.14	595.34	902.89	1832.01	1096.5	884.29	890.44	463.65	791.35	638.15	909.17	1127.35	684.02	665.29	633.73	647.07	743.43	529.06	395.18	896.64	470.14	1037.29	796.86	647.07	884.29	674.59	447.82	1519.15	1662.49	1088.92	1268.46	511.0	1001.93	780.44	486.75	733.19	450.94	1001.93	0.0	1259.69
CIRH1A	1183.45	395.18	674.59	791.35	1096.5	890.44	356.05	423.61	1088.92	289.02	1030.12	417.77	447.82	457.25	511.0	733.19	607.87	651.58	759.08	395.18	616.37	854.13	759.08	409.15	353.59	417.77	376.41	309.83	277.2	376.41	679.29	435.55	836.53	397.93	642.59	603.67	1331.57	511.0	381.68	713.11	381.68	397.93	1159.07	429.54	842.36	483.38	384.34	368.65	738.29	429.54	733.19	483.38	379.04	420.68	647.07	395.18	988.12	780.44	791.35	547.75	400.71	679.29	291.04	547.75	693.58	780.44	1216.75	638.15	928.3	447.82	612.11	514.56	836.53	703.28	426.57	525.39	432.53	307.69	384.34	438.59	348.71	738.29	387.02	575.03	361.04	384.34	358.54	403.5	450.94	934.76	995.0	1183.45	753.83	420.68	836.53	507.46	226.54	395.18	249.73	1457.23	0.0	1498.22
