	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	TCGA.KM.8438.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8439.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.D7.A4Z0.01A.22R.A251.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.D7.8579.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.NFK9.1526.SM.3LK7B	GTEX.WFON.1126.SM.4LVMA	GTEX.145LT.1426.SM.5O9B3	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.ZXES.1426.SM.5NQ8S	GTEX.Y5V6.1326.SM.4VDTF	GTEX.13FH7.1026.SM.5IJGF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
CHRM2	81.71	154.42	0.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.78	363.56	157.68	267.73	620.67	273.37	743.43	1519.15	1551.09	1104.13	1397.83	371.22	5.96	120.1	22.26	4.17	9.78	62.12	0.0	0.0	0.0	0.0	6.11	0.0	0.0	0.0	0.0
CHRNA3	68.55	65.26	0.0	25.17	1.46	0.46	4.03	0.0	1.99	0.0	0.45	1.69	0.0	0.59	10.16	954.43	29.7	121.79	872.1	312.0	915.51	341.51	460.44	981.29	660.68	103.69	2.76	130.6	0.0	5.54	9.7	16.88	0.0	4.39	4.9	3.99	9.7	1.97	10.16	4.54	9.06
CNN1	7180.15	26248.46	169.07	178.77	30.78	320.8	76.17	67.59	111.99	63.89	775.05	35.25	56.68	1268.46	3081.75	57051.4	3168.41	6561.36	98646.85	30572.63	148488.36	73730.83	76330.98	95286.54	88291.3	39785.74	1081.39	43840.21	3124.78	3665.02	5366.37	18052.61	204.07	84.04	66.18	314.17	1051.79	75.64	204.07	96.68	110.43
CPED1	103.69	486.75	10.71	6.73	8.78	43.63	51.71	23.08	14.45	6.41	53.19	17.77	11.47	45.85	346.29	791.35	78.34	303.44	1259.69	872.1	1819.35	1781.89	1639.59	1572.76	1769.57	633.73	62.12	327.56	135.24	143.01	237.86	356.05	32.82	29.91	17.77	44.25	156.59	26.47	51.35	25.17	29.27
CSPG4	239.52	503.95	211.31	30.56	29.7	107.38	100.13	42.41	49.91	27.44	82.87	42.11	40.64	373.81	295.11	1015.93	162.14	432.53	3081.75	1191.69	2627.46	1896.65	2090.03	2796.65	2976.74	432.53	141.02	521.76	159.9	198.47	281.09	514.56	441.64	409.15	214.27	229.72	251.48	31.45	406.31	244.57	193.01
CSRP1	12943.04	26614.89	2178.83	4671.57	3212.66	4937.99	3589.58	2664.15	1709.26	1143.1	3349.13	2875.3	1628.26	4869.99	8022.41	45386.27	4639.29	10014.87	106462.55	22225.61	141455.6	77934.88	60723.88	87681.42	98646.85	23169.48	4358.66	23009.42	7485.11	9474.59	8191.0	19214.73	5479.15	7433.4	5292.48	7081.29	4903.87	6699.25	3955.48	6471.02	10883.59
CTB-133G6.1	26.47	76.71	1.79	0.47	0.37	0.93	0.8	0.8	1.5	0.0	3.59	1.28	4.78	0.52	48.87	381.68	5.87	18.56	450.94	95.34	242.88	212.78	215.77	236.21	314.17	80.01	8.45	85.22	5.28	84.04	15.45	60.39	0.21	0.27	0.24	0.91	6.52	0.56	2.89	1.5	1.62
CTNNA3	3.29	15.11	0.88	0.47	4.7	0.0	8.38	35.25	0.0	1.68	0.89	2.53	0.0	2.34	5.5	39.79	8.19	28.24	277.2	68.07	189.02	379.04	239.52	253.23	423.61	48.87	0.0	29.7	9.93	0.0	10.31	30.78	2.25	1.28	1.2	3.86	17.9	3.08	2.56	0.54	1.55
DACT3	175.07	507.46	23.93	10.24	30.78	32.59	18.84	13.03	25.91	87.65	60.82	20.26	3.47	145.02	242.88	854.13	167.9	460.44	1883.54	698.41	1721.16	1583.71	1340.84	2271.4	2520.38	703.28	72.01	603.67	195.72	206.94	397.93	511.0	59.13	21.47	23.59	108.9	289.02	7.94	38.95	28.86	50.98
DDR2	273.37	555.41	29.06	12.55	7.06	21.63	32.82	35.5	18.03	7.28	82.29	19.68	13.93	129.69	406.31	616.37	265.87	536.45	1519.15	1059.11	1745.2	2400.97	1551.09	1378.57	1963.57	769.69	99.43	341.51	236.21	251.48	285.03	890.44	209.84	158.79	204.07	102.25	450.94	94.67	242.88	111.21	111.99
DNAJB5	320.8	1073.91	63.0	59.97	115.16	64.8	95.34	98.73	358.54	185.11	334.46	72.52	356.05	242.88	236.21	2104.58	146.03	260.38	4607.24	1551.09	3443.31	3589.58	3589.58	3639.7	5006.93	1477.58	116.78	981.29	291.04	323.03	348.71	1233.75	164.42	155.5	98.73	395.18	514.56	71.0	327.56	281.09	113.56
DPT	1498.22	2335.28	5.28	0.47	14.14	71.0	22.59	11.47	1.48	0.42	19.97	1.69	1.43	18.16	116.78	444.72	42.41	403.5	3060.45	954.43	223.41	6294.04	6935.54	4388.98	6121.9	2502.97	329.84	1030.12	406.31	579.04	1721.16	3235.01	4.74	5.36	3.44	156.59	373.81	2.16	176.29	9.34	6.16
FAM19A4	11.64	4.54	0.0	0.45	0.34	0.0	4.35	1.95	0.96	0.0	0.42	0.39	0.0	1.91	4.46	138.1	9.13	169.07	105.15	72.52	255.0	532.74	921.88	1191.69	1605.83	90.14	3.72	202.66	1.75	0.0	3.79	25.54	0.0	0.27	0.25	0.0	0.0	0.6	3.82	0.59	0.85
FBXL22	100.13	271.48	9.63	15.11	2.53	13.83	3.59	7.06	11.82	13.03	10.63	10.47	9.93	34.26	100.13	607.87	43.32	183.82	1081.39	287.01	1167.14	1259.69	665.29	1651.0	1359.57	264.03	16.03	193.01	110.43	98.73	71.5	190.34	9.48	9.93	9.7	36.53	45.53	3.82	13.72	23.25	5.32
FBXO32	738.29	2816.11	708.18	651.58	55.89	269.6	61.68	85.22	211.31	872.1	236.21	163.28	237.86	426.57	579.04	3039.3	1015.93	1388.16	10659.59	1651.0	8305.36	5147.73	8840.04	8305.36	7130.55	2935.74	551.56	1662.49	518.15	563.18	830.75	1051.79	1561.89	954.43	791.35	466.88	1225.22	836.53	1477.58	438.59	3716.2
FGF10	56.68	31.22	0.0	0.46	0.36	0.0	0.39	0.39	0.0	0.0	0.0	0.0	0.0	1.97	111.21	115.16	2.73	20.26	595.34	223.41	211.31	332.14	575.03	540.19	656.11	193.01	17.64	110.43	24.99	47.84	54.72	88.88	0.0	0.0	0.0	0.0	85.82	0.0	3.69	0.0	0.0
FLNC	647.07	2956.17	8.13	3.92	1.91	18.97	6.57	6.89	19.11	130.6	191.67	17.64	169.07	68.07	796.86	5076.84	403.5	571.05	12853.63	5441.3	17681.08	10225.32	8305.36	8778.97	11664.82	2400.97	102.97	2485.67	309.83	262.2	366.09	1498.22	64.8	7.94	2.36	13.62	84.63	16.88	8.06	2.25	63.89
FNBP1	708.18	1936.53	190.34	248.0	232.94	175.07	339.14	186.4	95.34	195.72	271.48	228.13	199.85	381.68	808.0	2720.15	444.72	551.56	3540.14	1359.57	2796.65	2758.13	3018.3	2537.92	3467.27	1427.22	236.21	878.17	403.5	769.69	395.18	909.17	248.0	169.07	277.2	371.22	595.34	275.28	392.44	395.18	269.6
FOXF1	514.56	961.07	23.42	13.62	15.22	40.93	19.97	20.56	10.63	4.78	19.53	13.72	10.71	118.43	941.27	1295.13	224.97	759.08	2720.15	819.3	2018.8	4575.41	3168.41	4575.41	4066.71	1199.98	165.57	638.15	400.71	412.0	277.2	674.59	70.01	138.1	42.11	105.15	72.01	30.78	88.88	143.01	98.73
FOXF2	412.0	836.53	1.36	1.46	0.75	3.32	1.23	7.63	4.06	5.59	2.27	2.58	0.0	37.32	583.07	785.88	133.36	271.48	1127.35	651.58	1175.27	1977.24	2835.7	2816.11	2682.69	753.83	297.17	447.82	543.96	521.76	273.37	555.41	10.71	14.45	38.4	35.0	66.18	46.5	228.13	11.21	16.03
FRRS1L	6.78	12.93	0.43	0.0	0.0	0.46	0.0	0.0	0.0	0.84	0.0	0.84	1.41	6.52	33.54	86.43	12.45	38.4	195.72	47.5	150.17	224.97	172.65	239.52	201.25	84.04	1.95	21.32	6.78	10.31	11.55	12.93	1.41	0.0	9.63	0.77	1.45	16.63	4.21	0.37	16.27
FXYD1	1111.82	1322.37	36.27	4.98	13.22	260.38	66.18	23.25	83.45	0.0	351.14	66.65	20.56	547.75	571.05	1519.15	463.65	796.86	1733.13	620.67	1457.23	5517.27	4239.45	2956.17	2104.58	2935.74	218.79	1477.58	1066.48	1051.79	1745.2	2163.77	7.11	53.57	26.86	285.03	447.82	10.39	145.02	7.4	100.83
GAS7	255.0	262.2	6.31	37.85	12.18	33.3	23.93	16.88	13.62	16.63	34.75	12.45	34.02	32.36	255.0	289.02	139.07	120.94	450.94	559.28	189.02	974.5	909.17	802.41	921.88	387.02	92.7	295.11	96.68	139.07	134.3	329.84	19.82	19.82	11.21	41.52	260.38	17.38	30.56	49.21	38.95
GFOD1	77.79	92.05	25.54	9.27	5.63	24.99	21.63	7.69	9.13	9.06	17.64	14.24	25.54	115.97	86.43	343.89	65.26	133.36	279.14	209.84	1259.69	426.57	379.04	511.0	518.15	223.41	70.51	208.38	69.52	101.54	140.04	209.84	64.8	45.53	23.08	100.13	102.25	21.78	71.0	59.97	51.71
HAND2	267.73	791.35	0.0	0.0	0.0	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.45	56.68	1757.34	142.01	583.07	3018.3	1199.98	2777.33	4543.8	5366.37	6426.31	5831.91	1540.37	76.17	1175.27	73.03	77.25	111.21	629.35	1.71	3.44	0.0	45.21	86.43	14.03	9.56	34.02	10.79
HIF3A	406.31	547.75	38.95	2.97	4.54	38.12	17.38	3.72	8.19	17.38	6.94	3.96	9.85	9.7	258.57	1008.9	154.42	221.86	3146.52	334.46	1295.13	3325.99	4010.71	3103.19	3564.78	1628.26	620.67	802.41	323.03	872.1	490.14	1059.11	16.27	61.68	37.59	111.21	46.84	40.36	151.22	36.53	96.01
HSPB6	2335.28	2485.67	688.78	141.02	60.82	265.87	96.68	119.26	316.37	52.82	974.5	58.71	30.12	974.5	4388.98	34876.28	3081.75	10084.54	67846.12	12160.22	88291.3	90773.53	79022.82	65082.31	97965.44	14971.21	780.44	20310.37	2163.77	3955.48	5041.77	18431.96	68.07	122.64	42.11	525.39	860.08	46.18	444.72	99.43	237.86
IL17B	20.86	21.01	2.73	3.89	4.1	5.73	1.25	2.05	4.58	3.47	18.56	0.0	0.0	20.71	26.1	38.12	13.22	65.26	86.43	17.77	96.01	77.25	63.45	93.35	87.65	15.56	0.0	17.38	15.0	6.78	22.59	32.59	11.21	0.0	15.91	0.0	0.0	0.0	4.31	1.45	8.32
ITGB1BP2	34.51	92.05	9.56	1.01	5.28	37.05	0.44	1.68	7.17	2.2	12.36	11.3	7.82	40.93	38.12	162.14	61.68	55.49	409.15	113.56	258.57	363.56	444.72	429.54	423.61	54.33	33.78	50.63	28.04	41.52	29.48	67.12	14.35	11.13	0.0	24.81	25.35	7.11	5.87	15.0	47.84
JPH2	187.71	571.05	11.73	373.81	1.53	638.15	4.94	2.07	35.76	115.16	96.01	3.5	99.43	45.53	187.71	819.3	211.31	376.41	1733.13	995.0	1844.76	1923.14	1467.37	1844.76	2090.03	698.41	54.33	500.46	220.32	129.69	223.41	389.72	94.01	46.5	13.83	98.04	18.97	120.1	19.11	74.06	115.16
KANK2	1963.57	5441.3	540.19	660.68	1733.13	878.17	1259.69	1628.26	921.88	1407.55	603.67	825.0	567.1	1477.58	1662.49	4095.0	1268.46	2090.03	8078.22	5555.65	9025.81	9945.68	9606.86	9808.75	12329.98	4671.57	890.44	2573.36	1340.84	1709.26	1806.78	3716.2	1950.0	1127.35	1199.98	1594.73	2739.08	1639.59	1199.98	1397.83	1487.87
KCNMA1	463.65	1508.65	81.14	947.83	22.59	320.8	15.0	48.87	400.71	80.01	131.51	34.02	165.57	165.57	409.15	2224.63	444.72	872.1	3039.3	1883.54	4869.99	3540.14	3018.3	3665.02	4066.71	2224.63	92.7	1015.93	176.29	269.6	381.68	1059.11	289.02	1519.15	24.28	105.15	228.13	44.25	51.71	65.72	511.0
KCNMB1	228.13	529.06	6.78	13.12	7.46	19.82	15.91	4.9	11.64	4.78	56.68	9.06	11.21	88.26	201.25	1268.46	255.0	470.14	2209.26	633.73	2193.99	1697.45	1447.15	2351.53	2209.26	1044.52	67.12	563.18	185.11	255.0	264.03	647.07	30.34	18.03	8.25	17.64	56.68	13.12	16.39	14.67	18.29
KLHL33	4.17	5.11	0.44	0.0	0.0	0.0	3.26	0.0	0.0	0.0	0.45	0.85	0.0	1.16	0.91	7.22	4.43	1.45	3.17	13.83	3.47	27.44	12.27	14.78	15.22	7.34	3.0	4.03	3.26	4.54	2.61	2.46	0.58	0.69	2.01	3.38	3.41	0.62	1.31	0.0	1.68
LDB3	99.43	305.55	6.36	1.99	1.91	18.97	10.63	7.69	6.62	4.78	11.38	3.5	2.94	44.89	85.82	698.41	47.5	105.89	1498.22	438.59	1304.15	1359.57	1340.84	1674.06	1594.73	363.56	57.89	232.94	106.63	58.71	540.19	220.32	8.99	32.82	12.93	26.67	32.13	8.85	117.6	14.24	14.14
LGI1	44.89	39.22	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.0	36.01	24.63	10.39	6.52	25.91	28.65	94.01	36.27	48.87	60.82	101.54	40.36	28.24	46.5	11.91	31.45	20.11	47.17	0.0	0.0	0.46	2.36	2.2	0.0	1.08	0.0	2.32
LIMS2	1617.0	2502.97	379.04	175.07	75.64	525.39	329.84	346.29	214.27	532.74	353.59	156.59	167.9	1037.29	872.1	5329.3	981.29	1870.53	8840.04	2209.26	10296.45	9279.58	9279.58	8658.09	8963.45	2417.67	713.11	2720.15	1151.06	1447.15	1519.15	2573.36	775.05	842.36	435.55	1594.73	1183.45	532.74	1583.71	684.02	1268.46
LMOD1	1359.57	5041.77	11.73	23.76	8.19	158.79	35.25	32.59	40.64	15.0	239.52	30.34	11.13	607.87	1175.27	6426.31	1259.69	2400.97	12244.81	4512.4	14971.21	11909.94	11189.6	14765.09	16496.96	12415.75	575.03	4066.71	1709.26	1617.0	3280.18	5672.41	103.69	143.01	125.24	297.17	343.89	55.89	273.37	183.82	165.57
LMOD3	3.96	0.43	0.45	1.93	1.11	0.47	0.0	0.4	1.01	0.85	1.81	2.56	2.89	2.41	1.71	44.25	14.56	3.17	63.89	27.05	48.52	5.63	204.07	41.52	73.54	20.56	3.03	6.21	4.43	2.2	9.27	10.55	2.43	2.2	1.48	1.43	1.0	1.99	1.48	1.39	0.0
LPP	368.65	1242.34	124.37	76.17	119.26	75.64	237.86	193.01	170.25	205.5	260.38	199.85	221.86	209.84	1487.87	4268.94	902.89	1594.73	8305.36	3419.52	8421.31	7911.95	5329.3	6381.92	10808.41	2609.3	540.19	1498.22	775.05	808.0	1191.69	2351.53	163.28	143.01	127.0	121.79	264.03	122.64	202.66	104.42	108.9
MAMDC2	429.54	693.58	2.61	1.39	3.23	11.47	12.64	11.38	19.53	4.17	75.11	10.0	52.08	8.92	166.73	218.79	55.49	120.94	587.13	244.57	348.71	1313.23	1225.22	1030.12	1295.13	825.0	204.07	366.09	191.67	291.04	244.57	1151.06	17.13	24.28	6.41	33.54	111.99	21.32	19.53	9.7	73.03
MICAL2	1051.79	2224.63	72.01	33.3	48.52	96.01	62.12	89.51	54.72	76.17	224.97	185.11	146.03	638.15	1572.76	1857.6	563.18	1322.37	4639.29	2976.74	4575.41	3564.78	2451.44	4210.15	5672.41	1250.98	412.0	1407.55	854.13	753.83	616.37	1331.57	297.17	457.25	108.9	237.86	1081.39	228.13	226.54	157.68	113.56
MRGPRF	575.03	1721.16	2.29	1.99	1.16	25.54	8.65	5.32	21.16	6.52	98.04	10.39	3.92	144.01	551.56	2367.9	395.18	733.19	4512.4	1832.01	4010.71	5479.15	5366.37	5954.47	5913.33	1529.73	122.64	612.11	353.59	409.15	320.8	1096.5	13.22	9.78	12.83	57.49	149.12	16.27	40.07	10.55	29.48
MRVI1	314.17	866.07	299.25	264.03	13.52	318.57	25.54	39.5	22.43	16.88	123.5	31.0	18.03	303.44	947.83	1639.59	400.71	872.1	2976.74	1781.89	3665.02	2720.15	3235.01	2855.44	3349.13	1242.34	189.02	872.1	587.13	723.08	486.75	1183.45	143.01	78.89	75.64	242.88	305.55	68.07	209.84	162.14	173.85
MSRB3	441.64	1167.14	56.68	30.56	16.39	60.39	52.08	58.3	82.29	56.68	164.42	36.53	31.45	303.44	466.88	1540.37	214.27	665.29	3395.89	1407.55	4543.8	3847.29	3564.78	3742.05	4268.94	1350.18	138.1	842.36	334.46	325.29	583.07	1051.79	195.72	107.38	81.14	277.2	629.35	71.0	165.57	152.28	143.01
MT-CO1	2845004.48	2279047.19	2805836.45	3551506.25	3007221.12	4282434.24	3290783.22	3551506.25	5420519.65	3113270.58	3526974.2	3028138.0	4342214.81	3454390.1	2786455.11	1788103.97	3651352.71	2408994.05	1929772.37	1956711.0	1691649.38	1751305.3	1514068.5	1482909.4	1412675.8	1739208.14	3091765.64	1970321.01	2924988.47	2359417.65	3995652.37	2156109.97	3832885.91	7202167.89	4885245.74	3676749.88	6956835.58	5308966.95	3676749.88	3526974.2	9307742.35
MYLK	4802.93	14262.1	480.04	135.24	102.25	195.72	384.34	1628.26	1268.46	551.56	769.69	309.83	379.04	1183.45	2573.36	17927.91	2400.97	5711.87	54349.29	19892.37	48643.87	35609.13	28132.47	46662.28	47974.16	14561.8	819.3	9673.69	1832.01	2255.7	2682.69	9344.14	759.08	368.65	229.72	718.08	1191.69	669.92	808.0	688.78	607.87
MYOCD	85.22	295.11	0.89	0.96	0.38	2.34	1.22	3.17	1.0	0.43	8.45	2.12	0.48	27.25	165.57	511.0	67.12	206.94	830.75	454.09	1427.22	1183.45	928.3	1313.23	2018.8	392.44	29.7	414.87	141.02	190.34	137.14	283.05	5.41	7.57	3.59	9.27	13.62	6.31	12.55	1.06	5.15
MYOM1	143.01	253.23	10.24	13.42	4.82	38.67	13.72	32.13	2.03	8.92	11.21	5.15	8.19	713.11	36.01	220.32	21.78	72.52	457.25	167.9	441.64	703.28	316.37	551.56	629.35	125.24	27.05	153.34	135.24	67.12	232.94	199.85	35.5	22.43	21.78	81.71	64.8	12.83	96.01	40.07	30.56
NACC2	208.38	555.41	128.79	143.01	249.73	170.25	301.33	314.17	140.04	173.85	223.41	287.01	201.25	195.72	363.56	713.11	217.27	271.48	1529.73	1066.48	1540.37	1561.89	1427.22	1781.89	2133.97	583.07	140.04	381.68	241.19	209.84	258.57	444.72	108.14	108.14	108.9	155.5	122.64	120.1	205.5	139.07	108.9
NDN	403.5	483.38	98.04	31.22	40.93	49.21	148.09	20.71	81.14	229.72	117.6	84.04	51.35	195.72	341.51	813.63	198.47	397.93	1119.56	579.04	1143.1	1540.37	1427.22	1674.06	1551.09	629.35	234.57	486.75	368.65	361.04	389.72	642.59	121.79	285.03	91.41	358.54	457.25	89.51	152.28	336.79	325.29
NEGR1	194.36	346.29	1.36	0.0	9.56	4.24	33.78	8.38	387.02	0.45	176.29	18.16	5.77	11.38	153.34	457.25	63.45	209.84	954.43	356.05	775.05	1268.46	1304.15	1242.34	1540.37	591.22	108.9	293.07	127.89	119.26	202.66	384.34	1.2	7.28	35.0	7.22	88.26	1.83	21.94	17.25	2.94
NEXN	293.07	1322.37	94.01	480.04	47.5	199.85	59.97	38.95	28.24	75.64	94.67	21.01	36.79	234.57	909.17	3467.27	819.3	1540.37	5995.9	2133.97	8538.88	8022.41	6607.01	7331.05	7032.37	2682.69	224.97	1225.22	693.58	669.92	1015.93	1870.53	82.87	121.79	98.04	163.28	381.68	111.21	198.47	79.45	127.89
