	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.G9.6385.01A.11R.1789.07	TCGA.KK.A8ID.01A.11R.A36G.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.V1.A9OL.01A.11R.A41O.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.YL.A8SL.01B.21R.A37L.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.A4ZV.01A.11R.A26U.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A9WI.01A.11R.A37L.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.ZG.A9L5.01A.12R.A41O.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.YJ.A8SW.01A.11R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.CH.5767.01A.11R.1789.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.J9.A8CL.01A.11R.A352.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.VP.A876.01A.11R.A352.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.ZG.A9KY.01A.11R.A41O.07	TCGA.EJ.7789.01A.11R.2118.07	TCGA.YL.A8S8.01A.11R.A37L.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.A46G.01A.31R.A26U.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.VP.A87H.01A.11R.A352.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.G9.6356.11A.01R.1789.07
BUB1	14.03	12.09	7.22	15.22	111.99	9.78	8.65	118.43	9.85	108.14	25.72	142.01	18.56	23.42	94.01	21.01	57.49	32.36	63.45	16.51	20.71	5.87	17.13	76.17	10.0	14.78	9.63	29.91	13.12	10.39	88.26	19.11	15.34	67.59	18.43	82.87	63.0	14.56	11.38	151.22	77.79	93.35	24.81	17.13	89.51	3.92	20.41	43.94	63.89	38.67	35.25	8.13	39.22	38.12	19.39	13.03	13.52	5.87	9.34	12.09	6.36	7.06	9.7
CACFD1	759.08	866.07	595.34	551.56	802.41	941.27	698.41	1143.1	698.41	1159.07	476.71	1143.1	738.29	819.3	1088.92	698.41	1088.92	967.76	836.53	796.86	791.35	438.59	743.43	624.99	583.07	463.65	633.73	1191.69	728.11	466.88	703.28	738.29	540.19	928.3	878.17	733.19	595.34	429.54	583.07	1508.65	1183.45	884.29	1175.27	813.63	1159.07	1015.93	785.88	934.76	830.75	748.61	934.76	587.13	915.51	981.29	921.88	343.89	392.44	536.45	518.15	379.04	351.14	607.87	497.0
CBX8	52.45	130.6	118.43	91.41	336.79	151.22	94.67	172.65	63.45	217.27	161.02	103.69	202.66	120.1	176.29	173.85	167.9	199.85	102.97	136.19	90.14	47.84	82.29	113.56	115.16	157.68	121.79	226.54	112.77	66.18	142.01	108.9	120.94	193.01	348.71	178.77	183.82	157.68	95.34	269.6	215.77	242.88	126.12	105.89	211.31	60.82	130.6	169.07	277.2	267.73	215.77	140.04	156.59	137.14	136.19	85.22	63.89	71.0	39.5	111.99	88.88	139.07	45.85
CCNA2	30.34	38.95	14.56	27.25	96.01	27.25	17.64	236.21	19.97	102.97	46.84	343.89	38.12	43.63	281.09	31.45	128.79	61.68	113.56	28.45	64.34	13.62	39.22	111.21	19.97	28.86	23.08	44.57	44.57	25.35	73.54	50.98	28.24	154.42	29.06	152.28	76.17	32.36	50.27	258.57	119.26	143.01	59.13	43.63	102.97	13.93	31.45	69.03	105.89	63.89	33.54	20.26	51.71	55.1	38.4	23.42	24.11	22.43	10.24	12.64	25.54	14.35	17.25
CCNB2	111.99	81.14	74.58	86.43	195.72	40.07	139.07	325.29	94.67	376.41	68.55	476.71	197.09	46.18	320.8	120.94	148.09	103.69	189.02	52.08	85.22	55.89	58.71	223.41	49.91	67.12	57.89	231.32	84.04	34.51	269.6	91.41	87.03	132.44	53.19	279.14	199.85	81.71	70.51	218.79	170.25	220.32	120.94	77.25	493.56	37.59	78.89	96.68	255.0	81.71	199.85	47.84	177.53	94.67	90.77	78.34	33.06	70.51	65.72	59.97	61.25	75.64	47.84
CCNE2	19.39	12.27	22.43	12.27	50.98	14.67	6.73	63.45	28.45	91.41	24.81	127.0	26.28	26.1	50.63	13.22	46.5	24.46	82.29	16.27	23.42	10.71	15.22	56.68	11.82	30.12	21.32	35.0	34.51	15.0	59.97	13.03	21.78	70.51	22.59	48.87	37.85	14.24	21.32	120.1	156.59	40.07	16.51	31.0	65.72	7.63	21.16	32.82	27.44	31.45	7.06	12.18	46.18	15.45	21.78	31.0	20.41	11.13	6.89	11.91	23.25	8.78	17.9
CDC20	38.67	51.71	20.56	56.68	260.38	16.88	31.45	698.41	22.43	371.22	60.39	518.15	65.72	60.82	356.05	70.51	221.86	105.15	253.23	35.5	115.16	17.13	40.36	205.5	50.63	41.81	41.22	91.41	38.4	16.51	376.41	114.36	28.65	199.85	80.57	193.01	155.5	44.25	51.35	249.73	267.73	94.01	124.37	43.63	275.28	37.05	68.55	136.19	361.04	128.79	84.63	70.51	204.07	90.77	55.89	29.91	11.04	43.32	13.72	10.79	14.24	21.78	17.9
CDC25C	12.27	8.58	3.76	8.13	54.33	5.19	3.99	60.39	4.28	94.01	15.68	101.54	9.34	16.88	66.65	12.55	30.56	18.56	35.25	9.34	21.16	0.99	8.45	30.34	6.26	13.03	6.21	23.08	11.82	5.02	67.59	16.88	7.88	71.5	9.63	51.35	31.67	9.2	3.79	102.97	70.51	85.82	17.13	14.45	42.41	1.46	16.39	18.16	46.5	19.82	13.72	9.41	24.99	18.03	11.82	6.31	0.89	6.21	3.11	0.59	4.78	2.76	2.92
CDC45	34.26	20.71	14.14	22.92	87.03	27.44	12.18	76.17	17.51	176.29	26.47	128.79	20.56	23.42	130.6	25.72	49.21	34.51	76.71	29.48	38.67	7.28	26.67	54.72	18.56	30.12	10.31	39.5	26.67	11.55	237.86	32.59	19.68	74.58	22.1	56.68	67.12	27.05	33.3	246.28	126.12	102.25	68.55	39.22	112.77	20.26	22.92	50.98	60.82	36.79	22.43	13.52	41.81	34.51	148.09	12.45	8.45	12.83	3.38	10.24	15.0	19.97	17.13
CDCA3	74.58	108.9	45.53	66.18	194.36	55.1	40.64	395.18	49.91	397.93	106.63	698.41	63.45	61.68	412.0	106.63	202.66	139.07	239.52	43.63	104.42	28.45	63.45	175.07	49.91	49.91	41.52	55.89	68.07	36.01	599.49	111.21	41.22	438.59	70.01	221.86	170.25	50.27	61.68	403.5	341.51	260.38	124.37	67.12	269.6	25.72	34.02	167.9	351.14	108.14	81.71	55.1	244.57	108.9	99.43	33.54	22.43	36.79	19.68	23.42	34.26	36.79	32.13
CDCA5	36.79	42.11	19.25	48.87	120.1	26.86	26.28	228.13	30.12	167.9	51.71	262.2	33.54	47.17	223.41	44.57	119.26	74.06	126.12	39.22	50.63	24.28	38.67	156.59	32.82	35.25	24.63	39.22	36.53	27.84	246.28	53.19	30.78	152.28	46.5	121.79	81.14	51.71	32.59	251.48	153.34	132.44	67.59	47.17	177.53	17.13	45.85	57.08	105.15	75.11	42.11	34.02	67.59	66.65	51.71	31.0	15.22	21.94	18.16	16.63	23.08	31.22	22.26
CDCA8	23.76	33.54	18.29	33.3	116.78	37.85	35.25	130.6	21.78	136.19	49.21	217.27	40.93	40.36	151.22	45.85	76.17	55.49	91.41	58.71	44.89	22.1	32.13	97.36	32.59	29.27	39.5	52.45	31.22	26.28	142.01	43.02	25.54	110.43	31.0	97.36	72.52	26.86	29.7	175.07	129.69	112.77	52.82	38.4	82.29	31.0	42.41	88.88	96.01	53.19	38.95	27.64	82.29	45.53	48.18	32.13	21.32	25.35	13.72	21.16	22.75	30.34	24.63
CDK1	64.8	78.89	59.55	48.52	258.57	44.89	48.52	368.65	33.06	199.85	78.89	543.96	113.56	59.13	371.22	74.58	265.87	86.43	134.3	48.87	113.56	25.17	81.14	289.02	42.11	65.26	35.76	79.45	96.68	63.45	400.71	86.43	38.67	341.51	57.08	271.48	181.28	97.36	67.12	454.09	507.46	255.0	120.1	83.45	327.56	50.63	58.71	173.85	193.01	70.01	102.25	54.72	186.4	98.04	78.34	44.57	14.78	40.64	15.8	27.25	39.79	39.5	30.34
CDKN2AIPNL	466.88	878.17	547.75	486.75	1350.18	708.18	693.58	620.67	473.41	1175.27	599.49	896.64	764.36	665.29	902.89	642.59	830.75	830.75	647.07	603.67	638.15	536.45	688.78	1088.92	802.41	483.38	780.44	555.41	660.68	723.08	693.58	941.27	432.53	1583.71	785.88	921.88	551.56	674.59	743.43	1208.34	1295.13	1447.15	860.08	769.69	1151.06	351.14	688.78	571.05	934.76	651.58	607.87	728.11	571.05	583.07	656.11	466.88	397.93	633.73	438.59	497.0	466.88	764.36	466.88
CDKN3	38.4	66.18	26.67	36.79	195.72	35.76	33.3	244.57	60.39	167.9	58.3	283.05	55.1	76.71	403.5	49.56	186.4	116.78	161.02	57.08	93.35	15.91	51.35	180.02	36.79	53.57	33.78	66.18	44.57	42.11	392.44	108.14	30.34	229.72	38.4	182.55	114.36	55.1	46.18	214.27	325.29	267.73	76.17	68.07	232.94	20.56	33.06	109.66	246.28	123.5	68.07	88.26	81.14	63.0	58.71	28.04	17.9	31.9	14.14	27.25	26.67	34.51	24.11
CENPA	16.03	36.27	6.78	15.8	137.14	6.57	11.21	143.01	4.66	113.56	25.72	199.85	14.78	23.59	155.5	18.43	65.26	45.85	85.22	9.13	31.45	5.19	11.73	104.42	11.82	13.72	10.08	15.34	25.54	8.71	81.71	29.48	3.41	89.51	20.26	75.64	52.08	20.41	15.68	106.63	137.14	159.9	31.0	10.31	79.45	4.54	15.22	28.04	78.34	34.75	16.75	9.41	48.87	26.86	17.51	9.34	4.7	9.48	1.91	6.11	8.25	3.0	5.63
CENPF	27.05	15.68	17.9	22.92	172.65	15.56	20.56	121.79	12.18	329.84	51.71	764.36	26.67	33.06	242.88	41.22	173.85	61.68	136.19	25.17	50.98	8.32	12.83	118.43	32.82	18.84	20.56	45.53	40.07	19.11	256.78	35.25	17.25	187.71	31.22	153.34	45.53	42.71	19.68	291.04	295.11	143.01	47.5	33.78	236.21	12.36	45.21	69.03	161.02	70.51	26.86	28.24	99.43	46.5	40.64	11.64	4.43	10.63	7.82	16.63	4.54	5.32	12.93
CEP55	13.32	10.47	5.5	11.91	49.21	7.06	8.78	48.87	8.71	64.8	17.38	144.01	12.64	13.22	102.97	16.39	50.27	20.11	35.0	11.73	22.92	4.98	12.83	67.59	11.73	10.47	5.77	11.21	11.64	12.27	67.59	17.0	8.65	101.54	9.78	53.95	33.54	10.96	15.68	94.67	85.22	54.72	20.41	13.42	35.25	1.66	18.84	32.82	52.45	28.04	8.32	9.85	27.84	26.67	16.88	8.06	1.79	6.46	2.01	5.59	5.02	9.2	9.13
DAPK1	269.6	236.21	167.9	159.9	409.15	260.38	183.82	307.69	231.32	738.29	289.02	403.5	775.05	392.44	61.68	236.21	947.83	400.71	293.07	305.55	379.04	94.67	423.61	43.32	155.5	420.68	291.04	490.14	444.72	166.73	460.44	163.28	143.01	638.15	738.29	638.15	532.74	307.69	132.44	713.11	571.05	303.44	463.65	473.41	723.08	283.05	140.04	444.72	583.07	466.88	309.83	103.69	249.73	185.11	409.15	176.29	165.57	77.25	105.15	191.67	128.79	146.03	104.42
DAZAP1	1628.26	1487.87	1127.35	1322.37	2875.3	1721.16	1208.34	2701.35	1896.65	2193.99	1757.34	2178.83	1540.37	1806.78	2417.67	1127.35	2682.69	2875.3	1487.87	1295.13	1883.54	1104.13	1561.89	1909.85	1167.14	1832.01	1508.65	1806.78	1088.92	974.5	1769.57	2075.59	1936.53	2367.9	1639.59	2104.58	1870.53	1651.0	1844.76	2047.0	1685.71	3103.19	2090.03	1467.37	2384.37	1277.29	1322.37	1745.2	3325.99	1388.16	1073.91	1259.69	2075.59	1745.2	2061.24	1001.93	1378.57	1350.18	1023.0	1216.75	1151.06	1127.35	1498.22
DEPDC1B	11.55	8.99	4.39	11.21	59.97	9.34	4.62	87.65	6.16	82.87	13.12	116.78	16.63	13.22	63.45	13.03	49.91	20.71	39.22	10.71	18.84	3.35	5.59	69.03	20.41	10.47	5.63	14.35	21.01	7.75	54.72	14.56	9.85	48.87	5.28	58.71	34.51	13.42	11.21	106.63	31.67	27.44	14.78	14.03	75.11	2.92	11.04	15.22	18.84	18.16	26.1	10.16	39.5	22.43	13.22	4.06	8.25	5.06	1.85	3.29	5.59	4.46	3.72
DLGAP5	16.39	5.5	4.35	8.58	54.33	6.46	5.73	80.57	4.54	62.12	15.8	63.45	7.57	12.64	80.57	14.67	43.32	22.59	40.36	9.41	14.45	5.11	12.64	57.89	6.41	7.4	4.31	18.03	13.72	7.57	50.63	11.3	5.87	33.78	6.36	76.71	30.78	10.47	12.27	85.82	79.45	63.0	14.78	16.63	50.27	1.3	10.31	25.17	53.19	19.97	10.39	6.36	19.97	23.08	11.82	6.26	1.38	3.35	2.23	3.5	6.36	5.54	3.03
DVL1	866.07	1127.35	693.58	723.08	1208.34	1322.37	884.29	1745.2	854.13	1268.46	1001.93	1350.18	1191.69	1096.5	1628.26	1119.56	1127.35	2104.58	1104.13	1059.11	1167.14	688.78	1037.29	1175.27	909.17	967.76	830.75	1030.12	961.07	486.75	1769.57	1225.22	988.12	1277.29	1407.55	1216.75	1250.98	1066.48	896.64	2224.63	1225.22	1540.37	1447.15	974.5	1378.57	896.64	995.0	1286.18	1794.29	1135.2	921.88	775.05	1781.89	1407.55	1167.14	503.95	825.0	791.35	583.07	684.02	547.75	616.37	638.15
ESPL1	8.32	4.24	4.13	6.21	33.54	6.84	4.06	50.63	8.71	59.97	14.14	143.01	4.86	8.65	59.55	10.16	37.59	16.63	20.41	7.75	18.29	6.11	9.93	42.71	4.5	10.0	4.82	13.03	6.78	5.59	48.87	9.78	7.06	75.11	5.19	36.79	19.53	8.99	11.21	87.65	43.63	35.5	14.24	7.63	100.83	1.5	6.46	11.91	36.79	13.12	10.71	6.16	23.08	12.64	15.34	8.51	3.41	7.75	4.62	3.06	9.06	4.82	7.0
FAM189A1	23.08	9.48	35.5	11.82	34.26	6.11	26.28	19.11	4.86	195.72	18.03	54.72	8.99	19.97	63.45	11.3	6.11	84.04	16.51	8.32	30.56	5.77	4.39	36.27	9.63	15.22	13.22	105.89	23.59	11.38	41.22	6.16	33.54	10.88	33.78	79.45	38.12	33.78	5.36	98.04	83.45	102.97	38.12	29.7	101.54	42.41	22.75	80.01	94.01	21.78	69.03	9.63	21.32	28.65	24.46	7.17	9.78	15.0	6.11	34.02	4.9	22.75	9.2
FAM64A	29.06	25.54	10.88	27.44	52.45	18.43	15.45	108.9	8.71	165.57	32.13	134.3	26.1	31.22	239.52	55.89	66.18	48.87	32.36	16.39	56.28	3.26	33.3	81.14	18.29	19.68	14.67	40.07	27.44	10.96	241.19	44.89	13.52	147.06	31.0	59.55	89.51	18.29	16.27	201.25	85.82	102.97	53.19	29.91	74.06	5.36	18.84	41.22	77.25	23.42	32.13	14.89	79.45	35.0	36.01	16.63	3.92	12.64	2.2	6.26	7.0	9.06	10.55
FAM72D	6.62	5.02	2.56	3.72	8.85	2.34	2.51	30.12	1.46	28.45	3.72	21.01	7.34	9.27	28.45	6.73	40.64	15.0	12.36	3.56	2.18	0.0	4.78	10.55	3.59	6.52	4.94	8.85	5.36	2.71	14.14	3.17	3.96	21.16	4.58	17.64	7.17	6.11	10.96	19.11	31.9	19.25	10.71	4.54	23.08	1.75	6.84	13.62	18.29	8.51	1.91	4.78	12.74	4.7	5.77	4.06	3.89	1.17	1.25	0.78	2.2	1.45	1.89
FANCD2	133.36	102.25	75.11	108.14	101.54	122.64	72.01	260.38	75.64	295.11	104.42	215.77	136.19	87.65	248.0	106.63	115.16	139.07	132.44	130.6	102.97	57.49	98.73	277.2	94.01	111.21	85.82	138.1	107.38	85.82	189.02	73.03	115.97	201.25	90.77	105.89	156.59	98.73	84.04	199.85	251.48	190.34	124.37	62.56	115.97	60.39	84.63	111.21	450.94	151.22	97.36	75.11	134.3	92.7	138.1	85.82	102.97	64.34	64.8	85.82	88.88	47.17	65.26
FOXM1	52.82	50.27	23.76	53.19	181.28	47.5	43.63	289.02	48.52	435.55	65.72	454.09	59.55	82.87	312.0	60.82	136.19	131.51	162.14	63.0	71.0	22.43	57.08	265.87	53.95	51.35	39.79	46.84	55.1	22.92	353.59	81.71	42.11	291.04	33.54	194.36	137.14	40.64	66.18	287.01	169.07	273.37	90.77	58.3	297.17	28.65	53.57	100.83	406.31	102.97	63.89	41.52	115.16	115.16	75.11	33.06	27.44	30.78	18.29	18.56	19.97	23.08	43.94
GRK6	529.06	521.76	454.09	500.46	954.43	454.09	490.14	665.29	490.14	791.35	607.87	723.08	571.05	612.11	547.75	543.96	497.0	669.92	414.87	441.64	656.11	397.93	438.59	642.59	616.37	607.87	414.87	547.75	444.72	351.14	764.36	599.49	503.95	612.11	525.39	559.28	642.59	473.41	486.75	738.29	780.44	836.53	620.67	417.77	738.29	486.75	503.95	444.72	775.05	400.71	463.65	366.09	575.03	723.08	525.39	395.18	426.57	483.38	444.72	426.57	392.44	507.46	476.71
GTSE1	18.43	15.91	4.74	9.7	80.57	5.36	12.36	110.43	7.06	127.89	18.56	144.01	17.13	21.78	127.0	17.77	91.41	28.04	45.21	10.79	23.42	5.54	12.45	68.07	11.13	16.27	6.11	28.86	10.88	7.34	67.12	19.97	10.08	58.71	20.56	55.49	58.3	19.97	6.62	182.55	126.12	77.25	25.91	19.68	119.26	4.86	19.82	36.27	58.3	22.59	15.22	7.82	44.25	35.76	23.42	7.63	1.51	7.51	6.46	3.32	3.72	5.36	2.32
HJURP	22.43	16.63	15.91	13.93	115.97	17.51	16.63	140.04	17.64	120.94	39.5	224.97	30.34	38.95	126.12	30.34	84.63	46.84	94.01	14.78	53.19	3.56	10.31	43.94	26.28	20.71	70.51	35.25	63.45	25.54	133.36	63.45	25.35	182.55	24.63	143.01	82.29	24.28	45.85	189.02	138.1	82.87	61.68	31.0	144.01	8.78	19.82	65.72	63.89	34.26	29.91	68.07	79.45	52.45	29.7	11.82	3.56	8.45	1.64	5.68	4.74	18.56	8.85
