	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.LL.A440.01A.11R.A24H.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139YR.0226.SM.5IFEM	GTEX.146FH.1526.SM.5NQBU	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.131XE.0326.SM.5LZVO	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.VUSG.0126.SM.4KL1X	TCGA.86.A4P8.01A.11R.A24X.07	GTEX.13NZ9.0926.SM.5KM12	GTEX.13N11.0326.SM.5LUA3	TCGA.34.8454.11A.01R.2326.07	GTEX.13NZ9.1126.SM.5MR37
C19orf44	143.01	143.01	122.64	107.38	37.59	59.13	36.79	14.35	22.43	34.51	38.67	25.54	49.21	63.89	48.18	65.72	47.5	50.98	21.63	92.05	20.41	63.0	36.53	63.0	43.63	130.6	132.44	130.6	123.5	176.29
C9orf142	1674.06	1674.06	1896.65	896.64	651.58	802.41	878.17	651.58	536.45	595.34	503.95	688.78	1242.34	1088.92	854.13	941.27	612.11	753.83	463.65	1685.71	753.83	1143.1	463.65	1066.48	860.08	2335.28	3280.18	2303.12	1487.87	3146.52
CAPN10	186.4	186.4	507.46	171.45	76.17	120.1	127.0	65.72	85.22	81.14	92.7	129.69	165.57	148.09	92.7	157.68	81.14	128.79	82.29	199.85	142.01	181.28	79.45	153.34	137.14	796.86	473.41	1167.14	540.19	595.34
CAPRIN2	138.1	138.1	318.57	223.41	49.56	128.79	111.21	108.9	75.64	104.42	129.69	105.15	166.73	115.97	49.91	112.77	87.65	113.56	67.59	244.57	80.57	123.5	29.06	153.34	80.01	420.68	334.46	974.5	264.03	466.88
CBFA2T2	183.82	183.82	255.0	75.64	19.82	38.95	67.12	17.51	58.3	30.34	48.18	30.34	48.52	72.52	29.91	63.45	35.0	36.53	26.47	85.82	24.99	64.34	27.84	70.01	61.25	241.19	258.57	180.02	198.47	371.22
CCDC17	15.11	15.11	20.11	12.74	7.4	9.56	8.19	4.21	11.38	4.94	9.78	12.09	9.63	15.56	10.63	15.22	13.22	11.82	3.92	26.67	4.5	16.51	2.34	23.08	16.63	162.14	100.13	45.21	47.84	47.17
CDK13	444.72	444.72	483.38	291.04	165.57	191.67	167.9	146.03	169.07	197.09	251.48	202.66	258.57	279.14	177.53	218.79	198.47	182.55	141.02	303.44	189.02	258.57	122.64	229.72	217.27	525.39	785.88	890.44	371.22	723.08
CEP290	115.97	115.97	126.12	52.45	21.78	31.0	22.59	16.75	17.25	14.03	20.41	10.08	25.17	38.95	27.25	31.67	23.59	22.75	17.38	58.3	24.28	28.04	23.08	32.13	14.03	124.37	128.79	195.72	140.04	190.34
CLK3	785.88	785.88	1322.37	759.08	381.68	543.96	412.0	483.38	403.5	395.18	612.11	414.87	656.11	620.67	507.46	638.15	595.34	529.06	460.44	813.63	301.33	532.74	441.64	665.29	620.67	1697.45	1819.35	1540.37	1617.0	2133.97
CNTROB	438.59	438.59	830.75	312.0	133.36	249.73	155.5	173.85	89.51	135.24	194.36	239.52	267.73	262.2	159.9	429.54	218.79	187.71	205.5	486.75	208.38	202.66	134.3	249.73	226.54	1167.14	483.38	1457.23	775.05	830.75
COX19	77.25	77.25	201.25	78.34	44.89	55.1	35.5	36.27	30.56	26.86	41.81	37.05	88.26	61.68	41.52	64.8	37.59	47.17	37.59	87.03	30.56	44.25	31.22	55.89	40.07	199.85	180.02	176.29	123.5	242.88
CRTC2	981.29	981.29	928.3	802.41	309.83	400.71	358.54	356.05	341.51	314.17	435.55	348.71	607.87	529.06	366.09	607.87	429.54	543.96	447.82	688.78	320.8	555.41	490.14	733.19	669.92	1477.58	1369.04	1066.48	1096.5	1561.89
CRYGS	25.91	25.91	120.1	30.34	15.68	22.75	20.41	10.31	8.99	6.57	13.42	12.45	37.85	24.46	25.91	32.82	14.67	25.72	6.62	43.02	7.22	34.26	2.66	29.7	12.45	141.02	164.42	265.87	44.89	145.02
DALRD3	1208.34	1208.34	878.17	521.76	242.88	341.51	318.57	258.57	128.79	291.04	251.48	403.5	518.15	343.89	253.23	543.96	293.07	285.03	223.41	587.13	265.87	423.61	325.29	447.82	371.22	796.86	902.89	1059.11	669.92	1519.15
DCTN1	3168.41	3168.41	2451.44	2193.99	1059.11	1605.83	1159.07	954.43	1001.93	1023.0	1111.82	1662.49	1674.06	1832.01	1030.12	1757.34	1457.23	1304.15	902.89	2061.24	884.29	1427.22	1088.92	1662.49	1639.59	2573.36	3419.52	3820.7	3235.01	2591.27
DENND6B	221.86	221.86	303.44	57.49	17.51	52.45	21.63	9.78	7.88	8.65	18.29	5.96	32.59	38.67	26.28	66.18	28.24	32.82	17.64	48.18	7.11	47.17	18.03	61.25	29.27	279.14	281.09	271.48	220.32	503.95
DIP2A	232.94	232.94	490.14	193.01	47.17	99.43	68.07	77.79	65.26	63.0	118.43	75.11	71.5	129.69	71.0	104.42	107.38	76.17	71.0	180.02	60.82	68.55	82.29	102.25	99.43	802.41	353.59	529.06	503.95	460.44
DLX4	28.86	28.86	14.67	12.74	0.6	8.38	0.95	0.0	0.0	8.32	0.0	0.0	3.63	1.45	0.93	4.54	0.95	2.29	2.68	15.11	0.0	1.64	0.0	5.06	14.14	25.72	24.63	41.81	17.13	16.39
DMXL2	256.78	256.78	733.19	264.03	108.14	172.65	182.55	98.04	90.77	121.79	172.65	84.04	152.28	156.59	111.99	167.9	159.9	149.12	90.14	366.09	97.36	155.5	49.21	169.07	80.01	1498.22	802.41	780.44	518.15	303.44
DNAJC4	1427.22	1427.22	1369.04	1233.75	395.18	713.11	941.27	624.99	353.59	381.68	780.44	571.05	921.88	633.73	457.25	1023.0	555.41	915.51	417.77	1242.34	559.28	1151.06	974.5	1151.06	733.19	1605.83	1844.76	1551.09	1551.09	2451.44
DOCK8	318.57	318.57	400.71	267.73	16.51	157.68	59.13	163.28	66.18	124.37	101.54	173.85	305.55	86.43	47.5	52.08	79.45	80.57	73.03	314.17	46.5	67.12	28.24	105.89	52.45	497.0	480.04	1388.16	551.56	748.61
DPH7	348.71	348.71	698.41	256.78	100.83	211.31	101.54	109.66	85.22	101.54	116.78	162.14	194.36	249.73	217.27	159.9	159.9	165.57	94.67	244.57	139.07	224.97	103.69	186.4	182.55	1030.12	791.35	1088.92	426.57	954.43
ENO4	23.08	23.08	21.32	8.19	2.89	3.47	0.35	1.75	0.0	3.76	4.03	2.03	6.01	8.78	2.16	12.93	1.0	2.84	0.0	10.08	0.0	5.06	0.44	7.82	2.43	25.91	39.79	38.12	15.34	47.5
EPS15L1	540.19	540.19	555.41	226.54	120.1	153.34	100.83	90.77	139.07	102.97	126.12	102.25	223.41	273.37	152.28	232.94	177.53	142.01	111.99	297.17	101.54	175.07	129.69	191.67	180.02	540.19	813.63	660.68	579.04	759.08
FAM120C	86.43	86.43	90.77	91.41	32.36	36.01	27.25	43.94	35.76	26.1	59.55	30.34	34.26	49.91	19.82	77.25	42.71	38.4	13.83	72.01	27.84	46.84	32.36	77.25	50.63	78.89	96.01	134.3	69.03	145.02
FAM214B	204.07	204.07	463.65	193.01	89.51	162.14	158.79	53.19	113.56	96.01	92.05	114.36	152.28	138.1	112.77	139.07	100.83	131.51	79.45	320.8	67.12	113.56	69.52	153.34	81.14	387.02	327.56	470.14	406.31	295.11
FBXL19	497.0	497.0	353.59	90.14	38.12	61.25	66.18	26.1	18.43	19.97	49.21	61.68	71.0	82.87	29.27	50.27	38.4	79.45	17.51	111.99	23.25	39.5	11.73	46.84	78.89	258.57	239.52	273.37	169.07	275.28
FCHSD1	191.67	191.67	543.96	149.12	12.93	75.11	31.67	10.47	11.04	14.67	32.59	17.25	57.08	112.77	12.64	133.36	17.51	31.22	16.27	229.72	18.29	36.27	8.32	89.51	71.5	587.13	579.04	651.58	371.22	909.17
GGA1	743.43	743.43	1304.15	624.99	193.01	387.02	397.93	265.87	241.19	285.03	389.72	400.71	728.11	629.35	384.34	521.76	376.41	325.29	305.55	563.18	351.14	563.18	256.78	559.28	514.56	1769.57	1806.78	1870.53	1066.48	2075.59
GYS1	583.07	583.07	521.76	226.54	88.88	96.68	126.12	49.21	88.88	83.45	126.12	67.12	135.24	149.12	85.22	87.65	84.04	151.22	92.7	265.87	110.43	157.68	104.42	167.9	120.1	551.56	660.68	896.64	463.65	688.78
HDGFRP2	1199.98	1199.98	1225.22	915.51	435.55	503.95	559.28	327.56	379.04	409.15	738.29	279.14	698.41	698.41	246.28	638.15	438.59	540.19	414.87	543.96	318.57	555.41	620.67	660.68	703.28	1127.35	1437.15	981.29	1081.39	1304.15
HINFP	295.11	295.11	358.54	204.07	57.49	138.1	118.43	95.34	86.43	130.6	103.69	190.34	249.73	202.66	128.79	193.01	108.14	139.07	65.72	260.38	62.12	164.42	66.65	187.71	204.07	587.13	532.74	612.11	432.53	743.43
IFT172	651.58	651.58	521.76	121.79	29.91	75.11	103.69	50.27	80.57	40.93	69.03	63.0	139.07	137.14	60.39	112.77	76.71	62.56	29.06	199.85	68.55	183.82	38.12	123.5	138.1	583.07	521.76	813.63	368.65	713.11
ING4	947.83	947.83	1447.15	860.08	329.84	297.17	381.68	262.2	279.14	277.2	854.13	299.25	723.08	708.18	275.28	674.59	616.37	532.74	339.14	567.1	262.2	536.45	454.09	738.29	470.14	1143.1	1794.29	1923.14	1159.07	1674.06
INTS3	1378.57	1378.57	1225.22	713.11	215.77	389.72	447.82	281.09	289.02	169.07	348.71	187.71	599.49	599.49	217.27	599.49	312.0	412.0	190.34	612.11	376.41	723.08	163.28	463.65	450.94	1457.23	1313.23	1674.06	860.08	1295.13
ITSN2	307.69	307.69	493.56	441.64	256.78	316.37	314.17	251.48	265.87	389.72	309.83	223.41	346.29	429.54	209.84	384.34	209.84	244.57	223.41	567.1	202.66	312.0	237.86	518.15	381.68	1167.14	1225.22	988.12	813.63	1519.15
KCNMB3	77.25	77.25	131.51	87.65	42.11	45.85	58.3	9.48	78.89	29.06	25.54	57.08	74.06	79.45	45.53	83.45	47.5	34.51	24.63	100.83	19.25	64.34	34.75	89.51	53.95	102.25	102.25	211.31	72.52	90.14
KIAA0907	525.39	525.39	872.1	228.13	115.16	139.07	110.43	74.58	94.67	87.65	127.89	96.68	195.72	239.52	65.26	175.07	126.12	163.28	47.5	420.68	74.58	208.38	58.71	154.42	120.94	928.3	273.37	435.55	470.14	591.22
KIFC2	802.41	802.41	1001.93	201.25	17.77	57.08	43.63	40.64	40.93	21.01	86.43	25.54	98.73	107.38	48.87	131.51	74.06	88.88	39.79	77.25	57.89	90.77	80.01	176.29	163.28	981.29	616.37	1096.5	327.56	620.67
LPCAT4	406.31	406.31	947.83	444.72	24.63	78.89	72.01	25.91	36.01	27.05	107.38	153.34	231.32	215.77	18.7	127.0	49.56	113.56	9.2	293.07	34.26	41.22	22.59	214.27	267.73	921.88	1331.57	819.3	759.08	1233.75
LPXN	595.34	595.34	780.44	293.07	83.45	106.63	130.6	118.43	67.59	106.63	144.01	53.95	166.73	130.6	155.5	117.6	71.0	180.02	127.0	267.73	74.06	170.25	105.89	171.45	77.79	848.22	785.88	2417.67	616.37	995.0
LUC7L	890.44	890.44	1896.65	500.46	161.02	262.2	303.44	271.48	228.13	242.88	242.88	454.09	480.04	318.57	327.56	373.81	279.14	318.57	176.29	486.75	211.31	417.77	293.07	432.53	323.03	3081.75	1369.04	2367.9	1111.82	2303.12
LUC7L3	1651.0	1651.0	2400.97	1208.34	480.04	647.07	454.09	426.57	381.68	406.31	612.11	438.59	928.3	934.76	514.56	842.36	733.19	753.83	281.09	825.0	341.51	647.07	412.0	884.29	503.95	3235.01	1685.71	2018.8	1819.35	3103.19
MED23	289.02	289.02	363.56	159.9	68.07	101.54	102.25	66.65	51.71	115.97	102.25	68.55	84.63	143.01	96.68	96.01	92.05	105.15	59.13	172.65	81.14	156.59	32.13	177.53	75.11	420.68	412.0	559.28	246.28	473.41
MED25	1015.93	1015.93	1015.93	583.07	220.32	343.89	221.86	161.02	237.86	271.48	371.22	169.07	400.71	312.0	186.4	406.31	239.52	368.65	237.86	348.71	214.27	255.0	273.37	336.79	332.14	1183.45	878.17	890.44	884.29	1135.2
MIB2	412.0	412.0	967.76	525.39	149.12	275.28	392.44	234.57	262.2	104.42	381.68	205.5	441.64	409.15	239.52	507.46	318.57	373.81	150.17	620.67	289.02	379.04	249.73	500.46	587.13	1583.71	1447.15	1457.23	703.28	1674.06
MORC2	713.11	713.11	620.67	356.05	209.84	353.59	246.28	185.11	190.34	206.94	226.54	361.04	595.34	409.15	275.28	356.05	205.5	218.79	180.02	518.15	156.59	348.71	229.72	341.51	353.59	532.74	486.75	620.67	432.53	400.71
MSANTD2	104.42	104.42	220.32	49.21	19.11	43.94	25.72	19.97	18.97	29.06	25.72	28.45	51.35	49.56	22.75	47.17	24.81	19.39	10.39	86.43	25.54	46.18	14.35	50.98	44.25	295.11	320.8	507.46	130.6	457.25
MTMR3	457.25	457.25	583.07	267.73	62.56	165.57	131.51	190.34	109.66	115.16	131.51	141.02	199.85	181.28	155.5	151.22	172.65	153.34	158.79	273.37	111.99	165.57	92.05	139.07	218.79	651.58	775.05	397.93	483.38	543.96
MYBL1	77.25	77.25	51.71	24.28	11.04	11.3	11.04	12.45	7.06	9.27	15.0	3.99	11.47	8.78	3.79	21.94	5.87	4.98	4.24	23.42	6.31	10.88	13.32	21.78	12.27	122.64	98.73	24.99	60.39	93.35
MYO9B	1167.14	1167.14	3190.46	878.17	303.44	579.04	441.64	400.71	366.09	267.73	540.19	480.04	612.11	785.88	417.77	759.08	414.87	511.0	500.46	1183.45	384.34	497.0	277.2	780.44	660.68	4239.45	1870.53	1844.76	2018.8	2209.26
MZF1	295.11	295.11	563.18	199.85	55.89	134.3	106.63	76.17	64.34	58.3	112.77	111.21	229.72	186.4	131.51	162.14	150.17	47.84	76.17	299.25	135.24	176.29	84.04	253.23	112.77	896.64	500.46	759.08	341.51	808.0
NADSYN1	633.73	633.73	1183.45	642.59	262.2	518.15	307.69	318.57	279.14	277.2	376.41	392.44	567.1	656.11	483.38	579.04	426.57	389.72	323.03	703.28	339.14	775.05	409.15	595.34	595.34	1936.53	1066.48	1233.75	902.89	1143.1
NAPB	202.66	202.66	147.06	75.11	22.92	52.82	56.28	53.95	38.4	45.85	52.82	47.84	87.03	71.0	48.87	58.3	49.56	66.18	33.54	95.34	42.11	55.89	37.85	78.34	76.71	191.67	132.44	194.36	175.07	199.85
NCOA6	660.68	660.68	503.95	299.25	191.67	187.71	173.85	177.53	204.07	218.79	201.25	185.11	265.87	204.07	186.4	267.73	251.48	241.19	177.53	314.17	147.06	226.54	187.71	293.07	262.2	466.88	551.56	665.29	518.15	476.71
NDST2	406.31	406.31	490.14	249.73	85.22	175.07	176.29	152.28	94.67	155.5	147.06	173.85	201.25	172.65	158.79	148.09	163.28	170.25	170.25	194.36	148.09	198.47	51.71	189.02	191.67	503.95	423.61	583.07	420.68	511.0
NICN1	273.37	273.37	379.04	285.03	57.49	96.01	120.1	104.42	82.29	67.12	205.5	44.89	169.07	195.72	125.24	212.78	175.07	150.17	78.89	120.1	125.24	130.6	127.0	186.4	129.69	493.56	466.88	808.0	356.05	647.07
NPIPA1	674.59	674.59	1447.15	540.19	182.55	371.22	334.46	173.85	224.97	198.47	194.36	239.52	579.04	693.58	363.56	571.05	346.29	231.32	215.77	629.35	264.03	483.38	104.42	547.75	343.89	2271.4	3190.46	1963.57	1909.85	2875.3
NUMA1	4268.94	4268.94	4802.93	1721.16	603.67	1059.11	738.29	595.34	647.07	633.73	1225.22	638.15	988.12	1199.98	813.63	1268.46	1023.0	909.17	941.27	1023.0	748.61	1175.27	579.04	1268.46	902.89	4607.24	6426.31	7589.61	3742.05	5147.73
NXF1	1378.57	1378.57	2255.7	1104.13	463.65	819.3	708.18	743.43	684.02	660.68	775.05	890.44	1127.35	1030.12	802.41	1008.9	921.88	748.61	571.05	1844.76	647.07	884.29	579.04	1008.9	1104.13	2976.74	1963.57	3039.3	2119.22	2915.45
OFD1	555.41	555.41	511.0	190.34	91.41	173.85	98.73	78.89	92.7	89.51	109.66	79.45	118.43	176.29	96.68	167.9	169.07	110.43	87.65	237.86	102.97	135.24	75.11	158.79	78.34	842.36	638.15	688.78	555.41	954.43
ORM1	669.92	669.92	8.99	2156109.97	1282030.25	4136558.78	3676749.88	2691538.19	3576208.94	3313672.43	3780117.42	4165330.83	2986448.72	2082664.91	3313672.43	1355129.16	5572911.22	8505707.6	4051429.61	2965819.8	6183532.28	4433454.0	4433454.0	3859545.74	2068278.89	141.02	4.7	1233.75	124.37	5.77
P2RX7	92.7	92.7	144.01	148.09	20.11	24.63	39.79	23.93	49.56	40.64	128.79	36.53	60.82	118.43	12.83	59.13	15.68	36.79	39.79	189.02	6.06	41.22	24.28	137.14	99.43	194.36	466.88	255.0	173.85	199.85
PCED1A	1001.93	1001.93	1175.27	595.34	173.85	215.77	281.09	329.84	159.9	137.14	258.57	583.07	575.03	314.17	208.38	473.41	301.33	264.03	169.07	591.22	152.28	339.14	269.6	551.56	447.82	1023.0	866.07	1745.2	753.83	1977.24
PFDN5	17078.76	17078.76	17681.08	15075.35	9215.48	10659.59	9808.75	7280.4	7589.61	6792.79	9215.48	7966.99	16843.62	11189.6	8022.41	10154.69	6887.62	10368.08	7749.1	15824.9	6935.54	12076.21	9540.5	9279.58	10440.2	16960.78	17078.76	24660.96	19754.96	23986.58
PGBD2	148.09	148.09	148.09	73.03	46.84	47.5	43.02	28.04	32.59	60.39	55.1	39.22	60.39	62.56	37.05	57.49	50.27	31.0	20.71	80.57	24.46	57.89	24.28	82.87	76.17	110.43	149.12	189.02	141.02	260.38
PLAGL2	128.79	128.79	173.85	63.89	21.01	50.63	75.11	35.76	37.59	40.64	49.21	28.04	37.85	41.81	66.65	35.5	39.79	51.35	29.06	79.45	54.33	53.95	18.43	38.12	75.64	206.94	199.85	217.27	150.17	187.71
PNISR	884.29	884.29	1697.45	698.41	173.85	281.09	217.27	226.54	182.55	256.78	403.5	183.82	514.56	457.25	253.23	414.87	346.29	356.05	191.67	518.15	211.31	395.18	256.78	591.22	303.44	2976.74	1540.37	1233.75	1540.37	2796.65
PNMAL1	202.66	202.66	75.11	24.46	2.89	9.27	1.03	0.18	5.15	13.93	9.06	1.93	10.24	13.03	4.54	3.5	0.24	19.11	10.96	29.91	0.0	1.64	1.23	10.96	30.12	54.33	22.1	32.13	81.71	209.84
POGZ	1001.93	1001.93	1151.06	429.54	98.73	166.73	129.69	100.83	131.51	134.3	187.71	85.22	201.25	229.72	163.28	289.02	287.01	178.77	145.02	211.31	159.9	258.57	111.99	249.73	175.07	1143.1	1216.75	1397.83	629.35	1685.71
PPP2R3B	85.22	85.22	215.77	53.95	25.72	34.51	40.64	28.86	18.16	10.39	33.3	18.7	59.97	41.81	16.15	54.72	37.32	31.9	15.91	80.57	38.12	67.12	24.63	51.71	56.68	159.9	239.52	82.87	124.37	198.47
PRR14	848.22	848.22	1159.07	551.56	253.23	329.84	397.93	309.83	249.73	327.56	307.69	353.59	540.19	438.59	285.03	532.74	303.44	343.89	236.21	669.92	293.07	432.53	279.14	583.07	463.65	1304.15	1605.83	1561.89	1073.91	1322.37
RAD52	128.79	128.79	460.44	87.65	41.52	47.5	38.4	27.25	22.1	22.75	102.25	30.56	102.97	150.17	50.63	89.51	47.17	69.52	25.35	125.24	57.49	105.89	20.71	128.79	75.64	161.02	412.0	283.05	176.29	575.03
RBM10	748.61	748.61	748.61	567.1	336.79	463.65	389.72	253.23	329.84	265.87	420.68	277.2	587.13	633.73	409.15	507.46	356.05	447.82	320.8	540.19	395.18	603.67	275.28	518.15	432.53	688.78	915.51	934.76	656.11	1015.93
RBM39	3372.43	3372.43	5366.37	2303.12	1151.06	1977.24	1378.57	1378.57	1519.15	1259.69	1477.58	1605.83	2351.53	2004.85	1963.57	1896.65	1806.78	1721.16	1268.46	3690.52	1447.15	2451.44	1208.34	1923.14	1781.89	6207.38	5791.62	7749.1	4239.45	6699.25
RBM6	909.17	909.17	2319.15	674.59	229.72	480.04	507.46	470.14	457.25	438.59	423.61	684.02	684.02	642.59	575.03	703.28	587.13	633.73	392.44	842.36	368.65	547.75	307.69	669.92	688.78	3039.3	2451.44	1991.0	1923.14	3639.7
RGL2	1896.65	1896.65	2739.08	1340.84	163.28	348.71	384.34	183.82	181.28	140.04	642.59	158.79	723.08	417.77	209.84	511.0	303.44	373.81	201.25	400.71	183.82	366.09	143.01	543.96	447.82	2287.2	3491.39	2555.58	1896.65	2627.46
S100PBP	211.31	211.31	409.15	152.28	49.56	66.65	65.26	55.49	41.52	88.26	59.13	64.34	105.15	120.1	40.64	88.88	59.55	63.0	35.0	121.79	65.26	88.88	65.26	94.01	134.3	551.56	429.54	591.22	358.54	540.19
SAFB	1477.58	1477.58	1757.34	1191.69	595.34	808.0	532.74	616.37	497.0	638.15	660.68	684.02	934.76	848.22	743.43	819.3	854.13	647.07	583.07	1250.98	674.59	995.0	420.68	884.29	915.51	1963.57	1662.49	1685.71	1572.76	2119.22
SAFB2	764.36	764.36	1331.57	934.76	358.54	638.15	435.55	497.0	384.34	356.05	503.95	454.09	688.78	780.44	563.18	674.59	579.04	591.22	363.56	1135.2	426.57	808.0	267.73	819.3	780.44	1628.26	1331.57	1359.57	1051.79	2061.24
SAMD3	94.67	94.67	40.36	48.87	1.91	17.13	29.48	12.55	5.87	49.21	38.95	3.32	30.34	18.97	19.25	7.69	7.69	11.91	14.78	62.56	10.71	11.82	17.51	51.71	13.22	205.5	224.97	91.41	167.9	204.07
SF3B1	2777.33	2777.33	4512.4	2520.38	1662.49	1963.57	1697.45	1769.57	1977.24	1540.37	1519.15	1909.85	2367.9	1923.14	1639.59	2032.85	1950.0	1769.57	1697.45	3212.66	1350.18	2133.97	1583.71	2271.4	1857.6	6037.61	4481.23	5711.87	4328.55	5255.91
SFI1	497.0	497.0	775.05	163.28	21.78	97.36	69.03	34.51	35.0	39.79	65.72	96.01	120.94	147.06	43.63	147.06	62.56	65.72	66.65	161.02	36.01	104.42	51.35	157.68	71.5	947.83	669.92	624.99	500.46	1407.55
SH2B2	117.6	117.6	141.02	73.54	17.77	25.72	53.95	15.68	13.52	30.78	70.51	21.32	65.26	60.39	14.24	54.72	14.67	11.3	13.42	99.43	38.4	25.35	37.32	78.34	49.21	120.1	363.56	122.64	74.06	314.17
SH3BP5L	579.04	579.04	521.76	253.23	220.32	205.5	153.34	95.34	158.79	73.03	220.32	164.42	291.04	346.29	133.36	329.84	190.34	136.19	166.73	373.81	111.21	221.86	105.89	249.73	118.43	373.81	616.37	500.46	366.09	525.39
SH3GLB2	1143.1	1143.1	2627.46	819.3	234.57	384.34	339.14	287.01	181.28	260.38	420.68	281.09	674.59	688.78	275.28	612.11	473.41	397.93	307.69	500.46	307.69	571.05	329.84	620.67	373.81	2485.67	2739.08	2287.2	1832.01	2537.92
SIDT1	480.04	480.04	217.27	27.64	0.89	4.35	7.46	9.56	1.08	6.01	6.89	5.23	6.46	20.56	8.38	2.46	5.36	15.34	5.32	28.65	7.82	15.45	3.38	16.39	8.71	111.21	141.02	336.79	115.16	199.85
