	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.13PVQ.1926.SM.5L3GN	GTEX.X8HC.1326.SM.46MWB	GTEX.ZF2S.1226.SM.4WWAX	GTEX.147F3.0826.SM.5NQA7	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7097.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.AK.3454.01A.02R.1277.07	TCGA.38.4625.01A.01R.1206.07	GTEX.WOFM.2126.SM.4OOSR	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.4294.01A.01R.1131.13	GTEX.13OVJ.2326.SM.5IJGA
C10orf76	417.77	532.74	417.77	514.56	500.46	595.34	417.77	361.04	473.41	444.72	381.68	339.14	341.51	356.05	323.03	285.03	0.0	420.68	518.15	348.71	723.08	454.09	579.04	318.57	698.41	450.94	738.29	358.54	271.48
C16orf70	414.87	514.56	397.93	591.22	785.88	684.02	221.86	320.8	423.61	486.75	384.34	236.21	264.03	363.56	314.17	384.34	0.0	438.59	511.0	336.79	753.83	470.14	490.14	363.56	703.28	571.05	785.88	195.72	127.89
C6orf132	9409.14	8479.89	1697.45	3540.14	17437.64	19214.73	115.16	285.03	4836.35	3874.05	1001.93	64.8	264.03	1467.37	237.86	22.59	332.14	1259.69	7230.1	2193.99	13681.08	5831.91	2682.69	476.71	11584.24	11827.67	17197.56	92.05	24.11
C7orf73	4671.57	3018.3	1963.57	3874.05	4481.23	5006.93	674.59	896.64	3081.75	2047.0	1991.0	1697.45	1757.34	1583.71	1322.37	878.17	0.0	1909.85	5329.3	1617.0	3716.2	2796.65	2004.85	1447.15	6121.9	4038.61	5292.48	1617.0	473.41
CALM1	22380.2	12943.04	11345.82	11035.54	15607.02	18304.63	9088.59	4123.49	15499.21	12244.81	7180.15	4512.4	6121.9	7230.1	5633.22	8247.98	6935.54	6983.79	20593.91	12329.98	21026.65	12415.75	6607.01	11664.82	16727.26	18178.19	14867.79	9673.69	2537.92
CAPG	24490.61	9808.75	6699.25	6983.79	9215.48	20737.16	563.18	1331.57	6607.01	5183.54	2739.08	723.08	3690.52	2400.97	995.0	3349.13	0.0	6652.97	13968.57	3190.46	14971.21	10440.2	5913.33	4704.07	14065.74	10659.59	11504.21	642.59	2875.3
CAPN1	15499.21	27745.15	8078.22	14065.74	28923.41	34396.12	1447.15	2537.92	8718.32	7857.29	4802.93	1769.57	3257.52	4607.24	2627.46	1551.09	2351.53	9876.98	10296.45	5995.9	21768.19	13872.08	7280.4	3124.78	15824.9	15934.98	15824.9	1051.79	1427.22
CARD14	6935.54	2193.99	361.04	1044.52	2271.4	9673.69	6.26	9.85	395.18	343.89	195.72	7.11	24.63	115.97	13.62	3.96	0.0	162.14	563.18	75.11	1437.15	825.0	181.28	48.87	1883.54	825.0	656.11	0.0	7.94
CARHSP1	16269.83	8134.41	3794.3	4038.61	10296.45	9474.59	1104.13	2555.58	4181.07	3103.19	2573.36	1008.9	2255.7	2193.99	1167.14	3081.75	0.0	2875.3	5633.22	1844.76	5183.54	6381.92	3018.3	3372.43	7331.05	8134.41	6561.36	1135.2	2485.67
CCDC85C	429.54	981.29	571.05	738.29	934.76	884.29	293.07	208.38	743.43	563.18	406.31	181.28	153.34	368.65	202.66	221.86	0.0	620.67	642.59	1008.9	1529.73	521.76	389.72	215.77	1487.87	988.12	1066.48	215.77	229.72
CD9	131982.68	39785.74	18689.27	33224.42	46662.28	38966.94	7331.05	4038.61	34635.37	23330.64	16045.82	4736.79	14163.58	15392.14	8022.41	7331.05	9215.48	26248.46	63302.6	31650.8	214407.12	81244.48	28923.41	7485.11	87075.75	62865.33	91404.92	2855.44	9876.98
CDK5R1	395.18	299.25	129.69	251.48	301.33	420.68	11.82	11.73	116.78	164.42	96.68	15.22	13.72	42.41	19.97	20.26	0.0	95.34	368.65	73.03	327.56	171.45	108.14	44.25	414.87	327.56	329.84	40.07	3.47
CELSR2	4038.61	1167.14	591.22	1447.15	1216.75	1457.23	113.56	94.67	878.17	769.69	414.87	125.24	224.97	281.09	138.1	246.28	0.0	665.29	941.27	591.22	3665.02	1225.22	878.17	295.11	1936.53	1417.35	1340.84	69.52	42.71
CHMP1A	2720.15	2701.35	2468.49	1832.01	2468.49	2537.92	1104.13	1617.0	1909.85	1909.85	1685.71	1059.11	1350.18	1331.57	1183.45	1183.45	0.0	1977.24	2133.97	1685.71	3060.45	2335.28	1709.26	1594.73	2997.45	2319.15	1909.85	567.1	1111.82
CLDN4	114897.47	13776.25	13215.02	3419.52	5076.84	148488.36	64.34	55.49	3349.13	5366.37	8479.89	115.97	3515.68	4066.71	1519.15	2796.65	0.0	3419.52	9088.59	1313.23	36106.23	14065.74	13123.73	872.1	19754.96	21320.18	6840.04	43.32	115.97
CTD-2267D19.3	323.03	234.57	114.36	142.01	159.9	395.18	63.89	77.25	201.25	183.82	118.43	63.0	79.45	111.21	49.56	82.87	0.0	220.32	194.36	172.65	351.14	395.18	226.54	70.51	543.96	420.68	293.07	74.58	90.77
CTNNBIP1	11992.79	6935.54	2591.27	5112.16	17681.08	16727.26	190.34	409.15	4239.45	3874.05	2047.0	423.61	981.29	1051.79	656.11	320.8	0.0	3190.46	8718.32	2895.31	11504.21	6294.04	2520.38	884.29	9409.14	11504.21	15180.22	269.6	273.37
DBI	30999.42	24490.61	9344.14	13872.08	34396.12	54349.29	1674.06	2255.7	14561.8	12502.12	19348.38	6983.79	8778.97	9215.48	6337.83	6840.04	0.0	9151.82	35856.82	11745.96	42641.37	22850.48	8247.98	8305.36	32540.65	27745.15	36357.37	4358.66	1794.29
DBNL	7485.11	8718.32	4358.66	5147.73	8901.53	9215.48	1159.07	1721.16	5112.16	3690.52	2895.31	947.83	1857.6	2178.83	1183.45	1322.37	1572.76	2591.27	7032.37	2935.74	6607.01	6164.49	3768.09	2591.27	8305.36	8479.89	6121.9	486.75	1617.0
DHRS1	5403.7	15392.14	2485.67	7180.15	3039.3	16611.71	314.17	457.25	2645.74	3124.78	1685.71	231.32	651.58	1030.12	363.56	591.22	0.0	2119.22	2976.74	2075.59	27745.15	2739.08	3257.52	961.07	10659.59	6607.01	8718.32	228.13	358.54
DSP	96616.71	37121.34	3124.78	44452.21	85876.94	156954.93	98.73	119.26	13872.08	12502.12	6607.01	145.02	981.29	3589.58	603.67	638.15	0.0	7642.41	47974.16	7485.11	85283.74	32315.87	12160.22	1617.0	50709.61	42346.82	65535.0	511.0	92.7
DYNLL1	25708.25	26986.43	14663.09	24490.61	40341.14	40341.14	4937.99	4419.52	20170.07	17078.76	14262.1	3146.52	6935.54	7803.01	3372.43	9808.75	0.0	9876.98	39510.91	17078.76	43236.64	26614.89	17681.08	17927.91	31650.8	28723.62	38430.46	7331.05	5711.87
EFNA3	6516.03	2351.53	277.2	1331.57	2417.67	5441.3	16.03	44.25	466.88	514.56	183.82	13.03	49.91	117.6	36.27	341.51	0.0	447.82	1023.0	414.87	3190.46	842.36	743.43	159.9	2502.97	1806.78	2875.3	137.14	31.22
EHF	40621.74	8134.41	1037.29	3589.58	24321.43	73730.83	18.7	13.03	5076.84	3794.3	728.11	183.82	2133.97	1519.15	2061.24	0.0	860.08	3146.52	3564.78	5995.9	3257.52	3235.01	3820.7	579.04	7589.61	5954.47	3146.52	11.13	20.71
ELOVL1	7485.11	6561.36	6121.9	4328.55	7803.01	13968.57	1617.0	1709.26	4066.71	4869.99	2303.12	775.05	1806.78	1963.57	1216.75	1457.23	0.0	3467.27	10659.59	3589.58	16383.0	7857.29	4066.71	2367.9	7537.18	8247.98	11267.44	1639.59	890.44
EPHA1	3665.02	6164.49	1467.37	2609.3	8479.89	16157.44	163.28	141.02	2004.85	2335.28	802.41	22.43	133.36	444.72	53.19	19.68	0.0	947.83	2537.92	1015.93	3665.02	2451.44	1175.27	190.34	4328.55	2796.65	3716.2	185.11	194.36
ESPN	3467.27	2004.85	1769.57	2485.67	1066.48	6652.97	44.57	13.62	723.08	551.56	426.57	10.88	201.25	132.44	29.7	387.02	0.0	361.04	802.41	215.77	3443.31	884.29	603.67	173.85	1594.73	1225.22	1059.11	6.84	70.01
ESRP1	8247.98	878.17	316.37	583.07	2627.46	11035.54	18.29	59.55	2627.46	2193.99	884.29	55.49	414.87	547.75	226.54	8.65	0.0	1628.26	2875.3	2351.53	4358.66	2855.44	878.17	312.0	2417.67	2739.08	4450.27	723.08	31.67
EVPL	24153.43	131071.0	5872.48	38697.77	220434.95	964885.69	37.59	53.95	5954.47	5479.15	2335.28	9.56	92.7	2485.67	94.01	44.89	0.0	3257.52	16611.71	2384.37	40904.3	17558.94	4512.4	808.0	26067.14	24660.96	31215.04	5.87	10.24
FAM160A1	191.67	262.2	54.33	242.88	525.39	669.92	18.29	7.11	291.04	198.47	92.7	289.02	114.36	226.54	177.53	71.5	68.07	151.22	242.88	167.9	412.0	387.02	205.5	85.22	540.19	392.44	346.29	180.02	46.84
FGFR3	179048.63	9279.58	2701.35	4358.66	10733.74	14561.8	42.11	33.54	2976.74	3103.19	1143.1	22.75	48.52	486.75	23.76	301.33	0.0	1857.6	5329.3	769.69	9215.48	3665.02	1781.89	403.5	9474.59	6699.25	8421.31	130.6	4.35
FOXN1	636586.81	1191.69	180.02	1073.91	1977.24	2701.35	0.32	1.45	361.04	316.37	150.17	0.58	5.41	49.56	3.35	0.33	0.0	273.37	2104.58	314.17	3103.19	1437.15	384.34	57.49	3124.78	1909.85	2915.45	0.26	0.0
GFOD2	2777.33	1359.57	665.29	988.12	3168.41	3146.52	248.0	389.72	743.43	647.07	336.79	273.37	241.19	490.14	242.88	454.09	0.0	540.19	1242.34	629.35	1806.78	1119.56	791.35	708.18	2335.28	1639.59	3168.41	186.4	226.54
GID4	412.0	275.28	145.02	262.2	395.18	587.13	176.29	111.21	223.41	187.71	178.77	226.54	136.19	211.31	205.5	131.51	0.0	147.06	299.25	132.44	255.0	214.27	156.59	279.14	275.28	307.69	460.44	96.68	92.05
GIPC1	16960.78	17078.76	6516.03	6079.61	19482.97	21768.19	1135.2	1769.57	7230.1	5183.54	3325.99	1073.91	1950.0	2701.35	1233.75	759.08	3081.75	4903.87	8363.13	4639.29	11745.96	9474.59	3212.66	2287.2	13776.25	11992.79	11992.79	878.17	819.3
GNB2	16383.0	11909.94	8658.09	9606.86	10296.45	11504.21	4671.57	5672.41	8963.45	7537.18	6426.31	4152.18	5872.48	6426.31	4181.07	4419.52	0.0	5479.15	12764.83	8658.09	15715.58	7911.95	7749.1	5517.27	10883.59	11827.67	13306.94	2796.65	9673.69
GP1BB	136.19	305.55	156.59	167.9	490.14	457.25	25.91	128.79	166.73	384.34	63.45	39.79	62.12	84.04	24.11	14.35	0.0	66.18	145.02	97.36	674.59	178.77	112.77	244.57	198.47	237.86	507.46	136.19	62.56
GPR157	4181.07	2976.74	395.18	1159.07	3146.52	5633.22	38.67	59.97	555.41	599.49	493.56	503.95	232.94	503.95	426.57	98.04	80.57	265.87	1407.55	429.54	2758.13	1143.1	353.59	171.45	2061.24	1936.53	2502.97	73.03	19.11
GRHL3	80683.28	28525.2	1909.85	7280.4	32767.0	135693.24	8.06	9.93	2133.97	2032.85	1119.56	1.16	13.32	567.1	7.63	2.76	0.0	1427.22	7911.95	1583.71	16727.26	7695.57	2956.17	441.64	14765.09	10084.54	10154.69	2.86	4.06
H2AFY	9540.5	9215.48	6887.62	5366.37	8022.41	10225.32	2434.5	2178.83	5329.3	4972.34	3540.14	2178.83	3280.18	2956.17	2004.85	2047.0	4210.15	6471.02	9025.81	4769.75	10733.74	7081.29	5517.27	3564.78	8134.41	7749.1	7642.41	2004.85	2032.85
HTR3B	0.0	33.3	1.77	6.11	12.55	124.37	0.0	0.0	18.43	9.7	0.87	0.0	0.0	4.9	0.0	0.0	0.0	8.65	118.43	0.0	135.24	33.3	8.58	0.0	50.27	57.89	46.5	0.8	0.0
IL22RA1	2777.33	738.29	738.29	162.14	981.29	3847.29	5.36	4.86	356.05	417.77	102.25	2.01	12.0	68.07	5.59	53.57	0.0	157.68	1191.69	136.19	1819.35	674.59	373.81	142.01	1437.15	1159.07	1909.85	738.29	12.18
JARID2	665.29	325.29	234.57	414.87	473.41	389.72	77.79	153.34	351.14	246.28	189.02	108.14	90.77	182.55	111.21	117.6	87.65	336.79	412.0	236.21	808.0	426.57	217.27	183.82	769.69	603.67	579.04	74.06	83.45
JMJD7	1427.22	921.88	299.25	551.56	753.83	1674.06	191.67	208.38	928.3	525.39	587.13	170.25	334.46	301.33	267.73	113.56	0.0	312.0	967.76	525.39	1697.45	693.58	450.94	341.51	1073.91	1529.73	1268.46	35.25	460.44
JUP	119776.72	85283.74	11664.82	51062.33	100023.92	256748.15	473.41	684.02	21768.19	20310.37	10154.69	1721.16	2047.0	5594.3	2627.46	1427.22	0.0	13306.94	47974.16	12853.63	93325.55	43537.38	18689.27	6207.38	75280.1	54727.32	65535.0	1313.23	1498.22
KAZN	1883.54	2434.5	473.41	1561.89	2664.15	3124.78	239.52	309.83	693.58	559.28	246.28	108.14	279.14	463.65	127.89	301.33	0.0	674.59	830.75	435.55	2384.37	961.07	620.67	351.14	1313.23	1991.0	1936.53	46.84	69.52
KDM2B	902.89	540.19	503.95	441.64	607.87	878.17	183.82	211.31	420.68	447.82	264.03	170.25	214.27	262.2	182.55	152.28	0.0	400.71	521.76	271.48	1015.93	420.68	529.06	258.57	660.68	529.06	540.19	161.02	258.57
KLF5	30151.71	8305.36	1923.14	5292.48	9025.81	36106.23	155.5	57.08	7857.29	7032.37	2720.15	363.56	723.08	1883.54	674.59	136.19	0.0	3820.7	12076.21	2271.4	23492.92	12329.98	4704.07	1001.93	14663.09	10512.82	18178.19	256.78	79.45
KRT3	2193.99	368.65	37.05	988.12	2032.85	8658.09	0.0	0.0	54.33	75.11	62.12	0.0	24.81	15.34	0.0	0.0	0.0	125.24	4575.41	264.03	2163.77	236.21	1498.22	0.0	563.18	4575.41	9409.14	0.0	0.0
KRT33A	329.84	121.79	11.55	98.04	133.36	438.59	0.83	0.0	59.55	41.52	13.62	0.0	0.85	2.1	3.17	0.0	0.0	17.13	115.16	32.59	165.57	65.26	26.28	0.0	175.07	68.07	122.64	0.0	0.0
KRT4	3.697379928E7	1.810644424E7	2263304.65	6140819.49	2.276004283E7	3.109113511E7	289.02	595.34	447025.24	542775.98	197294.7	172.65	1437.15	187950.38	507.46	0.0	0.0	1851161.35	1.236706555E7	2053992.24	2.900905474E7	1.236706555E7	1727194.55	45072.75	2.213766823E7	1.887534821E7	2.10891839E7	0.0	3.79
MAL2	30999.42	5441.3	1066.48	3190.46	13123.73	45701.96	28.86	40.93	8078.22	8078.22	2875.3	87.65	764.36	1883.54	287.01	229.72	6745.86	3303.0	23656.34	5006.93	30572.63	16611.71	4066.71	426.57	27174.14	17804.06	28132.47	343.89	53.19
MARK2	1498.22	1923.14	1295.13	1832.01	1977.24	3280.18	277.2	346.29	1286.18	961.07	660.68	320.8	363.56	551.56	348.71	273.37	373.81	688.78	934.76	785.88	2178.83	1397.83	753.83	429.54	1857.6	1674.06	1216.75	190.34	214.27
MED8	1583.71	1111.82	1096.5	961.07	1286.18	1242.34	633.73	607.87	890.44	1104.13	854.13	435.55	629.35	624.99	457.25	780.44	0.0	947.83	1709.26	1304.15	2178.83	1159.07	769.69	651.58	1498.22	1369.04	1407.55	463.65	872.1
METAP1	2682.69	1583.71	1015.93	2287.2	2148.82	1721.16	507.46	532.74	1477.58	1340.84	961.07	480.04	674.59	647.07	591.22	669.92	0.0	1340.84	1551.09	854.13	2193.99	1467.37	842.36	713.11	2240.11	1583.71	2193.99	579.04	591.22
MROH6	8363.13	3491.39	1977.24	1857.6	3955.48	2997.45	99.43	169.07	1397.83	775.05	366.09	40.07	117.6	780.44	81.71	204.07	0.0	642.59	1769.57	327.56	6983.79	1477.58	1008.9	780.44	1923.14	1794.29	2224.63	7.22	53.95
MTMR1	961.07	775.05	525.39	1023.0	753.83	679.29	336.79	301.33	780.44	629.35	463.65	239.52	255.0	348.71	332.14	226.54	0.0	647.07	466.88	426.57	1030.12	728.11	307.69	376.41	1417.35	599.49	525.39	197.09	201.25
MVK	1709.26	1781.89	753.83	909.17	2935.74	2720.15	141.02	224.97	1059.11	743.43	435.55	159.9	295.11	295.11	264.03	414.87	0.0	518.15	1540.37	551.56	2303.12	1143.1	748.61	476.71	1745.2	1745.2	2209.26	305.55	170.25
MYO1H	32.59	26.1	1.85	26.28	21.47	27.05	2.2	1.07	12.0	19.68	0.0	3.08	2.97	0.96	0.61	4.54	0.0	4.46	59.55	9.93	47.5	57.08	3.89	2.34	7.94	18.97	40.93	0.0	0.0
NAGK	13306.94	14971.21	4802.93	6121.9	21919.61	25708.25	928.3	1628.26	5751.61	4937.99	5366.37	941.27	2701.35	3124.78	1167.14	1427.22	0.0	5517.27	8191.0	4010.71	15285.81	6887.62	4328.55	3928.15	11112.3	8718.32	10883.59	1583.71	1331.57
NAPRT1	9606.86	4388.98	4010.71	3564.78	5006.93	4181.07	819.3	743.43	2485.67	2335.28	2224.63	915.51	1407.55	2400.97	1073.91	1135.2	0.0	6745.86	3280.18	2255.7	11424.74	5403.7	3564.78	2777.33	1733.13	7081.29	6652.97	412.0	460.44
NCK2	3794.3	2255.7	1467.37	1540.37	2682.69	2777.33	607.87	974.5	1857.6	1331.57	813.63	981.29	934.76	896.64	915.51	791.35	0.0	1008.9	1832.01	1096.5	2032.85	1583.71	995.0	775.05	2935.74	2417.67	2502.97	718.08	387.02
NDST1	1378.57	1427.22	753.83	884.29	1662.49	1923.14	309.83	463.65	967.76	1216.75	483.38	379.04	447.82	921.88	493.56	497.0	0.0	941.27	1397.83	775.05	2956.17	1001.93	595.34	514.56	1745.2	1457.23	1540.37	412.0	363.56
NHSL1	483.38	514.56	379.04	373.81	947.83	1388.16	98.04	129.69	351.14	307.69	89.51	46.84	53.19	234.57	46.84	79.45	64.34	334.46	414.87	244.57	878.17	429.54	204.07	111.21	579.04	532.74	679.29	54.33	15.34
NOL12	802.41	947.83	633.73	575.03	698.41	981.29	368.65	373.81	620.67	759.08	603.67	267.73	412.0	392.44	323.03	291.04	0.0	769.69	759.08	575.03	1175.27	1008.9	679.29	536.45	780.44	896.64	1023.0	303.44	417.77
NRBP1	3235.01	3690.52	2335.28	3303.0	4181.07	4066.71	1295.13	1551.09	2645.74	2303.12	2163.77	1794.29	1594.73	2163.77	1662.49	1407.55	0.0	2104.58	4210.15	2255.7	4152.18	3212.66	2303.12	2417.67	3665.02	3742.05	4268.94	1313.23	1407.55
NSDHL	2417.67	1709.26	780.44	1857.6	2133.97	2935.74	249.73	241.19	1199.98	941.27	665.29	223.41	389.72	406.31	297.17	450.94	0.0	624.99	1936.53	703.28	1832.01	1498.22	866.07	525.39	2240.11	1883.54	2075.59	470.14	248.0
NUDT8	2400.97	2075.59	995.0	1313.23	2627.46	5219.6	73.03	156.59	1250.98	1199.98	1216.75	995.0	974.5	878.17	1096.5	229.72	0.0	796.86	1467.37	1896.65	2209.26	967.76	1008.9	802.41	1551.09	1794.29	1721.16	180.02	258.57
ODF4	3.89	27.64	12.09	21.32	4.66	59.97	0.0	0.0	6.73	5.02	5.82	0.0	0.0	2.34	0.0	0.0	0.0	0.0	15.45	0.0	21.63	16.15	0.0	0.0	20.26	23.25	32.13	0.0	0.73
P2RY2	2701.35	3820.7	397.93	1733.13	2502.97	5479.15	42.71	19.39	665.29	521.76	490.14	525.39	214.27	447.82	368.65	10.71	0.0	429.54	1277.29	463.65	2485.67	1250.98	579.04	1350.18	2400.97	1583.71	1844.76	30.34	41.81
PAK6	1023.0	1331.57	148.09	928.3	1378.57	1794.29	12.27	10.24	660.68	759.08	273.37	73.54	93.35	159.9	41.22	1.75	145.02	480.04	708.18	295.11	1508.65	860.08	703.28	80.01	1369.04	878.17	947.83	84.63	27.44
PDLIM2	3639.7	7180.15	3515.68	4450.27	7537.18	10368.08	656.11	1037.29	2720.15	2335.28	1322.37	1096.5	988.12	2032.85	830.75	813.63	0.0	1233.75	8363.13	2351.53	14461.21	8022.41	1870.53	1857.6	7695.57	5672.41	9215.48	136.19	454.09
PGAM1	17927.91	13681.08	8305.36	11584.24	16045.82	16611.71	3982.99	3564.78	10225.32	9673.69	6207.38	2271.4	4239.45	4239.45	2816.11	12589.08	0.0	4869.99	21026.65	6983.79	17317.18	13492.72	6381.92	6037.61	26986.43	15180.22	18560.17	2061.24	2417.67
PHLDB3	3081.75	3060.45	473.41	1191.69	2119.22	6337.83	185.11	248.0	1242.34	954.43	503.95	111.99	215.77	493.56	170.25	332.14	0.0	595.34	1628.26	1167.14	5366.37	1832.01	890.44	318.57	3039.3	2835.7	3146.52	201.25	312.0
PITPNM3	819.3	480.04	299.25	395.18	551.56	796.86	178.77	56.28	470.14	414.87	125.24	21.78	53.57	106.63	45.85	8.06	24.11	289.02	273.37	271.48	915.51	327.56	389.72	58.71	511.0	447.82	595.34	3.2	30.34
PKP3	48307.85	57847.82	5791.62	9945.68	69753.56	772940.66	62.56	49.21	5831.91	7130.55	2664.15	27.44	332.14	1225.22	146.03	14.14	0.0	3874.05	9945.68	3540.14	30785.28	10512.82	4181.07	660.68	13123.73	14163.58	18560.17	0.0	24.81
PLIN3	8778.97	9151.82	2133.97	4152.18	8191.0	6792.79	493.56	1051.79	3742.05	1909.85	2739.08	1519.15	1832.01	2240.11	1331.57	595.34	3168.41	2485.67	7537.18	2935.74	10225.32	5594.3	2417.67	3235.01	11345.82	8598.28	9088.59	567.1	660.68
PPP4C	4152.18	3564.78	3614.55	2758.13	2915.45	3564.78	1498.22	1467.37	2468.49	2400.97	2119.22	1096.5	2047.0	1561.89	1066.48	1340.84	0.0	2664.15	3794.3	2133.97	4298.64	3614.55	2417.67	2148.82	4358.66	3820.7	4358.66	1037.29	1001.93
PVRL1	36106.23	10296.45	1709.26	8963.45	10014.87	25530.66	110.43	86.43	2591.27	2434.5	1417.35	63.89	444.72	813.63	124.37	123.5	201.25	2090.03	5112.16	2032.85	10659.59	4095.0	2468.49	854.13	11112.3	5517.27	7911.95	518.15	27.05
PVRL4	43840.21	5954.47	532.74	2351.53	5995.9	50011.46	11.04	25.35	2133.97	1909.85	1073.91	20.56	332.14	547.75	169.07	1.06	244.57	947.83	2351.53	769.69	7642.41	3690.52	1119.56	180.02	5954.47	4543.8	4038.61	2.39	3.72
RAB11A	23169.48	21768.19	11504.21	13968.57	34158.52	40621.74	2271.4	2835.7	16045.82	12329.98	5147.73	3039.3	4481.23	6337.83	3280.18	4836.35	0.0	8022.41	26248.46	9344.14	28723.62	16611.71	8658.09	6037.61	23169.48	21026.65	26248.46	4671.57	2976.74
RAB1B	5672.41	4937.99	4869.99	4298.64	4802.93	4937.99	2193.99	2796.65	4639.29	3928.15	4210.15	4095.0	4298.64	4066.71	3982.99	3146.52	0.0	2758.13	5329.3	5076.84	8022.41	5076.84	3768.09	4388.98	6887.62	6561.36	6037.61	1594.73	3280.18
