	GTEX.ZVZQ.0826.SM.51MRF	GTEX.QVJO.1826.SM.447C9	GTEX.11LCK.2026.SM.5A5MA	GTEX.XBEW.1926.SM.4SOJO	GTEX.NFK9.2026.SM.3LK5K	GTEX.YJ8O.0326.SM.5RQJW	GTEX.13QIC.2026.SM.5N9G9	GTEX.11ZTS.2726.SM.5EQLU	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.11OF3.2326.SM.5GU73	GTEX.13VXU.1126.SM.5LU3U	GTEX.11UD2.1526.SM.5EQLQ	GTEX.13OW7.1926.SM.5LUB4	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.117YW.2026.SM.5N9BH	GTEX.12ZZY.1526.SM.5LZWF	GTEX.139TU.1326.SM.5LZXW	GTEX.14753.1926.SM.5NQAA	TCGA.KM.8438.01A.11R.2315.07	TCGA.KL.8337.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KL.8328.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KL.8332.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8426.01A.11R.2315.07	TCGA.KL.8338.01A.11R.2315.07	TCGA.KN.8436.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8408.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.KL.8345.01A.11R.2315.07	GTEX.13OW6.1826.SM.5N9F9	GTEX.11OF3.1326.SM.5N9FJ	GTEX.ZYFD.1526.SM.5NQ7T	TCGA.B0.5117.01A.01R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.AK.3465.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.MR.A8JO.01A.12R.A36F.07	GTEX.RN64.1226.SM.2TC6E	GTEX.U3ZH.0526.SM.3DB75	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.3M.AB47.01A.22R.A414.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.D7.A747.01A.22R.A33Y.31	TCGA.HU.8238.01A.11R.2343.13	GTEX.ZE7O.3026.SM.51MS4	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.12WSD.2326.SM.59HKQ	GTEX.145MO.2226.SM.5Q5BN	GTEX.Y5V6.1326.SM.4VDTF	GTEX.V1D1.1726.SM.4JBHB	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.111VG.0526.SM.5N9BW
ARSI	11.38	16.03	5.23	11.21	12.18	115.16	65.26	73.54	120.94	423.61	166.73	279.14	135.24	186.4	159.9	211.31	88.26	265.87	108.9	228.13	249.73	88.26	0.0	0.4	3.47	0.42	1.95	0.84	2.39	0.0	0.0	0.84	0.0	0.0	0.0	0.42	2.07	0.0	0.42	0.82	0.0	4.86	0.97	0.0	10.31	5.32	4.78	1.0	20.71	0.0	2.53	4.9	17.51	15.22	4.78	15.45	1.2	1.53	0.41	1.55	5.96	43.32	0.0	102.97	4.82	34.26	2.23	38.95	0.62	3.89	11.64	117.6	132.44	30.56	17.25	8.92	14.67	19.39	18.84	38.12	34.51	6.06	197.09	6.01	2.01	19.68	11.47	14.89	2.71	26.86	2.92	71.0	1.13	1.99	11.55
ATAD2B	111.21	138.1	143.01	118.43	64.8	107.38	185.11	198.47	191.67	201.25	127.0	186.4	115.16	239.52	164.42	202.66	159.9	169.07	158.79	166.73	123.5	126.12	25.72	20.26	33.54	46.18	38.67	40.36	26.1	42.71	30.56	35.25	37.59	30.56	38.12	35.25	24.28	63.89	34.02	46.5	29.48	21.16	34.51	34.02	62.56	53.95	84.04	31.9	164.42	2.39	13.12	64.8	89.51	48.18	30.34	23.08	21.32	30.78	20.26	51.35	33.06	17.9	37.32	25.17	32.13	29.48	31.0	47.84	76.17	61.25	73.54	173.85	154.42	256.78	172.65	134.3	107.38	175.07	131.51	111.21	123.5	96.01	128.79	111.99	59.55	93.35	116.78	137.14	79.45	94.01	68.55	102.25	59.13	53.95	173.85
ATF7	733.19	708.18	356.05	353.59	432.53	529.06	669.92	591.22	633.73	575.03	620.67	679.29	460.44	651.58	521.76	669.92	603.67	559.28	656.11	638.15	463.65	587.13	341.51	236.21	339.14	258.57	314.17	202.66	209.84	255.0	246.28	366.09	327.56	229.72	285.03	285.03	236.21	406.31	220.32	271.48	269.6	258.57	295.11	232.94	417.77	400.71	289.02	309.83	616.37	595.34	329.84	329.84	490.14	423.61	500.46	392.44	253.23	312.0	237.86	287.01	395.18	395.18	409.15	251.48	297.17	320.8	363.56	356.05	334.46	195.72	346.29	1127.35	988.12	688.78	743.43	656.11	480.04	825.0	1059.11	1225.22	928.3	819.3	791.35	497.0	273.37	325.29	629.35	733.19	389.72	466.88	293.07	529.06	397.93	209.84	651.58
ATG2B	176.29	231.32	137.14	190.34	145.02	209.84	435.55	285.03	293.07	379.04	260.38	255.0	217.27	379.04	417.77	271.48	281.09	289.02	256.78	341.51	218.79	297.17	85.22	189.02	205.5	127.0	79.45	102.25	125.24	115.97	164.42	249.73	120.94	167.9	135.24	198.47	150.17	256.78	123.5	117.6	162.14	81.14	111.99	180.02	149.12	122.64	244.57	120.94	208.38	14.78	181.28	202.66	228.13	208.38	162.14	56.28	65.72	67.12	62.56	117.6	74.06	68.55	67.12	84.04	78.89	36.27	94.01	100.83	156.59	142.01	165.57	454.09	356.05	327.56	244.57	289.02	218.79	201.25	277.2	241.19	277.2	212.78	176.29	231.32	89.51	156.59	114.36	152.28	96.68	120.1	108.9	104.42	285.03	102.25	198.47
ATXN3	253.23	460.44	224.97	143.01	248.0	277.2	299.25	293.07	329.84	239.52	256.78	269.6	218.79	293.07	93.35	256.78	262.2	212.78	172.65	224.97	151.22	236.21	121.79	115.16	76.17	164.42	133.36	115.16	132.44	69.03	88.26	134.3	167.9	142.01	120.1	155.5	105.15	173.85	129.69	130.6	109.66	96.01	167.9	127.89	223.41	208.38	249.73	109.66	209.84	57.08	97.36	186.4	226.54	198.47	74.58	94.67	98.04	147.06	117.6	224.97	186.4	113.56	129.69	195.72	158.79	71.5	218.79	143.01	158.79	221.86	194.36	896.64	432.53	412.0	299.25	246.28	271.48	339.14	432.53	392.44	403.5	255.0	403.5	224.97	208.38	258.57	309.83	224.97	150.17	208.38	201.25	341.51	183.82	205.5	242.88
BFSP1	138.1	178.77	10.47	11.21	18.7	63.89	58.3	63.45	53.19	108.14	113.56	51.71	81.71	50.98	69.03	38.4	66.18	66.65	108.14	86.43	49.21	35.76	20.86	7.94	12.0	10.71	4.78	49.21	19.97	16.63	20.86	21.78	8.92	10.31	7.75	19.11	11.73	32.13	30.12	6.26	11.04	37.85	8.99	12.45	25.54	44.89	16.27	13.52	38.67	6.11	11.21	25.91	24.81	35.25	28.24	7.34	13.93	8.99	3.86	13.93	22.43	29.48	8.71	4.39	4.78	17.9	43.32	10.0	47.84	24.63	38.67	118.43	45.85	22.1	32.59	56.68	24.99	45.21	63.0	22.43	29.06	28.24	41.81	7.46	14.45	29.27	39.5	42.41	21.32	34.75	40.93	37.85	42.71	49.21	36.01
BRD2	3874.05	4937.99	3467.27	3419.52	3742.05	3614.55	4388.98	3982.99	4038.61	4210.15	3540.14	3419.52	4607.24	4123.49	3716.2	3716.2	3901.01	4704.07	4671.57	3257.52	3901.01	4639.29	1832.01	2468.49	1819.35	2555.58	1304.15	1662.49	1529.73	1923.14	1806.78	2997.45	1844.76	1950.0	1806.78	2915.45	2287.2	1936.53	2367.9	2193.99	1844.76	2303.12	1936.53	1561.89	1819.35	1685.71	5872.48	2485.67	3874.05	514.56	2119.22	2148.82	2915.45	2434.5	1923.14	1322.37	1769.57	1051.79	1059.11	1407.55	1662.49	1437.15	1427.22	1427.22	1359.57	1233.75	1605.83	1369.04	3235.01	1259.69	2591.27	5255.91	4671.57	3614.55	3349.13	2664.15	2682.69	1572.76	2956.17	2935.74	2591.27	2573.36	2335.28	2287.2	1685.71	2997.45	2400.97	3081.75	2303.12	2997.45	2777.33	2796.65	3257.52	2303.12	4181.07
C8orf4	4181.07	2319.15	1159.07	753.83	902.89	1721.16	4358.66	4903.87	1104.13	5366.37	2148.82	2591.27	1159.07	2777.33	2664.15	5041.77	3794.3	1977.24	4268.94	2163.77	3564.78	1651.0	669.92	567.1	713.11	1073.91	2367.9	693.58	323.03	1662.49	1508.65	5913.33	2018.8	669.92	92.7	2193.99	2485.67	624.99	1073.91	902.89	1819.35	563.18	830.75	318.57	7280.4	2163.77	20030.74	2240.11	902.89	351.14	1806.78	660.68	1936.53	1757.34	105.15	77.79	23.25	37.05	111.99	147.06	37.85	86.43	75.64	212.78	85.82	316.37	860.08	187.71	201.25	221.86	1407.55	15715.58	11112.3	1322.37	279.14	1295.13	476.71	743.43	117.6	559.28	246.28	1277.29	6745.86	318.57	438.59	332.14	3820.7	2645.74	438.59	392.44	866.07	5954.47	860.08	934.76	3820.7
CACHD1	356.05	518.15	29.91	40.36	45.85	112.77	271.48	198.47	325.29	237.86	77.79	450.94	226.54	343.89	118.43	514.56	260.38	177.53	150.17	289.02	106.63	258.57	53.19	8.06	41.22	20.71	26.86	2.48	63.0	44.57	11.82	77.25	14.78	142.01	93.35	46.18	8.25	17.13	2.84	27.84	62.12	53.95	30.34	23.59	64.8	165.57	153.34	11.21	55.1	21.63	20.11	43.63	158.79	181.28	16.75	53.95	14.14	67.59	10.47	46.5	65.26	28.45	21.78	30.78	5.28	41.22	13.93	34.51	30.78	53.19	31.22	267.73	587.13	145.02	98.73	40.64	131.51	76.71	77.25	152.28	139.07	63.45	493.56	232.94	108.9	171.45	153.34	164.42	162.14	156.59	31.67	113.56	43.94	27.05	187.71
CAPN7	514.56	551.56	231.32	229.72	384.34	493.56	684.02	769.69	476.71	616.37	698.41	624.99	583.07	629.35	429.54	563.18	791.35	555.41	470.14	483.38	460.44	703.28	152.28	262.2	172.65	242.88	131.51	199.85	143.01	221.86	273.37	253.23	220.32	232.94	206.94	161.02	204.07	457.25	231.32	273.37	277.2	197.09	223.41	320.8	332.14	314.17	320.8	262.2	279.14	127.89	262.2	387.02	323.03	329.84	297.17	260.38	239.52	128.79	199.85	147.06	251.48	166.73	211.31	289.02	269.6	167.9	122.64	361.04	301.33	291.04	191.67	567.1	454.09	460.44	466.88	480.04	412.0	339.14	612.11	559.28	480.04	353.59	708.18	358.54	226.54	392.44	444.72	441.64	353.59	287.01	303.44	255.0	624.99	283.05	642.59
CARD16	1806.78	1216.75	1286.18	1268.46	642.59	301.33	536.45	409.15	341.51	242.88	205.5	297.17	441.64	265.87	309.83	665.29	414.87	241.19	435.55	341.51	246.28	299.25	187.71	81.71	76.71	305.55	112.77	61.68	297.17	26.47	53.95	277.2	348.71	89.51	131.51	105.89	121.79	66.18	71.5	336.79	105.89	162.14	256.78	82.29	432.53	497.0	2555.58	256.78	1437.15	92.7	536.45	183.82	271.48	346.29	115.97	128.79	395.18	108.14	460.44	878.17	87.03	320.8	110.43	84.04	323.03	438.59	169.07	547.75	185.11	248.0	738.29	2573.36	2451.44	1096.5	860.08	607.87	2835.7	723.08	309.83	780.44	703.28	884.29	1350.18	567.1	420.68	748.61	802.41	1350.18	563.18	1037.29	329.84	928.3	183.82	463.65	813.63
CASP1	1286.18	679.29	1277.29	1721.16	1073.91	339.14	753.83	460.44	563.18	497.0	234.57	620.67	444.72	353.59	547.75	470.14	463.65	392.44	435.55	368.65	249.73	249.73	143.01	39.79	46.5	217.27	84.63	20.26	202.66	17.13	39.22	208.38	332.14	47.17	149.12	120.94	89.51	59.13	38.67	182.55	71.0	116.78	120.1	61.68	289.02	205.5	2956.17	120.94	1051.79	170.25	339.14	158.79	264.03	329.84	236.21	137.14	237.86	44.25	559.28	713.11	133.36	395.18	136.19	249.73	490.14	371.22	234.57	543.96	145.02	130.6	438.59	2004.85	2875.3	1081.39	656.11	514.56	5517.27	738.29	318.57	748.61	848.22	860.08	2367.9	473.41	264.03	656.11	854.13	1037.29	329.84	1561.89	237.86	575.03	195.72	329.84	1059.11
CAV1	23492.92	15715.58	780.44	1844.76	4239.45	4769.75	3742.05	4869.99	3665.02	2956.17	3419.52	4869.99	2664.15	3982.99	921.88	4066.71	3039.3	3768.09	5633.22	3372.43	3419.52	3639.7	3716.2	1216.75	3742.05	4937.99	708.18	1407.55	915.51	698.41	629.35	1286.18	2520.38	6037.61	3665.02	1407.55	2555.58	642.59	1605.83	1909.85	3395.89	2004.85	1674.06	2367.9	281.09	336.79	205.5	3349.13	3794.3	1963.57	1697.45	2645.74	518.15	616.37	480.04	150.17	1233.75	176.29	47.84	444.72	579.04	409.15	133.36	38.12	316.37	571.05	287.01	356.05	500.46	397.93	1639.59	16496.96	28132.47	2720.15	4836.35	511.0	1286.18	1721.16	12415.75	4575.41	6079.61	490.14	4972.34	1096.5	507.46	1331.57	2935.74	4607.24	2303.12	995.0	1304.15	4066.71	928.3	1477.58	2758.13
CCDC3	2485.67	3103.19	102.25	146.03	121.79	389.72	269.6	1127.35	1167.14	334.46	182.55	642.59	260.38	1015.93	1259.69	780.44	674.59	947.83	825.0	1388.16	483.38	1096.5	53.19	21.16	78.34	75.11	36.79	75.11	277.2	90.14	15.91	101.54	110.43	19.82	64.8	70.01	85.82	20.11	62.12	46.5	186.4	387.02	127.0	72.52	77.79	150.17	384.34	403.5	3103.19	17.64	111.21	239.52	223.41	221.86	62.56	61.68	9.78	45.85	28.86	44.89	14.45	229.72	5.87	24.81	35.25	403.5	9.85	123.5	50.27	151.22	511.0	3982.99	392.44	379.04	551.56	281.09	802.41	638.15	420.68	543.96	201.25	275.28	1572.76	173.85	118.43	307.69	571.05	967.76	884.29	351.14	480.04	579.04	480.04	120.1	961.07
