	GTEX.132AR.2826.SM.5IJFV	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.D7.A6EZ.01A.11R.A31P.31	GTEX.RWS6.1326.SM.47JXB	GTEX.132AR.1526.SM.5KM1L
GPR56	447.82	0.0	0.83	2384.37	1769.57	1313.23	1832.01	2224.63	1340.84	1119.56	1832.01	305.55	224.97	397.93
GSC	2.84	0.0	0.14	88.88	42.71	130.6	96.01	130.6	102.25	48.52	83.45	1.39	20.26	17.9
HAGH	1819.35	1286.18	381.68	1709.26	1551.09	1794.29	2090.03	2451.44	1508.65	1159.07	1628.26	733.19	665.29	995.0
HN1L	915.51	0.0	0.2	2895.31	2271.4	3639.7	3081.75	2976.74	2417.67	3443.31	3280.18	1583.71	1259.69	860.08
HS3ST2	17.64	0.0	0.26	26.28	34.26	16.15	30.78	40.36	38.95	15.91	66.65	7.28	2.16	5.06
IDH1	1870.53	4328.55	320.8	8778.97	2976.74	7537.18	9876.98	7382.04	5292.48	6792.79	10512.82	2367.9	1359.57	1167.14
IDH2	2758.13	1427.22	463.65	5995.9	7589.61	5041.77	5479.15	3614.55	3395.89	4736.79	9606.86	1313.23	1233.75	525.39
ITGB5	1135.2	0.0	0.93	2303.12	3742.05	1286.18	2573.36	1674.06	1832.01	2119.22	3018.3	808.0	1059.11	1477.58
JTB	4095.0	0.0	1.17	4298.64	8718.32	4239.45	6699.25	4481.23	5147.73	4937.99	6699.25	3794.3	3955.48	3742.05
KCNA7	0.0	0.0	0.0	0.4	0.0	0.42	0.41	0.43	0.0	0.0	0.44	0.0	0.0	0.0
KIF13B	231.32	0.0	0.53	244.57	346.29	289.02	665.29	629.35	353.59	417.77	518.15	295.11	77.25	124.37
LAMP1	4769.75	0.0	1.01	4419.52	5147.73	5112.16	6792.79	6652.97	6381.92	5479.15	6294.04	5041.77	3901.01	3124.78
LAMTOR2	2609.3	0.0	0.53	4038.61	3928.15	2664.15	3639.7	3443.31	3039.3	3372.43	3901.01	3018.3	2032.85	2468.49
LDLRAD4	248.0	42.41	44.89	1617.0	718.08	974.5	1208.34	1143.1	237.86	318.57	1073.91	24.81	117.6	105.89
LPCAT3	1331.57	0.0	0.61	2178.83	1639.59	1233.75	3257.52	2816.11	2271.4	2720.15	3515.68	967.76	395.18	802.41
LYPLAL1	130.6	0.0	0.39	1088.92	1104.13	1183.45	1322.37	1378.57	624.99	941.27	2018.8	728.11	373.81	51.71
MAN2B1	733.19	0.0	0.47	2485.67	4268.94	1883.54	3372.43	2047.0	2032.85	2451.44	2875.3	2240.11	954.43	638.15
MAN2B2	500.46	0.0	0.62	607.87	587.13	603.67	563.18	718.08	607.87	638.15	915.51	620.67	191.67	341.51
MAP1LC3A	934.76	0.0	0.65	3419.52	2224.63	2004.85	2796.65	2609.3	1437.15	579.04	2645.74	187.71	1059.11	915.51
MAPKAPK3	473.41	0.0	0.18	1651.0	974.5	1167.14	743.43	1216.75	961.07	748.61	1268.46	928.3	414.87	228.13
MIEN1	2104.58	0.0	0.64	3039.3	3280.18	2178.83	2855.44	2645.74	3081.75	2193.99	4239.45	1844.76	1331.57	2816.11
MINOS1	4937.99	3540.14	244.57	6207.38	6471.02	6471.02	6121.9	5995.9	5006.93	4937.99	6561.36	5594.3	4038.61	5517.27
MMEL1	44.57	0.0	0.46	591.22	1030.12	406.31	1313.23	674.59	555.41	251.48	1268.46	20.86	163.28	34.02
NAPA	1794.29	0.0	1.07	7180.15	9215.48	6516.03	7966.99	7589.61	6887.62	3874.05	8479.89	2796.65	3491.39	2537.92
NMRAL1	283.05	0.0	0.53	2976.74	3349.13	1369.04	3639.7	1857.6	2224.63	1268.46	2591.27	1350.18	1639.59	603.67
NQO2	753.83	0.0	0.6	1135.2	1295.13	642.59	1030.12	1044.52	1096.5	860.08	1369.04	802.41	684.02	743.43
PACSIN2	1340.84	0.0	0.73	1233.75	1896.65	1529.73	1304.15	1477.58	1397.83	1277.29	1437.15	961.07	525.39	466.88
PCDHA1	1.97	0.0	0.06	21.16	2.76	4.06	69.03	30.78	0.0	2.01	64.8	0.33	3.99	1.69
PCP4	460.44	0.0	0.38	1685.71	4328.55	753.83	3419.52	2758.13	3639.7	728.11	3372.43	5.28	947.83	409.15
PDXDC1	1295.13	0.0	1.1	3081.75	2502.97	4038.61	3665.02	3395.89	3168.41	3419.52	3018.3	2004.85	642.59	525.39
PHOSPHO2	103.69	0.0	0.01	444.72	246.28	389.72	341.51	356.05	476.71	356.05	351.14	169.07	163.28	50.98
PLA2G2A	353168.2	0.0	0.47	299043.36	701458.36	558035.51	558035.51	428815.23	513497.31	751804.53	565825.41	606436.73	22.75	7032.37
PMEPA1	854.13	373.81	764.36	5672.41	7230.1	8134.41	4358.66	6207.38	7589.61	6164.49	5791.62	4181.07	1340.84	1359.57
POR	1242.34	0.0	0.85	2119.22	1572.76	2032.85	2758.13	1963.57	2163.77	1529.73	2935.74	1242.34	1685.71	1340.84
PRKCZ	214.27	0.0	0.42	1304.15	674.59	713.11	896.64	563.18	718.08	507.46	785.88	463.65	194.36	175.07
PROK1	5.82	0.0	0.15	13.22	63.89	7.0	89.51	66.65	70.51	28.86	96.01	2.14	0.89	0.92
PRRG2	90.14	0.0	0.0	575.03	543.96	571.05	921.88	551.56	457.25	500.46	703.28	384.34	123.5	202.66
PRSS8	1277.29	0.0	0.16	10733.74	11504.21	5831.91	14065.74	6294.04	8191.0	12415.75	17558.94	1709.26	2485.67	1378.57
PSMD8	3280.18	0.0	0.93	7081.29	6294.04	5672.41	4903.87	4481.23	5255.91	3742.05	5913.33	5517.27	3589.58	1685.71
QRFP	28.04	0.0	0.0	24.63	25.91	40.93	41.22	24.28	12.45	11.3	29.27	2.2	3.14	12.55
RAB1B	3349.13	0.0	1.01	6607.01	8479.89	7433.4	7537.18	7433.4	6983.79	5292.48	7966.99	2835.7	3742.05	2224.63
RAB4A	921.88	0.0	0.55	1844.76	2287.2	2319.15	1359.57	1950.0	2032.85	1769.57	2004.85	1183.45	819.3	511.0
RAP1GAP	92.05	0.0	0.0	1457.23	3614.55	1199.98	1832.01	1769.57	1350.18	1322.37	1605.83	68.55	559.28	224.97
REEP5	1304.15	2400.97	688.78	4152.18	3103.19	3235.01	3419.52	3060.45	2835.7	2485.67	4639.29	2047.0	1331.57	915.51
RNPEP	967.76	1295.13	409.15	1963.57	1628.26	2417.67	1639.59	1605.83	2061.24	1467.37	1963.57	1508.65	1008.9	708.18
ROGDI	532.74	0.0	0.39	1651.0	1991.0	1963.57	1883.54	1870.53	1457.23	995.0	1617.0	500.46	1199.98	738.29
ROPN1B	3.89	0.0	0.0	211.31	105.89	110.43	145.02	45.21	53.95	88.88	239.52	0.0	5.82	0.0
RP11-1102P16.1	0.41	0.0	0.0	7.22	6.73	5.87	5.77	7.46	0.72	1.1	3.96	0.0	0.0	0.0
RP11-863K10.7	1.85	0.0	0.0	5.73	9.41	8.06	9.85	9.93	5.02	3.2	5.96	3.89	1.48	1.95
RPS6KA1	384.34	0.0	0.64	1508.65	1175.27	830.75	1519.15	915.51	854.13	836.53	1073.91	620.67	295.11	264.03
RRAGD	187.71	166.73	77.25	660.68	339.14	141.02	591.22	603.67	450.94	559.28	718.08	44.89	51.35	95.34
RUSC1	1151.06	0.0	0.85	2061.24	2018.8	1015.93	1250.98	1733.13	1208.34	1519.15	1685.71	1191.69	633.73	1143.1
SCN1B	376.41	0.0	0.69	403.5	603.67	115.16	511.0	275.28	163.28	167.9	503.95	95.34	69.52	108.9
SH3BP4	161.02	0.0	0.62	848.22	854.13	909.17	848.22	836.53	764.36	1051.79	1304.15	1250.98	253.23	198.47
SLC25A4	902.89	0.0	0.26	988.12	713.11	909.17	1096.5	995.0	928.3	688.78	1051.79	130.6	575.03	293.07
SLC35F4	0.0	0.0	0.0	14.45	12.18	4.46	21.63	11.91	8.38	4.98	15.11	0.58	8.45	0.0
SLC9A9	612.11	0.0	0.54	470.14	273.37	351.14	490.14	503.95	323.03	206.94	514.56	55.1	51.35	102.25
SSU72	3589.58	3515.68	1001.93	3982.99	4123.49	2384.37	4388.98	3540.14	3665.02	3235.01	4123.49	2335.28	2997.45	2701.35
SUB1	3639.7	0.0	0.97	7485.11	5633.22	7537.18	8305.36	7803.01	6381.92	6337.83	10154.69	7537.18	6607.01	7857.29
SYNGR2	2520.38	0.0	1.08	12329.98	18304.63	10733.74	6381.92	7911.95	12415.75	7485.11	18304.63	9474.59	2384.37	3716.2
TEX264	1225.22	0.0	0.09	2835.7	3325.99	1857.6	3168.41	2287.2	2682.69	2119.22	3325.99	1583.71	2351.53	1950.0
TFDP2	303.44	0.0	0.59	551.56	281.09	529.06	457.25	493.56	376.41	470.14	638.15	336.79	228.13	224.97
TMEM134	559.28	0.0	0.83	3589.58	3794.3	4736.79	2855.44	3690.52	4972.34	3491.39	3847.29	1135.2	1427.22	595.34
TMEM86A	29.91	0.0	0.13	86.43	142.01	68.07	181.28	136.19	155.5	79.45	152.28	80.01	45.21	62.12
TMEM8A	1030.12	0.0	1.0	5711.87	2209.26	3349.13	3589.58	2287.2	2104.58	1605.83	4802.93	854.13	323.03	743.43
TOLLIP	872.1	0.0	0.64	1745.2	1066.48	1286.18	1936.53	1397.83	1397.83	1143.1	2209.26	642.59	651.58	713.11
TRPC4AP	679.29	0.0	0.85	1498.22	1208.34	1628.26	1277.29	1639.59	1388.16	1417.35	1628.26	1216.75	884.29	603.67
TSGA13	0.0	0.0	0.0	0.71	0.0	0.37	0.36	0.0	0.0	0.0	0.78	0.0	0.0	0.0
TSTD1	518.15	0.0	0.35	8598.28	8134.41	5913.33	5913.33	9088.59	7032.37	4736.79	7642.41	1605.83	878.17	563.18
TTC39A	146.03	0.0	0.0	1127.35	1096.5	954.43	1685.71	1175.27	1088.92	571.05	1467.37	567.1	29.7	182.55
UCN3	108.14	0.0	0.0	1.93	0.0	1.17	1.43	1.79	0.87	0.0	1.22	0.0	0.0	0.0
VRK3	1073.91	0.0	0.52	995.0	896.64	718.08	909.17	842.36	909.17	728.11	1051.79	679.29	409.15	988.12
ZNF586	96.68	0.0	0.49	149.12	112.77	182.55	157.68	165.57	149.12	125.24	149.12	95.34	94.67	48.18
