	TCGA.CV.7183.11A.01R.2016.07	TCGA.CV.6961.11A.01R.1915.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.XK.AAJ3.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VP.A87J.01A.11R.A352.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.VP.A879.01A.11R.A352.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.YL.A8SC.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.V1.A8MU.01A.11R.A37L.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.EJ.A8FN.01A.11R.A352.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.J4.A83K.01A.11R.A352.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.EJ.A7NH.01A.12R.A33R.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.ZT9W.2126.SM.51MSF
C1QTNF6	21.47	37.59	145.02	90.14	103.69	77.79	127.0	77.25	55.49	136.19	232.94	116.78	80.01	165.57	127.0	92.7	105.15	127.89	107.38	143.01	82.87	129.69	81.14	68.55	69.52	73.54	86.43	173.85	63.45	70.51	95.34	45.21	46.84	94.01	141.02	64.34	52.45	99.43	66.18	85.22	395.18	83.45	148.09	53.95	77.79	127.0	172.65	49.91	114.36	51.71	117.6	78.89	58.71	90.14	86.43	80.01	132.44	156.59	279.14	105.15	129.69	64.34	220.32	88.26	97.36	141.02	77.79	75.11	63.45	90.77	65.72	13.22
C20orf144	0.61	0.0	1.45	3.08	3.14	13.32	6.01	6.16	6.16	13.83	15.68	2.89	2.68	15.11	3.89	10.47	8.32	8.06	18.56	11.91	10.71	8.92	7.11	36.79	2.16	4.03	8.99	24.46	4.98	7.22	6.89	2.73	2.61	6.41	9.34	4.24	2.14	6.67	7.82	7.82	11.47	2.56	11.38	3.38	5.19	4.58	10.47	4.58	14.35	6.36	4.31	16.15	8.13	9.56	3.53	3.56	10.79	14.35	13.93	4.7	12.0	4.1	19.53	7.17	11.21	3.38	2.23	2.29	2.53	2.25	0.04	2.56
C6ORF50	0.88	0.0	5.19	8.65	4.86	6.41	20.41	5.15	9.34	25.72	54.72	16.15	5.36	31.45	6.41	3.06	14.14	25.72	31.0	24.28	21.01	43.63	1.99	50.27	4.06	3.96	11.91	38.4	15.0	7.51	16.27	7.69	8.45	16.15	27.84	17.77	11.73	23.42	12.0	4.1	74.06	21.94	24.46	4.66	7.0	14.03	13.32	3.0	18.29	23.08	8.58	46.18	22.75	14.24	15.22	7.94	28.45	24.11	28.86	5.87	35.25	8.19	40.93	6.94	10.0	25.35	0.0	12.27	4.43	2.97	0.0	2.05
CACTIN	124.37	275.28	120.1	269.6	339.14	334.46	470.14	309.83	305.55	307.69	497.0	366.09	154.42	450.94	361.04	312.0	395.18	395.18	167.9	366.09	389.72	470.14	351.14	379.04	256.78	332.14	454.09	368.65	251.48	275.28	241.19	229.72	258.57	441.64	417.77	316.37	289.02	323.03	353.59	435.55	529.06	215.77	486.75	223.41	329.84	327.56	412.0	307.69	387.02	197.09	351.14	379.04	325.29	309.83	267.73	318.57	403.5	409.15	406.31	267.73	540.19	426.57	532.74	346.29	366.09	507.46	395.18	363.56	244.57	376.41	134.3	165.57
CC2D1B	223.41	309.83	234.57	343.89	312.0	389.72	387.02	339.14	435.55	314.17	447.82	483.38	279.14	420.68	444.72	373.81	371.22	366.09	503.95	353.59	366.09	493.56	373.81	490.14	305.55	363.56	417.77	532.74	253.23	358.54	307.69	258.57	285.03	384.34	486.75	339.14	480.04	420.68	503.95	406.31	571.05	379.04	351.14	379.04	332.14	435.55	395.18	384.34	376.41	409.15	409.15	555.41	373.81	511.0	307.69	397.93	351.14	381.68	532.74	366.09	633.73	493.56	438.59	358.54	371.22	429.54	379.04	366.09	279.14	312.0	236.21	221.86
CCDC130	285.03	279.14	154.42	387.02	684.02	669.92	769.69	454.09	432.53	518.15	928.3	738.29	253.23	866.07	551.56	429.54	616.37	656.11	587.13	713.11	775.05	981.29	466.88	769.69	363.56	540.19	713.11	769.69	525.39	373.81	521.76	275.28	301.33	791.35	743.43	438.59	693.58	708.18	703.28	830.75	1167.14	583.07	934.76	316.37	414.87	555.41	854.13	423.61	624.99	366.09	543.96	974.5	651.58	674.59	346.29	432.53	733.19	830.75	791.35	444.72	1073.91	651.58	1216.75	420.68	693.58	836.53	438.59	435.55	414.87	414.87	100.13	234.57
CLEC18C	2.56	0.0	4.06	2.23	2.73	4.28	9.85	2.53	3.89	6.36	11.04	18.56	3.06	6.36	0.0	2.61	2.97	3.03	15.11	16.03	1.71	2.92	1.89	20.11	0.0	4.39	1.83	24.11	4.13	2.23	2.89	0.0	3.0	1.69	3.72	0.56	2.12	3.38	9.48	16.39	36.01	0.0	10.96	0.0	0.99	14.67	31.67	1.75	15.11	1.87	3.86	18.16	9.7	1.31	7.75	4.7	3.0	21.63	9.56	15.11	46.5	0.93	20.86	2.94	8.71	2.16	2.63	1.45	0.0	0.0	0.93	1.31
CRYBA2	0.0	24.28	0.0	29.7	73.54	96.01	208.38	68.07	29.91	55.89	129.69	78.89	45.85	57.89	17.51	17.0	11.38	75.64	199.85	70.51	46.5	204.07	51.71	102.25	23.08	41.52	38.67	309.83	21.01	23.25	55.49	10.16	40.64	19.68	244.57	33.06	39.79	49.56	102.25	35.5	81.71	43.63	120.1	9.56	74.58	96.68	47.17	29.06	41.81	12.0	75.64	39.22	34.26	35.0	20.26	62.56	100.83	89.51	22.59	136.19	102.25	23.08	85.22	10.71	33.06	84.04	32.13	8.85	48.18	25.54	0.68	0.0
DFNB31	29.91	100.83	56.28	190.34	323.03	199.85	191.67	176.29	466.88	190.34	470.14	429.54	151.22	379.04	293.07	314.17	229.72	403.5	379.04	289.02	248.0	285.03	271.48	281.09	108.9	307.69	226.54	603.67	156.59	236.21	343.89	108.9	164.42	224.97	323.03	133.36	301.33	295.11	287.01	208.38	356.05	256.78	277.2	126.12	205.5	212.78	334.46	185.11	327.56	224.97	236.21	400.71	389.72	156.59	156.59	129.69	244.57	361.04	305.55	199.85	366.09	281.09	688.78	201.25	221.86	432.53	162.14	277.2	137.14	178.77	9.27	40.36
DNASE1	117.6	72.52	63.45	429.54	571.05	285.03	656.11	551.56	785.88	305.55	638.15	529.06	267.73	808.0	603.67	490.14	555.41	688.78	866.07	423.61	441.64	708.18	361.04	679.29	503.95	860.08	547.75	995.0	473.41	511.0	669.92	366.09	281.09	1208.34	785.88	438.59	463.65	583.07	669.92	830.75	753.83	457.25	579.04	679.29	420.68	490.14	743.43	536.45	759.08	275.28	316.37	872.1	540.19	872.1	412.0	414.87	567.1	607.87	466.88	392.44	1572.76	679.29	713.11	587.13	688.78	518.15	381.68	246.28	432.53	241.19	79.45	57.08
DNHD1	8.06	19.97	38.95	67.59	71.0	81.71	75.64	28.86	57.49	100.83	139.07	92.05	27.05	117.6	59.55	59.97	103.69	80.01	94.01	88.26	56.28	108.14	37.32	154.42	18.43	37.05	69.52	125.24	35.25	36.79	56.28	24.46	24.99	40.64	81.71	47.17	27.05	64.8	68.55	71.0	169.07	49.56	98.04	32.36	14.14	91.41	120.1	38.95	58.71	18.84	57.49	154.42	75.64	41.81	53.57	14.35	74.58	67.12	62.56	29.7	190.34	100.13	156.59	22.59	55.1	71.0	20.26	52.08	26.1	27.44	2.43	8.92
DPH7	197.09	193.01	151.22	334.46	500.46	656.11	878.17	371.22	595.34	532.74	854.13	703.28	255.0	802.41	525.39	441.64	830.75	629.35	1096.5	718.08	718.08	836.53	323.03	1088.92	366.09	563.18	684.02	884.29	470.14	316.37	603.67	283.05	336.79	647.07	665.29	444.72	656.11	743.43	567.1	665.29	1259.69	616.37	915.51	435.55	356.05	684.02	1001.93	435.55	665.29	314.17	392.44	872.1	638.15	769.69	361.04	476.71	684.02	647.07	723.08	376.41	1605.83	813.63	1159.07	473.41	947.83	607.87	384.34	323.03	351.14	348.71	67.12	82.29
DRD4	0.67	2.78	1.5	2.63	2.41	7.63	17.64	4.54	6.67	10.24	31.9	9.85	1.58	24.99	11.47	2.07	5.63	4.7	9.7	2.56	3.0	22.43	6.57	6.78	2.03	2.94	6.36	24.99	5.59	11.47	9.93	2.14	2.07	9.85	10.55	1.55	6.46	4.62	8.65	10.16	34.75	7.06	15.68	3.06	3.69	7.57	16.51	4.06	7.75	0.0	6.78	14.67	7.0	3.99	1.58	7.69	12.36	15.34	3.47	3.14	14.35	5.5	29.91	4.94	4.62	12.55	1.55	5.36	8.92	3.66	0.0	10.71
EIF2B5	872.1	848.22	493.56	1073.91	1277.29	1572.76	1397.83	1304.15	1268.46	1277.29	1651.0	1457.23	1127.35	1259.69	1359.57	1369.04	1674.06	1417.35	1721.16	1617.0	1304.15	1407.55	1208.34	1388.16	1508.65	1350.18	1498.22	1617.0	1304.15	1572.76	1594.73	1191.69	1233.75	1870.53	1662.49	1369.04	1304.15	1340.84	1250.98	1561.89	2835.7	1127.35	1617.0	1233.75	1359.57	1508.65	1721.16	1073.91	1369.04	1111.82	1268.46	1583.71	1733.13	1721.16	1685.71	1437.15	1519.15	1359.57	1583.71	1081.39	1896.65	1359.57	1950.0	1477.58	1745.2	1350.18	1259.69	961.07	1295.13	974.5	318.57	444.72
ENTHD2	108.9	170.25	86.43	205.5	348.71	351.14	403.5	195.72	293.07	307.69	713.11	438.59	123.5	529.06	358.54	312.0	454.09	366.09	423.61	366.09	336.79	551.56	258.57	412.0	167.9	314.17	454.09	444.72	232.94	223.41	348.71	118.43	149.12	379.04	463.65	232.94	244.57	403.5	353.59	417.77	813.63	255.0	483.38	206.94	204.07	392.44	587.13	265.87	346.29	142.01	320.8	454.09	384.34	348.71	223.41	199.85	426.57	521.76	450.94	177.53	836.53	384.34	748.61	273.37	412.0	400.71	253.23	271.48	185.11	198.47	62.12	120.1
EXOSC10	555.41	684.02	470.14	698.41	718.08	836.53	796.86	698.41	780.44	529.06	1111.82	836.53	854.13	1001.93	764.36	878.17	764.36	878.17	915.51	802.41	718.08	830.75	633.73	934.76	607.87	651.58	780.44	775.05	559.28	708.18	718.08	583.07	674.59	647.07	909.17	848.22	764.36	872.1	819.3	780.44	1030.12	753.83	1001.93	633.73	764.36	693.58	921.88	872.1	830.75	587.13	842.36	947.83	878.17	764.36	698.41	718.08	934.76	878.17	915.51	591.22	884.29	878.17	1059.11	684.02	890.44	941.27	713.11	791.35	575.03	764.36	438.59	555.41
FBXW4	460.44	493.56	559.28	1407.55	1350.18	1457.23	2178.83	1551.09	1369.04	1378.57	2004.85	1467.37	1175.27	1819.35	1745.2	1286.18	1896.65	1745.2	1427.22	1151.06	1477.58	1721.16	1651.0	1733.13	1268.46	1508.65	1819.35	1540.37	1208.34	1551.09	1322.37	1225.22	1447.15	1498.22	2148.82	890.44	1745.2	2047.0	1467.37	1540.37	1733.13	1340.84	1745.2	1119.56	1662.49	1844.76	1605.83	1088.92	1709.26	1143.1	1151.06	2163.77	1561.89	1340.84	1322.37	1561.89	1896.65	1806.78	1857.6	915.51	2133.97	1662.49	1870.53	1427.22	1508.65	1832.01	1498.22	1350.18	1378.57	1447.15	525.39	412.0
IDUA	25.17	51.71	139.07	224.97	595.34	587.13	785.88	366.09	518.15	555.41	878.17	447.82	186.4	708.18	371.22	327.56	463.65	536.45	543.96	633.73	579.04	684.02	265.87	1159.07	351.14	447.82	599.49	934.76	339.14	363.56	575.03	353.59	218.79	1286.18	486.75	460.44	518.15	599.49	441.64	518.15	1277.29	343.89	759.08	211.31	389.72	603.67	934.76	232.94	785.88	150.17	435.55	884.29	813.63	575.03	656.11	633.73	395.18	395.18	733.19	301.33	1378.57	490.14	934.76	316.37	909.17	281.09	253.23	273.37	202.66	147.06	10.0	28.86
INCA1	10.16	3.29	22.26	49.56	39.79	46.18	80.57	35.25	38.67	63.45	67.12	46.5	45.21	70.51	43.32	23.59	70.01	40.64	52.82	66.65	47.5	62.56	33.06	53.19	37.59	49.91	58.3	64.34	38.67	45.85	36.53	38.67	31.0	38.67	70.01	45.85	59.55	40.64	61.68	30.34	96.01	40.93	67.12	33.3	37.05	40.93	40.93	25.72	60.39	27.25	37.05	47.5	48.87	52.45	35.76	48.52	58.71	32.82	66.18	48.18	68.55	50.63	58.71	46.84	44.57	52.82	29.91	33.54	29.91	43.63	8.58	4.74
IQCC	37.32	21.78	38.4	43.94	35.76	96.01	94.67	60.82	54.33	59.97	87.65	41.81	43.02	88.26	72.52	63.45	63.45	87.65	104.42	80.57	47.84	86.43	55.49	93.35	39.5	54.33	63.45	77.25	33.06	57.49	70.01	30.56	51.71	65.26	63.0	62.12	67.59	90.14	77.25	63.45	68.55	68.55	99.43	46.18	68.55	59.97	74.58	58.71	84.04	52.08	61.25	129.69	60.82	77.25	51.71	70.51	65.26	85.82	75.64	84.63	68.07	73.54	98.04	60.39	82.87	81.71	47.5	50.63	47.84	57.49	17.9	9.56
KLC4	158.79	124.37	246.28	503.95	638.15	624.99	624.99	656.11	447.82	688.78	780.44	679.29	480.04	842.36	688.78	551.56	688.78	656.11	525.39	679.29	575.03	836.53	669.92	878.17	457.25	547.75	651.58	688.78	579.04	563.18	624.99	463.65	595.34	718.08	674.59	518.15	599.49	693.58	435.55	633.73	890.44	575.03	733.19	660.68	728.11	674.59	854.13	483.38	854.13	426.57	703.28	688.78	703.28	728.11	511.0	567.1	759.08	954.43	633.73	575.03	941.27	825.0	974.5	579.04	743.43	981.29	642.59	587.13	674.59	579.04	82.29	106.63
KLK3	20.71	187.71	0.0	772940.66	881742.8	1345768.59	513497.31	1005860.33	751804.53	1116072.03	610654.84	845824.19	459592.86	645473.24	887875.81	585779.24	1116072.03	691801.16	539026.74	751804.53	985160.01	800198.39	1055868.42	906531.99	1187913.85	1093103.58	506427.83	654483.73	746611.43	805764.22	881742.8	1327240.99	731246.37	1147449.11	925580.18	394590.4	1412675.8	1238359.56	1327240.99	1196176.45	602247.76	800198.39	550352.86	985160.01	839981.65	869603.57	845824.19	805764.22	741454.2	757033.75	627822.72	1063212.58	736332.6	1238359.56	654483.73	985160.01	627822.72	736332.6	1345768.59	1472666.19	1019901.63	828417.36	585779.24	696613.03	938500.81	1019901.63	589853.66	546551.29	1063212.58	573724.06	1.83	0.0
LAMA5	343.89	738.29	723.08	1437.15	2104.58	1662.49	2271.4	1417.35	854.13	1529.73	3901.01	2287.2	909.17	2758.13	1674.06	1909.85	1508.65	1923.14	1304.15	1769.57	2163.77	2434.5	1583.71	2271.4	878.17	1487.87	1639.59	1936.53	1397.83	1295.13	1540.37	620.67	896.64	2555.58	2271.4	1191.69	1617.0	1685.71	1697.45	1467.37	2835.7	1487.87	2573.36	1111.82	1628.26	1794.29	2796.65	1081.39	1417.35	483.38	1832.01	1467.37	1781.89	1407.55	1540.37	1674.06	2178.83	2335.28	2104.58	1388.16	3540.14	1794.29	2997.45	1605.83	1651.0	2739.08	1963.57	1794.29	1111.82	1487.87	387.02	1059.11
