	TCGA.G4.6321.01A.11R.1723.07	TCGA.A6.A565.01A.31R.A28H.07	TCGA.A6.6648.01A.11R.1774.07	TCGA.A6.2679.11A.01R.A32Z.07	TCGA.A6.2684.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	TCGA.AA.3527.11A.01R.A32Z.07	GTEX.13111.0726.SM.5DUVE	GTEX.131XE.0826.SM.5HL9W	GTEX.11P7K.1526.SM.5EGI7	GTEX.WFON.1426.SM.4LVMT	GTEX.1399R.2226.SM.5P9JB	GTEX.PLZ5.1126.SM.3P613	GTEX.139TS.1926.SM.5IJFO	GTEX.QLQW.0426.SM.447A7	GTEX.S7SF.1926.SM.4AT5B	GTEX.S4P3.1226.SM.4AD4Y	GTEX.ZP4G.1726.SM.4WWCM	GTEX.ZPU1.1926.SM.57WDT	GTEX.P4QT.1426.SM.3NMCX	GTEX.1399U.1926.SM.5IFH7	GTEX.111VG.2226.SM.5N9DU	GTEX.11P82.1026.SM.5BC5J	GTEX.Y9LG.1526.SM.4WWDR	GTEX.Q2AI.0926.SM.48U1F	GTEX.PWN1.1426.SM.48TDF	GTEX.146FQ.1926.SM.5NQBY	GTEX.Y8LW.1226.SM.4WWDP	GTEX.WQUQ.2526.SM.4MVNO	GTEX.ZY6K.1226.SM.5GZYL	GTEX.RU1J.1326.SM.46MUL	GTEX.R55G.1226.SM.48FDC	GTEX.XYKS.2226.SM.4E3IU	GTEX.14E6E.1526.SM.5RQIG	GTEX.YB5E.1626.SM.5IFIQ	GTEX.X15G.1326.SM.4PQZJ	GTEX.X3Y1.1726.SM.4PQZL	GTEX.S3XE.1126.SM.4AD4N	GTEX.11DXX.1826.SM.5H126	GTEX.WFG7.1526.SM.4LVMG	GTEX.XGQ4.1226.SM.4AT67	GTEX.XUJ4.2026.SM.4BOOW	GTEX.QDVJ.1326.SM.48U1X	GTEX.13OVG.1426.SM.5K7VP	GTEX.PLZ6.0926.SM.3P5ZQ	GTEX.145MN.1726.SM.5SIA6	GTEX.YJ8A.1726.SM.5P9IQ	GTEX.TML8.1326.SM.4DXTO	GTEX.SNOS.1226.SM.4DM5H	GTEX.111CU.1426.SM.5GZYP	GTEX.144GM.1226.SM.5LU52	GTEX.147JS.2526.SM.5S2Q8	GTEX.PWOO.1326.SM.48TCJ	GTEX.ZYWO.1626.SM.5E44H	GTEX.ZF2S.1926.SM.4WWAN	GTEX.SE5C.1526.SM.4BRWU	GTEX.WQUQ.2626.SM.4MVNP	GTEX.1399S.1926.SM.5J2M5	GTEX.13D11.0826.SM.5KLZJ	GTEX.SNMC.1126.SM.4DM5M	GTEX.UPIC.1726.SM.4IHKG	GTEX.QV31.0826.SM.4R1KR	GTEX.1128S.1626.SM.5H12O	GTEX.OIZH.1426.SM.3NB1O	GTEX.145LT.0926.SM.5LU9C	GTEX.P4PP.1426.SM.3NM9L	GTEX.11EM3.1526.SM.5A5KN	GTEX.12BJ1.2126.SM.5BC5O	GTEX.Y5LM.1526.SM.4VDTA	GTEX.13O21.2426.SM.5MR4A	GTEX.ZYVF.2826.SM.5GIDK	GTEX.146FH.2426.SM.5Q5EW	GTEX.WHWD.1226.SM.4OOS1	GTEX.13FHP.2426.SM.5KLZ5	GTEX.ZVP2.1526.SM.5NQ82	GTEX.R55D.1826.SM.48FEF	GTEX.PWCY.1026.SM.48TD4	GTEX.XAJ8.0726.SM.47JY5	GTEX.OXRK.1726.SM.3NB16	GTEX.13FTW.1826.SM.5IJEN	GTEX.1122O.1526.SM.5N9CL	GTEX.W5WG.2426.SM.4LMI6	GTEX.Y8E4.2426.SM.4WWDN	GTEX.ZPIC.2226.SM.57WDX	GTEX.U3ZN.2126.SM.4DXU1	GTEX.XBED.1526.SM.4AT5W	GTEX.S4UY.0826.SM.4AD4Z	GTEX.ZZ64.0726.SM.5GZX4	GTEX.131XG.1826.SM.5LZV4	GTEX.XMK1.1726.SM.4B64Z	GTEX.XPVG.1826.SM.4B64X	GTEX.VJYA.2026.SM.4KL1K	GTEX.XUZC.1326.SM.4BRV2	GTEX.11DXZ.1726.SM.5H12M	GTEX.13OVJ.1726.SM.5IJDZ	GTEX.11I78.1226.SM.5A5K6	GTEX.TKQ2.1326.SM.4DXT9	GTEX.XV7Q.2126.SM.4BRVX	GTEX.WOFM.2026.SM.4OOSQ	GTEX.RM2N.0926.SM.48FD1	GTEX.YEC3.2026.SM.4WWFL	GTEX.T5JW.1126.SM.4DM5V	GTEX.11NSD.1626.SM.5986U	GTEX.ZGAY.2126.SM.4YCFB	GTEX.14DAR.1526.SM.5RQIX	GTEX.YF7O.1726.SM.5IFJ9	GTEX.ZTSS.1126.SM.5985O	GTEX.ZG7Y.1826.SM.4WWD3	GTEX.ZV7C.1526.SM.5NQ72	GTEX.Y3IK.1826.SM.4WWDS	GTEX.PX3G.1426.SM.48U1J	GTEX.P78B.1726.SM.3P5ZV	GTEX.S4Q7.0826.SM.4AD5E	GTEX.QMRM.1226.SM.447C6	GTEX.QEL4.1926.SM.4R1JI	GTEX.XUW1.1926.SM.4BOP1	GTEX.ZAB4.2226.SM.5HL97	GTEX.Q2AH.1226.SM.48TZL	GTEX.ZPCL.1626.SM.57WGC	GTEX.V955.1626.SM.4JBHJ	GTEX.ZLV1.1226.SM.4WWBX	GTEX.ZT9W.1826.SM.51MQX	TCGA.AF.3400.11A.01R.A32Z.07	TCGA.FP.A4BF.01A.12R.A36D.31
CRYM	66.65	61.68	74.58	82.29	234.57	89.51	96.01	325.29	363.56	429.54	480.04	497.0	373.81	325.29	241.19	314.17	279.14	307.69	244.57	447.82	279.14	97.36	503.95	555.41	376.41	346.29	260.38	71.0	126.12	191.67	147.06	518.15	271.48	457.25	426.57	220.32	323.03	141.02	429.54	536.45	136.19	503.95	166.73	33.06	450.94	638.15	239.52	497.0	361.04	403.5	209.84	86.43	206.94	429.54	575.03	318.57	108.9	435.55	595.34	318.57	194.36	376.41	253.23	307.69	579.04	460.44	518.15	583.07	540.19	633.73	63.89	25.17	312.0	134.3	255.0	341.51	293.07	75.64	423.61	435.55	603.67	351.14	180.02	547.75	336.79	299.25	423.61	209.84	237.86	226.54	629.35	256.78	293.07	420.68	287.01	353.59	177.53	334.46	748.61	638.15	21.47	435.55	260.38	275.28	624.99	466.88	309.83	112.77	358.54	595.34	229.72	90.77	392.44	150.17	295.11	265.87	131.51	363.56	103.69	151.22	612.11	371.22	212.78	35.25
CYP2J2	147.06	167.9	718.08	194.36	476.71	226.54	301.33	974.5	1313.23	1417.35	1721.16	1540.37	1733.13	1104.13	1268.46	1572.76	1096.5	1143.1	1183.45	1427.22	1529.73	242.88	1950.0	1594.73	1551.09	1331.57	1259.69	273.37	466.88	915.51	669.92	1806.78	981.29	1583.71	1167.14	1104.13	825.0	583.07	1417.35	1832.01	684.02	1685.71	819.3	181.28	1487.87	1923.14	358.54	1721.16	1242.34	1651.0	1191.69	187.71	1225.22	1963.57	1417.35	1096.5	281.09	1447.15	1697.45	647.07	1350.18	1477.58	1044.52	1369.04	1639.59	1233.75	1583.71	1832.01	1963.57	1806.78	68.07	217.27	1685.71	105.89	1331.57	1605.83	1015.93	162.14	1832.01	1685.71	1806.78	1639.59	981.29	1936.53	1697.45	1259.69	1477.58	764.36	1605.83	1331.57	1651.0	1001.93	1457.23	1583.71	688.78	1529.73	1023.0	1529.73	1819.35	1583.71	669.92	1551.09	1030.12	896.64	1844.76	1733.13	967.76	212.78	1617.0	1628.26	785.88	470.14	1407.55	1051.79	1407.55	974.5	211.31	1242.34	139.07	295.11	1923.14	1540.37	872.1	176.29
CYP4F2	153.34	38.95	16.63	106.63	43.63	70.01	27.64	264.03	198.47	395.18	967.76	819.3	642.59	185.11	346.29	220.32	438.59	389.72	186.4	915.51	723.08	18.84	248.0	77.79	743.43	693.58	92.7	69.52	47.84	90.77	49.21	825.0	551.56	297.17	255.0	155.5	81.14	91.41	921.88	170.25	181.28	366.09	305.55	10.31	293.07	718.08	15.45	426.57	171.45	575.03	144.01	13.72	175.07	152.28	363.56	253.23	0.0	136.19	287.01	204.07	463.65	291.04	65.72	61.25	246.28	231.32	293.07	251.48	186.4	529.06	6.11	15.68	113.56	16.15	165.57	142.01	88.26	11.73	316.37	460.44	941.27	269.6	258.57	255.0	299.25	129.69	115.16	164.42	629.35	769.69	316.37	540.19	100.13	497.0	25.54	241.19	371.22	49.56	241.19	149.12	132.44	361.04	91.41	107.38	384.34	85.82	334.46	16.39	1001.93	583.07	65.26	63.45	223.41	231.32	137.14	198.47	36.27	206.94	40.36	32.59	454.09	297.17	41.22	2.29
DNAAF2	72.01	48.87	223.41	124.37	123.5	78.34	126.12	172.65	162.14	271.48	166.73	193.01	258.57	218.79	129.69	169.07	156.59	199.85	206.94	194.36	180.02	132.44	202.66	217.27	229.72	193.01	170.25	138.1	145.02	223.41	153.34	275.28	161.02	221.86	275.28	143.01	185.11	124.37	220.32	265.87	130.6	208.38	112.77	146.03	191.67	283.05	182.55	166.73	201.25	189.02	162.14	98.73	194.36	221.86	224.97	165.57	150.17	191.67	269.6	158.79	173.85	173.85	158.79	218.79	283.05	255.0	204.07	258.57	206.94	228.13	115.16	131.51	224.97	132.44	193.01	193.01	136.19	131.51	246.28	190.34	251.48	195.72	156.59	265.87	186.4	155.5	191.67	141.02	217.27	170.25	231.32	150.17	217.27	153.34	130.6	249.73	129.69	236.21	229.72	206.94	141.02	199.85	202.66	163.28	242.88	242.88	152.28	108.14	291.04	209.84	130.6	139.07	130.6	170.25	170.25	166.73	117.6	201.25	136.19	146.03	234.57	187.71	143.01	92.7
ECI2	915.51	708.18	373.81	1697.45	1594.73	1183.45	1896.65	2032.85	2739.08	2956.17	3190.46	3081.75	3212.66	2351.53	2090.03	2573.36	2104.58	3060.45	1583.71	3515.68	2976.74	1119.56	2835.7	3540.14	2935.74	2816.11	1896.65	1628.26	1304.15	1519.15	1519.15	3372.43	1447.15	3395.89	3039.3	1709.26	2627.46	1583.71	2335.28	3794.3	1594.73	3395.89	1427.22	1088.92	3395.89	6607.01	1066.48	2796.65	2609.3	3419.52	1304.15	836.53	1498.22	2502.97	3124.78	2287.2	1259.69	2224.63	3901.01	1498.22	1745.2	1950.0	2287.2	2434.5	3820.7	3018.3	2384.37	3716.2	4869.99	3639.7	1268.46	1508.65	2855.44	1225.22	2400.97	3639.7	1605.83	830.75	3690.52	3874.05	2739.08	2956.17	1529.73	5751.61	2367.9	2319.15	3325.99	2090.03	2796.65	1963.57	3982.99	1008.9	3212.66	1733.13	674.59	3190.46	1467.37	3146.52	4152.18	2287.2	1322.37	4388.98	1950.0	2400.97	3395.89	3419.52	2240.11	1088.92	4010.71	3467.27	1159.07	1151.06	2664.15	1331.57	2240.11	1781.89	1295.13	1936.53	1477.58	1313.23	3820.7	2956.17	1427.22	753.83
ELL3	236.21	346.29	248.0	281.09	432.53	100.13	258.57	780.44	808.0	921.88	974.5	728.11	1051.79	836.53	753.83	995.0	802.41	866.07	669.92	934.76	808.0	279.14	612.11	842.36	915.51	813.63	854.13	287.01	476.71	693.58	638.15	1159.07	780.44	684.02	1199.98	775.05	599.49	435.55	1030.12	1175.27	503.95	961.07	447.82	114.36	819.3	928.3	343.89	954.43	791.35	599.49	450.94	279.14	603.67	808.0	1008.9	884.29	269.6	902.89	860.08	563.18	830.75	651.58	647.07	981.29	1216.75	775.05	669.92	909.17	1059.11	1242.34	114.36	265.87	1369.04	215.77	723.08	1225.22	651.58	277.2	1417.35	947.83	1051.79	866.07	633.73	1059.11	1059.11	579.04	878.17	400.71	738.29	878.17	1167.14	567.1	981.29	1066.48	325.29	1313.23	733.19	961.07	896.64	921.88	351.14	884.29	921.88	540.19	1081.39	1044.52	567.1	198.47	961.07	1151.06	665.29	395.18	954.43	587.13	785.88	708.18	373.81	967.76	199.85	432.53	1081.39	656.11	525.39	236.21
ENPP3	29.91	151.22	81.14	88.26	189.02	215.77	129.69	733.19	595.34	909.17	669.92	486.75	693.58	387.02	381.68	708.18	536.45	470.14	884.29	1183.45	563.18	63.0	796.86	656.11	500.46	819.3	334.46	59.97	124.37	848.22	195.72	909.17	460.44	791.35	665.29	426.57	466.88	327.56	571.05	743.43	182.55	1001.93	336.79	61.25	743.43	1487.87	89.51	1250.98	366.09	830.75	612.11	73.54	432.53	974.5	723.08	417.77	63.0	486.75	902.89	211.31	753.83	1023.0	486.75	521.76	830.75	536.45	890.44	830.75	1167.14	896.64	34.51	61.25	921.88	173.85	909.17	1008.9	262.2	20.71	1250.98	1001.93	791.35	759.08	426.57	1096.5	1023.0	473.41	748.61	301.33	587.13	629.35	819.3	397.93	836.53	723.08	447.82	493.56	392.44	429.54	1225.22	808.0	183.82	547.75	389.72	303.44	769.69	967.76	256.78	49.91	1111.82	890.44	435.55	127.0	802.41	256.78	514.56	341.51	119.26	796.86	36.53	39.5	738.29	660.68	94.67	3.63
EPB41L4B	872.1	669.92	1127.35	583.07	1088.92	1540.37	728.11	2895.31	1806.78	3349.13	3146.52	3103.19	2855.44	2417.67	2835.7	2609.3	1963.57	2468.49	2485.67	3372.43	3419.52	493.56	4095.0	3190.46	3395.89	3515.68	2104.58	486.75	796.86	2032.85	860.08	4152.18	1286.18	4671.57	3564.78	1977.24	1832.01	1685.71	3419.52	3018.3	1277.29	2502.97	1447.15	624.99	2573.36	3690.52	674.59	2895.31	2335.28	3235.01	2224.63	406.31	1685.71	3467.27	3349.13	2240.11	518.15	3190.46	3491.39	1259.69	2758.13	2664.15	1781.89	2739.08	2609.3	3768.09	4388.98	4239.45	3955.48	3665.02	316.37	503.95	2997.45	684.02	2209.26	2720.15	1572.76	406.31	2739.08	3614.55	4181.07	2855.44	1909.85	3874.05	3124.78	2645.74	3168.41	1733.13	4038.61	2609.3	2915.45	1745.2	3081.75	3794.3	1233.75	3419.52	2193.99	2163.77	3540.14	2935.74	743.43	2816.11	1844.76	2573.36	3639.7	2591.27	2956.17	332.14	3690.52	2701.35	1697.45	921.88	2609.3	2004.85	2255.7	1685.71	748.61	2796.65	414.87	480.04	3443.31	3395.89	703.28	128.79
ERMP1	293.07	285.03	651.58	371.22	341.51	275.28	395.18	555.41	532.74	583.07	532.74	532.74	629.35	500.46	497.0	571.05	483.38	493.56	447.82	500.46	473.41	258.57	651.58	473.41	579.04	595.34	403.5	218.79	277.2	441.64	327.56	595.34	307.69	660.68	532.74	429.54	368.65	348.71	567.1	708.18	336.79	567.1	309.83	260.38	476.71	688.78	277.2	532.74	387.02	470.14	358.54	241.19	503.95	665.29	669.92	511.0	265.87	486.75	547.75	358.54	503.95	595.34	529.06	607.87	616.37	500.46	796.86	647.07	616.37	688.78	152.28	312.0	629.35	267.73	389.72	587.13	387.02	226.54	764.36	620.67	599.49	595.34	441.64	629.35	633.73	480.04	540.19	351.14	540.19	551.56	559.28	417.77	547.75	660.68	258.57	583.07	518.15	507.46	493.56	563.18	224.97	417.77	490.14	441.64	624.99	438.59	406.31	208.38	503.95	551.56	417.77	339.14	551.56	353.59	514.56	414.87	293.07	521.76	152.28	281.09	647.07	532.74	403.5	244.57
FAM109A	738.29	265.87	217.27	334.46	435.55	323.03	309.83	563.18	441.64	476.71	684.02	559.28	647.07	521.76	497.0	559.28	624.99	497.0	656.11	669.92	679.29	269.6	551.56	595.34	507.46	624.99	642.59	181.28	379.04	441.64	417.77	507.46	395.18	567.1	603.67	417.77	384.34	299.25	587.13	633.73	483.38	669.92	351.14	239.52	518.15	540.19	224.97	571.05	511.0	780.44	450.94	327.56	603.67	423.61	521.76	470.14	289.02	656.11	547.75	358.54	551.56	587.13	397.93	497.0	679.29	525.39	397.93	603.67	684.02	769.69	194.36	351.14	567.1	281.09	500.46	587.13	633.73	232.94	518.15	521.76	642.59	642.59	384.34	612.11	607.87	559.28	486.75	309.83	718.08	511.0	775.05	441.64	490.14	579.04	312.0	620.67	575.03	543.96	674.59	660.68	271.48	748.61	361.04	316.37	703.28	693.58	429.54	229.72	616.37	521.76	503.95	299.25	503.95	571.05	470.14	420.68	271.48	417.77	314.17	275.28	708.18	518.15	409.15	329.84
FOXH1	3.17	12.74	9.13	29.06	30.34	50.98	13.03	109.66	62.56	53.95	55.1	58.71	81.71	96.01	98.04	83.45	85.82	31.9	71.0	88.88	78.34	3.99	107.38	105.89	96.68	127.89	42.41	13.72	42.11	29.91	51.71	120.1	63.45	77.79	73.03	50.98	47.84	18.43	60.39	59.13	36.79	137.14	52.82	17.9	59.97	71.5	5.54	76.71	40.36	46.84	43.32	6.11	65.72	32.36	78.34	62.12	18.29	62.12	61.68	24.11	57.49	114.36	59.97	52.45	87.65	68.55	82.87	96.68	107.38	81.71	0.0	0.0	76.71	6.16	48.52	60.39	36.79	7.88	68.55	73.03	105.89	144.01	62.56	109.66	119.26	74.06	106.63	26.86	117.6	75.64	101.54	69.52	92.7	102.97	47.5	78.89	79.45	65.26	107.38	70.01	3.89	76.17	54.72	61.68	53.95	103.69	39.5	6.94	76.17	70.51	48.18	28.65	60.39	29.48	49.56	31.9	22.59	98.73	0.0	14.56	63.45	57.08	40.93	7.69
FRYL	660.68	1286.18	1167.14	1295.13	842.36	967.76	1096.5	1950.0	1721.16	2573.36	2537.92	1250.98	2520.38	1769.57	2075.59	2061.24	2004.85	1950.0	1857.6	1721.16	2434.5	665.29	2573.36	2520.38	2148.82	2997.45	1350.18	633.73	988.12	1313.23	1313.23	2627.46	1304.15	2591.27	2609.3	1709.26	1883.54	1369.04	2255.7	2997.45	1216.75	2271.4	1191.69	1030.12	2163.77	3124.78	1001.93	2090.03	1477.58	2240.11	1617.0	693.58	1781.89	2468.49	1977.24	2319.15	698.41	2434.5	2400.97	1104.13	1844.76	2400.97	1806.78	2224.63	2645.74	2451.44	2287.2	2720.15	2485.67	3190.46	486.75	674.59	2627.46	674.59	2193.99	2434.5	1617.0	656.11	3039.3	2485.67	2976.74	2758.13	1350.18	3146.52	2271.4	2400.97	2367.9	1199.98	2104.58	1963.57	2609.3	1936.53	2468.49	2351.53	1059.11	2485.67	1757.34	1857.6	2451.44	2645.74	688.78	2573.36	1757.34	1359.57	2935.74	2701.35	1651.0	674.59	2739.08	1781.89	1437.15	967.76	2591.27	1225.22	1936.53	1397.83	748.61	1721.16	642.59	808.0	3280.18	2075.59	1015.93	507.46
GLB1	1167.14	813.63	1259.69	1001.93	947.83	854.13	1073.91	1225.22	796.86	1628.26	1467.37	1369.04	1378.57	1030.12	1498.22	1331.57	1191.69	1250.98	1369.04	1697.45	1295.13	688.78	1208.34	1151.06	1617.0	1498.22	1268.46	836.53	1096.5	878.17	1015.93	1529.73	878.17	1331.57	1225.22	1457.23	1037.29	1143.1	1757.34	1662.49	1208.34	1936.53	1191.69	890.44	1322.37	1457.23	808.0	1313.23	1167.14	1709.26	1088.92	1023.0	1340.84	1216.75	1498.22	1322.37	921.88	1167.14	1286.18	1199.98	1167.14	1457.23	1216.75	1111.82	1407.55	1159.07	1745.2	1250.98	1674.06	1745.2	693.58	842.36	1359.57	819.3	1313.23	1605.83	1030.12	825.0	1304.15	1477.58	1350.18	1605.83	1059.11	1487.87	1519.15	1487.87	1313.23	1066.48	1508.65	1529.73	1242.34	1135.2	1519.15	1250.98	878.17	1295.13	1088.92	1437.15	1407.55	1295.13	988.12	1674.06	896.64	1191.69	1242.34	1437.15	1037.29	842.36	1340.84	1733.13	1023.0	796.86	1359.57	1350.18	1135.2	1051.79	866.07	1529.73	825.0	836.53	1233.75	1199.98	1008.9	878.17
GPRC5C	1561.89	764.36	232.94	1208.34	2875.3	1487.87	2209.26	2609.3	2255.7	2739.08	3190.46	3928.15	3515.68	2351.53	2591.27	2875.3	2287.2	2303.12	2627.46	3018.3	3212.66	909.17	2537.92	3235.01	3103.19	3303.0	1721.16	759.08	1417.35	2004.85	1447.15	3372.43	1605.83	3665.02	2956.17	2287.2	2287.2	1242.34	3018.3	3235.01	1572.76	2915.45	1617.0	2537.92	3124.78	3928.15	848.22	2701.35	2119.22	2303.12	1806.78	995.0	2335.28	3564.78	3124.78	2335.28	743.43	3257.52	3018.3	1417.35	2319.15	2573.36	2104.58	2682.69	3419.52	2835.7	2701.35	2758.13	4010.71	3690.52	450.94	1135.2	2591.27	624.99	2758.13	3768.09	1781.89	559.28	3081.75	3168.41	3018.3	2609.3	2018.8	3467.27	3212.66	3564.78	3372.43	1519.15	2609.3	2075.59	3257.52	2417.67	3060.45	3039.3	1369.04	2720.15	2047.0	3325.99	3901.01	2739.08	1104.13	3280.18	1909.85	1857.6	3235.01	2976.74	1583.71	463.65	2739.08	3419.52	1745.2	947.83	2875.3	1709.26	2287.2	1685.71	728.11	2555.58	866.07	1286.18	2915.45	2875.3	1015.93	1044.52
GRTP1	860.08	595.34	384.34	728.11	813.63	947.83	612.11	1594.73	1242.34	1617.0	1427.22	1540.37	1561.89	1151.06	1183.45	1594.73	1151.06	1216.75	1119.56	1697.45	1350.18	417.77	1685.71	1540.37	1551.09	1250.98	1015.93	642.59	665.29	753.83	848.22	1857.6	890.44	2090.03	1870.53	1159.07	813.63	890.44	1617.0	1359.57	713.11	1540.37	693.58	348.71	1369.04	2090.03	599.49	1923.14	1322.37	1030.12	1023.0	486.75	1066.48	1295.13	1467.37	1286.18	483.38	1745.2	1477.58	743.43	1457.23	1605.83	1059.11	1447.15	1572.76	1540.37	1350.18	1757.34	1651.0	1508.65	255.0	575.03	1662.49	332.14	1286.18	1388.16	1008.9	438.59	1313.23	1561.89	1896.65	1685.71	1001.93	1340.84	1769.57	1167.14	1268.46	775.05	1896.65	1208.34	1519.15	1015.93	1605.83	2367.9	616.37	1594.73	1277.29	1127.35	1457.23	1457.23	397.93	1605.83	928.3	1127.35	1963.57	1427.22	1175.27	547.75	1617.0	1447.15	902.89	547.75	1427.22	909.17	1313.23	1066.48	543.96	1369.04	665.29	674.59	1685.71	1662.49	563.18	420.68
GUCY2C	432.53	195.72	423.61	161.02	260.38	309.83	232.94	1844.76	1286.18	2609.3	2271.4	1697.45	2240.11	1529.73	1561.89	1950.0	1388.16	1639.59	1745.2	1819.35	2209.26	149.12	2758.13	2119.22	2163.77	2119.22	1674.06	246.28	642.59	1674.06	733.19	2400.97	1096.5	2537.92	2555.58	1583.71	1242.34	974.5	2287.2	2119.22	1081.39	1963.57	934.76	223.41	2090.03	2485.67	1119.56	2133.97	1605.83	2178.83	1909.85	124.37	1832.01	2319.15	2303.12	1639.59	314.17	2417.67	2271.4	967.76	2178.83	2303.12	1397.83	1745.2	2163.77	2502.97	2434.5	2319.15	2758.13	2664.15	108.9	186.4	2193.99	116.78	2119.22	2193.99	1359.57	186.4	2133.97	2303.12	3103.19	2163.77	1378.57	2451.44	2104.58	1733.13	2193.99	954.43	2209.26	2090.03	2148.82	1467.37	2004.85	2240.11	1304.15	2119.22	1467.37	1639.59	2434.5	2148.82	599.49	1697.45	1216.75	1447.15	2555.58	2004.85	1674.06	232.94	2573.36	2104.58	1477.58	555.41	1977.24	1350.18	1572.76	1242.34	262.2	1950.0	217.27	368.65	2400.97	2075.59	241.19	22.75
HEPACAM2	86.43	1268.46	137.14	166.73	215.77	199.85	293.07	2777.33	2240.11	4388.98	5954.47	2502.97	3491.39	2193.99	2502.97	3395.89	2287.2	2835.7	2573.36	2287.2	4123.49	769.69	4937.99	3639.7	4181.07	5329.3	2555.58	665.29	825.0	2591.27	1268.46	7180.15	2485.67	7081.29	9279.58	1561.89	2255.7	1457.23	5403.7	5479.15	1709.26	4239.45	878.17	301.33	3564.78	5006.93	896.64	6337.83	3081.75	2701.35	2224.63	351.14	2627.46	4152.18	5006.93	3716.2	392.44	5751.61	4543.8	1388.16	3847.29	4836.35	753.83	3395.89	5479.15	7331.05	4869.99	5594.3	6207.38	8840.04	146.03	536.45	5147.73	143.01	3491.39	2875.3	1088.92	223.41	5255.91	3955.48	6516.03	4095.0	2224.63	7589.61	3372.43	2609.3	4450.27	1407.55	3982.99	3124.78	5633.22	1883.54	4388.98	5329.3	1127.35	6037.61	2148.82	1794.29	5329.3	4481.23	212.78	3589.58	2701.35	2400.97	7803.01	4836.35	2935.74	379.04	4903.87	5255.91	2193.99	915.51	4607.24	1709.26	3467.27	3146.52	185.11	2047.0	329.84	967.76	5183.54	3589.58	275.28	25.17
HSBP1L1	703.28	567.1	460.44	708.18	1313.23	733.19	748.61	1447.15	1081.39	1781.89	1674.06	1378.57	1721.16	1369.04	1304.15	1551.09	1457.23	1457.23	1059.11	1721.16	1844.76	540.19	1397.83	1950.0	1135.2	1977.24	1001.93	540.19	802.41	1295.13	934.76	1639.59	1159.07	1529.73	1844.76	1208.34	1143.1	836.53	1832.01	1540.37	1051.79	1295.13	890.44	332.14	1487.87	1794.29	708.18	1697.45	1540.37	1242.34	791.35	688.78	1015.93	1628.26	1199.98	1674.06	620.67	1923.14	1617.0	988.12	1662.49	1268.46	1008.9	1477.58	1628.26	1519.15	1359.57	2075.59	1870.53	2664.15	507.46	599.49	1662.49	620.67	1745.2	1617.0	1081.39	651.58	1397.83	2090.03	1870.53	1561.89	796.86	2047.0	1883.54	1175.27	1457.23	934.76	1519.15	1250.98	2090.03	1519.15	1487.87	1605.83	854.13	2032.85	1369.04	1135.2	2335.28	1674.06	206.94	1572.76	1066.48	1051.79	2133.97	1340.84	1167.14	575.03	1806.78	1259.69	872.1	825.0	1594.73	988.12	1350.18	1001.93	780.44	1508.65	525.39	507.46	1870.53	1605.83	954.43	633.73
ILDR1	162.14	77.25	51.35	90.77	275.28	180.02	122.64	497.0	476.71	759.08	665.29	529.06	620.67	412.0	507.46	540.19	429.54	599.49	483.38	647.07	435.55	32.36	743.43	567.1	583.07	603.67	397.93	77.79	180.02	423.61	202.66	743.43	314.17	575.03	674.59	460.44	381.68	249.73	525.39	629.35	283.05	532.74	241.19	74.58	547.75	718.08	98.73	669.92	463.65	483.38	314.17	105.89	371.22	532.74	540.19	371.22	79.45	587.13	674.59	249.73	651.58	616.37	229.72	490.14	665.29	571.05	511.0	616.37	753.83	748.61	22.59	99.43	656.11	53.57	441.64	555.41	256.78	55.1	529.06	624.99	543.96	583.07	395.18	753.83	698.41	384.34	583.07	239.52	808.0	559.28	629.35	414.87	490.14	825.0	173.85	543.96	444.72	483.38	780.44	543.96	28.86	483.38	381.68	348.71	703.28	651.58	387.02	67.59	616.37	638.15	395.18	167.9	473.41	320.8	447.82	371.22	84.04	457.25	43.94	98.04	624.99	540.19	130.6	28.24
LPCAT4	5076.84	3124.78	1259.69	2537.92	2720.15	1457.23	1757.34	4543.8	4181.07	5441.3	5219.6	3874.05	5711.87	4123.49	3928.15	5076.84	4543.8	4038.61	4358.66	5076.84	4903.87	2720.15	3443.31	5292.48	4543.8	6337.83	4481.23	1540.37	2627.46	3190.46	3168.41	4181.07	3060.45	3589.58	6164.49	4575.41	3395.89	2335.28	5219.6	4328.55	2573.36	5076.84	2855.44	2485.67	4736.79	4937.99	2104.58	4038.61	4239.45	5255.91	3901.01	2271.4	4268.94	3794.3	3443.31	3742.05	1651.0	5255.91	4268.94	2609.3	4123.49	4239.45	3081.75	3665.02	5076.84	3665.02	4450.27	4239.45	5076.84	4937.99	1674.06	2224.63	5183.54	2133.97	4671.57	5441.3	4328.55	1477.58	3716.2	4607.24	5366.37	5112.16	2573.36	4903.87	5672.41	4512.4	4152.18	2682.69	4769.75	4328.55	6079.61	3639.7	5147.73	6164.49	3847.29	5831.91	4671.57	4358.66	4972.34	4972.34	1143.1	5831.91	3325.99	2555.58	5112.16	6381.92	2956.17	1407.55	3540.14	3820.7	3467.27	2367.9	4972.34	3168.41	4450.27	3039.3	2645.74	4298.64	1051.79	1551.09	4575.41	4481.23	2319.15	1977.24
