	TCGA.E7.A97Q.01A.11R.A38B.07	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.DK.AA76.01A.11R.A39I.07	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.C4.A0F6.01A.11R.A10U.07	TCGA.ZF.A9R0.01A.11R.A38B.07	TCGA.CF.A7I0.01A.22R.A352.07	TCGA.XF.A9SH.01A.11R.A39I.07	TCGA.BT.A3PH.01A.11R.A220.07	TCGA.CU.A3YL.01A.11R.A22U.07	TCGA.DK.A3IK.01A.32R.A21D.07	TCGA.ZF.A9RL.01A.11R.A38B.07	TCGA.MV.A51V.01A.11R.A26T.07	TCGA.GD.A3OP.01A.21R.A220.07	TCGA.GV.A3QH.01A.11R.A220.07	TCGA.H4.A2HO.01A.11R.A180.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.4Z.AA87.01A.11R.A39I.07	TCGA.XF.A9SV.01A.21R.A42T.07	GTEX.S4Q7.0526.SM.4AD5N	TCGA.KN.8435.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.145MN.0326.SM.5QGQI	GTEX.Y5V6.2026.SM.5IFHO	GTEX.12WSG.0826.SM.5EQ5A	TCGA.CZ.5462.01A.01R.1503.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.BJ.A2NA.11A.11R.A19O.07	GTEX.13YAN.0926.SM.5O9C3	GTEX.13OVJ.0626.SM.5J2O2	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.14C38.0826.SM.5S2U8	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.11TTK.0826.SM.5N9EG	GTEX.ZGAY.1026.SM.4WWBR	GTEX.13OVI.0826.SM.5KLZ8	GTEX.X8HC.0726.SM.46MWG	GTEX.1211K.0726.SM.5FQUW
BBS2	555.41	429.54	256.78	470.14	466.88	143.01	536.45	466.88	293.07	400.71	454.09	579.04	406.31	536.45	389.72	432.53	514.56	228.13	392.44	521.76	1001.93	1183.45	854.13	1111.82	995.0	896.64	819.3	1183.45	1111.82	1030.12	915.51	679.29	785.88	1268.46	884.29	1044.52	981.29	915.51	1104.13	1369.04	1286.18	1037.29	1073.91	836.53	1639.59	941.27	1088.92	1030.12	872.1	1127.35	974.5	1037.29	836.53	854.13	733.19	1030.12	1175.27	981.29	947.83	954.43	1073.91	928.3	909.17	981.29	1023.0	1143.1	1015.93	1059.11	738.29	791.35	1066.48	262.2	0.0	884.29	860.08	656.11	1216.75	1081.39	514.56	1104.13	1044.52	1119.56	708.18	1159.07	1397.83	796.86	941.27
BRE	1030.12	438.59	307.69	693.58	441.64	1073.91	785.88	780.44	961.07	497.0	1143.1	723.08	1081.39	1066.48	591.22	878.17	1051.79	967.76	718.08	1008.9	1427.22	1331.57	1977.24	1477.58	2032.85	1639.59	2047.0	1745.2	2178.83	2777.33	1467.37	1388.16	1378.57	1417.35	1896.65	2061.24	1794.29	1662.49	1508.65	1721.16	1896.65	1781.89	1617.0	1427.22	1617.0	1628.26	1674.06	1832.01	2032.85	1991.0	1242.34	1605.83	1519.15	1709.26	1781.89	1794.29	1583.71	1781.89	1594.73	1498.22	1540.37	1844.76	1447.15	1806.78	1388.16	1794.29	1950.0	1757.34	1561.89	1350.18	1651.0	1023.0	1572.76	808.0	638.15	559.28	476.71	647.07	669.92	583.07	529.06	679.29	583.07	599.49	555.41	555.41	660.68
C11orf52	339.14	81.14	988.12	878.17	426.57	312.0	223.41	358.54	366.09	555.41	532.74	890.44	629.35	500.46	395.18	1044.52	341.51	149.12	314.17	45.53	988.12	2075.59	1216.75	1605.83	2104.58	3081.75	2555.58	1572.76	1936.53	2287.2	2502.97	1457.23	1183.45	1199.98	769.69	1059.11	1051.79	1044.52	1135.2	1313.23	1697.45	1191.69	1037.29	1674.06	1096.5	1044.52	1183.45	1225.22	1051.79	1159.07	1331.57	1001.93	1015.93	1259.69	878.17	1066.48	1111.82	1487.87	1529.73	934.76	1378.57	1369.04	961.07	1081.39	1044.52	1135.2	1250.98	1066.48	791.35	995.0	1242.34	1066.48	0.0	753.83	490.14	890.44	624.99	633.73	693.58	733.19	679.29	723.08	909.17	866.07	872.1	397.93	669.92
C14orf159	463.65	780.44	269.6	1127.35	1001.93	603.67	1233.75	1225.22	420.68	343.89	866.07	1242.34	371.22	934.76	115.97	1225.22	476.71	660.68	555.41	490.14	1457.23	1151.06	1313.23	1487.87	1551.09	3146.52	1819.35	1583.71	2178.83	2468.49	2133.97	412.0	1167.14	1233.75	1594.73	1594.73	1313.23	1151.06	1295.13	1498.22	1745.2	1639.59	1572.76	1250.98	1529.73	1628.26	1991.0	1477.58	1540.37	1487.87	1111.82	1857.6	1096.5	1388.16	1322.37	1268.46	1605.83	1250.98	1674.06	1519.15	1417.35	1397.83	1551.09	1721.16	1617.0	1417.35	1572.76	1639.59	1322.37	1331.57	1662.49	656.11	0.0	921.88	583.07	540.19	624.99	775.05	591.22	941.27	1030.12	780.44	902.89	1159.07	854.13	753.83	723.08
CABP1	16.63	10.39	11.21	22.75	6.84	72.01	101.54	0.41	44.57	46.5	84.04	21.01	55.89	18.56	18.7	25.91	29.7	8.45	8.78	24.46	228.13	236.21	98.04	236.21	88.88	647.07	61.68	93.35	157.68	674.59	285.03	100.13	217.27	211.31	224.97	299.25	152.28	135.24	132.44	518.15	237.86	166.73	279.14	316.37	136.19	536.45	392.44	373.81	185.11	312.0	146.03	373.81	34.02	260.38	70.51	50.98	163.28	486.75	426.57	27.84	212.78	379.04	503.95	361.04	183.82	166.73	353.59	262.2	189.02	73.54	187.71	3.32	0.0	47.5	1.87	6.41	3.59	20.26	11.82	26.28	10.16	18.43	18.84	28.04	8.92	7.82	5.06
CDKL1	67.12	42.71	30.56	248.0	57.08	61.68	128.79	137.14	12.55	51.71	100.83	80.57	96.01	185.11	60.39	108.14	21.01	33.54	47.17	141.02	842.36	591.22	620.67	1191.69	2178.83	607.87	723.08	878.17	842.36	1001.93	1331.57	260.38	769.69	1313.23	381.68	703.28	708.18	651.58	733.19	1208.34	1216.75	599.49	1073.91	878.17	1127.35	988.12	813.63	947.83	802.41	915.51	1350.18	866.07	426.57	575.03	607.87	559.28	967.76	703.28	633.73	902.89	738.29	981.29	896.64	603.67	1175.27	728.11	1023.0	684.02	733.19	693.58	974.5	34.26	83.45	195.72	264.03	117.6	295.11	269.6	289.02	688.78	387.02	339.14	120.1	303.44	295.11	190.34	258.57
CDKL2	4.78	4.21	1.57	0.0	15.91	4.78	0.0	0.0	1.23	0.96	0.0	1.5	14.35	8.92	3.23	2.76	3.79	0.96	0.69	6.89	161.02	81.14	77.79	116.78	100.83	109.66	141.02	275.28	351.14	157.68	148.09	60.82	100.83	124.37	83.45	102.97	79.45	90.14	148.09	150.17	116.78	83.45	148.09	111.21	114.36	124.37	143.01	130.6	119.26	137.14	170.25	137.14	99.43	52.82	94.67	64.8	128.79	108.9	91.41	85.82	115.16	75.64	146.03	105.89	138.1	91.41	133.36	92.7	100.13	84.63	132.44	1.39	0.0	94.01	87.03	29.27	43.02	114.36	130.6	171.45	71.5	72.01	30.56	118.43	59.13	90.77	68.55
CGNL1	11.3	2.29	4.7	28.45	52.45	20.26	53.57	36.53	11.21	28.86	32.36	21.63	71.0	39.5	11.73	60.82	24.63	10.63	15.45	130.6	2240.11	1059.11	1991.0	1135.2	1540.37	3928.15	7537.18	11664.82	4704.07	5366.37	8022.41	587.13	2319.15	3614.55	2193.99	2956.17	3146.52	1781.89	2090.03	3639.7	2255.7	2133.97	2997.45	1397.83	3467.27	2855.44	3212.66	2627.46	3060.45	2224.63	1733.13	3235.01	1143.1	2018.8	1857.6	1781.89	3081.75	1111.82	2609.3	2209.26	2895.31	2573.36	2351.53	2434.5	3491.39	2976.74	3257.52	2075.59	3018.3	3103.19	2997.45	379.04	0.0	543.96	176.29	283.05	325.29	327.56	173.85	503.95	769.69	438.59	1991.0	466.88	356.05	289.02	466.88
CISD1	376.41	339.14	575.03	457.25	497.0	1030.12	723.08	620.67	785.88	543.96	432.53	559.28	339.14	525.39	275.28	500.46	447.82	314.17	629.35	2956.17	1617.0	2895.31	1896.65	2682.69	4736.79	1498.22	2537.92	2351.53	2384.37	3103.19	1857.6	4575.41	2335.28	2119.22	2032.85	1991.0	2367.9	2133.97	2240.11	2367.9	2335.28	2104.58	2133.97	2997.45	2018.8	2075.59	2555.58	2163.77	1991.0	2240.11	2627.46	2018.8	2573.36	2193.99	1857.6	2502.97	2104.58	2555.58	2163.77	1781.89	2319.15	2119.22	1806.78	1781.89	2018.8	2224.63	2004.85	1950.0	1685.71	1745.2	1923.14	1628.26	1340.84	941.27	679.29	819.3	287.01	718.08	988.12	403.5	599.49	575.03	785.88	447.82	412.0	583.07	435.55
CLCN4	3.44	9.41	7.75	10.47	2.76	1.14	12.27	4.98	2.46	10.71	3.0	12.74	46.5	4.66	4.7	21.47	7.94	9.06	19.68	22.92	143.01	51.71	89.51	47.17	74.06	72.01	134.3	133.36	194.36	224.97	126.12	297.17	96.68	88.26	89.51	94.01	105.89	103.69	142.01	153.34	91.41	78.89	83.45	66.18	102.25	92.7	115.16	77.25	100.83	81.14	90.14	133.36	92.7	94.67	101.54	97.36	105.15	38.67	71.0	132.44	103.69	99.43	121.79	125.24	117.6	99.43	139.07	105.15	154.42	97.36	106.63	65.26	0.0	112.77	48.87	49.91	80.01	116.78	50.63	140.04	158.79	114.36	78.89	144.01	84.04	57.89	119.26
CNPPD1	941.27	2018.8	603.67	1963.57	1733.13	1437.15	967.76	1594.73	836.53	718.08	1757.34	1909.85	1111.82	1572.76	915.51	2417.67	1242.34	660.68	1191.69	1508.65	3081.75	2468.49	3103.19	2956.17	2434.5	2796.65	4450.27	4836.35	4481.23	4736.79	3716.2	2520.38	2591.27	2895.31	2739.08	2434.5	2573.36	2555.58	3039.3	3018.3	2895.31	3103.19	2739.08	2555.58	2835.7	3081.75	2956.17	2895.31	3103.19	3060.45	3018.3	3395.89	2367.9	2664.15	2520.38	2520.38	2758.13	3235.01	2895.31	2875.3	2555.58	3467.27	3419.52	3491.39	3443.31	3564.78	3212.66	3103.19	2976.74	3103.19	3303.0	764.36	0.0	2209.26	1628.26	2032.85	1397.83	1870.53	1781.89	1781.89	1769.57	2367.9	1508.65	2240.11	2133.97	1340.84	2351.53
COBL	19.68	8.71	3.14	0.35	0.38	1.51	2.2	4.62	0.64	1.6	45.53	1.22	29.48	18.84	0.61	206.94	5.54	161.02	12.74	612.11	591.22	406.31	460.44	379.04	587.13	450.94	1407.55	1388.16	1832.01	1350.18	265.87	275.28	384.34	656.11	450.94	493.56	438.59	346.29	536.45	813.63	575.03	417.77	660.68	423.61	723.08	813.63	791.35	718.08	620.67	518.15	563.18	703.28	293.07	473.41	318.57	429.54	587.13	341.51	575.03	417.77	493.56	571.05	728.11	620.67	674.59	660.68	723.08	587.13	447.82	507.46	624.99	409.15	156.59	318.57	316.37	215.77	198.47	277.2	157.68	297.17	346.29	144.01	633.73	173.85	211.31	260.38	223.41
COG8	343.89	140.04	159.9	199.85	231.32	147.06	206.94	232.94	142.01	137.14	208.38	169.07	108.14	236.21	165.57	249.73	239.52	172.65	189.02	351.14	447.82	312.0	371.22	339.14	412.0	258.57	486.75	454.09	536.45	540.19	423.61	518.15	351.14	379.04	356.05	293.07	305.55	316.37	334.46	336.79	353.59	400.71	363.56	291.04	426.57	387.02	368.65	318.57	353.59	332.14	389.72	397.93	305.55	299.25	305.55	327.56	435.55	358.54	435.55	447.82	406.31	420.68	490.14	426.57	426.57	409.15	476.71	397.93	417.77	555.41	470.14	209.84	145.02	327.56	260.38	262.2	211.31	392.44	275.28	271.48	371.22	309.83	281.09	414.87	260.38	237.86	325.29
CPEB2	118.43	61.68	27.64	43.63	88.88	37.05	79.45	43.02	28.86	42.41	84.04	45.53	151.22	117.6	38.12	73.54	42.41	4.46	59.13	167.9	307.69	127.89	279.14	116.78	175.07	307.69	256.78	454.09	327.56	293.07	633.73	890.44	358.54	287.01	305.55	336.79	285.03	376.41	297.17	358.54	293.07	234.57	287.01	253.23	384.34	285.03	356.05	309.83	379.04	301.33	239.52	341.51	312.0	237.86	279.14	366.09	318.57	264.03	226.54	251.48	190.34	218.79	265.87	287.01	189.02	251.48	366.09	295.11	395.18	215.77	231.32	111.21	0.0	100.13	113.56	65.26	140.04	143.01	147.06	148.09	145.02	125.24	53.57	140.04	128.79	143.01	60.82
CPEB4	98.73	55.49	99.43	63.45	122.64	46.18	149.12	145.02	205.5	115.97	80.01	87.65	258.57	176.29	92.7	149.12	57.89	48.18	52.08	389.72	1001.93	457.25	665.29	518.15	2224.63	684.02	633.73	2018.8	1051.79	1191.69	934.76	1167.14	854.13	1268.46	1088.92	1313.23	1295.13	1037.29	878.17	1832.01	1286.18	1066.48	1540.37	688.78	1857.6	1242.34	1268.46	1529.73	1304.15	1407.55	1216.75	1662.49	718.08	769.69	866.07	1250.98	1225.22	612.11	791.35	728.11	836.53	866.07	1167.14	1151.06	934.76	1233.75	1286.18	896.64	954.43	890.44	1008.9	412.0	0.0	299.25	476.71	305.55	583.07	438.59	400.71	595.34	511.0	718.08	211.31	503.95	684.02	563.18	480.04
