	TCGA.AZ.6605.11A.01R.1839.07	GTEX.14A5H.1626.SM.5SIAN	GTEX.13O1R.2426.SM.5KLZZ	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12WSJ.0726.SM.5GCN6	GTEX.13O61.1026.SM.5L3F6	GTEX.SNMC.0426.SM.4DM5Y	GTEX.131XF.0926.SM.5BC69	GTEX.U4B1.0926.SM.4DXUV	GTEX.WRHK.0426.SM.4MVOG	GTEX.RU1J.0426.SM.46MUK	GTEX.11EQ9.0826.SM.5986Y	GTEX.ZPCL.1226.SM.4WWFF	GTEX.WFON.0926.SM.4LVMK	GTEX.13111.0926.SM.5DUVQ	GTEX.PWCY.0826.SM.48TCR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31	GTEX.13111.1226.SM.5GCNC	GTEX.Y114.1226.SM.4TT88	GTEX.1211K.1426.SM.5FQTF	GTEX.13O61.1126.SM.5L3FI	GTEX.RU1J.0526.SM.46MUT	GTEX.YEC3.1426.101806.SM.5PNXX	GTEX.11VI4.0326.SM.5EQ6L	GTEX.1399U.1626.SM.5P9J3	GTEX.11EQ9.1226.SM.5987E	GTEX.ZV6S.0926.SM.57WGB	GTEX.UPIC.1826.SM.4IHKC	GTEX.PLZ6.0826.SM.3P61K	GTEX.R55D.1526.SM.48FEJ	GTEX.TKQ1.0526.SM.4DXTG	GTEX.XPVG.1526.SM.4B66C
CDKN1C	1721.16	181.28	57.89	1277.29	2645.74	4038.61	2739.08	6381.92	8305.36	5791.62	6561.36	3146.52	3467.27	3235.01	3018.3	4802.93	0.0	0.23	1175.27	1073.91	607.87	450.94	1936.53	902.89	2148.82	287.01	928.3	808.0	353.59	764.36	1697.45	518.15	830.75	813.63	450.94
CNTNAP3	332.14	26.86	44.57	450.94	591.22	656.11	567.1	796.86	896.64	995.0	599.49	698.41	463.65	703.28	775.05	748.61	0.0	0.36	40.07	248.0	52.82	37.05	224.97	22.92	206.94	80.57	133.36	77.79	27.05	26.47	220.32	100.13	432.53	65.26	54.72
CORIN	5.11	0.89	0.12	18.7	88.88	138.1	17.0	258.57	15.0	172.65	167.9	22.1	40.36	23.42	27.05	29.91	0.0	0.0	5.45	5.36	2.01	8.58	22.92	1.31	3.17	1.62	25.91	1.85	3.41	1.69	1.79	6.52	10.08	2.63	2.43
CRIM1	941.27	559.28	476.71	2758.13	1467.37	3665.02	1605.83	2417.67	2555.58	2485.67	1963.57	2367.9	2032.85	1350.18	2303.12	1769.57	518.15	629.35	1225.22	1277.29	743.43	902.89	1295.13	1359.57	1259.69	669.92	854.13	854.13	1242.34	860.08	769.69	1457.23	551.56	854.13	802.41
CTIF	2468.49	638.15	521.76	1066.48	1896.65	2090.03	2335.28	1977.24	1806.78	2119.22	2609.3	2240.11	2319.15	2573.36	2758.13	1909.85	0.0	0.6	1001.93	1111.82	490.14	684.02	842.36	591.22	1135.2	563.18	679.29	728.11	660.68	403.5	1111.82	775.05	1015.93	563.18	921.88
CYTH3	674.59	229.72	223.41	785.88	511.0	848.22	703.28	647.07	674.59	629.35	708.18	616.37	780.44	665.29	708.18	591.22	0.0	0.71	507.46	587.13	624.99	414.87	674.59	329.84	620.67	318.57	454.09	536.45	633.73	236.21	490.14	329.84	450.94	392.44	460.44
DDAH1	327.56	620.67	271.48	273.37	366.09	1628.26	1745.2	1250.98	866.07	1583.71	1733.13	1233.75	1639.59	1015.93	1709.26	595.34	265.87	260.38	915.51	791.35	493.56	486.75	460.44	587.13	503.95	147.06	199.85	435.55	366.09	612.11	299.25	242.88	221.86	603.67	281.09
DESI2	400.71	323.03	412.0	373.81	567.1	543.96	423.61	551.56	698.41	842.36	507.46	532.74	518.15	371.22	466.88	432.53	0.0	0.36	373.81	366.09	217.27	297.17	231.32	248.0	271.48	205.5	209.84	293.07	253.23	265.87	199.85	246.28	190.34	295.11	264.03
DMRTA1	16.51	2.16	1.53	26.67	88.88	33.54	49.91	76.17	55.89	101.54	39.79	45.85	76.71	40.93	59.97	27.44	0.0	0.09	10.88	17.51	2.46	5.59	6.57	9.93	7.75	4.82	11.64	4.5	2.94	3.29	4.43	5.63	4.28	2.76	5.96
DNAJC13	473.41	211.31	220.32	540.19	536.45	642.59	567.1	674.59	674.59	748.61	738.29	486.75	669.92	567.1	575.03	457.25	0.0	0.73	518.15	567.1	406.31	312.0	327.56	287.01	460.44	353.59	412.0	371.22	320.8	325.29	470.14	423.61	327.56	334.46	301.33
EXTL2	708.18	156.59	144.01	441.64	454.09	493.56	1037.29	447.82	559.28	507.46	441.64	454.09	532.74	536.45	1183.45	358.54	0.0	0.36	253.23	295.11	163.28	209.84	103.69	123.5	255.0	191.67	214.27	107.38	114.36	131.51	183.82	144.01	283.05	105.15	141.02
FCHSD2	470.14	232.94	303.44	466.88	497.0	896.64	738.29	836.53	624.99	595.34	791.35	532.74	848.22	579.04	780.44	555.41	0.0	0.61	500.46	435.55	339.14	249.73	423.61	376.41	493.56	303.44	277.2	287.01	295.11	473.41	346.29	249.73	387.02	332.14	312.0
GAB1	536.45	231.32	143.01	941.27	651.58	941.27	718.08	842.36	1199.98	1135.2	995.0	684.02	848.22	830.75	1023.0	866.07	0.0	0.3	595.34	842.36	417.77	441.64	381.68	642.59	575.03	318.57	486.75	476.71	187.71	323.03	599.49	967.76	395.18	334.46	271.48
GLI2	295.11	12.64	21.01	164.42	490.14	351.14	361.04	231.32	215.77	295.11	297.17	273.37	323.03	289.02	353.59	264.03	0.0	0.6	148.09	150.17	141.02	206.94	94.67	88.88	507.46	172.65	236.21	82.87	150.17	49.21	371.22	206.94	312.0	82.87	66.65
GPC4	1487.87	339.14	156.59	2520.38	2287.2	1950.0	1733.13	1870.53	1709.26	2047.0	2468.49	2061.24	2537.92	1794.29	1936.53	1651.0	0.0	0.57	1477.58	1378.57	1044.52	1427.22	1259.69	1467.37	2018.8	1015.93	1407.55	1397.83	995.0	1605.83	860.08	1225.22	909.17	1044.52	1008.9
GPR89B	164.42	90.14	92.05	170.25	228.13	218.79	248.0	228.13	255.0	195.72	271.48	224.97	262.2	231.32	236.21	273.37	0.0	0.43	197.09	164.42	148.09	149.12	147.06	162.14	182.55	154.42	205.5	177.53	127.0	149.12	101.54	124.37	153.34	206.94	149.12
HIGD1B	129.69	17.0	21.32	275.28	242.88	231.32	320.8	181.28	189.02	267.73	273.37	194.36	363.56	239.52	265.87	218.79	0.0	0.0	103.69	132.44	49.91	46.5	46.84	96.68	94.67	106.63	111.99	65.72	39.22	65.26	73.54	31.67	105.15	69.03	62.56
INMT	262.2	348.71	214.27	5255.91	2502.97	1044.52	1991.0	1233.75	896.64	854.13	1651.0	1572.76	1639.59	1447.15	1331.57	915.51	218.79	159.9	1030.12	1111.82	633.73	444.72	1119.56	890.44	1508.65	1313.23	1498.22	417.77	429.54	406.31	220.32	808.0	780.44	409.15	395.18
IQSEC1	693.58	234.57	269.6	928.3	753.83	1023.0	1023.0	878.17	921.88	791.35	1059.11	819.3	934.76	848.22	995.0	718.08	157.68	118.43	738.29	961.07	915.51	532.74	808.0	521.76	1304.15	607.87	684.02	647.07	503.95	450.94	842.36	665.29	743.43	743.43	591.22
ITGB1	26614.89	7382.04	5831.91	53601.03	18950.18	18052.61	13586.57	23656.34	16843.62	24321.43	20737.16	13215.02	23986.58	14361.31	16269.83	15934.98	0.0	0.91	16269.83	14765.09	8078.22	13968.57	7485.11	6792.79	12853.63	8658.09	7911.95	6121.9	8658.09	9876.98	7749.1	8305.36	12853.63	9540.5	7749.1
LACTB	145.02	229.72	244.57	234.57	540.19	497.0	384.34	351.14	511.0	454.09	463.65	529.06	518.15	346.29	503.95	341.51	0.0	0.49	239.52	154.42	142.01	94.01	256.78	220.32	202.66	228.13	163.28	161.02	108.14	190.34	236.21	107.38	183.82	142.01	186.4
LAMA4	4512.4	1340.84	1059.11	25354.3	4268.94	3515.68	3614.55	4972.34	3372.43	5751.61	4095.0	3768.09	4152.18	3820.7	6337.83	4095.0	0.0	0.46	5183.54	5403.7	3081.75	2255.7	2451.44	2148.82	2573.36	2255.7	1685.71	1437.15	2163.77	2209.26	3491.39	2133.97	2090.03	2224.63	2148.82
LCLAT1	91.41	73.03	94.01	237.86	269.6	318.57	285.03	346.29	264.03	327.56	299.25	273.37	305.55	194.36	228.13	287.01	186.4	842.36	166.73	197.09	105.89	96.68	78.34	111.21	258.57	74.06	167.9	65.26	75.11	139.07	131.51	157.68	183.82	79.45	68.55
LIMCH1	432.53	144.01	95.34	775.05	1561.89	1216.75	954.43	1870.53	2255.7	1628.26	1088.92	1111.82	1819.35	728.11	679.29	1467.37	0.0	0.57	218.79	244.57	190.34	191.67	183.82	54.72	103.69	54.72	109.66	21.01	91.41	71.5	199.85	93.35	334.46	78.34	51.71
MAP3K3	1331.57	368.65	435.55	1304.15	967.76	1369.04	988.12	1037.29	1008.9	981.29	974.5	988.12	1322.37	1044.52	884.29	1073.91	218.79	334.46	587.13	698.41	571.05	532.74	1051.79	769.69	902.89	607.87	848.22	1044.52	698.41	780.44	738.29	723.08	708.18	1008.9	656.11
MGAT5	265.87	114.36	133.36	209.84	384.34	460.44	441.64	312.0	591.22	389.72	775.05	371.22	543.96	327.56	368.65	341.51	0.0	0.58	281.09	248.0	212.78	169.07	181.28	145.02	241.19	201.25	171.45	181.28	151.22	186.4	161.02	170.25	170.25	253.23	212.78
MPDZ	1340.84	295.11	223.41	1950.0	1001.93	1225.22	1199.98	1286.18	1191.69	1127.35	1199.98	995.0	1175.27	1066.48	1216.75	1066.48	0.0	0.59	890.44	1175.27	603.67	490.14	521.76	595.34	743.43	612.11	642.59	521.76	591.22	450.94	466.88	660.68	612.11	507.46	540.19
MYH11	925580.18	84694.64	46986.85	839981.65	273275.14	209994.66	231394.29	277089.94	171754.88	280957.98	155870.75	280957.98	236256.4	207103.59	237899.7	180294.02	0.0	0.79	411347.03	417089.23	353168.2	721179.07	513497.31	456418.21	606436.73	857631.47	462789.59	370726.6	520665.48	682276.92	577714.63	527933.71	428815.23	565825.41	696613.03
MYO1C	4704.07	1870.53	1208.34	7485.11	5479.15	5751.61	6745.86	6250.56	5791.62	6207.38	7911.95	5076.84	7857.29	7032.37	7911.95	6561.36	0.0	0.8	3982.99	3742.05	2645.74	3103.19	4123.49	3124.78	8421.31	4239.45	3847.29	2777.33	3820.7	2555.58	6381.92	4181.07	4937.99	2224.63	3928.15
NEO1	819.3	423.61	291.04	753.83	1081.39	1417.35	1268.46	1001.93	796.86	1208.34	1295.13	1259.69	1519.15	1467.37	1023.0	1001.93	0.0	0.6	511.0	591.22	447.82	884.29	651.58	223.41	1628.26	507.46	244.57	473.41	403.5	356.05	612.11	392.44	555.41	785.88	414.87
NRTN	420.68	105.89	60.82	218.79	334.46	312.0	486.75	325.29	409.15	412.0	629.35	361.04	559.28	409.15	414.87	414.87	0.0	0.06	264.03	361.04	105.15	172.65	368.65	346.29	406.31	211.31	214.27	361.04	127.0	318.57	193.01	143.01	363.56	371.22	325.29
PARD3B	490.14	193.01	80.57	217.27	285.03	397.93	327.56	406.31	358.54	334.46	406.31	269.6	450.94	358.54	281.09	271.48	0.0	0.31	275.28	305.55	217.27	267.73	209.84	172.65	371.22	199.85	197.09	185.11	164.42	146.03	307.69	163.28	332.14	148.09	194.36
PEAK1	241.19	143.01	117.6	728.11	486.75	698.41	665.29	633.73	1023.0	476.71	848.22	748.61	860.08	743.43	460.44	571.05	74.58	36.01	387.02	470.14	215.77	381.68	301.33	218.79	825.0	228.13	269.6	220.32	299.25	165.57	249.73	256.78	249.73	307.69	180.02
PKP4	412.0	507.46	563.18	1551.09	1883.54	2956.17	2303.12	2163.77	2240.11	1896.65	2434.5	2178.83	2835.7	2287.2	1950.0	1685.71	325.29	426.57	483.38	624.99	231.32	271.48	409.15	366.09	866.07	403.5	438.59	420.68	571.05	320.8	791.35	559.28	567.1	279.14	307.69
PLEKHA8	92.05	67.12	64.34	102.97	120.1	99.43	118.43	129.69	144.01	85.82	124.37	108.9	115.97	95.34	103.69	98.04	0.0	0.27	84.04	87.65	56.68	59.97	78.34	68.55	96.01	69.03	64.8	59.97	59.55	70.01	87.65	74.06	73.03	68.55	64.34
PLGLB2	13.22	3.14	5.02	32.36	15.0	12.64	14.35	14.35	27.25	23.59	32.59	5.77	34.75	11.64	21.63	7.94	0.0	0.22	11.13	13.12	5.36	1.01	0.54	8.19	13.42	5.45	8.58	6.78	7.34	4.46	5.41	7.88	7.51	3.79	5.28
PTPN14	743.43	52.82	43.02	400.71	928.3	967.76	884.29	808.0	954.43	1135.2	674.59	808.0	995.0	595.34	733.19	599.49	133.36	116.78	463.65	490.14	239.52	336.79	301.33	295.11	490.14	251.48	329.84	295.11	339.14	262.2	371.22	450.94	260.38	332.14	226.54
PTPN21	373.81	170.25	108.14	470.14	476.71	518.15	420.68	579.04	693.58	543.96	733.19	540.19	669.92	497.0	460.44	473.41	0.0	0.24	343.89	420.68	229.72	195.72	236.21	214.27	769.69	228.13	309.83	208.38	318.57	164.42	198.47	269.6	221.86	232.94	193.01
PTPRQ	0.0	0.17	0.0	18.97	51.35	291.04	167.9	217.27	87.03	77.79	264.03	52.08	217.27	211.31	190.34	147.06	0.0	0.04	12.74	1.95	5.96	1.25	8.13	10.0	10.08	1.95	4.9	1.87	1.97	3.5	4.62	3.23	10.24	0.85	1.2
RAF1	1639.59	1605.83	1662.49	1628.26	1769.57	2018.8	1819.35	1936.53	2061.24	2047.0	2384.37	2287.2	2271.4	1674.06	1857.6	1832.01	1183.45	151.22	1697.45	1594.73	1407.55	1277.29	1073.91	1066.48	1617.0	1322.37	1250.98	1199.98	1639.59	1044.52	1191.69	1331.57	1417.35	1417.35	1051.79
ROCK1	547.75	363.56	273.37	1519.15	848.22	1104.13	785.88	1233.75	1183.45	1250.98	1073.91	1066.48	1175.27	1001.93	723.08	1159.07	0.0	0.48	884.29	854.13	470.14	587.13	567.1	490.14	633.73	540.19	660.68	470.14	567.1	463.65	412.0	587.13	473.41	497.0	463.65
RP11-458D21.5	10.47	8.78	0.0	26.86	68.07	63.0	61.68	54.72	71.5	21.32	82.87	46.84	58.71	52.08	39.5	71.5	0.0	0.31	25.91	47.5	21.16	8.58	35.25	8.0	92.05	63.89	47.84	15.56	36.01	36.27	39.5	40.07	47.17	33.3	12.36
SMYD2	543.96	267.73	194.36	228.13	363.56	303.44	329.84	579.04	400.71	532.74	629.35	273.37	629.35	299.25	406.31	283.05	0.0	0.25	237.86	204.07	198.47	194.36	182.55	157.68	309.83	172.65	244.57	186.4	156.59	182.55	205.5	147.06	287.01	155.5	161.02
STARD4	58.3	143.01	75.64	87.03	273.37	189.02	264.03	156.59	204.07	249.73	217.27	153.34	255.0	145.02	144.01	195.72	0.0	0.35	129.69	55.89	88.26	74.06	92.7	40.64	115.97	51.71	183.82	69.52	93.35	59.13	23.25	59.97	172.65	58.3	81.71
STIM1	1304.15	748.61	599.49	1909.85	1991.0	2777.33	1857.6	1950.0	1923.14	1794.29	1685.71	1950.0	2664.15	2335.28	1508.65	2178.83	1322.37	934.76	1023.0	1143.1	1427.22	896.64	1832.01	1909.85	1909.85	1457.23	1268.46	1304.15	1127.35	934.76	1030.12	1044.52	1551.09	1233.75	1295.13
STX2	947.83	171.45	167.9	2240.11	660.68	967.76	738.29	866.07	974.5	620.67	981.29	642.59	1023.0	802.41	718.08	693.58	0.0	0.62	769.69	607.87	242.88	343.89	327.56	269.6	532.74	381.68	339.14	384.34	323.03	356.05	329.84	348.71	356.05	343.89	339.14
STX7	780.44	269.6	323.03	974.5	974.5	1369.04	941.27	1059.11	1519.15	872.1	1286.18	1030.12	1143.1	854.13	896.64	1081.39	0.0	0.3	624.99	848.22	387.02	854.13	1073.91	769.69	1369.04	684.02	819.3	718.08	476.71	947.83	1037.29	921.88	583.07	651.58	575.03
SYNJ1	166.73	88.88	72.01	167.9	214.27	224.97	223.41	156.59	264.03	177.53	204.07	148.09	190.34	147.06	197.09	176.29	0.0	0.59	197.09	193.01	147.06	173.85	112.77	89.51	181.28	133.36	135.24	120.94	124.37	82.29	104.42	102.97	169.07	182.55	161.02
TBC1D9	92.7	53.95	60.82	123.5	346.29	435.55	358.54	281.09	180.02	316.37	323.03	171.45	314.17	191.67	223.41	181.28	0.0	0.48	163.28	102.97	94.01	81.71	93.35	51.35	63.89	41.22	105.15	45.21	42.41	60.39	61.68	60.39	80.57	36.79	39.22
TMEM43	4010.71	915.51	928.3	2935.74	2417.67	2351.53	2591.27	3639.7	2400.97	3303.0	2520.38	2468.49	3018.3	1896.65	2417.67	2335.28	1909.85	595.34	2209.26	2004.85	1697.45	2178.83	2224.63	1794.29	1870.53	1467.37	1674.06	1605.83	1963.57	1745.2	1857.6	1769.57	1844.76	2104.58	1819.35
TMEM47	1529.73	279.14	190.34	5441.3	2090.03	2255.7	1685.71	2367.9	2224.63	2997.45	2855.44	1721.16	2609.3	1498.22	1950.0	1697.45	0.0	0.35	1295.13	1313.23	884.29	1313.23	1135.2	988.12	1340.84	679.29	1059.11	878.17	476.71	1096.5	836.53	872.1	819.3	679.29	624.99
TRAK1	521.76	309.83	281.09	660.68	896.64	1119.56	733.19	941.27	915.51	1199.98	1268.46	769.69	988.12	684.02	775.05	698.41	218.79	94.67	842.36	1191.69	392.44	595.34	356.05	429.54	703.28	555.41	444.72	392.44	470.14	353.59	612.11	395.18	612.11	409.15	457.25
TRNP1	559.28	105.89	52.08	693.58	1286.18	738.29	1322.37	1191.69	1066.48	1242.34	1175.27	713.11	1508.65	854.13	718.08	941.27	0.0	0.53	373.81	368.65	177.53	305.55	420.68	307.69	836.53	466.88	289.02	273.37	381.68	323.03	429.54	353.59	483.38	281.09	234.57
TSEN15	961.07	299.25	500.46	647.07	872.1	1001.93	1135.2	796.86	718.08	1340.84	1023.0	753.83	1081.39	728.11	1199.98	796.86	0.0	0.42	708.18	698.41	470.14	651.58	457.25	708.18	866.07	836.53	603.67	441.64	297.17	532.74	629.35	583.07	616.37	543.96	708.18
UBAP2	332.14	223.41	283.05	400.71	981.29	1111.82	890.44	872.1	1096.5	1417.35	1216.75	1015.93	1208.34	941.27	1001.93	791.35	0.0	0.84	457.25	414.87	246.28	231.32	271.48	256.78	551.56	279.14	343.89	231.32	312.0	172.65	209.84	503.95	229.72	241.19	258.57
UCP3	32.36	19.53	20.11	32.59	63.45	92.7	86.43	56.28	37.32	60.39	111.21	57.08	94.67	64.8	100.13	51.35	0.0	0.37	24.28	42.11	23.42	22.26	21.16	11.82	49.21	20.86	22.26	28.65	43.02	24.11	31.9	43.63	42.41	25.72	55.1
USP25	518.15	269.6	305.55	567.1	547.75	802.41	616.37	728.11	1119.56	796.86	775.05	591.22	915.51	669.92	493.56	591.22	0.0	0.6	563.18	571.05	351.14	518.15	368.65	532.74	532.74	371.22	476.71	507.46	325.29	497.0	287.01	373.81	376.41	346.29	379.04
USP28	361.04	101.54	208.38	551.56	457.25	583.07	575.03	571.05	466.88	567.1	466.88	511.0	591.22	476.71	457.25	486.75	231.32	96.68	426.57	476.71	241.19	120.94	226.54	191.67	521.76	376.41	348.71	253.23	105.15	273.37	620.67	293.07	412.0	423.61	228.13
USP48	638.15	356.05	318.57	679.29	836.53	1073.91	842.36	988.12	921.88	679.29	842.36	791.35	836.53	896.64	854.13	928.3	0.0	0.79	603.67	693.58	412.0	297.17	358.54	420.68	780.44	432.53	563.18	466.88	346.29	312.0	555.41	536.45	493.56	426.57	381.68
WDR44	265.87	107.38	102.25	353.59	346.29	309.83	314.17	403.5	371.22	414.87	381.68	307.69	334.46	305.55	318.57	358.54	0.0	0.48	265.87	348.71	204.07	229.72	283.05	211.31	368.65	295.11	273.37	197.09	147.06	223.41	177.53	275.28	258.57	236.21	189.02
WNT5A	67.59	55.89	19.25	118.43	291.04	178.77	269.6	104.42	170.25	226.54	343.89	249.73	191.67	114.36	260.38	80.01	16.51	63.45	57.08	63.45	45.53	40.07	76.71	50.27	121.79	48.52	202.66	53.95	17.77	31.22	65.72	54.72	115.16	57.89	22.26
WWC2	356.05	120.1	95.34	281.09	559.28	543.96	651.58	476.71	679.29	361.04	521.76	432.53	567.1	353.59	466.88	547.75	77.25	64.34	246.28	327.56	194.36	214.27	242.88	167.9	656.11	373.81	334.46	167.9	229.72	115.97	191.67	363.56	220.32	234.57	246.28
ZFP28	150.17	69.52	59.55	181.28	134.3	134.3	172.65	253.23	343.89	164.42	211.31	151.22	170.25	150.17	164.42	177.53	0.0	0.48	150.17	150.17	146.03	115.16	132.44	87.03	162.14	84.04	211.31	144.01	67.59	57.89	157.68	126.12	127.89	143.01	123.5
ZNF106	579.04	206.94	214.27	2520.38	1977.24	2739.08	1733.13	2976.74	2287.2	2591.27	2627.46	2777.33	4836.35	2417.67	1073.91	2417.67	0.0	0.33	567.1	775.05	387.02	665.29	612.11	583.07	633.73	414.87	567.1	540.19	967.76	438.59	368.65	698.41	563.18	567.1	420.68
ZNF862	241.19	94.01	105.89	232.94	303.44	400.71	351.14	303.44	303.44	211.31	435.55	353.59	249.73	412.0	309.83	339.14	0.0	0.61	187.71	332.14	104.42	86.43	142.01	76.17	209.84	158.79	136.19	154.42	108.14	83.45	226.54	176.29	146.03	116.78	106.63
