	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.38.4625.01A.01R.1206.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.ET.A3BX.01A.11R.A19O.07	TCGA.EL.A3T6.01A.11R.A220.07	TCGA.DE.A0Y3.01B.11R.A10U.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.4C.A93U.01A.11R.A39I.07	TCGA.EL.A3CT.01A.12R.A206.07	TCGA.EL.A3T9.01A.21R.A22L.07	GTEX.12WSB.0726.SM.5N9GD
GALNT18	143.01	295.11	0.0	1059.11	460.44	1295.13	928.3	559.28	1051.79	287.01	660.68	460.44	208.38	872.1
GAPVD1	80.57	46.84	185.11	612.11	120.1	432.53	277.2	346.29	373.81	80.57	202.66	409.15	151.22	334.46
GIGYF2	232.94	154.42	205.5	728.11	297.17	518.15	454.09	583.07	551.56	279.14	435.55	511.0	409.15	447.82
GLCCI1	20.71	31.22	0.0	1745.2	82.87	1259.69	743.43	775.05	708.18	136.19	389.72	825.0	194.36	551.56
GNA11	403.5	429.54	866.07	1088.92	780.44	1073.91	825.0	1119.56	1001.93	669.92	723.08	775.05	595.34	872.1
GPRC5A	1.62	6.78	1721.16	6887.62	2739.08	5633.22	4038.61	3928.15	6745.86	1199.98	1857.6	2591.27	1508.65	2319.15
GRAMD3	113.56	206.94	493.56	2271.4	1023.0	2720.15	2384.37	2178.83	2520.38	669.92	1447.15	1259.69	624.99	1073.91
GREB1L	37.32	26.86	0.0	150.17	29.7	104.42	45.21	72.52	100.83	32.36	46.84	74.06	41.52	35.76
HECTD1	928.3	961.07	0.0	2090.03	1151.06	1709.26	1304.15	1936.53	1605.83	967.76	1295.13	1583.71	1159.07	1427.22
HEG1	85.22	31.22	0.0	5147.73	551.56	1417.35	830.75	1519.15	872.1	305.55	753.83	915.51	447.82	656.11
HRK	0.0	0.0	0.0	271.48	92.7	176.29	105.89	205.5	123.5	15.91	4.35	147.06	0.0	40.07
IFNLR1	71.0	122.64	0.0	232.94	115.16	185.11	130.6	138.1	223.41	112.77	105.89	151.22	78.34	20.41
KCNQ5	0.0	0.44	0.0	220.32	18.84	94.67	27.25	125.24	93.35	6.73	71.5	75.64	31.22	17.9
KIF21A	180.02	151.22	0.0	336.79	102.97	299.25	208.38	260.38	287.01	133.36	186.4	281.09	140.04	137.14
KPNA6	201.25	161.02	450.94	642.59	379.04	567.1	423.61	507.46	555.41	327.56	466.88	473.41	368.65	341.51
LDLRAP1	281.09	387.02	0.0	780.44	511.0	842.36	583.07	642.59	738.29	483.38	470.14	587.13	251.48	563.18
LNX1	30.56	40.93	0.0	470.14	341.51	450.94	318.57	490.14	341.51	183.82	206.94	387.02	134.3	172.65
LRBA	140.04	221.86	341.51	1119.56	642.59	1008.9	909.17	819.3	1044.52	463.65	591.22	1119.56	575.03	429.54
LRRC1	27.05	4.13	0.0	463.65	287.01	647.07	536.45	571.05	624.99	237.86	297.17	392.44	265.87	387.02
MAP2	368.65	14.03	0.0	1498.22	587.13	1561.89	848.22	1883.54	1233.75	769.69	819.3	902.89	339.14	409.15
MBP	206.94	158.79	0.0	848.22	532.74	830.75	571.05	902.89	603.67	303.44	384.34	493.56	384.34	591.22
MEGF9	167.9	65.72	0.0	2855.44	796.86	1259.69	1250.98	2451.44	1259.69	220.32	514.56	1350.18	108.9	291.04
MGAT4C	0.0	2.97	0.0	1268.46	185.11	718.08	616.37	698.41	490.14	137.14	532.74	813.63	91.41	103.69
MMP16	0.0	0.39	0.0	336.79	56.28	193.01	166.73	137.14	161.02	28.86	47.84	241.19	69.03	25.54
MYO5B	693.58	540.19	0.0	2018.8	909.17	1757.34	1268.46	1225.22	1870.53	934.76	988.12	1674.06	583.07	473.41
NPEPPS	297.17	202.66	0.0	1936.53	941.27	1844.76	1457.23	1561.89	1896.65	1023.0	1104.13	1561.89	1208.34	1388.16
NR1D2	137.14	123.5	237.86	796.86	182.55	928.3	403.5	967.76	476.71	236.21	417.77	555.41	348.71	358.54
OGDH	988.12	1259.69	0.0	1769.57	954.43	1457.23	1059.11	1594.73	1477.58	866.07	1096.5	1447.15	1081.39	1096.5
PCDHAC1	0.0	3.47	0.0	99.43	19.68	25.35	28.24	36.27	41.52	10.39	17.51	49.21	29.27	5.45
PGAP1	21.47	12.27	0.0	155.5	17.25	115.16	66.18	74.06	78.34	28.86	56.28	61.25	40.07	62.12
PHACTR2	79.45	9.48	121.79	591.22	96.01	361.04	190.34	403.5	363.56	102.25	190.34	341.51	148.09	435.55
PTPLAD1	753.83	708.18	1081.39	2047.0	1030.12	1605.83	1594.73	1487.87	1529.73	967.76	1304.15	1883.54	854.13	728.11
PTPN23	205.5	189.02	460.44	791.35	669.92	775.05	583.07	915.51	830.75	616.37	819.3	629.35	616.37	490.14
PVRL3	84.63	92.7	0.0	518.15	81.14	237.86	136.19	279.14	190.34	63.89	140.04	262.2	59.97	89.51
PXK	145.02	74.58	0.0	1008.9	500.46	1369.04	1051.79	1015.93	941.27	457.25	1023.0	1037.29	563.18	1015.93
PXN	334.46	536.45	0.0	2915.45	2434.5	2915.45	1991.0	3515.68	2997.45	1721.16	2319.15	2193.99	1225.22	2271.4
RAPGEF6	27.64	33.06	38.67	246.28	24.63	100.83	72.01	161.02	77.79	34.26	56.28	59.97	81.71	88.26
RBMS2	36.27	29.7	0.0	954.43	381.68	791.35	571.05	872.1	656.11	255.0	423.61	808.0	297.17	532.74
RC3H2	87.03	84.04	0.0	356.05	141.02	277.2	220.32	215.77	260.38	108.9	165.57	234.57	163.28	323.03
RCAN3	41.52	55.49	0.0	279.14	221.86	285.03	212.78	295.11	271.48	154.42	110.43	348.71	129.69	164.42
RETSAT	1242.34	1721.16	0.0	1991.0	854.13	1721.16	1540.37	1561.89	1991.0	884.29	785.88	1437.15	616.37	1159.07
RNF144B	50.98	96.68	0.0	848.22	363.56	642.59	599.49	733.19	723.08	358.54	633.73	775.05	314.17	466.88
SCAI	9.27	17.0	21.32	101.54	32.13	94.01	61.25	62.12	71.0	20.26	43.94	64.34	28.04	72.01
SHISA3	21.32	0.57	0.0	264.03	10.39	88.26	19.53	187.71	45.53	6.41	11.3	59.13	8.0	34.51
SLC15A4	521.76	435.55	0.0	928.3	457.25	563.18	669.92	708.18	587.13	497.0	698.41	620.67	500.46	629.35
SLC39A10	43.32	52.08	186.4	2240.11	387.02	2104.58	1639.59	1769.57	1628.26	743.43	1044.52	995.0	1096.5	607.87
SMAD3	144.01	154.42	325.29	1015.93	551.56	1388.16	896.64	1111.82	1030.12	493.56	587.13	454.09	493.56	884.29
SRP68	1572.76	974.5	1427.22	2271.4	1883.54	2502.97	2163.77	2573.36	2451.44	1733.13	1781.89	1662.49	1199.98	1111.82
SSFA2	500.46	414.87	500.46	1819.35	651.58	1477.58	1081.39	1583.71	1295.13	525.39	813.63	1167.14	669.92	1073.91
SUSD1	107.38	48.52	0.0	441.64	224.97	381.68	395.18	275.28	397.93	135.24	128.79	444.72	218.79	176.29
SYNE2	332.14	457.25	248.0	1883.54	1233.75	2573.36	1806.78	2384.37	1870.53	1183.45	1662.49	1304.15	819.3	1950.0
SYPL2	15.45	64.34	0.0	214.27	63.89	164.42	119.26	135.24	84.63	56.28	44.25	67.59	40.36	116.78
THSD4	18.97	40.64	0.0	514.56	143.01	420.68	221.86	351.14	447.82	120.94	176.29	258.57	82.87	128.79
TMCC3	34.51	12.55	136.19	785.88	563.18	860.08	463.65	836.53	921.88	312.0	343.89	698.41	239.52	120.94
TOB2	379.04	356.05	551.56	1498.22	791.35	1066.48	896.64	890.44	1001.93	733.19	718.08	1216.75	674.59	638.15
TVP23B	269.6	346.29	0.0	1191.69	698.41	1175.27	1088.92	1159.07	872.1	660.68	808.0	1151.06	718.08	813.63
UBA1	1936.53	1794.29	3060.45	5791.62	4152.18	5292.48	4972.34	5672.41	6294.04	4210.15	5791.62	4210.15	3018.3	3614.55
UBAP2	115.16	67.59	0.0	620.67	239.52	497.0	384.34	441.64	500.46	172.65	287.01	327.56	287.01	412.0
UBQLN2	178.77	256.78	0.0	1259.69	612.11	1388.16	1088.92	1081.39	1216.75	599.49	902.89	890.44	679.29	503.95
ULBP3	0.6	0.0	0.0	267.73	34.02	206.94	56.28	71.0	161.02	15.11	21.32	63.45	43.32	41.52
WDTC1	271.48	212.78	0.0	1268.46	1015.93	1167.14	836.53	1313.23	1135.2	642.59	813.63	961.07	591.22	947.83
XIAP	217.27	277.2	325.29	551.56	441.64	591.22	403.5	511.0	521.76	351.14	400.71	555.41	341.51	361.04
ZFYVE9	42.11	99.43	0.0	312.0	110.43	223.41	166.73	275.28	209.84	101.54	171.45	258.57	106.63	262.2
ZMIZ1	105.89	86.43	224.97	1407.55	624.99	1477.58	902.89	1529.73	1044.52	389.72	647.07	780.44	518.15	934.76
ZNF367	37.05	16.88	0.0	65.26	13.52	55.49	39.5	58.3	57.49	9.63	14.14	15.8	15.8	24.99
ZNF431	13.32	12.45	0.0	902.89	297.17	743.43	733.19	808.0	723.08	371.22	432.53	438.59	212.78	454.09
ZNF618	28.86	52.82	0.0	161.02	53.95	108.14	100.83	103.69	92.7	32.59	76.17	78.89	56.28	162.14
ZNF727	0.87	0.0	0.0	14.14	1.38	16.15	10.24	8.45	10.08	0.0	1.83	4.03	1.39	11.73
