	TCGA.EJ.7331.01A.11R.2118.07	TCGA.KC.A4BN.01A.61R.A250.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.EJ.A65E.01A.11R.A29R.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.HC.7749.01A.11R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.YL.A8SR.01B.11R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.YL.A8SA.01A.21R.A37L.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5510.01A.01R.1580.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.A7NJ.01A.22R.A352.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.2A.A8W1.01A.11R.A37L.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.5532.01A.01R.1580.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.J4.A83M.01A.11R.A352.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.2A.AAYU.01A.11R.A41O.07	TCGA.J4.AAU2.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.EJ.7791.01A.11R.2118.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.5530.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.5519.01A.01R.1580.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.HC.7078.01A.11R.2118.07	TCGA.ZG.A9ND.01A.11R.A41O.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.XK.AAJA.01A.11R.A41O.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.HC.7819.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7793.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07
ASH1L	454.09	251.48	106.63	273.37	540.19	120.94	237.86	249.73	244.57	463.65	201.25	277.2	547.75	212.78	318.57	409.15	297.17	231.32	251.48	189.02	307.69	260.38	297.17	139.07	209.84	358.54	289.02	241.19	201.25	381.68	249.73	336.79	255.0	190.34	309.83	320.8	120.1	110.43	299.25	140.04	521.76	132.44	301.33	244.57	236.21	177.53	224.97	215.77	361.04	363.56	198.47	295.11	457.25	277.2	234.57	466.88	392.44	287.01	343.89	507.46	136.19	291.04	454.09	178.77	244.57	532.74	241.19	202.66	301.33	159.9	223.41	142.01	253.23	191.67	204.07	301.33	198.47	447.82	358.54	361.04	497.0	175.07	358.54	417.77
ATE1	521.76	271.48	151.22	351.14	529.06	249.73	248.0	248.0	218.79	665.29	353.59	312.0	371.22	199.85	406.31	403.5	363.56	211.31	253.23	159.9	291.04	303.44	271.48	191.67	297.17	363.56	267.73	267.73	220.32	341.51	323.03	305.55	332.14	299.25	476.71	511.0	88.26	167.9	406.31	197.09	559.28	205.5	373.81	303.44	265.87	231.32	214.27	336.79	447.82	392.44	217.27	221.86	429.54	318.57	249.73	473.41	409.15	226.54	323.03	486.75	142.01	307.69	493.56	248.0	283.05	447.82	277.2	190.34	176.29	202.66	293.07	185.11	224.97	195.72	239.52	389.72	228.13	473.41	336.79	392.44	551.56	265.87	438.59	525.39
ATF1	543.96	403.5	197.09	638.15	521.76	457.25	397.93	432.53	339.14	802.41	389.72	420.68	679.29	293.07	420.68	507.46	490.14	373.81	457.25	256.78	463.65	429.54	470.14	273.37	373.81	612.11	420.68	432.53	301.33	420.68	587.13	660.68	287.01	525.39	555.41	559.28	193.01	267.73	400.71	281.09	708.18	406.31	543.96	400.71	490.14	373.81	420.68	599.49	518.15	536.45	414.87	329.84	791.35	575.03	371.22	579.04	660.68	470.14	457.25	633.73	283.05	525.39	679.29	409.15	376.41	514.56	387.02	397.93	470.14	325.29	423.61	346.29	341.51	309.83	293.07	371.22	334.46	603.67	507.46	551.56	603.67	397.93	738.29	616.37
ATF7IP	381.68	128.79	58.71	169.07	409.15	117.6	139.07	147.06	156.59	336.79	68.07	194.36	438.59	108.14	187.71	267.73	215.77	133.36	111.99	135.24	283.05	189.02	126.12	116.78	180.02	218.79	158.79	183.82	82.29	180.02	159.9	248.0	140.04	214.27	262.2	295.11	69.03	85.22	204.07	100.13	318.57	60.82	136.19	171.45	145.02	94.01	169.07	121.79	297.17	242.88	141.02	141.02	395.18	130.6	178.77	305.55	356.05	148.09	193.01	371.22	88.88	197.09	368.65	74.58	149.12	201.25	149.12	121.79	206.94	129.69	193.01	127.0	110.43	90.14	115.16	249.73	113.56	327.56	197.09	273.37	381.68	133.36	242.88	343.89
ATL3	638.15	348.71	281.09	384.34	599.49	332.14	406.31	348.71	348.71	866.07	363.56	320.8	616.37	400.71	293.07	423.61	518.15	438.59	371.22	237.86	327.56	384.34	389.72	218.79	256.78	353.59	358.54	189.02	353.59	579.04	323.03	483.38	429.54	366.09	529.06	624.99	229.72	226.54	269.6	237.86	660.68	165.57	441.64	55.49	381.68	325.29	336.79	358.54	406.31	356.05	297.17	246.28	480.04	381.68	363.56	591.22	547.75	373.81	356.05	406.31	287.01	246.28	612.11	334.46	373.81	567.1	339.14	392.44	346.29	361.04	343.89	299.25	224.97	291.04	251.48	336.79	334.46	490.14	318.57	381.68	656.11	351.14	371.22	547.75
ATRN	460.44	283.05	299.25	366.09	426.57	303.44	248.0	339.14	287.01	620.67	226.54	265.87	575.03	208.38	420.68	406.31	353.59	265.87	265.87	236.21	351.14	299.25	409.15	171.45	295.11	327.56	201.25	289.02	232.94	423.61	336.79	400.71	361.04	361.04	358.54	447.82	146.03	205.5	303.44	191.67	555.41	197.09	423.61	279.14	358.54	236.21	191.67	246.28	273.37	435.55	312.0	271.48	435.55	392.44	285.03	438.59	417.77	264.03	353.59	525.39	241.19	381.68	571.05	277.2	275.28	457.25	293.07	193.01	289.02	293.07	457.25	209.84	241.19	258.57	248.0	295.11	264.03	432.53	366.09	353.59	426.57	253.23	429.54	426.57
ATRX	511.0	264.03	109.66	267.73	642.59	229.72	224.97	253.23	256.78	579.04	281.09	277.2	559.28	176.29	325.29	435.55	299.25	258.57	255.0	231.32	353.59	246.28	260.38	206.94	223.41	486.75	281.09	223.41	253.23	339.14	334.46	312.0	246.28	283.05	387.02	444.72	98.04	115.97	271.48	139.07	607.87	134.3	314.17	299.25	258.57	193.01	267.73	351.14	356.05	366.09	208.38	211.31	511.0	275.28	220.32	500.46	409.15	271.48	332.14	507.46	122.64	275.28	521.76	182.55	267.73	395.18	273.37	226.54	297.17	175.07	260.38	142.01	191.67	197.09	211.31	323.03	191.67	463.65	316.37	363.56	547.75	197.09	379.04	420.68
AZI2	1437.15	961.07	529.06	1268.46	1233.75	866.07	995.0	866.07	961.07	1709.26	1030.12	1051.79	1322.37	638.15	775.05	1286.18	1225.22	947.83	1059.11	718.08	947.83	934.76	1304.15	802.41	902.89	1183.45	1183.45	866.07	928.3	1151.06	836.53	1127.35	902.89	1225.22	1073.91	1250.98	555.41	536.45	1051.79	647.07	1437.15	753.83	1331.57	860.08	1081.39	988.12	1073.91	934.76	1457.23	1304.15	896.64	802.41	1583.71	961.07	759.08	1199.98	1268.46	1030.12	941.27	1286.18	426.57	1030.12	1378.57	785.88	1008.9	1769.57	830.75	819.3	836.53	624.99	1051.79	941.27	571.05	825.0	1008.9	1008.9	713.11	1159.07	1167.14	1051.79	1183.45	713.11	1662.49	1225.22
BAZ2B	466.88	212.78	74.06	271.48	514.56	249.73	181.28	205.5	244.57	493.56	332.14	215.77	490.14	214.27	325.29	316.37	293.07	128.79	220.32	249.73	218.79	256.78	291.04	161.02	161.02	429.54	236.21	212.78	178.77	323.03	297.17	248.0	209.84	271.48	208.38	381.68	45.85	101.54	299.25	123.5	480.04	140.04	277.2	215.77	260.38	129.69	277.2	289.02	236.21	334.46	228.13	297.17	514.56	212.78	208.38	320.8	351.14	307.69	228.13	381.68	96.01	239.52	414.87	132.44	258.57	285.03	228.13	158.79	265.87	68.07	251.48	122.64	187.71	151.22	224.97	246.28	162.14	414.87	358.54	295.11	514.56	140.04	438.59	389.72
BBX	708.18	299.25	127.0	371.22	775.05	206.94	285.03	305.55	264.03	733.19	346.29	305.55	620.67	255.0	314.17	579.04	412.0	249.73	297.17	312.0	336.79	343.89	348.71	120.1	248.0	559.28	343.89	256.78	191.67	316.37	293.07	486.75	237.86	414.87	480.04	595.34	104.42	110.43	314.17	125.24	638.15	205.5	356.05	209.84	323.03	231.32	283.05	320.8	571.05	480.04	195.72	187.71	665.29	287.01	255.0	684.02	587.13	220.32	309.83	444.72	136.19	273.37	713.11	211.31	334.46	497.0	334.46	175.07	376.41	256.78	341.51	241.19	157.68	202.66	212.78	281.09	157.68	607.87	575.03	493.56	902.89	253.23	616.37	819.3
BHLHB9	112.77	56.28	50.98	85.22	120.1	59.13	69.03	42.41	51.35	118.43	47.17	77.79	126.12	51.35	87.65	100.83	131.51	68.55	66.65	36.27	85.82	80.57	90.14	47.84	69.52	95.34	48.52	74.58	75.11	84.63	85.22	92.7	80.01	72.01	115.16	100.13	28.65	49.56	77.79	54.72	133.36	71.0	126.12	90.77	56.68	68.07	73.54	103.69	94.01	116.78	46.18	65.26	117.6	98.04	60.39	110.43	112.77	82.87	80.57	102.97	39.79	72.52	95.34	40.93	81.71	118.43	85.22	50.63	83.45	85.82	63.45	63.89	33.78	55.89	46.5	71.5	52.45	127.0	86.43	89.51	114.36	68.07	102.97	128.79
BMI1	1242.34	669.92	248.0	656.11	1001.93	314.17	688.78	525.39	450.94	1119.56	753.83	688.78	974.5	633.73	733.19	902.89	872.1	607.87	759.08	529.06	684.02	660.68	669.92	414.87	638.15	836.53	738.29	532.74	629.35	902.89	808.0	878.17	457.25	791.35	1030.12	748.61	205.5	389.72	802.41	450.94	1286.18	480.04	902.89	775.05	674.59	503.95	785.88	909.17	791.35	733.19	688.78	466.88	921.88	728.11	559.28	1350.18	1037.29	928.3	563.18	896.64	454.09	567.1	1143.1	543.96	587.13	967.76	748.61	713.11	723.08	444.72	718.08	647.07	651.58	651.58	583.07	466.88	503.95	1088.92	842.36	872.1	1088.92	791.35	1037.29	1151.06
BMPR2	543.96	267.73	130.6	269.6	571.05	173.85	255.0	223.41	277.2	842.36	305.55	220.32	521.76	265.87	283.05	384.34	343.89	223.41	309.83	182.55	229.72	299.25	287.01	182.55	262.2	314.17	260.38	197.09	218.79	320.8	265.87	409.15	244.57	242.88	397.93	441.64	66.65	127.89	301.33	167.9	624.99	119.26	291.04	283.05	305.55	343.89	226.54	299.25	325.29	343.89	163.28	208.38	309.83	246.28	209.84	587.13	403.5	249.73	262.2	426.57	146.03	182.55	518.15	277.2	277.2	414.87	253.23	214.27	301.33	323.03	303.44	165.57	231.32	212.78	229.72	253.23	201.25	476.71	299.25	346.29	559.28	267.73	320.8	551.56
BPTF	961.07	567.1	438.59	674.59	1111.82	616.37	497.0	684.02	629.35	884.29	612.11	629.35	1059.11	536.45	764.36	1073.91	665.29	575.03	703.28	624.99	775.05	612.11	890.44	476.71	660.68	884.29	607.87	579.04	616.37	884.29	718.08	718.08	866.07	759.08	633.73	791.35	307.69	395.18	713.11	366.09	1104.13	476.71	753.83	651.58	723.08	529.06	693.58	665.29	825.0	915.51	595.34	836.53	954.43	703.28	620.67	825.0	902.89	684.02	703.28	1183.45	480.04	713.11	872.1	563.18	651.58	830.75	575.03	518.15	796.86	651.58	612.11	603.67	660.68	476.71	540.19	775.05	647.07	928.3	819.3	718.08	928.3	435.55	848.22	791.35
CBL	102.25	47.17	21.01	61.68	90.14	56.28	52.82	62.56	56.68	103.69	49.21	65.26	113.56	73.03	61.25	77.79	59.55	55.49	82.87	46.18	59.13	59.13	24.99	45.53	46.84	111.99	61.25	39.22	34.51	62.12	61.25	71.0	51.35	63.45	90.14	102.97	15.45	27.44	47.17	36.01	113.56	26.47	57.08	49.91	50.63	52.45	46.18	57.08	73.03	51.35	69.03	48.52	95.34	53.95	44.89	102.25	98.73	59.55	48.18	76.17	30.12	48.87	87.65	40.07	55.49	68.55	61.68	47.5	68.55	48.18	78.89	37.59	50.98	49.56	30.12	30.56	37.32	89.51	53.19	72.01	105.15	37.85	79.45	82.29
CDC5L	336.79	283.05	173.85	275.28	409.15	221.86	249.73	214.27	267.73	397.93	236.21	269.6	334.46	205.5	231.32	318.57	269.6	244.57	271.48	197.09	269.6	244.57	195.72	185.11	232.94	316.37	236.21	241.19	237.86	277.2	289.02	273.37	137.14	262.2	341.51	348.71	167.9	182.55	241.19	191.67	264.03	205.5	297.17	249.73	246.28	205.5	262.2	293.07	281.09	299.25	236.21	229.72	334.46	291.04	215.77	353.59	334.46	267.73	275.28	307.69	163.28	253.23	336.79	206.94	267.73	281.09	246.28	226.54	237.86	232.94	269.6	190.34	191.67	228.13	246.28	232.94	229.72	336.79	309.83	283.05	348.71	253.23	366.09	348.71
CLASP1	447.82	239.52	156.59	318.57	368.65	224.97	279.14	251.48	215.77	368.65	244.57	299.25	414.87	275.28	312.0	368.65	275.28	297.17	316.37	224.97	289.02	361.04	258.57	199.85	267.73	376.41	289.02	244.57	204.07	325.29	251.48	325.29	265.87	295.11	283.05	307.69	58.71	163.28	336.79	146.03	417.77	198.47	283.05	189.02	279.14	248.0	303.44	256.78	332.14	363.56	156.59	260.38	414.87	273.37	242.88	336.79	395.18	275.28	277.2	343.89	131.51	260.38	363.56	204.07	279.14	343.89	320.8	205.5	318.57	157.68	299.25	244.57	262.2	163.28	279.14	291.04	206.94	420.68	318.57	348.71	457.25	253.23	371.22	447.82
COMMD2	403.5	262.2	183.82	336.79	466.88	232.94	334.46	293.07	287.01	536.45	314.17	329.84	403.5	237.86	273.37	426.57	303.44	334.46	343.89	223.41	260.38	271.48	285.03	265.87	258.57	514.56	249.73	237.86	242.88	316.37	318.57	406.31	297.17	279.14	376.41	400.71	145.02	178.77	301.33	303.44	521.76	208.38	332.14	183.82	244.57	264.03	325.29	426.57	346.29	271.48	223.41	231.32	358.54	341.51	262.2	417.77	379.04	323.03	267.73	353.59	167.9	277.2	536.45	303.44	312.0	400.71	267.73	237.86	363.56	205.5	297.17	237.86	262.2	285.03	265.87	293.07	301.33	420.68	353.59	307.69	432.53	271.48	457.25	438.59
CREBBP	624.99	392.44	156.59	348.71	656.11	301.33	305.55	371.22	470.14	480.04	323.03	371.22	612.11	299.25	379.04	567.1	346.29	356.05	371.22	373.81	336.79	423.61	387.02	275.28	325.29	532.74	406.31	429.54	224.97	559.28	303.44	457.25	356.05	329.84	329.84	454.09	197.09	212.78	423.61	180.02	521.76	265.87	403.5	267.73	368.65	289.02	334.46	289.02	417.77	441.64	351.14	490.14	684.02	389.72	358.54	497.0	567.1	429.54	447.82	587.13	255.0	291.04	500.46	217.27	381.68	460.44	412.0	312.0	486.75	336.79	366.09	217.27	406.31	341.51	269.6	384.34	269.6	616.37	426.57	420.68	612.11	251.48	450.94	579.04
