	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.11NUK.1726.SM.5A5L2	GTEX.ZT9W.1426.SM.4YCD2	GTEX.QEL4.1526.SM.447AB	GTEX.XUJ4.0926.SM.4BOPA	GTEX.13QBU.0926.SM.5K7WQ	TCGA.97.7553.01A.21R.2039.07	TCGA.38.4625.01A.01R.1206.07	GTEX.ZT9X.0326.SM.51MTE	GTEX.146FQ.0926.SM.5LUAV	GTEX.12KS4.0726.SM.5FQSX	GTEX.11P81.0226.SM.5HL5M	GTEX.14A6H.0526.SM.5NQAZ	GTEX.WYVS.0526.SM.3NM9W	TCGA.22.1002.01A.01R.0692.07	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
KRT4	3.697379928E7	1.810644424E7	2.276004283E7	3.109113511E7	43.94	1551.09	44.25	77.25	58.71	2.05	109.66	0.0	264.03	5594.3	454.09	1015.93	14971.21	426.57	536.45	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
LAMP3	3874.05	66.65	253.23	96.68	1.0	1.03	4.74	1.75	2.03	1.0	5441.3	0.0	5366.37	3955.48	4210.15	7966.99	4802.93	9945.68	2417.67	518.15	698.41	967.76	358.54	507.46
LAP3	3928.15	1487.87	1487.87	884.29	743.43	669.92	878.17	866.07	842.36	921.88	3742.05	0.0	12160.22	5479.15	2915.45	2956.17	3665.02	5219.6	1733.13	1199.98	1151.06	1870.53	1104.13	796.86
LGALS9	8022.41	802.41	669.92	397.93	198.47	305.55	234.57	198.47	371.22	348.71	5517.27	0.0	45072.75	4869.99	6250.56	8421.31	12244.81	7642.41	1605.83	684.02	2287.2	1175.27	769.69	1127.35
MROH9	18.16	0.0	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	11.91	0.0	14.67	85.82	10.08	24.99	12.36	47.5	0.04	0.0	0.0	0.54	0.92	0.97
NFKBIE	395.18	147.06	89.51	129.69	53.57	75.64	46.5	146.03	59.13	38.4	633.73	0.0	591.22	607.87	575.03	409.15	511.0	674.59	336.79	53.57	255.0	215.77	141.02	149.12
PI4K2B	753.83	205.5	234.57	175.07	115.16	150.17	157.68	150.17	175.07	145.02	476.71	0.0	718.08	486.75	432.53	842.36	503.95	559.28	406.31	307.69	384.34	325.29	358.54	356.05
PTPN6	1529.73	493.56	435.55	656.11	130.6	109.66	165.57	172.65	180.02	117.6	2997.45	0.0	6561.36	2537.92	1950.0	3820.7	3540.14	2835.7	1277.29	599.49	802.41	902.89	503.95	486.75
RBBP8	2224.63	351.14	438.59	348.71	115.97	181.28	115.97	260.38	226.54	101.54	532.74	0.0	1023.0	836.53	529.06	884.29	660.68	1127.35	447.82	703.28	559.28	647.07	348.71	521.76
RIBC2	303.44	14.14	19.11	8.13	0.0	0.0	0.0	5.41	0.0	6.62	48.87	0.0	146.03	224.97	55.49	165.57	82.29	176.29	78.34	185.11	28.65	15.45	21.94	8.78
RLN2	65.72	5.36	9.27	4.86	0.0	2.56	0.0	3.03	3.29	2.05	33.06	0.0	61.25	63.0	21.94	79.45	74.58	68.55	6.46	7.69	7.11	14.89	6.78	9.2
RNF128	6699.25	9.06	12.55	11.21	7.11	2.97	4.43	8.78	3.76	2.92	164.42	0.0	199.85	312.0	152.28	612.11	423.61	414.87	73.03	34.02	94.01	39.5	63.45	34.51
RPA3	1909.85	674.59	540.19	476.71	199.85	291.04	237.86	307.69	423.61	348.71	928.3	0.0	2047.0	1167.14	974.5	1519.15	1268.46	2148.82	854.13	764.36	660.68	665.29	660.68	426.57
RTN3	3820.7	1561.89	1594.73	1447.15	1250.98	1167.14	1519.15	1096.5	1359.57	1583.71	3190.46	0.0	3901.01	2335.28	2537.92	3820.7	2573.36	1936.53	1844.76	1359.57	1628.26	1127.35	1540.37	1359.57
SLC16A3	6516.03	1225.22	1769.57	1322.37	567.1	651.58	309.83	563.18	435.55	297.17	3212.66	0.0	6607.01	1561.89	3018.3	2163.77	2701.35	6935.54	1745.2	314.17	981.29	2032.85	1651.0	947.83
ST8SIA6	47.84	8.65	23.59	24.46	5.19	6.46	3.96	7.4	5.68	6.21	73.03	0.0	81.71	56.28	15.68	262.2	65.72	21.16	25.17	7.69	6.67	0.87	14.14	0.0
TMEM125	4038.61	52.82	44.25	32.59	3.89	9.7	8.32	0.0	3.2	3.2	1540.37	0.0	1781.89	3325.99	836.53	8247.98	2335.28	3955.48	791.35	80.57	295.11	96.01	208.38	64.8
TMEM164	551.56	307.69	273.37	283.05	128.79	116.78	169.07	154.42	150.17	141.02	780.44	0.0	684.02	514.56	490.14	981.29	669.92	759.08	470.14	314.17	309.83	336.79	361.04	236.21
TSEN34	2451.44	1350.18	1159.07	1259.69	819.3	775.05	995.0	842.36	764.36	669.92	1104.13	0.0	1259.69	1427.22	1044.52	1529.73	902.89	1950.0	1295.13	896.64	1175.27	1286.18	1096.5	878.17
WDR76	733.19	144.01	92.05	80.01	55.89	69.52	61.25	59.13	127.0	78.34	231.32	269.6	559.28	159.9	149.12	334.46	312.0	693.58	148.09	320.8	170.25	181.28	98.04	104.42
XCL2	291.04	7.11	1.1	11.55	0.0	0.0	2.92	0.0	5.41	3.53	138.1	0.0	54.33	101.54	112.77	127.0	49.21	102.97	22.59	28.45	7.94	98.73	16.15	0.0
ZNF367	438.59	46.5	43.94	28.45	26.67	20.56	27.44	23.59	46.18	45.85	92.05	0.0	163.28	59.13	134.3	175.07	201.25	147.06	58.3	237.86	77.79	92.05	88.26	105.89
