	GTEX.WH7G.0526.SM.3NMBI	GTEX.QV31.0726.SM.3GAEG	GTEX.Y5LM.0626.SM.4V6G4	GTEX.ZYW4.1126.SM.5SI99	GTEX.13O61.0226.SM.5KM52	GTEX.11I78.0526.SM.5986A	GTEX.PWN1.2626.SM.2I3FH	GTEX.P4QT.2626.SM.2I3FM	GTEX.132QS.0326.SM.5IJFN	GTEX.XUZC.0126.SM.4BOO6	GTEX.ZTSS.0226.SM.59877	GTEX.ZV7C.0126.SM.57WDE	GTEX.X4LF.0426.SM.3NMB5	GTEX.TKQ1.0126.SM.33HB3	GTEX.PWCY.2326.SM.2I3EQ	GTEX.14ICL.0426.SM.5RQJ3	GTEX.ZY6K.0226.SM.5SIAY	GTEX.YF7O.0726.SM.4W213	GTEX.XUJ4.0726.SM.4BOOP	GTEX.12WSJ.0326.SM.5GCMT	GTEX.117YX.1226.SM.5H11S	GTEX.T8EM.0226.SM.3DB7C
DAD1	7180.15	11584.24	7966.99	5076.84	10512.82	8134.41	6121.9	6840.04	9945.68	10368.08	8191.0	7857.29	5913.33	7280.4	7433.4	5872.48	10512.82	11827.67	7130.55	10014.87	8479.89	9151.82
DERL2	1883.54	3794.3	2451.44	954.43	2720.15	1991.0	1540.37	1685.71	2645.74	2163.77	1936.53	2609.3	1709.26	2193.99	1857.6	1617.0	3847.29	3303.0	1628.26	3168.41	1909.85	2451.44
DIO1	15715.58	22225.61	6516.03	4.5	33922.56	17558.94	14765.09	214.27	20881.4	29124.6	4268.94	4671.57	1819.35	1662.49	2287.2	18.29	33688.23	21468.49	4298.64	40904.3	211.31	43236.64
DLEU1	107.38	209.84	113.56	69.03	145.02	164.42	70.01	82.87	214.27	204.07	116.78	185.11	69.52	144.01	89.51	50.27	248.0	111.99	130.6	212.78	110.43	209.84
DOLPP1	182.55	301.33	232.94	98.73	242.88	239.52	204.07	205.5	281.09	353.59	258.57	305.55	246.28	193.01	218.79	166.73	323.03	303.44	164.42	283.05	187.71	297.17
DYNLL1	3982.99	7230.1	5219.6	3018.3	6037.61	5633.22	3491.39	4123.49	5711.87	6516.03	5006.93	6037.61	3982.99	5292.48	4481.23	4038.61	9215.48	7749.1	3639.7	6561.36	5219.6	5219.6
EMC7	1331.57	1883.54	1709.26	1259.69	2061.24	1685.71	1662.49	1639.59	1963.57	1832.01	1551.09	1457.23	1529.73	1909.85	1388.16	1378.57	2193.99	1870.53	1529.73	1794.29	1832.01	1769.57
ERO1LB	555.41	738.29	547.75	356.05	540.19	775.05	287.01	195.72	503.95	669.92	571.05	353.59	287.01	703.28	457.25	273.37	2555.58	775.05	193.01	860.08	232.94	647.07
ERP44	642.59	902.89	728.11	435.55	813.63	591.22	432.53	559.28	759.08	647.07	536.45	629.35	429.54	698.41	647.07	429.54	1135.2	753.83	521.76	961.07	567.1	878.17
FAM114A1	470.14	842.36	476.71	473.41	769.69	599.49	483.38	559.28	612.11	703.28	532.74	547.75	267.73	466.88	669.92	237.86	500.46	575.03	497.0	679.29	248.0	785.88
FAM86A	206.94	285.03	208.38	124.37	281.09	246.28	190.34	237.86	287.01	323.03	218.79	351.14	242.88	211.31	226.54	185.11	309.83	297.17	211.31	281.09	202.66	323.03
FAM98A	529.06	961.07	791.35	693.58	995.0	967.76	780.44	842.36	995.0	1175.27	872.1	1088.92	599.49	753.83	708.18	447.82	1233.75	830.75	629.35	1059.11	674.59	1143.1
FDX1	536.45	679.29	409.15	237.86	642.59	607.87	476.71	348.71	698.41	791.35	547.75	417.77	429.54	463.65	361.04	400.71	775.05	819.3	366.09	583.07	444.72	583.07
FITM2	151.22	251.48	159.9	68.55	217.27	223.41	123.5	173.85	211.31	223.41	167.9	185.11	130.6	169.07	187.71	93.35	237.86	186.4	165.57	189.02	125.24	198.47
FKBP1A	7180.15	10808.41	5555.65	6381.92	9474.59	8247.98	5366.37	6381.92	11827.67	9279.58	7180.15	8658.09	5479.15	7331.05	4937.99	4836.35	8538.88	9344.14	5441.3	10883.59	4802.93	7180.15
FTSJ1	848.22	1008.9	775.05	633.73	1059.11	872.1	848.22	830.75	1175.27	1159.07	848.22	1208.34	808.0	860.08	947.83	733.19	1143.1	1167.14	665.29	1104.13	708.18	1259.69
GDI2	2758.13	3665.02	2875.3	2417.67	3443.31	2796.65	2720.15	2935.74	3018.3	3212.66	2520.38	3018.3	2271.4	3190.46	2591.27	2224.63	3257.52	3124.78	2271.4	3124.78	2591.27	2816.11
GFPT1	642.59	848.22	723.08	381.68	967.76	674.59	595.34	540.19	842.36	848.22	647.07	633.73	463.65	660.68	595.34	358.54	1111.82	866.07	429.54	967.76	409.15	1023.0
GLA	376.41	642.59	397.93	417.77	718.08	616.37	371.22	389.72	547.75	536.45	339.14	483.38	432.53	500.46	503.95	283.05	547.75	579.04	341.51	698.41	303.44	599.49
GLRX3	688.78	967.76	1066.48	830.75	1208.34	1030.12	591.22	884.29	1183.45	813.63	915.51	842.36	748.61	1135.2	836.53	759.08	1044.52	1167.14	669.92	1151.06	1051.79	1066.48
GOSR2	934.76	1437.15	1008.9	961.07	1259.69	1127.35	1088.92	1175.27	1277.29	1572.76	1135.2	1277.29	915.51	1081.39	842.36	884.29	1304.15	1015.93	1001.93	1369.04	902.89	1030.12
GPR180	59.97	98.73	74.06	64.34	87.65	79.45	56.68	54.72	92.7	88.26	61.25	78.34	69.03	58.3	75.11	63.45	98.04	95.34	65.26	105.89	68.55	110.43
GPR56	4123.49	6983.79	5711.87	2148.82	12676.65	7803.01	5041.77	3235.01	10659.59	6294.04	4298.64	6607.01	4512.4	5672.41	4639.29	2956.17	11664.82	5672.41	4543.8	11267.44	2816.11	5913.33
GPX8	825.0	769.69	334.46	363.56	688.78	698.41	684.02	490.14	769.69	748.61	511.0	551.56	400.71	688.78	447.82	395.18	915.51	796.86	493.56	830.75	540.19	848.22
GRAMD1B	31.0	242.88	44.25	40.07	262.2	150.17	94.01	47.17	329.84	114.36	49.21	111.21	17.25	71.5	72.01	18.84	163.28	78.34	73.54	262.2	31.45	63.45
GTF3A	1175.27	1551.09	884.29	775.05	1594.73	1407.55	830.75	1175.27	1685.71	1216.75	1119.56	1388.16	842.36	1304.15	1044.52	928.3	1572.76	1340.84	1250.98	1477.58	1023.0	1378.57
HDLBP	5954.47	6250.56	5183.54	3874.05	7642.41	5672.41	5672.41	5791.62	7382.04	7485.11	5183.54	5872.48	4210.15	5041.77	5913.33	3901.01	7537.18	6840.04	4972.34	7032.37	4298.64	6164.49
HM13	2956.17	4010.71	2976.74	1870.53	5329.3	3742.05	2915.45	3280.18	4543.8	4268.94	3190.46	3540.14	2816.11	2855.44	3081.75	2255.7	5219.6	4358.66	3124.78	5517.27	2303.12	3443.31
HMBS	403.5	941.27	346.29	131.51	988.12	559.28	426.57	551.56	1073.91	902.89	529.06	854.13	483.38	460.44	366.09	212.78	995.0	830.75	483.38	974.5	356.05	642.59
HSP90B1	49666.0	57051.4	51775.15	14262.1	57448.23	36864.92	12853.63	16611.71	45386.27	37639.55	34635.37	33688.23	20593.91	28923.41	40341.14	18052.61	68318.04	50709.61	40062.48	65082.31	24321.43	48307.85
HSPA5	14163.58	20881.4	20310.37	3467.27	25530.66	12764.83	6121.9	7485.11	19892.37	15824.9	12076.21	15075.35	8598.28	12160.22	13123.73	6337.83	34635.37	20737.16	10296.45	26248.46	8191.0	19754.96
HSPB11	2178.83	2796.65	1844.76	1467.37	2319.15	1909.85	2645.74	890.44	2351.53	2061.24	1806.78	1457.23	1437.15	2119.22	1059.11	1151.06	1806.78	3103.19	1350.18	1936.53	1304.15	2739.08
IFT27	1044.52	1340.84	1216.75	836.53	1447.15	947.83	660.68	764.36	1844.76	1923.14	988.12	1250.98	733.19	878.17	1119.56	753.83	2224.63	1477.58	669.92	2451.44	723.08	1685.71
IKBIP	351.14	409.15	339.14	234.57	334.46	406.31	141.02	171.45	295.11	283.05	221.86	248.0	144.01	316.37	195.72	253.23	435.55	267.73	166.73	450.94	189.02	258.57
KDELR2	2997.45	4095.0	2319.15	1519.15	3639.7	3280.18	2451.44	2573.36	4152.18	4328.55	2935.74	3168.41	2119.22	2591.27	2537.92	1883.54	4038.61	5147.73	2319.15	4869.99	2271.4	3665.02
LRRC42	748.61	981.29	748.61	518.15	1151.06	878.17	769.69	607.87	947.83	866.07	753.83	819.3	651.58	743.43	579.04	543.96	842.36	1023.0	728.11	981.29	624.99	872.1
LRRC59	1051.79	1467.37	1001.93	591.22	1870.53	1417.35	1378.57	1277.29	1844.76	1685.71	1259.69	1417.35	928.3	1359.57	1191.69	941.27	1757.34	1529.73	872.1	1857.6	825.0	1467.37
MAGEH1	954.43	1709.26	769.69	327.56	1519.15	1250.98	1119.56	1059.11	1529.73	1651.0	1191.69	1225.22	1008.9	1023.0	813.63	878.17	1350.18	1832.01	921.88	1519.15	825.0	1104.13
MAPK6	279.14	518.15	353.59	249.73	373.81	373.81	381.68	297.17	414.87	660.68	307.69	466.88	271.48	392.44	363.56	264.03	406.31	395.18	253.23	373.81	318.57	642.59
MFSD2A	138.1	981.29	466.88	75.64	1733.13	607.87	551.56	244.57	1023.0	825.0	267.73	995.0	441.64	412.0	262.2	265.87	291.04	358.54	703.28	1313.23	500.46	1030.12
MGAT2	279.14	444.72	303.44	152.28	346.29	323.03	285.03	309.83	327.56	397.93	323.03	348.71	283.05	351.14	316.37	251.48	441.64	409.15	255.0	414.87	253.23	339.14
MGST2	1369.04	2193.99	1447.15	1143.1	2032.85	1066.48	1250.98	1191.69	1709.26	1662.49	1388.16	1651.0	1191.69	1662.49	1159.07	1096.5	2148.82	2178.83	1551.09	2163.77	1437.15	1572.76
MGST3	5329.3	6079.61	6983.79	4298.64	9088.59	6079.61	4181.07	5441.3	8479.89	5831.91	5076.84	4836.35	4704.07	5594.3	5831.91	3639.7	9673.69	7130.55	5633.22	7382.04	4639.29	5633.22
MSRA	376.41	366.09	329.84	281.09	447.82	334.46	241.19	291.04	454.09	450.94	341.51	312.0	303.44	271.48	323.03	271.48	521.76	395.18	269.6	397.93	279.14	281.09
NME1	1059.11	2224.63	974.5	490.14	2335.28	1313.23	1037.29	1295.13	2835.7	2351.53	1259.69	2075.59	854.13	1397.83	854.13	743.43	2287.2	2400.97	1304.15	2875.3	1135.2	1457.23
NUS1	819.3	961.07	708.18	420.68	629.35	674.59	497.0	525.39	674.59	791.35	629.35	669.92	579.04	665.29	660.68	563.18	1015.93	860.08	447.82	830.75	633.73	1008.9
ORMDL2	796.86	1617.0	1242.34	536.45	1963.57	1183.45	836.53	1167.14	1594.73	1313.23	896.64	1242.34	890.44	1167.14	1023.0	698.41	1697.45	1508.65	1030.12	1709.26	842.36	1199.98
OSTC	1857.6	3820.7	2119.22	1388.16	2627.46	1832.01	1322.37	1457.23	2591.27	2240.11	1832.01	2520.38	1467.37	2047.0	1697.45	1427.22	3018.3	3190.46	1519.15	3103.19	1697.45	2701.35
P4HB	10154.69	12764.83	10440.2	6426.31	16727.26	10440.2	8191.0	10733.74	16727.26	10959.3	11267.44	14262.1	7485.11	8479.89	12329.98	7280.4	19618.49	14065.74	8901.53	19892.37	7382.04	11745.96
PCMT1	1268.46	1572.76	1359.57	872.1	1378.57	1417.35	974.5	1225.22	1340.84	1447.15	1151.06	1191.69	1259.69	1369.04	1183.45	1191.69	1477.58	1498.22	1208.34	1437.15	1350.18	1350.18
PDCL3	392.44	591.22	381.68	260.38	551.56	518.15	460.44	466.88	718.08	543.96	444.72	429.54	417.77	476.71	409.15	368.65	607.87	579.04	447.82	525.39	529.06	497.0
PPIL1	764.36	1467.37	848.22	295.11	1127.35	854.13	543.96	603.67	1104.13	1467.37	743.43	1073.91	728.11	769.69	656.11	420.68	1457.23	1617.0	723.08	1340.84	669.92	1551.09
PPME1	884.29	1030.12	909.17	738.29	830.75	981.29	915.51	791.35	884.29	1037.29	934.76	860.08	848.22	813.63	921.88	769.69	947.83	1119.56	854.13	884.29	728.11	1008.9
PRDX1	28525.2	34158.52	25887.07	10368.08	49666.0	34396.12	16727.26	19754.96	43840.21	48307.85	33455.53	21172.91	19348.38	21320.18	29124.6	17558.94	29943.43	37901.36	17317.18	38697.77	25005.23	44761.41
PRRC1	660.68	878.17	785.88	438.59	974.5	718.08	713.11	660.68	872.1	988.12	656.11	825.0	674.59	624.99	708.18	616.37	1008.9	902.89	511.0	896.64	629.35	921.88
PSMA5	1709.26	2537.92	1936.53	1143.1	2627.46	1870.53	1685.71	1936.53	2468.49	2287.2	1781.89	2178.83	1721.16	2133.97	1540.37	1388.16	2739.08	2609.3	1685.71	2720.15	1781.89	2090.03
PSMB1	4736.79	6840.04	5913.33	4358.66	6792.79	5555.65	5112.16	5913.33	7911.95	6840.04	5329.3	6294.04	5041.77	5995.9	4736.79	4575.41	7130.55	6792.79	4972.34	7382.04	5041.77	6079.61
PSMB2	738.29	921.88	759.08	536.45	981.29	825.0	825.0	947.83	1001.93	954.43	791.35	769.69	718.08	872.1	785.88	688.78	934.76	1023.0	738.29	947.83	738.29	848.22
RAB10	1551.09	2591.27	1685.71	934.76	2209.26	1794.29	1437.15	1662.49	1909.85	1923.14	1605.83	1651.0	1508.65	1794.29	1721.16	1073.91	2417.67	1769.57	1498.22	2004.85	1697.45	1806.78
RAB11A	4038.61	5872.48	4769.75	2758.13	5076.84	5112.16	3491.39	4095.0	3820.7	4607.24	4450.27	4181.07	3515.68	4328.55	4038.61	3614.55	6745.86	5112.16	3168.41	5147.73	4010.71	4123.49
RAB1A	5112.16	5751.61	4704.07	3349.13	5872.48	5219.6	4512.4	4358.66	6207.38	6607.01	4802.93	5076.84	3982.99	5076.84	4239.45	3665.02	5995.9	6381.92	3443.31	5913.33	4704.07	5711.87
RABEPK	334.46	490.14	332.14	301.33	521.76	323.03	334.46	325.29	555.41	559.28	320.8	507.46	387.02	371.22	348.71	305.55	400.71	536.45	358.54	457.25	392.44	503.95
RASEF	503.95	753.83	287.01	323.03	497.0	414.87	379.04	271.48	738.29	656.11	493.56	486.75	379.04	379.04	403.5	420.68	525.39	656.11	336.79	718.08	571.05	575.03
RNF2	217.27	325.29	239.52	177.53	229.72	305.55	190.34	180.02	220.32	248.0	218.79	237.86	178.77	211.31	226.54	236.21	301.33	281.09	209.84	258.57	201.25	217.27
RPN2	4937.99	7280.4	5112.16	3235.01	8022.41	6037.61	3901.01	4639.29	7382.04	6426.31	5183.54	4704.07	3874.05	4704.07	5076.84	3690.52	8479.89	7081.29	5403.7	7642.41	4210.15	6121.9
SDHB	1508.65	2367.9	1950.0	1259.69	3081.75	2004.85	1991.0	2133.97	2367.9	2104.58	1832.01	1963.57	1806.78	2018.8	1857.6	1832.01	2367.9	2287.2	2075.59	2367.9	2193.99	2047.0
SEC24A	265.87	379.04	241.19	170.25	361.04	275.28	325.29	314.17	307.69	473.41	264.03	323.03	185.11	231.32	190.34	204.07	343.89	334.46	232.94	353.59	183.82	429.54
SEC31A	3768.09	5594.3	3349.13	2664.15	4268.94	3690.52	4123.49	3742.05	4181.07	4769.75	3257.52	4543.8	3280.18	4095.0	3564.78	3018.3	4543.8	5076.84	2855.44	4328.55	3146.52	5913.33
SEC61A1	2664.15	3515.68	2816.11	1697.45	4181.07	2997.45	2777.33	3168.41	4066.71	3589.58	2796.65	3564.78	2645.74	2758.13	3060.45	1963.57	4210.15	3419.52	2468.49	4836.35	1950.0	3190.46
SLC27A4	591.22	1427.22	423.61	78.89	1605.83	775.05	395.18	591.22	1417.35	1199.98	547.75	854.13	587.13	420.68	733.19	242.88	1561.89	1127.35	441.64	1781.89	316.37	693.58
SLC33A1	723.08	988.12	775.05	395.18	738.29	785.88	460.44	490.14	708.18	902.89	679.29	748.61	559.28	599.49	769.69	591.22	1378.57	842.36	551.56	884.29	529.06	684.02
SLC35B1	1909.85	3325.99	2018.8	1225.22	3419.52	2163.77	1794.29	1583.71	4181.07	2664.15	2061.24	2956.17	1844.76	1857.6	2224.63	1721.16	4181.07	3515.68	1437.15	3540.14	1508.65	2720.15
SLC50A1	934.76	1225.22	1191.69	1477.58	1313.23	1111.82	785.88	961.07	1437.15	1023.0	954.43	1167.14	928.3	1073.91	1023.0	791.35	1781.89	1167.14	961.07	1508.65	1104.13	1088.92
SPCS2	6792.79	8658.09	6652.97	3491.39	8901.53	7032.37	4298.64	5633.22	8363.13	8658.09	6792.79	6337.83	4671.57	5672.41	7130.55	3928.15	10296.45	9279.58	5791.62	8022.41	6337.83	6792.79
SPCS3	1313.23	2047.0	1286.18	890.44	1369.04	1167.14	1104.13	878.17	1277.29	1313.23	1159.07	1304.15	974.5	1175.27	1183.45	819.3	1844.76	1819.35	941.27	1857.6	836.53	1721.16
SPRYD3	1304.15	1870.53	1369.04	669.92	2004.85	1529.73	1561.89	1540.37	1529.73	2133.97	1639.59	1721.16	1286.18	1268.46	1794.29	1143.1	1540.37	2061.24	1487.87	1819.35	1167.14	1745.2
SRPRB	808.0	1617.0	848.22	366.09	1745.2	1143.1	1059.11	1111.82	1407.55	1498.22	1183.45	1199.98	708.18	954.43	848.22	457.25	1561.89	1350.18	825.0	1477.58	819.3	1151.06
SSR2	3146.52	5183.54	3540.14	3874.05	4328.55	3515.68	2895.31	3235.01	4639.29	3716.2	2935.74	4038.61	2645.74	4066.71	3146.52	3168.41	4769.75	4388.98	3124.78	5219.6	3589.58	3257.52
SSR3	2351.53	3639.7	2739.08	1936.53	4123.49	3039.3	2004.85	2451.44	2701.35	3039.3	2163.77	2502.97	2271.4	3060.45	2627.46	1594.73	4152.18	3794.3	2573.36	4481.23	2555.58	3280.18
STT3A	2816.11	3768.09	2816.11	1757.34	3928.15	2895.31	2520.38	2701.35	3372.43	3212.66	2895.31	2956.17	2303.12	2895.31	3081.75	2178.83	4152.18	3419.52	2502.97	3874.05	2319.15	3039.3
SURF4	2855.44	3768.09	3018.3	1674.06	3874.05	3212.66	2855.44	3018.3	4010.71	3955.48	2976.74	3325.99	2520.38	2895.31	3257.52	2104.58	3794.3	3716.2	2645.74	3820.7	2075.59	3665.02
TCEB3	473.41	660.68	567.1	363.56	638.15	551.56	551.56	503.95	651.58	612.11	466.88	603.67	483.38	470.14	466.88	366.09	551.56	529.06	500.46	536.45	486.75	567.1
TIMM17A	1119.56	1447.15	1135.2	616.37	1628.26	1268.46	1259.69	1066.48	1781.89	1369.04	1059.11	1477.58	1104.13	1268.46	1088.92	909.17	1561.89	1594.73	819.3	1605.83	961.07	1407.55
TMCO1	2335.28	3349.13	2591.27	1923.14	2682.69	2816.11	2018.8	2351.53	2875.3	2816.11	2468.49	2451.44	2119.22	2935.74	2319.15	2104.58	3589.58	3235.01	2537.92	2935.74	3103.19	2664.15
TMED7	1268.46	2075.59	1159.07	872.1	1191.69	1143.1	1135.2	1059.11	1286.18	1340.84	1183.45	1242.34	1088.92	1151.06	1143.1	1151.06	1639.59	1870.53	941.27	1572.76	1225.22	1561.89
TMEM181	285.03	543.96	299.25	293.07	444.72	323.03	409.15	285.03	447.82	514.56	258.57	409.15	281.09	381.68	305.55	260.38	267.73	356.05	273.37	612.11	281.09	507.46
TMEM45A	251.48	860.08	295.11	60.82	483.38	332.14	356.05	395.18	555.41	392.44	389.72	567.1	149.12	351.14	299.25	121.79	540.19	426.57	336.79	486.75	162.14	463.65
TPO	757033.75	619179.28	751804.53	11112.3	602247.76	402881.61	585779.24	828417.36	716197.51	1078054.48	641014.63	636586.81	598087.73	672883.8	443937.41	209994.66	535303.41	919186.72	492579.5	875652.15	386469.83	2111737.85
TRIM5	447.82	612.11	384.34	239.52	521.76	435.55	312.0	371.22	423.61	493.56	423.61	406.31	287.01	343.89	409.15	220.32	738.29	559.28	341.51	514.56	307.69	470.14
TUBA1C	2104.58	4268.94	2485.67	1175.27	6426.31	3303.0	2502.97	2855.44	6037.61	3874.05	2520.38	2758.13	1769.57	3847.29	2997.45	1936.53	4671.57	4210.15	2434.5	5183.54	1572.76	3515.68
TUBB	4450.27	8538.88	4543.8	2855.44	12676.65	7537.18	4239.45	6121.9	12329.98	8247.98	6079.61	5913.33	4123.49	5329.3	6207.38	3349.13	11112.3	8247.98	5147.73	10084.54	3081.75	6250.56
