	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.N7MS.1626.SM.3LK5F	TCGA.A3.3362.01A.02R.1325.07	TCGA.BP.5186.01A.01R.1426.07	TCGA.B2.3924.01A.02R.1325.07	TCGA.B0.5693.01A.11R.1541.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CW.5585.01A.01R.1541.07	TCGA.CZ.5987.01A.11R.1672.07	TCGA.B0.5099.01A.01R.1420.07	TCGA.B8.A54K.01A.11R.A33J.07	TCGA.BP.5177.01A.01R.1426.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.4346.01A.01R.1289.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B0.4848.01A.01R.1277.07	TCGA.B0.5081.01A.01R.1334.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.CZ.5464.01A.01R.1503.07	TCGA.CJ.6031.01A.11R.1672.07	TCGA.CJ.5675.01A.11R.1541.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.AK.3444.01A.02R.1325.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4173.01A.02R.1289.07	TCGA.BP.4332.01A.01R.1289.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B8.A7U6.01A.12R.A37O.07	TCGA.CJ.4882.01A.02R.1426.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.BP.4164.01A.02R.1325.07	TCGA.AK.3434.01A.02R.1277.07	TCGA.BP.4784.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.BP.5184.01A.01R.1426.07	TCGA.CJ.4916.01A.01R.1426.07	TCGA.BP.5201.01A.01R.1426.07	TCGA.B0.5696.01A.11R.1541.07	TCGA.B8.5551.01A.01R.1541.07	TCGA.B0.4828.01A.01R.1277.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.AK.3428.01A.02R.1277.07	TCGA.B0.5703.01A.11R.1541.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.B0.4816.01A.01R.1503.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.BP.4759.01A.01R.1289.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B0.5106.01A.01R.1420.07	TCGA.BP.4804.01A.02R.1305.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.BP.4326.01A.01R.1289.07	TCGA.BP.4798.01A.01R.1305.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.BP.5009.01A.01R.1334.07	TCGA.B4.5838.01A.11R.1672.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.BP.5181.01A.01R.1426.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.CJ.4878.01A.01R.1305.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.5116.01A.02R.1420.07	TCGA.BP.4165.01A.02R.1289.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.4887.01A.01R.1305.07	TCGA.CZ.5452.01A.01R.1503.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.BP.5183.01A.01R.1426.07	TCGA.CZ.5451.01A.01R.1503.07	TCGA.BP.4985.01A.01R.1334.07	TCGA.DV.A4W0.01A.11R.A266.07	TCGA.CJ.4637.01A.02R.1325.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BP.4771.01A.01R.1289.07	TCGA.MM.A563.01A.11R.A266.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.5692.01A.11R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.BP.5192.01A.01R.1426.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.B0.4810.01A.01R.1503.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.B0.4824.01A.01R.1277.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.CZ.5982.01A.11R.1672.07	TCGA.EU.5904.01A.11R.1672.07	TCGA.BP.5196.01A.01R.1426.07
DEF6	1674.06	10.88	159.9	148.09	361.04	66.18	172.65	63.45	262.2	42.71	88.26	119.26	358.54	45.53	353.59	921.88	490.14	201.25	251.48	967.76	102.25	258.57	426.57	325.29	392.44	59.55	81.71	98.04	104.42	860.08	140.04	277.2	223.41	674.59	117.6	115.97	236.21	102.97	217.27	175.07	642.59	332.14	90.77	759.08	303.44	708.18	46.18	204.07	42.11	525.39	301.33	108.14	187.71	518.15	521.76	967.76	105.89	723.08	211.31	283.05	441.64	52.08	139.07	140.04	332.14	138.1	80.01	49.91	224.97	299.25	599.49	698.41	647.07	127.89	287.01	163.28	242.88	116.78	769.69	454.09	651.58	161.02	120.1	1096.5	555.41	255.0	361.04	493.56	273.37	51.71	647.07	123.5	511.0	204.07	480.04	214.27	70.51	136.19	368.65
DOCK2	29.91	9.41	180.02	187.71	559.28	101.54	198.47	84.04	341.51	49.21	42.11	85.82	253.23	122.64	432.53	848.22	500.46	170.25	368.65	723.08	118.43	361.04	591.22	432.53	575.03	51.35	76.71	111.99	131.51	1350.18	159.9	289.02	202.66	441.64	90.77	161.02	189.02	62.56	189.02	264.03	607.87	353.59	120.94	1551.09	169.07	460.44	117.6	131.51	33.06	575.03	373.81	98.73	193.01	460.44	507.46	629.35	152.28	1143.1	293.07	220.32	400.71	147.06	173.85	183.82	215.77	87.65	149.12	84.04	152.28	262.2	497.0	688.78	463.65	150.17	438.59	204.07	532.74	111.99	1015.93	323.03	521.76	283.05	134.3	995.0	480.04	209.84	476.71	460.44	116.78	81.14	353.59	84.04	392.44	118.43	432.53	194.36	158.79	172.65	346.29
EBI3	8.32	0.0	96.01	96.68	334.46	42.11	171.45	48.52	379.04	33.06	43.63	52.08	253.23	84.04	301.33	476.71	121.79	202.66	339.14	500.46	98.73	303.44	320.8	162.14	273.37	218.79	95.34	61.25	140.04	529.06	40.64	287.01	145.02	295.11	66.18	110.43	285.03	54.72	113.56	258.57	323.03	161.02	102.25	514.56	120.1	279.14	177.53	118.43	30.12	373.81	204.07	85.82	289.02	277.2	454.09	341.51	63.89	988.12	125.24	107.38	244.57	44.57	229.72	105.89	115.97	151.22	53.95	165.57	111.99	118.43	518.15	314.17	269.6	77.79	220.32	176.29	309.83	51.71	718.08	255.0	438.59	320.8	98.04	540.19	244.57	94.67	376.41	215.77	117.6	34.26	291.04	92.05	228.13	129.69	376.41	35.0	90.77	79.45	246.28
FAM78A	11.91	12.55	109.66	116.78	242.88	75.64	114.36	63.45	118.43	61.68	49.56	81.14	111.99	61.25	141.02	366.09	279.14	96.68	149.12	291.04	73.54	127.0	170.25	226.54	307.69	46.84	66.18	62.12	72.01	426.57	97.36	165.57	93.35	295.11	116.78	57.08	129.69	50.98	139.07	143.01	301.33	180.02	70.01	371.22	83.45	175.07	36.27	75.64	43.02	262.2	142.01	111.99	125.24	201.25	265.87	323.03	59.97	400.71	144.01	202.66	191.67	55.89	105.89	106.63	89.51	31.67	84.63	65.26	128.79	113.56	279.14	316.37	226.54	94.67	178.77	98.04	56.68	58.71	371.22	116.78	285.03	152.28	82.87	420.68	237.86	68.07	209.84	275.28	87.03	62.12	221.86	62.12	180.02	85.22	185.11	61.25	76.71	81.71	194.36
FCGR1A	97.36	4.7	334.46	309.83	1551.09	318.57	802.41	57.89	612.11	195.72	100.13	329.84	490.14	480.04	358.54	1397.83	2287.2	1208.34	1674.06	3235.01	212.78	698.41	1639.59	1950.0	1806.78	429.54	423.61	336.79	299.25	3419.52	500.46	2400.97	511.0	854.13	414.87	353.59	743.43	329.84	132.44	400.71	1794.29	1340.84	571.05	3280.18	325.29	1794.29	775.05	88.88	57.08	890.44	1388.16	476.71	1733.13	1950.0	2555.58	2319.15	379.04	5751.61	878.17	1397.83	1936.53	457.25	1037.29	346.29	1088.92	612.11	178.77	260.38	529.06	454.09	2255.7	1819.35	1923.14	563.18	1143.1	400.71	543.96	221.86	3515.68	2434.5	1832.01	603.67	503.95	1359.57	1923.14	1561.89	1030.12	1963.57	334.46	78.34	1769.57	417.77	2591.27	624.99	1923.14	127.0	249.73	271.48	1540.37
FCGR1B	8.51	13.83	113.56	85.82	607.87	90.14	185.11	43.32	72.52	36.01	29.06	94.01	158.79	143.01	79.45	591.22	438.59	214.27	320.8	775.05	75.64	198.47	384.34	583.07	363.56	51.71	73.03	92.05	115.97	915.51	84.04	417.77	121.79	287.01	120.94	138.1	181.28	41.52	53.19	80.01	476.71	403.5	154.42	1322.37	111.21	543.96	262.2	63.89	26.1	175.07	323.03	60.39	281.09	603.67	463.65	543.96	115.97	1350.18	241.19	249.73	490.14	148.09	591.22	99.43	142.01	177.53	70.51	85.82	126.12	107.38	591.22	387.02	708.18	78.34	267.73	88.26	132.44	47.84	974.5	579.04	343.89	139.07	146.03	1066.48	358.54	351.14	176.29	412.0	71.5	24.63	387.02	239.52	483.38	101.54	507.46	0.0	120.94	41.52	279.14
FERMT3	65.72	21.01	348.71	420.68	1073.91	198.47	493.56	183.82	473.41	170.25	159.9	420.68	507.46	291.04	555.41	1477.58	1721.16	450.94	638.15	1883.54	264.03	780.44	1159.07	1051.79	1088.92	205.5	457.25	368.65	376.41	1963.57	387.02	796.86	599.49	954.43	429.54	314.17	426.57	293.07	435.55	599.49	1242.34	733.19	295.11	2875.3	417.77	1551.09	551.56	361.04	159.9	872.1	551.56	438.59	693.58	830.75	1388.16	1397.83	269.6	1540.37	647.07	555.41	884.29	228.13	647.07	441.64	728.11	387.02	232.94	195.72	547.75	423.61	866.07	1378.57	1127.35	384.34	688.78	346.29	444.72	279.14	1991.0	1030.12	1359.57	476.71	346.29	2104.58	1216.75	723.08	1216.75	921.88	511.0	177.53	1322.37	248.0	1685.71	490.14	921.88	169.07	214.27	409.15	842.36
FMNL1	205.5	45.21	412.0	291.04	684.02	255.0	376.41	167.9	575.03	115.97	231.32	258.57	559.28	125.24	486.75	1498.22	836.53	438.59	591.22	1540.37	202.66	563.18	698.41	447.82	896.64	143.01	218.79	246.28	303.44	1923.14	258.57	612.11	414.87	1242.34	397.93	249.73	366.09	130.6	392.44	353.59	1242.34	612.11	194.36	1508.65	476.71	1066.48	361.04	363.56	108.9	1359.57	529.06	224.97	647.07	941.27	1111.82	1378.57	400.71	1191.69	466.88	466.88	780.44	147.06	279.14	353.59	703.28	269.6	205.5	273.37	543.96	466.88	1001.93	1073.91	1096.5	325.29	633.73	387.02	961.07	212.78	1447.15	813.63	1250.98	318.57	281.09	1923.14	902.89	599.49	665.29	866.07	460.44	139.07	1081.39	183.82	713.11	429.54	764.36	387.02	267.73	295.11	698.41
FUT7	2.05	0.0	4.82	5.5	6.46	6.26	6.36	2.92	9.93	0.36	0.73	4.17	8.13	1.97	11.55	19.39	10.47	5.82	8.0	21.47	3.26	5.36	27.64	18.16	21.01	0.83	4.82	3.11	2.81	31.9	5.96	15.68	5.23	31.9	3.17	3.89	5.45	5.82	3.92	7.51	11.21	8.78	3.06	31.67	8.32	17.38	3.14	5.11	1.87	31.22	12.64	2.12	4.9	12.36	18.29	12.27	10.31	8.65	8.85	8.78	8.58	1.1	5.87	5.23	10.71	5.96	3.14	1.2	6.46	5.19	30.12	28.45	9.27	2.53	5.23	3.11	56.68	1.69	22.1	10.0	22.59	6.94	5.02	24.99	24.99	9.78	19.82	17.0	10.71	1.35	26.67	5.73	17.25	4.17	11.73	0.43	5.63	3.23	6.31
GPR65	5.19	0.39	105.15	110.43	381.68	35.5	132.44	37.05	121.79	17.0	22.92	46.84	131.51	55.89	128.79	412.0	221.86	106.63	214.27	320.8	62.12	241.19	221.86	249.73	460.44	43.63	62.12	93.35	64.8	486.75	98.04	264.03	57.49	224.97	58.71	57.49	110.43	46.84	64.34	161.02	409.15	185.11	55.89	497.0	96.68	137.14	72.52	76.17	17.51	312.0	111.21	75.64	100.83	303.44	336.79	234.57	57.89	540.19	96.01	142.01	277.2	79.45	109.66	108.14	158.79	70.01	97.36	46.18	138.1	76.71	397.93	275.28	318.57	65.72	211.31	102.25	77.25	58.3	607.87	156.59	251.48	143.01	94.67	457.25	214.27	137.14	217.27	279.14	85.22	57.49	183.82	65.72	140.04	71.5	329.84	45.21	63.89	67.59	189.02
GPR68	435.55	1.46	17.51	31.22	67.59	10.63	24.99	9.7	19.82	16.39	5.41	19.25	33.3	12.18	20.71	141.02	76.17	37.05	56.68	101.54	10.16	15.34	60.82	94.67	63.45	47.84	7.82	14.24	12.64	63.45	23.76	60.39	17.0	68.55	15.56	6.52	22.59	35.76	24.81	29.48	112.77	46.5	13.22	84.63	42.41	40.36	14.67	31.45	9.34	26.86	31.0	21.47	31.22	33.3	81.14	110.43	9.93	53.95	20.11	44.25	42.71	14.89	19.53	19.25	54.72	11.3	17.77	11.13	33.54	25.72	72.01	80.57	68.07	11.91	33.54	18.03	125.24	6.84	118.43	39.5	106.63	55.89	25.54	125.24	59.55	20.71	60.82	96.01	45.53	8.13	106.63	11.47	107.38	16.27	71.5	44.57	9.63	15.45	85.82
HMHA1	256.78	214.27	450.94	567.1	665.29	450.94	559.28	293.07	476.71	285.03	336.79	341.51	679.29	202.66	624.99	1286.18	934.76	698.41	571.05	1583.71	312.0	599.49	688.78	872.1	1037.29	255.0	403.5	368.65	507.46	1427.22	483.38	928.3	624.99	1023.0	414.87	463.65	529.06	334.46	733.19	718.08	1143.1	612.11	493.56	1286.18	642.59	1397.83	175.07	403.5	239.52	1119.56	665.29	314.17	591.22	947.83	1127.35	1304.15	162.14	1250.98	1051.79	612.11	688.78	218.79	358.54	384.34	521.76	379.04	389.72	209.84	607.87	624.99	1183.45	1183.45	995.0	493.56	665.29	693.58	336.79	511.0	1551.09	738.29	1268.46	665.29	387.02	1745.2	1175.27	583.07	1216.75	1721.16	466.88	305.55	890.44	547.75	802.41	1936.53	1127.35	571.05	246.28	384.34	718.08
IGFLR1	120.1	35.0	206.94	262.2	819.3	167.9	271.48	72.01	320.8	114.36	85.82	103.69	412.0	255.0	389.72	1044.52	830.75	536.45	587.13	1143.1	73.03	262.2	759.08	412.0	1066.48	417.77	279.14	170.25	273.37	1447.15	262.2	429.54	323.03	1143.1	163.28	236.21	332.14	150.17	289.02	253.23	698.41	395.18	287.01	1923.14	211.31	1745.2	155.5	251.48	60.82	660.68	563.18	140.04	327.56	400.71	830.75	890.44	361.04	1350.18	521.76	435.55	457.25	285.03	291.04	218.79	583.07	237.86	100.13	96.68	293.07	395.18	836.53	1096.5	748.61	162.14	583.07	226.54	183.82	224.97	1175.27	412.0	1313.23	414.87	244.57	1605.83	961.07	748.61	1044.52	941.27	241.19	70.51	878.17	620.67	674.59	432.53	543.96	733.19	113.56	178.77	555.41
