	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.B8.4621.01A.01R.1503.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.SX.A71W.01A.12R.A355.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.DW.7837.01A.11R.2139.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.132AR.1126.SM.5P9GA	GTEX.11TT1.1126.SM.5P9GV	GTEX.12WSG.2126.SM.5EGJ7
SLC35F6	808.0	420.68	1477.58	819.3	830.75	559.28	1008.9	1023.0	575.03	1059.11	1159.07	2032.85	791.35	1388.16	587.13	1936.53	1037.29	988.12	1268.46	1023.0	2816.11	412.0	503.95	406.31	563.18	693.58	587.13	334.46	518.15	616.37	607.87	551.56	688.78	525.39	273.37
SLC44A4	1757.34	207103.59	2240.11	866.07	4181.07	1359.57	10014.87	1008.9	981.29	3589.58	3146.52	2758.13	5633.22	8078.22	2573.36	5954.47	6037.61	3257.52	3257.52	6699.25	3768.09	91.41	24.99	107.38	25.35	19.11	19.97	106.63	30.56	264.03	303.44	31.0	72.52	113.56	733.19
SLC4A2	1819.35	2335.28	3955.48	1447.15	5366.37	2119.22	2434.5	3190.46	2018.8	4736.79	3419.52	3280.18	2875.3	4512.4	2400.97	5006.93	3395.89	4512.4	5147.73	3768.09	4769.75	2018.8	1781.89	1794.29	1963.57	2451.44	2400.97	1950.0	2018.8	1794.29	1199.98	1295.13	1883.54	1487.87	1467.37
SULT1C4	13.42	1044.52	3690.52	208.38	2119.22	253.23	2777.33	1259.69	309.83	2178.83	6471.02	4869.99	1794.29	4152.18	1923.14	1936.53	2739.08	1572.76	2303.12	1561.89	4210.15	26.47	73.03	28.04	31.22	7.34	31.22	31.67	54.33	63.89	51.35	209.84	105.15	106.63	159.9
TFEC	22.26	63.89	1104.13	12.27	1286.18	31.45	450.94	490.14	28.04	808.0	748.61	1088.92	954.43	1015.93	438.59	988.12	961.07	127.0	423.61	473.41	1457.23	16.51	9.06	4.82	9.34	27.05	13.83	4.28	38.95	43.02	56.68	27.64	42.71	9.85	0.92
TM7SF3	417.77	988.12	10154.69	1498.22	2468.49	1883.54	1963.57	3395.89	1250.98	3124.78	3540.14	4903.87	4512.4	3639.7	3280.18	1709.26	3212.66	2855.44	4736.79	2047.0	4671.57	854.13	1286.18	848.22	1277.29	738.29	638.15	698.41	1001.93	708.18	583.07	934.76	1051.79	1225.22	934.76
TMEM140	228.13	642.59	2645.74	961.07	3372.43	551.56	2075.59	2018.8	1143.1	1950.0	2178.83	1936.53	2976.74	2255.7	2520.38	1977.24	2573.36	2271.4	2255.7	2627.46	4704.07	142.01	141.02	264.03	241.19	211.31	186.4	145.02	239.52	246.28	241.19	251.48	493.56	206.94	500.46
TRIM40	0.0	4.35	0.4	0.35	0.66	0.0	0.69	0.0	0.0	0.95	0.0	0.0	0.66	0.32	0.34	0.0	0.0	0.0	0.41	1.03	1.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TRPC7	0.0	0.0	10.31	0.0	21.32	1.46	64.8	4.35	0.0	31.67	0.36	39.5	69.03	11.91	15.45	13.22	24.99	4.58	35.76	13.03	43.94	0.0	0.52	0.27	0.54	0.0	0.27	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.87
UGT2A3	0.0	0.0	1617.0	2.1	1781.89	988.12	7642.41	1639.59	8.32	5183.54	1628.26	2287.2	9740.98	1936.53	3665.02	1467.37	2956.17	2758.13	1529.73	2875.3	6652.97	0.0	0.62	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0
UGT2B7	0.31	87681.42	3540.14	1216.75	5041.77	2739.08	10296.45	2758.13	1151.06	8022.41	2796.65	4038.61	14561.8	2468.49	7081.29	14461.21	4152.18	5751.61	2895.31	4268.94	40341.14	0.69	0.69	0.0	1.27	0.0	8.06	0.0	0.45	2.68	0.0	1.48	7.22	2.63	0.0
VDAC1	4210.15	1697.45	4937.99	4419.52	3928.15	3794.3	3768.09	6121.9	5219.6	5041.77	4450.27	5183.54	7642.41	4704.07	4671.57	4481.23	5006.93	5255.91	4543.8	6699.25	5594.3	3325.99	3257.52	2468.49	2627.46	3235.01	2701.35	2627.46	2367.9	2367.9	2701.35	1870.53	2335.28	3146.52	1286.18
VRK3	1081.39	684.02	961.07	612.11	1051.79	961.07	1250.98	954.43	769.69	1073.91	1008.9	1208.34	1662.49	1806.78	1487.87	1008.9	1216.75	813.63	1030.12	902.89	1066.48	406.31	503.95	567.1	703.28	688.78	543.96	633.73	693.58	825.0	629.35	836.53	1088.92	769.69	759.08
ZNF320	836.53	532.74	638.15	466.88	329.84	314.17	1059.11	265.87	323.03	708.18	1119.56	1059.11	743.43	785.88	429.54	995.0	1233.75	830.75	651.58	521.76	444.72	194.36	128.79	209.84	299.25	299.25	202.66	176.29	260.38	255.0	277.2	432.53	444.72	283.05	107.38
