	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7XN.01A.11R.A352.07	TCGA.ZF.A9RF.01A.11R.A38B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.13D11.0326.SM.5LZXX	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.RU1J.0126.SM.2TF6Y	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.S4Z8.0426.SM.3K2AH	GTEX.P4QT.0526.SM.2I3EX	GTEX.U3ZM.0426.SM.3DB73	GTEX.U8XE.1426.SM.3DB8Q	GTEX.ZLV1.0426.SM.4WWC2	GTEX.SNOS.0426.SM.32PMH	GTEX.ZA64.0326.SM.5HL8T	GTEX.WFJO.0326.SM.3GIL3	GTEX.12WSJ.0226.SM.5GCP7	GTEX.XUJ4.1426.SM.4BONT	GTEX.111YS.0626.SM.5GZXV	GTEX.12WSN.0626.SM.5BC61	GTEX.WOFM.0126.SM.3MJFE	GTEX.13113.0426.SM.5GCOD	GTEX.139T6.0426.SM.5IJEM	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.13O21.3026.SM.5J2NI	GTEX.T6MO.0426.SM.32QOI	GTEX.13N2G.0826.SM.5IJE6	GTEX.P4QS.0526.SM.2I3ET	GTEX.13VXT.1426.SM.5LU4B	GTEX.13N1W.0726.SM.5MR57	GTEX.PWOO.0726.SM.2I3EB	GTEX.XGQ4.0826.SM.4AT4T	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.OXRL.0526.SM.2I3EZ	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.UJMC.0726.SM.3GADX	GTEX.11LCK.0426.SM.5A5M8	TCGA.ET.A39P.01A.21R.A19O.07	TCGA.MK.A4N7.01A.11R.A250.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.BJ.A0ZB.01A.11R.A10U.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.H2.A3RI.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.E3.A3DY.01A.11R.A20F.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.DJ.A1QN.01A.11R.A14Y.07	TCGA.DJ.A2Q7.01A.11R.A18C.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A3VJ.01A.11R.A23N.07	TCGA.FY.A3RA.01A.11R.A220.07
EPB41L5	158.79	392.44	117.6	0.0	0.2	1286.18	1594.73	507.46	981.29	2367.9	1628.26	698.41	2335.28	2351.53	1427.22	1096.5	454.09	1159.07	1096.5	2434.5	1733.13	713.11	1044.52	2255.7	2855.44	1519.15	1088.92	866.07	1037.29	988.12	830.75	1059.11	1477.58	450.94	2004.85	371.22	1487.87	429.54	264.03	1617.0	1721.16	842.36	1044.52	1044.52	1519.15	1096.5	381.68	348.71	808.0	1437.15	1059.11	1397.83	1991.0	1519.15	289.02	236.21	283.05	228.13	242.88	336.79	332.14	287.01	346.29	320.8	358.54	267.73	409.15	400.71	395.18	341.51
FAM105A	50.98	100.13	108.9	0.0	0.31	967.76	3589.58	1081.39	2104.58	4419.52	1250.98	2193.99	3280.18	5292.48	2520.38	1721.16	500.46	1167.14	1936.53	4937.99	2796.65	1313.23	1250.98	5791.62	7032.37	2520.38	1781.89	1806.78	1733.13	1233.75	1697.45	1304.15	1437.15	1044.52	647.07	361.04	2271.4	1242.34	318.57	1427.22	5255.91	2061.24	1508.65	2104.58	4038.61	2555.58	860.08	551.56	2895.31	3982.99	2104.58	1519.15	2875.3	3901.01	62.56	49.91	133.36	144.01	85.82	124.37	140.04	59.13	88.26	74.58	109.66	98.73	112.77	102.25	87.03	62.56
FKBP5	309.83	269.6	493.56	0.0	0.12	3124.78	2193.99	1757.34	1477.58	2367.9	1628.26	2193.99	1721.16	2163.77	1721.16	2032.85	309.83	1617.0	2018.8	2417.67	1991.0	1662.49	2451.44	2976.74	4358.66	2609.3	2004.85	2148.82	1674.06	780.44	1896.65	2895.31	2148.82	2004.85	591.22	1909.85	1757.34	351.14	1529.73	1709.26	2758.13	2271.4	1572.76	2434.5	1950.0	2720.15	1369.04	1508.65	1950.0	2997.45	2573.36	1909.85	2061.24	2468.49	647.07	1119.56	1111.82	1111.82	813.63	967.76	728.11	1008.9	1250.98	1350.18	1001.93	674.59	718.08	368.65	684.02	1359.57
FMO2	10.96	5.06	2.58	0.0	0.32	2178.83	4802.93	961.07	3982.99	6381.92	1417.35	902.89	5041.77	2835.7	4419.52	2287.2	204.07	1322.37	934.76	7433.4	3467.27	1844.76	4543.8	6121.9	8901.53	3955.48	3395.89	3303.0	1457.23	1561.89	1697.45	3103.19	3639.7	1437.15	3168.41	232.94	1963.57	1167.14	438.59	4736.79	4328.55	466.88	3235.01	1709.26	2720.15	1923.14	612.11	78.34	2193.99	3235.01	2004.85	2193.99	5913.33	1417.35	10.88	28.65	35.0	12.18	17.25	14.89	6.94	12.64	28.65	78.89	7.88	38.95	105.15	23.25	34.51	15.0
FMO5	5.54	8.58	69.03	0.0	0.0	3614.55	6935.54	325.29	1322.37	3146.52	2075.59	813.63	3491.39	1794.29	4802.93	2367.9	117.6	1519.15	947.83	2956.17	9673.69	1088.92	2627.46	6983.79	11992.79	2303.12	8718.32	1322.37	1605.83	988.12	1628.26	1508.65	5076.84	547.75	2664.15	297.17	2816.11	236.21	366.09	6164.49	4152.18	890.44	2520.38	1936.53	4123.49	4239.45	224.97	166.73	599.49	9606.86	3190.46	3901.01	7485.11	2193.99	44.25	99.43	39.5	117.6	84.63	71.0	43.02	26.47	69.03	108.9	26.47	90.14	42.11	43.94	140.04	107.38
HIF3A	1.35	0.0	1.46	0.0	0.75	591.22	848.22	186.4	392.44	1832.01	836.53	120.1	733.19	603.67	1059.11	733.19	0.07	575.03	525.39	1044.52	642.59	113.56	780.44	743.43	698.41	1250.98	974.5	995.0	366.09	190.34	351.14	406.31	1508.65	420.68	540.19	198.47	1508.65	31.45	151.22	1081.39	961.07	186.4	587.13	708.18	1175.27	435.55	100.83	142.01	361.04	2367.9	438.59	521.76	1685.71	454.09	49.91	17.77	12.74	68.07	19.25	19.53	19.68	61.25	17.38	72.01	43.94	30.34	19.82	27.64	12.55	25.35
HNF1B	0.71	0.37	114.36	0.0	0.18	371.22	3742.05	258.57	928.3	2434.5	909.17	1183.45	1936.53	3257.52	961.07	1044.52	684.02	273.37	2875.3	500.46	2895.31	122.64	647.07	547.75	825.0	947.83	563.18	236.21	447.82	2240.11	1073.91	567.1	2682.69	182.55	3589.58	97.36	1508.65	2271.4	47.5	1242.34	17437.64	2335.28	802.41	1359.57	7433.4	665.29	106.63	273.37	928.3	3794.3	848.22	2367.9	2224.63	6164.49	1.04	1.57	4.74	1.75	2.78	0.0	0.0	0.0	1.06	7.4	1.31	3.06	1.93	12.36	0.45	0.0
HRASLS5	0.99	0.33	1.14	0.0	0.09	157.68	281.09	81.14	218.79	236.21	129.69	112.77	127.0	1216.75	51.71	73.03	46.5	48.87	400.71	155.5	185.11	78.89	42.71	194.36	147.06	264.03	175.07	92.05	297.17	111.99	48.18	36.79	205.5	177.53	23.25	17.38	142.01	111.99	6.46	75.11	507.46	397.93	77.79	55.89	71.5	176.29	71.5	86.43	85.22	265.87	67.59	277.2	211.31	253.23	0.68	14.56	3.59	3.5	2.92	6.41	7.06	7.0	7.17	5.87	2.01	3.66	5.68	4.1	3.59	16.63
KIAA1328	36.27	62.12	63.0	0.0	0.2	131.51	124.37	74.58	95.34	143.01	83.45	92.7	212.78	116.78	135.24	115.97	68.07	129.69	75.64	138.1	137.14	53.95	91.41	158.79	156.59	144.01	119.26	138.1	132.44	102.25	102.97	102.25	161.02	65.26	152.28	53.19	127.0	98.73	136.19	170.25	181.28	63.45	111.99	107.38	232.94	108.9	63.45	30.78	94.67	151.22	100.13	129.69	158.79	101.54	85.82	86.43	100.83	69.52	56.28	62.56	75.11	83.45	92.7	76.71	77.25	80.01	92.7	74.06	82.29	65.26
LRRC31	0.0	0.32	0.0	0.0	0.0	153.34	591.22	71.5	60.39	698.41	99.43	36.27	128.79	11.82	171.45	7.82	4.24	22.43	8.65	177.53	78.89	9.63	384.34	1081.39	291.04	27.44	389.72	78.89	55.1	156.59	43.94	69.52	575.03	3.92	33.54	2.97	48.87	13.62	0.0	218.79	339.14	5.15	132.44	68.07	104.42	318.57	0.0	2.81	10.79	30.78	7.94	249.73	212.78	253.23	0.0	0.0	0.0	0.28	0.69	0.0	0.0	0.28	0.0	0.31	0.0	0.0	0.0	0.3	0.29	0.62
MAMDC2	35.5	0.67	12.74	0.0	0.39	988.12	1662.49	476.71	1594.73	3419.52	1023.0	536.45	1709.26	2417.67	1417.35	1498.22	35.25	379.04	961.07	1936.53	1051.79	476.71	3103.19	2133.97	1857.6	1757.34	753.83	961.07	1216.75	130.6	551.56	708.18	2319.15	379.04	836.53	265.87	2591.27	170.25	46.5	1417.35	2319.15	353.59	665.29	1286.18	866.07	796.86	50.63	88.26	555.41	1477.58	473.41	1167.14	836.53	1175.27	19.82	19.97	21.16	66.65	38.67	43.63	26.86	47.84	36.79	29.06	21.16	21.16	56.68	67.12	52.82	65.26
MECOM	17.38	293.07	31.22	0.0	0.49	1685.71	2537.92	830.75	775.05	2163.77	674.59	2303.12	2240.11	1191.69	1250.98	733.19	866.07	842.36	229.72	1015.93	1159.07	647.07	860.08	1447.15	3190.46	1044.52	1286.18	902.89	2018.8	1322.37	915.51	2555.58	1151.06	1225.22	1175.27	376.41	2537.92	1313.23	473.41	2047.0	567.1	872.1	974.5	1081.39	1519.15	1950.0	473.41	400.71	571.05	1936.53	1487.87	2224.63	1167.14	1001.93	103.69	72.52	438.59	108.14	126.12	108.14	122.64	84.04	61.25	358.54	199.85	95.34	152.28	480.04	156.59	197.09
MIA2	0.0	0.0	1.13	0.0	0.0	26.67	46.84	16.75	5.96	84.04	21.47	10.0	12.93	79.45	26.67	22.75	4.03	18.03	53.57	23.08	58.3	41.22	13.62	38.67	23.59	67.59	39.79	10.96	31.22	24.28	12.18	14.24	26.28	11.38	88.26	7.28	55.89	42.11	0.0	47.84	13.52	119.26	7.57	15.22	23.08	38.95	19.25	7.82	5.77	56.28	36.53	38.67	142.01	28.65	0.85	0.0	1.2	0.82	0.64	0.0	1.13	0.29	0.31	2.23	0.3	0.0	0.91	1.41	0.0	0.3
MVB12B	108.14	72.52	142.01	0.0	0.16	486.75	1151.06	356.05	651.58	1977.24	1268.46	339.14	1199.98	703.28	1594.73	624.99	406.31	239.52	629.35	896.64	669.92	318.57	532.74	1745.2	854.13	748.61	785.88	620.67	780.44	633.73	339.14	343.89	1277.29	381.68	890.44	275.28	813.63	309.83	303.44	842.36	1388.16	551.56	612.11	693.58	1081.39	647.07	406.31	202.66	679.29	866.07	583.07	426.57	909.17	753.83	194.36	166.73	265.87	95.34	169.07	194.36	228.13	305.55	246.28	176.29	255.0	256.78	239.52	232.94	224.97	218.79
NAALAD2	6.73	1.91	10.31	0.0	0.23	12.74	20.86	12.09	7.06	18.16	21.78	27.84	21.32	26.67	15.68	22.92	9.48	11.13	13.32	26.1	32.82	10.71	14.03	23.76	34.75	44.57	26.1	47.17	18.43	16.88	8.38	16.27	33.54	27.84	21.63	11.55	32.82	19.53	20.41	21.16	14.67	9.2	13.42	8.65	24.81	20.56	8.65	3.79	7.22	33.78	12.0	48.52	43.94	12.27	8.92	7.88	8.51	15.22	6.06	13.03	4.21	9.41	4.28	8.25	7.46	7.0	14.03	6.67	8.71	3.69
NAPSA	17.0	9.13	7.63	4704.07	42346.82	610654.84	569761.05	177811.84	246289.25	365622.68	263966.36	265802.39	345900.08	200048.85	242898.5	414208.18	577714.63	267651.2	269512.87	251464.33	397335.0	348306.01	282912.21	172949.54	190574.09	218912.29	225066.78	184082.4	311742.51	231394.29	161367.56	358098.26	350728.68	220434.95	383800.28	115696.65	187950.38	425853.18	111755.56	350728.68	341137.96	368165.8	209994.66	292889.12	513497.31	456418.21	93325.55	341137.96	253213.41	237899.7	313910.86	383800.28	313910.86	375901.76	177.53	58.71	180.02	327.56	149.12	947.83	87.03	49.56	105.15	161.02	3081.75	53.57	41.81	291.04	486.75	146.03
NR0B2	0.0	0.0	0.57	0.0	0.0	3515.68	808.0	149.12	406.31	934.76	587.13	46.84	1233.75	157.68	297.17	688.78	63.45	275.28	395.18	579.04	1104.13	176.29	511.0	318.57	368.65	647.07	220.32	249.73	339.14	279.14	111.21	173.85	2032.85	273.37	656.11	99.43	480.04	103.69	36.79	4298.64	808.0	246.28	305.55	743.43	6887.62	450.94	78.34	209.84	199.85	591.22	353.59	642.59	473.41	638.15	0.67	5.54	0.38	0.0	0.38	0.93	0.67	0.64	0.99	1.95	1.57	0.97	0.38	0.36	1.25	1.87
NRTN	4.86	18.43	1.71	0.0	0.06	21.47	69.03	26.1	38.4	30.12	44.25	19.68	48.18	46.18	61.25	13.42	15.56	16.63	40.07	47.84	69.52	15.8	37.85	49.21	49.91	18.03	57.89	21.01	40.36	17.77	8.51	48.87	26.67	29.7	95.34	19.25	36.79	52.08	27.64	50.63	103.69	40.93	43.02	14.67	66.18	45.21	7.94	40.64	17.51	54.72	22.26	75.11	34.26	24.46	5.54	14.67	5.06	1.43	3.79	2.61	1.91	15.22	6.89	8.25	13.93	11.91	9.34	13.83	14.03	12.36
NTM	22.26	6.06	4.58	0.0	0.0	432.53	1111.82	728.11	713.11	1594.73	1023.0	368.65	1015.93	1551.09	21.78	429.54	211.31	559.28	629.35	1477.58	86.43	92.7	743.43	38.67	567.1	1001.93	50.63	638.15	642.59	94.01	1427.22	909.17	1457.23	41.52	934.76	389.72	647.07	1143.1	476.71	45.85	575.03	500.46	1437.15	866.07	612.11	1008.9	50.63	583.07	50.98	947.83	718.08	1551.09	836.53	1388.16	47.5	35.0	72.01	500.46	44.89	215.77	64.34	89.51	36.79	61.25	16.51	48.87	28.86	153.34	127.0	10.31
NTN4	114.36	351.14	194.36	0.0	0.27	3168.41	5594.3	921.88	2075.59	6840.04	3349.13	995.0	3146.52	995.0	4210.15	5147.73	780.44	1651.0	1242.34	3235.01	5594.3	1709.26	2895.31	5751.61	4066.71	3280.18	3794.3	1896.65	2240.11	2720.15	1457.23	1487.87	3467.27	1529.73	3124.78	1073.91	5076.84	703.28	595.34	6079.61	3928.15	1340.84	2400.97	2303.12	1896.65	1950.0	1059.11	909.17	1757.34	4066.71	4869.99	5555.65	3614.55	2133.97	176.29	38.4	190.34	224.97	130.6	371.22	81.14	94.01	47.5	87.65	104.42	119.26	132.44	166.73	197.09	170.25
PCDH9	0.66	0.33	2.78	0.0	0.0	483.38	32.13	206.94	11.47	253.23	81.14	106.63	232.94	51.71	98.04	283.05	81.14	113.56	46.84	29.48	267.73	155.5	17.25	75.11	934.76	69.52	100.13	60.82	152.28	176.29	241.19	66.65	65.72	209.84	65.26	72.01	90.14	30.12	40.93	341.51	110.43	94.67	148.09	134.3	38.67	185.11	34.51	148.09	93.35	105.15	79.45	24.81	60.82	187.71	3.92	12.83	18.29	1.2	5.11	7.11	3.38	2.94	6.21	13.62	7.63	3.35	10.63	23.76	33.54	5.02
PCDHA4	0.0	0.0	0.3	0.0	0.14	22.75	89.51	9.48	25.72	32.13	17.25	43.32	63.0	12.27	44.25	19.68	8.25	33.3	5.92	43.94	43.63	29.48	52.82	45.85	34.26	2.07	19.39	8.58	12.36	19.82	29.7	13.22	27.44	15.8	5.82	8.65	52.08	27.44	21.94	50.98	44.25	4.94	3.89	13.03	36.79	7.4	52.08	17.38	2.05	30.12	27.05	88.88	67.12	26.86	2.27	13.12	2.41	3.92	0.52	1.62	1.11	5.87	6.73	2.32	4.9	2.25	2.39	4.98	2.2	8.92
PCDHAC1	0.0	0.0	0.0	0.0	0.0	190.34	75.64	99.43	65.72	85.82	138.1	17.51	99.43	195.72	48.87	76.17	27.64	75.11	115.16	61.68	48.18	36.01	65.26	24.99	81.14	35.5	56.28	42.71	102.97	130.6	41.22	8.71	87.65	82.87	31.9	60.82	97.36	21.01	10.55	133.36	115.16	100.13	92.05	112.77	19.39	64.34	61.68	62.56	34.75	47.17	73.54	62.56	71.5	131.51	15.22	16.15	25.17	21.63	13.32	17.13	7.75	7.82	12.36	21.63	16.75	6.26	12.64	14.45	23.42	41.52
PCDHAC2	0.0	0.32	0.0	0.0	0.0	281.09	205.5	77.79	111.21	120.1	212.78	22.92	186.4	325.29	167.9	171.45	153.34	151.22	178.77	127.89	124.37	148.09	169.07	48.87	144.01	125.24	78.34	80.57	267.73	366.09	82.29	35.5	239.52	145.02	83.45	94.67	198.47	36.79	23.42	224.97	199.85	301.33	113.56	267.73	81.71	202.66	102.97	143.01	107.38	194.36	224.97	97.36	111.99	346.29	43.02	79.45	87.65	62.56	56.28	55.49	25.54	44.57	54.72	88.88	71.0	28.04	36.53	60.82	62.12	114.36
PDZD2	67.59	29.06	2.29	0.0	0.3	470.14	1066.48	136.19	674.59	1832.01	842.36	638.15	1259.69	733.19	1397.83	684.02	163.28	529.06	547.75	728.11	1923.14	339.14	435.55	2451.44	2915.45	718.08	647.07	309.83	551.56	403.5	336.79	802.41	698.41	88.26	1397.83	103.69	624.99	995.0	51.71	713.11	1870.53	759.08	297.17	808.0	1378.57	279.14	132.44	105.15	426.57	1529.73	476.71	941.27	1437.15	808.0	37.32	18.84	41.52	90.14	40.36	78.34	19.11	18.16	16.03	20.41	45.85	24.46	35.0	31.45	31.67	21.16
