	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	GTEX.1192X.1826.SM.5GIE2	GTEX.1399S.1526.SM.5P9JC	TCGA.KL.8346.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.05.5420.01A.01R.1628.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.05.5423.01A.01R.1628.07	TCGA.44.3918.01A.01R.1107.07	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2656.01A.02R.A278.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.NPJ8.0326.SM.2D7VV	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.34.5234.01A.01R.1635.07	GTEX.13OVJ.0626.SM.5J2O2	TCGA.FL.A1YG.11A.12R.A16F.07
C8orf76	497.0	612.11	429.54	271.48	414.87	497.0	289.02	4769.75	0.0	0.67	1794.29	1819.35	1709.26	947.83	1286.18	1651.0	1001.93	470.14	305.55	775.05	493.56	368.65	769.69	444.72	483.38	529.06	191.67	500.46	1304.15	376.41	285.03
CCL4	285.03	532.74	51.35	38.12	3.66	10.16	297.17	1963.57	0.0	0.0	599.49	1733.13	1498.22	780.44	1259.69	587.13	1143.1	1529.73	571.05	669.92	571.05	353.59	842.36	432.53	1208.34	457.25	2061.24	500.46	723.08	140.04	87.03
CCL4L1	54.33	379.04	13.03	13.93	1.55	2.86	71.5	1037.29	0.0	0.0	269.6	713.11	532.74	426.57	896.64	109.66	483.38	381.68	242.88	151.22	137.14	105.15	141.02	206.94	214.27	198.47	656.11	102.97	175.07	95.34	11.73
CCL4L2	18.84	191.67	1.85	0.0	0.0	0.0	70.51	258.57	0.0	0.0	12.74	599.49	353.59	232.94	738.29	412.0	540.19	148.09	400.71	2.97	176.29	116.78	183.82	67.59	242.88	117.6	248.0	108.9	190.34	29.48	27.25
CCL8	178.77	28.24	23.42	0.84	10.08	4.9	5.15	532.74	0.0	0.0	275.28	1001.93	842.36	48.87	633.73	260.38	559.28	8.45	57.08	32.36	128.79	12.09	36.01	13.93	54.33	25.72	285.03	23.42	299.25	14.67	12.36
CCZ1	848.22	1540.37	633.73	1096.5	669.92	1037.29	361.04	1909.85	0.0	0.53	2682.69	2434.5	3168.41	2555.58	6207.38	3257.52	2468.49	1143.1	1529.73	934.76	1001.93	595.34	769.69	796.86	791.35	802.41	1030.12	890.44	2758.13	941.27	947.83
CD180	85.82	11.73	8.99	12.27	5.92	7.06	8.58	189.02	0.0	0.0	133.36	197.09	241.19	181.28	90.77	124.37	356.05	80.57	47.5	102.25	35.76	28.24	34.75	28.45	100.13	44.57	56.68	40.93	92.05	4.5	3.72
CD2	309.83	110.43	15.68	25.91	1.2	4.21	35.5	1397.83	0.0	0.27	457.25	1151.06	981.29	780.44	860.08	890.44	1199.98	397.93	205.5	145.02	249.73	244.57	1015.93	156.59	463.65	199.85	271.48	283.05	684.02	54.33	21.63
CD200R1	68.07	5.5	21.01	4.78	3.59	2.53	6.78	83.45	0.0	0.0	63.0	94.67	178.77	107.38	48.18	92.7	139.07	18.97	22.92	113.56	15.34	36.27	119.26	16.03	66.65	17.9	22.75	39.22	246.28	4.35	4.86
CD38	78.89	13.83	19.97	11.91	0.43	0.88	29.27	733.19	0.0	0.18	297.17	466.88	403.5	256.78	341.51	164.42	301.33	255.0	74.58	75.11	91.41	73.54	87.03	36.53	346.29	13.62	180.02	47.17	217.27	36.01	5.19
CD3D	269.6	212.78	21.32	20.11	1.58	6.67	67.12	2451.44	0.0	0.21	603.67	1388.16	1044.52	723.08	1674.06	2240.11	1407.55	521.76	417.77	432.53	314.17	141.02	466.88	83.45	743.43	91.41	518.15	351.14	1697.45	70.51	34.02
CD46	3395.89	5329.3	2032.85	1322.37	2255.7	3540.14	921.88	9673.69	0.0	1.0	12502.12	6745.86	9474.59	10659.59	4095.0	7130.55	5041.77	3742.05	1561.89	3901.01	5441.3	2335.28	3690.52	2047.0	3742.05	934.76	2485.67	3303.0	3303.0	2193.99	1143.1
CD48	616.37	209.84	158.79	28.45	1.6	7.57	99.43	5633.22	0.0	0.42	2018.8	1950.0	1832.01	1135.2	4123.49	6337.83	3467.27	1757.34	490.14	819.3	559.28	1242.34	1437.15	267.73	2573.36	332.14	1529.73	2335.28	4388.98	154.42	47.5
CD96	164.42	55.1	12.83	3.38	1.22	3.38	16.88	669.92	0.0	0.15	301.33	476.71	665.29	518.15	543.96	669.92	723.08	239.52	104.42	275.28	100.83	194.36	379.04	68.07	177.53	67.59	116.78	170.25	414.87	71.0	17.38
CHAC2	45.21	208.38	20.71	54.33	14.67	13.72	14.14	299.25	0.0	0.0	154.42	275.28	361.04	144.01	444.72	273.37	189.02	70.51	105.15	63.45	36.01	29.48	70.01	60.39	49.91	46.18	35.25	13.83	242.88	13.42	33.3
CKLF	1001.93	1477.58	463.65	575.03	301.33	279.14	470.14	5112.16	0.0	0.75	5872.48	2835.7	2591.27	2303.12	4769.75	7911.95	3349.13	1950.0	1331.57	1721.16	1709.26	1572.76	1572.76	647.07	2047.0	848.22	1397.83	1151.06	5633.22	780.44	743.43
CLEC2D	183.82	64.34	206.94	80.01	73.54	88.88	16.15	665.29	0.0	0.58	486.75	575.03	1030.12	728.11	660.68	543.96	679.29	97.36	92.7	251.48	137.14	232.94	525.39	146.03	171.45	155.5	202.66	381.68	438.59	81.14	81.71
COX18	202.66	142.01	122.64	72.52	346.29	450.94	218.79	395.18	0.0	0.41	480.04	334.46	384.34	441.64	258.57	444.72	389.72	158.79	85.22	366.09	100.83	176.29	195.72	108.14	155.5	134.3	81.71	239.52	466.88	115.97	147.06
CXCL10	85.22	764.36	90.14	1.68	40.93	21.16	59.55	7966.99	0.0	0.0	780.44	7130.55	7749.1	2701.35	3349.13	4450.27	3349.13	170.25	62.56	264.03	450.94	291.04	277.2	260.38	647.07	17.77	1191.69	693.58	4836.35	18.16	13.42
CXCL11	8.51	36.53	60.39	0.0	1.22	4.21	4.82	579.04	0.0	0.0	52.82	536.45	660.68	325.29	279.14	387.02	281.09	47.17	19.68	43.32	48.87	71.5	44.25	78.34	114.36	0.0	239.52	197.09	713.11	18.16	2.53
CXCL9	61.25	229.72	28.86	13.52	2.84	13.52	44.25	4268.94	0.0	0.0	99.43	5555.65	3874.05	1857.6	2148.82	1127.35	1685.71	79.45	112.77	281.09	234.57	343.89	229.72	343.89	603.67	38.4	316.37	412.0	555.41	1143.1	6.67
CXCR6	80.01	27.44	4.58	17.25	4.39	0.84	32.13	775.05	0.0	0.11	154.42	529.06	563.18	532.74	414.87	132.44	466.88	186.4	57.89	82.87	78.89	108.14	212.78	55.49	163.28	76.71	63.89	59.55	256.78	20.26	6.46
CYB5R4	323.03	336.79	124.37	256.78	68.55	119.26	72.01	1183.45	0.0	0.24	651.58	698.41	860.08	447.82	860.08	1066.48	896.64	480.04	476.71	339.14	366.09	341.51	295.11	351.14	529.06	140.04	343.89	277.2	884.29	117.6	134.3
DPM1	1037.29	1936.53	780.44	967.76	651.58	1233.75	450.94	1844.76	0.0	0.75	2434.5	1733.13	2240.11	1167.14	2701.35	3081.75	1350.18	1096.5	1991.0	1628.26	1044.52	759.08	961.07	967.76	854.13	432.53	884.29	669.92	2351.53	1119.56	974.5
EAF2	131.51	791.35	30.34	38.67	16.15	14.89	29.7	1104.13	0.0	0.21	258.57	258.57	417.77	346.29	738.29	514.56	397.93	108.14	152.28	114.36	93.35	58.3	96.68	90.77	251.48	23.59	208.38	84.63	503.95	33.54	57.08
EVI2A	242.88	55.1	64.34	45.21	2.39	6.26	9.85	2351.53	0.0	0.45	1127.35	830.75	1208.34	780.44	2193.99	1883.54	1447.15	988.12	397.93	753.83	466.88	460.44	1936.53	115.97	2287.2	130.6	373.81	571.05	1844.76	119.26	36.53
FAM26F	303.44	612.11	77.79	8.45	15.8	42.71	102.25	3395.89	0.0	0.24	463.65	2224.63	2133.97	698.41	1781.89	2148.82	1331.57	438.59	105.89	830.75	182.55	32.13	518.15	116.78	796.86	57.89	403.5	177.53	1044.52	38.67	51.71
FAM49B	1331.57	1427.22	248.0	301.33	514.56	591.22	214.27	3928.15	0.0	0.55	2835.7	4095.0	5006.93	3794.3	3874.05	4066.71	3190.46	1617.0	2075.59	2303.12	1529.73	2319.15	1477.58	890.44	2178.83	1151.06	1437.15	1322.37	2591.27	656.11	432.53
FASTKD3	229.72	162.14	125.24	90.14	81.14	165.57	106.63	447.82	332.14	559.28	612.11	575.03	713.11	633.73	819.3	890.44	444.72	190.34	258.57	387.02	180.02	153.34	239.52	181.28	236.21	205.5	189.02	159.9	674.59	136.19	209.84
FBXO4	329.84	273.37	124.37	116.78	43.02	111.99	114.36	624.99	0.0	0.38	884.29	343.89	376.41	454.09	693.58	830.75	476.71	334.46	273.37	256.78	108.14	198.47	258.57	194.36	220.32	90.77	267.73	309.83	791.35	316.37	164.42
FCHO2	463.65	122.64	348.71	201.25	80.01	127.89	48.18	785.88	283.05	80.57	684.02	514.56	1015.93	1594.73	368.65	395.18	500.46	629.35	117.6	854.13	301.33	253.23	796.86	285.03	961.07	397.93	117.6	325.29	353.59	376.41	279.14
FCRL3	18.56	11.73	1.36	0.0	0.0	0.87	3.56	33.3	0.0	0.29	22.26	30.78	23.93	65.72	31.22	55.49	80.01	16.15	10.0	35.5	6.84	51.71	90.77	32.36	54.33	4.24	57.89	161.02	22.59	5.92	0.8
FCRLA	28.86	8.19	9.7	0.0	1.19	0.41	7.69	102.97	0.0	0.04	51.35	164.42	152.28	182.55	140.04	215.77	155.5	22.1	6.46	39.22	11.64	23.93	31.0	9.7	77.25	8.85	13.03	42.71	78.34	1.07	2.58
FUT8	583.07	363.56	264.03	384.34	47.5	124.37	21.47	813.63	0.0	0.54	961.07	1857.6	2915.45	1259.69	808.0	1191.69	1457.23	332.14	275.28	713.11	137.14	181.28	444.72	356.05	514.56	260.38	94.01	226.54	830.75	163.28	397.93
GBP5	120.94	514.56	4.28	9.48	1.23	2.16	26.1	1561.89	0.0	0.38	137.14	1286.18	1769.57	1044.52	830.75	307.69	629.35	96.68	164.42	142.01	183.82	175.07	406.31	83.45	273.37	33.3	674.59	336.79	220.32	53.95	10.16
GDPD1	60.82	29.27	24.46	8.58	8.25	13.22	5.28	102.25	0.0	0.06	120.94	258.57	384.34	195.72	138.1	285.03	164.42	25.17	13.72	74.58	19.97	77.25	75.64	28.86	102.25	14.67	50.63	51.71	92.7	70.51	36.01
GOLT1B	629.35	947.83	373.81	379.04	237.86	460.44	129.69	2271.4	0.0	0.56	1369.04	1936.53	2351.53	884.29	2240.11	1477.58	1143.1	708.18	1216.75	764.36	1457.23	878.17	457.25	693.58	457.25	176.29	1001.93	521.76	2090.03	423.61	389.72
GPR174	56.28	3.69	2.51	0.0	0.0	0.0	2.73	105.15	0.0	0.16	25.35	95.34	239.52	171.45	49.56	44.57	102.97	9.85	7.75	43.94	13.32	28.04	106.63	26.86	47.84	13.72	40.36	20.11	29.06	7.22	0.0
GPR18	36.27	8.13	5.96	0.89	1.6	2.12	1.16	76.71	0.0	0.05	36.01	92.7	147.06	59.13	52.45	79.45	83.45	13.52	7.17	15.34	6.26	13.22	46.5	17.51	75.64	11.3	52.08	42.11	31.67	2.39	1.11
GSKIP	320.8	426.57	171.45	241.19	297.17	312.0	99.43	1540.37	0.0	0.28	1259.69	854.13	934.76	688.78	1295.13	1119.56	988.12	441.64	323.03	423.61	186.4	127.89	343.89	305.55	316.37	258.57	172.65	214.27	1745.2	145.02	229.72
GZMA	271.48	232.94	9.56	9.93	2.76	23.59	102.97	1457.23	0.0	0.21	400.71	2303.12	2271.4	1369.04	1529.73	2271.4	1467.37	483.38	81.71	426.57	220.32	208.38	967.76	100.13	1477.58	59.55	1870.53	825.0	1498.22	52.08	45.53
GZMK	125.24	24.28	2.25	19.82	0.0	3.32	49.56	297.17	0.0	0.21	217.27	323.03	320.8	392.44	567.1	633.73	620.67	187.71	13.72	1529.73	92.7	208.38	733.19	72.01	264.03	15.68	60.82	31.9	591.22	6.36	14.56
HBB	469249.9	1012856.65	378516.38	1135.2	536.45	1427.22	18052.61	2240.11	0.0	0.0	7180.15	2664.15	2875.3	9945.68	2400.97	7130.55	5183.54	466008.55	828417.36	649962.87	783730.52	1703415.74	3313672.43	462789.59	475800.4	386469.83	1299926.74	1336472.68	3982.99	422911.59	915.51
IFNG	4.7	24.46	0.0	0.0	0.0	0.0	0.0	212.78	0.0	0.0	6.36	167.9	275.28	85.22	118.43	69.52	57.08	2.18	5.82	28.04	3.79	16.15	13.22	8.65	114.36	0.0	111.99	12.64	28.65	3.35	0.0
IGSF6	170.25	69.03	22.1	6.31	2.81	11.38	16.27	2956.17	0.0	0.07	1135.2	1066.48	1572.76	1407.55	669.92	860.08	1477.58	785.88	305.55	674.59	748.61	309.83	409.15	228.13	1159.07	116.78	743.43	287.01	693.58	32.36	17.38
IL10	54.33	24.46	17.0	18.7	0.0	0.0	1.73	265.87	0.0	0.18	121.79	150.17	120.94	53.19	144.01	87.65	171.45	24.11	59.97	37.32	32.82	64.34	14.35	5.36	56.68	12.74	63.0	16.88	228.13	8.13	1.69
JAKMIP1	7.28	9.06	14.03	13.03	0.0	2.14	3.0	29.06	0.0	0.21	11.47	74.06	88.88	53.19	23.93	26.28	45.53	10.63	8.85	14.24	4.94	14.89	21.78	13.62	15.11	36.53	20.11	4.35	20.71	3.96	1.55
KLRC1	28.24	19.97	2.41	2.41	0.0	1.69	6.21	124.37	0.0	0.21	69.03	211.31	289.02	130.6	208.38	124.37	26.28	108.9	11.3	74.06	12.09	9.41	63.89	24.99	39.79	6.73	54.72	39.22	103.69	4.7	3.76
KPNA7	3.56	9.13	0.0	0.0	0.0	1.25	0.57	34.26	0.0	0.04	71.0	158.79	101.54	75.64	137.14	13.83	8.92	3.44	69.03	0.61	39.79	4.78	45.53	1.13	3.99	8.06	23.42	2.32	32.13	0.0	0.0
LACTB2	429.54	473.41	131.51	267.73	332.14	728.11	511.0	2664.15	0.0	0.0	2895.31	1388.16	1870.53	3665.02	2664.15	2240.11	934.76	791.35	575.03	599.49	334.46	303.44	532.74	432.53	417.77	327.56	559.28	387.02	1023.0	264.03	201.25
LY9	73.03	22.43	2.89	6.67	0.4	0.84	31.67	204.07	0.0	0.28	96.01	202.66	167.9	223.41	262.2	204.07	287.01	51.71	32.36	80.01	67.59	96.01	157.68	36.27	135.24	46.5	51.71	108.9	148.09	26.86	5.32
MEP1A	0.0	0.67	2.01	0.0	0.0	0.0	0.0	8.13	0.0	0.01	5.15	8.65	8.51	5.28	1.06	5.5	5.19	1.41	1.85	0.0	5.06	1.99	0.0	0.0	3.59	0.0	0.4	0.42	1.69	0.0	0.0
METTL2A	279.14	327.56	135.24	199.85	175.07	164.42	193.01	551.56	0.0	0.41	450.94	1030.12	1059.11	579.04	674.59	728.11	392.44	241.19	397.93	152.28	221.86	185.11	176.29	236.21	239.52	185.11	198.47	154.42	497.0	190.34	189.02
MILR1	75.11	10.08	63.89	36.01	4.5	2.58	15.11	205.5	0.0	0.39	169.07	215.77	232.94	450.94	212.78	256.78	358.54	176.29	275.28	162.14	49.56	190.34	363.56	64.8	130.6	78.89	241.19	339.14	289.02	52.45	6.57
MRPL13	854.13	1674.06	555.41	624.99	860.08	1322.37	629.35	4481.23	0.0	0.37	3716.2	2303.12	2976.74	2119.22	4066.71	4769.75	1594.73	1030.12	1313.23	1051.79	507.46	493.56	579.04	872.1	854.13	684.02	684.02	591.22	3928.15	642.59	567.1
MRPS21	1498.22	1870.53	1331.57	1561.89	890.44	738.29	1008.9	2148.82	0.0	0.89	3168.41	2796.65	2627.46	1583.71	4123.49	3690.52	1832.01	1551.09	2075.59	813.63	759.08	1551.09	1594.73	995.0	1417.35	1111.82	1277.29	1437.15	2895.31	2701.35	2090.03
MS4A6A	1991.0	325.29	830.75	429.54	17.51	52.45	842.36	6745.86	0.0	0.35	4639.29	5479.15	4181.07	4512.4	6887.62	4972.34	8191.0	3768.09	1397.83	3639.7	748.61	1991.0	5751.61	1359.57	7485.11	3060.45	2555.58	1844.76	6652.97	567.1	220.32
MTERFD1	447.82	540.19	363.56	305.55	470.14	521.76	201.25	1322.37	0.0	0.13	808.0	842.36	848.22	579.04	954.43	1111.82	486.75	314.17	571.05	620.67	314.17	271.48	389.72	438.59	381.68	414.87	543.96	283.05	669.92	295.11	400.71
NAT1	529.06	74.58	39.22	25.35	83.45	101.54	151.22	265.87	0.0	0.0	309.83	262.2	339.14	287.01	170.25	389.72	253.23	187.71	231.32	108.9	27.05	143.01	141.02	177.53	155.5	90.14	89.51	92.7	341.51	42.41	81.14
NPL	307.69	503.95	129.69	56.68	12.45	27.84	221.86	1794.29	0.0	0.35	928.3	1051.79	1143.1	995.0	708.18	551.56	1259.69	1023.0	836.53	934.76	334.46	414.87	435.55	211.31	921.88	329.84	371.22	400.71	1073.91	121.79	73.03
NUP37	426.57	808.0	156.59	234.57	297.17	470.14	167.9	1183.45	0.0	0.0	753.83	547.75	679.29	595.34	1277.29	830.75	638.15	297.17	450.94	595.34	176.29	201.25	293.07	318.57	450.94	248.0	334.46	253.23	1059.11	320.8	387.02
ORMDL1	1073.91	1167.14	1350.18	1030.12	314.17	379.04	314.17	1781.89	0.0	0.38	1583.71	1639.59	2133.97	1183.45	1950.0	2739.08	1457.23	967.76	947.83	1639.59	723.08	909.17	1427.22	723.08	860.08	825.0	759.08	1498.22	1437.15	1225.22	884.29
P2RY10	71.5	12.0	3.72	10.16	0.0	0.41	10.79	218.79	0.0	0.14	124.37	204.07	309.83	249.73	194.36	151.22	269.6	41.22	31.0	30.12	70.51	39.22	149.12	74.06	132.44	18.16	42.71	66.65	109.66	13.72	2.27
PDCD10	1081.39	5041.77	808.0	825.0	669.92	934.76	190.34	2451.44	0.0	0.87	2287.2	2047.0	2591.27	1259.69	3212.66	2895.31	1936.53	1378.57	1135.2	1572.76	785.88	647.07	1277.29	1225.22	1757.34	198.47	1081.39	656.11	5112.16	842.36	759.08
PFN4	15.56	25.91	16.27	14.24	17.51	8.38	1.19	21.63	0.0	0.21	66.18	31.22	50.27	60.39	49.91	44.57	25.17	12.45	3.86	12.27	13.32	0.0	8.51	10.39	5.54	3.14	21.78	32.36	47.17	9.78	10.96
PLEKHF2	563.18	473.41	178.77	312.0	163.28	197.09	96.68	525.39	0.0	0.38	529.06	660.68	934.76	647.07	665.29	629.35	620.67	518.15	151.22	503.95	295.11	323.03	575.03	409.15	884.29	183.82	376.41	371.22	532.74	127.0	127.0
PLGRKT	514.56	251.48	256.78	279.14	447.82	769.69	327.56	1066.48	0.0	0.39	1304.15	2835.7	2664.15	1447.15	1350.18	1208.34	1104.13	698.41	890.44	603.67	368.65	441.64	532.74	723.08	493.56	361.04	423.61	486.75	1733.13	543.96	567.1
RAD1	412.0	642.59	283.05	426.57	165.57	239.52	119.26	642.59	620.67	651.58	1066.48	780.44	759.08	947.83	819.3	1259.69	733.19	409.15	366.09	197.09	476.71	316.37	409.15	525.39	532.74	409.15	423.61	316.37	866.07	253.23	303.44
RBM34	1685.71	4038.61	860.08	1037.29	325.29	329.84	457.25	1427.22	0.0	0.77	2061.24	2178.83	2032.85	1745.2	1806.78	2400.97	1427.22	1143.1	2178.83	1397.83	915.51	921.88	1304.15	1540.37	1183.45	1529.73	1628.26	954.43	1498.22	947.83	1208.34
RBM48	297.17	195.72	251.48	180.02	140.04	164.42	54.72	265.87	0.0	0.0	307.69	341.51	483.38	303.44	450.94	327.56	211.31	167.9	130.6	198.47	133.36	148.09	221.86	289.02	327.56	251.48	186.4	165.57	287.01	175.07	158.79
RGS1	466.88	802.41	1378.57	120.94	9.7	43.63	77.79	2287.2	0.0	0.44	9151.82	2816.11	5041.77	13306.94	10585.95	14867.79	7180.15	2319.15	1059.11	2875.3	2520.38	1119.56	3982.99	928.3	3146.52	435.55	808.0	341.51	7485.11	366.09	131.51
RGS20	6.62	77.25	3.03	0.0	2.41	0.85	0.0	15.91	0.0	0.26	13.93	208.38	229.72	187.71	279.14	151.22	14.78	17.51	0.23	0.0	9.78	0.0	8.06	4.54	10.63	1.39	5.87	4.9	262.2	63.0	6.21
RNASE6	607.87	73.54	215.77	206.94	9.63	30.34	120.94	1721.16	0.0	0.07	1477.58	819.3	638.15	878.17	1745.2	1378.57	1286.18	1183.45	297.17	460.44	251.48	417.77	575.03	212.78	1167.14	185.11	426.57	351.14	1467.37	172.65	57.89
RNF139	884.29	480.04	353.59	503.95	297.17	341.51	295.11	660.68	0.0	0.52	1096.5	1023.0	1159.07	1359.57	1175.27	1023.0	836.53	629.35	343.89	381.68	575.03	239.52	507.46	444.72	368.65	171.45	376.41	305.55	941.27	303.44	607.87
RNF32	52.82	115.97	45.85	18.03	11.64	13.52	44.89	58.3	0.0	0.34	215.77	137.14	148.09	73.03	120.1	156.59	50.98	43.94	24.81	32.59	25.54	32.82	132.44	45.53	33.54	24.28	17.9	47.17	111.99	66.18	30.56
RNFT1	406.31	182.55	173.85	120.1	33.3	85.22	138.1	1088.92	0.0	0.2	1104.13	785.88	1059.11	511.0	1081.39	1639.59	842.36	301.33	281.09	318.57	183.82	140.04	285.03	260.38	403.5	246.28	195.72	204.07	759.08	182.55	123.5
RP11-382J12.1	2.14	1.87	9.34	0.0	3.69	8.13	2.27	24.28	0.0	0.15	17.9	25.91	82.29	74.58	23.25	46.18	36.27	0.0	6.57	10.79	0.0	7.4	6.78	3.63	5.41	15.11	0.52	0.04	39.22	1.19	0.0
RWDD2A	98.73	28.45	135.24	88.88	42.41	48.18	37.32	285.03	0.0	0.35	182.55	237.86	249.73	104.42	228.13	277.2	242.88	90.77	75.11	110.43	77.79	64.34	110.43	55.89	108.14	91.41	61.68	95.34	234.57	92.7	121.79
SIRPG	41.81	35.0	2.76	5.23	0.0	0.85	5.32	197.09	0.0	0.1	92.7	253.23	132.44	87.65	110.43	86.43	154.42	29.27	9.48	68.07	5.28	44.89	34.02	85.22	58.3	22.59	46.5	52.82	92.7	26.28	4.28
SIT1	62.56	31.45	3.41	4.66	0.0	0.41	4.62	532.74	0.0	0.1	181.28	351.14	161.02	105.89	409.15	490.14	429.54	120.1	17.0	26.86	42.71	55.89	132.44	55.1	133.36	49.91	102.25	109.66	387.02	14.24	12.27
SLAMF1	37.32	8.65	8.19	3.08	0.0	0.0	2.03	376.41	0.0	0.21	79.45	172.65	164.42	139.07	173.85	87.03	170.25	42.41	35.0	11.91	36.01	71.5	46.18	16.27	41.81	26.28	57.08	32.13	84.04	9.41	2.63
SLAMF7	297.17	183.82	8.25	1.95	1.19	5.41	29.06	7032.37	0.0	0.23	318.57	2287.2	2434.5	1268.46	2485.67	1066.48	1769.57	221.86	61.68	152.28	135.24	125.24	214.27	47.84	529.06	84.63	279.14	202.66	1030.12	21.32	13.12
SLAMF8	50.63	90.77	51.35	35.5	4.58	10.39	21.32	2004.85	0.0	0.0	384.34	1277.29	460.44	389.72	785.88	624.99	872.1	802.41	220.32	295.11	220.32	199.85	291.04	138.1	518.15	291.04	212.78	152.28	476.71	59.97	10.88
