	GTEX.XUZC.1626.SM.4BRVP	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.BA.5557.01A.01R.1514.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13O61.1726.SM.5KM46	GTEX.13QJC.0826.SM.5RQKC	GTEX.13W46.0926.SM.5LU3T	GTEX.V1D1.0926.SM.4JBHQ	GTEX.13QBU.1626.SM.5LU4S
COPS7B	995.0	1119.56	902.89	273.37	532.74	493.56	559.28	457.25	353.59	0.0	0.57	785.88	981.29	1127.35	1127.35	830.75
COQ10A	414.87	470.14	624.99	53.57	165.57	107.38	163.28	169.07	249.73	0.0	0.33	341.51	507.46	521.76	638.15	384.34
CPA2	7.51	9.27	6.36	1.64	0.64	0.73	0.0	0.0	0.0	0.0	0.26	1.87	2.94	8.92	10.31	7.94
CRYGS	131.51	109.66	94.01	6.94	13.03	2.92	35.5	23.08	15.56	0.0	0.84	27.44	152.28	231.32	185.11	59.13
DCAF4L1	9.2	4.94	2.68	1.04	0.55	0.0	2.25	0.79	0.71	0.0	0.3	1.5	11.13	6.11	1.85	1.66
DDX17	9740.98	6516.03	6840.04	2591.27	2591.27	2434.5	4481.23	2835.7	3589.58	2287.2	1896.65	4836.35	9344.14	10733.74	13306.94	7130.55
DFFB	191.67	178.77	173.85	23.93	59.13	39.5	67.12	55.89	54.33	0.0	0.2	66.65	170.25	205.5	152.28	113.56
DPH7	848.22	780.44	718.08	169.07	214.27	103.69	262.2	223.41	301.33	0.0	0.93	435.55	954.43	1143.1	1081.39	656.11
DUS3L	791.35	791.35	928.3	339.14	429.54	299.25	329.84	279.14	409.15	0.0	0.68	521.76	620.67	780.44	1369.04	595.34
ELMOD3	961.07	358.54	426.57	79.45	215.77	120.94	239.52	182.55	301.33	0.0	0.65	450.94	624.99	808.0	660.68	376.41
EME2	441.64	181.28	138.1	20.71	69.52	36.27	209.84	44.57	102.97	118.43	120.1	84.63	155.5	325.29	400.71	141.02
ENTHD2	836.53	490.14	426.57	183.82	173.85	94.67	320.8	182.55	256.78	0.0	0.99	450.94	848.22	1191.69	1111.82	348.71
EWSR1	4181.07	4239.45	4328.55	3349.13	3419.52	2434.5	3212.66	3564.78	2895.31	3639.7	2240.11	3768.09	4388.98	4038.61	4671.57	4769.75
FAM229A	198.47	356.05	244.57	7.57	42.11	26.1	72.01	34.75	33.3	0.0	0.71	78.89	265.87	612.11	387.02	125.24
FASTKD1	460.44	387.02	232.94	172.65	253.23	148.09	193.01	232.94	239.52	0.0	0.16	316.37	559.28	738.29	669.92	323.03
FBXL6	753.83	426.57	297.17	285.03	231.32	246.28	356.05	209.84	363.56	0.0	0.85	318.57	305.55	470.14	429.54	305.55
FBXL8	303.44	483.38	444.72	63.45	153.34	60.82	387.02	94.01	194.36	0.0	0.88	417.77	309.83	497.0	480.04	178.77
FLJ00104	94.67	52.08	36.79	4.7	20.56	28.04	33.06	17.0	18.16	0.0	0.62	28.45	122.64	101.54	68.55	35.76
GOLGA8A	1870.53	1561.89	2032.85	12.83	82.87	41.81	848.22	47.84	318.57	0.0	1.73	332.14	2502.97	3325.99	5913.33	1529.73
GSDMB	603.67	246.28	239.52	13.52	52.45	18.84	61.25	36.53	11.47	0.0	1.1	71.5	723.08	547.75	358.54	142.01
JMJD7-PLA2G4B	183.82	118.43	139.07	56.68	11.13	4.66	52.08	16.51	31.0	0.0	1.06	90.77	289.02	460.44	379.04	57.89
KAT2A	1397.83	1037.29	890.44	260.38	231.32	392.44	567.1	244.57	543.96	0.0	1.07	536.45	947.83	1674.06	1427.22	967.76
KCNV2	2.43	0.39	1.38	0.52	0.0	0.36	0.39	1.51	0.68	0.0	0.0	0.88	3.2	1.31	2.48	1.27
KIAA0430	769.69	836.53	1023.0	316.37	518.15	435.55	587.13	507.46	591.22	0.0	0.6	595.34	878.17	896.64	974.5	660.68
LAT	361.04	197.09	145.02	285.03	120.94	112.77	140.04	143.01	75.64	0.0	0.79	133.36	5517.27	902.89	1127.35	511.0
LRRC37A	43.63	36.79	17.38	8.45	24.11	12.09	25.72	12.0	15.11	0.0	0.31	22.92	44.57	27.64	50.27	18.43
LRRC37A2	373.81	323.03	130.6	43.94	204.07	76.17	158.79	134.3	107.38	0.0	0.27	204.07	679.29	389.72	447.82	223.41
LRRC39	20.71	23.93	21.32	1.35	5.63	2.51	6.01	5.36	5.15	0.0	0.56	9.63	17.64	27.25	22.92	26.86
LUC7L	1857.6	2133.97	1977.24	232.94	373.81	476.71	1340.84	595.34	540.19	0.0	1.11	902.89	2720.15	3901.01	4239.45	1781.89
MASP2	62.56	21.63	39.79	2.81	9.06	2.46	15.8	5.68	8.38	0.0	0.25	19.39	61.68	40.93	48.18	37.32
MIB2	665.29	813.63	928.3	764.36	299.25	438.59	473.41	348.71	579.04	0.0	1.16	555.41	1175.27	2224.63	2163.77	1008.9
MTG1	1572.76	1313.23	1104.13	483.38	559.28	281.09	543.96	500.46	848.22	0.0	0.43	825.0	934.76	836.53	921.88	447.82
MTHFSD	579.04	429.54	583.07	115.97	231.32	172.65	381.68	180.02	241.19	0.0	0.05	406.31	312.0	414.87	638.15	323.03
MUM1	1331.57	1073.91	1183.45	167.9	444.72	356.05	547.75	587.13	529.06	366.09	780.44	665.29	884.29	1051.79	884.29	1023.0
MZF1	688.78	638.15	775.05	63.89	185.11	149.12	353.59	201.25	320.8	0.0	1.01	417.77	796.86	1417.35	2178.83	559.28
NBPF10	830.75	785.88	1059.11	214.27	208.38	258.57	463.65	397.93	334.46	0.0	0.96	353.59	759.08	669.92	642.59	543.96
NBPF11	384.34	915.51	808.0	84.04	202.66	143.01	265.87	218.79	264.03	0.0	0.71	320.8	791.35	780.44	733.19	454.09
NCBP1	392.44	223.41	346.29	239.52	191.67	175.07	205.5	214.27	199.85	0.0	0.65	312.0	417.77	339.14	400.71	417.77
NOL8	555.41	563.18	529.06	156.59	343.89	132.44	256.78	214.27	251.48	0.0	0.58	447.82	769.69	872.1	825.0	463.65
NPHP3	251.48	371.22	392.44	62.12	87.65	101.54	215.77	107.38	143.01	0.0	0.64	177.53	890.44	299.25	642.59	299.25
NPIPA7	1037.29	1628.26	2451.44	150.17	414.87	190.34	218.79	896.64	435.55	242.88	665.29	387.02	595.34	2004.85	2895.31	1519.15
NSUN6	224.97	198.47	218.79	41.22	90.77	57.49	108.9	138.1	120.1	0.0	0.29	170.25	231.32	309.83	397.93	151.22
NXF1	2739.08	2485.67	2591.27	703.28	890.44	764.36	1143.1	1037.29	1605.83	0.0	0.95	1870.53	2875.3	4152.18	4388.98	1407.55
OGFOD2	555.41	547.75	780.44	212.78	287.01	199.85	387.02	232.94	441.64	0.0	0.24	480.04	559.28	620.67	620.67	376.41
OR4F16	1.89	2.2	1.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	1.03	0.93	0.07
OR4F29	1.99	2.34	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.57	1.03	0.92	0.08
OR4F3	1.99	2.34	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.57	1.03	0.92	0.08
PARP6	2032.85	1331.57	1015.93	470.14	988.12	242.88	775.05	525.39	961.07	753.83	318.57	1008.9	1733.13	2645.74	2520.38	967.76
PILRB	2004.85	3928.15	1225.22	51.71	142.01	81.71	435.55	249.73	450.94	0.0	1.31	642.59	1378.57	6121.9	3614.55	595.34
PNN	1498.22	1151.06	1119.56	279.14	559.28	878.17	941.27	620.67	674.59	575.03	163.28	967.76	2193.99	2148.82	2178.83	1857.6
PPID	813.63	775.05	753.83	305.55	438.59	571.05	295.11	429.54	693.58	0.0	0.07	674.59	780.44	830.75	813.63	825.0
PPWD1	775.05	603.67	1073.91	202.66	262.2	108.9	368.65	327.56	248.0	0.0	0.6	429.54	1096.5	791.35	1199.98	753.83
PRICKLE4	674.59	647.07	414.87	50.98	140.04	55.89	194.36	120.1	159.9	0.0	0.73	279.14	336.79	909.17	638.15	138.1
PRR12	334.46	353.59	366.09	147.06	214.27	209.84	255.0	193.01	323.03	0.0	0.49	289.02	248.0	291.04	305.55	275.28
PRSS37	2.71	1.38	1.06	0.0	0.0	1.04	0.74	0.0	0.0	0.0	0.0	0.04	2.43	1.17	3.44	0.0
PYGO2	1088.92	819.3	830.75	277.2	571.05	432.53	497.0	414.87	624.99	0.0	0.67	718.08	775.05	954.43	813.63	591.22
QTRT1	995.0	1781.89	1674.06	457.25	723.08	723.08	1066.48	616.37	1127.35	0.0	0.99	1073.91	1662.49	2645.74	3280.18	1697.45
RBM14	698.41	842.36	748.61	420.68	429.54	536.45	532.74	500.46	733.19	0.0	0.16	595.34	947.83	1304.15	1199.98	764.36
RBM26	718.08	587.13	693.58	218.79	303.44	265.87	376.41	348.71	397.93	229.72	226.54	457.25	733.19	669.92	890.44	647.07
REV1	1001.93	728.11	708.18	171.45	325.29	183.82	339.14	248.0	323.03	0.0	0.8	591.22	928.3	698.41	967.76	587.13
RGL2	2664.15	2384.37	2163.77	698.41	1407.55	902.89	1277.29	988.12	753.83	0.0	0.99	1857.6	2119.22	3103.19	3419.52	909.17
RP11-5A19.5	85.82	128.79	138.1	0.0	5.19	3.72	57.49	11.82	36.53	0.0	1.19	66.18	122.64	234.57	368.65	35.25
SDCCAG3	1073.91	607.87	629.35	384.34	432.53	400.71	368.65	450.94	441.64	0.0	0.71	684.02	1073.91	954.43	902.89	500.46
SF3B1	5711.87	6207.38	5711.87	1870.53	2645.74	3039.3	3665.02	2956.17	3690.52	0.0	1.2	4419.52	8305.36	6121.9	5555.65	5403.7
SLC16A8	78.89	249.73	87.65	2.66	11.47	0.74	9.63	13.93	9.13	0.0	0.54	33.3	36.27	41.81	34.51	10.55
SLC22A14	5.92	4.5	2.51	1.81	1.68	0.38	1.13	2.27	4.03	0.0	0.22	1.31	2.63	3.03	1.99	0.11
SPRN	110.43	102.25	63.89	12.55	18.7	8.38	22.92	21.01	51.35	0.0	0.39	63.45	77.25	114.36	89.51	9.85
SRRM5	31.67	24.11	29.48	0.73	3.72	3.86	7.75	6.06	4.39	0.0	0.37	13.52	25.35	30.56	31.67	8.06
SRSF6	3794.3	2573.36	2400.97	599.49	1977.24	607.87	1417.35	1322.37	1417.35	1498.22	33922.56	2090.03	4268.94	4481.23	4769.75	1832.01
TAF6L	595.34	493.56	555.41	103.69	236.21	148.09	341.51	237.86	420.68	0.0	0.35	361.04	466.88	514.56	896.64	551.56
TARBP1	785.88	660.68	909.17	121.79	221.86	72.52	490.14	171.45	236.21	0.0	0.43	346.29	521.76	389.72	830.75	753.83
TAS2R10	20.11	10.31	4.66	0.0	0.0	1.06	1.87	0.78	0.36	0.0	0.17	4.78	3.96	6.73	8.06	4.66
TAS2R5	70.01	25.54	35.76	0.84	3.11	16.39	14.14	8.38	3.08	0.0	0.64	16.51	65.72	43.32	40.36	5.19
TCEANC	108.14	92.7	92.05	23.76	35.5	29.7	33.06	38.12	43.94	0.0	0.0	59.13	123.5	145.02	111.21	57.49
THEM4	872.1	579.04	624.99	54.72	241.19	214.27	265.87	251.48	400.71	255.0	651.58	395.18	660.68	860.08	947.83	384.34
TRIM27	1427.22	1540.37	1628.26	301.33	808.0	616.37	753.83	603.67	813.63	0.0	0.73	890.44	1225.22	1088.92	1015.93	571.05
TRMT44	559.28	420.68	525.39	65.26	150.17	79.45	129.69	115.16	119.26	0.0	0.45	197.09	291.04	376.41	638.15	218.79
TSC2	2032.85	2451.44	2287.2	651.58	1268.46	743.43	1561.89	785.88	1066.48	587.13	728.11	1331.57	1561.89	2400.97	2956.17	1447.15
TSPYL4	642.59	511.0	571.05	123.5	253.23	273.37	208.38	285.03	457.25	0.0	0.49	514.56	444.72	620.67	511.0	514.56
TUBGCP6	1111.82	934.76	1167.14	206.94	312.0	199.85	638.15	312.0	514.56	0.0	1.22	595.34	1037.29	1295.13	1617.0	563.18
UBQLNL	15.8	6.89	9.13	0.0	2.27	4.5	5.54	8.99	2.39	0.0	0.27	11.91	17.9	23.42	21.78	11.21
USP21	921.88	954.43	878.17	177.53	387.02	444.72	353.59	387.02	599.49	0.0	0.8	764.36	860.08	1111.82	1015.93	698.41
USP50	13.22	3.35	2.76	0.0	0.0	0.0	4.03	3.35	1.0	0.0	0.01	2.73	2.81	4.66	11.21	0.0
WFDC2	3060.45	1.736886224E7	2.009035788E7	14.67	336441.4	12076.21	119776.72	131982.68	18819.27	0.0	0.65	23820.89	3794.3	5633.22	7695.57	2965819.8
WNT10B	26.1	39.79	14.35	4.62	7.82	1.06	5.54	1.53	0.69	0.0	0.61	14.03	33.78	11.91	17.0	3.82
ZBTB1	796.86	698.41	551.56	316.37	412.0	291.04	417.77	366.09	412.0	0.0	0.27	480.04	878.17	909.17	753.83	543.96
ZC3H11A	2855.44	1628.26	2090.03	836.53	1044.52	1096.5	1066.48	1008.9	1096.5	934.76	122.64	1561.89	1757.34	2400.97	2061.24	1199.98
ZNF302	759.08	775.05	872.1	44.25	264.03	148.09	379.04	265.87	285.03	113.56	1721.16	483.38	775.05	860.08	872.1	738.29
ZNF343	403.5	151.22	127.0	80.57	101.54	129.69	136.19	90.77	151.22	0.0	0.71	182.55	177.53	209.84	237.86	218.79
ZNF397	713.11	255.0	432.53	64.34	172.65	76.17	120.1	189.02	301.33	0.0	0.52	299.25	529.06	665.29	486.75	211.31
ZNF506	733.19	444.72	320.8	90.14	152.28	111.99	336.79	186.4	172.65	0.0	0.53	273.37	514.56	543.96	486.75	269.6
ZNF547	151.22	136.19	158.79	10.47	24.99	20.11	46.5	65.72	20.86	0.0	0.0	50.27	89.51	159.9	197.09	41.52
ZNF692	1806.78	1037.29	769.69	92.05	228.13	127.89	595.34	198.47	400.71	0.0	1.11	612.11	1191.69	1857.6	1651.0	603.67
ZNF814	1135.2	1088.92	1685.71	46.5	323.03	62.56	265.87	314.17	53.95	0.0	0.74	346.29	802.41	1081.39	995.0	264.03
ZRANB2	1896.65	1023.0	1104.13	309.83	435.55	395.18	698.41	457.25	397.93	0.0	0.85	884.29	2133.97	1467.37	2178.83	1896.65
ZSCAN30	470.14	217.27	447.82	45.53	140.04	72.52	108.9	152.28	170.25	0.0	0.59	249.73	403.5	454.09	457.25	181.28
ZSWIM8	3589.58	3589.58	2271.4	1167.14	2133.97	1794.29	1369.04	1551.09	1857.6	674.59	842.36	2224.63	3018.3	4512.4	3955.48	2075.59
