	TCGA.KM.8639.01A.11R.2403.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CJ.5686.01A.11R.1672.07	TCGA.B0.5707.01A.11R.1541.07	TCGA.A3.3363.01A.01R.0864.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.CW.5591.01A.01R.1541.07	TCGA.CJ.5680.11A.01R.1541.07	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B0.5694.11A.01R.1541.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.CW.5584.11A.01R.1541.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.GL.7773.01A.11R.A32Z.07	TCGA.2Z.A9J8.01A.11R.A42S.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.4A.A93W.01A.11R.A37K.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.BQ.5879.01A.11R.1592.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.DZ.6135.01A.11R.1965.07	TCGA.UZ.A9PP.01A.11R.A42S.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.5P.A9KA.01A.11R.A42S.07	TCGA.MH.A855.01A.11R.A355.07	TCGA.2Z.A9JL.01A.11R.A42S.07	TCGA.J7.6720.01A.11R.2139.07	TCGA.HE.A5NH.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.DZ.6132.01A.11R.1965.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.UZ.A9PN.01A.11R.A38C.07	TCGA.A4.7915.01A.11R.2204.07	TCGA.P4.A5E7.01A.31R.A28H.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.A4.7997.01A.11R.2204.07	TCGA.V9.A7HT.01A.11R.A33Z.07	TCGA.B1.7332.01A.11R.A32Z.07	TCGA.A4.7734.01A.11R.A32Z.07	TCGA.G7.6792.01A.21R.1965.07	TCGA.BQ.5878.01A.11R.1592.07	TCGA.MH.A561.01A.11R.A26U.07	TCGA.GL.A9DC.01A.11R.A37K.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.BQ.5883.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.EV.5901.01A.11R.1592.07	TCGA.BQ.7053.01A.11R.1965.07	TCGA.5P.A9K4.01A.11R.A42S.07	TCGA.SX.A71S.01A.11R.A33Z.07	TCGA.G7.A8LE.01A.11R.A36F.07	TCGA.2Z.A9J3.01A.12R.A38C.07	TCGA.A4.8312.01A.11R.2404.07	TCGA.B9.4116.01A.02R.1351.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.O9.A75Z.01A.11R.A33Z.07	TCGA.2Z.A9JN.01A.21R.A42S.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.5888.11A.01R.1592.07	TCGA.GL.7966.11A.01R.2204.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.O8.A75V.01A.11R.A32O.07	GTEX.YB5E.0326.SM.5IFHU
BMPR2	194.36	825.0	591.22	182.55	260.38	273.37	703.28	567.1	633.73	638.15	1583.71	514.56	872.1	379.04	154.42	212.78	182.55	139.07	518.15	271.48	234.57	579.04	114.36	220.32	395.18	239.52	329.84	144.01	248.0	118.43	297.17	189.02	220.32	269.6	309.83	139.07	373.81	62.56	260.38	376.41	273.37	371.22	318.57	215.77	305.55	460.44	366.09	299.25	212.78	293.07	73.03	403.5	212.78	191.67	476.71	248.0	149.12	373.81	403.5	125.24	232.94	376.41	132.44	164.42	224.97	242.88	253.23	181.28	457.25	102.25	329.84	518.15	98.73	58.3	61.25	57.89	72.01	47.5	154.42
BTBD8	8.99	37.32	37.85	12.0	11.04	2.97	35.76	24.63	28.45	34.02	59.97	25.35	36.53	14.45	10.39	2.53	7.06	4.66	43.94	6.89	10.16	24.99	1.51	17.64	37.05	11.13	18.29	1.46	6.57	2.05	22.43	6.36	8.65	4.1	22.26	1.89	25.35	8.25	22.59	25.54	9.7	23.59	24.99	11.55	3.41	38.4	21.63	44.57	1.43	21.94	16.03	41.22	9.85	8.99	45.21	11.82	9.34	23.76	19.53	6.73	9.41	10.63	9.06	0.0	4.7	21.94	30.12	1.79	17.77	1.08	14.35	31.45	2.89	0.0	0.0	0.67	3.47	0.72	8.58
C14orf37	125.24	144.01	54.33	109.66	121.79	95.34	392.44	450.94	860.08	785.88	116.78	366.09	314.17	178.77	185.11	102.97	82.29	59.55	232.94	157.68	76.71	129.69	13.42	104.42	193.01	66.65	136.19	13.83	104.42	72.01	114.36	127.89	82.87	126.12	147.06	82.87	73.03	23.25	87.03	102.97	108.9	239.52	114.36	63.89	85.22	145.02	164.42	154.42	172.65	154.42	88.88	127.0	85.22	143.01	145.02	139.07	100.83	136.19	176.29	132.44	78.89	44.25	127.0	90.14	122.64	87.65	112.77	152.28	87.65	95.34	226.54	231.32	6.89	2.36	13.32	1.46	5.19	10.55	39.22
CCDC134	109.66	117.6	114.36	123.5	75.11	83.45	136.19	108.14	131.51	117.6	96.68	127.0	108.14	127.89	97.36	71.0	82.87	81.71	135.24	87.03	53.95	156.59	53.95	74.06	151.22	99.43	92.7	30.78	31.9	74.06	87.65	92.05	82.87	82.29	111.21	72.52	149.12	32.13	90.14	167.9	65.26	120.94	133.36	73.54	52.08	136.19	118.43	119.26	84.04	91.41	38.95	137.14	40.93	56.28	151.22	105.15	112.77	83.45	98.04	70.01	115.16	77.79	90.77	96.01	58.71	87.65	125.24	60.39	122.64	49.91	120.1	116.78	91.41	76.17	62.56	52.08	53.95	73.54	85.82
CDC14A	25.72	193.01	90.77	41.22	81.71	24.28	137.14	182.55	299.25	318.57	118.43	143.01	133.36	49.21	37.32	22.59	42.71	43.02	118.43	36.79	49.91	75.11	14.03	36.01	59.97	57.49	78.89	23.93	20.11	23.76	62.56	45.85	46.84	48.18	68.07	16.15	57.89	21.47	70.01	54.72	51.35	79.45	60.82	50.27	26.28	98.04	39.22	54.72	40.07	57.89	21.47	62.56	22.92	50.63	80.57	43.63	24.46	80.57	107.38	31.22	60.39	87.65	28.04	21.63	51.71	64.8	34.75	19.25	44.25	14.89	118.43	162.14	18.03	29.91	9.85	17.51	17.13	9.78	31.0
CDK19	170.25	303.44	281.09	132.44	155.5	208.38	232.94	267.73	265.87	223.41	447.82	189.02	239.52	232.94	57.08	94.01	199.85	126.12	273.37	145.02	139.07	435.55	138.1	187.71	218.79	187.71	231.32	61.68	123.5	99.43	145.02	138.1	119.26	182.55	166.73	55.49	193.01	223.41	157.68	255.0	135.24	229.72	273.37	142.01	118.43	323.03	202.66	287.01	172.65	176.29	125.24	267.73	88.88	142.01	232.94	176.29	195.72	246.28	269.6	140.04	204.07	217.27	126.12	111.99	129.69	182.55	255.0	72.52	187.71	142.01	181.28	279.14	67.59	47.5	30.12	50.63	61.68	53.95	51.71
CNOT6L	265.87	890.44	420.68	172.65	231.32	205.5	466.88	457.25	532.74	429.54	698.41	397.93	669.92	220.32	237.86	103.69	141.02	140.04	376.41	132.44	186.4	473.41	37.59	163.28	483.38	199.85	275.28	73.54	143.01	115.97	232.94	172.65	226.54	189.02	256.78	87.65	293.07	77.79	177.53	267.73	142.01	309.83	320.8	224.97	90.77	444.72	336.79	403.5	154.42	156.59	164.42	305.55	125.24	209.84	373.81	180.02	152.28	255.0	258.57	109.66	155.5	234.57	170.25	120.1	246.28	309.83	206.94	71.0	336.79	70.01	223.41	305.55	120.94	72.52	55.89	72.01	132.44	42.11	161.02
CRIM1	674.59	3982.99	2193.99	896.64	703.28	688.78	3280.18	2645.74	4239.45	4152.18	3690.52	3018.3	3280.18	629.35	759.08	525.39	476.71	1572.76	2090.03	836.53	1233.75	1685.71	214.27	1331.57	988.12	679.29	1781.89	438.59	718.08	813.63	825.0	890.44	854.13	1359.57	1143.1	490.14	1498.22	314.17	1594.73	1331.57	941.27	1551.09	974.5	1304.15	1313.23	1733.13	607.87	1467.37	500.46	1119.56	536.45	1259.69	507.46	1111.82	1572.76	1639.59	536.45	1697.45	1617.0	525.39	536.45	503.95	607.87	579.04	1487.87	1088.92	934.76	890.44	1233.75	483.38	1896.65	2319.15	144.01	95.34	25.72	127.89	86.43	117.6	237.86
CTDSPL2	144.01	612.11	299.25	130.6	316.37	221.86	358.54	318.57	329.84	323.03	728.11	242.88	460.44	248.0	151.22	99.43	185.11	131.51	470.14	185.11	166.73	217.27	112.77	176.29	325.29	150.17	231.32	72.01	169.07	81.14	224.97	144.01	202.66	166.73	199.85	57.89	234.57	58.3	158.79	293.07	178.77	356.05	312.0	166.73	153.34	363.56	293.07	327.56	126.12	224.97	151.22	251.48	164.42	127.0	351.14	201.25	108.9	325.29	285.03	141.02	108.9	232.94	85.82	93.35	180.02	215.77	175.07	76.17	249.73	83.45	162.14	339.14	93.35	45.21	52.45	67.59	50.63	40.93	99.43
CTTNBP2NL	131.51	728.11	466.88	301.33	463.65	251.48	769.69	769.69	426.57	435.55	954.43	514.56	830.75	379.04	381.68	223.41	271.48	236.21	665.29	373.81	397.93	909.17	71.0	441.64	633.73	281.09	579.04	113.56	149.12	264.03	341.51	291.04	316.37	444.72	371.22	176.29	575.03	154.42	373.81	414.87	412.0	629.35	723.08	307.69	208.38	656.11	409.15	854.13	361.04	400.71	384.34	253.23	297.17	323.03	629.35	409.15	314.17	547.75	476.71	162.14	190.34	525.39	262.2	242.88	389.72	320.8	226.54	226.54	457.25	82.87	348.71	563.18	62.12	35.0	11.55	28.24	55.1	38.95	95.34
DDX50	316.37	830.75	764.36	366.09	426.57	595.34	583.07	624.99	656.11	599.49	1023.0	620.67	780.44	575.03	161.02	414.87	403.5	332.14	540.19	389.72	368.65	591.22	435.55	351.14	420.68	332.14	397.93	193.01	371.22	366.09	423.61	423.61	450.94	454.09	429.54	176.29	500.46	748.61	521.76	518.15	417.77	438.59	476.71	348.71	363.56	583.07	470.14	511.0	435.55	441.64	376.41	555.41	346.29	299.25	435.55	463.65	348.71	536.45	466.88	279.14	476.71	473.41	314.17	269.6	497.0	457.25	532.74	312.0	511.0	412.0	507.46	698.41	279.14	256.78	237.86	237.86	264.03	236.21	336.79
DDX6	348.71	2956.17	860.08	387.02	470.14	633.73	1242.34	954.43	954.43	1008.9	1896.65	842.36	1388.16	633.73	483.38	133.36	228.13	264.03	738.29	314.17	341.51	1066.48	183.82	299.25	954.43	283.05	403.5	137.14	277.2	176.29	450.94	325.29	412.0	299.25	414.87	183.82	848.22	305.55	444.72	463.65	403.5	616.37	575.03	381.68	251.48	921.88	540.19	1081.39	228.13	346.29	346.29	842.36	249.73	336.79	915.51	575.03	244.57	638.15	466.88	177.53	316.37	620.67	246.28	148.09	318.57	480.04	567.1	114.36	842.36	88.88	493.56	703.28	183.82	54.33	63.45	82.29	106.63	111.21	239.52
DENND5B	72.01	226.54	157.68	71.0	77.79	91.41	173.85	170.25	164.42	171.45	122.64	148.09	178.77	98.73	121.79	105.89	53.19	104.42	114.36	93.35	80.57	204.07	73.54	65.72	143.01	166.73	135.24	77.25	87.03	74.58	147.06	105.89	129.69	102.97	105.15	69.52	176.29	76.71	105.15	128.79	66.65	176.29	211.31	121.79	68.55	86.43	84.63	108.9	98.73	145.02	57.08	214.27	74.06	87.03	70.51	85.22	72.52	98.04	97.36	59.97	80.01	103.69	72.52	75.64	115.97	77.79	124.37	95.34	104.42	50.63	94.67	120.1	95.34	81.14	73.54	77.79	82.87	45.21	111.21
DOCK7	275.28	346.29	329.84	169.07	124.37	131.51	332.14	295.11	287.01	291.04	476.71	291.04	258.57	162.14	153.34	108.14	137.14	165.57	242.88	112.77	148.09	392.44	87.65	146.03	209.84	132.44	195.72	82.87	86.43	128.79	185.11	190.34	173.85	156.59	182.55	95.34	242.88	97.36	218.79	323.03	202.66	218.79	320.8	177.53	90.77	260.38	269.6	176.29	136.19	205.5	170.25	389.72	165.57	176.29	236.21	185.11	146.03	223.41	199.85	91.41	473.41	217.27	209.84	131.51	178.77	152.28	384.34	110.43	199.85	118.43	325.29	297.17	121.79	133.36	77.25	249.73	190.34	146.03	112.77
DOCK9	567.1	2319.15	1242.34	438.59	285.03	327.56	981.29	1066.48	860.08	1008.9	1561.89	902.89	1208.34	629.35	177.53	138.1	275.28	228.13	679.29	351.14	591.22	612.11	86.43	303.44	409.15	343.89	674.59	98.04	232.94	155.5	426.57	329.84	358.54	503.95	521.76	152.28	400.71	248.0	486.75	642.59	521.76	327.56	293.07	246.28	493.56	890.44	842.36	483.38	287.01	392.44	248.0	1044.52	323.03	368.65	607.87	327.56	215.77	708.18	559.28	190.34	656.11	406.31	228.13	146.03	323.03	547.75	1417.35	152.28	902.89	88.26	1015.93	974.5	476.71	215.77	96.68	166.73	514.56	151.22	144.01
DPY19L4	241.19	607.87	339.14	154.42	343.89	226.54	420.68	371.22	417.77	384.34	1081.39	295.11	409.15	265.87	157.68	90.77	224.97	154.42	480.04	217.27	255.0	447.82	236.21	158.79	309.83	205.5	297.17	115.16	251.48	108.9	211.31	138.1	228.13	258.57	323.03	102.97	273.37	226.54	217.27	395.18	217.27	323.03	327.56	241.19	94.67	454.09	305.55	267.73	182.55	215.77	186.4	503.95	318.57	198.47	387.02	205.5	236.21	353.59	305.55	301.33	248.0	371.22	147.06	152.28	182.55	283.05	366.09	90.14	387.02	99.43	348.71	373.81	334.46	152.28	70.01	161.02	111.99	206.94	212.78
ELK4	98.04	363.56	237.86	165.57	157.68	195.72	392.44	287.01	312.0	265.87	532.74	273.37	371.22	265.87	133.36	89.51	194.36	137.14	239.52	158.79	244.57	299.25	82.87	145.02	249.73	185.11	236.21	91.41	217.27	99.43	253.23	156.59	197.09	182.55	197.09	85.22	206.94	77.25	258.57	291.04	148.09	191.67	186.4	150.17	99.43	343.89	220.32	167.9	123.5	191.67	111.99	152.28	119.26	158.79	283.05	209.84	187.71	231.32	211.31	283.05	90.14	514.56	105.15	99.43	169.07	409.15	120.94	71.0	220.32	99.43	204.07	226.54	202.66	141.02	60.82	137.14	149.12	132.44	98.73
EP300	412.0	961.07	406.31	256.78	208.38	309.83	536.45	563.18	473.41	521.76	500.46	435.55	536.45	384.34	241.19	104.42	197.09	197.09	603.67	249.73	301.33	435.55	138.1	231.32	669.92	277.2	329.84	169.07	137.14	133.36	307.69	212.78	291.04	293.07	336.79	172.65	441.64	126.12	346.29	389.72	236.21	387.02	353.59	285.03	226.54	547.75	473.41	521.76	186.4	309.83	113.56	532.74	301.33	206.94	624.99	426.57	193.01	511.0	412.0	236.21	241.19	466.88	163.28	111.99	223.41	348.71	325.29	118.43	536.45	64.34	351.14	406.31	149.12	86.43	64.34	115.97	113.56	96.01	105.15
ERCC6L2	158.79	830.75	283.05	154.42	182.55	320.8	466.88	384.34	490.14	447.82	651.58	339.14	567.1	299.25	218.79	69.52	127.0	108.9	620.67	163.28	150.17	226.54	83.45	163.28	373.81	134.3	209.84	85.82	176.29	65.26	231.32	133.36	176.29	137.14	258.57	39.22	305.55	88.88	205.5	249.73	285.03	325.29	343.89	172.65	109.66	536.45	265.87	332.14	134.3	167.9	129.69	373.81	123.5	127.89	540.19	221.86	147.06	314.17	255.0	137.14	151.22	305.55	149.12	80.01	173.85	232.94	253.23	78.34	403.5	69.52	191.67	395.18	96.01	31.67	28.04	71.5	105.15	34.75	135.24
ERMP1	1963.57	1001.93	395.18	211.31	417.77	693.58	1008.9	743.43	1313.23	1322.37	6381.92	1066.48	1457.23	1008.9	109.66	237.86	406.31	262.2	802.41	532.74	246.28	559.28	260.38	511.0	246.28	182.55	591.22	131.51	371.22	299.25	281.09	403.5	181.28	493.56	921.88	514.56	438.59	150.17	334.46	2240.11	503.95	497.0	307.69	191.67	325.29	660.68	249.73	248.0	392.44	514.56	283.05	2255.7	325.29	363.56	703.28	470.14	241.19	813.63	638.15	229.72	1819.35	172.65	253.23	303.44	368.65	351.14	2004.85	189.02	669.92	232.94	1685.71	1216.75	187.71	111.21	56.28	67.59	134.3	197.09	208.38
EVI5	133.36	224.97	140.04	70.51	111.21	56.28	241.19	204.07	214.27	208.38	237.86	171.45	178.77	178.77	84.63	40.07	81.71	77.25	229.72	103.69	81.71	283.05	44.57	80.01	127.0	96.68	115.97	25.54	29.7	46.5	96.68	69.52	99.43	87.65	125.24	31.22	170.25	44.57	123.5	141.02	120.1	170.25	112.77	83.45	45.85	229.72	128.79	153.34	81.71	113.56	75.11	211.31	66.65	103.69	189.02	99.43	56.68	176.29	132.44	55.49	120.1	180.02	87.03	49.56	96.01	129.69	171.45	38.12	169.07	34.26	131.51	162.14	95.34	46.84	41.81	78.34	87.03	44.89	166.73
