	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.E2.A153.11A.31R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.AC.A2FF.11A.13R.A17B.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYBS.0926.SM.3NM94	GTEX.Q2AG.0326.SM.48U1O	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CN.4726.01A.01R.1436.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5434.01A.01R.1686.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.CR.7401.01A.11R.2016.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CQ.A4CA.01A.11R.A24Z.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07
SORCS1	11.04	11.04	53.19	77.79	28.24	43.02	77.79	41.22	33.54	6.84	34.51	81.14	0.0	3.92	1.68	0.61	0.59	0.0	0.0	1.38	0.0	0.57	1.16	0.67	0.0	5.15	0.0	1.08	0.59	2.39	5.28	4.1	0.57	3.76	5.15	0.0	1.75	0.59	9.13	0.0
SYNE4	733.19	733.19	444.72	186.4	309.83	341.51	186.4	314.17	277.2	4010.71	5183.54	3491.39	1.33	1.31	1.5	8.25	1.81	9.27	8.0	5.73	10.24	7.51	503.95	3.76	14.35	10.16	4.7	1.41	4.24	9.2	1.97	3.17	0.83	1.89	4.28	5.41	2.16	9.85	67.59	2.03
TENC1	854.13	854.13	1487.87	2485.67	1268.46	1963.57	2485.67	1277.29	1447.15	163.28	4937.99	2816.11	91.41	133.36	117.6	228.13	96.68	119.26	148.09	113.56	83.45	72.01	1015.93	497.0	75.64	547.75	67.12	92.05	167.9	420.68	264.03	483.38	118.43	121.79	476.71	117.6	149.12	80.57	703.28	154.42
TMEM132C	36.01	36.01	82.29	612.11	81.14	136.19	612.11	167.9	77.79	19.39	1331.57	1950.0	0.51	0.49	0.0	0.96	0.51	0.0	0.0	3.17	0.0	0.0	5.73	2.51	0.0	4.9	0.0	0.0	0.92	1.81	20.11	3.89	0.0	0.53	1.58	1.39	0.0	0.51	18.16	1.01
TMEM63A	1051.79	1051.79	1151.06	860.08	1081.39	1350.18	860.08	2502.97	1397.83	177.53	2255.7	2319.15	162.14	134.3	142.01	236.21	148.09	177.53	171.45	118.43	262.2	106.63	915.51	232.94	231.32	387.02	183.82	157.68	209.84	194.36	218.79	297.17	194.36	182.55	301.33	180.02	113.56	190.34	603.67	176.29
TPCN1	518.15	518.15	819.3	791.35	693.58	791.35	791.35	1225.22	896.64	379.04	1733.13	1417.35	214.27	193.01	273.37	273.37	147.06	118.43	273.37	209.84	334.46	206.94	503.95	432.53	318.57	303.44	127.89	165.57	395.18	379.04	463.65	470.14	177.53	191.67	256.78	159.9	226.54	260.38	483.38	234.57
TRIM8	2104.58	2104.58	1583.71	1896.65	1350.18	1350.18	1896.65	1437.15	1883.54	599.49	4010.71	3257.52	353.59	571.05	567.1	450.94	457.25	988.12	417.77	579.04	392.44	540.19	2193.99	753.83	507.46	1175.27	764.36	629.35	493.56	915.51	1208.34	1322.37	981.29	872.1	1350.18	571.05	688.78	384.34	1242.34	507.46
UBE2D4	454.09	454.09	426.57	808.0	575.03	540.19	808.0	346.29	559.28	271.48	320.8	414.87	167.9	128.79	150.17	161.02	368.65	166.73	215.77	205.5	147.06	152.28	493.56	236.21	95.34	273.37	116.78	234.57	139.07	281.09	205.5	221.86	153.34	134.3	441.64	177.53	118.43	100.83	341.51	275.28
UMODL1	2.76	2.76	3.14	6.67	2.92	6.57	6.67	5.68	2.89	0.0	10.08	165.57	0.0	0.0	0.49	0.84	0.0	0.0	2.34	0.4	0.0	0.4	3.92	2.27	0.41	6.73	0.67	0.0	0.82	0.0	1.69	0.48	0.4	2.43	4.1	1.64	0.0	2.32	6.06	1.71
ZBTB18	1350.18	1350.18	323.03	363.56	353.59	329.84	363.56	346.29	5711.87	57.49	264.03	244.57	51.35	50.27	60.39	50.63	63.0	16.63	44.25	51.71	49.21	77.25	132.44	98.04	28.24	166.73	34.26	51.35	33.3	102.25	91.41	132.44	69.52	40.36	144.01	51.35	82.87	58.71	208.38	66.18
