	TCGA.ZF.AA58.01A.12R.A42T.07	GTEX.145ME.1526.SM.5Q5F2	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.W5.AA30.11A.11R.A41I.07	TCGA.IG.A97H.01A.11R.A38D.31	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.D6.8569.01A.11R.2403.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.CV.7235.11A.01R.2016.07	TCGA.CJ.4881.01A.01R.1305.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SK.01A.11R.A27V.07	TCGA.BC.A110.01A.11R.A131.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A10Q.11A.11R.A131.07	TCGA.DD.A39X.11A.11R.A213.07	TCGA.DD.A3A4.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A1EJ.11A.11R.A155.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A10X.11A.11R.A131.07	TCGA.DD.A39W.11A.11R.A213.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.S32W.1926.SM.4AD63	GTEX.QDVN.0826.SM.48TZ2	GTEX.Y5V5.0926.SM.4VBPZ	GTEX.PX3G.0826.SM.48TZS	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.WQUQ.1926.SM.4OOSA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.144GM.1326.SM.5LU5E	GTEX.139TS.1426.SM.5IFJD	GTEX.1269C.0626.SM.5FQSS	GTEX.139YR.0226.SM.5IFEM	GTEX.S33H.1626.SM.4AD68	GTEX.ZZPU.0426.SM.5GZYH	GTEX.12WSG.0626.SM.5FQTQ	GTEX.X3Y1.2726.SM.4PQZH	GTEX.12WSL.0226.SM.5CVMJ	GTEX.12696.0826.SM.5EGGE	GTEX.ZYY3.0626.SM.5NQ6W	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.13NZB.0626.SM.5IFH6	GTEX.132NY.0926.SM.5P9G3	GTEX.13NZ9.1326.SM.5MR3V	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	GTEX.13VXU.0926.SM.5IFFH	GTEX.11WQC.0726.SM.5EQMR	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ALDH9A1	769.69	4903.87	529.06	2956.17	2255.7	595.34	954.43	693.58	587.13	525.39	703.28	1111.82	525.39	2417.67	1001.93	1757.34	2875.3	1697.45	1457.23	1119.56	1844.76	2240.11	2573.36	1806.78	1572.76	2335.28	2240.11	2502.97	2520.38	2758.13	2645.74	2520.38	2720.15	2303.12	1417.35	2255.7	2591.27	3060.45	2701.35	2537.92	2384.37	3564.78	3395.89	3124.78	1781.89	1857.6	4388.98	5076.84	3419.52	5006.93	1662.49	6426.31	1605.83	3190.46	2367.9	2287.2	1447.15	3847.29	1519.15	4328.55	2351.53	1628.26	1407.55	2609.3	4639.29	1397.83	2520.38	1259.69	3820.7	2796.65	3419.52	3235.01	1191.69	299.25
AR	3.92	387.02	6.21	529.06	497.0	1.75	2.56	1.13	0.44	1.55	2.05	1.58	1.57	11.04	121.79	567.1	603.67	170.25	273.37	201.25	170.25	438.59	423.61	934.76	239.52	551.56	209.84	395.18	497.0	713.11	988.12	518.15	500.46	521.76	356.05	281.09	463.65	559.28	728.11	395.18	417.77	693.58	764.36	575.03	62.12	59.13	2104.58	1059.11	1388.16	1407.55	327.56	1757.34	25.17	764.36	275.28	70.01	329.84	808.0	129.69	1467.37	371.22	314.17	20.11	234.57	1540.37	665.29	896.64	249.73	656.11	884.29	1242.34	1617.0	0.0	0.22
ATP11C	229.72	493.56	164.42	780.44	450.94	137.14	116.78	143.01	87.65	98.04	162.14	162.14	152.28	291.04	258.57	265.87	866.07	299.25	166.73	316.37	397.93	579.04	392.44	866.07	361.04	444.72	113.56	599.49	332.14	921.88	684.02	599.49	612.11	575.03	379.04	551.56	466.88	674.59	426.57	603.67	674.59	1023.0	796.86	536.45	244.57	287.01	1295.13	974.5	651.58	791.35	260.38	1561.89	260.38	470.14	802.41	166.73	429.54	559.28	262.2	872.1	277.2	368.65	144.01	275.28	764.36	429.54	536.45	361.04	728.11	547.75	2193.99	1143.1	0.0	0.66
C12orf52	236.21	91.41	239.52	395.18	547.75	281.09	336.79	193.01	348.71	224.97	336.79	224.97	273.37	379.04	511.0	514.56	348.71	353.59	521.76	316.37	339.14	463.65	334.46	412.0	295.11	490.14	1313.23	232.94	493.56	412.0	417.77	651.58	693.58	447.82	579.04	356.05	358.54	559.28	563.18	361.04	209.84	599.49	669.92	387.02	376.41	353.59	579.04	438.59	463.65	420.68	486.75	708.18	480.04	624.99	417.77	285.03	343.89	414.87	368.65	341.51	426.57	277.2	264.03	423.61	503.95	423.61	463.65	397.93	759.08	547.75	642.59	674.59	0.0	0.0
C15orf43	0.0	0.0	0.0	15.56	4.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2	40.36	3.63	4.62	13.42	0.0	3.89	0.46	0.0	8.32	0.46	0.48	24.46	11.55	13.32	4.86	12.18	19.39	20.11	3.59	6.36	3.06	19.25	2.07	1.14	3.92	33.54	27.05	3.72	0.0	0.0	17.25	40.07	5.19	24.46	0.0	33.06	0.0	6.62	47.84	3.5	0.0	0.0	0.0	0.0	0.0	16.03	0.0	3.69	4.98	0.0	14.03	5.68	39.5	3.56	48.18	81.14	0.0	0.0
C7orf10	132.44	72.01	209.84	493.56	395.18	684.02	406.31	759.08	199.85	218.79	260.38	158.79	473.41	77.79	223.41	529.06	389.72	432.53	242.88	612.11	426.57	540.19	316.37	291.04	476.71	325.29	450.94	651.58	551.56	525.39	599.49	642.59	518.15	780.44	253.23	432.53	791.35	571.05	460.44	638.15	412.0	656.11	693.58	620.67	135.24	72.01	563.18	1167.14	265.87	532.74	231.32	909.17	187.71	785.88	603.67	373.81	297.17	457.25	187.71	320.8	144.01	309.83	323.03	693.58	674.59	536.45	490.14	56.68	1183.45	414.87	1104.13	830.75	0.0	0.32
CAMK2B	2.1	5.28	6.52	116.78	105.89	8.25	7.17	8.78	0.28	1.93	8.92	1.31	13.52	6.57	7.57	15.22	22.75	42.11	42.41	0.0	3.17	83.45	15.22	96.68	18.56	13.93	77.25	21.78	45.53	91.41	97.36	94.01	120.94	37.05	77.25	102.25	69.03	134.3	77.79	147.06	69.52	114.36	112.77	51.71	6.31	1.14	229.72	142.01	85.22	51.35	78.89	74.06	69.03	87.65	71.0	22.59	112.77	56.28	125.24	25.54	249.73	65.26	18.29	37.59	35.0	21.16	260.38	17.51	33.06	28.04	358.54	209.84	0.0	0.45
CAT	480.04	12244.81	423.61	12329.98	9474.59	854.13	878.17	493.56	389.72	218.79	607.87	497.0	420.68	1551.09	1896.65	3515.68	9279.58	5872.48	5672.41	3372.43	7382.04	11909.94	13123.73	9409.14	5633.22	10014.87	3794.3	7331.05	7230.1	12076.21	8479.89	10733.74	14163.58	10154.69	4575.41	12764.83	9606.86	9279.58	8247.98	10733.74	8191.0	16383.0	16843.62	11909.94	2255.7	1806.78	16843.62	21320.18	7032.37	15499.21	5006.93	20881.4	2303.12	15607.02	11992.79	4704.07	6250.56	11664.82	3235.01	10585.95	5517.27	4210.15	4388.98	6983.79	13033.07	7966.99	7331.05	3742.05	21320.18	10512.82	33922.56	17804.06	0.0	0.21
CCT6B	36.79	234.57	15.56	60.82	52.82	18.56	50.63	24.63	13.52	13.32	12.45	16.63	23.25	117.6	52.82	12.55	68.55	60.82	31.0	64.8	17.64	37.32	17.25	80.57	48.87	57.49	6.21	94.67	42.41	44.89	113.56	78.89	76.17	66.65	59.97	59.13	68.07	37.59	74.06	44.57	52.45	90.14	74.58	53.57	25.54	41.52	120.94	155.5	34.02	156.59	43.63	97.36	31.67	81.71	22.26	17.9	29.27	73.03	65.72	100.13	50.27	109.66	9.93	38.95	100.83	17.51	154.42	65.26	95.34	29.06	124.37	68.55	0.0	0.0
CLCN5	15.56	35.5	21.63	151.22	173.85	25.91	16.39	32.36	8.51	30.78	22.75	50.27	39.22	43.02	122.64	76.71	71.5	41.52	58.71	25.91	61.68	137.14	43.63	49.21	72.01	136.19	90.77	144.01	102.25	215.77	166.73	130.6	158.79	180.02	104.42	87.65	151.22	148.09	181.28	108.14	112.77	155.5	171.45	122.64	60.82	58.71	258.57	204.07	253.23	239.52	109.66	316.37	52.45	148.09	70.01	58.3	123.5	251.48	71.5	153.34	118.43	81.71	78.89	88.88	201.25	113.56	152.28	116.78	262.2	186.4	293.07	193.01	0.0	0.43
COBLL1	90.77	1844.76	126.12	1369.04	902.89	363.56	241.19	220.32	72.52	84.04	575.03	356.05	332.14	265.87	423.61	279.14	896.64	277.2	392.44	647.07	379.04	967.76	642.59	1167.14	575.03	291.04	217.27	1111.82	679.29	1388.16	1233.75	1015.93	967.76	764.36	591.22	514.56	808.0	1250.98	1030.12	638.15	890.44	1477.58	1175.27	896.64	241.19	423.61	1950.0	1350.18	1844.76	1674.06	503.95	2319.15	167.9	1030.12	1143.1	234.57	599.49	1259.69	297.17	1378.57	348.71	575.03	381.68	571.05	1519.15	748.61	836.53	753.83	1119.56	1127.35	1639.59	1936.53	0.0	0.46
CPEB3	11.91	48.52	8.13	97.36	193.01	12.09	18.43	21.78	8.06	16.15	22.75	34.51	30.78	69.03	30.34	22.26	27.25	46.18	57.49	71.0	32.36	106.63	50.63	102.25	96.01	301.33	22.1	100.13	144.01	229.72	318.57	197.09	145.02	180.02	120.1	163.28	161.02	353.59	303.44	104.42	126.12	460.44	283.05	195.72	59.55	59.97	341.51	92.7	334.46	104.42	89.51	175.07	38.12	780.44	173.85	40.64	101.54	88.88	40.64	113.56	37.05	134.3	97.36	154.42	101.54	136.19	123.5	130.6	76.71	110.43	368.65	287.01	0.0	0.17
CRYL1	253.23	3419.52	190.34	5147.73	4095.0	226.54	450.94	105.15	108.14	134.3	381.68	325.29	341.51	1208.34	1977.24	3190.46	5255.91	3443.31	5791.62	7803.01	3589.58	4450.27	1561.89	4298.64	3982.99	3768.09	3257.52	6561.36	4575.41	4802.93	5183.54	5366.37	4836.35	5751.61	4671.57	3820.7	5672.41	4481.23	5954.47	4358.66	4123.49	4639.29	6471.02	4388.98	1605.83	1159.07	10733.74	11189.6	4419.52	9344.14	1674.06	9409.14	1583.71	9474.59	4512.4	4095.0	2075.59	6935.54	1037.29	10084.54	1733.13	3690.52	1594.73	8078.22	5995.9	2224.63	4181.07	2520.38	20737.16	3928.15	7331.05	6037.61	0.0	0.51
CSAD	152.28	1427.22	327.56	2104.58	2255.7	490.14	141.02	273.37	79.45	384.34	226.54	297.17	100.83	143.01	1709.26	1322.37	961.07	928.3	2193.99	237.86	1051.79	2502.97	232.94	2997.45	1313.23	3146.52	1183.45	1685.71	1745.2	738.29	1295.13	1769.57	2796.65	866.07	909.17	1378.57	1529.73	2193.99	1870.53	1594.73	1617.0	1721.16	660.68	1216.75	529.06	854.13	2335.28	3303.0	567.1	1295.13	1008.9	2047.0	543.96	2367.9	1417.35	400.71	941.27	1628.26	1167.14	928.3	1175.27	791.35	1073.91	988.12	1175.27	1896.65	1225.22	454.09	1295.13	1594.73	2777.33	2997.45	0.0	1.55
CTNNA3	1.5	6.21	0.0	20.41	14.56	0.0	0.0	0.0	0.0	0.0	3.23	0.0	0.99	1.11	4.43	3.44	6.78	24.63	1.73	0.39	16.27	20.71	5.82	107.38	7.0	23.59	10.24	28.04	25.91	10.96	49.91	63.45	50.63	43.32	2.32	38.95	25.17	38.67	16.51	11.73	11.21	55.1	29.91	35.76	1.68	0.79	67.59	124.37	16.27	13.52	7.75	23.42	2.05	35.5	21.63	3.53	11.55	42.11	2.12	34.26	3.23	12.74	21.63	13.42	80.57	12.93	29.91	4.54	28.04	23.93	82.29	36.01	0.0	0.0
CXorf66	0.0	0.0	0.0	3.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.35	7.94	6.11	0.24	0.0	2.56	5.5	0.22	5.32	0.87	4.78	0.0	2.89	0.0	1.79	3.76	4.86	5.15	4.7	1.91	6.78	0.0	4.82	0.0	3.56	0.0	10.16	9.2	3.99	4.5	0.0	5.15	6.46	0.0	2.51	0.0	7.11	0.0	3.2	0.0	0.0	0.0	0.0	0.0	3.99	0.0	0.0	0.0	4.58	7.88	0.0	0.0	0.0	9.63	0.0	11.73	8.99	0.0	0.0
CYP2C18	0.33	4.98	3.11	2004.85	2335.28	0.0	281.09	57.49	7.51	26.47	34.51	72.52	65.26	2.36	11.64	1023.0	995.0	162.14	1605.83	684.02	1909.85	2004.85	2335.28	3081.75	836.53	1896.65	1498.22	267.73	1259.69	1199.98	1561.89	1561.89	2075.59	1662.49	1963.57	242.88	2148.82	2178.83	1909.85	1896.65	854.13	3060.45	1819.35	2090.03	842.36	226.54	4481.23	5555.65	8901.53	3982.99	1477.58	6699.25	497.0	2537.92	283.05	392.44	165.57	9088.59	211.31	3690.52	1350.18	1208.34	476.71	376.41	3303.0	293.07	2148.82	332.14	5219.6	2018.8	4123.49	728.11	0.0	0.0
DCDC1	0.91	0.0	1.58	47.17	21.01	8.99	0.49	0.48	1.48	0.0	0.0	0.0	0.89	3.79	38.4	64.8	22.1	25.54	2.03	14.67	15.68	7.94	0.91	63.89	7.94	21.47	16.27	2.32	25.17	13.52	14.56	27.25	18.16	25.72	8.92	13.42	45.53	22.75	48.18	12.55	3.47	69.52	35.0	19.53	0.99	0.33	75.11	27.64	5.68	36.27	37.05	31.9	0.0	29.27	20.41	9.93	17.38	26.67	5.87	11.21	3.0	6.73	22.43	5.28	17.51	21.16	6.21	5.28	7.4	48.18	119.26	34.51	0.0	0.0
DHRS1	878.17	521.76	2148.82	3467.27	2664.15	4298.64	2335.28	2434.5	1322.37	2664.15	1437.15	2061.24	3325.99	718.08	579.04	1896.65	3018.3	5006.93	1529.73	1551.09	1733.13	2627.46	1498.22	4671.57	1001.93	2855.44	2104.58	2319.15	5329.3	2520.38	2573.36	4298.64	4543.8	3491.39	1322.37	6164.49	1697.45	2133.97	1963.57	2335.28	540.19	5292.48	5594.3	2287.2	878.17	651.58	4769.75	5555.65	638.15	3235.01	974.5	5791.62	555.41	4481.23	3081.75	1427.22	1806.78	1745.2	1151.06	3235.01	819.3	1540.37	1721.16	1857.6	4239.45	2976.74	1369.04	1225.22	4769.75	2319.15	10659.59	6792.79	0.0	0.72
DMGDH	4.46	441.64	3.96	2739.08	2351.53	3.69	3.72	2.58	1.81	7.06	7.06	0.89	6.84	13.93	543.96	764.36	1757.34	995.0	1066.48	1508.65	988.12	1923.14	2104.58	1721.16	1037.29	1561.89	647.07	1639.59	2018.8	2319.15	2915.45	1794.29	2997.45	2224.63	1477.58	1781.89	2720.15	2061.24	2061.24	1936.53	2148.82	4328.55	3280.18	2417.67	55.89	63.0	7537.18	13306.94	1617.0	6337.83	529.06	15499.21	454.09	2061.24	1781.89	532.74	224.97	3325.99	387.02	4298.64	320.8	518.15	228.13	1794.29	5872.48	540.19	1769.57	101.54	12943.04	1709.26	7589.61	3874.05	0.0	0.31
DNAJC25	158.79	616.37	194.36	703.28	665.29	242.88	346.29	353.59	314.17	217.27	228.13	384.34	327.56	189.02	214.27	384.34	698.41	616.37	412.0	356.05	325.29	532.74	633.73	808.0	444.72	728.11	447.82	656.11	656.11	753.83	669.92	718.08	559.28	743.43	470.14	703.28	575.03	928.3	674.59	476.71	470.14	830.75	836.53	928.3	507.46	329.84	1001.93	624.99	769.69	995.0	470.14	1216.75	236.21	753.83	1023.0	332.14	571.05	450.94	624.99	718.08	363.56	780.44	575.03	559.28	1216.75	466.88	660.68	638.15	723.08	507.46	1583.71	1151.06	0.0	0.2
