	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.VS.AA62.01A.11R.A42T.07	TCGA.D6.6826.01A.11R.1915.07	TCGA.BB.4227.01A.01R.1873.07	TCGA.BA.4076.01A.01R.1436.07	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L
WIPI2	1487.87	1051.79	1286.18	1397.83	2209.26	1044.52	836.53	974.5	759.08	1015.93	1051.79
XPOT	703.28	1023.0	1583.71	848.22	1008.9	323.03	187.71	323.03	205.5	166.73	148.09
XRN1	258.57	389.72	312.0	305.55	154.42	145.02	51.35	139.07	108.14	43.02	102.25
YEATS2	336.79	514.56	567.1	363.56	629.35	127.0	50.98	141.02	35.0	29.48	12.36
YIPF6	642.59	447.82	819.3	759.08	808.0	486.75	195.72	356.05	271.48	356.05	348.71
ZBTB11	157.68	239.52	232.94	242.88	206.94	72.01	53.57	120.94	64.8	23.25	31.0
ZBTB37	16.88	34.75	36.27	38.67	15.45	20.71	19.97	19.53	15.91	13.72	13.42
ZC3H14	403.5	836.53	642.59	866.07	780.44	656.11	371.22	633.73	583.07	363.56	409.15
ZCCHC9	373.81	543.96	733.19	277.2	703.28	329.84	460.44	616.37	473.41	146.03	273.37
ZMYM1	194.36	147.06	289.02	152.28	176.29	40.93	23.59	65.72	26.86	7.28	27.84
ZNF12	256.78	191.67	409.15	358.54	379.04	150.17	108.9	202.66	115.97	55.1	69.52
ZNF148	165.57	279.14	285.03	341.51	283.05	88.26	41.52	118.43	66.65	34.26	36.79
ZNF19	16.27	30.12	57.49	34.75	90.14	34.75	28.45	77.25	17.13	19.11	18.29
ZNF250	305.55	139.07	234.57	145.02	265.87	63.89	53.57	92.7	64.34	42.41	27.84
ZNF319	85.22	186.4	241.19	70.01	215.77	56.28	58.71	75.64	34.51	55.89	29.48
ZNF484	12.83	43.32	105.15	63.45	84.04	19.97	18.7	37.59	14.14	2.07	6.11
ZNF572	19.25	25.72	17.9	8.99	46.84	13.42	7.82	11.73	4.5	2.53	1.48
ZNF707	147.06	251.48	320.8	223.41	329.84	133.36	112.77	156.59	68.07	47.17	15.56
ZSCAN20	16.15	39.5	48.18	12.18	21.63	3.72	1.79	12.18	2.76	1.43	0.39
