	TCGA.AC.A2FK.01A.12R.A180.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	GTEX.13OVI.1126.SM.5KLZF	TCGA.A3.3378.01A.02R.1325.07	TCGA.DV.5576.01A.01R.1541.07	TCGA.BP.4769.01A.01R.1289.07	TCGA.IZ.8196.01A.11R.2404.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.BQ.7049.01A.11R.1965.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.ZF2S.3026.SM.4WWCH	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.14753.1626.SM.5NQ9L	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EL.A4K0.01A.11R.A250.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.FE.A3PD.01A.11R.A220.07	TCGA.EM.A3O7.01A.11R.A220.07	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.EL.A3D0.01A.12R.A206.07	TCGA.MK.A4N9.01A.11R.A250.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.DJ.A3VE.01A.11R.A23N.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.11TT1.1126.SM.5P9GV
FAM73A	490.14	305.55	88.26	813.63	366.09	406.31	193.01	327.56	141.02	112.77	236.21	361.04	173.85	43.32	27.64	56.28	59.55	267.73	136.19	164.42	55.89	56.28	44.57	39.22	135.24	63.45	109.66	183.82	94.01	187.71	68.55	107.38	49.21	182.55	92.7	88.88	92.7	112.77	125.24	79.45	181.28	146.03	293.07	316.37	151.22
FBXL17	381.68	220.32	220.32	603.67	444.72	260.38	267.73	314.17	320.8	221.86	376.41	656.11	312.0	118.43	72.52	186.4	120.1	211.31	149.12	194.36	152.28	175.07	118.43	164.42	289.02	181.28	199.85	273.37	279.14	363.56	244.57	283.05	197.09	323.03	239.52	190.34	224.97	178.77	237.86	249.73	236.21	376.41	343.89	389.72	293.07
FTO	2502.97	612.11	555.41	1685.71	1977.24	1540.37	1191.69	1037.29	1662.49	860.08	1757.34	921.88	1199.98	124.37	229.72	178.77	323.03	543.96	441.64	343.89	146.03	144.01	223.41	265.87	503.95	307.69	525.39	620.67	426.57	679.29	251.48	358.54	220.32	563.18	480.04	432.53	343.89	414.87	476.71	373.81	536.45	669.92	785.88	981.29	785.88
HLCS	389.72	426.57	132.44	376.41	406.31	283.05	215.77	336.79	253.23	221.86	289.02	493.56	269.6	140.04	119.26	159.9	154.42	277.2	318.57	211.31	57.08	97.36	220.32	109.66	164.42	129.69	163.28	198.47	157.68	195.72	124.37	155.5	120.1	231.32	214.27	167.9	119.26	114.36	169.07	135.24	186.4	183.82	244.57	253.23	156.59
HLTF	351.14	595.34	198.47	454.09	379.04	348.71	244.57	379.04	154.42	212.78	638.15	366.09	232.94	100.83	54.33	142.01	163.28	244.57	265.87	195.72	120.1	139.07	76.17	102.97	363.56	166.73	208.38	379.04	373.81	426.57	234.57	373.81	197.09	303.44	229.72	205.5	265.87	232.94	332.14	193.01	307.69	379.04	381.68	624.99	429.54
HSPA13	343.89	480.04	211.31	713.11	620.67	536.45	466.88	571.05	376.41	332.14	738.29	607.87	638.15	92.05	76.71	99.43	91.41	113.56	89.51	103.69	113.56	85.82	89.51	72.52	241.19	208.38	218.79	241.19	212.78	246.28	221.86	221.86	169.07	320.8	237.86	182.55	201.25	185.11	236.21	172.65	241.19	244.57	389.72	299.25	291.04
KIAA0754	75.11	16.63	15.68	223.41	57.08	120.94	55.89	191.67	224.97	77.79	189.02	87.65	145.02	3.11	1.6	5.87	6.36	49.91	31.0	40.07	2.84	4.98	3.82	1.91	9.48	6.67	17.38	50.27	9.06	31.67	3.29	23.59	1.97	34.02	34.02	11.21	5.96	13.42	31.45	7.51	19.53	19.68	63.45	30.34	39.79
KIAA1147	500.46	145.02	460.44	1037.29	476.71	775.05	426.57	579.04	249.73	460.44	406.31	403.5	182.55	148.09	122.64	157.68	109.66	149.12	224.97	157.68	117.6	105.15	70.51	63.89	256.78	161.02	218.79	307.69	249.73	297.17	170.25	228.13	137.14	285.03	190.34	269.6	221.86	201.25	271.48	215.77	262.2	291.04	353.59	476.71	241.19
KIF3B	595.34	305.55	312.0	860.08	878.17	842.36	684.02	947.83	480.04	587.13	612.11	620.67	529.06	260.38	144.01	212.78	281.09	521.76	454.09	264.03	194.36	209.84	121.79	244.57	318.57	239.52	332.14	351.14	264.03	406.31	201.25	281.09	226.54	376.41	376.41	329.84	226.54	273.37	316.37	264.03	346.29	379.04	406.31	507.46	423.61
LMBRD2	209.84	180.02	71.5	329.84	223.41	127.89	125.24	152.28	191.67	98.73	147.06	186.4	111.21	74.06	28.65	77.25	53.95	177.53	98.73	173.85	85.22	113.56	74.06	35.76	110.43	51.35	67.12	111.99	100.83	130.6	84.63	80.01	59.97	115.97	80.57	46.84	80.01	66.65	89.51	60.82	85.82	116.78	131.51	204.07	125.24
LNPEP	316.37	109.66	105.15	633.73	332.14	460.44	301.33	339.14	343.89	258.57	356.05	234.57	334.46	42.41	21.47	54.72	35.25	52.45	34.51	63.89	65.26	38.12	22.1	17.9	137.14	97.36	146.03	205.5	124.37	220.32	86.43	144.01	56.68	193.01	145.02	145.02	115.97	122.64	130.6	75.11	145.02	144.01	175.07	202.66	125.24
MAML2	579.04	37.32	253.23	1051.79	346.29	343.89	343.89	457.25	356.05	334.46	543.96	189.02	473.41	5.92	7.06	43.32	9.41	26.28	22.26	38.67	32.59	37.32	12.93	9.41	199.85	150.17	293.07	255.0	187.71	314.17	103.69	181.28	99.43	255.0	173.85	260.38	169.07	195.72	242.88	166.73	197.09	144.01	173.85	211.31	169.07
MED1	555.41	269.6	221.86	567.1	423.61	373.81	379.04	651.58	264.03	289.02	476.71	353.59	361.04	98.73	81.14	105.15	150.17	185.11	152.28	173.85	87.65	82.29	123.5	23.76	208.38	172.65	220.32	260.38	214.27	287.01	173.85	194.36	186.4	291.04	283.05	237.86	161.02	198.47	236.21	157.68	267.73	264.03	373.81	346.29	279.14
MFAP3	563.18	267.73	246.28	693.58	571.05	518.15	423.61	595.34	223.41	444.72	441.64	450.94	379.04	98.73	110.43	122.64	93.35	199.85	166.73	185.11	154.42	134.3	102.25	66.18	255.0	151.22	260.38	366.09	267.73	318.57	201.25	275.28	183.82	403.5	183.82	258.57	205.5	251.48	273.37	177.53	305.55	316.37	329.84	339.14	323.03
MTMR6	358.54	406.31	176.29	591.22	547.75	329.84	264.03	395.18	246.28	236.21	341.51	571.05	262.2	87.65	41.81	102.97	89.51	135.24	101.54	148.09	68.55	63.89	73.03	84.63	212.78	147.06	195.72	241.19	206.94	269.6	186.4	189.02	129.69	220.32	204.07	127.0	175.07	172.65	189.02	169.07	194.36	208.38	305.55	293.07	228.13
MTPN	1819.35	1639.59	890.44	2075.59	2061.24	1583.71	1417.35	3235.01	2400.97	1191.69	1806.78	3103.19	1583.71	212.78	239.52	287.01	277.2	896.64	638.15	490.14	224.97	186.4	215.77	299.25	974.5	599.49	836.53	1073.91	854.13	1066.48	633.73	708.18	470.14	1119.56	1127.35	638.15	713.11	743.43	669.92	612.11	842.36	1051.79	1447.15	1313.23	1159.07
MYO9A	336.79	148.09	121.79	483.38	334.46	486.75	351.14	954.43	206.94	255.0	571.05	409.15	336.79	15.91	12.93	32.82	22.92	89.51	40.93	56.28	16.27	37.05	45.21	14.56	131.51	101.54	156.59	176.29	139.07	198.47	139.07	136.19	109.66	202.66	143.01	202.66	115.97	105.89	143.01	111.21	198.47	175.07	323.03	381.68	204.07
NBN	693.58	796.86	281.09	642.59	884.29	620.67	387.02	830.75	559.28	412.0	638.15	633.73	500.46	156.59	73.54	206.94	236.21	339.14	320.8	256.78	199.85	156.59	165.57	171.45	389.72	237.86	346.29	447.82	318.57	457.25	297.17	307.69	251.48	414.87	381.68	283.05	307.69	323.03	351.14	249.73	379.04	403.5	387.02	525.39	395.18
NUDT21	1397.83	3103.19	808.0	1487.87	967.76	1066.48	1066.48	842.36	1605.83	1191.69	1757.34	842.36	934.76	629.35	679.29	743.43	808.0	961.07	743.43	713.11	463.65	607.87	633.73	769.69	878.17	684.02	941.27	902.89	825.0	884.29	660.68	698.41	651.58	1081.39	909.17	928.3	684.02	748.61	808.0	733.19	872.1	743.43	1044.52	1059.11	791.35
NUP155	265.87	211.31	83.45	199.85	195.72	205.5	177.53	181.28	206.94	136.19	187.71	126.12	141.02	61.25	81.14	77.25	105.15	66.65	55.89	108.14	68.55	51.71	103.69	43.02	142.01	95.34	144.01	129.69	119.26	151.22	79.45	96.01	90.14	127.0	145.02	103.69	107.38	101.54	130.6	100.83	116.78	133.36	133.36	127.0	143.01
OXSR1	529.06	429.54	348.71	703.28	473.41	698.41	620.67	555.41	395.18	503.95	599.49	679.29	540.19	173.85	145.02	246.28	241.19	198.47	181.28	193.01	223.41	262.2	343.89	221.86	358.54	262.2	384.34	316.37	281.09	371.22	264.03	346.29	246.28	389.72	497.0	289.02	309.83	320.8	329.84	285.03	371.22	447.82	363.56	376.41	363.56
PDPK1	669.92	193.01	208.38	866.07	450.94	361.04	358.54	587.13	567.1	234.57	532.74	476.71	384.34	125.24	105.89	77.79	205.5	226.54	201.25	177.53	66.18	96.01	65.26	74.58	323.03	223.41	332.14	371.22	258.57	368.65	218.79	327.56	161.02	454.09	432.53	275.28	246.28	267.73	291.04	236.21	423.61	432.53	591.22	480.04	356.05
PICALM	3325.99	2163.77	1594.73	5147.73	4123.49	3103.19	3665.02	3847.29	3874.05	2915.45	3847.29	3168.41	5183.54	1081.39	941.27	1685.71	1340.84	2018.8	1909.85	1487.87	1208.34	1304.15	1378.57	1277.29	2119.22	1662.49	2209.26	2739.08	2351.53	2319.15	1651.0	1594.73	1250.98	2224.63	2384.37	2739.08	2075.59	1923.14	2061.24	1745.2	2090.03	1909.85	2104.58	1685.71	1977.24
PIGS	1369.04	921.88	629.35	1977.24	2075.59	2400.97	1540.37	2758.13	1407.55	2335.28	1628.26	1883.54	1745.2	164.42	271.48	248.0	258.57	387.02	318.57	483.38	197.09	162.14	138.1	218.79	813.63	620.67	915.51	1167.14	595.34	854.13	587.13	981.29	660.68	1008.9	791.35	819.3	536.45	684.02	1044.52	825.0	995.0	1369.04	1259.69	1498.22	1225.22
PLEKHF2	543.96	603.67	262.2	647.07	332.14	379.04	341.51	441.64	241.19	215.77	341.51	409.15	201.25	132.44	96.68	131.51	81.14	136.19	126.12	114.36	172.65	279.14	150.17	92.7	167.9	127.0	149.12	208.38	147.06	224.97	112.77	143.01	120.1	190.34	151.22	202.66	119.26	131.51	181.28	159.9	154.42	156.59	239.52	199.85	191.67
PPAT	228.13	293.07	106.63	154.42	154.42	120.94	86.43	116.78	110.43	74.06	158.79	170.25	124.37	38.4	38.95	31.45	43.02	69.52	49.21	50.98	44.25	34.02	27.64	27.05	89.51	53.95	68.55	86.43	78.34	87.03	58.71	83.45	43.32	110.43	159.9	84.63	72.01	76.71	84.63	60.39	86.43	73.03	132.44	137.14	92.7
PRKAR1A	5112.16	7911.95	3690.52	6471.02	4268.94	4937.99	4903.87	5954.47	3372.43	4123.49	8778.97	5517.27	4010.71	1331.57	1233.75	1259.69	947.83	3372.43	2537.92	1991.0	1529.73	1561.89	1651.0	1844.76	5329.3	3639.7	3443.31	5112.16	4903.87	5292.48	4704.07	4388.98	3564.78	5006.93	3349.13	4736.79	4298.64	3467.27	4358.66	3794.3	4836.35	4152.18	4575.41	3820.7	4181.07
PTBP3	830.75	547.75	371.22	1378.57	775.05	414.87	599.49	934.76	660.68	698.41	575.03	665.29	1331.57	102.25	57.49	152.28	108.14	231.32	153.34	239.52	185.11	204.07	141.02	104.42	204.07	204.07	253.23	256.78	204.07	260.38	202.66	176.29	180.02	291.04	397.93	255.0	171.45	202.66	208.38	169.07	228.13	301.33	293.07	279.14	221.86
RCOR1	447.82	486.75	214.27	289.02	223.41	343.89	299.25	239.52	228.13	262.2	269.6	264.03	190.34	93.35	72.52	87.03	99.43	163.28	120.94	124.37	63.89	172.65	134.3	58.71	158.79	144.01	166.73	165.57	153.34	155.5	141.02	161.02	117.6	215.77	273.37	194.36	145.02	144.01	157.68	147.06	155.5	204.07	173.85	206.94	117.6
RFX7	260.38	194.36	111.21	381.68	206.94	128.79	134.3	134.3	120.1	108.9	182.55	221.86	132.44	17.0	17.51	39.22	48.18	72.01	54.72	47.5	55.1	49.21	19.53	16.15	81.71	57.89	111.21	126.12	80.57	120.1	75.11	78.34	48.18	113.56	96.01	87.65	73.54	85.82	111.99	55.89	92.05	111.21	120.94	134.3	95.34
RNF6	669.92	791.35	336.79	791.35	567.1	473.41	480.04	406.31	387.02	409.15	447.82	753.83	356.05	140.04	47.84	134.3	121.79	277.2	191.67	183.82	121.79	98.04	140.04	94.01	262.2	186.4	244.57	346.29	343.89	358.54	289.02	258.57	205.5	353.59	341.51	285.03	215.77	237.86	291.04	202.66	323.03	358.54	429.54	384.34	432.53
SCAMP1	896.64	551.56	500.46	1081.39	988.12	624.99	547.75	563.18	480.04	532.74	1044.52	902.89	603.67	98.04	73.54	147.06	80.57	220.32	130.6	145.02	169.07	141.02	244.57	255.0	698.41	379.04	473.41	656.11	708.18	728.11	571.05	438.59	356.05	684.02	450.94	332.14	493.56	457.25	503.95	366.09	460.44	392.44	493.56	748.61	395.18
SNX29	248.0	152.28	159.9	559.28	842.36	239.52	248.0	860.08	417.77	180.02	583.07	1191.69	819.3	27.64	41.81	79.45	28.45	86.43	74.06	54.33	22.59	46.84	27.64	43.02	141.02	83.45	149.12	164.42	110.43	180.02	94.01	120.1	88.26	180.02	105.15	125.24	100.83	102.97	107.38	132.44	150.17	198.47	236.21	180.02	242.88
SOCS7	351.14	26.86	41.52	432.53	178.77	139.07	93.35	215.77	70.51	55.1	242.88	660.68	126.12	7.06	7.94	5.87	12.09	6.89	17.51	11.04	2.14	25.17	7.28	2.58	57.08	38.4	39.79	108.14	36.01	87.03	26.86	75.11	17.13	135.24	90.14	44.89	48.18	45.53	70.51	48.52	83.45	102.97	128.79	146.03	125.24
SPIRE1	395.18	273.37	177.53	669.92	1498.22	423.61	785.88	693.58	242.88	285.03	426.57	693.58	529.06	23.59	60.39	75.64	158.79	15.8	77.79	41.52	4.86	234.57	16.27	11.04	182.55	92.7	199.85	214.27	155.5	183.82	101.54	269.6	96.68	361.04	361.04	186.4	228.13	153.34	156.59	144.01	173.85	124.37	234.57	156.59	113.56
SPTY2D1	441.64	447.82	202.66	587.13	343.89	314.17	281.09	384.34	220.32	221.86	248.0	420.68	346.29	96.68	72.52	89.51	83.45	129.69	150.17	97.36	73.54	75.11	81.14	80.57	138.1	108.9	128.79	172.65	138.1	173.85	118.43	113.56	120.94	180.02	152.28	116.78	111.21	123.5	127.89	117.6	186.4	209.84	336.79	239.52	242.88
STAU2	688.78	587.13	395.18	1073.91	764.36	647.07	591.22	1030.12	423.61	547.75	1015.93	988.12	647.07	223.41	181.28	500.46	371.22	583.07	366.09	429.54	444.72	289.02	363.56	384.34	470.14	318.57	500.46	473.41	447.82	583.07	389.72	403.5	299.25	555.41	470.14	532.74	423.61	379.04	432.53	373.81	507.46	450.94	400.71	507.46	435.55
STRN	348.71	271.48	129.69	366.09	234.57	157.68	167.9	363.56	137.14	135.24	279.14	314.17	169.07	45.85	29.06	88.88	38.12	128.79	46.84	107.38	57.49	77.79	87.65	38.95	105.89	66.65	102.97	104.42	97.36	143.01	85.22	87.03	72.01	140.04	125.24	93.35	95.34	97.36	96.01	85.22	98.73	115.97	120.94	142.01	100.83
TGFBRAP1	293.07	373.81	176.29	327.56	339.14	271.48	258.57	320.8	285.03	191.67	217.27	409.15	334.46	48.52	53.57	29.27	56.28	94.67	94.01	84.04	27.44	55.89	42.41	24.28	155.5	128.79	199.85	211.31	163.28	208.38	156.59	211.31	145.02	218.79	237.86	199.85	140.04	159.9	163.28	138.1	209.84	258.57	299.25	281.09	215.77
TGOLN2	2720.15	947.83	1359.57	4736.79	4388.98	3280.18	3039.3	2777.33	2664.15	2520.38	4268.94	3928.15	3124.78	1721.16	1651.0	1286.18	1331.57	2434.5	3443.31	2485.67	1427.22	1397.83	941.27	1467.37	1769.57	1167.14	1407.55	2335.28	1487.87	2193.99	1277.29	1857.6	1378.57	2163.77	1467.37	1685.71	1467.37	1651.0	1794.29	1781.89	2163.77	1757.34	2224.63	2502.97	1781.89
