	TCGA.A7.A26E.01A.11R.A169.07	TCGA.A7.A26J.01A.11R.A169.07	TCGA.D8.A1Y0.01A.11R.A14M.07	TCGA.BH.A1EW.11B.33R.A137.07	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.WYVS.1726.SM.3NMAY	TCGA.KN.8433.01A.11R.2315.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WQUQ.1926.SM.4OOSA	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.5508.01A.02R.1580.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N
HARS2	723.08	981.29	915.51	748.61	511.0	748.61	358.54	293.07	493.56	366.09	206.94	305.55	251.48	283.05	389.72	463.65	620.67	532.74	450.94	490.14	486.75	429.54	426.57	587.13	438.59	507.46	447.82	371.22	447.82	387.02	409.15	476.71	493.56	559.28	412.0	406.31	514.56	490.14	476.71	371.22
IK	2627.46	3146.52	3190.46	2271.4	2047.0	2609.3	529.06	1350.18	1059.11	1030.12	866.07	878.17	961.07	1096.5	2004.85	2104.58	2148.82	2075.59	1883.54	2075.59	2018.8	1709.26	1721.16	1883.54	2032.85	2163.77	1909.85	1697.45	2004.85	1832.01	1950.0	2047.0	2163.77	2287.2	2271.4	2271.4	2384.37	1819.35	1551.09	1674.06
IPO11	624.99	660.68	665.29	603.67	748.61	438.59	223.41	141.02	161.02	195.72	147.06	99.43	176.29	142.01	193.01	409.15	305.55	327.56	215.77	299.25	358.54	346.29	234.57	299.25	151.22	379.04	325.29	423.61	269.6	361.04	273.37	316.37	251.48	312.0	316.37	246.28	228.13	303.44	301.33	248.0
KDM3B	1359.57	1322.37	1191.69	1216.75	1208.34	1313.23	264.03	218.79	186.4	148.09	128.79	136.19	148.09	190.34	486.75	941.27	647.07	808.0	543.96	684.02	1051.79	669.92	395.18	612.11	480.04	854.13	665.29	373.81	536.45	497.0	684.02	728.11	775.05	620.67	769.69	759.08	1051.79	603.67	420.68	511.0
KIAA0907	808.0	1268.46	633.73	954.43	836.53	909.17	154.42	151.22	269.6	229.72	113.56	80.57	135.24	150.17	291.04	514.56	1037.29	1081.39	211.31	825.0	325.29	412.0	638.15	603.67	934.76	426.57	395.18	332.14	312.0	312.0	318.57	285.03	476.71	579.04	414.87	387.02	934.76	253.23	182.55	381.68
KRIT1	684.02	688.78	642.59	796.86	884.29	974.5	325.29	191.67	131.51	114.36	173.85	57.89	208.38	164.42	265.87	551.56	503.95	591.22	236.21	417.77	379.04	353.59	299.25	438.59	279.14	563.18	493.56	376.41	262.2	497.0	269.6	371.22	493.56	438.59	381.68	376.41	460.44	332.14	361.04	334.46
LARS	1540.37	2018.8	1896.65	1896.65	2664.15	2645.74	441.64	503.95	583.07	490.14	249.73	224.97	249.73	271.48	1104.13	1745.2	1417.35	878.17	836.53	1388.16	1151.06	1143.1	995.0	1015.93	1044.52	1208.34	1066.48	995.0	796.86	878.17	928.3	1088.92	1059.11	1059.11	995.0	884.29	769.69	884.29	1242.34	967.76
MAPK9	785.88	1268.46	1697.45	1008.9	738.29	543.96	212.78	141.02	214.27	237.86	148.09	153.34	178.77	186.4	356.05	674.59	435.55	679.29	420.68	514.56	633.73	470.14	457.25	457.25	392.44	486.75	460.44	476.71	343.89	511.0	435.55	521.76	414.87	490.14	728.11	473.41	447.82	486.75	293.07	503.95
MBLAC2	115.16	169.07	155.5	194.36	253.23	226.54	30.12	28.65	29.7	28.45	47.84	19.97	59.13	27.25	72.01	173.85	62.56	91.41	63.0	96.01	120.1	61.68	61.68	89.51	52.45	116.78	81.14	94.67	80.57	87.65	52.08	88.26	69.03	59.13	72.52	81.71	84.04	75.11	54.33	39.5
MFAP3	1111.82	1059.11	954.43	830.75	674.59	414.87	122.64	104.42	127.0	101.54	98.73	110.43	148.09	150.17	229.72	486.75	234.57	339.14	177.53	253.23	325.29	373.81	186.4	253.23	157.68	348.71	279.14	239.52	193.01	325.29	178.77	291.04	267.73	221.86	295.11	329.84	220.32	244.57	190.34	248.0
MSMB	68.07	186.4	102.97	146.03	25.91	24.81	3.86	3.03	0.0	0.0	6.31	0.0	0.0	10.79	894051.48	211455.3	783730.52	253213.41	711250.37	1019901.63	811368.76	778316.89	706337.4	845824.19	1212874.47	554180.87	778316.89	1264380.15	1308968.45	1139523.1	636586.81	1171559.48	919186.72	958220.73	919186.72	1645391.11	894051.48	619179.28	762299.34	654483.73
PAPD4	954.43	1030.12	1359.57	1127.35	1191.69	1359.57	178.77	214.27	291.04	208.38	226.54	130.6	283.05	208.38	264.03	575.03	551.56	713.11	295.11	575.03	518.15	500.46	341.51	473.41	406.31	669.92	470.14	476.71	295.11	612.11	361.04	420.68	483.38	483.38	438.59	397.93	728.11	343.89	314.17	463.65
PHAX	1407.55	1794.29	1250.98	1359.57	1268.46	1127.35	116.78	460.44	507.46	332.14	412.0	202.66	429.54	480.04	500.46	884.29	559.28	674.59	450.94	638.15	848.22	825.0	423.61	693.58	603.67	764.36	579.04	547.75	583.07	656.11	466.88	733.19	674.59	679.29	878.17	599.49	651.58	718.08	358.54	376.41
POC5	293.07	518.15	387.02	339.14	373.81	429.54	72.52	55.49	63.89	90.77	41.81	46.18	43.63	66.18	143.01	228.13	197.09	258.57	139.07	220.32	208.38	135.24	120.94	209.84	239.52	256.78	209.84	277.2	178.77	221.86	136.19	181.28	178.77	226.54	111.99	206.94	279.14	193.01	181.28	249.73
PWWP2A	329.84	387.02	341.51	361.04	409.15	271.48	100.83	123.5	82.29	68.55	73.54	28.65	80.01	86.43	187.71	325.29	273.37	325.29	144.01	265.87	336.79	283.05	161.02	199.85	231.32	289.02	251.48	275.28	153.34	262.2	163.28	366.09	267.73	281.09	191.67	202.66	265.87	204.07	173.85	229.72
RAD17	624.99	703.28	693.58	718.08	738.29	684.02	253.23	146.03	147.06	191.67	177.53	131.51	199.85	226.54	314.17	529.06	412.0	518.15	295.11	392.44	466.88	346.29	395.18	389.72	295.11	420.68	368.65	412.0	301.33	463.65	316.37	387.02	358.54	406.31	336.79	414.87	281.09	320.8	309.83	341.51
RAD50	928.3	1233.75	967.76	941.27	954.43	967.76	214.27	118.43	158.79	162.14	146.03	29.91	162.14	172.65	228.13	486.75	339.14	373.81	228.13	316.37	460.44	392.44	285.03	287.01	239.52	444.72	346.29	234.57	237.86	255.0	312.0	361.04	341.51	258.57	332.14	348.71	351.14	256.78	229.72	314.17
RAPGEF6	279.14	693.58	241.19	253.23	320.8	293.07	59.55	49.21	29.91	32.13	24.63	14.14	33.3	20.86	85.22	183.82	148.09	159.9	53.95	103.69	138.1	134.3	84.63	96.01	84.63	152.28	118.43	76.71	65.72	123.5	67.59	119.26	109.66	83.45	132.44	93.35	161.02	72.52	61.25	92.7
RARS	1709.26	1662.49	1896.65	1467.37	1477.58	1709.26	346.29	665.29	620.67	629.35	483.38	450.94	633.73	579.04	753.83	1135.2	947.83	981.29	638.15	921.88	988.12	941.27	753.83	813.63	785.88	928.3	921.88	854.13	688.78	947.83	684.02	813.63	764.36	764.36	738.29	819.3	961.07	743.43	599.49	764.36
RBM22	1051.79	1175.27	1417.35	1051.79	1427.22	1359.57	215.77	339.14	414.87	450.94	351.14	323.03	417.77	325.29	629.35	802.41	738.29	808.0	563.18	688.78	723.08	684.02	616.37	679.29	503.95	764.36	733.19	791.35	624.99	733.19	624.99	660.68	665.29	703.28	620.67	669.92	743.43	603.67	612.11	518.15
RICTOR	246.28	470.14	353.59	511.0	480.04	454.09	56.28	40.07	57.49	45.21	50.27	24.11	65.72	53.95	93.35	287.01	131.51	177.53	92.05	138.1	226.54	167.9	94.01	151.22	114.36	239.52	145.02	120.94	89.51	181.28	114.36	157.68	127.89	113.56	129.69	108.9	189.02	65.72	85.22	102.25
RUFY3	703.28	450.94	688.78	909.17	854.13	909.17	470.14	195.72	277.2	204.07	191.67	81.14	202.66	206.94	239.52	583.07	647.07	718.08	325.29	633.73	483.38	503.95	503.95	684.02	406.31	567.1	493.56	307.69	237.86	525.39	291.04	450.94	540.19	575.03	289.02	395.18	387.02	327.56	426.57	435.55
SCAF11	1331.57	1685.71	1745.2	1806.78	1674.06	1685.71	409.15	373.81	392.44	289.02	348.71	117.6	325.29	269.6	511.0	1081.39	813.63	1044.52	466.88	825.0	825.0	981.29	629.35	733.19	612.11	988.12	708.18	599.49	473.41	830.75	587.13	825.0	796.86	708.18	981.29	808.0	854.13	529.06	486.75	575.03
SENP7	441.64	267.73	265.87	417.77	679.29	603.67	70.01	45.21	66.18	44.25	44.57	15.91	58.71	18.03	82.87	265.87	201.25	299.25	86.43	215.77	221.86	178.77	123.5	180.02	165.57	221.86	141.02	142.01	88.26	237.86	100.13	161.02	185.11	208.38	156.59	171.45	297.17	133.36	79.45	127.89
SLU7	988.12	1378.57	1073.91	1135.2	934.76	1268.46	206.94	409.15	417.77	346.29	273.37	75.11	384.34	351.14	476.71	802.41	612.11	785.88	543.96	703.28	842.36	595.34	616.37	808.0	514.56	819.3	638.15	698.41	409.15	665.29	559.28	738.29	688.78	665.29	665.29	555.41	651.58	571.05	406.31	629.35
SMARCAD1	591.22	500.46	483.38	660.68	785.88	915.51	147.06	47.17	50.27	67.12	94.01	34.26	104.42	60.82	164.42	454.09	269.6	376.41	151.22	316.37	325.29	289.02	155.5	249.73	187.71	334.46	291.04	293.07	175.07	295.11	161.02	258.57	226.54	244.57	237.86	241.19	348.71	193.01	167.9	198.47
SMC5	529.06	426.57	480.04	612.11	842.36	599.49	62.56	107.38	102.97	96.01	137.14	32.36	148.09	118.43	177.53	454.09	287.01	343.89	173.85	348.71	397.93	432.53	176.29	299.25	204.07	426.57	255.0	211.31	176.29	343.89	221.86	312.0	277.2	242.88	283.05	228.13	368.65	190.34	169.07	271.48
SMG1	693.58	854.13	825.0	813.63	848.22	638.15	100.83	129.69	100.13	76.17	88.88	33.78	102.97	102.97	153.34	454.09	346.29	432.53	130.6	277.2	327.56	336.79	171.45	275.28	191.67	441.64	236.21	93.35	144.01	215.77	163.28	255.0	316.37	241.19	277.2	199.85	329.84	152.28	147.06	189.02
SNX2	1447.15	1806.78	2032.85	1467.37	1950.0	1685.71	954.43	587.13	555.41	583.07	656.11	444.72	854.13	808.0	954.43	1519.15	1159.07	1340.84	961.07	1286.18	1583.71	1304.15	915.51	1167.14	1051.79	1508.65	1111.82	1561.89	995.0	1594.73	1151.06	1208.34	1322.37	1457.23	1457.23	1551.09	1369.04	1250.98	947.83	1059.11
SREK1	1487.87	2061.24	1757.34	1721.16	1794.29	1617.0	206.94	211.31	309.83	177.53	214.27	66.65	206.94	366.09	470.14	1088.92	1191.69	1467.37	463.65	825.0	854.13	934.76	567.1	669.92	791.35	860.08	660.68	525.39	454.09	647.07	507.46	616.37	785.88	813.63	1073.91	733.19	1104.13	571.05	366.09	563.18
TRIM66	95.34	195.72	88.26	131.51	183.82	343.89	21.47	41.81	36.79	27.25	37.05	15.22	28.65	44.57	43.02	63.89	65.26	76.17	26.47	85.22	62.56	63.45	48.87	53.57	46.84	101.54	63.45	12.55	33.06	42.41	24.28	65.26	53.57	33.78	43.94	70.01	71.5	39.5	68.55	47.84
U2SURP	1427.22	1733.13	1628.26	1583.71	2434.5	1721.16	215.77	262.2	341.51	289.02	241.19	61.25	223.41	209.84	497.0	1191.69	1001.93	1111.82	511.0	775.05	1388.16	1023.0	536.45	723.08	748.61	1030.12	780.44	599.49	463.65	921.88	555.41	718.08	728.11	775.05	651.58	536.45	961.07	493.56	555.41	743.43
UTP15	334.46	397.93	503.95	503.95	379.04	327.56	54.33	101.54	97.36	82.87	84.63	54.33	75.11	94.67	115.16	178.77	147.06	186.4	94.01	149.12	182.55	166.73	134.3	123.5	139.07	170.25	145.02	115.16	105.89	131.51	95.34	123.5	100.83	114.36	220.32	127.0	141.02	99.43	78.34	103.69
YTHDC2	463.65	693.58	693.58	555.41	500.46	412.0	54.72	121.79	103.69	105.89	102.25	56.28	110.43	132.44	158.79	432.53	287.01	373.81	151.22	255.0	273.37	265.87	215.77	206.94	190.34	244.57	173.85	128.79	144.01	189.02	152.28	194.36	223.41	231.32	229.72	171.45	287.01	109.66	85.22	137.14
ZADH2	872.1	540.19	775.05	571.05	620.67	785.88	186.4	124.37	178.77	172.65	420.68	371.22	435.55	226.54	334.46	656.11	438.59	490.14	420.68	466.88	532.74	389.72	493.56	483.38	417.77	514.56	507.46	381.68	412.0	511.0	356.05	476.71	525.39	476.71	334.46	409.15	438.59	392.44	540.19	348.71
ZDHHC17	470.14	500.46	441.64	583.07	981.29	896.64	60.82	74.06	64.34	41.22	67.12	34.02	89.51	73.03	159.9	432.53	353.59	429.54	181.28	368.65	373.81	293.07	208.38	293.07	260.38	332.14	248.0	246.28	187.71	343.89	201.25	258.57	283.05	299.25	223.41	260.38	395.18	208.38	140.04	242.88
ZFYVE16	674.59	693.58	616.37	693.58	713.11	665.29	153.34	91.41	116.78	111.21	115.97	61.68	127.89	155.5	285.03	543.96	397.93	575.03	199.85	426.57	432.53	454.09	309.83	303.44	444.72	432.53	332.14	325.29	260.38	447.82	239.52	351.14	332.14	323.03	223.41	251.48	325.29	226.54	214.27	295.11
ZNF641	303.44	320.8	423.61	417.77	297.17	295.11	64.8	88.88	49.91	47.5	59.13	55.49	88.26	86.43	109.66	260.38	246.28	224.97	99.43	169.07	178.77	279.14	123.5	172.65	136.19	204.07	193.01	144.01	130.6	178.77	113.56	163.28	153.34	139.07	149.12	166.73	197.09	149.12	114.36	120.94
ZNF77	73.54	66.65	99.43	185.11	125.24	135.24	56.68	45.21	43.02	29.27	18.56	29.06	19.11	15.68	43.32	59.13	72.01	72.52	45.85	62.12	54.72	76.71	71.5	54.33	70.51	70.51	53.95	69.03	41.22	92.05	50.98	51.35	76.17	81.71	61.25	80.01	71.0	56.68	42.71	46.18
ZSCAN20	74.58	40.64	73.54	59.55	40.93	49.56	9.34	4.43	2.63	5.54	1.48	1.43	6.62	7.88	11.82	26.47	24.99	27.44	10.31	16.15	18.97	17.38	13.32	18.84	6.06	31.22	24.81	14.78	20.56	11.82	11.47	28.04	28.04	18.84	13.83	18.29	22.43	28.65	19.11	9.78
ZXDC	470.14	412.0	381.68	379.04	540.19	493.56	148.09	212.78	224.97	236.21	262.2	228.13	229.72	251.48	202.66	368.65	281.09	329.84	226.54	307.69	267.73	283.05	269.6	323.03	277.2	366.09	320.8	151.22	231.32	303.44	229.72	275.28	327.56	229.72	202.66	351.14	447.82	244.57	234.57	265.87
