	TCGA.G4.6302.01A.11R.1723.07	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.AA.3489.11A.01R.1839.07	GTEX.ZYVF.2826.SM.5GIDK	GTEX.14A5H.1626.SM.5SIAN	GTEX.13O1R.2426.SM.5KLZZ	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.L5.A4OE.01A.11R.A260.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.BA.A6DJ.01A.11R.A30B.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.WK11.2626.SM.4OOSK	GTEX.11EQ9.1726.SM.5HL6U	GTEX.12696.2226.SM.5EQ65	TCGA.AG.3742.11A.01R.1660.07	TCGA.AF.2689.11A.01R.A32Z.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.YFC4.2826.SM.5P9FR
ENAH	2627.46	961.07	2664.15	1617.0	1127.35	733.19	860.08	1023.0	406.31	1437.15	1909.85	1322.37	1417.35	981.29	1331.57	1923.14	2384.37	3589.58	1242.34	1794.29	2335.28	4937.99	2485.67	1685.71	3168.41	1628.26	769.69	2875.3	271.48
ERC1	348.71	301.33	575.03	139.07	255.0	195.72	205.5	381.68	239.52	470.14	559.28	228.13	191.67	0.0	0.56	438.59	738.29	567.1	423.61	429.54	559.28	674.59	532.74	444.72	397.93	206.94	281.09	483.38	181.28
ERGIC2	1540.37	1191.69	1259.69	1651.0	1651.0	1037.29	1143.1	1096.5	1159.07	1350.18	1388.16	1167.14	1519.15	0.0	0.49	2163.77	1721.16	1685.71	2682.69	3280.18	1437.15	1950.0	1963.57	1721.16	1909.85	2303.12	967.76	1685.71	1208.34
EVC	267.73	162.14	486.75	102.25	60.82	102.25	64.8	180.02	51.71	251.48	384.34	94.67	54.72	0.0	0.33	205.5	400.71	334.46	249.73	323.03	339.14	329.84	412.0	167.9	199.85	156.59	153.34	316.37	164.42
EYA1	2.39	4.24	3.69	1.36	6.67	2.27	2.46	2.46	0.0	1.07	1.23	0.36	0.73	0.0	0.0	1001.93	1437.15	264.03	629.35	483.38	723.08	141.02	387.02	503.95	381.68	5.5	7.34	5.28	2.23
FAM168A	470.14	351.14	872.1	187.71	246.28	220.32	191.67	271.48	97.36	432.53	629.35	155.5	146.03	137.14	107.38	363.56	748.61	748.61	511.0	638.15	497.0	379.04	426.57	417.77	387.02	291.04	303.44	620.67	389.72
FAM172A	234.57	295.11	361.04	239.52	187.71	197.09	190.34	191.67	87.03	251.48	353.59	59.55	67.59	0.0	0.33	500.46	612.11	738.29	497.0	447.82	346.29	483.38	314.17	571.05	361.04	387.02	181.28	480.04	329.84
FBXO21	480.04	450.94	728.11	255.0	314.17	307.69	356.05	256.78	346.29	358.54	454.09	237.86	178.77	0.0	0.25	532.74	890.44	1313.23	860.08	1044.52	743.43	438.59	563.18	733.19	866.07	414.87	348.71	559.28	332.14
FHOD3	307.69	384.34	616.37	232.94	204.07	305.55	110.43	371.22	67.12	277.2	1143.1	285.03	90.77	0.0	0.35	1794.29	2758.13	2758.13	3614.55	3280.18	3515.68	1191.69	1051.79	2047.0	2018.8	195.72	279.14	397.93	135.24
FOXJ2	379.04	341.51	733.19	172.65	255.0	217.27	267.73	392.44	153.34	463.65	480.04	153.34	173.85	172.65	376.41	343.89	454.09	518.15	361.04	426.57	432.53	412.0	490.14	353.59	536.45	248.0	318.57	460.44	237.86
FTO	743.43	748.61	1322.37	470.14	387.02	332.14	336.79	638.15	161.02	1030.12	1119.56	248.0	212.78	295.11	624.99	775.05	1175.27	1757.34	780.44	764.36	995.0	775.05	775.05	1268.46	988.12	612.11	518.15	1037.29	291.04
FZD7	1477.58	1073.91	2520.38	660.68	384.34	497.0	320.8	503.95	78.34	1437.15	1651.0	30.56	21.47	0.0	0.41	1143.1	1685.71	1191.69	2119.22	1540.37	1397.83	1844.76	1378.57	884.29	1572.76	1159.07	902.89	1457.23	480.04
GLB1L3	3.41	3.17	8.58	107.38	1.91	32.36	8.06	7.51	3.11	3.41	3.44	1.03	7.34	0.0	0.18	172.65	265.87	397.93	698.41	366.09	139.07	242.88	1.48	366.09	221.86	202.66	11.64	2.39	22.43
GLRB	215.77	312.0	450.94	77.79	29.06	31.22	12.0	8.13	1.58	20.56	36.53	7.11	1.11	0.0	0.28	212.78	249.73	373.81	314.17	358.54	147.06	165.57	52.08	226.54	64.8	107.38	45.21	204.07	17.64
GNAL	221.86	142.01	316.37	141.02	156.59	169.07	119.26	205.5	59.55	244.57	279.14	96.68	9.56	12.45	60.82	567.1	866.07	947.83	518.15	1104.13	620.67	909.17	693.58	518.15	961.07	164.42	155.5	229.72	186.4
GNG7	70.01	151.22	214.27	82.87	74.58	133.36	18.03	50.98	12.64	193.01	518.15	4.43	15.11	90.14	343.89	1081.39	1268.46	232.94	718.08	825.0	486.75	329.84	599.49	325.29	412.0	156.59	171.45	177.53	334.46
GPD1L	295.11	896.64	514.56	733.19	269.6	379.04	221.86	176.29	271.48	387.02	1008.9	66.18	77.79	0.0	0.29	974.5	1135.2	2502.97	1519.15	1870.53	1378.57	1081.39	1250.98	1111.82	1991.0	753.83	866.07	825.0	193.01
GPRASP2	307.69	309.83	665.29	123.5	82.87	103.69	90.14	107.38	35.0	141.02	281.09	11.04	13.42	0.0	0.28	400.71	563.18	476.71	423.61	460.44	473.41	316.37	301.33	312.0	353.59	251.48	186.4	490.14	285.03
GSTM4	921.88	1561.89	1651.0	1175.27	426.57	1508.65	660.68	1059.11	688.78	1081.39	1331.57	149.12	161.02	0.0	0.74	1757.34	1896.65	2287.2	2997.45	3349.13	3372.43	1628.26	1909.85	2047.0	2520.38	1340.84	1685.71	1369.04	607.87
HACL1	318.57	312.0	255.0	325.29	195.72	242.88	351.14	169.07	224.97	229.72	201.25	209.84	226.54	0.0	0.39	346.29	273.37	450.94	480.04	529.06	483.38	406.31	381.68	387.02	559.28	412.0	283.05	275.28	170.25
HAGH	1059.11	1508.65	1397.83	1662.49	947.83	1143.1	934.76	902.89	299.25	988.12	1674.06	733.19	466.88	1286.18	381.68	1639.59	1037.29	2018.8	2032.85	2520.38	2090.03	2119.22	1487.87	2240.11	2061.24	1583.71	1268.46	1143.1	802.41
HDDC2	1331.57	1844.76	1467.37	2271.4	2032.85	988.12	2468.49	2133.97	1322.37	1059.11	825.0	1651.0	2133.97	0.0	0.73	2796.65	1936.53	2319.15	3146.52	3372.43	2835.7	2935.74	2555.58	2895.31	2758.13	2119.22	1551.09	1697.45	2351.53
HSPB8	12853.63	18304.63	52497.92	8718.32	2163.77	4358.66	2104.58	4575.41	3235.01	7803.01	25354.3	17.9	555.41	0.0	0.57	16496.96	15392.14	10659.59	29327.18	27938.14	44452.21	19618.49	27174.14	22535.88	47642.77	17078.76	6699.25	19618.49	2032.85
IQSEC1	511.0	373.81	693.58	201.25	265.87	234.57	269.6	473.41	127.89	616.37	928.3	148.09	131.51	157.68	118.43	476.71	934.76	660.68	483.38	567.1	583.07	463.65	543.96	511.0	473.41	303.44	395.18	607.87	334.46
JAM3	1936.53	1628.26	4181.07	921.88	656.11	764.36	432.53	1378.57	127.0	3303.0	7081.29	40.93	72.52	0.0	0.62	2591.27	4481.23	1322.37	3372.43	5633.22	3325.99	2075.59	2855.44	1662.49	2895.31	1175.27	1167.14	2367.9	780.44
KAL1	102.97	14.14	7.28	7.63	5.63	10.24	2.68	82.87	26.28	55.49	50.98	60.82	62.12	0.0	0.0	24.11	46.84	108.9	25.35	116.78	103.69	25.35	49.56	155.5	41.52	13.42	11.55	20.26	4.17
KDELC2	486.75	543.96	791.35	406.31	248.0	236.21	246.28	629.35	171.45	518.15	397.93	127.89	84.04	0.0	0.46	872.1	785.88	1151.06	878.17	941.27	708.18	854.13	1225.22	454.09	1127.35	466.88	379.04	713.11	246.28
LNP1	75.64	77.25	114.36	52.82	43.94	35.25	33.06	34.02	4.94	44.57	82.29	11.47	7.28	0.0	0.16	100.83	81.14	137.14	106.63	118.43	134.3	58.3	159.9	66.65	101.54	72.52	40.36	90.14	44.25
LRPAP1	2835.7	2997.45	2835.7	2758.13	2609.3	2271.4	1313.23	2061.24	753.83	1508.65	1909.85	2451.44	1583.71	2163.77	397.93	3081.75	2915.45	5517.27	4298.64	4769.75	5831.91	2816.11	3639.7	5183.54	3614.55	2537.92	2835.7	2485.67	1662.49
MAEL	25.72	35.76	92.05	11.38	18.43	27.64	3.44	13.83	3.03	42.71	90.77	0.37	1.79	0.0	0.08	67.12	81.14	31.22	34.02	72.01	77.25	36.27	45.85	33.54	49.56	37.05	17.9	67.59	3.32
MAGEE1	61.25	68.55	132.44	29.27	25.72	19.25	10.88	34.51	7.17	31.67	67.59	1.6	12.09	0.0	0.15	89.51	144.01	255.0	144.01	154.42	224.97	87.65	99.43	147.06	143.01	37.32	57.89	78.89	23.76
MAGEF1	890.44	836.53	947.83	599.49	555.41	381.68	633.73	642.59	616.37	624.99	507.46	607.87	607.87	0.0	0.84	1295.13	1119.56	1697.45	1066.48	1639.59	1572.76	1233.75	1051.79	1331.57	1583.71	728.11	764.36	878.17	819.3
MAOB	1143.1	1697.45	3168.41	473.41	287.01	703.28	71.5	366.09	43.63	1030.12	2739.08	5.23	41.81	0.0	0.55	6207.38	6164.49	6887.62	7331.05	7911.95	11424.74	6887.62	3515.68	7180.15	5954.47	928.3	575.03	1909.85	921.88
MAP1B	669.92	320.8	591.22	217.27	206.94	316.37	255.0	1051.79	74.06	2816.11	5711.87	28.65	29.48	19.68	74.58	1023.0	2400.97	1467.37	947.83	1757.34	1127.35	1199.98	1359.57	1508.65	1909.85	220.32	229.72	493.56	147.06
MARC1	142.01	301.33	287.01	273.37	167.9	127.89	101.54	52.08	78.34	68.55	105.89	21.63	16.75	0.0	0.33	209.84	444.72	420.68	575.03	587.13	583.07	316.37	480.04	780.44	532.74	176.29	291.04	384.34	106.63
MBD5	236.21	476.71	884.29	397.93	191.67	186.4	191.67	329.84	150.17	567.1	470.14	121.79	153.34	0.0	0.38	289.02	507.46	371.22	473.41	808.0	575.03	281.09	473.41	241.19	293.07	518.15	211.31	665.29	101.54
ME1	267.73	226.54	241.19	231.32	209.84	156.59	147.06	299.25	397.93	466.88	435.55	346.29	32.36	0.0	0.62	521.76	583.07	400.71	830.75	967.76	921.88	860.08	796.86	723.08	981.29	297.17	175.07	291.04	106.63
MEAF6	1561.89	1685.71	2400.97	1427.22	1183.45	791.35	733.19	1286.18	967.76	1437.15	1304.15	902.89	1268.46	0.0	0.55	2468.49	2224.63	3081.75	2573.36	3443.31	2485.67	1963.57	2303.12	3540.14	2434.5	2303.12	1369.04	1857.6	1191.69
MED29	698.41	780.44	915.51	665.29	665.29	514.56	660.68	547.75	536.45	555.41	748.61	361.04	441.64	0.0	0.57	1015.93	1023.0	1286.18	1519.15	1175.27	1167.14	954.43	1119.56	1216.75	1225.22	743.43	713.11	723.08	713.11
MFN2	1417.35	1721.16	2956.17	1135.2	1059.11	1617.0	1208.34	1709.26	1175.27	2178.83	3928.15	1313.23	1104.13	0.0	0.72	2855.44	3794.3	2104.58	1896.65	1745.2	2434.5	1977.24	1498.22	2796.65	1909.85	1407.55	1628.26	1963.57	521.76
MOAP1	808.0	941.27	1477.58	836.53	629.35	624.99	540.19	303.44	152.28	1313.23	2119.22	303.44	289.02	0.0	0.41	1143.1	1151.06	1286.18	1030.12	1407.55	1369.04	1417.35	967.76	1498.22	1467.37	1277.29	866.07	1331.57	341.51
MOCS2	1059.11	1477.58	1594.73	1617.0	860.08	796.86	633.73	718.08	339.14	1331.57	1605.83	563.18	307.69	0.0	0.52	1936.53	1417.35	1159.07	1605.83	2240.11	1457.23	1359.57	1407.55	1407.55	1639.59	2075.59	802.41	1572.76	854.13
MRPL49	1081.39	1268.46	947.83	1781.89	866.07	819.3	1151.06	1208.34	981.29	1127.35	1331.57	1037.29	796.86	0.0	0.6	1806.78	1277.29	1721.16	1923.14	1745.2	1733.13	1685.71	1561.89	1697.45	1806.78	1685.71	902.89	1044.52	753.83
MTMR2	412.0	417.77	432.53	260.38	432.53	281.09	293.07	368.65	307.69	454.09	518.15	229.72	220.32	0.0	0.48	429.54	547.75	543.96	483.38	591.22	412.0	480.04	669.92	368.65	476.71	371.22	309.83	444.72	409.15
MUT	450.94	426.57	366.09	381.68	211.31	291.04	221.86	214.27	251.48	273.37	417.77	221.86	195.72	0.0	0.0	368.65	486.75	674.59	633.73	733.19	633.73	559.28	591.22	559.28	620.67	438.59	426.57	518.15	189.02
MYL9	303217.87	456418.21	1800541.22	334117.42	87075.75	140478.49	70238.75	636586.81	3280.18	1070607.81	1916442.45	890.44	1487.87	0.0	0.89	280957.98	228208.61	151608.43	355624.68	363097.14	462789.59	309589.14	327241.36	271387.49	299043.36	375901.76	234624.45	527933.71	84694.64
MYOCD	941.27	660.68	2004.85	490.14	249.73	409.15	228.13	336.79	15.11	753.83	1923.14	0.4	0.8	0.0	0.24	339.14	813.63	1529.73	599.49	559.28	395.18	718.08	1447.15	1191.69	242.88	775.05	490.14	1757.34	105.15
NBEA	190.34	232.94	743.43	101.54	59.97	189.02	61.68	63.0	6.73	267.73	423.61	1.01	3.92	0.0	0.27	341.51	507.46	713.11	473.41	733.19	651.58	353.59	532.74	283.05	312.0	256.78	189.02	551.56	195.72
NDUFB4	4328.55	6121.9	5183.54	8078.22	6607.01	5292.48	4671.57	6607.01	4736.79	4181.07	4512.4	3690.52	4419.52	0.0	1.28	6652.97	4450.27	5791.62	11664.82	12160.22	7081.29	6121.9	7589.61	8247.98	7433.4	7537.18	5479.15	5041.77	4123.49
NGFRAP1	2976.74	3257.52	4010.71	3372.43	2303.12	2537.92	1519.15	2956.17	796.86	2645.74	2417.67	2758.13	2573.36	0.0	1.0	6935.54	6381.92	7331.05	10014.87	11909.94	9673.69	4388.98	5076.84	11664.82	6079.61	3419.52	2351.53	3124.78	3039.3
NGRN	4769.75	4671.57	7331.05	3257.52	3589.58	3190.46	3443.31	3564.78	1936.53	3614.55	6699.25	2133.97	1923.14	0.0	0.88	5633.22	4123.49	3349.13	5555.65	6381.92	5479.15	5147.73	5219.6	5255.91	6337.83	4152.18	3349.13	4210.15	3540.14
NKX3-1	52.08	29.06	72.52	42.41	39.22	41.22	31.67	53.19	13.32	43.94	114.36	120.94	27.05	21.01	98.04	842.36	3395.89	1594.73	825.0	1857.6	1467.37	1104.13	612.11	3564.78	1498.22	48.52	35.0	35.76	31.67
NOL4	4.21	6.52	7.46	3.89	5.15	2.56	4.06	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.0	63.0	98.73	22.26	96.68	99.43	138.1	93.35	93.35	0.0	22.92	9.41	6.11	7.0	0.09
NPNT	559.28	414.87	195.72	102.25	190.34	69.52	122.64	878.17	1551.09	3491.39	796.86	334.46	457.25	878.17	629.35	3564.78	7966.99	909.17	7280.4	8421.31	7749.1	5329.3	2591.27	2758.13	3419.52	171.45	265.87	543.96	414.87
