	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.DD.A115.01A.11R.A131.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.OOBJ.0826.SM.3NB2K	GTEX.ZPU1.0826.SM.57WG2	GTEX.145MO.2326.SM.5NQ9K	GTEX.14753.1626.SM.5NQ9L	GTEX.UPK5.1426.SM.4JBHH	TCGA.EJ.7783.01A.11R.2118.07	TCGA.CH.5771.01A.21R.1580.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.CH.5738.01A.11R.1580.07	TCGA.EJ.7785.01A.11R.2118.07	TCGA.EJ.5502.01A.01R.1580.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.BR.8682.01A.11R.2402.13	TCGA.FP.8210.01A.11R.2343.13	TCGA.VQ.A922.01A.11R.A414.31
CBX7	256.78	189.02	381.68	293.07	500.46	503.95	381.68	503.95	175.07	785.88	106.63	127.0	176.29	387.02	237.86	269.6	234.57	323.03	118.43	189.02	194.36	379.04	981.29	1268.46	1225.22	884.29	1199.98	961.07	934.76	1225.22	1295.13	287.01
CDK5R1	14.03	11.64	28.86	5.96	36.01	15.91	11.64	19.53	6.41	11.13	4.13	2.66	4.28	19.39	5.02	13.03	11.73	9.56	9.06	3.79	3.06	5.73	49.21	25.91	30.12	42.41	36.79	21.63	67.59	24.63	48.87	53.95
CEP68	63.89	84.04	71.5	99.43	113.56	118.43	111.21	134.3	80.57	86.43	58.71	39.5	55.89	106.63	59.97	50.98	63.89	93.35	67.12	58.71	82.87	69.03	327.56	249.73	191.67	198.47	368.65	241.19	483.38	412.0	450.94	202.66
CEP85	43.63	65.26	92.05	90.77	113.56	121.79	158.79	67.12	53.95	82.29	56.28	62.12	55.1	65.26	44.89	61.25	56.28	71.5	47.84	24.28	15.11	59.13	133.36	71.5	99.43	96.01	125.24	134.3	201.25	166.73	137.14	417.77
CLEC16A	182.55	199.85	169.07	214.27	283.05	376.41	301.33	236.21	199.85	267.73	122.64	127.0	132.44	211.31	131.51	177.53	154.42	141.02	106.63	214.27	103.69	171.45	346.29	329.84	361.04	301.33	356.05	329.84	540.19	454.09	409.15	878.17
CRAMP1L	45.85	50.98	91.41	80.57	154.42	102.97	138.1	87.65	23.08	94.01	24.28	23.76	35.25	78.34	23.42	42.71	38.12	84.04	30.78	22.43	11.91	45.21	575.03	258.57	412.0	251.48	476.71	343.89	486.75	454.09	376.41	366.09
CREB3L2	187.71	110.43	239.52	211.31	444.72	312.0	417.77	269.6	164.42	379.04	100.83	133.36	138.1	228.13	147.06	249.73	181.28	138.1	103.69	159.9	83.45	149.12	587.13	954.43	693.58	825.0	819.3	780.44	967.76	713.11	607.87	518.15
CRIPAK	47.5	87.03	85.82	73.03	198.47	171.45	140.04	84.04	16.51	76.17	35.25	28.86	38.12	72.52	38.95	27.64	38.67	54.33	21.63	33.3	8.45	34.26	157.68	152.28	199.85	134.3	146.03	133.36	201.25	214.27	167.9	80.57
CYB561D1	13.22	41.22	32.36	19.97	79.45	68.07	41.52	26.67	12.55	53.95	6.84	3.72	5.68	35.0	10.79	18.03	15.91	32.36	11.91	6.78	0.72	26.47	195.72	197.09	197.09	161.02	228.13	183.82	305.55	358.54	253.23	318.57
CYTH1	669.92	629.35	848.22	679.29	1051.79	1322.37	733.19	896.64	595.34	651.58	493.56	414.87	642.59	802.41	543.96	463.65	525.39	738.29	454.09	450.94	547.75	785.88	1127.35	1119.56	1277.29	941.27	819.3	1216.75	1498.22	1457.23	1259.69	1001.93
DCP1B	84.63	126.12	163.28	246.28	158.79	231.32	177.53	132.44	115.16	175.07	102.25	78.89	123.5	221.86	102.97	95.34	97.36	165.57	93.35	71.0	52.08	176.29	450.94	414.87	299.25	339.14	389.72	353.59	348.71	363.56	518.15	412.0
DNAJC5	197.09	334.46	265.87	248.0	493.56	595.34	376.41	366.09	265.87	379.04	211.31	201.25	193.01	423.61	183.82	287.01	260.38	363.56	175.07	248.0	130.6	297.17	1037.29	995.0	981.29	981.29	1417.35	1167.14	759.08	1583.71	603.67	941.27
DPF2	229.72	371.22	368.65	397.93	447.82	532.74	392.44	348.71	208.38	334.46	277.2	195.72	241.19	379.04	206.94	231.32	293.07	249.73	229.72	181.28	100.83	305.55	1066.48	1001.93	961.07	808.0	954.43	967.76	954.43	848.22	1350.18	854.13
EEF2K	153.34	112.77	217.27	181.28	381.68	255.0	265.87	194.36	158.79	256.78	108.14	75.11	121.79	165.57	77.79	132.44	100.83	157.68	273.37	87.65	105.15	112.77	836.53	738.29	647.07	660.68	896.64	693.58	575.03	511.0	759.08	599.49
ELK1	540.19	470.14	441.64	447.82	591.22	607.87	521.76	460.44	384.34	665.29	351.14	351.14	351.14	612.11	336.79	525.39	363.56	595.34	384.34	409.15	353.59	395.18	780.44	753.83	603.67	738.29	738.29	802.41	743.43	674.59	909.17	902.89
ERBB3	1159.07	1508.65	3124.78	1794.29	2645.74	1896.65	2061.24	1819.35	1096.5	2090.03	791.35	486.75	1111.82	1844.76	1051.79	981.29	1088.92	1883.54	764.36	819.3	669.92	1733.13	2664.15	2335.28	2502.97	3540.14	2895.31	3443.31	1674.06	6250.56	1417.35	7695.57
EXTL3	63.0	53.57	81.71	81.71	197.09	135.24	141.02	154.42	67.59	228.13	39.79	52.82	54.33	146.03	66.65	95.34	68.55	139.07	72.01	63.45	20.56	97.36	273.37	327.56	239.52	283.05	346.29	353.59	595.34	318.57	521.76	414.87
FAF2	303.44	373.81	392.44	312.0	376.41	417.77	361.04	356.05	409.15	447.82	305.55	309.83	320.8	353.59	256.78	432.53	332.14	384.34	543.96	255.0	143.01	353.59	708.18	591.22	629.35	583.07	791.35	651.58	743.43	647.07	571.05	693.58
FAM168A	159.9	167.9	120.94	151.22	279.14	409.15	242.88	185.11	157.68	318.57	78.34	64.8	104.42	239.52	130.6	155.5	158.79	197.09	123.5	133.36	92.7	166.73	575.03	493.56	447.82	392.44	540.19	476.71	624.99	1268.46	599.49	493.56
FAM168B	403.5	281.09	339.14	351.14	693.58	480.04	616.37	669.92	320.8	764.36	297.17	258.57	291.04	473.41	258.57	368.65	351.14	435.55	301.33	312.0	273.37	371.22	1697.45	1044.52	1183.45	1044.52	1794.29	1322.37	1407.55	1870.53	1498.22	947.83
FAM219A	84.63	89.51	145.02	154.42	181.28	166.73	167.9	126.12	69.03	120.94	45.53	61.25	77.79	104.42	69.52	87.65	71.0	59.13	45.85	73.54	56.28	92.7	223.41	228.13	269.6	198.47	237.86	237.86	361.04	273.37	406.31	432.53
FAM73B	178.77	253.23	287.01	291.04	470.14	466.88	400.71	267.73	120.1	253.23	127.0	125.24	119.26	228.13	185.11	136.19	158.79	256.78	84.63	183.82	85.82	248.0	457.25	563.18	612.11	329.84	414.87	483.38	460.44	902.89	409.15	974.5
FITM2	90.77	110.43	67.59	114.36	135.24	132.44	201.25	143.01	100.13	122.64	64.34	54.72	90.14	92.7	91.41	87.65	73.03	76.71	131.51	98.04	72.01	116.78	194.36	208.38	215.77	226.54	265.87	239.52	111.99	236.21	121.79	156.59
FYCO1	169.07	186.4	209.84	249.73	341.51	295.11	466.88	214.27	136.19	343.89	113.56	91.41	177.53	248.0	120.1	193.01	148.09	171.45	244.57	103.69	120.94	211.31	759.08	638.15	493.56	532.74	693.58	575.03	915.51	791.35	860.08	384.34
FZD4	217.27	100.13	111.99	242.88	483.38	389.72	339.14	181.28	177.53	454.09	82.29	59.97	115.16	206.94	140.04	169.07	173.85	239.52	77.25	133.36	138.1	231.32	718.08	400.71	309.83	429.54	660.68	429.54	595.34	327.56	432.53	299.25
GCN1L1	239.52	271.48	447.82	224.97	438.59	551.56	441.64	239.52	301.33	314.17	211.31	191.67	253.23	327.56	178.77	299.25	167.9	406.31	301.33	142.01	99.43	351.14	909.17	753.83	753.83	629.35	890.44	769.69	1378.57	2255.7	1008.9	1628.26
GIGYF1	162.14	221.86	353.59	201.25	463.65	339.14	358.54	249.73	113.56	265.87	130.6	105.15	129.69	262.2	123.5	107.38	114.36	172.65	108.14	94.67	66.65	183.82	708.18	563.18	708.18	466.88	575.03	529.06	591.22	748.61	518.15	679.29
GOLGA3	204.07	145.02	165.57	182.55	297.17	325.29	258.57	215.77	147.06	232.94	103.69	118.43	121.79	221.86	133.36	224.97	129.69	145.02	105.89	130.6	59.13	133.36	656.11	603.67	599.49	571.05	934.76	656.11	1023.0	620.67	825.0	764.36
GPR107	165.57	151.22	193.01	186.4	320.8	244.57	279.14	256.78	178.77	291.04	125.24	115.16	152.28	249.73	137.14	202.66	170.25	177.53	158.79	120.1	100.13	159.9	854.13	961.07	743.43	723.08	961.07	890.44	791.35	733.19	638.15	1051.79
HCFC1	271.48	285.03	429.54	293.07	547.75	633.73	473.41	368.65	267.73	412.0	218.79	209.84	205.5	353.59	220.32	277.2	214.27	301.33	303.44	208.38	98.73	262.2	921.88	967.76	830.75	785.88	947.83	934.76	1397.83	1233.75	1388.16	1923.14
HERC2	379.04	500.46	616.37	473.41	529.06	447.82	493.56	343.89	251.48	483.38	183.82	197.09	336.79	454.09	389.72	323.03	353.59	432.53	239.52	316.37	180.02	480.04	921.88	866.07	928.3	718.08	921.88	825.0	1037.29	981.29	1037.29	647.07
HIC2	16.27	14.78	23.42	14.67	34.51	24.63	24.28	28.65	6.26	36.01	11.3	6.41	9.85	23.93	7.46	13.72	17.25	19.53	3.76	12.18	9.7	25.35	37.85	37.05	50.27	36.53	40.93	31.9	76.71	74.58	60.39	185.11
HIPK2	208.38	175.07	417.77	267.73	441.64	406.31	366.09	373.81	269.6	511.0	90.14	119.26	138.1	329.84	141.02	291.04	211.31	289.02	346.29	212.78	82.29	277.2	819.3	490.14	435.55	493.56	1639.59	571.05	563.18	409.15	466.88	463.65
HIRA	255.0	376.41	429.54	327.56	341.51	262.2	281.09	426.57	241.19	371.22	264.03	205.5	190.34	376.41	209.84	249.73	215.77	297.17	265.87	305.55	198.47	205.5	366.09	368.65	397.93	318.57	432.53	392.44	591.22	476.71	447.82	909.17
HNRNPUL2	379.04	327.56	587.13	463.65	669.92	587.13	543.96	447.82	373.81	291.04	320.8	339.14	387.02	441.64	307.69	417.77	363.56	507.46	307.69	248.0	108.9	417.77	981.29	860.08	1081.39	921.88	974.5	941.27	775.05	1104.13	1088.92	587.13
HOMEZ	92.7	112.77	109.66	123.5	162.14	198.47	205.5	102.25	139.07	150.17	117.6	52.45	100.83	133.36	88.88	61.25	88.26	199.85	119.26	111.21	105.89	121.79	265.87	327.56	239.52	258.57	267.73	356.05	277.2	289.02	281.09	307.69
HUWE1	718.08	813.63	934.76	954.43	1037.29	1104.13	1104.13	909.17	848.22	1073.91	511.0	518.15	748.61	967.76	567.1	854.13	703.28	830.75	866.07	454.09	260.38	674.59	2287.2	1832.01	1685.71	1519.15	2075.59	2004.85	2645.74	2255.7	2434.5	2061.24
INPPL1	395.18	543.96	620.67	536.45	1313.23	1159.07	1044.52	547.75	435.55	567.1	265.87	283.05	366.09	587.13	371.22	363.56	334.46	511.0	323.03	149.12	173.85	728.11	1819.35	1674.06	2104.58	1457.23	1977.24	1896.65	2303.12	2417.67	1757.34	3212.66
IP6K1	173.85	212.78	293.07	195.72	395.18	429.54	351.14	325.29	195.72	327.56	127.89	96.68	136.19	275.28	156.59	193.01	194.36	221.86	161.02	253.23	154.42	244.57	902.89	753.83	559.28	642.59	669.92	684.02	764.36	759.08	688.78	759.08
IQSEC1	343.89	297.17	583.07	409.15	884.29	733.19	713.11	450.94	392.44	775.05	221.86	107.38	283.05	603.67	277.2	417.77	299.25	486.75	239.52	175.07	205.5	595.34	1135.2	842.36	733.19	693.58	1008.9	825.0	1313.23	748.61	1059.11	872.1
IRGQ	83.45	92.05	137.14	87.03	232.94	223.41	149.12	153.34	69.03	151.22	54.72	53.57	64.8	94.01	79.45	80.01	93.35	125.24	67.59	106.63	42.41	88.26	264.03	320.8	339.14	262.2	255.0	293.07	387.02	332.14	273.37	363.56
KDM2A	486.75	514.56	529.06	647.07	848.22	1023.0	825.0	612.11	473.41	684.02	571.05	529.06	559.28	651.58	420.68	638.15	454.09	412.0	325.29	305.55	236.21	629.35	1059.11	981.29	995.0	890.44	1015.93	941.27	1519.15	1242.34	1519.15	1250.98
KHNYN	211.31	134.3	123.5	248.0	629.35	325.29	414.87	283.05	172.65	303.44	138.1	107.38	164.42	301.33	154.42	186.4	161.02	186.4	95.34	88.88	49.91	190.34	802.41	769.69	860.08	723.08	981.29	848.22	1167.14	1119.56	909.17	961.07
KIAA0100	253.23	363.56	444.72	312.0	759.08	988.12	423.61	423.61	249.73	698.41	125.24	134.3	103.69	500.46	163.28	287.01	251.48	409.15	265.87	231.32	125.24	312.0	1369.04	1662.49	1208.34	1304.15	1733.13	1313.23	1721.16	2075.59	1540.37	2976.74
KIAA0195	503.95	575.03	703.28	848.22	1143.1	1437.15	928.3	674.59	414.87	836.53	325.29	197.09	395.18	1008.9	503.95	514.56	463.65	775.05	454.09	332.14	269.6	813.63	1340.84	1378.57	1199.98	1044.52	1143.1	1369.04	1561.89	1540.37	1561.89	3955.48
KIAA0513	33.54	40.93	32.36	37.32	64.8	98.04	57.89	34.02	36.01	41.81	23.25	19.82	18.84	51.35	19.25	33.78	21.32	28.65	31.45	22.59	12.93	35.5	211.31	255.0	277.2	215.77	226.54	271.48	318.57	327.56	373.81	138.1
KMT2D	165.57	172.65	214.27	237.86	540.19	264.03	426.57	221.86	123.5	279.14	136.19	120.1	119.26	287.01	98.04	171.45	133.36	232.94	181.28	60.39	55.49	161.02	1059.11	599.49	738.29	532.74	775.05	638.15	1350.18	1350.18	967.76	1088.92
KREMEN1	32.59	30.12	41.22	18.43	127.89	68.07	23.59	47.5	54.72	72.52	15.56	15.0	16.15	59.97	21.94	56.28	43.94	78.89	32.13	11.38	12.27	42.71	363.56	447.82	356.05	389.72	412.0	547.75	371.22	186.4	291.04	256.78
LETM1	256.78	277.2	435.55	262.2	291.04	387.02	414.87	283.05	289.02	323.03	293.07	271.48	279.14	277.2	226.54	277.2	241.19	366.09	351.14	211.31	150.17	226.54	381.68	426.57	438.59	361.04	426.57	387.02	493.56	825.0	450.94	571.05
LLGL1	37.32	50.98	57.08	59.97	82.29	80.01	63.0	67.12	36.53	62.12	13.72	15.91	36.53	67.59	37.32	32.13	23.93	53.19	40.07	12.93	9.41	49.56	438.59	397.93	289.02	265.87	299.25	316.37	540.19	275.28	466.88	460.44
LSM11	12.83	19.25	38.95	19.82	23.08	26.28	31.67	16.63	13.32	20.86	10.16	7.11	12.18	20.41	10.16	14.89	13.83	17.0	9.56	6.94	6.62	22.1	93.35	64.8	57.08	56.28	98.04	45.85	74.58	78.89	57.89	41.81
MAPKBP1	34.26	49.91	53.19	45.85	80.57	73.03	122.64	53.19	22.75	60.82	18.16	31.22	34.51	55.49	27.25	36.79	29.48	59.97	42.41	18.29	8.25	66.18	221.86	178.77	234.57	167.9	205.5	206.94	361.04	336.79	299.25	301.33
MARK2	144.01	110.43	186.4	181.28	231.32	305.55	241.19	163.28	144.01	190.34	148.09	165.57	154.42	212.78	110.43	217.27	127.89	137.14	90.14	115.97	49.21	148.09	1044.52	934.76	896.64	802.41	988.12	909.17	591.22	808.0	629.35	490.14
MAVS	116.78	74.06	172.65	120.1	172.65	237.86	181.28	129.69	124.37	105.15	73.03	76.71	77.25	151.22	78.34	100.13	92.7	239.52	96.68	86.43	84.04	146.03	638.15	414.87	303.44	417.77	753.83	473.41	909.17	967.76	902.89	656.11
MBTPS1	775.05	825.0	688.78	915.51	961.07	941.27	934.76	1051.79	620.67	967.76	567.1	466.88	483.38	915.51	723.08	775.05	748.61	928.3	567.1	532.74	490.14	1127.35	1407.55	1242.34	1477.58	1498.22	1322.37	1651.0	1605.83	1388.16	1417.35	1096.5
MCM3AP	607.87	483.38	713.11	616.37	642.59	785.88	819.3	624.99	559.28	902.89	301.33	285.03	356.05	785.88	395.18	521.76	426.57	624.99	500.46	336.79	228.13	638.15	1417.35	1111.82	1081.39	954.43	1143.1	1259.69	1721.16	1583.71	1447.15	2018.8
MEN1	363.56	514.56	521.76	547.75	629.35	884.29	529.06	486.75	521.76	409.15	318.57	253.23	547.75	511.0	406.31	368.65	339.14	435.55	242.88	281.09	253.23	483.38	759.08	780.44	836.53	620.67	624.99	759.08	543.96	629.35	579.04	1159.07
MGAT5	42.11	69.03	65.26	112.77	99.43	124.37	122.64	77.79	42.71	166.73	21.94	38.67	27.25	96.68	27.84	104.42	111.99	62.12	84.63	51.35	12.45	96.68	395.18	325.29	309.83	438.59	493.56	389.72	1008.9	836.53	674.59	400.71
MICAL2	363.56	435.55	223.41	291.04	432.53	679.29	361.04	371.22	236.21	651.58	172.65	118.43	232.94	447.82	167.9	351.14	295.11	429.54	209.84	395.18	283.05	194.36	769.69	1529.73	432.53	1388.16	860.08	1066.48	1844.76	2777.33	2240.11	2047.0
MKS1	120.1	172.65	181.28	187.71	199.85	226.54	223.41	150.17	135.24	122.64	71.5	71.0	74.58	139.07	97.36	115.97	107.38	138.1	79.45	74.58	68.07	119.26	395.18	329.84	384.34	281.09	356.05	299.25	218.79	283.05	279.14	463.65
MON1B	307.69	264.03	209.84	341.51	376.41	540.19	366.09	457.25	334.46	392.44	202.66	229.72	231.32	444.72	232.94	351.14	279.14	320.8	293.07	297.17	211.31	348.71	842.36	4419.52	988.12	1167.14	748.61	1359.57	1066.48	813.63	656.11	753.83
MTF1	34.26	40.64	57.89	33.54	63.89	50.98	50.27	63.0	43.02	63.89	53.19	25.35	28.04	62.12	20.71	60.39	34.26	38.95	51.71	25.35	17.25	37.05	143.01	111.99	120.94	107.38	161.02	107.38	183.82	146.03	132.44	157.68
MTHFR	72.01	157.68	124.37	165.57	312.0	209.84	199.85	149.12	56.68	144.01	66.65	40.07	65.72	182.55	83.45	81.14	53.95	108.14	99.43	94.67	74.06	98.73	423.61	915.51	412.0	447.82	497.0	493.56	551.56	441.64	563.18	376.41
MUTYH	190.34	295.11	327.56	307.69	336.79	389.72	376.41	236.21	98.04	194.36	130.6	173.85	171.45	191.67	176.29	171.45	158.79	205.5	92.7	153.34	71.5	194.36	289.02	299.25	490.14	255.0	246.28	314.17	392.44	525.39	379.04	679.29
NAA60	860.08	1135.2	1023.0	1378.57	896.64	1909.85	1286.18	1216.75	1096.5	1159.07	813.63	638.15	1159.07	1051.79	836.53	718.08	813.63	1286.18	733.19	1015.93	1073.91	995.0	1427.22	1378.57	1447.15	1639.59	1617.0	1551.09	1304.15	1427.22	1651.0	1769.57
NACC2	98.04	115.97	108.14	93.35	194.36	214.27	194.36	209.84	84.04	265.87	82.29	61.68	100.13	171.45	59.97	117.6	105.89	208.38	115.97	83.45	55.89	121.79	287.01	490.14	283.05	226.54	435.55	334.46	387.02	764.36	624.99	307.69
NDST2	170.25	104.42	208.38	162.14	271.48	285.03	334.46	269.6	154.42	181.28	123.5	137.14	173.85	256.78	106.63	166.73	120.1	151.22	155.5	97.36	51.71	189.02	441.64	441.64	529.06	381.68	460.44	460.44	536.45	603.67	525.39	412.0
NEK4	116.78	130.6	242.88	204.07	223.41	265.87	277.2	215.77	148.09	212.78	123.5	143.01	129.69	189.02	121.79	221.86	145.02	170.25	283.05	102.97	69.52	251.48	318.57	301.33	224.97	287.01	358.54	287.01	309.83	236.21	336.79	384.34
NF2	152.28	208.38	202.66	147.06	316.37	327.56	209.84	157.68	133.36	295.11	117.6	94.01	134.3	218.79	139.07	163.28	152.28	190.34	145.02	175.07	117.6	165.57	400.71	348.71	406.31	343.89	450.94	417.77	454.09	307.69	397.93	511.0
NFRKB	112.77	119.26	119.26	165.57	283.05	301.33	269.6	136.19	116.78	193.01	81.14	86.43	89.51	182.55	94.67	105.89	98.73	117.6	86.43	45.85	51.71	132.44	529.06	403.5	379.04	320.8	532.74	358.54	441.64	486.75	429.54	575.03
NIPAL3	51.71	76.17	60.82	76.71	81.71	149.12	90.14	67.59	62.56	97.36	33.06	25.35	50.98	99.43	48.18	48.18	66.65	61.68	44.25	32.13	48.87	57.08	1437.15	802.41	1467.37	486.75	559.28	928.3	417.77	656.11	417.77	325.29
NOP9	159.9	143.01	212.78	151.22	242.88	285.03	218.79	195.72	170.25	251.48	144.01	139.07	138.1	189.02	138.1	152.28	159.9	224.97	115.16	133.36	95.34	157.68	323.03	379.04	363.56	341.51	429.54	395.18	334.46	348.71	283.05	547.75
NUAK1	42.41	59.55	100.83	62.56	182.55	127.89	121.79	100.83	38.95	89.51	20.41	19.97	27.44	66.18	45.21	47.5	48.18	32.13	120.1	28.45	31.9	70.01	197.09	267.73	133.36	89.51	170.25	138.1	343.89	204.07	224.97	356.05
OPA3	117.6	137.14	115.16	136.19	176.29	217.27	144.01	163.28	103.69	143.01	89.51	113.56	100.83	145.02	107.38	146.03	108.14	120.94	98.04	114.36	101.54	103.69	147.06	159.9	148.09	162.14	173.85	176.29	309.83	248.0	279.14	277.2
PDPK1	131.51	215.77	246.28	187.71	303.44	277.2	267.73	285.03	111.21	323.03	144.01	59.55	94.67	246.28	90.77	205.5	135.24	224.97	147.06	64.34	74.58	414.87	764.36	620.67	463.65	486.75	872.1	651.58	698.41	1242.34	521.76	493.56
