	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WQUQ.1826.SM.4OOSD	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XQ8I.1626.SM.4BOOI	GTEX.Y5LM.0426.SM.4VBRO	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZPU1.0826.SM.57WG2	TCGA.38.4625.01A.01R.1206.07	TCGA.AG.3732.11A.01R.1660.07	GTEX.13CF2.2426.SM.5LZYL
INO80B	738.29	775.05	656.11	460.44	660.68	1175.27	1457.23	1111.82	336.79	361.04	348.71	0.0	708.18	579.04
KIF7	149.12	368.65	620.67	507.46	346.29	316.37	297.17	231.32	2.01	6.16	2.29	77.25	111.21	48.52
KIFC2	237.86	551.56	473.41	457.25	493.56	579.04	1030.12	941.27	17.77	13.12	21.01	0.0	170.25	92.7
KLC2	1059.11	902.89	890.44	941.27	738.29	981.29	1295.13	1119.56	67.12	59.97	71.0	0.0	529.06	457.25
KMT2B	148.09	182.55	209.84	163.28	209.84	239.52	258.57	208.38	16.15	30.12	42.11	0.0	120.1	45.85
LAMA2	339.14	791.35	2178.83	738.29	733.19	860.08	967.76	507.46	151.22	73.03	11.73	0.0	420.68	61.68
LDHAL6A	1.23	1.62	2.05	2.27	1.81	3.59	6.26	4.86	0.51	0.0	0.0	0.0	1.53	0.0
LRRC37A3	101.54	118.43	152.28	88.88	170.25	178.77	295.11	231.32	6.11	40.64	32.13	0.0	72.52	32.13
MBD1	1096.5	954.43	1159.07	1044.52	1183.45	1407.55	1923.14	1685.71	301.33	283.05	295.11	0.0	915.51	476.71
MFSD10	1104.13	1322.37	1313.23	1015.93	1183.45	2104.58	2875.3	2287.2	94.01	57.08	99.43	0.0	884.29	620.67
MUTYH	253.23	457.25	379.04	255.0	444.72	470.14	796.86	785.88	156.59	77.25	92.7	0.0	316.37	279.14
NDOR1	152.28	182.55	182.55	148.09	198.47	277.2	366.09	309.83	46.5	30.12	32.36	0.0	137.14	84.04
NEURL4	547.75	532.74	638.15	483.38	733.19	830.75	1242.34	825.0	84.63	66.65	98.73	0.0	379.04	269.6
NOL3	1051.79	1250.98	1583.71	1331.57	1277.29	2148.82	3103.19	2796.65	234.57	124.37	84.04	0.0	693.58	1697.45
NRROS	82.29	127.0	420.68	137.14	71.5	171.45	318.57	182.55	42.71	45.53	121.79	0.0	90.77	62.56
NXF1	1870.53	2609.3	2682.69	2319.15	2319.15	3820.7	4095.0	3212.66	463.65	665.29	660.68	0.0	1733.13	830.75
PHRF1	356.05	426.57	480.04	432.53	447.82	463.65	591.22	551.56	199.85	141.02	211.31	0.0	299.25	309.83
PLA2G6	299.25	563.18	473.41	336.79	878.17	1175.27	1870.53	1477.58	44.25	109.66	43.63	0.0	371.22	148.09
PLCG1	1051.79	2090.03	2271.4	1359.57	1721.16	2645.74	3820.7	2255.7	77.79	153.34	205.5	0.0	842.36	423.61
PNPLA7	96.68	40.64	77.79	72.01	334.46	684.02	1044.52	612.11	43.63	98.04	75.64	0.0	115.97	64.8
POLE	285.03	540.19	403.5	373.81	525.39	457.25	743.43	583.07	363.56	153.34	170.25	0.0	334.46	295.11
PRCD	119.26	132.44	148.09	94.01	171.45	215.77	387.02	248.0	12.27	18.56	3.82	0.0	87.65	23.59
RAPGEF3	303.44	599.49	1259.69	511.0	848.22	1208.34	3168.41	2287.2	13.12	32.36	12.0	0.0	376.41	271.48
RFNG	988.12	819.3	954.43	941.27	1015.93	1498.22	1832.01	1487.87	748.61	571.05	684.02	0.0	791.35	493.56
SCAF1	1015.93	796.86	825.0	890.44	813.63	1023.0	1143.1	1037.29	271.48	218.79	256.78	438.59	688.78	669.92
SDR39U1	1508.65	1225.22	1417.35	1250.98	1674.06	2451.44	2835.7	2287.2	791.35	529.06	500.46	0.0	1183.45	1388.16
SH3GLB2	2193.99	1794.29	1685.71	2075.59	2956.17	3820.7	3794.3	3325.99	234.57	162.14	260.38	0.0	1870.53	1313.23
SPECC1L-ADORA2A	0.0	2.43	7.17	2.76	1.93	5.32	6.89	3.2	0.0	0.0	0.0	0.0	1.97	0.0
TENC1	4239.45	7032.37	12076.21	10084.54	8598.28	6792.79	11909.94	8963.45	808.0	1015.93	961.07	0.0	2701.35	620.67
TJAP1	890.44	693.58	819.3	775.05	802.41	1081.39	1407.55	1143.1	163.28	143.01	139.07	0.0	647.07	253.23
TMEM91	703.28	473.41	392.44	366.09	353.59	890.44	1167.14	583.07	35.5	15.8	36.53	0.0	366.09	239.52
TPM2	1063212.58	706337.4	663619.99	2392353.91	408505.64	74760.09	88291.3	93974.69	161.02	314.17	131.51	0.0	209994.66	554180.87
TUBGCP6	507.46	665.29	738.29	567.1	890.44	1127.35	1519.15	1073.91	90.14	125.24	115.97	0.0	371.22	234.57
ULK1	995.0	1096.5	1216.75	1073.91	1277.29	1519.15	1733.13	1628.26	253.23	206.94	251.48	0.0	660.68	271.48
ZNF133	420.68	299.25	343.89	244.57	366.09	493.56	674.59	414.87	52.82	46.84	69.03	0.0	301.33	201.25
ZNF444	941.27	500.46	575.03	679.29	819.3	1540.37	1551.09	1388.16	532.74	381.68	368.65	0.0	540.19	223.41
ZNF528	297.17	141.02	323.03	262.2	358.54	543.96	1277.29	718.08	18.56	78.34	17.0	0.0	314.17	114.36
ZNF577	371.22	185.11	384.34	400.71	470.14	454.09	753.83	718.08	21.16	52.82	30.34	0.0	381.68	59.13
ZNF580	1950.0	1350.18	1175.27	1662.49	1467.37	1883.54	2018.8	1794.29	105.15	43.32	104.42	239.52	703.28	242.88
ZNF783	185.11	258.57	334.46	249.73	320.8	384.34	603.67	460.44	2.03	9.63	4.66	108.14	158.79	100.13
