	TCGA.K7.A5RF.01A.11R.A28V.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.ED.A627.01A.12R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A10T.11A.11R.A131.07	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.13FTW.1126.SM.5J2NV	GTEX.14753.1626.SM.5NQ9L	GTEX.S4Z8.0526.SM.4AD4T	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.ZTTD.2726.SM.57WFA	TCGA.DJ.A3US.01A.11R.A22L.07	TCGA.EL.A3ZT.11A.13R.A23N.07	TCGA.KS.A41J.11A.12R.A23N.07	TCGA.H2.A2K9.11A.11R.A180.07	TCGA.H2.A3RI.11A.11R.A220.07	GTEX.ZAB5.0726.SM.5P9JG	GTEX.ZQG8.0926.SM.57WFF	GTEX.14AS3.0226.SM.5Q5B6	GTEX.11EQ8.0826.SM.5N9FG	GTEX.13NZ8.0226.SM.5J2OK	GTEX.13W46.0926.SM.5LU3T	GTEX.V1D1.0926.SM.4JBHQ
C12orf76	231.32	185.11	255.0	109.66	155.5	163.28	172.65	108.9	165.57	135.24	131.51	299.25	212.78	301.33	281.09	242.88	265.87	329.84	366.09	444.72	409.15	460.44	414.87	397.93	438.59	521.76	353.59	529.06	547.75	575.03	624.99	493.56
C5orf28	103.69	127.0	171.45	58.71	47.17	103.69	92.7	131.51	76.17	44.57	221.86	204.07	209.84	186.4	307.69	224.97	218.79	223.41	305.55	307.69	466.88	665.29	791.35	769.69	708.18	780.44	616.37	921.88	620.67	503.95	660.68	796.86
C8orf48	5.54	2.25	10.16	1.69	2.92	2.03	5.23	0.31	2.53	1.27	2.27	3.11	4.1	9.85	3.72	2.89	4.66	8.0	2.12	4.58	71.5	97.36	101.54	87.03	214.27	102.25	78.89	101.54	102.97	81.71	82.87	115.97
CABLES2	53.57	59.97	59.97	42.71	27.25	36.27	25.17	17.9	48.87	44.25	47.84	77.25	66.18	72.52	50.98	71.0	71.0	77.79	68.55	57.89	118.43	129.69	120.1	126.12	116.78	91.41	90.77	100.83	125.24	117.6	113.56	132.44
CBFA2T2	84.04	84.04	106.63	46.18	44.57	35.0	30.12	17.51	35.76	27.84	38.95	177.53	117.6	159.9	126.12	146.03	158.79	156.59	371.22	289.02	237.86	379.04	358.54	346.29	283.05	327.56	237.86	384.34	412.0	339.14	457.25	409.15
CBWD2	351.14	295.11	327.56	171.45	249.73	251.48	343.89	368.65	376.41	161.02	256.78	414.87	466.88	493.56	571.05	532.74	429.54	571.05	486.75	703.28	651.58	785.88	842.36	796.86	909.17	679.29	785.88	813.63	796.86	915.51	764.36	854.13
CCDC157	39.79	20.56	45.53	8.19	22.1	13.12	18.43	8.45	17.77	11.55	16.15	71.0	72.01	71.0	85.82	63.0	63.89	64.8	54.72	44.25	171.45	152.28	171.45	128.79	157.68	170.25	96.01	135.24	251.48	163.28	267.73	289.02
CCDC93	81.14	127.0	126.12	38.67	65.72	68.07	59.97	39.79	79.45	41.81	68.55	226.54	191.67	221.86	224.97	215.77	202.66	267.73	181.28	256.78	325.29	500.46	463.65	486.75	454.09	387.02	412.0	587.13	669.92	486.75	476.71	429.54
CDK13	299.25	197.09	336.79	124.37	208.38	291.04	197.09	146.03	165.57	122.64	190.34	376.41	368.65	336.79	318.57	395.18	312.0	414.87	397.93	384.34	500.46	759.08	624.99	656.11	624.99	633.73	579.04	1015.93	947.83	780.44	890.44	759.08
CDKL3	48.18	51.71	28.65	10.47	13.93	21.78	30.78	21.01	22.1	19.25	26.47	74.06	53.95	63.0	74.06	76.17	52.08	90.77	45.85	111.99	111.21	135.24	127.89	95.34	123.5	102.97	148.09	167.9	169.07	180.02	142.01	133.36
CDR2	346.29	341.51	543.96	148.09	384.34	275.28	264.03	241.19	199.85	255.0	234.57	507.46	454.09	373.81	540.19	460.44	486.75	507.46	314.17	305.55	665.29	1313.23	1487.87	1225.22	1322.37	1023.0	1127.35	1111.82	1350.18	1427.22	1208.34	1119.56
CEP152	9.85	8.0	21.63	17.9	2.36	10.96	12.93	4.43	23.59	4.35	12.18	22.59	16.03	18.97	21.47	56.28	17.9	28.65	16.39	40.64	36.79	66.65	68.07	67.12	52.82	71.5	40.07	94.67	126.12	141.02	102.97	52.08
CEP164	154.42	110.43	202.66	60.82	50.98	54.33	98.04	49.56	63.45	32.36	67.12	256.78	201.25	181.28	217.27	234.57	187.71	279.14	289.02	246.28	454.09	525.39	466.88	497.0	447.82	571.05	327.56	688.78	438.59	387.02	656.11	708.18
CEP290	41.81	30.34	60.82	2.86	17.38	22.75	25.54	16.75	14.35	23.08	14.67	109.66	53.19	103.69	71.5	134.3	94.67	128.79	127.89	145.02	139.07	228.13	223.41	191.67	175.07	204.07	162.14	271.48	397.93	287.01	293.07	246.28
CKLF-CMTM1	4.24	13.83	9.41	4.21	3.92	4.39	3.86	2.14	10.08	9.63	2.41	21.47	8.85	9.48	15.8	7.4	19.11	27.84	22.1	22.59	29.91	45.53	39.22	30.78	53.19	43.02	36.27	55.89	64.8	58.3	59.97	33.78
COMMD2	231.32	217.27	307.69	137.14	164.42	191.67	163.28	242.88	343.89	117.6	256.78	226.54	194.36	295.11	336.79	283.05	256.78	366.09	301.33	466.88	543.96	429.54	447.82	486.75	547.75	607.87	454.09	540.19	764.36	651.58	587.13	514.56
CPSF7	555.41	444.72	866.07	346.29	417.77	587.13	432.53	466.88	339.14	297.17	379.04	1073.91	1183.45	947.83	1008.9	1044.52	961.07	1175.27	1781.89	1286.18	1477.58	2018.8	1628.26	1721.16	1697.45	1685.71	1605.83	2271.4	2047.0	1857.6	2319.15	2351.53
CRAMP1L	62.12	71.0	86.43	23.93	24.28	20.71	59.13	31.67	41.22	11.91	48.87	217.27	120.94	141.02	162.14	167.9	155.5	172.65	215.77	232.94	251.48	432.53	366.09	363.56	301.33	376.41	217.27	361.04	432.53	371.22	571.05	470.14
CTBP2	138.1	62.12	376.41	44.25	53.95	129.69	115.97	109.66	136.19	26.47	76.71	915.51	854.13	1030.12	866.07	860.08	909.17	1051.79	878.17	866.07	1427.22	1832.01	1605.83	1697.45	1733.13	1540.37	1721.16	1208.34	1733.13	2178.83	1199.98	1437.15
DCUN1D4	470.14	217.27	305.55	140.04	361.04	571.05	353.59	334.46	293.07	316.37	246.28	507.46	366.09	409.15	417.77	536.45	395.18	500.46	567.1	551.56	371.22	583.07	525.39	616.37	583.07	708.18	543.96	738.29	629.35	490.14	642.59	738.29
DIP2A	120.1	128.79	223.41	75.64	68.55	101.54	81.71	77.79	70.51	82.29	86.43	242.88	273.37	220.32	258.57	305.55	260.38	329.84	551.56	493.56	384.34	460.44	457.25	423.61	392.44	432.53	368.65	607.87	341.51	423.61	460.44	525.39
DLX3	1.43	0.0	1.25	0.0	0.0	1.68	1.48	0.0	0.0	0.0	0.0	36.01	5.19	9.63	10.96	13.52	8.51	45.21	32.59	42.71	90.14	48.18	69.52	67.12	59.13	63.45	59.55	97.36	63.45	68.07	39.5	44.57
DMRT3	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.44	0.0	0.0	1.31	0.0	0.0	4.43	33.78	156.59	260.38	305.55	14.67	72.52	733.19	316.37	591.22	521.76	397.93
DNAH17	5.19	7.51	15.22	1.41	2.25	6.67	4.7	5.19	3.11	2.01	0.93	17.64	12.09	8.92	13.03	14.67	14.14	18.43	17.38	18.56	30.56	44.25	45.53	37.85	41.81	44.25	39.79	62.56	75.64	62.12	59.55	45.53
DTX3	182.55	102.97	299.25	60.39	57.08	72.01	148.09	36.53	95.34	38.95	78.34	1066.48	518.15	665.29	555.41	808.0	633.73	860.08	1030.12	1037.29	1119.56	1487.87	1199.98	1216.75	1378.57	1628.26	1119.56	2047.0	3742.05	2303.12	2335.28	2400.97
DVL2	229.72	195.72	301.33	110.43	87.65	135.24	87.65	63.45	81.71	108.14	85.22	743.43	400.71	529.06	470.14	599.49	503.95	536.45	890.44	669.92	616.37	842.36	775.05	693.58	775.05	848.22	559.28	1111.82	813.63	743.43	947.83	1277.29
DZIP3	50.63	35.5	71.0	12.64	20.71	32.82	29.91	33.78	30.78	15.45	31.9	157.68	51.71	116.78	71.5	125.24	70.51	120.1	220.32	195.72	262.2	389.72	356.05	339.14	275.28	353.59	260.38	409.15	511.0	381.68	420.68	356.05
EED	211.31	185.11	237.86	95.34	137.14	151.22	129.69	91.41	88.88	49.21	114.36	251.48	256.78	260.38	239.52	281.09	221.86	301.33	384.34	490.14	392.44	320.8	384.34	387.02	403.5	463.65	371.22	547.75	497.0	460.44	540.19	532.74
EHMT1	395.18	295.11	463.65	389.72	353.59	314.17	412.0	283.05	343.89	305.55	325.29	718.08	511.0	642.59	633.73	591.22	624.99	660.68	555.41	679.29	802.41	947.83	1001.93	988.12	842.36	928.3	830.75	848.22	1277.29	1015.93	1242.34	941.27
EML5	33.78	28.45	42.41	15.8	31.0	37.85	29.27	22.26	20.41	18.43	36.27	46.18	43.02	50.63	40.07	53.95	43.63	65.26	107.38	111.21	71.0	140.04	129.69	116.78	113.56	125.24	115.16	171.45	122.64	170.25	139.07	137.14
EPG5	110.43	58.3	110.43	75.64	59.55	59.13	84.04	52.82	68.55	74.58	102.25	150.17	152.28	162.14	128.79	190.34	140.04	182.55	209.84	186.4	305.55	511.0	417.77	450.94	323.03	457.25	334.46	447.82	381.68	379.04	483.38	438.59
FAM120C	66.65	51.35	63.89	29.27	40.36	55.89	37.32	43.94	21.01	32.36	31.22	90.77	75.11	93.35	71.0	90.77	77.79	106.63	84.63	98.73	96.01	120.94	115.16	121.79	101.54	132.44	114.36	133.36	137.14	163.28	194.36	141.02
FAM133B	185.11	156.59	275.28	43.63	206.94	299.25	178.77	175.07	170.25	81.71	187.71	351.14	435.55	406.31	348.71	397.93	348.71	441.64	457.25	532.74	444.72	579.04	563.18	473.41	638.15	595.34	555.41	638.15	796.86	748.61	633.73	669.92
FAM49A	81.14	49.56	172.65	49.21	41.81	72.01	98.73	128.79	88.88	62.12	43.32	251.48	102.25	162.14	142.01	244.57	131.51	228.13	232.94	463.65	759.08	693.58	748.61	642.59	591.22	612.11	575.03	616.37	595.34	571.05	551.56	536.45
FAM53B	100.13	113.56	132.44	36.27	11.3	18.56	72.52	49.56	57.49	17.51	73.03	395.18	297.17	361.04	507.46	438.59	426.57	466.88	397.93	312.0	503.95	743.43	612.11	738.29	567.1	616.37	447.82	718.08	921.88	1096.5	1001.93	647.07
FBXO48	28.24	16.27	14.67	11.3	9.7	18.43	15.56	13.62	8.99	19.97	14.14	12.93	12.27	17.77	17.0	21.47	14.78	24.99	17.64	21.47	18.43	31.22	36.27	25.91	20.86	33.54	29.06	47.5	35.76	32.13	35.76	33.78
FCHSD1	92.7	40.36	166.73	20.41	16.39	19.82	48.52	10.47	35.76	8.32	26.86	157.68	105.89	135.24	165.57	186.4	136.19	265.87	343.89	246.28	591.22	525.39	450.94	466.88	348.71	703.28	289.02	909.17	1151.06	669.92	708.18	629.35
FLJ00104	7.57	4.74	16.39	5.92	5.54	4.43	8.58	5.45	4.78	2.76	11.55	36.79	27.84	20.41	34.26	34.26	25.54	35.5	39.5	31.9	50.27	61.68	56.68	62.56	54.72	88.26	29.06	80.57	100.83	64.8	101.54	68.55
GPRASP2	118.43	64.8	102.25	77.79	74.58	80.57	77.25	81.71	54.72	104.42	99.43	287.01	163.28	260.38	159.9	297.17	190.34	248.0	339.14	277.2	260.38	423.61	397.93	417.77	409.15	432.53	320.8	567.1	555.41	555.41	366.09	450.94
HIC2	25.54	19.68	26.1	13.83	11.3	7.88	18.03	12.93	14.03	9.7	9.34	30.56	10.24	15.8	15.8	24.28	14.78	22.43	23.25	17.51	49.56	69.52	80.57	71.5	79.45	113.56	59.55	124.37	71.5	89.51	94.01	108.14
HKR1	161.02	220.32	371.22	105.15	121.79	182.55	187.71	92.7	118.43	132.44	132.44	624.99	603.67	595.34	612.11	575.03	497.0	660.68	842.36	896.64	1008.9	1498.22	1119.56	1286.18	1286.18	1199.98	915.51	1437.15	1407.55	1467.37	1857.6	1685.71
HNRNPH1	3018.3	3540.14	4607.24	1233.75	2271.4	2224.63	2591.27	1745.2	2855.44	629.35	2915.45	4869.99	6381.92	4181.07	4903.87	5831.91	3874.05	6471.02	6381.92	6887.62	8718.32	12502.12	13306.94	10959.3	11909.94	11189.6	10512.82	12589.08	15075.35	11504.21	12676.65	12853.63
HOMER3	202.66	371.22	529.06	141.02	88.88	149.12	162.14	100.83	95.34	54.72	127.89	438.59	244.57	371.22	334.46	271.48	232.94	438.59	323.03	511.0	1127.35	1508.65	1407.55	1268.46	1572.76	2163.77	1225.22	2367.9	2555.58	2032.85	1896.65	1685.71
HSPBAP1	76.17	87.03	135.24	39.79	68.55	81.14	148.09	78.89	88.26	35.0	73.54	108.14	143.01	111.21	120.94	129.69	115.97	127.89	75.64	182.55	221.86	226.54	269.6	273.37	358.54	228.13	291.04	343.89	234.57	248.0	341.51	392.44
INPP4A	82.29	52.08	115.97	43.32	32.82	42.11	58.71	66.18	57.89	22.75	48.52	205.5	71.0	125.24	77.25	131.51	108.14	148.09	134.3	175.07	253.23	173.85	212.78	220.32	167.9	299.25	164.42	312.0	256.78	186.4	209.84	228.13
JRKL	34.26	33.06	75.64	23.42	17.9	36.79	19.68	13.62	12.83	11.91	18.97	115.16	120.1	130.6	141.02	161.02	127.89	157.68	183.82	214.27	177.53	260.38	223.41	236.21	199.85	277.2	214.27	320.8	309.83	314.17	320.8	228.13
KANSL1L	105.89	77.79	180.02	43.32	61.68	109.66	60.82	42.41	47.84	94.67	74.58	264.03	218.79	291.04	223.41	336.79	253.23	343.89	283.05	275.28	325.29	521.76	426.57	447.82	389.72	438.59	400.71	463.65	500.46	647.07	395.18	500.46
KATNAL2	55.89	65.72	47.5	29.27	19.97	39.5	22.75	17.25	28.86	24.63	53.19	123.5	63.89	71.5	31.22	66.65	49.56	55.89	156.59	80.57	152.28	802.41	503.95	480.04	476.71	583.07	457.25	1313.23	2555.58	1417.35	1407.55	713.11
KIAA0556	86.43	88.88	140.04	32.36	28.45	33.3	67.59	22.26	52.08	21.78	32.59	199.85	163.28	221.86	177.53	206.94	209.84	293.07	264.03	181.28	466.88	860.08	743.43	748.61	629.35	688.78	438.59	954.43	738.29	660.68	866.07	1088.92
KIAA1009	43.02	46.5	51.35	3.41	18.84	26.67	32.59	15.34	20.56	18.7	20.71	101.54	103.69	102.25	94.01	119.26	84.04	136.19	127.0	175.07	182.55	194.36	212.78	209.84	218.79	208.38	177.53	316.37	293.07	246.28	323.03	307.69
KIAA1107	14.67	13.32	15.56	1.27	4.1	8.78	13.83	7.06	8.99	14.14	4.7	39.5	29.06	56.68	41.22	54.72	47.5	67.59	83.45	57.08	60.82	94.01	84.63	77.25	56.68	97.36	64.34	139.07	119.26	149.12	108.9	95.34
KIAA1683	28.24	25.91	20.26	11.91	7.34	8.92	21.63	11.82	39.5	5.92	41.22	39.5	41.22	38.67	66.18	35.0	47.5	67.59	60.39	43.32	228.13	412.0	363.56	183.82	197.09	209.84	323.03	483.38	638.15	486.75	269.6	412.0
KIAA1731	63.89	68.55	100.83	5.02	23.59	23.76	37.85	30.78	25.17	16.63	28.65	119.26	100.13	124.37	119.26	149.12	107.38	143.01	122.64	195.72	183.82	242.88	224.97	212.78	199.85	201.25	190.34	262.2	277.2	255.0	334.46	285.03
KIF27	28.86	11.38	45.53	2.16	34.51	42.71	23.42	28.45	18.29	18.29	23.76	62.12	67.12	79.45	72.01	59.13	59.13	90.77	95.34	74.06	126.12	214.27	155.5	171.45	147.06	198.47	106.63	283.05	329.84	325.29	241.19	159.9
KPNA5	33.3	17.13	66.18	14.14	14.67	20.11	31.9	12.18	7.0	5.41	21.32	97.36	55.1	89.51	74.58	113.56	61.25	99.43	130.6	142.01	167.9	262.2	262.2	208.38	208.38	234.57	256.78	376.41	251.48	273.37	236.21	303.44
KRBOX4	125.24	120.94	199.85	49.91	113.56	177.53	122.64	87.65	68.55	95.34	116.78	249.73	215.77	220.32	190.34	246.28	194.36	246.28	339.14	353.59	305.55	414.87	392.44	361.04	432.53	429.54	316.37	521.76	397.93	423.61	607.87	587.13
L3MBTL1	15.56	27.25	53.57	14.78	9.78	3.72	5.28	1.53	7.0	5.41	12.64	152.28	141.02	85.82	113.56	170.25	90.14	224.97	265.87	164.42	218.79	438.59	314.17	295.11	320.8	312.0	239.52	490.14	392.44	327.56	307.69	493.56
LRRC37B	32.59	73.54	88.26	13.83	37.05	30.34	52.82	11.82	29.91	22.26	23.08	140.04	127.0	111.99	139.07	118.43	115.97	130.6	166.73	211.31	190.34	215.77	202.66	239.52	244.57	265.87	154.42	299.25	435.55	361.04	334.46	253.23
MAP4K3	165.57	108.14	334.46	67.12	142.01	141.02	115.16	92.7	133.36	186.4	133.36	269.6	156.59	246.28	190.34	289.02	195.72	295.11	267.73	366.09	341.51	616.37	579.04	567.1	651.58	540.19	532.74	616.37	753.83	507.46	444.72	486.75
MAPKBP1	62.12	40.36	96.01	29.7	18.16	22.75	71.5	25.72	42.11	8.25	42.41	205.5	125.24	132.44	122.64	178.77	114.36	172.65	191.67	114.36	351.14	583.07	674.59	435.55	454.09	555.41	351.14	486.75	395.18	307.69	575.03	603.67
MKRN2	202.66	195.72	246.28	187.71	248.0	211.31	169.07	258.57	189.02	110.43	295.11	426.57	361.04	348.71	346.29	400.71	348.71	346.29	353.59	406.31	412.0	563.18	583.07	603.67	518.15	540.19	563.18	665.29	620.67	476.71	543.96	457.25
MLLT6	341.51	316.37	503.95	96.68	94.01	140.04	170.25	162.14	162.14	55.1	127.0	1457.23	1427.22	1191.69	1313.23	1467.37	1277.29	1572.76	1844.76	1844.76	1709.26	2627.46	2047.0	2287.2	1769.57	3212.66	1437.15	3146.52	3443.31	3303.0	3768.09	3146.52
MOK	128.79	84.63	249.73	23.59	59.13	107.38	94.01	53.57	53.19	52.45	40.93	152.28	194.36	214.27	151.22	214.27	194.36	258.57	258.57	155.5	466.88	830.75	764.36	638.15	728.11	500.46	412.0	669.92	775.05	688.78	836.53	1397.83
MORC3	208.38	93.35	231.32	89.51	155.5	138.1	164.42	100.83	103.69	127.89	98.73	348.71	187.71	327.56	273.37	368.65	264.03	356.05	414.87	463.65	318.57	371.22	353.59	371.22	381.68	507.46	327.56	543.96	651.58	480.04	525.39	480.04
MRPS6	1407.55	995.0	909.17	1407.55	1225.22	1081.39	896.64	764.36	848.22	693.58	836.53	1175.27	1051.79	1594.73	1250.98	1457.23	1477.58	2119.22	1313.23	1037.29	2417.67	2777.33	3742.05	2855.44	3540.14	3820.7	2796.65	5041.77	9025.81	6887.62	4358.66	2720.15
MSANTD1	3.11	2.16	2.2	1.13	0.0	1.28	0.78	0.83	1.04	0.03	0.08	4.46	3.38	3.86	4.06	1.69	1.64	5.28	3.56	4.46	19.53	23.76	30.12	22.92	23.42	34.02	27.84	35.76	78.34	56.68	39.22	22.26
MSANTD2	50.98	38.95	102.97	12.27	31.45	52.45	29.06	19.97	19.39	14.35	22.26	138.1	146.03	98.73	110.43	152.28	99.43	228.13	151.22	193.01	379.04	466.88	486.75	371.22	583.07	500.46	341.51	651.58	785.88	575.03	764.36	738.29
MSL3	271.48	189.02	358.54	114.36	181.28	204.07	336.79	159.9	163.28	98.04	267.73	403.5	260.38	291.04	273.37	368.65	279.14	397.93	305.55	555.41	575.03	493.56	540.19	633.73	579.04	460.44	503.95	718.08	759.08	503.95	620.67	624.99
MTRF1	145.02	144.01	153.34	67.12	76.71	105.15	133.36	80.57	124.37	79.45	120.94	110.43	150.17	126.12	103.69	117.6	115.16	167.9	162.14	177.53	163.28	195.72	229.72	156.59	202.66	228.13	183.82	412.0	334.46	236.21	314.17	379.04
MURC	1.36	4.9	4.06	0.78	3.2	0.0	0.97	1.75	1.36	0.09	0.03	3.76	0.0	2.41	2.53	5.96	2.07	3.0	3.38	1.53	4.35	10.79	9.7	10.88	17.9	21.16	13.22	11.13	33.3	13.03	12.18	7.82
MYCN	3.06	5.36	2.68	0.0	0.79	2.18	0.43	0.37	0.0	0.14	1.03	3.59	1.36	1.77	1.87	0.48	2.81	7.17	5.23	16.27	21.63	55.89	87.03	55.49	105.89	224.97	49.91	231.32	178.77	86.43	100.83	89.51
MYLIP	112.77	51.35	177.53	31.0	27.44	90.77	37.85	40.93	35.0	18.7	38.4	551.56	299.25	595.34	463.65	642.59	579.04	669.92	775.05	476.71	1059.11	1477.58	2032.85	1340.84	1331.57	1769.57	1119.56	2178.83	1832.01	2119.22	1508.65	2148.82
N4BP2L2	583.07	547.75	764.36	181.28	368.65	486.75	348.71	325.29	384.34	309.83	470.14	1066.48	1119.56	1059.11	947.83	1295.13	947.83	1508.65	1909.85	1674.06	1417.35	2148.82	2061.24	1781.89	1628.26	2178.83	1733.13	2758.13	2701.35	2335.28	2417.67	2739.08
NEK9	532.74	629.35	669.92	376.41	395.18	483.38	381.68	363.56	305.55	258.57	414.87	1175.27	733.19	559.28	748.61	1001.93	796.86	961.07	1088.92	1199.98	896.64	1167.14	1037.29	1216.75	1111.82	1295.13	1066.48	1583.71	1508.65	1487.87	1769.57	1268.46
NINL	236.21	80.57	150.17	113.56	61.25	92.7	86.43	64.34	64.34	60.39	68.07	113.56	75.64	98.04	99.43	153.34	99.43	134.3	178.77	248.0	295.11	438.59	454.09	463.65	409.15	540.19	255.0	620.67	679.29	457.25	934.76	629.35
