	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.YC.A89H.01A.11R.A36F.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.E9.A1NG.11A.52R.A14M.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.QVJO.1826.SM.447C9	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	GTEX.133LE.1726.SM.5K7VQ	TCGA.C5.A1MP.01A.11R.A14Y.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.VS.A8EL.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.ZJ.AAXU.01A.11R.A42T.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.A6K2.01A.11R.A31N.07	TCGA.CN.5364.01A.01R.1436.07	TCGA.CV.6936.01A.11R.1915.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.CV.6945.01A.11R.1915.07	GTEX.1399S.0526.SM.5IJG8	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07
BHMT2	9.7	9.56	1.6	0.67	1037.29	1111.82	733.19	1199.98	1628.26	587.13	2178.83	1551.09	1806.78	1250.98	2573.36	493.56	1963.57	1242.34	607.87	1437.15	2032.85	603.67	1583.71	1745.2	791.35	1529.73	1304.15	1561.89	854.13	915.51	307.69	518.15	1183.45	830.75	2240.11	785.88	1594.73	1883.54	346.29	273.37	285.03	211.31	15.91	0.6	2.61	1.99	0.96	5.59	90.77	275.28	17.64	7.57	3.59	10.39	4.94	5.19	6.01	44.25	5.73	1359.57	8.06	13.52
C6orf89	518.15	547.75	733.19	432.53	909.17	1143.1	974.5	791.35	1167.14	738.29	1561.89	1427.22	1015.93	1119.56	1350.18	1143.1	1268.46	1183.45	1313.23	1250.98	1268.46	1359.57	1286.18	1331.57	1216.75	1216.75	1540.37	974.5	1059.11	854.13	909.17	733.19	1159.07	1487.87	1066.48	947.83	1030.12	1350.18	660.68	1104.13	733.19	909.17	579.04	540.19	587.13	381.68	536.45	368.65	764.36	791.35	529.06	543.96	759.08	896.64	796.86	532.74	620.67	738.29	723.08	1051.79	486.75	249.73
CAT	1709.26	607.87	529.06	713.11	6337.83	8421.31	4210.15	11112.3	15392.14	4481.23	16960.78	13776.25	10368.08	8479.89	15285.81	7230.1	13872.08	10733.74	9215.48	9808.75	13872.08	14461.21	10154.69	9279.58	15075.35	13033.07	7857.29	15824.9	8421.31	6079.61	4123.49	5672.41	6607.01	7642.41	6887.62	13586.57	12244.81	8247.98	4328.55	4575.41	5872.48	6426.31	571.05	583.07	1151.06	194.36	214.27	403.5	3257.52	2701.35	928.3	878.17	314.17	346.29	275.28	287.01	444.72	890.44	187.71	5913.33	5403.7	718.08
CAV2	420.68	1242.34	1208.34	190.34	5329.3	5995.9	4450.27	6516.03	10883.59	2319.15	10154.69	9673.69	11827.67	6337.83	8778.97	4704.07	7230.1	6983.79	7642.41	6121.9	10084.54	8963.45	5954.47	5711.87	7537.18	11345.82	16611.71	9606.86	7382.04	4038.61	9673.69	3768.09	3614.55	4736.79	8658.09	10084.54	15934.98	5255.91	3349.13	3395.89	5076.84	2417.67	642.59	1407.55	1781.89	1135.2	5006.93	651.58	2061.24	2240.11	2271.4	2485.67	2796.65	1651.0	1594.73	3589.58	1977.24	2417.67	2209.26	1242.34	3443.31	2133.97
CD164	3325.99	2451.44	2400.97	2997.45	6426.31	6652.97	6516.03	6079.61	10225.32	4450.27	10585.95	11035.54	9151.82	7130.55	7911.95	6250.56	8247.98	9215.48	9088.59	6561.36	9474.59	9673.69	6792.79	7749.1	9409.14	8658.09	13681.08	13399.51	8247.98	3564.78	4328.55	2104.58	7230.1	7589.61	6294.04	9025.81	12589.08	4607.24	3564.78	4512.4	2739.08	3901.01	2502.97	2758.13	2816.11	1233.75	1923.14	2148.82	5555.65	4937.99	2335.28	2178.83	3257.52	2976.74	1769.57	2209.26	2287.2	2956.17	1991.0	6337.83	8718.32	5041.77
CD302	35.5	96.68	13.62	28.04	934.76	1407.55	518.15	647.07	1159.07	381.68	2119.22	1844.76	1044.52	1340.84	1378.57	1119.56	1295.13	1757.34	1286.18	1268.46	1233.75	2520.38	1322.37	1605.83	2163.77	1407.55	1662.49	1135.2	1111.82	688.78	540.19	400.71	775.05	1143.1	583.07	2816.11	1936.53	1331.57	612.11	1378.57	1977.24	579.04	96.68	76.17	77.25	26.47	53.19	32.13	579.04	902.89	18.16	49.91	25.17	38.12	29.27	22.43	31.9	90.77	28.04	954.43	802.41	55.1
CDC14B	108.9	69.52	86.43	61.68	299.25	457.25	307.69	256.78	466.88	239.52	785.88	651.58	476.71	470.14	656.11	351.14	547.75	555.41	540.19	536.45	647.07	620.67	651.58	665.29	656.11	473.41	909.17	1023.0	346.29	392.44	366.09	497.0	1340.84	748.61	287.01	728.11	400.71	967.76	525.39	486.75	353.59	211.31	141.02	81.14	77.79	62.12	40.36	94.01	264.03	265.87	52.45	88.88	126.12	28.86	48.87	43.32	141.02	108.14	36.01	316.37	111.99	36.01
CDKL1	42.71	39.79	24.28	28.45	122.64	138.1	87.03	122.64	154.42	81.14	295.11	217.27	153.34	141.02	397.93	132.44	251.48	177.53	120.94	231.32	134.3	242.88	143.01	353.59	205.5	146.03	260.38	120.94	320.8	122.64	137.14	81.71	102.97	98.73	463.65	289.02	414.87	167.9	136.19	195.72	283.05	130.6	42.71	119.26	150.17	49.56	53.95	32.36	202.66	162.14	64.8	102.25	54.72	75.11	125.24	30.34	82.29	128.79	81.14	708.18	149.12	65.72
CEP63	265.87	215.77	249.73	356.05	463.65	587.13	450.94	511.0	733.19	503.95	813.63	624.99	738.29	708.18	698.41	620.67	748.61	728.11	813.63	780.44	1044.52	728.11	748.61	854.13	674.59	669.92	780.44	703.28	884.29	540.19	463.65	420.68	703.28	616.37	802.41	728.11	947.83	438.59	559.28	529.06	599.49	521.76	532.74	575.03	587.13	249.73	412.0	514.56	447.82	346.29	325.29	323.03	269.6	473.41	466.88	229.72	141.02	651.58	320.8	363.56	277.2	111.99
CLSTN2	0.67	0.35	3.17	0.35	368.65	642.59	186.4	656.11	819.3	211.31	3372.43	1175.27	780.44	836.53	1407.55	470.14	2287.2	638.15	493.56	1529.73	1191.69	583.07	934.76	1662.49	463.65	928.3	493.56	1709.26	616.37	532.74	116.78	567.1	1096.5	1225.22	23.08	248.0	1015.93	1561.89	2255.7	848.22	988.12	371.22	24.28	4.13	1.95	40.36	1.31	2.1	105.89	121.79	22.59	22.75	6.41	11.82	13.22	6.21	4.7	9.06	37.59	420.68	21.78	3.11
COL4A3BP	255.0	142.01	334.46	156.59	629.35	928.3	503.95	633.73	1191.69	323.03	1216.75	1183.45	1111.82	842.36	1135.2	718.08	1044.52	1059.11	1044.52	878.17	1088.92	1081.39	947.83	1037.29	1350.18	1111.82	1572.76	1561.89	1487.87	848.22	679.29	511.0	1001.93	1143.1	1127.35	1397.83	1073.91	1008.9	624.99	693.58	633.73	480.04	198.47	236.21	253.23	181.28	232.94	262.2	447.82	503.95	267.73	189.02	314.17	346.29	218.79	158.79	279.14	297.17	198.47	616.37	753.83	167.9
CRYZL1	486.75	223.41	400.71	476.71	915.51	830.75	769.69	860.08	819.3	703.28	1529.73	1066.48	915.51	878.17	1081.39	713.11	928.3	902.89	854.13	769.69	1051.79	1104.13	1008.9	1044.52	1015.93	825.0	1259.69	713.11	647.07	583.07	536.45	713.11	447.82	878.17	368.65	441.64	1081.39	536.45	775.05	791.35	1437.15	587.13	361.04	271.48	253.23	281.09	256.78	305.55	703.28	511.0	291.04	325.29	339.14	444.72	283.05	325.29	153.34	429.54	348.71	567.1	563.18	221.86
DCUN1D3	50.27	49.91	55.89	61.25	244.57	599.49	305.55	281.09	463.65	191.67	759.08	490.14	457.25	518.15	583.07	285.03	540.19	403.5	267.73	555.41	490.14	414.87	392.44	450.94	406.31	591.22	525.39	358.54	361.04	454.09	384.34	293.07	395.18	376.41	567.1	435.55	547.75	281.09	248.0	208.38	281.09	241.19	53.19	112.77	54.72	137.14	47.17	55.49	341.51	323.03	157.68	53.19	157.68	75.64	80.01	68.07	138.1	109.66	100.13	181.28	239.52	82.29
DDR2	4.62	22.1	33.06	14.56	1447.15	2796.65	1127.35	1594.73	3146.52	684.02	5831.91	5329.3	2915.45	2997.45	4298.64	1378.57	4903.87	3124.78	2018.8	2976.74	5041.77	2018.8	3395.89	4268.94	2537.92	3349.13	1950.0	3257.52	2351.53	1233.75	813.63	1733.13	2047.0	4769.75	2451.44	1572.76	2997.45	1628.26	854.13	1467.37	1477.58	403.5	92.7	7.94	38.95	25.35	23.08	24.63	295.11	336.79	36.79	62.56	20.26	69.03	52.45	64.8	58.71	39.79	35.5	323.03	170.25	5.41
DIP2C	81.71	46.18	100.83	69.03	229.72	373.81	279.14	256.78	567.1	195.72	432.53	529.06	366.09	358.54	693.58	295.11	486.75	414.87	480.04	483.38	444.72	429.54	373.81	409.15	435.55	543.96	713.11	441.64	450.94	406.31	334.46	285.03	271.48	420.68	438.59	638.15	389.72	395.18	260.38	332.14	353.59	320.8	105.89	85.82	88.88	48.87	7.0	47.5	129.69	146.03	57.08	46.5	52.45	90.14	66.18	48.52	68.55	98.04	49.91	275.28	59.55	5.02
ECM2	3.96	32.36	21.94	10.55	3190.46	2997.45	1350.18	2796.65	4704.07	1127.35	8421.31	6079.61	3349.13	4512.4	4328.55	2178.83	4836.35	3443.31	2537.92	3589.58	6887.62	4038.61	4123.49	5255.91	4010.71	5672.41	2976.74	4671.57	2319.15	587.13	521.76	1350.18	1529.73	1159.07	1417.35	1628.26	6983.79	1023.0	409.15	1417.35	1794.29	703.28	122.64	11.91	43.63	19.25	21.01	15.45	406.31	412.0	39.22	87.03	61.68	55.89	64.8	96.01	41.81	44.25	12.0	536.45	521.76	21.16
EIF4E3	248.0	54.72	190.34	124.37	607.87	775.05	500.46	848.22	921.88	295.11	1551.09	1088.92	1023.0	872.1	988.12	684.02	954.43	1023.0	1073.91	796.86	1417.35	1350.18	1119.56	1008.9	1044.52	1183.45	1427.22	2287.2	1073.91	551.56	389.72	518.15	323.03	1059.11	1359.57	1277.29	1233.75	1008.9	567.1	417.77	1127.35	406.31	165.57	112.77	152.28	177.53	65.72	72.52	371.22	283.05	67.59	105.15	108.9	116.78	139.07	40.07	204.07	206.94	55.49	220.32	287.01	98.04
EIF4EBP2	529.06	417.77	409.15	599.49	1857.6	2816.11	1286.18	2351.53	3540.14	1059.11	4836.35	3515.68	2976.74	2178.83	3168.41	2384.37	2915.45	3515.68	3589.58	2417.67	3325.99	4903.87	2758.13	2976.74	5255.91	3874.05	2777.33	3419.52	2816.11	2032.85	1639.59	1745.2	2075.59	2351.53	2434.5	3794.3	3124.78	2018.8	2400.97	1857.6	2047.0	1529.73	332.14	406.31	571.05	389.72	190.34	447.82	1216.75	1030.12	316.37	316.37	490.14	620.67	536.45	348.71	854.13	473.41	802.41	1191.69	848.22	204.07
ERVW-1	0.67	0.0	6.57	0.34	0.41	2.18	0.8	0.0	2.23	0.41	11.38	8.38	1.25	3.44	2.46	2.81	7.17	4.43	5.32	10.71	9.41	7.63	5.15	8.13	11.64	8.99	6.94	2.78	2.51	0.48	0.95	7.34	1.77	5.59	7.06	1.97	2.32	2.84	1.99	4.9	6.57	3.99	2.46	0.0	0.95	0.0	0.0	0.0	0.89	1.81	10.96	0.0	0.57	0.55	1.93	0.0	1.46	0.0	0.0	4.03	2.78	0.82
FABP4	59063.35	34.26	127486.83	55491.3	313910.86	228208.61	134755.94	365622.68	253213.41	211455.3	322736.12	386469.83	394590.4	215898.44	258533.99	225066.78	253213.41	348306.01	279017.26	327241.36	358098.26	370726.6	263966.36	212926.09	489177.0	292889.12	447025.24	716197.51	602247.76	360589.03	345900.08	282912.21	569761.05	327241.36	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	394590.4	292889.12	161367.56	163620.18	263966.36	253.23	684.02	500.46	636586.81	292889.12	129266.49	629.35	148488.36	150561.19	135693.24	1313.23	143430.26	160252.91	119776.72	318292.9	408505.64	3564.78
FAM45A	796.86	417.77	518.15	325.29	967.76	988.12	688.78	802.41	1008.9	595.34	1427.22	1143.1	1104.13	988.12	1081.39	915.51	1175.27	1143.1	1037.29	941.27	1191.69	1225.22	1111.82	1175.27	1304.15	1023.0	1427.22	1561.89	1175.27	954.43	679.29	748.61	819.3	915.51	1286.18	1151.06	1191.69	842.36	961.07	854.13	1159.07	633.73	529.06	1127.35	579.04	473.41	273.37	409.15	698.41	603.67	507.46	647.07	665.29	607.87	808.0	463.65	785.88	688.78	363.56	791.35	591.22	775.05
FERMT2	43.63	144.01	103.69	41.22	3018.3	3190.46	1519.15	2627.46	6294.04	1259.69	4481.23	5112.16	5479.15	3303.0	4736.79	2609.3	4095.0	3874.05	4123.49	3589.58	4671.57	5913.33	3372.43	3491.39	4123.49	5329.3	4769.75	6294.04	4543.8	2061.24	4123.49	2075.59	3212.66	3372.43	3325.99	4736.79	4388.98	2758.13	2537.92	2193.99	1651.0	1322.37	172.65	89.51	114.36	41.52	540.19	29.06	1225.22	1023.0	111.21	151.22	60.82	102.97	59.55	271.48	98.73	194.36	111.21	1721.16	376.41	79.45
FNIP1	79.45	51.71	92.05	40.93	171.45	314.17	180.02	143.01	256.78	126.12	748.61	334.46	236.21	273.37	285.03	229.72	218.79	307.69	251.48	293.07	289.02	297.17	299.25	470.14	305.55	264.03	305.55	198.47	206.94	249.73	99.43	214.27	181.28	358.54	244.57	164.42	500.46	153.34	220.32	231.32	189.02	131.51	143.01	94.01	85.22	124.37	77.79	39.79	156.59	205.5	119.26	65.26	154.42	155.5	154.42	50.98	111.99	117.6	113.56	239.52	141.02	64.8
FOXN3	76.17	161.02	165.57	165.57	1066.48	1551.09	753.83	693.58	1936.53	438.59	2367.9	1781.89	1295.13	1745.2	2468.49	1066.48	2193.99	1757.34	1561.89	2032.85	1923.14	1977.24	1605.83	2133.97	1662.49	1991.0	1487.87	1923.14	1583.71	1250.98	718.08	1143.1	647.07	2502.97	1397.83	1674.06	1781.89	1023.0	703.28	1572.76	1242.34	638.15	358.54	275.28	226.54	152.28	181.28	201.25	764.36	543.96	241.19	182.55	348.71	412.0	376.41	371.22	547.75	521.76	265.87	785.88	412.0	127.89
FRA10AC1	457.25	507.46	460.44	297.17	679.29	665.29	518.15	728.11	703.28	563.18	1191.69	830.75	947.83	624.99	802.41	674.59	728.11	878.17	769.69	559.28	703.28	947.83	830.75	825.0	769.69	371.22	941.27	698.41	591.22	325.29	435.55	733.19	587.13	536.45	327.56	384.34	813.63	493.56	780.44	575.03	836.53	395.18	473.41	348.71	470.14	323.03	303.44	392.44	457.25	341.51	353.59	309.83	348.71	242.88	346.29	358.54	166.73	153.34	173.85	297.17	412.0	161.02
GAB2	54.72	33.78	26.86	32.13	285.03	511.0	312.0	412.0	808.0	265.87	796.86	503.95	723.08	599.49	638.15	543.96	647.07	470.14	753.83	733.19	728.11	915.51	521.76	647.07	633.73	836.53	444.72	1745.2	412.0	279.14	693.58	536.45	334.46	796.86	1066.48	642.59	571.05	591.22	1295.13	718.08	518.15	253.23	102.97	21.32	52.08	34.75	25.72	24.81	463.65	379.04	51.71	46.84	65.26	42.71	49.56	62.56	90.77	49.91	33.78	305.55	521.76	7.11
GLP2R	0.66	0.0	0.0	1.6	43.32	66.65	36.27	68.55	81.71	21.94	171.45	162.14	84.63	64.34	140.04	26.47	157.68	55.1	57.49	102.25	145.02	74.06	98.04	100.13	93.35	96.01	66.65	44.89	40.36	52.82	27.05	66.65	36.27	51.35	81.71	90.14	31.9	66.18	35.5	21.32	18.56	17.77	0.0	0.0	0.0	0.0	13.62	0.66	169.07	92.05	0.0	0.36	0.71	0.0	0.95	1.41	0.39	1.3	1.46	22.43	34.75	1.58
GOLGA8M	0.0	1.62	0.34	2.89	11.3	55.49	29.7	9.63	78.34	18.43	77.25	53.19	46.5	40.07	43.02	60.39	100.83	80.57	96.68	69.03	71.0	92.7	110.43	59.97	124.37	102.25	45.53	178.77	45.21	52.08	39.22	55.1	60.39	24.11	57.49	67.12	96.68	78.89	83.45	64.34	76.17	36.79	0.0	0.0	4.1	5.28	2.32	1.58	50.63	21.01	1.07	0.99	0.6	0.0	11.73	0.0	0.0	6.36	0.0	10.63	2.36	0.0
HIPK3	232.94	212.78	92.05	105.15	947.83	1407.55	540.19	674.59	1498.22	379.04	2004.85	1662.49	1096.5	1594.73	1073.91	1081.39	1225.22	1295.13	1119.56	1467.37	1437.15	1721.16	1277.29	1551.09	1487.87	1295.13	1199.98	1216.75	1781.89	665.29	884.29	769.69	708.18	1437.15	1896.65	1216.75	3614.55	1340.84	1104.13	1519.15	2645.74	660.68	303.44	297.17	279.14	158.79	172.65	134.3	1008.9	555.41	543.96	334.46	470.14	381.68	220.32	161.02	460.44	371.22	172.65	830.75	934.76	215.77
HORMAD2	0.0	0.0	0.0	0.0	3.23	2.05	1.81	0.68	6.41	0.33	18.7	1.53	6.31	10.16	0.37	0.36	9.41	3.86	1.17	2.51	5.23	3.06	4.24	10.88	17.25	9.7	2.51	3.53	0.0	1.48	3.23	0.0	1.14	4.46	0.0	3.53	8.99	0.0	0.0	0.0	5.15	0.0	0.33	0.34	0.0	0.0	0.0	0.66	0.84	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	10.08	0.0
