	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AR.A0TP.01A.11R.A084.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.A7.A13D.01A.13R.A12P.07	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.D8.A1JL.01A.11R.A13Q.07	TCGA.A2.A4S3.01A.21R.A266.07	TCGA.D8.A1X8.01A.11R.A14M.07	TCGA.A2.A0EN.01A.13R.A084.07	TCGA.LL.A442.01A.11R.A24H.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0T2.01A.11R.A084.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.OL.A5RU.01A.11R.A28M.07	TCGA.AR.A1AT.01A.11R.A12P.07	TCGA.A8.A06Y.01A.21R.A00Z.07	TCGA.E2.A150.01A.11R.A12D.07	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.GI.A2C9.01A.11R.A21T.07	TCGA.A2.A3XS.01A.11R.A22U.07	TCGA.B6.A0RS.01A.11R.A084.07	TCGA.B6.A0RQ.01A.11R.A115.07	TCGA.A2.A0ES.01A.11R.A115.07	TCGA.AC.A2BK.01A.11R.A21T.07	TCGA.BH.A0RX.01A.21R.A084.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.E9.A1N8.01A.11R.A144.07	TCGA.EW.A1P8.01A.11R.A144.07	TCGA.AC.A62X.01A.11R.A29R.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.BH.A0HK.11A.11R.A089.07	TCGA.AC.A23H.11A.12R.A157.07	TCGA.BH.A18U.11A.23R.A12D.07	TCGA.BH.A0DP.11A.12R.A089.07	TCGA.BH.A0BT.11A.21R.A12P.07	TCGA.A7.A0CE.11A.21R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.XOT4.0726.SM.4GIAW	GTEX.S341.1526.SM.4AD6K	GTEX.Y5LM.1726.SM.4VDSX	GTEX.11EMC.2026.SM.5A5JV	GTEX.13O3O.0826.SM.5K7WE	GTEX.14AS3.1626.SM.5S2OY	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13FTY.2226.SM.5J1ND	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13QIC.2326.SM.5LU5N	TCGA.CR.6474.01A.11R.1873.07	TCGA.CX.7086.01A.11R.2081.07	TCGA.CV.6959.01A.11R.1915.07	TCGA.CV.5979.01A.11R.1686.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.6956.01A.21R.2016.07	TCGA.CV.7243.01A.11R.2016.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.CN.4742.01A.02R.1514.07	TCGA.CV.6003.01A.11R.1686.07	TCGA.38.4625.01A.01R.1206.07
DNAJC28	7.57	42.41	22.43	45.21	13.22	30.56	31.45	25.72	50.98	34.26	43.94	44.89	49.21	65.72	34.02	20.26	49.56	34.75	65.26	9.85	20.11	21.63	38.4	44.89	20.11	14.24	38.4	14.03	27.05	15.22	49.56	23.76	50.63	40.64	34.75	55.1	53.19	69.03	55.49	85.82	42.41	42.71	54.72	51.71	16.63	36.01	60.39	40.07	52.45	51.71	16.88	4.74	5.28	1.87	7.63	2.68	20.41	19.11	12.93	6.41	0.0
EPM2AIP1	42.71	211.31	25.17	232.94	95.34	211.31	275.28	84.63	450.94	228.13	323.03	248.0	108.9	218.79	150.17	106.63	301.33	110.43	301.33	113.56	93.35	139.07	253.23	307.69	81.14	102.97	140.04	187.71	120.1	57.08	143.01	199.85	381.68	361.04	309.83	353.59	251.48	536.45	275.28	423.61	540.19	363.56	343.89	353.59	193.01	141.02	366.09	384.34	164.42	303.44	76.17	96.68	57.49	27.44	49.21	48.52	70.51	61.68	72.52	40.93	84.63
FAM13B	24.99	417.77	218.79	256.78	80.57	447.82	249.73	137.14	361.04	460.44	450.94	395.18	71.5	309.83	226.54	215.77	260.38	120.94	543.96	132.44	76.71	92.05	511.0	460.44	136.19	111.99	387.02	262.2	171.45	130.6	249.73	379.04	693.58	620.67	511.0	620.67	406.31	941.27	647.07	967.76	503.95	551.56	397.93	500.46	301.33	201.25	995.0	775.05	384.34	836.53	59.97	69.52	74.58	44.25	39.5	67.12	42.11	43.02	96.68	31.22	0.0
FAM185A	76.71	115.16	103.69	103.69	90.14	120.94	120.1	128.79	148.09	111.99	120.1	104.42	139.07	122.64	114.36	105.89	244.57	71.5	105.15	68.07	94.01	95.34	93.35	103.69	126.12	127.0	97.36	158.79	162.14	83.45	155.5	106.63	115.97	103.69	129.69	125.24	132.44	193.01	206.94	148.09	206.94	166.73	140.04	143.01	104.42	75.64	143.01	198.47	106.63	175.07	36.01	99.43	45.21	59.13	56.68	71.5	36.53	92.05	63.89	60.82	0.0
FBXL17	41.52	166.73	163.28	228.13	92.7	379.04	158.79	82.29	429.54	301.33	339.14	376.41	99.43	285.03	218.79	182.55	314.17	123.5	341.51	141.02	71.5	105.89	232.94	325.29	78.34	92.7	305.55	110.43	76.71	54.33	327.56	277.2	343.89	358.54	336.79	353.59	214.27	277.2	674.59	480.04	579.04	269.6	237.86	395.18	231.32	215.77	1030.12	291.04	476.71	738.29	143.01	110.43	85.82	24.81	72.01	73.03	98.04	69.03	155.5	48.87	86.43
FBXO15	7.22	38.95	12.93	113.56	16.51	11.21	21.78	11.04	20.86	40.93	130.6	31.67	39.5	10.39	75.64	45.85	24.63	15.45	74.06	6.01	43.32	13.72	61.68	47.84	4.31	8.19	13.12	18.97	18.43	0.0	23.76	41.81	36.27	29.27	45.85	92.7	63.89	152.28	126.12	127.89	14.56	109.66	15.11	81.71	3.03	148.09	34.75	202.66	36.01	78.89	2.46	0.78	1.23	3.32	4.31	2.07	5.96	9.06	1.55	7.69	0.0
GATAD1	275.28	521.76	277.2	514.56	232.94	470.14	281.09	297.17	529.06	521.76	579.04	361.04	291.04	543.96	376.41	297.17	638.15	332.14	679.29	341.51	309.83	214.27	536.45	595.34	242.88	208.38	450.94	269.6	217.27	226.54	432.53	473.41	624.99	633.73	624.99	647.07	591.22	961.07	791.35	607.87	947.83	1001.93	660.68	860.08	412.0	193.01	808.0	961.07	334.46	669.92	139.07	299.25	209.84	260.38	180.02	226.54	201.25	229.72	162.14	232.94	483.38
GFM2	265.87	361.04	217.27	194.36	173.85	511.0	215.77	277.2	444.72	429.54	500.46	713.11	212.78	500.46	381.68	567.1	493.56	249.73	392.44	285.03	145.02	289.02	318.57	329.84	305.55	246.28	287.01	397.93	285.03	262.2	567.1	258.57	389.72	397.93	303.44	389.72	341.51	738.29	343.89	567.1	336.79	454.09	429.54	486.75	208.38	376.41	392.44	460.44	314.17	555.41	198.47	234.57	228.13	190.34	189.02	164.42	159.9	181.28	145.02	176.29	0.0
GIN1	38.95	93.35	50.98	139.07	46.5	124.37	59.55	40.64	161.02	111.99	134.3	138.1	52.45	133.36	82.87	135.24	127.0	27.64	152.28	53.95	48.18	62.12	127.89	146.03	82.29	71.5	93.35	45.85	49.56	51.35	169.07	63.45	147.06	125.24	145.02	114.36	105.89	221.86	127.89	214.27	97.36	175.07	125.24	191.67	90.14	215.77	132.44	169.07	152.28	100.13	34.75	41.81	48.52	58.71	27.25	40.93	47.17	58.3	36.27	40.07	0.0
GPBP1	500.46	1745.2	808.0	967.76	629.35	1111.82	872.1	878.17	1662.49	2178.83	1498.22	2075.59	967.76	1529.73	1369.04	1397.83	1806.78	830.75	2004.85	1008.9	764.36	825.0	1561.89	1662.49	866.07	961.07	1111.82	1119.56	1066.48	1250.98	1617.0	1295.13	1883.54	1583.71	1572.76	1594.73	1286.18	2537.92	1909.85	1991.0	2104.58	1733.13	1733.13	1594.73	1225.22	1001.93	2367.9	2061.24	1313.23	1883.54	728.11	785.88	728.11	547.75	525.39	497.0	599.49	563.18	595.34	457.25	713.11
HARS2	373.81	620.67	289.02	547.75	480.04	490.14	525.39	348.71	603.67	718.08	432.53	665.29	412.0	941.27	599.49	629.35	764.36	363.56	647.07	343.89	329.84	444.72	583.07	555.41	432.53	450.94	450.94	363.56	417.77	376.41	713.11	423.61	571.05	441.64	579.04	532.74	563.18	748.61	603.67	638.15	583.07	764.36	438.59	813.63	420.68	305.55	587.13	860.08	403.5	457.25	277.2	336.79	334.46	358.54	253.23	312.0	334.46	277.2	332.14	253.23	0.0
HECTD4	325.29	470.14	341.51	450.94	262.2	420.68	249.73	514.56	397.93	473.41	490.14	559.28	193.01	540.19	423.61	224.97	490.14	248.0	647.07	193.01	353.59	397.93	633.73	507.46	343.89	246.28	277.2	536.45	156.59	228.13	305.55	493.56	387.02	423.61	466.88	379.04	486.75	854.13	587.13	693.58	559.28	651.58	514.56	941.27	277.2	208.38	309.83	988.12	242.88	457.25	150.17	231.32	221.86	224.97	220.32	246.28	206.94	373.81	111.21	127.0	0.0
IK	1151.06	2417.67	1183.45	2061.24	1359.57	2417.67	1883.54	1487.87	2367.9	3081.75	1745.2	2384.37	2319.15	3018.3	2193.99	2090.03	2417.67	1191.69	2163.77	1151.06	1073.91	1427.22	2816.11	2555.58	1059.11	1870.53	2018.8	1529.73	1561.89	1359.57	3716.2	2627.46	2400.97	2537.92	3124.78	2255.7	2816.11	2609.3	1832.01	4095.0	2119.22	2400.97	3060.45	2591.27	2133.97	1304.15	2303.12	2895.31	1617.0	1781.89	1208.34	1159.07	1378.57	1159.07	1127.35	1175.27	1340.84	1295.13	1151.06	1191.69	0.0
IP6K2	651.58	1477.58	947.83	1639.59	2104.58	1088.92	1183.45	915.51	2061.24	1745.2	1378.57	1295.13	1183.45	1340.84	2271.4	1388.16	1832.01	563.18	3395.89	1127.35	1844.76	1119.56	2367.9	3257.52	961.07	1331.57	836.53	1781.89	1378.57	2018.8	1844.76	2178.83	2047.0	2758.13	3491.39	2895.31	2816.11	2895.31	2758.13	2701.35	1794.29	2573.36	1936.53	3081.75	1628.26	2835.7	2032.85	3060.45	2502.97	2502.97	825.0	842.36	684.02	967.76	1001.93	785.88	1508.65	693.58	769.69	884.29	0.0
IVD	339.14	819.3	624.99	1359.57	376.41	1183.45	624.99	688.78	1322.37	616.37	1819.35	1143.1	232.94	947.83	884.29	1059.11	753.83	476.71	1331.57	82.87	607.87	785.88	1477.58	1304.15	373.81	356.05	1183.45	583.07	616.37	246.28	2075.59	974.5	974.5	1127.35	1151.06	1540.37	1183.45	1794.29	2468.49	1721.16	3419.52	2451.44	583.07	2739.08	753.83	248.0	616.37	2739.08	825.0	1757.34	480.04	287.01	358.54	248.0	583.07	563.18	199.85	406.31	412.0	595.34	825.0
KDM3B	275.28	825.0	521.76	620.67	395.18	785.88	703.28	392.44	836.53	884.29	551.56	796.86	348.71	753.83	583.07	738.29	860.08	441.64	967.76	373.81	281.09	376.41	974.5	902.89	392.44	426.57	616.37	698.41	583.07	363.56	819.3	713.11	995.0	1023.0	1059.11	988.12	624.99	1313.23	921.88	1225.22	1519.15	1191.69	896.64	1023.0	457.25	497.0	1127.35	995.0	674.59	902.89	305.55	373.81	363.56	267.73	351.14	271.48	323.03	253.23	348.71	209.84	0.0
KIAA1191	733.19	1242.34	1127.35	1639.59	1143.1	1407.55	1487.87	1551.09	1561.89	1674.06	1540.37	1572.76	941.27	1721.16	1199.98	921.88	1819.35	1073.91	2047.0	1519.15	1662.49	1191.69	2090.03	1757.34	1111.82	1216.75	1561.89	1199.98	1051.79	872.1	2434.5	1806.78	2075.59	1896.65	2018.8	2032.85	1572.76	1685.71	2119.22	1674.06	1733.13	1467.37	2915.45	1447.15	1639.59	1794.29	2271.4	1268.46	2351.53	1540.37	915.51	669.92	819.3	703.28	954.43	708.18	703.28	665.29	785.88	525.39	1151.06
KLHDC1	6.62	49.56	17.77	48.87	12.83	50.63	31.67	10.79	48.52	46.18	72.01	45.21	26.47	42.71	46.84	19.82	39.79	23.25	93.35	23.76	21.78	20.26	55.89	78.34	9.34	18.16	50.27	8.06	10.55	4.54	63.0	64.8	112.77	102.97	102.97	83.45	93.35	256.78	132.44	201.25	127.89	143.01	255.0	89.51	54.33	64.34	267.73	141.02	54.33	144.01	9.63	2.48	13.32	7.22	10.71	6.67	9.7	9.34	7.75	3.66	0.0
KRBA2	12.27	44.89	41.52	29.48	9.78	22.92	45.85	13.93	66.65	24.11	64.34	42.71	15.56	45.53	31.45	17.13	33.06	25.35	59.55	39.5	41.22	19.53	38.4	58.71	51.35	11.04	36.27	21.94	16.75	12.74	28.65	27.05	55.89	57.89	58.3	61.25	36.79	108.9	87.03	193.01	74.06	54.72	26.67	88.26	20.71	18.29	48.87	103.69	47.5	90.77	16.27	14.03	4.54	17.0	3.86	6.67	24.99	16.27	3.99	12.0	0.0
LAMB2	693.58	2701.35	2796.65	4481.23	2976.74	3257.52	2537.92	1135.2	6887.62	7032.37	5872.48	3190.46	5255.91	3955.48	6652.97	3515.68	5183.54	1498.22	6887.62	3847.29	4972.34	2502.97	6983.79	8421.31	1369.04	2664.15	9279.58	2018.8	2287.2	3564.78	2032.85	9606.86	8078.22	7280.4	7280.4	7433.4	11504.21	5041.77	10512.82	9540.5	4802.93	6745.86	9151.82	5791.62	6207.38	3847.29	3349.13	13033.07	4066.71	6652.97	4328.55	753.83	1662.49	1936.53	1963.57	1909.85	2739.08	872.1	2148.82	669.92	0.0
LRP2BP	6.31	14.35	23.08	10.16	15.68	19.82	7.46	6.84	18.56	27.44	11.64	19.39	10.31	19.68	26.1	5.15	19.53	14.78	37.32	15.11	8.45	7.57	29.48	43.02	6.36	5.96	16.03	10.88	5.06	9.48	13.72	31.67	36.79	41.81	24.11	40.07	47.17	75.11	63.0	39.5	34.51	40.64	68.55	38.12	23.76	5.77	33.78	63.0	22.75	36.53	7.46	4.28	8.0	11.82	3.59	8.71	4.54	7.75	3.38	3.26	0.0
LYRM9	42.71	551.56	98.04	514.56	73.03	400.71	178.77	145.02	397.93	406.31	708.18	147.06	123.5	620.67	536.45	307.69	426.57	138.1	529.06	256.78	164.42	49.56	318.57	366.09	159.9	228.13	173.85	67.12	115.97	119.26	759.08	476.71	656.11	551.56	571.05	599.49	486.75	1199.98	981.29	825.0	1359.57	775.05	595.34	728.11	246.28	301.33	679.29	775.05	1151.06	890.44	40.64	35.76	32.36	120.94	82.29	9.56	44.89	17.25	73.03	59.97	0.0
MAT2A	1508.65	3716.2	1199.98	4388.98	1857.6	2835.7	1832.01	1883.54	4268.94	4268.94	2777.33	4152.18	1529.73	3491.39	3190.46	2645.74	3146.52	2193.99	3349.13	1883.54	2915.45	3665.02	4328.55	3901.01	2591.27	1369.04	1991.0	3168.41	2720.15	1437.15	2400.97	4481.23	3372.43	4419.52	3303.0	4210.15	3395.89	3168.41	2682.69	3081.75	2976.74	3768.09	2319.15	3039.3	2758.13	1963.57	3874.05	2287.2	2537.92	3235.01	764.36	2119.22	2047.0	1135.2	1529.73	981.29	1397.83	1870.53	860.08	1340.84	2047.0
