	TCGA.BH.A0BO.01A.23R.A12D.07	TCGA.C8.A12L.01A.11R.A115.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.BH.A8FZ.01A.11R.A352.07	TCGA.C8.A12Q.01A.11R.A115.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.D8.A1JK.01A.11R.A13Q.07	TCGA.EW.A6SD.01A.12R.A33J.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AC.A3W5.01A.11R.A22K.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.E9.A1NF.01A.11R.A14D.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.131YS.0626.SM.5EGKL	GTEX.VJWN.0726.SM.3GIJ8	GTEX.ZVT2.1826.SM.5NQ8W	GTEX.13NYC.2626.SM.5K7VN
NT5DC4	2.46	7.06	0.0	0.0	4.5	1.75	0.39	0.0	0.39	4.03	2.05	0.44	3.56	0.64	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0
PCDH17	53.19	152.28	37.85	20.56	69.52	92.05	60.39	70.51	25.72	129.69	68.55	90.14	120.1	21.01	86.43	47.84	58.71	63.89	22.26	31.45	22.92	18.84	40.93	16.75	36.79	40.36	33.78	19.11	43.63	6.94	6.11	12.83	15.56
PDZK1IP1	1216.75	10368.08	6561.36	4210.15	363.56	3443.31	4450.27	988.12	1923.14	1721.16	4869.99	6516.03	4066.71	2682.69	1030.12	5147.73	5672.41	1199.98	981.29	94.67	15.8	414.87	293.07	836.53	217.27	20.56	612.11	1407.55	480.04	3168.41	1037.29	2319.15	117.6
PLEKHG7	0.67	98.73	61.25	74.06	12.55	49.91	3.66	11.13	0.0	10.96	97.36	2.66	14.78	9.93	7.88	10.16	7.82	13.03	8.25	1.16	0.0	1.5	0.42	1.58	1.16	0.0	2.1	28.65	0.0	42.41	27.64	3.14	0.0
PLIN3	1896.65	2573.36	2875.3	1498.22	1340.84	1059.11	1208.34	2335.28	1159.07	1991.0	1594.73	1015.93	2739.08	1159.07	1378.57	1883.54	1651.0	1350.18	1008.9	532.74	432.53	525.39	444.72	665.29	651.58	368.65	483.38	1295.13	518.15	928.3	896.64	1259.69	2573.36
POLR2H	1407.55	2835.7	1857.6	1721.16	2758.13	2400.97	1350.18	2133.97	1417.35	1628.26	1883.54	1487.87	1923.14	2400.97	2148.82	1733.13	1295.13	1757.34	1605.83	764.36	830.75	1081.39	830.75	1127.35	753.83	825.0	1119.56	1250.98	1781.89	1605.83	1529.73	1721.16	1023.0
PRKCSH	3589.58	9673.69	7032.37	4419.52	9151.82	8840.04	4481.23	10368.08	4419.52	7485.11	4239.45	6516.03	7032.37	7537.18	7180.15	6792.79	5672.41	5147.73	4671.57	2935.74	3419.52	3589.58	3955.48	4066.71	3212.66	3716.2	3928.15	5329.3	3540.14	10733.74	2573.36	3742.05	2255.7
PSMC4	1697.45	2520.38	2520.38	1963.57	1745.2	1437.15	2468.49	3168.41	1378.57	2468.49	2434.5	1733.13	2434.5	1819.35	1685.71	2434.5	1745.2	1519.15	1378.57	1030.12	967.76	934.76	775.05	1044.52	1051.79	738.29	780.44	1216.75	718.08	872.1	1331.57	1498.22	2555.58
RANGAP1	1295.13	2609.3	1594.73	1674.06	2004.85	2178.83	1508.65	1923.14	1081.39	2303.12	1233.75	3168.41	2351.53	2090.03	947.83	1175.27	974.5	698.41	748.61	305.55	361.04	414.87	361.04	651.58	532.74	323.03	366.09	1030.12	258.57	802.41	483.38	1167.14	2119.22
RAVER1	420.68	1135.2	713.11	638.15	1498.22	878.17	500.46	753.83	497.0	555.41	642.59	555.41	647.07	320.8	414.87	551.56	507.46	368.65	397.93	112.77	130.6	189.02	229.72	307.69	147.06	172.65	137.14	389.72	92.7	339.14	93.35	281.09	395.18
RELT	209.84	295.11	120.94	83.45	334.46	76.17	98.04	172.65	46.84	224.97	156.59	77.25	226.54	139.07	127.0	85.22	104.42	51.71	78.34	13.12	21.63	41.52	8.25	32.36	29.06	21.16	46.18	27.05	13.72	33.3	40.36	18.84	127.0
RRP36	988.12	1963.57	2720.15	1467.37	1350.18	1561.89	1844.76	1388.16	1127.35	1572.76	2240.11	1477.58	1583.71	2520.38	1051.79	1508.65	1183.45	1417.35	1359.57	915.51	909.17	1015.93	791.35	866.07	928.3	860.08	1023.0	1008.9	848.22	860.08	878.17	1519.15	884.29
SAMD1	450.94	1135.2	1199.98	974.5	748.61	708.18	486.75	1175.27	559.28	718.08	1233.75	1295.13	1583.71	890.44	703.28	947.83	698.41	567.1	463.65	329.84	320.8	341.51	356.05	483.38	371.22	339.14	248.0	571.05	199.85	514.56	220.32	358.54	607.87
SH3BP2	473.41	1427.22	555.41	423.61	540.19	599.49	287.01	995.0	332.14	438.59	379.04	420.68	941.27	638.15	454.09	368.65	595.34	348.71	503.95	368.65	346.29	486.75	237.86	334.46	454.09	395.18	363.56	412.0	267.73	473.41	281.09	376.41	429.54
SLC44A2	1991.0	9215.48	4575.41	4268.94	5711.87	5292.48	2609.3	3146.52	2240.11	1977.24	4298.64	4181.07	3168.41	2104.58	2255.7	3540.14	3257.52	3874.05	3081.75	3372.43	1936.53	2777.33	1896.65	2502.97	3124.78	2855.44	3039.3	3212.66	2032.85	3280.18	1639.59	2555.58	2573.36
SLC52A2	921.88	2855.44	3103.19	1242.34	1191.69	1936.53	1806.78	2384.37	915.51	2061.24	2682.69	1991.0	3060.45	2075.59	2061.24	1340.84	988.12	476.71	616.37	234.57	318.57	368.65	332.14	511.0	332.14	329.84	241.19	684.02	104.42	301.33	218.79	842.36	444.72
SLC6A17	12.55	64.8	32.59	1.64	9.48	49.21	15.34	29.27	1.07	14.35	21.78	34.75	105.89	20.86	45.21	7.22	2.53	1.55	9.27	0.44	0.43	13.32	0.92	1.27	2.05	0.46	4.74	1.51	31.9	11.91	2.36	7.28	85.22
SLC9A5	12.27	39.5	37.05	20.86	33.78	36.79	6.84	36.01	10.31	15.34	18.16	19.97	21.32	22.75	35.25	23.25	18.16	10.16	18.03	7.51	6.94	16.39	13.42	12.45	8.38	17.9	11.13	18.03	17.13	20.56	16.27	12.55	9.2
SMARCA4	1233.75	6887.62	2163.77	1950.0	2956.17	3515.68	1991.0	3235.01	1313.23	1697.45	2351.53	3235.01	1936.53	1540.37	2133.97	2400.97	1674.06	1277.29	1096.5	591.22	642.59	934.76	525.39	915.51	669.92	480.04	1015.93	1304.15	764.36	2004.85	1143.1	825.0	1388.16
SOCS1	165.57	271.48	83.45	106.63	224.97	45.21	75.64	166.73	21.16	255.0	170.25	156.59	209.84	153.34	62.12	73.03	78.89	46.84	121.79	44.89	80.57	42.11	147.06	64.34	25.35	57.08	31.45	44.89	12.55	58.3	44.25	31.67	114.36
SPTBN2	195.72	1313.23	1259.69	287.01	941.27	529.06	802.41	559.28	327.56	1073.91	1295.13	854.13	1143.1	825.0	373.81	813.63	363.56	591.22	177.53	18.56	18.29	98.73	47.84	202.66	114.36	13.32	115.16	339.14	31.45	836.53	397.93	406.31	1407.55
ST14	1295.13	4358.66	5076.84	2502.97	1733.13	1151.06	2645.74	3146.52	785.88	1844.76	1651.0	2163.77	1008.9	3018.3	1175.27	1397.83	1498.22	1437.15	753.83	80.57	51.71	447.82	117.6	525.39	232.94	21.16	514.56	1313.23	237.86	961.07	647.07	1015.93	660.68
TH	0.74	41.22	1.14	1.66	33.06	8.71	0.75	2.41	3.08	1.71	13.72	0.44	20.11	14.89	41.22	2.58	0.46	0.42	1.43	0.0	0.0	0.0	3.53	1.27	0.0	0.89	0.77	2.97	0.49	11.91	0.73	10.71	3.23
THAP8	53.57	175.07	221.86	114.36	95.34	88.88	191.67	117.6	95.34	154.42	267.73	115.16	239.52	63.0	78.34	173.85	129.69	108.14	112.77	140.04	68.07	67.59	100.83	76.17	127.0	63.0	47.84	106.63	60.39	90.77	46.18	78.34	80.01
TMC6	547.75	1883.54	3039.3	928.3	1233.75	1104.13	890.44	1008.9	409.15	791.35	1844.76	1111.82	1059.11	1350.18	674.59	647.07	599.49	379.04	647.07	269.6	301.33	301.33	251.48	341.51	490.14	389.72	172.65	429.54	152.28	356.05	159.9	493.56	293.07
TMED1	587.13	1605.83	1119.56	703.28	1388.16	1199.98	500.46	1250.98	928.3	633.73	836.53	733.19	1104.13	995.0	1159.07	743.43	921.88	532.74	555.41	287.01	248.0	204.07	406.31	486.75	423.61	363.56	185.11	808.0	295.11	1151.06	348.71	1242.34	536.45
TONSL	29.7	406.31	102.25	144.01	84.04	121.79	151.22	273.37	49.91	102.97	248.0	152.28	205.5	76.71	87.03	78.89	57.49	37.32	36.01	5.96	6.67	16.03	14.14	38.67	15.34	9.78	9.85	48.18	25.35	88.26	5.87	36.27	97.36
TSTA3	2319.15	5711.87	7485.11	5555.65	2209.26	5183.54	3901.01	6121.9	3081.75	2664.15	3257.52	9025.81	5872.48	2417.67	2468.49	5479.15	1674.06	3982.99	1183.45	470.14	525.39	599.49	669.92	974.5	532.74	559.28	463.65	1331.57	406.31	830.75	764.36	2287.2	1359.57
TTYH3	808.0	2777.33	1733.13	915.51	1167.14	1498.22	1008.9	3589.58	486.75	2133.97	1870.53	1685.71	2835.7	1369.04	629.35	1096.5	1407.55	543.96	470.14	167.9	253.23	392.44	108.14	299.25	406.31	189.02	236.21	395.18	156.59	293.07	204.07	265.87	144.01
UBA1	3874.05	5441.3	4123.49	4937.99	3395.89	3540.14	4298.64	3443.31	3257.52	5913.33	5006.93	5872.48	3589.58	4836.35	4450.27	3901.01	3589.58	3901.01	3190.46	2777.33	3039.3	3060.45	2502.97	2895.31	2758.13	2645.74	2240.11	3639.7	2193.99	3847.29	1674.06	1896.65	3639.7
