	TCGA.KN.8418.01A.11R.2315.07	TCGA.KL.8335.01A.11R.2315.07	TCGA.KO.8407.01A.11R.2315.07	TCGA.KN.8432.01A.11R.2315.07	TCGA.KM.8440.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KN.8434.01A.11R.2315.07	TCGA.KO.8417.01A.11R.2315.07	TCGA.KL.8331.01A.11R.2315.07	TCGA.KL.8342.01A.11R.2315.07	TCGA.KL.8340.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	GTEX.N7MS.1626.SM.3LK5F	TCGA.B0.5117.01A.01R.1420.07	TCGA.A3.3328.01A.01R.0864.07	TCGA.AK.3453.01A.02R.1277.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3440.01A.02R.1277.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.2Z.A9JO.01A.11R.A42S.07	TCGA.SX.A7SL.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	GTEX.1497J.0726.SM.5Q5D1	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
B4GALNT3	470.14	775.05	1199.98	5255.91	1427.22	947.83	1561.89	1519.15	967.76	769.69	1417.35	1417.35	698.41	193.01	759.08	246.28	256.78	82.87	339.14	9.7	3.17	88.88	9.93	7.57	18.7	14.24	1.66	46.5	104.42	0.0	0.32
BCL9	194.36	141.02	186.4	412.0	271.48	277.2	244.57	220.32	181.28	115.16	224.97	180.02	185.11	447.82	142.01	191.67	132.44	38.95	134.3	111.99	85.82	15.45	122.64	128.79	62.12	105.15	81.14	72.01	61.25	0.0	0.51
BLCAP	3540.14	1594.73	3372.43	3325.99	4123.49	3491.39	3190.46	3874.05	4152.18	3467.27	3820.7	4736.79	3716.2	2178.83	3395.89	1111.82	2739.08	1709.26	2645.74	1923.14	2240.11	1407.55	1674.06	1277.29	1561.89	1685.71	2591.27	1529.73	1896.65	0.0	1.0
BTNL9	684.02	1023.0	366.09	1073.91	429.54	890.44	195.72	392.44	92.05	884.29	603.67	358.54	130.6	199.85	1540.37	133.36	102.97	50.63	237.86	336.79	130.6	295.11	36.79	80.01	19.68	42.11	138.1	12.93	368.65	0.0	0.78
C2CD3	314.17	295.11	343.89	371.22	447.82	423.61	329.84	376.41	231.32	277.2	299.25	400.71	309.83	224.97	285.03	232.94	275.28	96.01	279.14	218.79	218.79	32.59	125.24	165.57	176.29	195.72	176.29	139.07	144.01	0.0	0.59
C5AR2	373.81	309.83	33.78	476.71	540.19	381.68	40.36	66.18	35.5	31.22	76.17	567.1	81.71	22.43	54.72	260.38	16.63	93.35	107.38	13.62	21.16	145.02	3.5	16.88	3.96	10.96	0.66	4.1	202.66	0.0	0.53
CASZ1	281.09	256.78	209.84	256.78	193.01	356.05	248.0	281.09	232.94	212.78	309.83	503.95	237.86	92.7	202.66	120.94	59.97	43.63	159.9	24.11	43.02	21.01	13.62	67.59	67.12	31.22	61.68	10.24	62.12	0.0	0.58
CCDC129	1.71	0.43	0.39	2.18	0.77	0.43	0.77	0.34	0.39	0.0	0.0	0.37	0.47	0.0	1.45	0.33	0.0	0.37	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.08
CEP152	100.83	93.35	103.69	400.71	82.29	101.54	57.49	177.53	46.5	50.63	55.49	99.43	59.97	8.32	135.24	119.26	25.91	20.11	103.69	41.22	25.17	7.88	20.71	10.16	19.82	12.09	29.48	4.21	6.16	31.22	87.65
CRTC1	466.88	417.77	571.05	507.46	454.09	476.71	603.67	463.65	624.99	454.09	473.41	764.36	547.75	155.5	295.11	323.03	150.17	97.36	215.77	170.25	221.86	52.82	128.79	176.29	117.6	154.42	117.6	96.68	163.28	0.0	0.6
DEPDC5	361.04	406.31	470.14	688.78	656.11	497.0	409.15	435.55	303.44	339.14	417.77	392.44	607.87	273.37	540.19	336.79	147.06	186.4	406.31	181.28	221.86	215.77	151.22	171.45	175.07	264.03	371.22	87.65	198.47	0.0	0.31
EED	316.37	277.2	325.29	384.34	389.72	387.02	285.03	363.56	236.21	353.59	256.78	376.41	277.2	113.56	376.41	381.68	256.78	256.78	318.57	209.84	229.72	165.57	122.64	134.3	190.34	204.07	191.67	102.97	177.53	0.0	0.46
ELL	186.4	248.0	334.46	267.73	241.19	209.84	303.44	258.57	379.04	287.01	256.78	387.02	256.78	99.43	166.73	159.9	101.54	71.0	204.07	92.7	133.36	41.22	127.0	86.43	90.77	83.45	87.03	50.27	275.28	208.38	242.88
ESRRG	540.19	532.74	185.11	780.44	647.07	665.29	175.07	384.34	193.01	94.67	381.68	346.29	229.72	4066.71	129.69	591.22	314.17	387.02	277.2	88.88	51.35	303.44	74.58	158.79	25.35	67.59	84.63	34.51	11.04	0.0	0.0
EXPH5	182.55	155.5	204.07	703.28	285.03	223.41	262.2	256.78	165.57	198.47	189.02	178.77	144.01	30.12	191.67	201.25	94.67	19.97	167.9	14.45	127.89	52.08	1.07	4.58	25.54	5.73	7.11	2.63	16.15	30.56	63.45
FAM163A	3.82	0.88	1.99	10.63	4.58	12.93	6.89	1.36	1.99	7.4	1.2	5.15	1.91	0.89	0.99	4.54	0.41	4.78	1.13	4.43	0.71	1.55	0.72	1.27	0.0	0.42	0.99	0.39	3.86	0.0	0.04
FAM211A	87.03	33.3	67.12	91.41	66.65	118.43	51.35	49.56	57.89	51.35	63.45	57.49	40.36	4.74	64.8	15.11	18.16	38.4	16.15	38.95	23.76	10.16	17.13	7.63	9.7	30.78	7.28	7.22	13.83	0.0	0.16
FAM219A	295.11	258.57	318.57	312.0	220.32	429.54	473.41	264.03	353.59	271.48	312.0	295.11	323.03	76.17	291.04	293.07	173.85	108.9	258.57	202.66	221.86	57.89	51.35	156.59	155.5	199.85	152.28	108.14	99.43	0.0	0.75
FAM63B	733.19	607.87	397.93	974.5	995.0	612.11	579.04	642.59	301.33	454.09	525.39	351.14	420.68	273.37	363.56	348.71	283.05	291.04	567.1	107.38	104.42	201.25	34.26	47.17	98.73	105.89	291.04	47.17	67.12	46.5	206.94
FBXL14	239.52	153.34	215.77	234.57	242.88	267.73	314.17	255.0	177.53	231.32	231.32	249.73	161.02	217.27	149.12	129.69	223.41	61.25	156.59	108.9	258.57	41.22	105.15	102.25	143.01	157.68	87.03	112.77	67.12	0.0	0.12
FBXO33	293.07	356.05	438.59	884.29	473.41	208.38	353.59	432.53	269.6	373.81	318.57	279.14	423.61	86.43	214.27	361.04	149.12	182.55	395.18	70.01	80.57	154.42	108.14	39.79	56.68	48.87	74.06	40.93	71.0	131.51	738.29
FGF14	802.41	902.89	223.41	1277.29	723.08	1397.83	363.56	412.0	171.45	17.13	295.11	277.2	68.55	21.16	1030.12	764.36	63.45	14.89	2.97	13.62	26.67	723.08	12.18	16.51	17.38	5.28	68.07	5.92	50.27	0.0	0.09
FNDC5	75.11	143.01	267.73	412.0	58.3	258.57	511.0	130.6	346.29	228.13	218.79	44.89	128.79	181.28	339.14	201.25	20.26	108.9	58.71	2.84	8.65	13.03	0.72	27.64	3.59	31.45	6.16	10.39	228.13	0.0	0.08
FRMPD4	50.63	47.5	7.0	51.71	156.59	32.36	14.14	41.81	34.75	0.39	54.33	26.67	10.63	0.0	15.11	1.6	0.0	0.36	20.86	0.0	0.0	8.65	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FXYD2	244588.0	327241.36	221968.2	90146.51	253213.41	147462.67	290865.98	249727.34	269512.87	301123.38	248002.34	284880.02	246289.25	851707.37	292889.12	378516.38	482442.34	520665.48	331809.5	76861.91	263966.36	627822.72	55107.99	189257.69	68318.04	51417.5	46339.95	234624.45	593956.43	0.0	0.32
GAD1	384.34	371.22	205.5	591.22	205.5	417.77	217.27	246.28	229.72	244.57	105.15	392.44	236.21	152.28	134.3	309.83	195.72	579.04	341.51	2.05	15.56	75.11	2.51	2.53	6.41	3.72	3.29	64.8	0.0	0.0	0.58
GCOM1	190.34	289.02	110.43	842.36	251.48	253.23	366.09	205.5	111.99	507.46	242.88	84.63	139.07	44.57	133.36	70.01	1.17	5.02	87.03	5.92	1.01	25.54	0.34	0.0	0.0	3.59	0.31	0.73	2.51	0.0	0.13
GNA11	3847.29	4066.71	3257.52	3235.01	4512.4	3349.13	3690.52	3639.7	3540.14	2976.74	3742.05	4543.8	3768.09	444.72	2178.83	2835.7	551.56	1572.76	1651.0	483.38	884.29	854.13	356.05	796.86	603.67	642.59	567.1	432.53	624.99	866.07	909.17
GOLM1	16843.62	27938.14	11112.3	19214.73	5555.65	14361.31	14065.74	11504.21	10440.2	16157.44	12853.63	4543.8	5913.33	1216.75	12943.04	9409.14	1191.69	2520.38	3235.01	1561.89	6037.61	7433.4	708.18	1250.98	1407.55	3515.68	2178.83	1175.27	2384.37	0.0	0.71
HIC2	47.17	54.33	63.0	61.25	61.25	51.35	53.57	51.71	60.82	43.94	64.34	43.32	29.48	14.35	44.25	44.25	10.16	6.36	22.1	23.59	33.3	3.92	8.92	17.64	17.25	20.11	26.67	7.94	13.83	0.0	0.48
HMGXB4	229.72	204.07	221.86	301.33	239.52	190.34	212.78	242.88	182.55	231.32	224.97	221.86	155.5	121.79	144.01	186.4	129.69	158.79	155.5	122.64	108.14	68.55	111.21	80.57	77.25	84.63	78.34	72.01	93.35	473.41	190.34
HNRNPUL2-BSCL2	842.36	651.58	595.34	1216.75	483.38	688.78	660.68	854.13	403.5	579.04	624.99	521.76	718.08	591.22	395.18	384.34	351.14	18.43	633.73	273.37	656.11	11.82	438.59	397.93	262.2	607.87	198.47	444.72	231.32	0.0	0.89
HPS4	954.43	1001.93	665.29	915.51	1259.69	733.19	743.43	802.41	748.61	728.11	860.08	902.89	500.46	325.29	555.41	540.19	248.0	199.85	738.29	466.88	387.02	124.37	305.55	211.31	285.03	441.64	368.65	165.57	186.4	0.0	0.68
HS6ST3	115.16	121.79	60.82	224.97	190.34	116.78	198.47	146.03	20.56	90.14	102.25	38.95	104.42	3.86	33.54	15.68	0.0	4.28	49.56	0.0	0.0	5.23	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IBA57	191.67	373.81	249.73	579.04	256.78	226.54	281.09	195.72	204.07	248.0	214.27	291.04	172.65	199.85	131.51	119.26	93.35	102.97	139.07	47.84	141.02	297.17	66.18	155.5	76.17	178.77	49.91	92.05	244.57	82.87	37.32
INSRR	16.39	21.78	21.78	27.05	43.32	19.68	15.91	18.43	1.62	2.78	16.75	1.89	101.54	49.21	12.74	9.56	0.0	23.08	1.89	0.0	0.0	3.11	0.0	0.0	0.0	0.42	0.35	0.0	0.16	0.0	0.12
IQGAP2	1963.57	2485.67	2075.59	2555.58	2875.3	1605.83	2400.97	2573.36	2061.24	3847.29	2240.11	1950.0	1540.37	1059.11	1857.6	1369.04	684.02	432.53	1313.23	454.09	454.09	2271.4	967.76	836.53	305.55	148.09	23.08	260.38	878.17	0.0	0.49
ITGA7	1977.24	679.29	915.51	1051.79	392.44	1832.01	312.0	361.04	102.25	329.84	327.56	209.84	197.09	201.25	483.38	52.45	112.77	116.78	231.32	371.22	229.72	63.89	187.71	239.52	138.1	209.84	231.32	199.85	249.73	0.0	0.72
KDELC2	674.59	476.71	511.0	3103.19	896.64	738.29	620.67	759.08	323.03	563.18	693.58	511.0	543.96	98.04	624.99	660.68	389.72	204.07	277.2	441.64	387.02	199.85	28.45	157.68	112.77	228.13	153.34	73.54	237.86	0.0	0.46
KDM2B	486.75	289.02	397.93	454.09	525.39	460.44	466.88	500.46	480.04	312.0	450.94	435.55	295.11	108.14	293.07	260.38	351.14	151.22	314.17	103.69	215.77	150.17	102.25	181.28	148.09	198.47	112.77	85.82	121.79	0.0	0.6
KMT2D	718.08	579.04	656.11	753.83	708.18	669.92	723.08	791.35	902.89	567.1	748.61	775.05	583.07	253.23	575.03	279.14	249.73	59.55	423.61	239.52	275.28	31.22	214.27	226.54	185.11	166.73	197.09	110.43	152.28	0.0	0.93
LRRC9	61.68	114.36	12.36	30.78	84.04	25.17	12.64	24.81	10.0	43.32	30.56	15.34	17.9	0.0	20.56	29.27	0.0	2.86	18.97	0.0	0.34	41.22	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0
MAB21L3	236.21	199.85	86.43	563.18	187.71	157.68	120.1	269.6	49.91	189.02	98.73	83.45	136.19	28.24	172.65	90.77	3.17	33.06	90.77	3.2	0.35	41.52	1.75	8.65	0.8	0.82	4.17	0.0	126.12	0.0	0.13
MAML3	181.28	118.43	206.94	277.2	199.85	226.54	248.0	182.55	183.82	114.36	135.24	113.56	161.02	49.91	161.02	70.51	8.45	13.93	80.57	40.36	60.82	17.64	25.54	9.2	24.28	24.81	20.41	25.54	42.11	0.0	0.35
MAP2K5	466.88	616.37	514.56	607.87	540.19	563.18	529.06	480.04	551.56	500.46	438.59	559.28	473.41	251.48	387.02	438.59	201.25	406.31	379.04	307.69	320.8	323.03	295.11	183.82	309.83	316.37	190.34	432.53	236.21	0.0	0.29
MARCH11	113.56	199.85	201.25	595.34	100.13	75.64	178.77	265.87	50.63	57.08	49.21	135.24	25.17	3.14	90.77	14.78	0.0	1.46	2.58	0.0	1.73	1.91	0.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MREG	348.71	571.05	248.0	802.41	119.26	423.61	486.75	371.22	85.22	738.29	312.0	194.36	221.86	100.83	154.42	325.29	26.47	102.97	161.02	34.75	59.55	214.27	24.46	21.78	31.9	47.84	77.25	34.26	28.86	0.0	0.0
MRPL16	2451.44	2645.74	2682.69	2303.12	2855.44	2835.7	1651.0	2400.97	1950.0	2758.13	2163.77	2018.8	2609.3	4358.66	2255.7	2591.27	1950.0	2956.17	2178.83	1605.83	974.5	1923.14	1066.48	182.55	1313.23	351.14	1508.65	928.3	1923.14	0.0	0.41
MRVI1	323.03	237.86	500.46	379.04	384.34	514.56	426.57	414.87	346.29	397.93	647.07	642.59	363.56	91.41	532.74	301.33	39.5	125.24	339.14	157.68	72.01	41.81	9.34	10.63	10.16	69.03	5.02	1.57	60.39	0.0	0.59
MYO10	1662.49	2032.85	1923.14	3419.52	1883.54	967.76	2240.11	2240.11	1159.07	2018.8	1561.89	1127.35	1199.98	414.87	1081.39	1225.22	363.56	277.2	1304.15	59.97	123.5	212.78	198.47	291.04	191.67	93.35	224.97	85.82	327.56	0.0	0.8
MYO5A	426.57	251.48	426.57	438.59	500.46	361.04	525.39	595.34	279.14	239.52	376.41	199.85	356.05	53.57	194.36	248.0	149.12	56.28	241.19	78.89	87.65	83.45	37.05	99.43	74.06	120.94	48.87	20.56	55.49	0.0	0.58
MYZAP	1313.23	3955.48	1832.01	4937.99	1769.57	2682.69	2855.44	1745.2	1936.53	5517.27	1721.16	1498.22	2434.5	154.42	2875.3	591.22	9.06	171.45	612.11	8.32	11.91	947.83	6.94	1.64	2.36	18.84	4.13	0.0	92.7	0.0	0.13
NRXN3	351.14	591.22	620.67	1733.13	713.11	733.19	660.68	981.29	547.75	791.35	961.07	848.22	1066.48	6.41	1096.5	500.46	1.68	6.36	351.14	20.71	15.45	358.54	0.39	4.7	0.44	10.79	748.61	9.48	2.14	0.0	0.21
NUDT9	1651.0	1407.55	1674.06	6983.79	1651.0	1991.0	1781.89	1896.65	2090.03	1467.37	1977.24	1477.58	2816.11	693.58	1628.26	1923.14	642.59	967.76	2682.69	698.41	1175.27	624.99	620.67	1191.69	866.07	1487.87	941.27	842.36	493.56	0.0	0.38
NUP205	703.28	674.59	665.29	733.19	723.08	743.43	591.22	713.11	679.29	543.96	693.58	624.99	583.07	236.21	587.13	629.35	476.71	629.35	620.67	457.25	392.44	647.07	540.19	320.8	514.56	441.64	387.02	373.81	361.04	0.0	1.0
OR13J1	2.1	0.44	3.63	2.56	0.78	3.92	2.32	1.03	2.39	1.19	3.99	1.5	0.0	0.0	6.36	0.0	0.0	0.0	1.87	0.0	0.71	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.0	0.0	0.0
PDCL	412.0	363.56	329.84	551.56	395.18	332.14	356.05	486.75	303.44	529.06	387.02	463.65	223.41	231.32	267.73	295.11	118.43	231.32	267.73	182.55	193.01	107.38	99.43	100.83	132.44	157.68	101.54	66.65	115.16	0.0	0.18
PLAGL2	748.61	285.03	669.92	785.88	435.55	1008.9	684.02	928.3	1015.93	575.03	629.35	802.41	409.15	60.82	500.46	204.07	57.89	78.34	307.69	78.34	55.49	64.34	60.82	39.79	38.4	44.25	73.03	21.16	36.79	0.0	0.26
PRDM16	153.34	144.01	159.9	265.87	181.28	123.5	181.28	190.34	170.25	138.1	167.9	217.27	143.01	154.42	122.64	104.42	44.25	27.44	85.22	5.59	5.15	13.22	0.72	0.84	2.39	2.84	0.33	0.0	17.9	0.0	0.27
RAB43	271.48	536.45	327.56	351.14	305.55	525.39	507.46	297.17	435.55	660.68	483.38	271.48	518.15	98.04	334.46	275.28	327.56	152.28	217.27	316.37	229.72	234.57	77.25	161.02	94.01	93.35	104.42	106.63	713.11	0.0	0.49
RAPGEF4	346.29	559.28	226.54	830.75	518.15	397.93	301.33	226.54	255.0	493.56	214.27	74.06	173.85	26.1	343.89	64.8	17.51	51.35	417.77	117.6	53.57	23.42	3.99	8.06	6.94	27.25	1.69	6.52	231.32	0.0	0.31
RGP1	595.34	473.41	454.09	764.36	616.37	693.58	529.06	547.75	403.5	358.54	612.11	536.45	400.71	376.41	368.65	414.87	273.37	262.2	612.11	234.57	258.57	150.17	156.59	264.03	220.32	258.57	171.45	159.9	141.02	0.0	0.52
RNF150	187.71	249.73	102.25	329.84	186.4	177.53	123.5	146.03	80.57	178.77	128.79	108.9	43.94	185.11	127.0	113.56	23.59	36.01	146.03	6.41	45.21	38.4	16.27	3.72	3.17	35.0	66.65	17.64	16.51	0.0	0.26
RNF4	825.0	995.0	688.78	1037.29	802.41	878.17	872.1	988.12	896.64	802.41	896.64	1088.92	723.08	1242.34	708.18	802.41	587.13	420.68	884.29	688.78	967.76	273.37	607.87	836.53	583.07	836.53	547.75	543.96	493.56	0.0	0.8
RPUSD2	283.05	249.73	285.03	255.0	283.05	303.44	248.0	305.55	387.02	256.78	293.07	325.29	267.73	190.34	293.07	208.38	175.07	226.54	194.36	129.69	217.27	169.07	155.5	104.42	202.66	221.86	186.4	166.73	161.02	0.0	0.0
SECISBP2L	785.88	656.11	738.29	2591.27	878.17	759.08	1015.93	1322.37	665.29	1313.23	743.43	503.95	775.05	447.82	579.04	808.0	314.17	253.23	612.11	249.73	239.52	190.34	141.02	208.38	177.53	182.55	223.41	94.01	120.1	0.0	0.11
SEPT6	1781.89	1639.59	1175.27	1709.26	2061.24	1268.46	1721.16	329.84	1151.06	1059.11	1819.35	1909.85	2018.8	836.53	2148.82	884.29	896.64	417.77	1369.04	260.38	293.07	36.53	52.82	195.72	248.0	329.84	204.07	125.24	412.0	307.69	327.56
SLC2A12	305.55	316.37	206.94	633.73	277.2	299.25	96.68	379.04	81.14	148.09	167.9	299.25	98.04	27.64	120.1	78.34	43.32	126.12	156.59	18.43	94.01	91.41	3.08	0.4	2.73	68.55	0.64	0.73	22.26	0.0	0.18
SPINT1	5076.84	3690.52	4704.07	5366.37	5292.48	5751.61	4639.29	6164.49	4450.27	4388.98	4903.87	9151.82	5292.48	323.03	5006.93	2451.44	866.07	246.28	3874.05	2835.7	785.88	1397.83	915.51	1388.16	1896.65	1369.04	1819.35	1096.5	19754.96	0.0	0.07
STAT6	2997.45	2796.65	3039.3	4671.57	3103.19	4152.18	3280.18	3742.05	4543.8	2835.7	2796.65	4298.64	2417.67	1167.14	2240.11	2335.28	1529.73	1350.18	1923.14	2758.13	1295.13	1073.91	1359.57	1295.13	2335.28	1051.79	2119.22	1183.45	1605.83	1721.16	305.55
SYK	400.71	583.07	703.28	3665.02	1819.35	775.05	1233.75	1397.83	1175.27	1159.07	1066.48	1340.84	703.28	193.01	567.1	1001.93	54.33	72.52	607.87	147.06	218.79	106.63	36.53	63.0	262.2	80.57	23.25	22.43	444.72	0.0	0.13
TBC1D25	297.17	246.28	246.28	392.44	291.04	287.01	281.09	239.52	205.5	189.02	295.11	262.2	218.79	157.68	165.57	211.31	195.72	176.29	215.77	116.78	273.37	62.56	93.35	205.5	154.42	187.71	154.42	156.59	77.79	0.0	0.61
TBX2	551.56	579.04	2104.58	1322.37	532.74	1745.2	1781.89	1447.15	1322.37	1594.73	785.88	1896.65	1233.75	674.59	743.43	1397.83	563.18	563.18	665.29	283.05	193.01	197.09	152.28	115.97	37.85	232.94	260.38	69.03	154.42	0.0	0.83
TLE1	1111.82	1674.06	1540.37	2591.27	1030.12	1605.83	1617.0	1923.14	1457.23	1819.35	1447.15	2255.7	1199.98	303.44	1167.14	1313.23	178.77	928.3	743.43	473.41	713.11	1111.82	237.86	447.82	902.89	180.02	802.41	890.44	2004.85	0.0	0.66
TMEM260	312.0	314.17	329.84	371.22	336.79	348.71	287.01	368.65	323.03	336.79	287.01	295.11	303.44	96.01	323.03	224.97	141.02	74.58	291.04	111.99	154.42	136.19	228.13	108.9	146.03	99.43	163.28	156.59	133.36	0.0	0.49
TOM1	3491.39	3124.78	5147.73	3515.68	3060.45	3614.55	4066.71	3742.05	3103.19	3874.05	3467.27	4575.41	3419.52	1721.16	2434.5	2032.85	708.18	1551.09	2720.15	1388.16	1277.29	1233.75	1936.53	1407.55	1447.15	1467.37	947.83	1216.75	1923.14	1651.0	551.56
TRIM50	7280.4	5995.9	1844.76	5112.16	3303.0	6792.79	1183.45	2816.11	780.44	438.59	3901.01	7331.05	1844.76	206.94	2384.37	808.0	30.78	336.79	4512.4	0.0	2.12	1059.11	1.08	37.05	65.72	2.1	21.16	1.16	30.78	0.0	0.01
TSPAN14	2209.26	2090.03	2104.58	2240.11	934.76	3235.01	2796.65	2384.37	1540.37	2976.74	2209.26	1709.26	2047.0	514.56	1844.76	2502.97	728.11	1159.07	830.75	866.07	1340.84	1286.18	1225.22	830.75	457.25	785.88	435.55	981.29	830.75	961.07	1015.93
UBE3C	915.51	1397.83	808.0	1225.22	1191.69	1104.13	1066.48	1059.11	974.5	909.17	1225.22	1159.07	896.64	486.75	764.36	490.14	620.67	476.71	915.51	366.09	559.28	327.56	368.65	684.02	591.22	579.04	381.68	211.31	466.88	0.0	0.72
UBL4A	1143.1	1594.73	1135.2	1378.57	1498.22	1561.89	1397.83	1268.46	1427.22	1378.57	1350.18	1819.35	1135.2	1030.12	1119.56	836.53	954.43	1467.37	651.58	521.76	780.44	1096.5	503.95	1359.57	775.05	967.76	748.61	1088.92	1529.73	0.0	0.22
USP42	156.59	105.15	134.3	172.65	139.07	134.3	132.44	135.24	132.44	114.36	141.02	181.28	100.83	55.89	104.42	113.56	126.12	72.01	136.19	70.01	79.45	28.65	85.22	82.87	90.77	54.72	51.71	46.5	47.5	69.52	78.89
WDR44	164.42	132.44	158.79	218.79	156.59	199.85	178.77	178.77	92.7	111.99	183.82	138.1	107.38	52.45	94.01	152.28	80.01	45.53	123.5	78.34	98.73	41.81	68.07	102.25	88.26	73.54	74.06	47.17	249.73	0.0	0.48
