	TCGA.AC.A2QH.01A.11R.A18M.07	TCGA.A7.A26F.01A.21R.A169.07	TCGA.A7.A26I.01A.11R.A169.07.1	GTEX.ZYVF.2526.SM.5E45C	TCGA.KN.8437.11A.01R.2315.07	GTEX.ZVZP.0926.SM.5GIDB	GTEX.13OVI.1126.SM.5KLZF	GTEX.1399S.0526.SM.5IJG8	GTEX.147F4.2626.SM.5Q5CS	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.ZVP2.0626.SM.51MSO	GTEX.12WSI.0226.SM.5GCNA	GTEX.UTHO.2426.SM.4JBHD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.13N2G.0926.SM.5IFGJ	GTEX.Q734.0326.SM.48U15	GTEX.132NY.0926.SM.5P9G3	TCGA.44.3918.01A.01R.A278.07	TCGA.44.2665.01A.01R.A278.07	GTEX.ZYFG.0226.SM.5GIDT	GTEX.ZXG5.0826.SM.5GID6	GTEX.X585.1026.SM.46MW6	GTEX.O5YV.0526.SM.2I5GE	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.N7MT.0126.SM.2D7VT	GTEX.12696.1026.SM.5FQUV	GTEX.YEC3.0226.SM.5IFJO	GTEX.117YW.0526.SM.5H11C	GTEX.OXRP.0526.SM.2I3EW	GTEX.SN8G.0926.SM.4DM5I	GTEX.145MO.1326.SM.5Q5EF	GTEX.PLZ6.0426.SM.5IFK2	GTEX.QMR6.1926.SM.32PL9	GTEX.13QJ3.2726.SM.5SI6L	GTEX.REY6.0526.SM.2TF5M	GTEX.WEY5.0526.SM.3GIKZ	TCGA.BK.A0CC.01A.21R.A277.07	TCGA.BK.A26L.01A.11R.A277.07	TCGA.BK.A139.01A.11R.A277.07
DDX6	2915.45	3303.0	2835.7	371.22	769.69	728.11	2956.17	1081.39	1350.18	132.44	63.45	116.78	309.83	339.14	226.54	117.6	156.59	463.65	145.02	325.29	183.82	2032.85	1721.16	575.03	764.36	703.28	743.43	591.22	567.1	1295.13	624.99	713.11	629.35	878.17	269.6	981.29	265.87	1059.11	974.5	1001.93	769.69	1487.87	4328.55	2319.15
DHX36	2271.4	830.75	1350.18	723.08	563.18	616.37	1023.0	738.29	567.1	121.79	255.0	158.79	307.69	289.02	435.55	392.44	246.28	518.15	253.23	267.73	251.48	1561.89	1199.98	583.07	642.59	753.83	420.68	665.29	595.34	536.45	647.07	688.78	583.07	414.87	273.37	947.83	470.14	1340.84	429.54	1135.2	1151.06	1936.53	1340.84	2319.15
DNAJB14	599.49	629.35	476.71	373.81	329.84	260.38	688.78	329.84	567.1	27.84	58.3	26.47	96.68	115.97	104.42	202.66	130.6	133.36	131.51	153.34	62.56	896.64	791.35	353.59	389.72	373.81	273.37	343.89	267.73	400.71	293.07	403.5	346.29	248.0	129.69	397.93	236.21	555.41	384.34	490.14	417.77	466.88	595.34	802.41
DNM1L	2209.26	1208.34	1143.1	1104.13	753.83	703.28	1030.12	775.05	1111.82	137.14	151.22	81.14	180.02	291.04	283.05	264.03	295.11	332.14	199.85	253.23	186.4	1350.18	1277.29	312.0	633.73	511.0	743.43	420.68	521.76	525.39	759.08	540.19	878.17	1119.56	563.18	928.3	318.57	1167.14	836.53	1015.93	1127.35	1477.58	1697.45	2148.82
G2E3	414.87	450.94	483.38	167.9	175.07	118.43	343.89	165.57	175.07	9.48	28.45	13.93	53.57	44.57	55.1	58.71	33.06	57.08	33.54	61.68	28.45	748.61	389.72	140.04	145.02	118.43	140.04	98.73	120.1	161.02	145.02	106.63	144.01	92.05	69.03	105.15	78.89	353.59	152.28	258.57	297.17	289.02	1104.13	563.18
HELB	316.37	249.73	108.14	19.82	22.92	9.7	24.63	23.42	16.63	2.58	2.71	4.98	5.06	17.0	8.65	4.21	9.78	4.94	8.38	18.16	8.0	205.5	96.01	5.87	23.25	26.67	20.56	16.27	7.46	36.01	17.25	8.25	38.4	17.25	14.89	24.11	5.82	30.34	24.81	46.5	8.38	136.19	112.77	193.01
HERC4	651.58	1143.1	1225.22	540.19	406.31	264.03	426.57	329.84	381.68	95.34	111.21	159.9	195.72	277.2	147.06	303.44	368.65	217.27	336.79	587.13	199.85	830.75	1044.52	339.14	373.81	432.53	414.87	353.59	264.03	503.95	228.13	273.37	551.56	314.17	223.41	312.0	249.73	583.07	480.04	518.15	507.46	1216.75	728.11	1832.01
HOMER1	1175.27	532.74	620.67	31.9	118.43	273.37	171.45	128.79	158.79	30.78	14.67	3.86	6.89	12.18	41.22	27.84	113.56	18.16	32.36	32.59	3.32	507.46	206.94	58.71	108.9	173.85	97.36	109.66	180.02	86.43	77.79	92.05	106.63	214.27	37.05	226.54	45.85	53.95	40.64	143.01	118.43	547.75	473.41	197.09
HSF2	444.72	262.2	327.56	208.38	197.09	161.02	224.97	191.67	206.94	79.45	36.79	40.93	58.71	87.03	96.01	77.25	71.0	42.11	65.72	51.35	43.94	186.4	297.17	211.31	206.94	186.4	111.99	190.34	178.77	139.07	178.77	143.01	211.31	112.77	91.41	248.0	138.1	277.2	180.02	239.52	251.48	256.78	264.03	470.14
INO80D	209.84	249.73	348.71	115.97	75.11	63.0	150.17	61.25	91.41	14.14	21.32	8.19	20.41	42.71	36.27	32.82	29.7	41.52	37.32	27.84	19.53	173.85	171.45	41.52	94.01	73.03	67.12	51.35	41.52	98.73	76.71	71.5	110.43	65.72	28.24	71.5	29.91	99.43	142.01	162.14	112.77	273.37	366.09	220.32
KDM5A	1685.71	1081.39	660.68	199.85	339.14	309.83	708.18	575.03	291.04	53.57	105.15	78.89	123.5	197.09	153.34	189.02	106.63	199.85	163.28	191.67	127.0	638.15	642.59	212.78	366.09	273.37	251.48	384.34	248.0	723.08	297.17	279.14	381.68	205.5	269.6	336.79	77.25	309.83	221.86	339.14	301.33	791.35	1191.69	802.41
LRRTM2	78.34	35.0	34.26	4.7	4.46	5.68	11.64	3.76	13.03	0.0	2.46	0.52	1.75	2.84	1.31	0.43	2.16	5.82	1.23	0.42	1.55	62.56	95.34	3.99	5.87	11.38	8.13	6.52	21.01	21.47	6.52	8.85	8.38	3.11	0.82	7.94	2.27	7.57	13.22	12.0	4.78	88.88	67.59	55.49
MCM9	279.14	358.54	444.72	214.27	232.94	197.09	226.54	187.71	356.05	63.45	25.72	36.79	52.82	110.43	50.63	46.84	118.43	81.14	75.64	101.54	49.21	229.72	327.56	163.28	241.19	253.23	175.07	117.6	153.34	229.72	248.0	120.94	221.86	154.42	88.26	172.65	81.14	329.84	265.87	275.28	231.32	470.14	325.29	432.53
MED13	1551.09	909.17	1073.91	262.2	351.14	269.6	620.67	303.44	547.75	47.17	98.73	62.56	228.13	189.02	108.14	176.29	162.14	187.71	173.85	137.14	141.02	1870.53	934.76	215.77	309.83	275.28	283.05	271.48	241.19	387.02	256.78	239.52	444.72	291.04	152.28	376.41	166.73	353.59	336.79	647.07	356.05	974.5	1051.79	1073.91
MIB1	1151.06	1001.93	1447.15	255.0	248.0	185.11	616.37	206.94	607.87	18.29	49.56	46.18	100.83	127.89	93.35	148.09	111.21	118.43	156.59	131.51	64.34	500.46	460.44	137.14	384.34	183.82	228.13	191.67	161.02	358.54	256.78	167.9	323.03	223.41	101.54	202.66	107.38	483.38	249.73	264.03	251.48	974.5	1950.0	624.99
MTBP	476.71	211.31	234.57	38.4	25.35	25.72	44.25	29.91	37.05	1.83	9.7	3.86	7.28	10.79	14.35	12.83	6.26	16.15	7.51	7.34	4.03	299.25	177.53	51.71	33.54	30.34	26.67	49.56	19.68	42.11	60.39	24.11	14.56	22.26	19.82	14.56	29.7	69.03	77.25	27.05	37.05	358.54	220.32	336.79
NBN	2163.77	1963.57	1467.37	470.14	438.59	447.82	642.59	620.67	688.78	77.25	163.28	73.54	208.38	291.04	253.23	329.84	187.71	366.09	197.09	264.03	191.67	1447.15	703.28	412.0	417.77	532.74	497.0	536.45	361.04	480.04	454.09	438.59	629.35	444.72	343.89	547.75	316.37	759.08	698.41	389.72	579.04	1832.01	954.43	1605.83
NSMAF	1519.15	825.0	1008.9	698.41	327.56	312.0	441.64	409.15	392.44	423.61	57.49	56.68	83.45	112.77	132.44	129.69	108.9	102.25	37.05	133.36	100.83	995.0	791.35	490.14	361.04	253.23	764.36	255.0	406.31	429.54	493.56	426.57	371.22	511.0	249.73	743.43	220.32	587.13	536.45	603.67	684.02	599.49	764.36	1051.79
PHF6	1119.56	819.3	688.78	220.32	273.37	189.02	291.04	214.27	343.89	25.91	36.01	36.27	70.51	93.35	58.3	77.79	68.55	74.58	94.01	111.21	49.21	723.08	486.75	105.15	159.9	187.71	199.85	146.03	91.41	161.02	139.07	107.38	264.03	151.22	112.77	211.31	110.43	271.48	212.78	199.85	237.86	642.59	1175.27	878.17
PHIP	679.29	629.35	743.43	341.51	248.0	170.25	656.11	231.32	387.02	12.55	22.26	9.63	40.64	120.1	42.71	62.12	77.25	54.72	60.82	62.12	43.02	703.28	450.94	197.09	312.0	242.88	159.9	191.67	113.56	346.29	185.11	217.27	348.71	167.9	102.25	297.17	106.63	366.09	406.31	406.31	241.19	854.13	954.43	830.75
PIK3C2A	921.88	872.1	1259.69	435.55	665.29	438.59	1023.0	373.81	748.61	21.32	54.33	23.93	122.64	127.89	150.17	121.79	147.06	208.38	115.16	111.99	92.7	1066.48	1066.48	297.17	525.39	389.72	460.44	343.89	518.15	669.92	403.5	376.41	547.75	348.71	281.09	571.05	236.21	759.08	733.19	743.43	688.78	1662.49	1487.87	1487.87
QSER1	813.63	1369.04	1119.56	139.07	157.68	107.38	363.56	124.37	236.21	12.55	27.25	14.24	41.52	84.63	30.56	46.84	57.08	43.94	64.8	80.01	39.22	356.05	353.59	131.51	161.02	145.02	226.54	95.34	108.14	368.65	124.37	100.83	161.02	151.22	60.82	138.1	59.55	131.51	237.86	215.77	171.45	713.11	974.5	525.39
RB1CC1	2004.85	1286.18	1977.24	339.14	397.93	165.57	674.59	265.87	332.14	18.84	66.65	22.1	154.42	202.66	376.41	163.28	251.48	327.56	156.59	255.0	169.07	1322.37	688.78	429.54	417.77	417.77	297.17	571.05	339.14	567.1	432.53	299.25	432.53	273.37	236.21	473.41	241.19	454.09	400.71	563.18	368.65	1378.57	660.68	2119.22
REST	1044.52	1096.5	860.08	170.25	293.07	277.2	559.28	244.57	426.57	28.45	43.63	28.65	74.58	178.77	116.78	150.17	102.97	164.42	130.6	158.79	71.0	656.11	466.88	187.71	258.57	208.38	231.32	217.27	172.65	303.44	287.01	220.32	145.02	149.12	93.35	228.13	190.34	373.81	218.79	327.56	241.19	647.07	1259.69	854.13
RICTOR	490.14	551.56	603.67	224.97	172.65	141.02	420.68	218.79	279.14	11.82	41.81	24.11	65.72	98.04	71.0	81.71	111.21	71.5	77.79	79.45	67.59	860.08	813.63	156.59	209.84	221.86	89.51	151.22	151.22	336.79	138.1	131.51	309.83	135.24	125.24	241.19	88.26	376.41	316.37	356.05	237.86	346.29	753.83	1331.57
RIF1	928.3	1044.52	1233.75	229.72	178.77	144.01	371.22	185.11	228.13	8.51	39.79	14.03	50.63	62.56	39.79	80.01	82.29	88.88	77.25	49.21	26.67	890.44	518.15	96.01	239.52	109.66	142.01	93.35	69.03	264.03	178.77	93.35	246.28	138.1	45.53	236.21	43.94	215.77	234.57	285.03	251.48	1127.35	1191.69	1023.0
RLIM	954.43	1037.29	1199.98	220.32	262.2	277.2	423.61	289.02	447.82	59.97	59.55	51.35	94.01	138.1	69.03	100.13	125.24	94.01	120.94	94.01	75.64	764.36	848.22	166.73	279.14	205.5	256.78	269.6	224.97	275.28	224.97	191.67	420.68	258.57	199.85	412.0	147.06	346.29	253.23	466.88	291.04	791.35	1051.79	1277.29
SCAF11	4152.18	3081.75	2335.28	728.11	890.44	921.88	1832.01	896.64	1111.82	70.51	318.57	117.6	325.29	486.75	368.65	518.15	414.87	656.11	493.56	518.15	423.61	2224.63	1487.87	703.28	921.88	679.29	708.18	836.53	599.49	1594.73	674.59	733.19	693.58	698.41	438.59	928.3	503.95	961.07	1037.29	1322.37	1023.0	1745.2	1991.0	2645.74
SENP1	518.15	343.89	341.51	143.01	177.53	156.59	248.0	170.25	201.25	23.42	42.41	22.59	40.36	64.8	33.3	60.82	48.52	55.89	55.89	52.82	39.5	371.22	307.69	108.14	149.12	149.12	148.09	121.79	152.28	205.5	193.01	115.16	73.54	163.28	77.25	199.85	91.41	142.01	181.28	186.4	170.25	242.88	384.34	371.22
SLC25A32	1208.34	703.28	633.73	493.56	279.14	265.87	295.11	339.14	400.71	132.44	166.73	221.86	206.94	190.34	146.03	356.05	228.13	231.32	285.03	156.59	161.02	813.63	486.75	190.34	384.34	363.56	366.09	409.15	260.38	291.04	351.14	353.59	303.44	529.06	279.14	420.68	275.28	490.14	358.54	514.56	403.5	825.0	476.71	607.87
SMG1	1073.91	1159.07	1037.29	332.14	403.5	255.0	555.41	320.8	423.61	46.84	46.5	33.78	102.97	201.25	92.05	175.07	189.02	124.37	151.22	215.77	98.73	954.43	1015.93	193.01	368.65	223.41	236.21	206.94	172.65	490.14	249.73	262.2	295.11	249.73	93.35	255.0	60.39	334.46	334.46	438.59	316.37	2148.82	1457.23	947.83
SPAST	503.95	414.87	503.95	136.19	115.97	94.01	232.94	139.07	175.07	30.34	59.13	52.45	85.22	82.29	69.52	130.6	50.63	71.0	139.07	92.7	67.12	507.46	253.23	166.73	269.6	190.34	170.25	191.67	134.3	164.42	198.47	136.19	81.71	129.69	75.64	75.64	157.68	163.28	123.5	165.57	157.68	303.44	480.04	423.61
SPRTN	228.13	273.37	400.71	109.66	99.43	108.9	164.42	146.03	111.21	24.11	47.5	38.67	54.33	75.64	86.43	77.25	39.79	92.7	76.17	42.41	77.79	297.17	260.38	147.06	120.1	73.54	87.03	158.79	82.29	122.64	117.6	119.26	55.49	106.63	55.49	100.83	124.37	228.13	88.26	143.01	155.5	283.05	334.46	244.57
TAF2	1378.57	1023.0	947.83	323.03	309.83	256.78	460.44	327.56	373.81	36.53	45.53	46.18	100.83	147.06	165.57	104.42	87.65	180.02	89.51	155.5	137.14	890.44	595.34	205.5	450.94	211.31	281.09	189.02	198.47	202.66	287.01	297.17	156.59	406.31	117.6	212.78	239.52	269.6	291.04	406.31	363.56	941.27	915.51	1088.92
TAOK1	587.13	753.83	872.1	239.52	301.33	248.0	616.37	291.04	486.75	38.12	59.55	28.65	74.06	109.66	73.03	123.5	92.05	120.94	116.78	95.34	49.91	860.08	532.74	173.85	289.02	275.28	293.07	214.27	195.72	514.56	239.52	226.54	384.34	265.87	202.66	361.04	126.12	414.87	356.05	376.41	368.65	1096.5	1167.14	532.74
TET2	366.09	490.14	215.77	132.44	144.01	112.77	214.27	113.56	221.86	10.39	16.27	9.85	21.63	71.5	32.82	64.8	47.84	27.05	26.86	44.57	23.76	438.59	231.32	105.89	147.06	157.68	80.57	77.79	105.15	224.97	136.19	113.56	215.77	80.57	75.11	167.9	53.95	253.23	258.57	155.5	111.21	351.14	503.95	525.39
TLK2	1519.15	728.11	1199.98	389.72	551.56	466.88	708.18	412.0	503.95	172.65	191.67	112.77	133.36	307.69	173.85	241.19	285.03	305.55	220.32	205.5	180.02	1617.0	669.92	444.72	878.17	454.09	348.71	476.71	323.03	599.49	540.19	379.04	500.46	463.65	441.64	603.67	356.05	872.1	486.75	591.22	525.39	884.29	660.68	620.67
TROVE2	3124.78	2997.45	1936.53	248.0	229.72	201.25	563.18	312.0	403.5	29.7	84.04	44.25	117.6	115.16	94.67	128.79	141.02	146.03	101.54	139.07	64.34	1498.22	2032.85	149.12	406.31	279.14	281.09	251.48	201.25	457.25	248.0	244.57	307.69	312.0	158.79	348.71	158.79	432.53	417.77	547.75	215.77	1051.79	1519.15	1159.07
TTC13	409.15	303.44	555.41	429.54	157.68	147.06	173.85	198.47	172.65	51.71	111.99	45.21	47.17	94.67	97.36	137.14	92.7	73.03	139.07	62.56	66.65	444.72	514.56	178.77	143.01	211.31	152.28	120.94	156.59	173.85	173.85	165.57	277.2	193.01	106.63	180.02	108.14	301.33	161.02	228.13	255.0	429.54	500.46	483.38
TULP4	909.17	728.11	406.31	81.71	74.58	64.34	172.65	100.83	212.78	54.72	26.67	19.97	27.64	43.32	31.45	36.53	42.41	41.52	29.48	49.91	24.11	237.86	183.82	88.26	61.68	99.43	158.79	58.71	95.34	73.54	62.56	88.88	53.19	60.39	19.68	66.65	48.18	60.82	73.54	82.29	104.42	647.07	785.88	444.72
TWISTNB	1044.52	708.18	299.25	199.85	223.41	157.68	283.05	232.94	265.87	37.05	96.68	34.75	91.41	94.67	113.56	100.83	56.68	140.04	104.42	88.26	63.45	738.29	283.05	187.71	181.28	236.21	180.02	224.97	133.36	183.82	218.79	221.86	80.01	185.11	115.97	142.01	181.28	204.07	155.5	186.4	307.69	309.83	591.22	371.22
UBE3A	2018.8	1909.85	1127.35	497.0	612.11	473.41	1008.9	514.56	1073.91	76.71	255.0	134.3	325.29	346.29	287.01	423.61	373.81	417.77	486.75	341.51	249.73	1104.13	1008.9	454.09	866.07	575.03	769.69	698.41	473.41	780.44	571.05	444.72	316.37	575.03	297.17	525.39	384.34	890.44	629.35	872.1	769.69	1159.07	1331.57	947.83
UTP20	612.11	607.87	271.48	163.28	120.94	117.6	106.63	138.1	159.9	22.43	32.82	20.11	31.9	50.27	52.08	42.11	29.27	67.59	33.3	40.64	35.0	466.88	289.02	78.89	77.79	65.26	156.59	127.0	59.97	73.54	95.34	113.56	41.22	201.25	53.95	98.04	56.68	81.71	83.45	95.34	152.28	267.73	486.75	291.04
VCPIP1	547.75	521.76	503.95	117.6	96.68	115.16	208.38	124.37	127.89	33.54	38.4	30.56	56.68	81.71	77.25	83.45	59.97	87.03	102.25	71.0	50.27	466.88	285.03	108.9	111.21	122.64	112.77	121.79	80.01	202.66	137.14	74.58	145.02	64.34	27.64	141.02	94.67	172.65	116.78	135.24	98.73	466.88	409.15	514.56
VPS13B	1001.93	563.18	470.14	381.68	295.11	246.28	267.73	249.73	289.02	63.45	97.36	54.33	76.17	109.66	85.82	110.43	130.6	102.25	128.79	88.26	62.12	848.22	392.44	205.5	267.73	232.94	191.67	234.57	175.07	395.18	260.38	178.77	246.28	166.73	123.5	215.77	157.68	497.0	339.14	384.34	307.69	848.22	713.11	974.5
ZBED6	1340.84	1073.91	551.56	71.0	153.34	164.42	507.46	127.89	183.82	7.0	1.04	6.67	36.79	128.79	27.84	28.65	60.39	157.68	34.26	136.19	23.93	796.86	647.07	57.89	107.38	54.33	93.35	63.45	68.55	269.6	75.11	94.01	97.36	86.43	29.48	92.05	1.27	60.39	187.71	201.25	85.82	791.35	1540.37	638.15
ZFYVE16	1745.2	1111.82	703.28	460.44	358.54	379.04	420.68	277.2	679.29	46.5	117.6	61.68	127.89	244.57	143.01	154.42	189.02	129.69	264.03	178.77	128.79	1127.35	915.51	236.21	297.17	376.41	525.39	249.73	244.57	547.75	248.0	267.73	698.41	253.23	202.66	303.44	234.57	447.82	490.14	406.31	384.34	703.28	921.88	1044.52
ZMYM4	1191.69	1583.71	1304.15	291.04	409.15	356.05	890.44	392.44	599.49	53.19	59.97	49.91	141.02	195.72	172.65	208.38	332.14	139.07	147.06	157.68	125.24	1015.93	684.02	351.14	426.57	320.8	366.09	368.65	212.78	656.11	438.59	400.71	248.0	441.64	176.29	248.0	332.14	890.44	409.15	420.68	603.67	764.36	1857.6	836.53
ZNF292	728.11	698.41	547.75	187.71	197.09	96.01	285.03	159.9	279.14	8.58	12.83	6.06	37.59	72.01	22.26	54.33	73.54	22.92	69.03	58.3	42.71	1088.92	1159.07	123.5	134.3	165.57	115.97	130.6	75.64	441.64	135.24	132.44	130.6	114.36	52.82	92.7	67.12	279.14	289.02	212.78	199.85	896.64	1369.04	1594.73
ZNF451	1857.6	902.89	2434.5	406.31	239.52	224.97	507.46	256.78	397.93	37.59	120.1	60.39	125.24	182.55	169.07	154.42	164.42	187.71	147.06	115.16	111.21	1685.71	1159.07	262.2	351.14	325.29	214.27	194.36	226.54	599.49	285.03	226.54	571.05	264.03	199.85	435.55	189.02	426.57	420.68	743.43	373.81	954.43	1407.55	1268.46
