	TCGA.BT.A2LA.01A.11R.A18C.07	GTEX.T5JW.0726.SM.4DM6D	GTEX.T6MO.1426.SM.4DM73	TCGA.DM.A28M.01A.12R.A16W.07	TCGA.AA.A01P.01A.21R.A083.07	TCGA.L5.A4OP.01A.11R.A260.31	TCGA.L5.A891.01A.11R.A36D.31	TCGA.2H.A9GI.01A.11R.A37I.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.L5.A88Y.01A.11R.A354.31	GTEX.144GM.1326.SM.5LU5E	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.CG.5718.01A.11R.1602.13	TCGA.HU.A4GH.01A.11R.A24K.31	TCGA.D7.A748.01A.12R.A32D.31	TCGA.VQ.AA6D.01A.11R.A414.31	GTEX.13OW6.2526.SM.5IJEC	GTEX.13PVQ.2126.SM.5L3FW	GTEX.QXCU.1926.SM.48FE4	GTEX.117YW.2226.SM.5N9DB	GTEX.11GSP.2126.SM.5HL5E	GTEX.12BJ1.1726.SM.5HL9B	TCGA.EO.A3KU.01A.11R.A22K.07	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.BK.A6W4.01A.12R.A34R.07	TCGA.PG.A7D5.01A.11R.A34R.07	TCGA.N5.A4RO.01A.11R.A28V.07
CTD-2369P2.10	35.25	10.24	41.22	9.13	9.13	9.2	9.63	7.0	9.34	8.78	1.14	0.0	0.01	8.06	6.01	12.36	19.11	5.59	1.0	1.45	0.87	2.81	4.66	25.72	29.27	16.51	29.27	39.79
DPCD	995.0	684.02	819.3	1023.0	896.64	417.77	480.04	417.77	480.04	575.03	206.94	0.0	0.08	246.28	291.04	624.99	271.48	381.68	305.55	275.28	105.15	177.53	395.18	1378.57	934.76	1175.27	4066.71	1977.24
DYNC1H1	4268.94	4671.57	4450.27	5329.3	5791.62	4869.99	3716.2	3874.05	3349.13	3491.39	1199.98	0.0	1.2	2224.63	3103.19	3491.39	3820.7	1819.35	1709.26	2351.53	2875.3	1662.49	2976.74	4419.52	5041.77	3901.01	4066.71	4972.34
FBXW9	624.99	669.92	316.37	189.02	258.57	107.38	108.9	285.03	173.85	173.85	32.59	0.0	0.0	77.79	102.25	159.9	100.13	90.77	127.89	101.54	109.66	63.45	159.9	441.64	441.64	559.28	1977.24	567.1
H2AFB2	15.22	0.0	4.66	4.58	10.24	17.0	16.03	11.3	8.45	8.78	0.0	0.0	0.17	2.43	0.0	0.0	7.88	2.36	3.2	0.0	1.01	0.0	0.0	18.29	7.82	6.94	3.63	10.0
HARS2	830.75	507.46	607.87	1088.92	599.49	493.56	384.34	476.71	583.07	358.54	147.06	0.0	0.64	260.38	206.94	318.57	318.57	246.28	343.89	323.03	82.87	218.79	373.81	624.99	563.18	753.83	723.08	1023.0
HAUS1	1225.22	316.37	808.0	599.49	624.99	299.25	529.06	753.83	371.22	457.25	144.01	0.0	0.31	339.14	285.03	295.11	361.04	183.82	363.56	208.38	136.19	206.94	525.39	954.43	796.86	616.37	775.05	902.89
HDAC3	2193.99	1359.57	1073.91	1151.06	1127.35	902.89	1059.11	759.08	1208.34	808.0	703.28	0.0	0.8	591.22	493.56	748.61	518.15	703.28	896.64	764.36	575.03	775.05	718.08	1023.0	1199.98	1277.29	1551.09	3039.3
HOXD1	146.03	0.87	0.32	27.05	70.01	10.39	12.55	9.56	39.5	11.3	0.0	0.0	0.0	6.06	13.72	8.38	71.5	12.36	7.28	6.67	5.59	0.8	1.33	90.77	287.01	19.39	35.76	96.01
HOXD3	189.02	5.28	62.12	15.0	47.5	29.48	23.59	31.9	20.11	30.12	0.0	0.0	0.34	15.68	9.78	16.27	13.12	2.97	9.27	5.15	12.27	6.31	6.31	21.47	191.67	265.87	36.53	90.14
HOXD4	56.28	4.5	14.03	11.64	39.22	15.22	15.8	13.62	10.31	12.09	0.44	0.0	0.0	10.96	9.93	8.99	4.54	4.35	1.91	4.35	0.0	2.32	3.53	12.0	98.04	170.25	16.27	66.18
HOXD8	199.85	37.32	132.44	38.95	236.21	47.84	54.72	68.07	54.72	71.5	3.11	0.0	0.24	52.45	21.32	85.22	21.94	18.43	12.0	30.78	17.13	30.78	21.63	59.97	575.03	343.89	214.27	218.79
HOXD9	70.51	366.09	409.15	12.45	285.03	57.89	155.5	48.18	43.94	45.21	2.25	0.0	0.24	52.08	14.89	13.62	53.19	5.63	8.06	7.28	1.93	6.67	9.13	60.39	244.57	848.22	103.69	187.71
KIF22	4328.55	1286.18	866.07	808.0	1378.57	921.88	1277.29	981.29	660.68	429.54	358.54	0.0	0.37	1378.57	934.76	332.14	1088.92	483.38	698.41	457.25	248.0	316.37	599.49	1977.24	1397.83	1143.1	2485.67	2178.83
LCN2	0.0	1179708.33	706337.4	316094.29	542775.98	606436.73	654483.73	1238359.56	336441.4	513497.31	4066.71	0.0	0.43	1034138.94	565825.41	1472666.19	593956.43	15607.02	125731.67	2645.74	8421.31	1963.57	217400.14	6037.61	65.26	6426.31	3124.78	366.09
LUC7L	759.08	902.89	2133.97	974.5	2047.0	2520.38	679.29	1594.73	1295.13	651.58	454.09	0.0	1.11	684.02	791.35	599.49	642.59	633.73	688.78	483.38	417.77	665.29	511.0	2351.53	1331.57	1977.24	830.75	1896.65
MAP2K5	466.88	267.73	507.46	260.38	291.04	293.07	226.54	267.73	214.27	303.44	105.89	0.0	0.29	201.25	191.67	170.25	231.32	154.42	146.03	209.84	135.24	175.07	289.02	244.57	346.29	368.65	297.17	525.39
MARCH9	775.05	417.77	708.18	688.78	551.56	244.57	264.03	384.34	348.71	307.69	199.85	0.0	0.72	423.61	353.59	400.71	412.0	177.53	334.46	211.31	356.05	167.9	258.57	441.64	406.31	356.05	447.82	353.59
MCM3AP	1832.01	603.67	928.3	1008.9	1066.48	872.1	579.04	934.76	723.08	988.12	571.05	0.0	1.03	748.61	995.0	555.41	656.11	490.14	587.13	703.28	325.29	460.44	775.05	1015.93	1015.93	1159.07	884.29	2061.24
MRPL19	612.11	575.03	406.31	785.88	723.08	450.94	503.95	934.76	503.95	297.17	775.05	0.0	0.0	486.75	507.46	503.95	733.19	438.59	403.5	532.74	343.89	395.18	438.59	1359.57	1015.93	974.5	1051.79	974.5
NAT14	2434.5	99.43	543.96	107.38	389.72	78.34	480.04	473.41	215.77	167.9	72.52	0.0	0.33	423.61	103.69	293.07	281.09	107.38	82.87	99.43	68.55	38.4	67.12	836.53	1662.49	1044.52	1066.48	1709.26
NGDN	2104.58	872.1	1066.48	1378.57	1030.12	1313.23	909.17	1583.71	1044.52	872.1	638.15	0.0	0.91	775.05	536.45	463.65	1295.13	429.54	603.67	842.36	915.51	420.68	669.92	2384.37	2555.58	1175.27	1119.56	1322.37
NGFRAP1	14361.31	1733.13	10585.95	3614.55	1832.01	409.15	629.35	536.45	1487.87	1322.37	819.3	0.0	1.0	400.71	208.38	2351.53	1662.49	1572.76	728.11	1991.0	674.59	1066.48	1051.79	10440.2	10659.59	3614.55	6337.83	4419.52
PAAF1	656.11	376.41	563.18	381.68	248.0	205.5	500.46	273.37	262.2	291.04	124.37	0.0	0.41	215.77	285.03	228.13	384.34	205.5	229.72	363.56	76.71	329.84	181.28	500.46	647.07	583.07	579.04	444.72
PMF1-BGLAP	392.44	152.28	173.85	80.57	129.69	100.83	162.14	30.12	109.66	125.24	44.25	0.0	0.14	76.71	38.4	186.4	44.89	109.66	84.63	69.03	55.1	193.01	75.11	229.72	373.81	189.02	460.44	660.68
POLR3F	281.09	161.02	191.67	206.94	177.53	176.29	169.07	197.09	164.42	138.1	84.63	0.0	0.21	81.14	152.28	101.54	190.34	60.82	107.38	127.89	68.55	26.47	153.34	291.04	417.77	205.5	371.22	343.89
PSMC1	3060.45	2645.74	1844.76	2835.7	2875.3	2739.08	1896.65	4181.07	2627.46	2193.99	2417.67	0.0	0.82	1923.14	3982.99	2240.11	2032.85	1477.58	2148.82	2209.26	1745.2	1388.16	2255.7	2855.44	4123.49	2178.83	4181.07	3372.43
RCOR2	2032.85	17.0	11.3	33.78	38.67	36.01	44.57	34.51	15.22	59.97	0.0	0.0	0.21	31.9	60.39	19.97	237.86	21.01	2.36	7.57	12.74	10.63	7.17	432.53	1051.79	163.28	120.1	1331.57
RP1-170O19.20	14.24	1.38	14.45	0.13	10.63	2.51	0.0	5.23	1.22	6.06	0.0	0.0	0.0	3.26	19.25	13.03	11.3	0.0	0.0	0.0	0.0	0.0	0.0	24.11	6.89	35.76	21.32	26.28
RP11-111M22.2	62.56	11.13	57.08	46.5	19.39	12.09	15.34	23.08	7.88	15.0	5.15	0.0	0.14	13.42	20.26	7.88	47.5	5.5	10.0	2.46	0.78	8.71	6.67	45.53	88.88	58.71	49.56	31.0
RPAIN	1572.76	497.0	1015.93	1199.98	679.29	460.44	575.03	723.08	480.04	473.41	403.5	0.0	0.85	642.59	503.95	493.56	444.72	559.28	529.06	536.45	409.15	381.68	642.59	718.08	1259.69	995.0	967.76	921.88
RUVBL1	3982.99	1059.11	884.29	1427.22	1350.18	1096.5	1991.0	1023.0	884.29	902.89	583.07	0.0	0.47	642.59	684.02	420.68	796.86	353.59	432.53	244.57	173.85	273.37	450.94	2434.5	2915.45	1605.83	3235.01	4210.15
SAE1	2209.26	1498.22	1015.93	1963.57	2777.33	813.63	2434.5	1457.23	1447.15	1447.15	819.3	0.0	0.71	1044.52	1073.91	679.29	819.3	842.36	915.51	1135.2	1104.13	830.75	1037.29	1639.59	2384.37	1819.35	2351.53	2997.45
SIRT5	256.78	287.01	638.15	551.56	339.14	157.68	228.13	444.72	185.11	161.02	155.5	0.0	0.0	140.04	97.36	117.6	264.03	167.9	108.14	154.42	47.5	158.79	167.9	518.15	551.56	379.04	551.56	397.93
SMN1	629.35	656.11	836.53	1388.16	684.02	647.07	684.02	733.19	753.83	476.71	642.59	0.0	0.6	229.72	674.59	854.13	1457.23	406.31	587.13	607.87	753.83	483.38	361.04	2271.4	1059.11	1073.91	2075.59	2367.9
SUPT16H	3515.68	896.64	1233.75	2104.58	1709.26	1030.12	1199.98	1844.76	1313.23	967.76	796.86	0.0	0.92	1250.98	743.43	669.92	1529.73	334.46	563.18	633.73	813.63	318.57	819.3	3103.19	4095.0	1685.71	2287.2	2855.44
TAMM41	327.56	325.29	269.6	432.53	277.2	167.9	316.37	336.79	285.03	285.03	87.03	0.0	0.0	108.9	221.86	191.67	251.48	128.79	181.28	91.41	39.22	151.22	152.28	638.15	356.05	376.41	351.14	251.48
TARBP2	928.3	563.18	1159.07	974.5	848.22	353.59	1159.07	718.08	414.87	466.88	420.68	0.0	0.0	1104.13	293.07	454.09	769.69	285.03	221.86	218.79	129.69	234.57	429.54	872.1	1277.29	902.89	1617.0	1963.57
TMED1	1191.69	1225.22	1359.57	583.07	872.1	441.64	785.88	480.04	426.57	595.34	1066.48	0.0	0.4	629.35	299.25	368.65	532.74	301.33	376.41	486.75	287.01	454.09	373.81	1191.69	1832.01	902.89	1844.76	808.0
TMEM186	854.13	339.14	332.14	423.61	211.31	303.44	187.71	351.14	224.97	152.28	125.24	0.0	0.0	281.09	140.04	208.38	111.99	90.14	98.73	104.42	64.34	107.38	191.67	454.09	356.05	429.54	559.28	287.01
TMEM218	403.5	819.3	669.92	397.93	500.46	232.94	221.86	197.09	301.33	309.83	228.13	0.0	0.1	201.25	256.78	285.03	220.32	314.17	223.41	163.28	94.67	417.77	307.69	395.18	669.92	733.19	860.08	327.56
TTC5	323.03	197.09	194.36	135.24	157.68	90.77	69.03	163.28	131.51	101.54	40.36	0.0	0.0	146.03	71.0	125.24	148.09	53.57	80.01	63.45	30.12	81.14	111.21	293.07	400.71	316.37	466.88	236.21
TTF1	1216.75	409.15	336.79	303.44	444.72	307.69	183.82	429.54	283.05	242.88	50.98	0.0	0.55	112.77	167.9	155.5	258.57	112.77	113.56	118.43	52.08	70.51	134.3	698.41	543.96	339.14	525.39	688.78
WDR54	2090.03	152.28	1304.15	420.68	267.73	329.84	291.04	400.71	316.37	258.57	241.19	0.0	0.23	182.55	287.01	224.97	389.72	97.36	206.94	149.12	65.72	105.15	182.55	1268.46	1923.14	624.99	3060.45	2193.99
ZADH2	525.39	379.04	796.86	275.28	409.15	414.87	90.77	271.48	314.17	283.05	323.03	223.41	129.69	214.27	211.31	206.94	178.77	218.79	267.73	212.78	108.14	182.55	351.14	748.61	511.0	518.15	579.04	559.28
ZBTB12	1561.89	51.71	301.33	173.85	190.34	46.18	107.38	133.36	42.41	47.84	5.36	0.0	0.15	96.01	50.27	28.65	175.07	35.0	23.76	14.89	36.01	43.02	33.54	336.79	511.0	256.78	575.03	759.08
ZFP62	854.13	612.11	497.0	638.15	507.46	642.59	320.8	579.04	373.81	285.03	50.27	0.0	0.49	208.38	371.22	361.04	387.02	253.23	152.28	189.02	111.99	195.72	299.25	813.63	583.07	718.08	1066.48	470.14
ZGLP1	154.42	51.35	351.14	45.53	69.52	23.25	31.67	50.63	74.58	63.45	11.47	0.0	0.34	60.82	32.13	35.5	52.45	22.1	7.63	6.67	3.44	12.64	17.64	127.0	170.25	155.5	77.79	264.03
ZKSCAN4	215.77	112.77	156.59	55.1	79.45	57.49	51.35	70.51	53.19	56.68	15.8	0.0	0.0	43.02	37.59	50.27	97.36	31.22	15.8	25.91	19.39	20.86	49.21	143.01	157.68	134.3	229.72	121.79
ZNF184	713.11	132.44	151.22	105.89	93.35	48.18	69.03	85.22	83.45	63.0	14.89	0.0	0.06	40.64	52.45	57.89	97.36	63.0	51.35	13.12	38.67	57.49	75.64	183.82	193.01	163.28	131.51	232.94
ZNF200	217.27	155.5	134.3	181.28	193.01	175.07	111.21	167.9	149.12	100.13	67.59	0.0	0.0	94.01	138.1	70.51	119.26	43.63	55.89	28.45	37.05	19.97	99.43	157.68	166.73	194.36	7.88	177.53
ZNF222	139.07	111.21	131.51	40.36	63.0	39.22	30.34	34.26	46.18	44.57	31.9	0.0	0.06	34.51	55.1	38.12	20.86	49.21	35.5	30.56	29.06	39.5	27.05	55.1	92.7	100.13	229.72	75.11
ZNF30	177.53	53.57	61.25	59.55	60.82	39.5	29.48	45.85	26.28	43.32	11.55	0.0	0.21	29.27	10.31	53.95	56.68	23.93	13.93	12.0	8.45	14.89	20.11	65.26	138.1	81.14	69.03	120.94
ZNF311	172.65	65.26	61.25	43.32	46.18	3.53	3.44	3.59	7.63	8.25	0.72	0.0	0.11	3.26	2.63	8.65	8.19	8.71	0.05	1.91	0.0	0.12	10.71	8.71	89.51	24.46	81.14	68.55
ZNF443	108.14	139.07	136.19	77.25	71.0	46.84	73.03	98.73	67.59	78.34	10.47	0.0	0.09	20.86	65.26	43.94	70.51	16.15	23.08	15.22	10.47	22.92	30.12	105.15	119.26	137.14	220.32	60.39
ZNF691	559.28	226.54	450.94	212.78	229.72	226.54	215.77	234.57	158.79	171.45	100.83	0.0	0.0	191.67	208.38	218.79	228.13	94.01	77.79	54.33	16.27	102.97	145.02	384.34	332.14	366.09	473.41	339.14
ZNF766	218.79	297.17	297.17	218.79	228.13	143.01	90.77	182.55	153.34	116.78	36.01	0.0	0.41	142.01	133.36	149.12	132.44	63.45	104.42	112.77	51.71	67.59	140.04	156.59	221.86	299.25	221.86	155.5
ZSCAN9	738.29	182.55	457.25	256.78	211.31	143.01	129.69	265.87	183.82	172.65	63.89	0.0	0.57	87.03	150.17	149.12	167.9	96.68	135.24	49.56	57.89	135.24	91.41	289.02	397.93	339.14	457.25	316.37
