	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.BH.A18Q.11A.34R.A12D.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.13OVI.1126.SM.5KLZF	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.MI.A75E.01A.11R.A32O.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A3O9.01A.11R.A220.07	GTEX.13QJC.0826.SM.5RQKC
PKDREJ	0.96	3.38	6.46	5.68	3.92	8.45	0.48	0.57	1.55	0.54	0.58	0.82	0.54	1.79
PLEKHA1	397.93	679.29	728.11	571.05	961.07	1259.69	167.9	514.56	158.79	214.27	206.94	521.76	325.29	603.67
PLEKHA2	358.54	503.95	426.57	470.14	1225.22	2104.58	37.05	112.77	13.93	46.18	99.43	176.29	175.07	660.68
PP2D1	1.95	8.78	7.82	5.82	3.0	7.63	0.0	1.62	0.0	1.48	0.59	0.0	0.44	3.72
PPP2R5E	283.05	651.58	567.1	454.09	1167.14	559.28	87.03	157.68	122.64	118.43	58.3	297.17	180.02	267.73
RAB21	688.78	1159.07	1313.23	1111.82	1709.26	1277.29	334.46	395.18	334.46	366.09	287.01	813.63	532.74	909.17
RAB3GAP1	651.58	819.3	813.63	902.89	1277.29	723.08	258.57	299.25	262.2	260.38	189.02	457.25	318.57	591.22
RAP1B	1950.0	3716.2	5006.93	2855.44	5006.93	2935.74	802.41	1340.84	1073.91	1175.27	890.44	1605.83	1628.26	2367.9
RB1	486.75	988.12	954.43	679.29	1857.6	1088.92	46.18	173.85	27.05	109.66	72.01	547.75	384.34	532.74
REEP3	389.72	791.35	785.88	463.65	703.28	775.05	107.38	182.55	85.82	166.73	141.02	444.72	320.8	325.29
RNASEL	157.68	193.01	206.94	220.32	583.07	208.38	13.83	53.95	30.12	35.5	32.82	143.01	111.21	264.03
SEPT1	72.01	0.0	0.0	40.93	1.598261246E7	400.71	0.0	15.91	0.0	24.28	0.0	0.0	0.0	2.669377385E7
SEPT10	1001.93	2018.8	1991.0	1844.76	4239.45	1369.04	242.88	454.09	309.83	403.5	224.97	444.72	318.57	890.44
SEPT11	848.22	1721.16	3018.3	1030.12	1407.55	1651.0	202.66	620.67	214.27	403.5	221.86	450.94	358.54	466.88
SGTB	52.82	111.21	121.79	105.15	181.28	195.72	17.9	29.27	14.03	25.72	2.71	63.89	51.35	94.67
SLC35A1	514.56	836.53	796.86	860.08	1639.59	555.41	199.85	384.34	409.15	242.88	221.86	397.93	381.68	571.05
SLFN11	318.57	629.35	836.53	529.06	1457.23	775.05	14.89	110.43	17.9	46.18	28.45	283.05	177.53	738.29
SLFN12	147.06	218.79	269.6	258.57	423.61	267.73	24.63	48.52	7.88	15.11	7.75	92.05	52.08	121.79
SLFN5	236.21	819.3	842.36	529.06	819.3	624.99	26.86	90.14	18.7	51.35	13.22	209.84	92.7	217.27
SNAP23	1199.98	1639.59	1359.57	1417.35	1498.22	1594.73	366.09	733.19	521.76	674.59	417.77	947.83	684.02	1583.71
SNX9	775.05	1008.9	1135.2	961.07	2609.3	1225.22	156.59	503.95	332.14	287.01	320.8	723.08	447.82	612.11
SRGAP2	591.22	780.44	1151.06	708.18	872.1	1417.35	218.79	341.51	273.37	175.07	113.56	441.64	454.09	974.5
SSH1	246.28	297.17	376.41	358.54	403.5	312.0	65.72	205.5	181.28	115.97	71.5	256.78	156.59	241.19
STRN	191.67	450.94	361.04	358.54	591.22	366.09	42.41	65.72	47.5	46.84	29.06	94.01	68.55	159.9
TBC1D15	718.08	1397.83	1208.34	1111.82	1745.2	1073.91	293.07	414.87	332.14	339.14	180.02	684.02	447.82	1051.79
TCF12	728.11	1407.55	1322.37	1104.13	2224.63	1127.35	101.54	277.2	158.79	194.36	87.03	444.72	253.23	551.56
TGFBR1	312.0	775.05	775.05	612.11	1437.15	669.92	44.57	169.07	182.55	121.79	67.59	178.77	193.01	291.04
TJP1	555.41	1135.2	1259.69	967.76	1769.57	1295.13	244.57	497.0	389.72	297.17	163.28	698.41	420.68	759.08
TLL1	43.02	115.97	167.9	68.07	764.36	37.05	0.36	1.27	0.65	1.17	0.45	12.64	7.17	13.83
TLR3	120.1	351.14	392.44	287.01	775.05	503.95	28.24	88.26	30.12	46.84	38.12	56.68	18.84	52.45
TM4SF18	246.28	1378.57	1023.0	1498.22	1639.59	1437.15	22.1	163.28	26.67	92.7	32.36	575.03	532.74	140.04
TMEM194B	55.1	123.5	171.45	94.67	518.15	214.27	45.53	44.57	35.5	46.5	39.79	57.89	32.13	98.04
TRIM13	426.57	571.05	688.78	708.18	921.88	665.29	111.99	246.28	166.73	217.27	128.79	332.14	336.79	532.74
TRIM34	186.4	279.14	262.2	255.0	194.36	295.11	20.56	75.64	42.11	59.55	42.71	92.7	36.27	132.44
UBE2D3	3820.7	5041.77	5517.27	4450.27	6935.54	4671.57	2351.53	4607.24	3124.78	2796.65	3039.3	4358.66	3564.78	4450.27
UBE2Q2	665.29	866.07	802.41	733.19	1639.59	733.19	202.66	204.07	202.66	81.71	57.49	343.89	336.79	503.95
VPS26A	854.13	1605.83	1417.35	1199.98	3060.45	1322.37	291.04	521.76	232.94	414.87	220.32	769.69	532.74	718.08
VPS36	728.11	915.51	902.89	934.76	1487.87	1037.29	120.94	287.01	133.36	264.03	180.02	525.39	426.57	769.69
VWA5A	759.08	1088.92	825.0	713.11	1529.73	1159.07	67.12	102.97	83.45	105.15	88.26	264.03	169.07	239.52
WBP4	181.28	414.87	363.56	323.03	525.39	366.09	65.72	151.22	78.89	157.68	52.45	273.37	265.87	283.05
ZEB1	277.2	529.06	825.0	395.18	1191.69	728.11	43.63	122.64	52.82	67.12	33.78	249.73	190.34	332.14
ZFP91	563.18	1030.12	1023.0	884.29	1457.23	1199.98	226.54	351.14	255.0	265.87	212.78	733.19	521.76	555.41
ZNF462	169.07	197.09	232.94	303.44	320.8	189.02	4.43	17.0	2.97	10.55	7.63	169.07	100.83	198.47
ZNF711	148.09	197.09	100.13	267.73	260.38	244.57	1.17	8.92	0.71	4.86	1.3	78.89	31.45	138.1
