	GTEX.YF7O.0626.SM.4W21R	GTEX.12WSI.0826.SM.5EGKD	GTEX.13O3O.0726.SM.5J1N7	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.TMMY.0926.SM.4TT1Z	GTEX.13OVH.1026.SM.5J2NP	GTEX.11P7K.0326.SM.59871	GTEX.147F4.0926.SM.5Q5EO	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11UD2.0726.SM.5EQ69	GTEX.WFJO.0326.SM.3GIL3	GTEX.P4PQ.0526.SM.2HMKR	GTEX.14E7W.1326.SM.5RQIV	GTEX.WOFM.0126.SM.3MJFE	GTEX.YEC3.0226.SM.5IFJO	GTEX.11NV4.1126.SM.5HL6J	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.WFON.0426.SM.3GIL4	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.QESD.0626.SM.2I5G4	GTEX.OIZI.1026.SM.3NB1K	GTEX.13OW6.0826.SM.5L3GA	GTEX.145MF.0726.SM.5Q5BT	GTEX.X4LF.0526.SM.3NMB6	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.11WQK.1226.SM.5GU5Z	GTEX.XQ8I.1126.SM.4BOO2	GTEX.SUCS.0626.SM.32PM5	GTEX.PW2O.0526.SM.2I3DX	GTEX.UJMC.0726.SM.3GADX	GTEX.ZVT3.0926.SM.5GICK
FGF7	246.28	2502.97	764.36	115.16	3768.09	269.6	708.18	71.0	2573.36	1561.89	2148.82	167.9	75.11	1417.35	98.04	417.77	2178.83	166.73	961.07	217.27	490.14	1397.83	1991.0	90.14	1135.2	1331.57	94.67	154.42	78.34	1685.71	45.21	79.45	172.65	70.01	1313.23
FHL3	191.67	381.68	909.17	191.67	603.67	209.84	607.87	236.21	1417.35	684.02	909.17	120.94	176.29	981.29	241.19	223.41	1417.35	503.95	346.29	267.73	155.5	540.19	493.56	189.02	470.14	341.51	318.57	309.83	204.07	480.04	140.04	215.77	285.03	291.04	587.13
FRMD8	341.51	688.78	1233.75	529.06	708.18	387.02	808.0	381.68	1104.13	473.41	579.04	265.87	332.14	1551.09	237.86	231.32	1096.5	587.13	1059.11	204.07	447.82	647.07	620.67	429.54	780.44	400.71	341.51	403.5	373.81	529.06	490.14	262.2	454.09	525.39	651.58
G0S2	555.41	1540.37	13586.57	325.29	11267.44	713.11	16727.26	206.94	13399.51	13681.08	4481.23	170.25	708.18	11827.67	197.09	748.61	8901.53	2573.36	4239.45	348.71	305.55	3039.3	3639.7	191.67	4736.79	3280.18	353.59	353.59	366.09	33688.23	723.08	246.28	759.08	301.33	5441.3
GABPB1	285.03	323.03	723.08	220.32	703.28	237.86	559.28	211.31	563.18	503.95	356.05	205.5	138.1	387.02	181.28	209.84	483.38	303.44	450.94	273.37	215.77	334.46	497.0	187.71	529.06	412.0	166.73	202.66	190.34	728.11	202.66	183.82	202.66	163.28	289.02
GADD45A	703.28	1015.93	3614.55	457.25	4328.55	1030.12	3614.55	521.76	3081.75	1551.09	1313.23	289.02	376.41	4450.27	353.59	525.39	3280.18	941.27	2502.97	343.89	406.31	1639.59	2047.0	500.46	1781.89	1605.83	423.61	651.58	376.41	1870.53	429.54	500.46	301.33	339.14	1447.15
GATAD2A	435.55	974.5	1844.76	825.0	1806.78	403.5	1519.15	373.81	1896.65	1721.16	1498.22	384.34	423.61	2148.82	397.93	579.04	2178.83	1037.29	1059.11	450.94	896.64	1268.46	1331.57	454.09	1832.01	1001.93	368.65	629.35	718.08	1340.84	642.59	400.71	599.49	583.07	1651.0
GFPT2	403.5	713.11	1051.79	88.26	2417.67	373.81	1628.26	58.3	941.27	480.04	287.01	106.63	109.66	633.73	147.06	802.41	612.11	403.5	733.19	155.5	251.48	665.29	599.49	63.45	1104.13	339.14	94.67	220.32	211.31	780.44	134.3	105.15	57.49	119.26	1023.0
GLIS3	49.21	195.72	400.71	98.04	733.19	124.37	583.07	37.05	236.21	733.19	825.0	87.03	78.89	579.04	60.82	81.14	1286.18	161.02	500.46	40.93	334.46	387.02	353.59	50.27	723.08	753.83	52.82	88.26	34.02	1191.69	48.52	39.5	42.11	79.45	325.29
GNL1	974.5	1806.78	1870.53	1427.22	2303.12	1286.18	1551.09	1073.91	2417.67	1936.53	2240.11	995.0	1208.34	3847.29	1023.0	878.17	4671.57	1059.11	1259.69	1023.0	1457.23	1685.71	2367.9	981.29	1427.22	1477.58	1135.2	1277.29	954.43	2193.99	1286.18	934.76	1936.53	1199.98	2485.67
GSTO1	5751.61	14163.58	9151.82	2451.44	6935.54	4095.0	10808.41	6426.31	6516.03	8479.89	14663.09	5751.61	4328.55	11035.54	6381.92	2976.74	13399.51	5555.65	8901.53	3491.39	5954.47	9279.58	6935.54	5831.91	10296.45	7382.04	4095.0	3540.14	6935.54	23656.34	3901.01	4328.55	3614.55	5041.77	10959.3
HAPLN3	77.25	312.0	830.75	77.79	1023.0	206.94	703.28	58.3	438.59	656.11	1733.13	34.02	64.8	575.03	123.5	109.66	1159.07	158.79	309.83	42.41	158.79	656.11	743.43	112.77	297.17	293.07	140.04	116.78	71.5	802.41	61.25	127.0	99.43	52.45	532.74
HDGF	2537.92	4903.87	10154.69	3491.39	10733.74	3639.7	8191.0	2319.15	7642.41	9740.98	6516.03	2777.33	2627.46	7081.29	2104.58	2555.58	11112.3	4481.23	4639.29	3303.0	4210.15	5954.47	6381.92	2148.82	6887.62	5517.27	2384.37	3874.05	3540.14	10084.54	2816.11	2485.67	2739.08	2434.5	6164.49
HMGA1	928.3	1508.65	2627.46	703.28	5995.9	967.76	2075.59	587.13	2573.36	3690.52	5711.87	708.18	769.69	4607.24	848.22	674.59	7130.55	1529.73	1963.57	1159.07	1199.98	1457.23	2075.59	532.74	5112.16	1950.0	633.73	1208.34	1369.04	8247.98	791.35	656.11	1340.84	651.58	1697.45
IER3	1259.69	2451.44	7749.1	995.0	25708.25	2061.24	10512.82	884.29	16383.0	6607.01	2434.5	473.41	583.07	6121.9	387.02	1119.56	6121.9	1709.26	4358.66	591.22	866.07	2133.97	4607.24	358.54	2224.63	3212.66	500.46	1088.92	567.1	20451.65	1806.78	624.99	2303.12	583.07	2796.65
IFITM1	1605.83	7081.29	17927.91	1540.37	14461.21	2701.35	11827.67	2032.85	8778.97	13306.94	24321.43	1023.0	2758.13	8718.32	860.08	5479.15	47642.77	6792.79	14262.1	1191.69	3665.02	15499.21	6471.02	1529.73	11584.24	5479.15	1540.37	3982.99	1605.83	9279.58	1733.13	2061.24	3018.3	995.0	17437.64
IFITM3	21919.61	22225.61	71714.63	16383.0	104271.56	11189.6	74243.68	26986.43	65990.84	89523.81	129266.49	10512.82	20451.65	70727.3	9151.82	19214.73	123144.13	34158.52	69271.73	11345.82	20030.74	76330.98	52497.92	11424.74	40341.14	22850.48	6121.9	20310.37	19348.38	123144.13	11909.94	10512.82	10808.41	11112.3	92040.7
IL15RA	339.14	1529.73	3124.78	435.55	3349.13	441.64	3303.0	616.37	3564.78	1605.83	2520.38	400.71	460.44	5006.93	297.17	463.65	5711.87	941.27	2895.31	718.08	802.41	2133.97	2303.12	358.54	2520.38	1457.23	470.14	616.37	457.25	4152.18	376.41	543.96	379.04	587.13	2835.7
IL32	3955.48	9409.14	12244.81	4152.18	13681.08	2555.58	8658.09	5517.27	19754.96	24832.5	21768.19	2319.15	1745.2	32767.0	1857.6	2609.3	82378.63	6250.56	13123.73	4802.93	6745.86	21468.49	25354.3	2875.3	18431.96	11584.24	1781.89	4869.99	3190.46	24832.5	3982.99	2777.33	8363.13	753.83	24832.5
IL8	232.94	1088.92	23009.42	161.02	19348.38	1617.0	9740.98	108.14	17078.76	15934.98	1819.35	77.79	61.25	2303.12	92.7	186.4	2555.58	2148.82	4937.99	289.02	327.56	1936.53	2855.44	46.18	1685.71	2777.33	38.4	135.24	99.43	43236.64	902.89	165.57	248.0	105.89	2701.35
IRAK2	77.79	260.38	432.53	44.25	591.22	61.68	595.34	48.87	432.53	486.75	198.47	33.06	35.25	713.11	47.5	33.3	688.78	205.5	327.56	84.04	141.02	269.6	389.72	29.06	283.05	251.48	40.93	81.14	107.38	896.64	44.57	31.9	108.14	71.0	384.34
IRF1	1685.71	3349.13	9279.58	1359.57	15934.98	1909.85	6745.86	1529.73	12329.98	7857.29	9344.14	1457.23	995.0	11827.67	988.12	1119.56	37639.55	3491.39	4607.24	1059.11	3372.43	7749.1	8538.88	1081.39	4038.61	5329.3	1104.13	2004.85	1883.54	12415.75	1519.15	934.76	2193.99	1697.45	13492.72
ITGA5	909.17	2119.22	8247.98	3060.45	17804.06	1104.13	8840.04	967.76	5831.91	4152.18	4836.35	1073.91	1059.11	6652.97	1745.2	941.27	5594.3	2335.28	7433.4	1857.6	1721.16	1832.01	4704.07	1662.49	4481.23	2224.63	1135.2	1721.16	1322.37	4736.79	2032.85	896.64	1745.2	2915.45	2367.9
KAZN	198.47	366.09	1023.0	287.01	928.3	109.66	1781.89	211.31	1167.14	733.19	1295.13	75.11	122.64	1437.15	363.56	201.25	638.15	242.88	215.77	141.02	295.11	532.74	1037.29	379.04	1159.07	808.0	110.43	123.5	205.5	1250.98	177.53	301.33	161.02	384.34	555.41
LIMK2	420.68	1304.15	6337.83	616.37	4210.15	674.59	3515.68	616.37	7433.4	1950.0	4181.07	483.38	633.73	2720.15	583.07	403.5	8078.22	1286.18	961.07	441.64	1037.29	1605.83	3235.01	480.04	1572.76	1639.59	603.67	633.73	555.41	2591.27	607.87	688.78	915.51	642.59	2004.85
LITAF	4066.71	8305.36	13586.57	3564.78	18304.63	3443.31	9215.48	2485.67	15607.02	8479.89	7433.4	3018.3	2537.92	7749.1	2758.13	2591.27	8363.13	6164.49	7911.95	3103.19	4736.79	6840.04	12329.98	2739.08	7032.37	7032.37	2520.38	3742.05	3847.29	5041.77	2573.36	3124.78	4450.27	3103.19	9025.81
MAD2L2	283.05	884.29	1685.71	381.68	1870.53	397.93	1639.59	387.02	1023.0	947.83	1508.65	279.14	353.59	1447.15	339.14	305.55	2351.53	583.07	1001.93	356.05	575.03	780.44	1088.92	277.2	802.41	633.73	287.01	591.22	353.59	2502.97	473.41	346.29	511.0	392.44	1081.39
MARCH3	164.42	312.0	616.37	81.71	854.13	108.9	529.06	57.08	460.44	457.25	190.34	40.93	85.22	379.04	87.65	139.07	224.97	236.21	211.31	44.57	149.12	316.37	647.07	57.89	329.84	271.48	106.63	136.19	63.89	591.22	73.54	48.87	96.01	46.5	307.69
MED15	1037.29	2104.58	2997.45	1143.1	1857.6	1044.52	4239.45	884.29	2956.17	1896.65	2240.11	660.68	1127.35	2835.7	896.64	836.53	4388.98	1250.98	1651.0	708.18	1583.71	1806.78	2032.85	1417.35	1733.13	1529.73	1111.82	1225.22	1304.15	2875.3	1304.15	1477.58	1030.12	1397.83	2520.38
MED24	1111.82	1594.73	15607.02	1233.75	14971.21	2148.82	10512.82	1159.07	10959.3	8022.41	2075.59	1143.1	1208.34	4010.71	1175.27	1295.13	11267.44	3742.05	3349.13	1081.39	1651.0	2303.12	3372.43	1286.18	4298.64	2163.77	1322.37	1350.18	1397.83	17681.08	2739.08	1467.37	1639.59	1199.98	2303.12
METTL12	42.41	78.34	529.06	38.4	291.04	61.68	412.0	72.52	177.53	170.25	363.56	53.19	68.07	387.02	51.71	40.64	567.1	39.5	173.85	33.78	127.0	186.4	105.15	56.68	182.55	293.07	49.91	80.01	53.19	432.53	80.57	62.12	73.03	37.05	229.72
MT1A	656.11	884.29	38164.99	688.78	16269.83	1745.2	16727.26	165.57	15180.22	2287.2	4639.29	205.5	387.02	1015.93	150.17	612.11	1467.37	2537.92	9945.68	199.85	397.93	3847.29	7081.29	106.63	3955.48	406.31	39.5	656.11	325.29	20170.07	540.19	171.45	39.22	387.02	2720.15
MTCH1	3325.99	6121.9	9606.86	5183.54	7331.05	3955.48	10440.2	3564.78	10659.59	6381.92	12415.75	3349.13	4671.57	9088.59	4239.45	3639.7	15285.81	4239.45	6745.86	3124.78	5791.62	8840.04	6745.86	4038.61	6652.97	5441.3	3515.68	3742.05	3901.01	7589.61	5791.62	3325.99	4210.15	3901.01	8305.36
NCS1	64.8	84.63	128.79	23.93	157.68	29.27	379.04	16.03	167.9	361.04	406.31	21.01	88.26	173.85	46.18	83.45	208.38	90.14	96.68	37.59	56.68	167.9	275.28	43.94	158.79	127.0	89.51	108.14	26.1	351.14	33.06	35.5	87.65	30.56	118.43
NDUFS2	1295.13	1977.24	3794.3	1199.98	4869.99	1551.09	4152.18	1477.58	3742.05	1769.57	3146.52	1350.18	1322.37	2520.38	1407.55	1388.16	4481.23	1487.87	2555.58	1304.15	1697.45	2018.8	2485.67	1350.18	1832.01	1572.76	1388.16	1498.22	1250.98	5366.37	1467.37	1135.2	1417.35	1313.23	2451.44
NFKB2	473.41	1111.82	3564.78	435.55	4095.0	842.36	2935.74	438.59	3303.0	2664.15	1551.09	409.15	361.04	2133.97	423.61	368.65	2976.74	1561.89	1008.9	392.44	679.29	1023.0	1923.14	348.71	1151.06	941.27	426.57	693.58	642.59	3124.78	595.34	314.17	1073.91	525.39	1540.37
NFKBIE	181.28	426.57	934.76	199.85	872.1	293.07	1651.0	218.79	1037.29	1167.14	493.56	256.78	162.14	579.04	156.59	163.28	1340.84	457.25	884.29	202.66	185.11	563.18	698.41	108.9	536.45	303.44	190.34	253.23	226.54	1023.0	307.69	146.03	397.93	224.97	551.56
NINJ1	1437.15	2178.83	7537.18	1313.23	8840.04	2090.03	7537.18	848.22	4972.34	5954.47	6037.61	890.44	1183.45	4639.29	1119.56	1745.2	7857.29	2303.12	3146.52	1199.98	2075.59	2591.27	2796.65	1096.5	3515.68	1794.29	1794.29	1487.87	1519.15	4419.52	2701.35	2133.97	2287.2	1427.22	2976.74
NIPAL4	4.9	8.99	248.0	0.95	265.87	10.88	90.14	0.0	20.41	133.36	27.84	2.14	2.84	72.52	0.12	1.71	64.34	37.59	15.56	0.08	1.6	33.06	143.01	0.0	39.79	15.22	0.45	1.95	2.73	60.82	3.0	0.28	0.31	0.56	31.22
NNMT	6561.36	15715.58	37379.55	3982.99	48982.22	10808.41	42641.37	1135.2	44761.41	8363.13	6887.62	3768.09	3982.99	16269.83	3665.02	10154.69	7749.1	18178.19	51775.15	1832.01	4358.66	24321.43	15180.22	6207.38	16269.83	15607.02	4903.87	6516.03	3955.48	6561.36	2875.3	3982.99	2816.11	6699.25	12676.65
NSMF	158.79	583.07	624.99	260.38	629.35	295.11	1059.11	204.07	503.95	764.36	1295.13	182.55	287.01	647.07	341.51	327.56	616.37	316.37	785.88	178.77	320.8	733.19	406.31	368.65	457.25	371.22	412.0	414.87	242.88	1242.34	366.09	301.33	289.02	400.71	769.69
PFKP	348.71	988.12	1143.1	111.99	2193.99	281.09	1199.98	387.02	555.41	1605.83	1268.46	307.69	176.29	518.15	384.34	193.01	638.15	435.55	723.08	353.59	547.75	1286.18	896.64	438.59	1340.84	1529.73	376.41	753.83	567.1	366.09	175.07	409.15	429.54	285.03	764.36
PIK3C2B	149.12	473.41	1159.07	194.36	1268.46	154.42	830.75	194.36	1487.87	830.75	1216.75	135.24	173.85	2468.49	123.5	242.88	1857.6	264.03	236.21	162.14	260.38	647.07	884.29	175.07	547.75	547.75	208.38	204.07	143.01	1331.57	139.07	151.22	435.55	208.38	1088.92
PRMT1	1896.65	2502.97	4268.94	1883.54	5441.3	1909.85	5183.54	1709.26	3639.7	9409.14	7032.37	1066.48	1457.23	2255.7	1295.13	1806.78	6079.61	2178.83	2163.77	1447.15	5633.22	4450.27	9409.14	921.88	4038.61	2018.8	1397.83	2224.63	2032.85	14971.21	1697.45	1397.83	2163.77	1407.55	4152.18
PSMD11	1044.52	1199.98	1594.73	638.15	2004.85	698.41	2061.24	620.67	1857.6	2816.11	2451.44	842.36	698.41	1977.24	1159.07	830.75	2032.85	1183.45	1111.82	1277.29	860.08	1104.13	2956.17	543.96	2645.74	1487.87	796.86	836.53	961.07	5672.41	536.45	583.07	769.69	860.08	1242.34
PTGIR	123.5	796.86	1733.13	258.57	1651.0	107.38	1583.71	177.53	1721.16	387.02	708.18	109.66	147.06	1781.89	96.68	116.78	1143.1	540.19	836.53	140.04	234.57	967.76	638.15	154.42	890.44	703.28	175.07	206.94	191.67	842.36	253.23	95.34	189.02	246.28	1167.14
PTX3	166.73	129.69	1519.15	48.87	2004.85	65.72	830.75	21.01	842.36	1183.45	1081.39	142.01	36.53	279.14	144.01	44.57	139.07	466.88	684.02	66.18	57.89	579.04	1081.39	71.0	521.76	232.94	41.22	72.01	163.28	1540.37	28.45	49.91	58.71	44.25	170.25
PVRL2	1857.6	3257.52	3716.2	3081.75	5995.9	2148.82	5183.54	1617.0	4671.57	4903.87	4769.75	1030.12	1721.16	6121.9	1721.16	1388.16	9606.86	2335.28	4239.45	1350.18	2351.53	5913.33	4802.93	2032.85	4181.07	3103.19	1277.29	2240.11	2178.83	2609.3	2485.67	1685.71	3103.19	2367.9	4095.0
R3HDM4	1030.12	1407.55	3982.99	819.3	3395.89	1127.35	2047.0	830.75	2271.4	2367.9	2384.37	733.19	1001.93	2075.59	813.63	738.29	2855.44	2163.77	1322.37	842.36	1127.35	1733.13	1883.54	753.83	1617.0	1651.0	830.75	1023.0	1277.29	2573.36	1286.18	928.3	1044.52	947.83	1674.06
