	GTEX.S3XE.1226.SM.4AD4L	TCGA.E2.A1AZ.01A.11R.A12P.07	TCGA.VS.A94X.01A.11R.A38B.07	TCGA.A6.3809.01A.01R.A278.07	TCGA.KN.8425.11A.01R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8424.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.B0.5691.11A.01R.1541.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.B0.5711.11A.01R.1672.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CZ.5987.11A.01R.1672.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07	TCGA.55.7726.01A.11R.2170.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.2656.01A.02R.A278.07	TCGA.55.7725.01A.11R.2170.07
HSD11B1L	111.21	82.87	32.82	8.19	665.29	381.68	414.87	529.06	769.69	341.51	1030.12	389.72	301.33	1008.9	211.31	287.01	307.69	199.85	297.17	314.17	264.03	376.41	258.57	371.22	164.42	409.15	301.33	493.56	409.15	423.61	392.44	31.0	0.0	0.28	53.19	59.97
KLHL22	283.05	175.07	108.14	108.9	536.45	438.59	435.55	507.46	616.37	521.76	693.58	559.28	438.59	518.15	316.37	395.18	420.68	417.77	470.14	450.94	406.31	384.34	363.56	395.18	287.01	457.25	297.17	460.44	497.0	507.46	444.72	214.27	0.0	0.39	220.32	228.13
MLST8	674.59	563.18	633.73	199.85	1447.15	890.44	988.12	1111.82	1594.73	1037.29	1561.89	1104.13	808.0	1167.14	738.29	921.88	1008.9	848.22	1015.93	941.27	813.63	1008.9	819.3	848.22	629.35	1127.35	830.75	1286.18	1073.91	1322.37	1030.12	476.71	0.0	0.09	71.5	228.13
MRPL34	1143.1	753.83	669.92	896.64	7803.01	3768.09	5441.3	6652.97	7032.37	3794.3	5112.16	4481.23	3124.78	4268.94	2875.3	3467.27	3665.02	2645.74	3467.27	2591.27	3564.78	4210.15	2047.0	2956.17	1467.37	5366.37	3325.99	5791.62	4210.15	5517.27	4010.71	769.69	0.0	0.4	348.71	961.07
NDUFA11	5006.93	2664.15	2855.44	2075.59	11745.96	9474.59	10585.95	13033.07	16960.78	6745.86	8134.41	8022.41	5594.3	10225.32	4268.94	6164.49	6699.25	4095.0	5831.91	6250.56	5441.3	7589.61	5995.9	6037.61	4038.61	9215.48	5517.27	10512.82	8479.89	10084.54	8022.41	2271.4	0.0	1.13	1159.07	1733.13
NDUFB7	3982.99	1950.0	1991.0	848.22	13776.25	8363.13	10014.87	12589.08	18304.63	7130.55	9876.98	8305.36	5041.77	10585.95	3982.99	5831.91	6840.04	3395.89	5872.48	7382.04	5292.48	8901.53	5147.73	5219.6	3280.18	10585.95	5995.9	10154.69	8247.98	8658.09	7331.05	1594.73	0.0	0.87	299.25	775.05
NDUFS8	2104.58	1936.53	2875.3	1508.65	7280.4	5594.3	5913.33	7537.18	10585.95	5112.16	5633.22	6561.36	3491.39	5672.41	2816.11	5006.93	4095.0	3257.52	3690.52	3419.52	3874.05	5479.15	3540.14	3742.05	2335.28	6745.86	3491.39	6840.04	5329.3	6652.97	5255.91	1378.57	0.0	0.75	1757.34	1467.37
NDUFV1	2956.17	2682.69	2777.33	2255.7	7911.95	6121.9	7857.29	6426.31	9945.68	5517.27	9151.82	9025.81	4419.52	7589.61	4328.55	5112.16	5219.6	5255.91	5633.22	5441.3	4512.4	5006.93	4512.4	4450.27	2855.44	7433.4	4972.34	9606.86	6935.54	7485.11	6840.04	1651.0	0.0	1.08	2004.85	1457.23
NT5M	35.0	21.01	47.5	12.18	351.14	175.07	221.86	287.01	796.86	165.57	733.19	323.03	100.83	435.55	72.01	175.07	139.07	92.05	202.66	170.25	112.77	187.71	114.36	140.04	34.51	206.94	143.01	384.34	197.09	236.21	242.88	15.0	0.0	0.48	21.63	19.82
PIN1	1313.23	547.75	674.59	454.09	2468.49	2032.85	1844.76	2335.28	2133.97	1806.78	1896.65	1583.71	1313.23	1662.49	947.83	748.61	1088.92	638.15	1322.37	1388.16	819.3	1457.23	1519.15	1651.0	872.1	1721.16	1127.35	2209.26	1794.29	1721.16	1936.53	463.65	0.0	0.75	381.68	173.85
POU6F1	88.88	98.73	39.5	23.59	392.44	283.05	215.77	273.37	309.83	151.22	432.53	262.2	208.38	432.53	149.12	194.36	275.28	175.07	277.2	170.25	180.02	269.6	273.37	228.13	131.51	256.78	167.9	348.71	316.37	309.83	339.14	73.54	0.0	0.71	93.35	137.14
ROGDI	679.29	236.21	368.65	92.7	1529.73	981.29	1225.22	1233.75	1721.16	974.5	1617.0	1199.98	974.5	1259.69	775.05	1037.29	848.22	928.3	872.1	961.07	825.0	866.07	819.3	1059.11	397.93	1111.82	878.17	1605.83	1066.48	1388.16	1331.57	470.14	0.0	0.39	172.65	353.59
SDR39U1	1225.22	928.3	866.07	536.45	2303.12	1991.0	2255.7	2591.27	2956.17	1216.75	3515.68	1781.89	1242.34	2537.92	1119.56	1605.83	1359.57	1051.79	1617.0	1407.55	1457.23	1936.53	1540.37	1605.83	884.29	1950.0	1304.15	2485.67	2133.97	2119.22	1832.01	444.72	0.0	1.07	457.25	674.59
SGTA	961.07	633.73	587.13	460.44	1551.09	1605.83	1487.87	1651.0	1662.49	1277.29	1781.89	1127.35	981.29	1159.07	890.44	1088.92	1135.2	785.88	1191.69	1088.92	981.29	1250.98	1001.93	1030.12	842.36	1457.23	934.76	1709.26	1498.22	1447.15	1529.73	718.08	0.0	0.93	186.4	473.41
THAP7	466.88	183.82	376.41	226.54	981.29	764.36	1015.93	1081.39	1331.57	583.07	1135.2	579.04	525.39	902.89	400.71	450.94	511.0	246.28	620.67	529.06	529.06	728.11	555.41	507.46	381.68	813.63	441.64	1135.2	796.86	866.07	728.11	476.71	0.0	0.45	182.55	234.57
TMED1	551.56	684.02	473.41	289.02	1819.35	1242.34	1304.15	1674.06	2075.59	1304.15	1617.0	1216.75	1088.92	1572.76	830.75	974.5	1111.82	954.43	1111.82	1119.56	769.69	1304.15	1295.13	1304.15	848.22	1617.0	1143.1	1617.0	1388.16	1277.29	1268.46	384.34	0.0	0.4	241.19	279.14
TMEM129	718.08	232.94	267.73	299.25	1857.6	1594.73	1331.57	1498.22	2485.67	1628.26	2796.65	1259.69	1088.92	2133.97	785.88	1208.34	1066.48	878.17	1233.75	1295.13	915.51	1477.58	1191.69	1208.34	595.34	1519.15	1044.52	1819.35	1551.09	1605.83	1628.26	220.32	0.0	0.73	242.88	234.57
TMEM222	753.83	503.95	612.11	395.18	1457.23	1199.98	1191.69	1340.84	1745.2	1044.52	1572.76	1605.83	866.07	1457.23	854.13	928.3	1023.0	954.43	1044.52	1081.39	1015.93	1111.82	1023.0	1044.52	780.44	1277.29	872.1	1508.65	1304.15	1199.98	1096.5	567.1	0.0	0.39	429.54	441.64
UBXN6	2303.12	603.67	1044.52	476.71	3690.52	3443.31	3901.01	4328.55	4769.75	2758.13	4704.07	3060.45	2209.26	4671.57	2555.58	2287.2	2816.11	1733.13	3146.52	2627.46	2451.44	2758.13	2627.46	2895.31	2004.85	4512.4	1977.24	5076.84	4239.45	5147.73	4066.71	896.64	0.0	0.93	486.75	511.0
UMOD	0.0	0.0	0.0	0.0	303217.87	602247.76	443937.41	363097.14	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	115696.65	585779.24	233003.78	190574.09	434801.29	431797.89	327241.36	422911.59	636586.81	309589.14	45701.96	502929.67	267651.2	282912.21	381149.17	641014.63	391864.76	0.0	0.0	0.0	0.0	0.0
WBP1	1870.53	796.86	1015.93	438.59	3419.52	2835.7	3257.52	3395.89	3716.2	2148.82	3639.7	2956.17	1991.0	3467.27	1662.49	2148.82	2178.83	1794.29	2287.2	2645.74	2018.8	2434.5	2178.83	2119.22	1225.22	2720.15	2163.77	3280.18	2855.44	2997.45	2739.08	860.08	0.0	0.42	842.36	1208.34
