	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.BP.5178.01A.01R.1426.07	TCGA.B0.4712.01A.01R.1503.07	TCGA.B0.5694.01A.11R.1541.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.B2.A4SR.01A.11R.A266.07	TCGA.B0.4818.01A.01R.1503.07	TCGA.CZ.5458.01A.01R.1503.07	TCGA.BP.5199.01A.01R.1426.07	TCGA.B0.4844.01A.01R.1277.07	TCGA.B4.5378.01A.01R.1503.07	TCGA.CJ.5679.01A.11R.1541.07	TCGA.CJ.4870.01A.01R.1305.07	TCGA.A3.A8OW.01A.11R.A37O.07	TCGA.B8.A54I.01A.21R.A33J.07	TCGA.B8.A54F.01A.11R.A266.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.A3.A6NI.01A.11R.A33J.07	TCGA.DV.5568.01A.01R.1541.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.CJ.6033.01A.11R.1672.07	TCGA.B0.4691.01A.01R.1277.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.CJ.5683.01A.11R.1541.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.5466.01A.01R.1503.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.CJ.4923.01A.01R.1426.07	TCGA.AK.3436.01A.02R.1325.07	TCGA.CJ.4912.01A.01R.1426.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	GTEX.14753.1626.SM.5NQ9L	TCGA.38.4625.01A.01R.1206.07.1
RIOK1	353.59	146.03	170.25	217.27	277.2	246.28	255.0	191.67	201.25	199.85	264.03	121.79	217.27	253.23	142.01	229.72	145.02	190.34	154.42	223.41	234.57	191.67	164.42	197.09	242.88	190.34	134.3	194.36	236.21	221.86	98.04	176.29	271.48	126.12	118.43	46.18	115.97	46.18	0.55
RIPK1	289.02	490.14	361.04	412.0	620.67	603.67	497.0	547.75	454.09	414.87	493.56	470.14	384.34	500.46	381.68	341.51	366.09	447.82	473.41	490.14	400.71	480.04	297.17	414.87	624.99	406.31	242.88	444.72	473.41	429.54	283.05	457.25	500.46	208.38	265.87	234.57	271.48	151.22	0.0
RNF146	177.53	387.02	289.02	551.56	1044.52	967.76	860.08	780.44	872.1	381.68	802.41	293.07	547.75	1127.35	438.59	1111.82	376.41	603.67	483.38	679.29	490.14	500.46	854.13	547.75	796.86	435.55	244.57	447.82	713.11	665.29	444.72	624.99	759.08	206.94	244.57	214.27	273.37	221.86	0.67
ROCK1	128.79	183.82	201.25	273.37	743.43	555.41	387.02	320.8	426.57	143.01	503.95	119.26	218.79	400.71	147.06	457.25	166.73	187.71	218.79	476.71	220.32	193.01	457.25	236.21	518.15	255.0	117.6	251.48	341.51	267.73	154.42	191.67	275.28	107.38	80.57	31.0	113.56	70.51	0.48
RUSC2	73.54	201.25	135.24	332.14	511.0	507.46	503.95	450.94	503.95	361.04	463.65	202.66	497.0	603.67	314.17	457.25	186.4	555.41	287.01	769.69	287.01	379.04	327.56	579.04	400.71	387.02	142.01	406.31	988.12	400.71	217.27	358.54	665.29	111.99	123.5	135.24	115.97	57.08	0.71
RXRB	473.41	279.14	351.14	555.41	878.17	878.17	830.75	540.19	842.36	460.44	954.43	239.52	521.76	791.35	403.5	1088.92	237.86	764.36	429.54	802.41	476.71	693.58	1073.91	540.19	848.22	769.69	392.44	525.39	1066.48	884.29	314.17	1088.92	753.83	454.09	387.02	409.15	403.5	248.0	0.71
SCAF8	159.9	197.09	215.77	299.25	486.75	536.45	353.59	341.51	363.56	199.85	518.15	173.85	269.6	409.15	204.07	423.61	236.21	291.04	267.73	395.18	265.87	264.03	341.51	356.05	403.5	307.69	158.79	332.14	269.6	287.01	187.71	239.52	476.71	110.43	123.5	101.54	117.6	84.04	0.45
SHPRH	34.51	25.17	18.43	69.03	127.89	145.02	75.64	79.45	84.63	25.54	183.82	24.28	54.33	100.83	28.04	153.34	38.12	59.55	30.56	78.89	31.67	35.0	85.22	59.13	97.36	33.3	27.64	70.01	76.71	45.21	28.24	41.22	50.63	11.21	8.25	5.23	17.64	7.22	0.46
SLC4A11	384.34	6.06	7.46	11.47	32.82	23.76	26.67	13.03	21.16	3.29	41.22	13.93	32.13	25.72	3.32	18.97	8.78	9.56	4.98	32.59	11.04	8.51	47.17	46.84	37.05	35.25	3.86	11.3	106.63	26.47	4.1	15.45	41.22	4.03	2.73	4.35	2.66	0.01	0.62
SMARCAD1	224.97	166.73	135.24	226.54	309.83	348.71	231.32	265.87	314.17	148.09	309.83	166.73	167.9	314.17	131.51	376.41	176.29	237.86	193.01	309.83	218.79	197.09	228.13	220.32	281.09	195.72	152.28	228.13	234.57	212.78	133.36	198.47	244.57	36.27	67.12	34.26	70.01	18.43	0.11
SNX16	591.22	100.13	115.16	173.85	185.11	176.29	172.65	211.31	209.84	134.3	177.53	123.5	150.17	204.07	80.01	182.55	88.88	100.83	102.25	193.01	127.89	109.66	128.79	115.16	169.07	66.65	61.25	201.25	177.53	80.57	110.43	145.02	167.9	72.52	97.36	17.51	66.18	21.47	0.39
SUFU	713.11	189.02	163.28	277.2	295.11	316.37	244.57	325.29	218.79	206.94	305.55	285.03	265.87	255.0	175.07	329.84	159.9	256.78	189.02	341.51	211.31	246.28	244.57	229.72	423.61	187.71	151.22	267.73	327.56	255.0	167.9	189.02	275.28	59.55	89.51	108.9	80.01	59.97	0.39
TAF11	323.03	376.41	511.0	616.37	703.28	665.29	703.28	599.49	638.15	351.14	703.28	237.86	669.92	599.49	285.03	808.0	423.61	679.29	669.92	713.11	713.11	728.11	748.61	651.58	848.22	647.07	341.51	518.15	679.29	775.05	470.14	536.45	759.08	480.04	384.34	287.01	334.46	201.25	0.83
TBC1D2B	155.5	463.65	303.44	525.39	638.15	703.28	392.44	507.46	603.67	518.15	693.58	521.76	353.59	575.03	417.77	693.58	309.83	397.93	463.65	1015.93	417.77	392.44	674.59	287.01	995.0	540.19	262.2	432.53	579.04	583.07	379.04	426.57	988.12	234.57	371.22	395.18	334.46	612.11	0.61
TIAM2	64.34	43.63	63.0	131.51	161.02	165.57	124.37	124.37	178.77	56.68	117.6	56.28	89.51	123.5	93.35	107.38	44.25	112.77	105.89	152.28	120.1	90.14	136.19	109.66	163.28	110.43	45.85	81.14	191.67	120.94	46.5	115.16	111.21	45.85	35.5	27.25	27.44	10.24	0.34
TNRC18	172.65	473.41	273.37	514.56	718.08	878.17	684.02	708.18	599.49	525.39	866.07	796.86	353.59	961.07	638.15	660.68	591.22	753.83	297.17	753.83	301.33	450.94	543.96	409.15	947.83	486.75	320.8	660.68	743.43	753.83	314.17	995.0	713.11	211.31	246.28	275.28	173.85	214.27	285.03
TRERF1	309.83	19.39	24.81	51.35	79.45	80.01	52.45	48.87	103.69	22.1	91.41	23.76	27.25	82.87	28.65	67.12	39.22	55.89	29.27	124.37	40.93	36.53	79.45	47.5	94.01	55.1	29.7	53.57	76.71	85.82	36.01	78.34	65.26	4.54	5.82	4.94	5.59	5.73	0.36
TSPYL4	151.22	92.05	111.99	193.01	366.09	387.02	249.73	277.2	299.25	117.6	559.28	133.36	232.94	336.79	120.94	299.25	153.34	246.28	258.57	376.41	226.54	185.11	320.8	248.0	358.54	151.22	74.06	193.01	244.57	260.38	111.21	161.02	307.69	31.45	66.18	88.26	72.52	141.02	0.49
