	TCGA.BH.A0B2.01A.11R.A10J.07	TCGA.BH.A0B2.01A.11R.A10J.07.1	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.DD.AACH.01A.11R.A41C.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.DD.AAVQ.01A.11R.A41C.07	TCGA.BC.4073.01B.02R.A131.07	TCGA.2Y.A9H5.01A.11R.A38B.07	TCGA.DD.AAVW.01A.11R.A41C.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.RTLS.1326.SM.46MUN	GTEX.WYVS.1926.SM.4PQZ2	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.147F4.1426.SM.5LUA8	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.1399R.1226.SM.5P9GF	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.X4XY.1026.SM.46MVX	TCGA.BJ.A4O8.01A.11R.A250.07	TCGA.E8.A414.01A.11R.A23N.07	TCGA.CE.A485.01A.11R.A23W.07	TCGA.E8.A432.01A.11R.A23N.07	TCGA.EM.A22P.01A.11R.A19O.07	TCGA.ET.A40T.01A.11R.A23N.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DJ.A3UV.01A.11R.A22L.07	TCGA.CE.A481.01A.21R.A23W.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.FY.A3R7.01A.11R.A220.07	GTEX.12WSB.0726.SM.5N9GD
CUEDC1	633.73	633.73	651.58	651.58	325.29	660.68	264.03	579.04	417.77	289.02	441.64	612.11	82.29	118.43	336.79	118.43	212.78	108.9	102.97	239.52	117.6	189.02	96.68	131.51	180.02	111.99	61.68	106.63	84.63	108.14	72.01	58.71	80.01	165.57	66.65	147.06	289.02	113.56	140.04	297.17	115.97	61.25	234.57	145.02	22.75	44.89	69.52	98.04	89.51	1295.13	674.59	921.88	830.75	1487.87	529.06	587.13	511.0	647.07	928.3	591.22	633.73	693.58
DGKZ	1008.9	1008.9	872.1	872.1	633.73	1498.22	1066.48	1001.93	988.12	607.87	612.11	579.04	173.85	166.73	633.73	314.17	325.29	255.0	224.97	384.34	318.57	289.02	341.51	269.6	229.72	293.07	195.72	366.09	201.25	287.01	295.11	211.31	234.57	473.41	316.37	239.52	392.44	420.68	376.41	242.88	293.07	246.28	329.84	303.44	111.99	224.97	244.57	258.57	202.66	1498.22	1199.98	802.41	954.43	1001.93	1143.1	988.12	1540.37	941.27	1119.56	1151.06	785.88	1088.92
FAM188B	112.77	112.77	94.01	94.01	46.84	226.54	29.27	130.6	55.1	69.52	59.97	72.01	18.7	80.01	120.94	38.12	23.42	10.39	21.78	20.71	20.41	70.51	52.08	37.32	19.68	25.17	19.53	78.34	4.62	35.76	34.02	18.7	11.47	41.52	30.34	31.9	31.9	13.62	36.53	34.75	38.12	40.93	77.79	37.85	36.01	16.51	23.93	32.59	13.52	358.54	141.02	171.45	146.03	218.79	152.28	116.78	134.3	165.57	137.14	193.01	204.07	165.57
FBLIM1	718.08	718.08	620.67	620.67	236.21	769.69	264.03	796.86	470.14	444.72	503.95	941.27	80.57	312.0	571.05	95.34	165.57	63.45	106.63	49.21	152.28	529.06	291.04	39.79	104.42	108.14	260.38	146.03	143.01	135.24	161.02	208.38	102.97	220.32	70.01	183.82	140.04	260.38	59.97	181.28	49.21	195.72	88.26	351.14	43.02	84.63	212.78	147.06	178.77	802.41	785.88	607.87	825.0	426.57	738.29	514.56	518.15	599.49	441.64	567.1	514.56	1697.45
FBXO41	50.63	50.63	48.87	48.87	19.53	32.36	44.57	48.87	14.45	16.03	26.28	12.93	0.87	0.66	38.67	1.36	8.0	3.99	1.33	2.56	5.87	6.62	2.71	4.43	2.25	2.14	0.0	2.34	0.96	2.94	2.89	1.85	1.0	17.38	2.73	12.36	4.98	1.14	20.26	3.5	0.93	2.84	11.3	0.38	0.0	1.89	2.68	4.58	8.25	66.65	82.87	79.45	64.8	136.19	101.54	74.58	98.04	51.35	75.64	52.82	61.68	58.3
FHOD1	339.14	339.14	480.04	480.04	208.38	325.29	239.52	366.09	476.71	239.52	297.17	356.05	63.45	57.89	376.41	125.24	98.73	78.89	94.01	106.63	129.69	170.25	229.72	73.03	108.14	91.41	66.65	201.25	40.64	69.03	102.25	61.68	61.25	140.04	123.5	141.02	204.07	110.43	215.77	63.89	115.97	116.78	161.02	117.6	31.0	57.89	89.51	182.55	87.65	3257.52	2555.58	2032.85	3081.75	1268.46	2255.7	2209.26	1757.34	1628.26	2061.24	3081.75	1044.52	995.0
FMNL3	507.46	507.46	400.71	400.71	172.65	194.36	239.52	376.41	186.4	182.55	217.27	260.38	30.34	22.92	307.69	77.25	81.14	40.93	49.91	47.17	47.84	108.14	60.82	38.4	81.71	72.52	32.82	40.64	23.76	32.59	57.49	31.67	22.43	89.51	86.43	61.25	128.79	64.8	78.89	63.0	72.52	53.19	65.26	50.98	13.42	12.45	57.08	81.14	17.25	896.64	612.11	521.76	819.3	796.86	647.07	679.29	718.08	759.08	854.13	718.08	599.49	1119.56
GTF2I	4010.71	4010.71	4512.4	4512.4	2255.7	2835.7	2240.11	3515.68	2367.9	2701.35	4181.07	3928.15	1015.93	954.43	2090.03	1286.18	1857.6	1286.18	1991.0	1397.83	1697.45	1397.83	2178.83	1437.15	1594.73	1617.0	1183.45	1709.26	1183.45	1407.55	2224.63	1183.45	1233.75	2004.85	1639.59	1594.73	2193.99	1697.45	1896.65	1407.55	1605.83	1388.16	2287.2	2047.0	638.15	429.54	791.35	1819.35	1477.58	3146.52	5711.87	5112.16	5006.93	5441.3	4802.93	5329.3	3901.01	4836.35	5366.37	4419.52	5183.54	4736.79
HDAC7	981.29	981.29	941.27	941.27	346.29	403.5	529.06	947.83	559.28	473.41	599.49	647.07	102.25	57.08	866.07	249.73	167.9	84.04	74.58	100.13	129.69	329.84	295.11	104.42	195.72	204.07	85.22	253.23	78.34	85.22	190.34	161.02	49.21	293.07	189.02	212.78	262.2	91.41	381.68	127.89	158.79	144.01	127.89	343.89	61.25	67.59	181.28	142.01	64.34	2573.36	1950.0	1883.54	2935.74	2075.59	2255.7	2537.92	2119.22	2104.58	2956.17	1963.57	1674.06	1923.14
HSPG2	2178.83	2178.83	3540.14	3540.14	769.69	1081.39	785.88	2163.77	1208.34	612.11	1721.16	2303.12	204.07	162.14	2133.97	780.44	470.14	189.02	182.55	281.09	273.37	909.17	802.41	483.38	389.72	555.41	275.28	521.76	155.5	224.97	674.59	275.28	206.94	688.78	420.68	579.04	503.95	281.09	1427.22	301.33	473.41	363.56	379.04	759.08	186.4	65.26	255.0	239.52	193.01	6561.36	4769.75	3665.02	5791.62	4802.93	5831.91	3928.15	5076.84	3768.09	4512.4	5872.48	3395.89	4639.29
ITPR3	198.47	198.47	205.5	205.5	82.87	293.07	77.25	318.57	39.79	236.21	148.09	163.28	10.55	4.06	265.87	22.92	21.47	13.22	5.54	35.76	19.11	98.73	36.01	8.92	21.47	25.35	5.19	42.41	9.78	17.0	49.21	13.32	11.91	59.97	41.22	12.74	87.65	16.51	60.82	31.45	12.74	36.27	23.42	58.71	2.48	15.34	13.52	9.13	3.72	1359.57	2351.53	2384.37	1127.35	567.1	995.0	1225.22	1023.0	1073.91	1111.82	718.08	1135.2	928.3
LPCAT4	406.31	406.31	476.71	476.71	197.09	253.23	295.11	423.61	239.52	289.02	149.12	236.21	39.5	50.98	444.72	139.07	127.89	82.87	94.67	72.52	56.68	155.5	215.77	75.11	121.79	89.51	54.33	89.51	33.54	74.58	134.3	32.13	49.56	177.53	107.38	45.21	141.02	55.89	99.43	67.59	93.35	74.06	125.24	115.16	22.59	30.12	55.1	114.36	39.79	2163.77	1059.11	802.41	1008.9	1233.75	854.13	848.22	967.76	780.44	1175.27	796.86	521.76	791.35
LZTS2	1183.45	1183.45	808.0	808.0	656.11	878.17	343.89	941.27	723.08	231.32	718.08	620.67	177.53	176.29	603.67	249.73	316.37	231.32	204.07	339.14	187.71	264.03	514.56	249.73	293.07	307.69	102.97	234.57	253.23	197.09	351.14	327.56	269.6	339.14	293.07	164.42	336.79	255.0	334.46	258.57	262.2	253.23	251.48	285.03	105.89	59.13	183.82	334.46	218.79	1388.16	2573.36	2004.85	2104.58	1896.65	2224.63	2209.26	1794.29	1844.76	1977.24	2133.97	1950.0	1806.78
MAP3K12	191.67	191.67	260.38	260.38	106.63	71.0	149.12	143.01	98.04	84.04	114.36	137.14	14.89	22.59	138.1	29.7	38.12	23.76	34.75	35.25	47.5	83.45	86.43	25.72	52.45	50.63	40.36	31.45	16.15	69.03	28.65	11.38	21.47	98.04	53.57	46.18	58.71	67.59	106.63	28.86	45.85	43.02	59.13	71.5	18.43	11.55	28.45	55.49	30.56	490.14	703.28	624.99	656.11	503.95	529.06	400.71	507.46	356.05	353.59	435.55	320.8	723.08
MFSD10	2193.99	2193.99	780.44	780.44	543.96	802.41	748.61	1208.34	1119.56	599.49	941.27	660.68	217.27	429.54	647.07	323.03	543.96	228.13	234.57	460.44	309.83	244.57	547.75	108.14	201.25	473.41	143.01	323.03	129.69	454.09	343.89	165.57	208.38	312.0	334.46	172.65	466.88	497.0	379.04	389.72	205.5	211.31	351.14	356.05	100.13	206.94	426.57	269.6	195.72	5954.47	2720.15	1936.53	2875.3	3467.27	2855.44	2855.44	2875.3	2875.3	3146.52	2855.44	1909.85	2047.0
MICAL1	295.11	295.11	248.0	248.0	183.82	201.25	571.05	366.09	503.95	417.77	221.86	255.0	33.3	20.86	212.78	111.21	71.5	41.22	25.54	41.22	55.89	66.18	66.65	25.91	49.56	40.93	22.26	79.45	14.56	61.25	72.01	26.47	24.81	127.0	67.12	45.85	108.9	66.65	48.87	92.05	43.63	80.57	87.03	63.89	37.85	50.98	56.68	39.5	16.75	2485.67	921.88	603.67	728.11	684.02	854.13	638.15	941.27	612.11	665.29	624.99	366.09	1104.13
MLLT6	884.29	884.29	1073.91	1073.91	503.95	651.58	595.34	796.86	591.22	346.29	486.75	409.15	94.01	134.3	624.99	299.25	229.72	144.01	220.32	409.15	176.29	248.0	521.76	204.07	121.79	309.83	193.01	198.47	165.57	249.73	423.61	119.26	175.07	356.05	279.14	269.6	423.61	500.46	271.48	162.14	221.86	158.79	279.14	339.14	55.1	81.71	159.9	307.69	139.07	1883.54	2400.97	2701.35	2758.13	2502.97	2047.0	2367.9	1819.35	1883.54	2855.44	1674.06	1844.76	2178.83
NOD1	135.24	135.24	181.28	181.28	60.82	161.02	82.87	133.36	75.64	76.17	102.25	117.6	21.94	57.08	76.71	43.94	62.56	24.28	19.11	36.79	28.86	69.03	52.82	21.16	26.28	64.34	21.78	52.45	32.36	45.85	61.25	34.75	17.51	36.01	49.91	17.9	70.01	56.68	56.28	47.17	19.11	46.18	38.12	35.0	7.88	24.99	47.17	41.52	44.57	713.11	2119.22	1794.29	1733.13	1277.29	2796.65	1697.45	1127.35	620.67	995.0	1883.54	1561.89	842.36
NOTCH3	1208.34	1208.34	1127.35	1127.35	185.11	237.86	176.29	988.12	166.73	204.07	373.81	909.17	27.25	17.51	267.73	76.17	72.01	46.84	13.03	31.45	22.43	620.67	53.57	27.84	40.36	31.67	10.88	57.08	14.03	29.7	104.42	6.84	27.44	22.26	87.65	67.12	73.03	25.17	73.03	27.25	25.72	22.1	105.15	52.45	9.56	10.47	39.22	44.89	35.0	780.44	2400.97	1639.59	2255.7	1073.91	2090.03	1457.23	1639.59	1477.58	1051.79	1313.23	1127.35	1268.46
PANK2	981.29	981.29	642.59	642.59	356.05	514.56	447.82	684.02	368.65	363.56	356.05	297.17	273.37	265.87	466.88	358.54	356.05	231.32	258.57	241.19	248.0	217.27	470.14	368.65	423.61	237.86	267.73	312.0	287.01	165.57	320.8	379.04	251.48	312.0	289.02	332.14	211.31	358.54	373.81	301.33	297.17	327.56	291.04	260.38	356.05	329.84	277.2	283.05	316.37	417.77	591.22	612.11	476.71	500.46	567.1	511.0	507.46	463.65	521.76	521.76	575.03	470.14
PIAS3	723.08	723.08	698.41	698.41	260.38	1096.5	457.25	638.15	356.05	429.54	463.65	329.84	85.82	77.79	277.2	68.55	126.12	65.72	95.34	129.69	100.13	183.82	158.79	46.84	114.36	113.56	57.08	199.85	94.01	77.79	125.24	56.28	109.66	84.63	115.16	115.97	144.01	102.97	127.89	88.26	95.34	68.07	154.42	117.6	28.24	28.86	40.93	109.66	82.29	1044.52	1159.07	1001.93	1119.56	836.53	967.76	1073.91	775.05	785.88	947.83	647.07	775.05	896.64
PIP5K1C	607.87	607.87	441.64	441.64	183.82	228.13	221.86	381.68	204.07	236.21	275.28	202.66	77.25	73.03	241.19	127.0	93.35	44.57	100.83	116.78	61.25	129.69	152.28	65.72	70.01	82.87	39.22	128.79	79.45	68.55	120.1	60.39	64.8	105.89	104.42	104.42	104.42	115.97	106.63	60.82	77.25	125.24	71.0	115.16	37.05	42.11	120.1	82.87	57.89	480.04	703.28	629.35	555.41	647.07	595.34	660.68	698.41	624.99	559.28	624.99	559.28	563.18
PLCB3	316.37	316.37	162.14	162.14	242.88	223.41	164.42	301.33	223.41	170.25	256.78	226.54	40.07	49.21	241.19	100.83	105.89	50.63	77.79	95.34	115.97	107.38	123.5	73.03	87.65	100.83	39.5	108.14	49.56	38.67	110.43	50.98	92.05	108.14	138.1	104.42	120.1	102.97	159.9	88.26	77.25	43.02	48.52	95.34	34.51	29.7	58.3	114.36	60.82	412.0	409.15	387.02	400.71	366.09	291.04	320.8	379.04	356.05	305.55	379.04	323.03	371.22
PLCG1	698.41	698.41	995.0	995.0	612.11	624.99	791.35	1216.75	460.44	417.77	460.44	656.11	80.01	57.49	417.77	198.47	220.32	183.82	149.12	226.54	256.78	339.14	241.19	195.72	264.03	279.14	154.42	215.77	151.22	185.11	285.03	173.85	211.31	371.22	351.14	190.34	406.31	229.72	231.32	125.24	255.0	291.04	334.46	379.04	93.35	137.14	186.4	236.21	232.94	1733.13	2075.59	1819.35	2303.12	1909.85	1685.71	2032.85	1806.78	1529.73	2319.15	1498.22	1286.18	1529.73
PLXDC1	728.11	728.11	603.67	603.67	104.42	214.27	65.26	423.61	111.21	134.3	187.71	287.01	3.72	14.67	62.12	15.91	20.86	33.78	14.89	39.22	18.29	35.0	40.07	16.88	33.78	25.54	17.13	33.3	13.62	24.99	53.19	1.31	16.88	64.8	35.25	29.27	103.69	64.8	15.22	39.5	17.0	25.17	48.52	59.13	17.25	18.03	13.42	20.41	10.71	698.41	941.27	620.67	1023.0	1183.45	1175.27	785.88	748.61	848.22	753.83	587.13	236.21	954.43
PLXND1	3039.3	3039.3	3060.45	3060.45	1457.23	2956.17	1369.04	2047.0	2018.8	1023.0	2119.22	2178.83	237.86	500.46	2224.63	748.61	825.0	438.59	551.56	435.55	638.15	591.22	1467.37	660.68	476.71	679.29	329.84	1073.91	432.53	555.41	974.5	417.77	486.75	1015.93	587.13	836.53	1096.5	563.18	1286.18	454.09	819.3	808.0	642.59	1313.23	229.72	283.05	567.1	698.41	412.0	7803.01	6381.92	4328.55	6207.38	5292.48	6699.25	6250.56	6792.79	5366.37	4481.23	7130.55	3874.05	4903.87
PPM1M	547.75	547.75	503.95	503.95	529.06	603.67	490.14	343.89	595.34	460.44	226.54	285.03	75.64	87.03	543.96	128.79	182.55	98.04	127.89	201.25	351.14	114.36	187.71	172.65	119.26	185.11	56.68	136.19	167.9	248.0	199.85	73.54	224.97	438.59	314.17	221.86	258.57	237.86	379.04	112.77	199.85	173.85	249.73	84.63	65.72	44.25	78.34	190.34	164.42	2335.28	660.68	638.15	647.07	1059.11	775.05	796.86	928.3	780.44	764.36	567.1	674.59	961.07
SEPT5	497.0	497.0	435.55	435.55	403.5	1044.52	51.35	884.29	595.34	223.41	536.45	387.02	42.71	31.45	100.83	35.0	45.21	60.39	52.08	16.63	31.67	223.41	65.26	19.68	39.22	57.89	18.97	37.85	32.82	36.79	82.29	2.63	18.43	38.12	76.17	39.22	69.52	36.27	23.42	68.55	64.34	53.57	122.64	31.22	11.55	45.85	56.68	35.76	12.74	599.49	514.56	620.67	1304.15	607.87	713.11	493.56	417.77	507.46	808.0	1081.39	603.67	909.17
SEPT8	981.29	981.29	728.11	728.11	559.28	915.51	343.89	796.86	289.02	543.96	620.67	647.07	123.5	159.9	305.55	177.53	165.57	97.36	258.57	110.43	152.28	212.78	178.77	95.34	177.53	119.26	114.36	209.84	105.15	81.71	137.14	44.25	110.43	204.07	137.14	159.9	208.38	104.42	195.72	134.3	101.54	182.55	244.57	130.6	77.25	73.03	67.12	165.57	114.36	1023.0	1286.18	1208.34	1268.46	1008.9	1167.14	1340.84	836.53	941.27	995.0	808.0	1104.13	1685.71
SNX5	3665.02	3665.02	2502.97	2502.97	1561.89	2664.15	1757.34	2835.7	1883.54	1991.0	1340.84	1359.57	1119.56	988.12	2303.12	1331.57	1757.34	1088.92	854.13	1242.34	1529.73	1081.39	1605.83	1331.57	1844.76	1008.9	974.5	1268.46	1639.59	1208.34	1359.57	954.43	1651.0	1427.22	1651.0	1519.15	1268.46	1250.98	2193.99	723.08	1208.34	1378.57	1487.87	2104.58	947.83	967.76	842.36	1216.75	1594.73	2682.69	4066.71	4268.94	4512.4	5366.37	4769.75	5219.6	3928.15	4328.55	4328.55	4239.45	5633.22	2645.74
SOGA1	206.94	206.94	297.17	297.17	75.11	95.34	38.95	176.29	40.64	68.55	59.97	87.03	5.59	5.82	90.77	12.64	10.47	9.34	13.93	8.32	8.19	34.75	41.52	8.13	15.45	12.93	4.17	21.16	4.31	11.73	45.53	2.76	12.27	13.22	16.88	27.84	23.25	9.7	31.67	5.23	11.13	10.16	16.63	28.65	3.66	1.97	16.63	13.62	9.7	172.65	237.86	256.78	285.03	234.57	187.71	217.27	177.53	305.55	237.86	211.31	323.03	224.97
STIM1	651.58	651.58	1143.1	1143.1	1015.93	2119.22	1088.92	1127.35	791.35	753.83	1340.84	1111.82	529.06	633.73	848.22	470.14	802.41	559.28	563.18	486.75	438.59	559.28	612.11	511.0	483.38	555.41	660.68	769.69	1119.56	466.88	555.41	551.56	624.99	703.28	559.28	728.11	540.19	493.56	684.02	995.0	486.75	444.72	543.96	660.68	470.14	414.87	688.78	616.37	595.34	1183.45	1088.92	1183.45	1388.16	1950.0	1268.46	1313.23	1225.22	1259.69	1977.24	1135.2	1277.29	1088.92
