	TCGA.D8.A13Y.01A.11R.A115.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.BC.A10Y.01A.11R.A131.07	TCGA.5C.A9VG.01A.11R.A37K.07	TCGA.DD.A11A.01A.11R.A131.07	TCGA.G3.A7M9.01A.23R.A352.07	TCGA.BC.4072.01B.11R.A155.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A39W.01A.11R.A213.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.2V.A95S.01A.11R.A37K.07	TCGA.CC.5258.01A.01R.A131.07	TCGA.CC.5263.01A.01R.A131.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.G3.A5SJ.01A.11R.A27V.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A73F.01A.11R.A32O.07	TCGA.FV.A4ZQ.01A.11R.A266.07	TCGA.FV.A3I0.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.131YS.1626.SM.5HL6C	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.12WSD.1426.SM.5GCN9	GTEX.T6MN.1226.SM.3NMA5	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.50.5931.01A.11R.1755.07	TCGA.43.7658.01A.11R.2125.07	TCGA.NK.A5D1.01A.11R.A26W.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A4PN.01A.11R.A28V.07
CBX1	4038.61	651.58	1127.35	854.13	384.34	579.04	1277.29	642.59	1242.34	529.06	559.28	540.19	616.37	497.0	748.61	463.65	995.0	1781.89	444.72	854.13	551.56	555.41	909.17	159.9	167.9	202.66	287.01	361.04	281.09	450.94	454.09	325.29	154.42	228.13	493.56	201.25	368.65	318.57	205.5	251.48	346.29	289.02	229.72	312.0	438.59	291.04	208.38	208.38	368.65	253.23	120.94	66.65	105.15	409.15	289.02	2609.3	3768.09	3325.99	1233.75	3716.2	3690.52
CCDC163P	39.79	118.43	49.56	198.47	53.57	48.87	150.17	98.04	79.45	56.68	44.25	29.48	293.07	41.22	64.8	34.02	75.64	116.78	28.65	63.45	119.26	102.25	80.01	7.34	6.01	34.51	18.43	34.26	20.86	7.11	6.16	23.76	13.03	25.72	6.06	9.85	19.68	30.56	9.34	25.72	6.57	18.16	7.34	7.4	19.68	18.29	8.13	5.82	4.17	20.86	7.34	4.58	7.34	6.78	20.11	44.57	115.16	133.36	154.42	53.57	161.02
CCHCR1	1781.89	543.96	1143.1	698.41	221.86	651.58	796.86	412.0	693.58	511.0	358.54	583.07	860.08	444.72	629.35	525.39	323.03	1059.11	366.09	633.73	312.0	318.57	575.03	119.26	128.79	144.01	191.67	71.5	173.85	197.09	341.51	142.01	363.56	193.01	155.5	151.22	206.94	241.19	271.48	480.04	214.27	211.31	146.03	287.01	132.44	197.09	165.57	186.4	237.86	295.11	124.37	51.35	183.82	197.09	156.59	954.43	674.59	1191.69	753.83	620.67	830.75
CCNA2	540.19	543.96	384.34	2335.28	420.68	118.43	665.29	343.89	228.13	94.67	117.6	155.5	2758.13	66.18	214.27	181.28	651.58	728.11	92.05	206.94	255.0	3540.14	518.15	4.28	4.98	7.4	16.63	7.34	6.06	14.78	28.65	12.64	7.57	11.47	26.1	6.57	17.77	11.82	2.27	10.47	20.11	21.63	5.96	8.06	83.45	21.78	5.45	6.26	14.24	17.77	3.29	6.73	2.03	19.39	14.56	429.54	540.19	1066.48	703.28	638.15	400.71
CCNE2	1963.57	84.04	20.26	43.02	33.06	93.35	48.18	165.57	231.32	24.11	52.08	70.51	94.01	14.89	36.79	87.03	144.01	366.09	40.36	93.35	52.45	36.01	88.88	18.97	5.54	8.99	16.51	15.8	2.48	11.47	13.93	7.88	19.39	6.94	4.9	2.84	21.63	3.59	43.02	7.17	12.36	16.51	17.64	9.78	5.28	2.25	16.88	6.16	15.34	18.84	4.62	1.83	5.54	16.88	10.47	178.77	813.63	199.85	132.44	91.41	115.97
CCNF	947.83	113.56	107.38	136.19	108.9	61.25	358.54	130.6	135.24	47.84	54.33	134.3	104.42	65.72	123.5	72.52	165.57	314.17	45.53	70.51	97.36	125.24	141.02	6.78	3.03	17.64	17.25	10.16	9.13	20.56	21.94	7.0	14.67	5.82	29.27	4.43	8.06	15.0	26.86	12.09	6.89	13.32	21.47	17.13	37.85	13.83	6.89	2.86	11.91	7.06	5.32	0.37	2.73	16.15	11.38	237.86	493.56	511.0	271.48	289.02	334.46
CDC6	713.11	214.27	224.97	392.44	420.68	246.28	503.95	684.02	629.35	76.17	217.27	156.59	244.57	43.02	153.34	189.02	348.71	1583.71	49.56	295.11	169.07	177.53	309.83	3.96	16.75	5.59	8.32	31.9	2.12	16.39	5.28	42.41	2.34	7.11	12.0	3.53	11.73	10.39	8.32	5.63	6.57	39.79	3.03	5.19	13.42	20.41	3.79	12.93	15.34	5.41	2.05	7.4	4.7	4.54	9.48	500.46	967.76	607.87	251.48	521.76	470.14
CDCA3	1295.13	525.39	381.68	525.39	279.14	158.79	1909.85	536.45	432.53	129.69	113.56	339.14	373.81	85.82	305.55	234.57	647.07	1001.93	147.06	351.14	334.46	205.5	718.08	8.32	6.94	12.45	9.41	8.58	14.67	28.24	33.78	21.78	13.62	16.27	60.82	16.27	34.75	23.93	16.39	18.7	67.12	29.48	17.64	17.77	98.73	40.64	12.45	9.48	28.04	21.32	6.78	1.55	11.47	43.32	31.9	1066.48	1417.35	2240.11	1159.07	1008.9	642.59
CDCA5	1467.37	414.87	348.71	599.49	323.03	287.01	1051.79	295.11	204.07	94.01	113.56	139.07	295.11	51.71	356.05	329.84	381.68	684.02	84.63	116.78	187.71	248.0	303.44	4.58	3.63	14.89	3.79	10.24	7.17	10.0	9.63	7.63	5.32	13.42	42.71	5.11	16.88	12.83	26.86	10.0	16.27	17.77	3.44	5.45	55.49	35.0	4.13	5.82	12.36	14.67	1.45	4.62	8.0	9.34	8.25	703.28	1175.27	1662.49	738.29	1051.79	1104.13
CDCA8	1313.23	318.57	325.29	457.25	239.52	107.38	1044.52	271.48	149.12	76.71	105.15	178.77	325.29	62.56	199.85	182.55	277.2	547.75	87.65	221.86	215.77	165.57	332.14	2.53	2.81	8.06	10.55	12.45	3.59	14.67	14.78	5.96	8.99	10.79	34.51	4.39	9.13	13.83	9.48	8.19	17.13	9.13	3.69	2.48	103.69	24.99	8.32	3.29	10.47	10.47	3.23	4.66	3.53	17.64	9.85	514.56	1096.5	1286.18	974.5	529.06	480.04
CENPK	277.2	221.86	108.14	232.94	84.63	40.07	204.07	162.14	171.45	105.15	58.71	36.53	197.09	29.06	117.6	76.17	132.44	132.44	49.91	120.1	58.71	141.02	312.0	3.96	3.06	3.92	5.28	5.92	5.68	11.38	8.58	15.56	3.92	16.27	28.24	8.25	8.78	20.26	0.0	15.45	22.43	14.24	1.97	7.69	32.36	12.83	13.03	8.71	22.92	25.17	2.14	2.53	8.13	8.51	3.92	414.87	503.95	493.56	279.14	371.22	305.55
CENPL	583.07	59.97	150.17	208.38	137.14	111.99	217.27	85.82	279.14	46.5	109.66	76.71	173.85	42.71	101.54	58.3	114.36	248.0	71.0	55.1	92.7	80.01	113.56	5.32	6.26	8.51	13.12	16.27	12.09	24.81	8.85	8.0	5.92	0.0	22.43	5.5	19.97	13.72	32.13	12.93	14.56	14.14	16.88	10.96	28.04	24.99	14.03	12.45	17.51	10.47	3.99	5.5	5.77	17.25	10.71	295.11	591.22	220.32	279.14	204.07	387.02
CHAF1A	493.56	194.36	329.84	483.38	246.28	105.89	595.34	221.86	387.02	177.53	215.77	215.77	457.25	155.5	316.37	239.52	167.9	555.41	356.05	167.9	154.42	265.87	253.23	23.42	32.13	32.59	63.89	46.5	40.36	48.87	55.1	40.93	52.82	75.64	107.38	50.27	63.0	39.22	71.0	43.02	71.5	49.21	29.7	61.25	96.68	81.14	55.1	40.36	59.97	55.1	59.55	14.89	27.84	65.72	40.64	346.29	743.43	480.04	305.55	400.71	555.41
CNIH2	2573.36	75.64	11.38	14.24	10.08	40.36	291.04	23.08	31.9	20.71	10.63	63.89	28.24	5.54	11.82	17.38	36.27	87.65	9.27	7.06	38.12	21.94	52.08	4.06	1.97	3.26	3.79	6.31	6.26	8.25	5.36	1.14	5.02	5.45	0.0	8.32	9.93	2.1	14.78	8.45	5.11	10.08	6.11	6.78	7.34	5.59	5.63	5.77	8.38	11.73	0.0	17.51	14.14	3.92	17.77	279.14	915.51	575.03	253.23	138.1	214.27
CSPG5	642.59	20.26	47.17	13.62	14.45	2.25	58.3	107.38	20.26	7.88	9.27	34.75	62.56	16.15	7.88	35.76	9.63	47.5	7.0	46.18	59.55	60.82	38.95	0.62	4.62	0.44	1.08	3.63	0.08	0.62	0.88	8.99	2.14	5.5	13.32	2.89	1.68	0.62	16.03	1.68	18.7	4.21	1.68	8.19	14.89	0.0	4.03	0.48	2.56	0.46	5.32	1.45	0.04	4.58	1.57	60.39	39.5	127.0	16.63	183.82	12.93
DARS2	591.22	429.54	432.53	470.14	780.44	743.43	819.3	295.11	540.19	283.05	486.75	483.38	769.69	325.29	450.94	262.2	1001.93	420.68	267.73	244.57	199.85	412.0	191.67	123.5	114.36	157.68	237.86	356.05	189.02	246.28	205.5	135.24	82.87	228.13	325.29	153.34	133.36	269.6	146.03	147.06	151.22	170.25	226.54	186.4	363.56	224.97	111.21	95.34	152.28	117.6	156.59	81.71	110.43	79.45	118.43	616.37	651.58	493.56	693.58	571.05	473.41
DIAPH3	94.01	40.93	40.36	31.9	43.32	30.56	91.41	52.08	20.86	18.7	27.84	14.35	39.79	10.24	44.57	20.56	48.87	54.33	13.42	33.78	21.63	18.97	39.22	0.0	0.0	0.0	0.47	1.16	0.47	0.52	1.51	0.0	0.45	2.92	5.15	0.0	3.29	4.24	0.0	0.0	8.78	4.24	0.0	0.46	10.47	4.5	0.0	1.01	2.27	2.18	0.53	0.0	0.97	4.39	0.0	63.0	54.72	75.11	127.89	153.34	171.45
DIDO1	1242.34	607.87	995.0	521.76	371.22	460.44	529.06	718.08	1369.04	351.14	490.14	616.37	836.53	603.67	480.04	215.77	525.39	555.41	450.94	297.17	780.44	525.39	775.05	236.21	186.4	476.71	248.0	244.57	229.72	414.87	371.22	205.5	521.76	202.66	258.57	334.46	336.79	251.48	172.65	341.51	204.07	447.82	201.25	368.65	281.09	381.68	295.11	218.79	518.15	373.81	131.51	90.77	98.73	343.89	303.44	684.02	988.12	1167.14	1950.0	607.87	921.88
DSN1	1378.57	303.44	633.73	753.83	376.41	341.51	480.04	642.59	769.69	241.19	262.2	511.0	591.22	232.94	476.71	289.02	346.29	583.07	279.14	271.48	251.48	336.79	532.74	69.52	78.34	63.89	108.9	167.9	87.65	127.89	103.69	78.34	109.66	149.12	120.1	56.68	124.37	75.11	68.07	62.56	125.24	138.1	71.0	81.71	77.79	133.36	80.57	98.73	193.01	178.77	52.82	36.79	42.71	130.6	100.13	669.92	1540.37	974.5	656.11	1259.69	500.46
DTL	902.89	63.0	113.56	368.65	98.04	145.02	287.01	114.36	281.09	72.52	164.42	78.89	303.44	43.32	178.77	83.45	130.6	358.54	77.79	77.25	84.63	117.6	84.63	3.99	4.46	2.76	8.19	5.59	1.93	9.27	2.71	14.89	1.89	21.47	11.21	2.2	1.97	8.13	19.68	0.0	7.0	6.46	1.38	1.91	10.47	19.68	9.78	4.98	15.91	11.47	4.58	12.18	1.75	3.35	6.89	389.72	361.04	403.5	231.32	287.01	414.87
E2F1	1508.65	295.11	579.04	1259.69	202.66	191.67	638.15	265.87	669.92	279.14	141.02	260.38	1369.04	115.97	423.61	253.23	248.0	1242.34	84.63	186.4	187.71	669.92	409.15	4.5	2.56	1.38	3.72	4.35	5.41	3.96	5.11	8.45	10.31	92.05	21.94	10.0	3.38	15.91	8.06	9.93	23.25	18.16	3.35	9.27	18.56	29.91	10.47	9.78	22.1	35.25	5.02	3.82	3.72	15.34	10.71	688.78	1268.46	915.51	679.29	974.5	1199.98
E2F7	217.27	11.3	10.79	33.06	12.09	11.82	46.5	29.91	36.53	6.36	10.31	6.21	28.86	1.6	19.82	12.64	6.73	167.9	32.36	11.21	7.11	15.8	13.03	0.64	1.06	0.03	0.08	1.69	0.08	0.61	2.81	0.08	0.07	1.93	3.63	0.43	0.09	4.28	1.39	0.0	1.57	0.92	0.0	1.04	1.73	3.82	0.08	3.03	0.48	0.91	0.0	0.04	1.87	0.0	1.01	183.82	236.21	295.11	176.29	81.71	84.04
E2F8	283.05	42.71	53.95	122.64	48.87	53.57	111.21	78.34	175.07	30.56	22.92	52.45	132.44	5.45	131.51	28.24	76.17	209.84	19.97	34.51	34.02	78.89	114.36	0.0	0.55	0.26	1.16	2.12	0.0	0.79	0.62	0.74	4.03	1.06	3.53	0.26	8.51	5.32	1.06	0.32	2.84	1.45	0.0	10.31	12.83	7.46	2.84	0.27	0.27	3.69	0.0	0.27	0.0	1.28	0.0	42.71	255.0	139.07	480.04	59.97	142.01
EGFL6	78.89	0.87	2.27	29.27	4.1	2.76	18.03	25.91	12.0	0.57	2.51	15.11	19.25	1.0	9.63	5.87	26.28	6.94	2.05	16.88	1.95	2.41	3.23	0.0	0.0	0.0	0.88	0.95	0.88	9.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	18.7	0.0	0.0	0.97	0.0	0.0	2.34	0.78	0.0	0.0	0.0	0.0	0.0	0.0	142.01	75.11	249.73	87.65	518.15	2209.26
ERCC6L	146.03	26.28	31.9	32.82	22.92	17.25	65.26	24.28	29.7	4.58	12.55	10.47	28.65	4.17	38.67	11.04	43.63	50.27	5.15	13.83	15.22	23.08	30.12	0.0	0.0	1.71	1.55	3.47	0.58	1.19	1.69	0.16	2.56	0.09	2.34	1.69	2.16	1.19	0.88	0.61	1.53	1.81	1.08	2.63	7.17	3.82	0.15	0.48	0.92	2.25	0.0	0.09	0.0	1.81	0.55	87.03	95.34	112.77	96.68	85.82	138.1
ESM1	163.28	97.36	133.36	878.17	84.04	595.34	75.64	71.5	125.24	242.88	307.69	27.44	620.67	209.84	142.01	36.79	136.19	137.14	242.88	303.44	77.79	262.2	269.6	4.1	11.47	0.0	6.11	9.41	5.19	7.51	17.51	8.92	22.92	16.63	5.59	8.58	5.32	8.58	34.75	0.0	2.53	14.45	1.77	38.4	1.85	23.08	8.85	20.71	31.22	1.58	1.03	1.62	0.0	15.45	1.69	287.01	63.89	221.86	287.01	376.41	417.77
FAM111B	1350.18	27.64	43.94	208.38	31.9	177.53	126.12	138.1	318.57	60.39	92.05	54.72	283.05	40.36	127.0	62.12	116.78	438.59	110.43	63.45	33.54	148.09	165.57	2.89	1.2	0.0	4.9	5.54	1.77	3.0	8.78	4.39	2.29	12.64	20.41	3.08	1.81	3.56	6.67	4.46	14.89	5.87	0.0	2.32	16.27	30.78	4.35	2.73	8.06	10.16	0.0	10.31	3.63	8.71	4.78	237.86	860.08	486.75	180.02	121.79	98.04
FAM72A	325.29	97.36	47.84	104.42	90.77	26.1	251.48	46.5	159.9	33.3	70.51	39.79	145.02	15.22	63.89	126.12	64.34	131.51	127.89	38.12	57.49	101.54	69.52	11.55	19.11	14.35	29.27	15.22	21.16	27.64	20.56	15.34	8.99	20.26	50.98	0.0	21.63	22.43	66.65	18.84	1.75	30.34	22.75	6.31	57.08	59.13	22.92	40.36	22.75	8.45	16.63	7.28	10.39	11.47	7.63	256.78	336.79	224.97	325.29	265.87	214.27
FAM72C	117.6	26.28	35.5	60.39	48.18	23.42	182.55	19.11	46.5	19.25	0.0	14.56	55.49	0.0	5.82	104.42	17.77	26.47	34.75	12.09	14.45	40.36	40.07	0.89	2.84	14.89	0.0	0.0	0.0	9.2	0.0	0.0	0.0	0.0	6.41	0.0	0.0	6.41	22.43	0.0	12.18	0.0	4.35	0.0	24.46	6.67	0.0	3.96	3.2	4.58	0.0	0.0	3.11	0.0	15.68	104.42	256.78	193.01	86.43	161.02	71.5
FANCD2	954.43	293.07	303.44	409.15	181.28	137.14	435.55	208.38	106.63	96.68	90.77	140.04	291.04	63.45	325.29	152.28	161.02	258.57	49.91	167.9	143.01	162.14	143.01	8.92	14.45	15.34	16.03	8.65	20.41	26.47	57.89	25.72	8.71	27.64	43.63	12.0	42.11	18.97	3.76	15.91	27.64	21.63	32.36	12.36	35.25	35.25	6.84	32.13	53.57	8.92	20.71	30.34	10.55	10.08	22.59	366.09	743.43	363.56	267.73	583.07	848.22
FANCI	4152.18	267.73	339.14	423.61	220.32	122.64	373.81	271.48	248.0	127.0	117.6	122.64	155.5	75.64	293.07	149.12	180.02	660.68	65.72	161.02	98.73	204.07	293.07	11.13	21.94	8.06	14.89	29.27	7.75	29.91	15.8	25.91	30.34	36.53	32.59	9.06	20.86	30.12	8.71	9.27	52.08	33.06	18.7	18.16	60.39	56.68	14.24	19.39	30.12	46.5	8.32	13.83	10.24	23.42	11.3	665.29	1498.22	1313.23	669.92	633.73	928.3
