	TCGA.FJ.A871.01A.11R.A352.07	TCGA.BH.A1FM.01A.11R.A13Q.07	TCGA.BH.A204.11A.53R.A157.07	TCGA.A7.A0CH.11A.32R.A089.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1ND.11A.43R.A144.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.A7.A0D9.11A.53R.A089.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.BH.A0DD.11A.23R.A12P.07	TCGA.BH.A1F6.11B.94R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.11I78.2226.SM.5PNYA	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	TCGA.AD.6901.01A.11R.1928.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.49.AAR0.01A.21R.A39D.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.EL.A3ZP.01A.11R.A23N.07	TCGA.EL.A4JZ.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.EL.A3TA.01A.12R.A22L.07	TCGA.EM.A22M.01A.11R.A32Y.07
C19orf60	2119.22	206.94	476.71	974.5	1781.89	493.56	1295.13	269.6	295.11	543.96	532.74	551.56	624.99	220.32	497.0	529.06	591.22	555.41	429.54	348.71	536.45	153.34	511.0	575.03	476.71	947.83	785.88	748.61	423.61	92.7	223.41	353.59	158.79	825.0	902.89	529.06	1651.0	1685.71	1832.01	1781.89	1806.78	2047.0	1794.29	1977.24	2090.03	2287.2
C1orf35	620.67	164.42	143.01	361.04	473.41	180.02	441.64	96.68	97.36	189.02	162.14	258.57	197.09	102.25	164.42	220.32	146.03	159.9	180.02	115.16	161.02	99.43	172.65	264.03	90.77	218.79	211.31	197.09	120.1	127.0	105.89	82.87	58.71	147.06	325.29	221.86	713.11	269.6	303.44	825.0	759.08	693.58	633.73	647.07	825.0	629.35
C9orf142	3443.31	320.8	356.05	1030.12	947.83	279.14	1487.87	170.25	186.4	318.57	356.05	559.28	400.71	209.84	397.93	444.72	392.44	392.44	299.25	239.52	361.04	117.6	277.2	525.39	507.46	934.76	642.59	624.99	361.04	303.44	314.17	220.32	169.07	854.13	620.67	503.95	2997.45	1151.06	1127.35	3124.78	3146.52	3515.68	2319.15	2417.67	3103.19	2163.77
CAPN10	559.28	22.43	130.6	204.07	167.9	144.01	444.72	67.12	82.87	157.68	130.6	197.09	212.78	98.73	145.02	172.65	228.13	130.6	141.02	108.14	134.3	78.34	150.17	162.14	129.69	260.38	412.0	218.79	124.37	55.89	126.12	127.0	94.67	309.83	332.14	189.02	1313.23	293.07	327.56	1250.98	674.59	723.08	620.67	748.61	713.11	638.15
CENPT	1769.57	199.85	387.02	507.46	532.74	334.46	854.13	241.19	327.56	341.51	392.44	473.41	470.14	412.0	376.41	363.56	480.04	406.31	376.41	397.93	389.72	297.17	269.6	318.57	242.88	769.69	497.0	351.14	316.37	346.29	318.57	190.34	253.23	348.71	651.58	414.87	1857.6	674.59	567.1	1111.82	733.19	808.0	684.02	848.22	819.3	753.83
CHMP1A	2739.08	651.58	890.44	1561.89	1674.06	890.44	1697.45	688.78	583.07	1001.93	1001.93	1208.34	1183.45	642.59	988.12	1008.9	1277.29	988.12	775.05	698.41	1001.93	551.56	854.13	1551.09	567.1	1508.65	1369.04	1167.14	909.17	460.44	961.07	896.64	708.18	1001.93	961.07	890.44	2148.82	1794.29	1594.73	2758.13	1936.53	1936.53	2119.22	1685.71	2032.85	1870.53
CROCC	518.15	12.83	76.71	293.07	325.29	85.22	332.14	29.06	36.01	120.94	136.19	175.07	221.86	39.5	115.16	120.94	220.32	175.07	59.55	44.57	166.73	33.06	90.14	205.5	49.56	226.54	156.59	175.07	78.89	64.8	34.51	35.0	36.53	138.1	239.52	126.12	656.11	209.84	236.21	775.05	379.04	490.14	463.65	376.41	389.72	559.28
CTC-479C5.12	110.43	2.39	12.64	24.46	13.32	20.26	24.99	9.48	8.99	17.64	24.99	24.11	22.26	10.47	16.03	16.63	22.75	27.05	7.69	9.2	23.25	6.78	19.82	23.59	7.4	45.53	44.57	66.65	23.08	6.89	14.67	7.17	11.21	26.47	33.54	7.57	105.89	22.92	31.9	150.17	46.5	100.83	62.12	102.97	59.55	78.34
CTDP1	497.0	55.49	149.12	295.11	231.32	128.79	323.03	87.65	112.77	159.9	171.45	195.72	186.4	116.78	139.07	167.9	232.94	185.11	102.97	102.25	173.85	115.16	120.94	147.06	147.06	307.69	234.57	126.12	255.0	106.63	220.32	102.97	176.29	218.79	153.34	258.57	417.77	351.14	318.57	457.25	341.51	366.09	412.0	392.44	348.71	403.5
CTU2	738.29	46.5	136.19	209.84	316.37	150.17	334.46	63.89	88.88	151.22	135.24	201.25	208.38	84.04	137.14	159.9	186.4	170.25	144.01	94.01	152.28	66.18	106.63	116.78	140.04	231.32	297.17	191.67	185.11	107.38	295.11	113.56	92.05	373.81	223.41	166.73	684.02	264.03	329.84	748.61	417.77	356.05	392.44	490.14	603.67	460.44
DEF8	1896.65	183.82	638.15	836.53	1295.13	647.07	1277.29	529.06	583.07	796.86	728.11	819.3	934.76	470.14	764.36	595.34	1044.52	866.07	583.07	543.96	713.11	332.14	473.41	988.12	303.44	872.1	878.17	967.76	536.45	264.03	884.29	395.18	323.03	1191.69	1191.69	466.88	1572.76	802.41	995.0	1594.73	1519.15	1605.83	1487.87	1685.71	1519.15	1407.55
DHX38	1143.1	166.73	571.05	698.41	775.05	532.74	860.08	368.65	432.53	551.56	647.07	785.88	764.36	366.09	547.75	599.49	842.36	698.41	444.72	432.53	713.11	312.0	341.51	423.61	366.09	934.76	698.41	555.41	703.28	239.52	656.11	353.59	647.07	525.39	759.08	785.88	1397.83	866.07	791.35	1397.83	988.12	1037.29	1051.79	995.0	1175.27	1191.69
DTX2	679.29	142.01	208.38	392.44	363.56	133.36	490.14	165.57	156.59	167.9	202.66	289.02	305.55	242.88	232.94	260.38	279.14	155.5	201.25	167.9	208.38	183.82	123.5	309.83	133.36	435.55	256.78	327.56	171.45	325.29	141.02	136.19	181.28	273.37	384.34	258.57	1388.16	423.61	525.39	1191.69	381.68	555.41	624.99	503.95	463.65	486.75
E4F1	473.41	53.57	134.3	289.02	255.0	116.78	400.71	75.11	87.65	147.06	133.36	228.13	183.82	84.63	138.1	195.72	214.27	158.79	125.24	96.01	152.28	71.0	186.4	173.85	99.43	432.53	260.38	153.34	91.41	85.22	151.22	77.79	126.12	211.31	267.73	231.32	708.18	341.51	293.07	921.88	759.08	934.76	698.41	718.08	708.18	825.0
EFHD2	884.29	242.88	507.46	915.51	836.53	242.88	1540.37	251.48	332.14	318.57	575.03	703.28	595.34	420.68	426.57	307.69	941.27	521.76	220.32	232.94	412.0	406.31	403.5	409.15	403.5	587.13	1159.07	1008.9	995.0	170.25	503.95	361.04	309.83	928.3	1286.18	555.41	2255.7	1963.57	1331.57	1605.83	4095.0	6337.83	5555.65	5633.22	2739.08	4268.94
EML3	1295.13	511.0	947.83	1037.29	1685.71	909.17	1183.45	1008.9	854.13	780.44	1044.52	1151.06	1151.06	651.58	802.41	1044.52	1167.14	1051.79	928.3	947.83	1044.52	599.49	563.18	1059.11	860.08	1447.15	2193.99	981.29	995.0	587.13	941.27	612.11	947.83	1674.06	1697.45	1066.48	1605.83	1295.13	1081.39	1313.23	1709.26	1605.83	1909.85	1896.65	1844.76	2032.85
FABP4	890.44	7.46	228208.61	134755.94	365622.68	253213.41	211455.3	322736.12	386469.83	394590.4	258533.99	225066.78	253213.41	119776.72	348306.01	279017.26	327241.36	358098.26	370726.6	489177.0	292889.12	43537.38	447025.24	716197.51	602247.76	360589.03	345900.08	569761.05	327241.36	260332.24	558035.51	906531.99	417089.23	1078054.48	1838374.44	394590.4	8421.31	636586.81	292889.12	743.43	228.13	70.51	111.21	297.17	1023.0	81.14
FKBP8	8901.53	947.83	3564.78	6121.9	8778.97	3491.39	7642.41	2537.92	2018.8	3716.2	4607.24	4869.99	5112.16	1628.26	3955.48	4239.45	4903.87	4298.64	3168.41	2502.97	4181.07	1233.75	2485.67	4543.8	2240.11	5292.48	2400.97	3081.75	3124.78	1794.29	2004.85	2367.9	1605.83	5076.84	3349.13	2367.9	6607.01	4671.57	4152.18	6207.38	8778.97	8305.36	8718.32	7857.29	9740.98	9606.86
FLYWCH1	1037.29	120.1	363.56	521.76	733.19	275.28	629.35	287.01	293.07	329.84	392.44	507.46	563.18	295.11	389.72	429.54	373.81	353.59	389.72	329.84	429.54	173.85	241.19	497.0	376.41	764.36	543.96	273.37	320.8	387.02	202.66	258.57	376.41	314.17	470.14	348.71	878.17	466.88	412.0	988.12	651.58	688.78	647.07	748.61	665.29	934.76
GET4	1183.45	511.0	339.14	703.28	651.58	412.0	808.0	281.09	251.48	409.15	363.56	536.45	387.02	262.2	470.14	503.95	406.31	438.59	435.55	379.04	441.64	251.48	420.68	432.53	253.23	769.69	514.56	264.03	312.0	228.13	444.72	457.25	417.77	473.41	414.87	409.15	2335.28	563.18	703.28	1909.85	836.53	819.3	921.88	921.88	902.89	1001.93
GNB1L	236.21	10.47	41.52	73.54	96.68	28.86	118.43	17.13	21.01	30.78	48.18	63.89	56.28	25.91	35.0	53.95	53.57	33.54	22.1	22.26	44.57	13.32	38.12	49.56	23.42	97.36	49.56	81.71	45.21	25.54	61.68	27.44	9.7	36.53	68.55	72.52	307.69	130.6	120.94	147.06	130.6	141.02	103.69	120.94	190.34	143.01
HDAC10	612.11	88.26	177.53	371.22	316.37	169.07	669.92	107.38	127.0	221.86	232.94	256.78	379.04	136.19	228.13	206.94	301.33	209.84	149.12	195.72	244.57	108.14	220.32	392.44	137.14	348.71	291.04	346.29	147.06	98.73	112.77	93.35	126.12	229.72	285.03	212.78	1388.16	583.07	511.0	1388.16	769.69	866.07	595.34	753.83	802.41	567.1
HMG20B	2875.3	563.18	718.08	1923.14	1733.13	785.88	2209.26	514.56	435.55	819.3	974.5	1233.75	995.0	529.06	941.27	1096.5	947.83	1001.93	708.18	607.87	896.64	441.64	723.08	1030.12	651.58	1844.76	1104.13	1088.92	825.0	638.15	536.45	563.18	444.72	1340.84	1721.16	854.13	1477.58	1617.0	1662.49	2061.24	2555.58	2367.9	2018.8	2047.0	2319.15	1963.57
HOMER3	3081.75	341.51	463.65	813.63	866.07	264.03	1322.37	450.94	336.79	273.37	470.14	674.59	490.14	450.94	511.0	332.14	708.18	532.74	249.73	273.37	518.15	334.46	316.37	595.34	260.38	748.61	493.56	854.13	476.71	466.88	165.57	100.83	127.89	463.65	1059.11	356.05	1044.52	277.2	341.51	902.89	1639.59	1467.37	1111.82	1457.23	1551.09	1199.98
HRAS	4123.49	435.55	842.36	1551.09	1963.57	830.75	1674.06	381.68	454.09	1183.45	860.08	1127.35	1023.0	329.84	825.0	825.0	1037.29	954.43	493.56	384.34	1008.9	226.54	1096.5	595.34	432.53	2148.82	3018.3	934.76	733.19	543.96	928.3	836.53	759.08	1073.91	1477.58	1044.52	2855.44	1268.46	1295.13	2520.38	1628.26	2384.37	2090.03	1896.65	1757.34	1721.16
INF2	2335.28	332.14	1359.57	1909.85	3081.75	1467.37	2573.36	1359.57	1340.84	2163.77	2400.97	1259.69	2367.9	813.63	1628.26	1286.18	1977.24	2133.97	928.3	1183.45	1781.89	363.56	1225.22	1896.65	1277.29	2271.4	3419.52	2032.85	2004.85	555.41	1781.89	2090.03	1175.27	1923.14	3081.75	1199.98	3690.52	3325.99	3419.52	1963.57	3928.15	2367.9	3325.99	3039.3	3235.01	2645.74
INO80E	2319.15	371.22	890.44	1159.07	1175.27	728.11	1286.18	629.35	599.49	836.53	780.44	995.0	1096.5	669.92	785.88	860.08	884.29	808.0	769.69	679.29	764.36	473.41	638.15	1295.13	723.08	890.44	1250.98	791.35	728.11	493.56	599.49	591.22	642.59	1159.07	1096.5	866.07	1651.0	1359.57	1073.91	1651.0	1870.53	1832.01	1427.22	1561.89	1674.06	1427.22
INTS1	3039.3	262.2	728.11	1216.75	1388.16	759.08	1551.09	435.55	438.59	607.87	769.69	961.07	928.3	525.39	854.13	1037.29	748.61	825.0	718.08	708.18	713.11	366.09	1081.39	866.07	486.75	1457.23	890.44	921.88	607.87	241.19	575.03	642.59	583.07	674.59	909.17	759.08	2645.74	1191.69	1073.91	3372.43	1721.16	1950.0	1721.16	1870.53	2255.7	1709.26
KATNB1	698.41	106.63	224.97	353.59	353.59	211.31	397.93	166.73	171.45	182.55	251.48	291.04	325.29	193.01	267.73	275.28	277.2	239.52	232.94	194.36	262.2	177.53	281.09	170.25	144.01	164.42	325.29	320.8	187.71	237.86	195.72	193.01	112.77	358.54	353.59	237.86	438.59	358.54	420.68	507.46	320.8	351.14	403.5	417.77	346.29	417.77
LAMTOR4	8421.31	723.08	3018.3	4607.24	7433.4	2915.45	6887.62	1806.78	1896.65	3190.46	3257.52	3639.7	3665.02	1313.23	3212.66	2875.3	3103.19	3257.52	2287.2	2178.83	2720.15	1081.39	2720.15	2224.63	2835.7	3491.39	2682.69	2434.5	3257.52	1781.89	2061.24	2485.67	2104.58	2627.46	2720.15	2609.3	4802.93	4802.93	4095.0	10368.08	4836.35	4268.94	4543.8	4802.93	6037.61	4268.94
MAD1L1	2351.53	91.41	275.28	476.71	493.56	231.32	836.53	151.22	138.1	287.01	323.03	358.54	441.64	267.73	258.57	248.0	420.68	329.84	172.65	236.21	325.29	182.55	358.54	540.19	156.59	426.57	256.78	314.17	226.54	239.52	183.82	265.87	126.12	395.18	299.25	175.07	603.67	426.57	366.09	1225.22	595.34	738.29	708.18	825.0	718.08	830.75
MCRS1	1757.34	521.76	642.59	954.43	941.27	638.15	1304.15	525.39	579.04	780.44	723.08	934.76	854.13	603.67	688.78	775.05	743.43	753.83	559.28	563.18	733.19	420.68	629.35	595.34	571.05	1127.35	796.86	769.69	708.18	525.39	713.11	612.11	642.59	703.28	848.22	775.05	1225.22	974.5	1066.48	1397.83	1540.37	1378.57	1498.22	1551.09	1651.0	1498.22
MED16	1508.65	201.25	314.17	713.11	543.96	226.54	713.11	165.57	171.45	256.78	239.52	426.57	358.54	242.88	299.25	379.04	336.79	264.03	253.23	246.28	309.83	224.97	312.0	547.75	205.5	563.18	483.38	432.53	368.65	147.06	271.48	197.09	221.86	397.93	435.55	343.89	656.11	607.87	753.83	961.07	848.22	723.08	791.35	802.41	934.76	1143.1
MVP	6207.38	684.02	1583.71	2935.74	2400.97	1037.29	3280.18	967.76	1628.26	1340.84	1769.57	2520.38	2520.38	1359.57	1617.0	995.0	3060.45	1407.55	669.92	981.29	1651.0	1159.07	1096.5	1030.12	915.51	1437.15	3820.7	4268.94	2976.74	1477.58	1295.13	708.18	1030.12	3901.01	2061.24	1605.83	7280.4	4937.99	4358.66	4512.4	4388.98	5791.62	8134.41	4937.99	3928.15	6935.54
NAGK	3081.75	1883.54	1498.22	2609.3	2018.8	1378.57	5041.77	1081.39	1417.35	1477.58	1561.89	1639.59	1697.45	1508.65	1551.09	1407.55	1806.78	1662.49	1322.37	1216.75	1508.65	981.29	1277.29	2520.38	928.3	1936.53	2075.59	3614.55	1015.93	1417.35	1639.59	1529.73	1709.26	1832.01	2148.82	1268.46	2400.97	1709.26	2004.85	2976.74	2485.67	3146.52	2645.74	3190.46	3212.66	3443.31
NAGPA	358.54	59.13	138.1	269.6	229.72	162.14	503.95	163.28	111.99	162.14	159.9	194.36	239.52	90.14	154.42	176.29	204.07	215.77	136.19	159.9	170.25	65.26	165.57	325.29	132.44	199.85	264.03	283.05	199.85	57.89	120.1	165.57	129.69	234.57	107.38	185.11	307.69	283.05	275.28	379.04	279.14	262.2	336.79	356.05	356.05	490.14
NDUFV1	5366.37	403.5	1991.0	3443.31	4298.64	2417.67	4038.61	1119.56	1350.18	2739.08	2417.67	2502.97	2645.74	1143.1	2434.5	2555.58	2061.24	2485.67	1963.57	2104.58	2796.65	728.11	2209.26	1639.59	1268.46	2739.08	2520.38	1437.15	1286.18	1225.22	1757.34	1977.24	1407.55	2367.9	1870.53	2004.85	3257.52	3540.14	4450.27	5594.3	3742.05	3467.27	3564.78	3639.7	4543.8	3467.27
NPEPL1	1259.69	117.6	466.88	688.78	866.07	543.96	967.76	353.59	283.05	748.61	660.68	555.41	819.3	236.21	543.96	521.76	616.37	759.08	376.41	368.65	638.15	138.1	283.05	392.44	267.73	836.53	503.95	193.01	371.22	295.11	647.07	287.01	624.99	420.68	579.04	575.03	2303.12	607.87	579.04	1498.22	1023.0	1233.75	1037.29	1208.34	1277.29	1111.82
NT5C	2303.12	162.14	463.65	1143.1	1044.52	447.82	1359.57	289.02	262.2	591.22	642.59	775.05	607.87	221.86	532.74	688.78	612.11	567.1	373.81	251.48	629.35	206.94	412.0	329.84	285.03	1143.1	1037.29	392.44	500.46	346.29	536.45	281.09	368.65	708.18	791.35	759.08	1340.84	1073.91	1359.57	2133.97	1794.29	2224.63	1561.89	1733.13	1923.14	1417.35
NUDC	5255.91	693.58	1277.29	2555.58	2796.65	1639.59	2367.9	947.83	808.0	1572.76	1721.16	1832.01	1594.73	759.08	1457.23	1519.15	1639.59	1437.15	1073.91	733.19	1721.16	713.11	1467.37	1286.18	1111.82	1870.53	1896.65	3190.46	1561.89	769.69	1605.83	708.18	1127.35	1605.83	1819.35	1378.57	2855.44	1359.57	1721.16	4038.61	2777.33	2367.9	2434.5	2163.77	3081.75	2240.11
PMF1-BGLAP	228.13	23.08	64.8	239.52	237.86	84.04	172.65	51.35	110.43	117.6	86.43	113.56	178.77	84.63	99.43	105.15	118.43	100.13	65.26	105.15	94.01	20.11	133.36	154.42	73.03	147.06	75.64	191.67	78.89	40.07	70.51	128.79	92.05	116.78	98.73	90.14	277.2	58.3	104.42	379.04	400.71	376.41	361.04	320.8	463.65	275.28
PNKP	1143.1	166.73	273.37	633.73	463.65	232.94	651.58	185.11	194.36	264.03	318.57	403.5	389.72	232.94	309.83	275.28	376.41	307.69	231.32	224.97	346.29	187.71	246.28	256.78	169.07	429.54	444.72	336.79	343.89	212.78	348.71	153.34	141.02	426.57	511.0	379.04	1127.35	723.08	718.08	1073.91	1477.58	1923.14	1487.87	1508.65	1487.87	1369.04
PPP1R12C	2434.5	182.55	1015.93	1572.76	2240.11	1277.29	2351.53	651.58	669.92	1378.57	1427.22	1605.83	1721.16	629.35	1119.56	1127.35	1674.06	1250.98	825.0	769.69	1519.15	493.56	759.08	995.0	947.83	2047.0	1923.14	954.43	1350.18	703.28	1457.23	836.53	915.51	2004.85	1617.0	1697.45	4607.24	2224.63	2104.58	2240.11	2032.85	2351.53	2193.99	2485.67	2609.3	2163.77
PRICKLE3	143.01	65.26	102.97	120.94	155.5	110.43	115.97	84.04	94.67	117.6	112.77	175.07	159.9	92.05	121.79	134.3	153.34	139.07	106.63	102.25	126.12	80.01	75.11	152.28	118.43	177.53	141.02	155.5	127.89	92.7	111.21	108.9	85.22	106.63	187.71	146.03	283.05	158.79	165.57	195.72	169.07	241.19	212.78	187.71	158.79	139.07
PRPF31	2664.15	575.03	748.61	796.86	1104.13	718.08	1191.69	540.19	466.88	674.59	813.63	915.51	854.13	480.04	769.69	802.41	708.18	753.83	656.11	567.1	624.99	476.71	490.14	981.29	559.28	947.83	896.64	802.41	684.02	583.07	769.69	525.39	571.05	872.1	780.44	642.59	1639.59	808.0	890.44	1369.04	1208.34	1250.98	1304.15	1268.46	1477.58	1427.22
PSD	289.02	15.0	17.9	55.49	81.14	15.11	53.95	14.14	8.51	18.56	25.17	36.01	24.11	14.56	22.43	22.59	25.91	28.45	12.27	11.91	20.11	8.65	26.67	21.94	15.0	28.65	28.45	28.65	18.84	5.73	15.45	16.39	12.0	31.67	21.94	18.7	158.79	47.5	39.5	173.85	105.15	75.11	94.67	132.44	85.22	96.68
RBM42	3235.01	379.04	854.13	1508.65	2148.82	785.88	1617.0	529.06	579.04	860.08	866.07	947.83	884.29	454.09	830.75	813.63	915.51	947.83	607.87	532.74	896.64	358.54	679.29	902.89	698.41	1135.2	1662.49	785.88	890.44	269.6	1066.48	563.18	647.07	1883.54	1286.18	769.69	2816.11	1781.89	1909.85	3257.52	2061.24	2400.97	2075.59	2018.8	2335.28	2032.85
RHOT2	3372.43	432.53	444.72	1044.52	842.36	423.61	1457.23	277.2	351.14	551.56	620.67	759.08	848.22	361.04	514.56	733.19	703.28	651.58	376.41	392.44	551.56	312.0	429.54	423.61	343.89	1313.23	836.53	454.09	460.44	346.29	454.09	336.79	346.29	703.28	928.3	579.04	3235.01	1639.59	1508.65	4268.94	2555.58	2777.33	2240.11	2720.15	2537.92	2502.97
